bridge_tag,questions,outcome_models,primary_journey,secondary_journey,journey_confidence,ambiguity,reachable_journeys,fallback_only,reason
"ASPIRATIONAL_CLARITY",40,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"ASPIRATIONAL_DEVELOPMENT",40,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"ASSESSMENT_INTELLIGENCE",75,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ATTENTION_REFLECTION",75,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"BALANCED_REFLECTION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"BEHAVIORAL_AWARENESS",250,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"BEHAVIORAL_GROWTH",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"BEHAVIORAL_REFLECTION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"BEHAVIORAL_REGULATION",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.098,0.629,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.265)"
"BEHAVIORAL_STABILITY",50,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"BEHAVIOR_CORRECTION",39,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"CAPABILITY_DEVELOPMENT",25,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"CAREER_ACADEMIC",40,"career_clarity|learning_effectiveness","career_builder","mentoring",0.108,0.667,5,false,"2 outcome model(s) → 5 route(s); primary career_builder (fit 0.325)"
"CAREER_ALIGNMENT",50,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_AUTONOMY",25,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_BRANDING",36,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_COMPETITION",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_DECISION",40,"career_clarity|decision_quality|learning_effectiveness","career_builder","lbi",0.097,0.676,5,false,"3 outcome model(s) → 5 route(s); primary career_builder (fit 0.3)"
"CAREER_DEVELOPMENT",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_ECOSYSTEM",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_EXECUTION",25,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_EXPECTATIONS",200,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_EXPLORATION",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_EXPOSURE",50,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_FLEXIBILITY",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_GROWTH",675,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"CAREER_GUIDANCE",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_IDENTITY",75,"career_clarity|confidence_stability","lbi","mentoring",0.08,0.723,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.288)"
"CAREER_MAPPING",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_PLANNING",25,"career_clarity|decision_quality|learning_effectiveness","career_builder","lbi",0.097,0.676,5,false,"3 outcome model(s) → 5 route(s); primary career_builder (fit 0.3)"
"CAREER_PREPAREDNESS",25,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_PRIORITIZATION",25,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_PSYCHOLOGY",125,"career_clarity|confidence_stability","lbi","mentoring",0.08,0.723,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.288)"
"CAREER_READINESS",1000,"career_clarity|employability_readiness","career_builder","employability_index",0.297,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.76)"
"CAREER_RECOVERY",40,"career_clarity|confidence_stability","lbi","mentoring",0.08,0.723,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.288)"
"CAREER_REFLECTION",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_RISK",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_STABILITY",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_SUITABILITY",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_SUSTAINABILITY",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_TIMELINE",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_TRADEOFF",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CAREER_TRANSITION",25,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"CHARACTER_DEVELOPMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"CLASSROOM_ADAPTATION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"CLASSROOM_ENGAGEMENT",75,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"COGNITIVE_AWARENESS",25,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"COGNITIVE_DEVELOPMENT",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"COGNITIVE_EMOTIONAL",150,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.11,0.654,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.317)"
"COGNITIVE_MAPPING",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"COGNITIVE_REFLECTION",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"COGNITIVE_SELF",50,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"COGNITIVE_SKILLS",200,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"COGNITIVE_WELLNESS",40,"confidence_stability|decision_quality|exam_readiness|learning_effectiveness","lbi","competitive_exam",0.066,0.721,5,false,"4 outcome model(s) → 5 route(s); primary lbi (fit 0.238)"
"COLLABORATION_OWNERSHIP",250,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"COLLEGE_ADAPTATION",40,"career_clarity","career_builder","employability_index",0.366,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.855)"
"COMMUNICATION_BEHAVIOR",50,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"COMMUNICATION_DEVELOPMENT",40,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"COMMUNICATION_EXPRESSION",150,"employability_readiness","employability_index","career_builder",0.385,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.855)"
"COMMUNICATION_LEADERSHIP",40,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"COMPETENCY_DEVELOPMENT",1014,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"COMPETENCY_INTELLIGENCE",50,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"COMPETITIVE_ADAPTATION",50,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"COMPETITIVE_EXAM",75,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"CONFIDENCE_BUILDING",300,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"CONFIDENCE_DEVELOPMENT",165,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"CONFIDENCE_SELF",650,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"DECISION_ANXIETY",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.11,0.654,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.317)"
"DECISION_COACHING",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"DECISION_CONFIDENCE",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.11,0.654,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.317)"
"DECISION_INDEPENDENCE",25,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"DECISION_LEADERSHIP",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"DIGITAL_LEARNING",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"DIGITAL_RESPONSIBILITY",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"DISCIPLINE_HABITS",925,"decision_quality","lbi","career_builder",0.324,0.546,3,false,"1 outcome model(s) → 3 route(s); primary lbi (fit 0.712)"
"EMOTIONAL_DEVELOPMENT",80,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_IDENTITY",25,"confidence_stability","lbi","mentoring",0.282,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.68)"
"EMOTIONAL_LEADERSHIP",25,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_LEARNING",40,"confidence_stability|learning_effectiveness","lbi","mentoring",0.086,0.701,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.288)"
"EMOTIONAL_LITERACY",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_MATURITY",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_RECOVERY",800,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"EMOTIONAL_REFLECTION",70,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_REGULATION",1100,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_RESILIENCE",40,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"EMOTIONAL_RESPONSE",25,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_SELF",25,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"EMOTIONAL_WELLBEING",50,"confidence_stability|exam_readiness","lbi","mentoring",0.089,0.686,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.283)"
"EMPLOYABILITY",1150,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"EMPLOYABILITY_ACADEMIC",40,"career_clarity|employability_readiness|learning_effectiveness","career_builder","employability_index",0.113,0.661,5,false,"3 outcome model(s) → 5 route(s); primary career_builder (fit 0.333)"
"EMPLOYABILITY_DEVELOPMENT",40,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"EMPLOYABILITY_FUTURE",25,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"ENGAGEMENT_BEHAVIOR",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ENGAGEMENT_MANAGEMENT",75,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ENTREPRENEURIAL_LEADERSHIP",40,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"ENTREPRENEURSHIP_GUIDANCE",40,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"EXAMINATION_READINESS",50,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"EXAMINATION_STRESS",650,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"EXAM_READINESS",50,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"EXECUTIVE_COMMUNICATION",25,"employability_readiness","employability_index","career_builder",0.385,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.855)"
"EXPLORATION_INHIBITION",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"EXPLORATORY_LEARNING",40,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"FACULTY_DEVELOPMENT",75,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"FACULTY_EFFECTIVENESS",50,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"FACULTY_SUSTAINABILITY",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"FEEDBACK_ADAPTATION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"FINANCIAL_READINESS",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"FOUNDATIONAL_LEARNING",25,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"FUTURE_CAREER",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"FUTURE_LEARNING",50,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"FUTURE_ORIENTATION",40,"career_clarity|decision_quality","career_builder","lbi",0.209,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.56)"
"FUTURE_SELF",25,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"FUTURE_WORKFORCE",40,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"GENERAL_CONCERN",125,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GOAL_ALIGNMENT",50,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"GOAL_REFLECTION",40,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"GROWTH_ACCOUNTABILITY",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_BEHAVIOR",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_MAPPING",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_MEASUREMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_MENTORING",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_MINDSET",50,"confidence_stability|learning_effectiveness","lbi","mentoring",0.069,0.701,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.23)"
"GROWTH_ORIENTATION",39,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_PERSISTENCE",25,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"GROWTH_RECOGNITION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_REFLECTION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"GROWTH_TRACKING",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"HABIT_DEVELOPMENT",40,"decision_quality","lbi","career_builder",0.324,0.546,3,false,"1 outcome model(s) → 3 route(s); primary lbi (fit 0.712)"
"HELP_SEEKING",25,"confidence_stability|employability_readiness","employability_index","mentoring",0.169,0.704,5,false,"2 outcome model(s) → 5 route(s); primary employability_index (fit 0.57)"
"HIGHER_EDUCATION",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"HOLISTIC_DEVELOPMENT",600,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"IDENTITY_CONFIDENCE",25,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"IDENTITY_CONFLICT",30,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"IDENTITY_EXPRESSION",25,"confidence_stability|employability_readiness","employability_index","mentoring",0.089,0.704,5,false,"2 outcome model(s) → 5 route(s); primary employability_index (fit 0.3)"
"IDENTITY_FORMATION",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"IDENTITY_INTEGRATION",75,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"IDENTITY_REFLECTION",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"INCLUSION_LEADERSHIP",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"INCLUSIVE_LEADERSHIP",25,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"INDEPENDENCE_DEVELOPMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"INNOVATION_ENTREPRENEURSHIP",25,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"INNOVATION_READINESS",25,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"INQUIRY_CURIOSITY",50,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"INSTRUCTIONAL_QUALITY",100,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"INTEGRITY_REFLECTION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"INTELLECTUAL_GROWTH",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"INTERDISCIPLINARY_LEARNING",60,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"INTERVENTION_INTELLIGENCE",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
