rank,question_id,alignment_score,concern_25,behavior_25,capability_25,construct_25,missing_fields,best_signal_band,bridge_tag,question
17,Q_ALE_001_017,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How comfortable are you making mistakes while learning in front of others?
18,Q_ALE_001_018,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How often do you prepare beforehand to participate more confidently in activities?
19,Q_ALE_001_019,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"When group dynamics become challenging, how effectively do you continue contributing?"
20,Q_ALE_001_020,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How confident are you that you can become more active and engaged in learning environments?
21,Q_ALE_001_021,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How ready are you to participate more actively in future learning experiences?
22,Q_ALE_001_022,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How willing are you to step outside your comfort zone during discussions and activities?
23,Q_ALE_001_023,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,How strongly do you believe active participation improves learning outcomes?
24,Q_ALE_001_024,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"If given support and encouragement, how likely are you to participate more during classes and activities?"
25,Q_ALE_001_025,43,10,25,8,0,2,strong,LEARNING_ADAPTABILITY,"Even if active participation feels challenging today, how confident are you that you can improve with practice?"
26,Q_ATTEND_001_001,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How aware are you of patterns in your attendance that may negatively affect your academic performance?
27,Q_ATTEND_001_002,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you notice irregularities in your attendance pattern before they start affecting your studies?
28,Q_ATTEND_001_003,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Compared to others, how well do you track and understand your own attendance behavior?"
29,Q_ATTEND_001_004,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,Do you feel unsure about how your attendance patterns may be impacting your academic success?
30,Q_ATTEND_001_005,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"If your current attendance pattern continues, how confident are you that it will not affect your academic outcomes negatively?"
31,Q_ATTEND_001_006,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How concerned are you about your current attendance pattern affecting your academic progress?
32,Q_ATTEND_001_007,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you realize attendance gaps only after they have already affected your performance?
33,Q_ATTEND_001_008,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you miss classes without noticing a developing pattern over time?
34,Q_ATTEND_001_009,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How strongly does peer influence or social activity affect your attendance consistency?
35,Q_ATTEND_001_010,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Compared to last semester, how much more unpredictable has your attendance pattern become?"
36,Q_ATTEND_001_011,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you actively monitor your attendance percentage or class presence?
37,Q_ATTEND_001_012,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you attend classes even when you feel unmotivated or tired?
38,Q_ATTEND_001_013,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"During busy academic periods, how often do you unintentionally miss classes?"
39,Q_ATTEND_001_014,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How likely are you to ignore small attendance drops until they become a serious issue?
40,Q_ATTEND_001_015,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do attendance concerns cause you anxiety about academic eligibility or performance?
41,Q_ATTEND_001_016,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How effectively can you identify and correct attendance issues before they affect your performance?
42,Q_ATTEND_001_017,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"How often do you use reminders, schedules, or systems to maintain consistent attendance?"
43,Q_ATTEND_001_018,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,Some students realize attendance issues only after academic performance declines. How true is this for you?
44,Q_ATTEND_001_019,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"After maintaining consistent attendance for a period, how motivated do you feel to continue it?"
45,Q_ATTEND_001_020,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Even if academic workload increases, how confident are you that you can maintain consistent attendance?"
46,Q_ATTEND_001_021,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How ready are you to improve your awareness and control of attendance patterns?
47,Q_ATTEND_001_022,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"If given tools to track attendance effectively, how willing would you be to use them consistently?"
48,Q_ATTEND_001_023,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How strongly do you believe consistent attendance directly impacts academic success?
49,Q_ATTEND_001_024,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"If you noticed a drop in attendance today, how likely are you to take corrective action immediately?"
50,Q_ATTEND_001_025,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Even if your attendance has been inconsistent in the past, how hopeful are you that you can build a stable and consistent attendance pattern in the future?"
51,Q_ATTNSPAN_001_001,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How well do you understand your natural attention span limits while studying or working on tasks?
52,Q_ATTNSPAN_001_002,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you notice your focus dropping during long study or work sessions?
53,Q_ATTNSPAN_001_003,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Compared to others, how accurately do you think you can estimate how long you can stay focused effectively?"
54,Q_ATTNSPAN_001_004,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,Do you sometimes feel frustrated when you are unable to focus for long periods even after trying hard?
55,Q_ATTNSPAN_001_005,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"If you planned a long study session tomorrow, how confident are you that you could structure it according to your attention span?"
56,Q_ATTNSPAN_001_006,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How stressful does it feel when your attention breaks during important tasks?
57,Q_ATTNSPAN_001_007,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you continue studying even after noticing your focus has dropped significantly?
58,Q_ATTNSPAN_001_008,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you feel mentally drained because you try to focus for too long without breaks?
59,Q_ATTNSPAN_001_009,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How strongly do comparisons with highly focused individuals affect your perception of your own attention span?
60,Q_ATTNSPAN_001_010,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Compared to your expectations, how often does your actual attention span feel shorter than you think it should be?"
61,Q_ATTNSPAN_001_011,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you take breaks when you notice your focus starting to decline?
62,Q_ATTNSPAN_001_012,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you force yourself to continue studying even when you cannot concentrate?
63,Q_ATTNSPAN_001_013,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"During long tasks, how often do you switch methods or subjects to regain focus?"
64,Q_ATTNSPAN_001_014,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How likely are you to plan study sessions based on your actual focus capacity rather than ideal expectations?
65,Q_ATTNSPAN_001_015,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How often do you feel mentally exhausted after trying to concentrate for too long without breaks?
66,Q_ATTNSPAN_001_016,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"When your attention drops, how effectively can you reset and refocus without losing productivity?"
67,Q_ATTNSPAN_001_017,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"How often do you use techniques like Pomodoro, breaks, or task switching to manage attention limits?"
68,Q_ATTNSPAN_001_018,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,Some people ignore their attention limits and try to study continuously for long hours. How true is this for you?
69,Q_ATTNSPAN_001_019,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"After taking a break during study sessions, how refreshed and focused do you usually feel?"
70,Q_ATTNSPAN_001_020,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Even if you struggle with attention span now, how confident are you that you can improve your focus management over time?"
71,Q_ATTNSPAN_001_021,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How ready are you to adjust your study habits according to your attention span limits?
72,Q_ATTNSPAN_001_022,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"If you learned how attention span works scientifically, how willing would you be to apply that understanding in daily study planning?"
73,Q_ATTNSPAN_001_023,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,How strongly do you believe effective studying requires respecting attention span limits rather than pushing continuously?
74,Q_ATTNSPAN_001_024,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"If you learned one method to improve focus management today, how likely are you to use it consistently?"
75,Q_ATTNSPAN_001_025,43,10,25,8,0,2,strong,DISCIPLINE_HABITS,"Even if your attention span feels limited now, how hopeful are you that you can learn to study effectively within your natural focus limits?"
76,Q_CAREADAPT_001_001,43,10,25,8,0,2,strong,CAREER_READINESS,How confident are you in adapting your career plans when job markets or industries change unexpectedly?
77,Q_CAREADAPT_001_002,43,10,25,8,0,2,strong,CAREER_READINESS,How often do changes in the job market make you feel uncertain about your career direction?
78,Q_CAREADAPT_001_003,43,10,25,8,0,2,strong,CAREER_READINESS,"Compared to others, how well do you think you can adjust your skills and plans when industry demands change?"
79,Q_CAREADAPT_001_004,43,10,25,8,0,2,strong,CAREER_READINESS,Do you feel anxious when you think about sudden changes in career opportunities or market conditions?
80,Q_CAREADAPT_001_005,43,10,25,8,0,2,strong,CAREER_READINESS,"If your industry became highly competitive or unstable tomorrow, how confident are you that you could still build a strong career path?"
81,Q_CAREADAPT_001_006,43,10,25,8,0,2,strong,CAREER_READINESS,How stressful does the idea of changing career demands or job market shifts feel to you?
82,Q_CAREADAPT_001_007,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel overwhelmed when you hear about changes in hiring trends or job availability?
83,Q_CAREADAPT_001_008,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you delay career decisions because the job market feels uncertain?
84,Q_CAREADAPT_001_009,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you feel pressure when you see peers adapting quickly to new job trends or technologies?
85,Q_CAREADAPT_001_010,43,10,25,8,0,2,strong,CAREER_READINESS,"Compared to last year, how much harder is it for you to adapt your career plans to changing opportunities?"
86,Q_CAREADAPT_001_011,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you update your skills or learning based on changing industry trends?
87,Q_CAREADAPT_001_012,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you explore alternative career options when your primary path seems uncertain?
88,Q_CAREADAPT_001_013,43,10,25,8,0,2,strong,CAREER_READINESS,"When industries change, how often do you actively seek to understand new opportunities?"
89,Q_CAREADAPT_001_014,43,10,25,8,0,2,strong,CAREER_READINESS,How likely are you to switch or adjust your career direction if better opportunities arise in a different field?
90,Q_CAREADAPT_001_015,43,10,25,8,0,2,strong,CAREER_READINESS,How often do changes in job markets affect your emotional stability or confidence?
91,Q_CAREADAPT_001_016,43,10,25,8,0,2,strong,CAREER_READINESS,"When faced with uncertainty in career opportunities, how effectively can you stay calm and plan your next steps?"
92,Q_CAREADAPT_001_017,43,10,25,8,0,2,strong,CAREER_READINESS,"How often do you take proactive steps (learning, networking, internships) to stay prepared for market changes?"
93,Q_CAREADAPT_001_018,43,10,25,8,0,2,strong,CAREER_READINESS,Some people become stuck when job markets change rapidly and struggle to adjust their plans. How true is this for you?
94,Q_CAREADAPT_001_019,43,10,25,8,0,2,strong,CAREER_READINESS,"After successfully learning a new skill or adapting to a change, how confident do you usually feel about your career future?"
95,Q_CAREADAPT_001_020,43,10,25,8,0,2,strong,CAREER_READINESS,"Even if the job market becomes unpredictable, how confident are you that you can still build a successful career path?"
96,Q_CAREADAPT_001_021,43,10,25,8,0,2,strong,CAREER_READINESS,How ready are you to actively adjust your skills and career plans based on changing industry demands?
97,Q_CAREADAPT_001_022,43,10,25,8,0,2,strong,CAREER_READINESS,"If you were given guidance on emerging career trends, how willing would you be to adapt your plan accordingly?"
98,Q_CAREADAPT_001_023,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you believe that successful careers today require continuous learning and adaptability?
99,Q_CAREADAPT_001_024,43,10,25,8,0,2,strong,CAREER_READINESS,"If you learned a new in-demand skill today, how likely are you to immediately apply it to improve your career direction?"
100,Q_CAREADAPT_001_025,43,10,25,8,0,2,strong,CAREER_READINESS,"Even if industries continue to change rapidly, how hopeful are you that you can still build a stable and successful career?"
101,Q_CAREER_NAR_001,43,10,25,8,0,2,strong,CAREER_READINESS,How clear is your long-term career direction beyond just getting a job?
102,Q_CAREER_NAR_002,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you think about where you want to be professionally in 5�10 years?
103,Q_CAREER_NAR_003,43,10,25,8,0,2,strong,CAREER_READINESS,How consistent is your career vision compared to your peers?
104,Q_CAREER_NAR_004,43,10,25,8,0,2,strong,CAREER_READINESS,Do you feel your career choices so far are connected to a bigger long-term plan?
105,Q_CAREER_NAR_005,43,10,25,8,0,2,strong,CAREER_READINESS,How easy is it for you to explain your career goals in a structured way?
106,Q_CAREER_NAR_006,43,10,25,8,0,2,strong,CAREER_READINESS,How confused do you feel when thinking about your long-term career path?
107,Q_CAREER_NAR_007,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel your career decisions are random rather than planned?
108,Q_CAREER_NAR_008,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you change your career goals significantly?
109,Q_CAREER_NAR_009,43,10,25,8,0,2,strong,CAREER_READINESS,How confident are you that your current path will lead to long-term success?
110,Q_CAREER_NAR_010,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel stuck when thinking about your future direction?
111,Q_CAREER_NAR_011,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you set long-term career goals beyond academic goals?
112,Q_CAREER_NAR_012,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you review your career progress against a long-term vision?
113,Q_CAREER_NAR_013,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you compare your career direction with successful professionals?
114,Q_CAREER_NAR_014,43,10,25,8,0,2,strong,CAREER_READINESS,Do you feel pressure to have a �perfect career plan� early in life?
115,Q_CAREER_NAR_015,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel lost when making important career decisions?
116,Q_CAREER_NAR_016,43,10,25,8,0,2,strong,CAREER_READINESS,"When unsure about your career, how well can you still create a clear plan?"
117,Q_CAREER_NAR_017,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you seek mentorship for long-term career guidance?
118,Q_CAREER_NAR_018,43,10,25,8,0,2,strong,CAREER_READINESS,Do you actively write down or document your career goals?
119,Q_CAREER_NAR_019,43,10,25,8,0,2,strong,CAREER_READINESS,How confident do you feel when explaining your future career story to others?
120,Q_CAREER_NAR_020,43,10,25,8,0,2,strong,CAREER_READINESS,How confident are you that your career direction will remain stable over time?
121,Q_CAREER_NAR_021,43,10,25,8,0,2,strong,CAREER_READINESS,How ready are you to build a structured long-term career plan?
122,Q_CAREER_NAR_022,43,10,25,8,0,2,strong,CAREER_READINESS,"If given guidance, how willing are you to refine your career direction over time?"
123,Q_CAREER_NAR_023,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you believe having a career narrative improves success?
124,Q_CAREER_NAR_024,43,10,25,8,0,2,strong,CAREER_READINESS,"If your career plan changes, how confident are you in adapting it smoothly?"
125,Q_CAREER_NAR_025,43,10,25,8,0,2,strong,CAREER_READINESS,How hopeful are you that your long-term career path will become clear over time?
126,Q_CAREER10_001_001,43,10,25,8,0,2,strong,CAREER_READINESS,How clear do you feel about your career direction after completing Class 10 or Class 12?
127,Q_CAREER10_001_002,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel confused when choosing between different career options after Class 10/12?
128,Q_CAREER10_001_003,43,10,25,8,0,2,strong,CAREER_READINESS,"Compared to your peers, how confident are you in understanding what career path suits you best?"
129,Q_CAREER10_001_004,43,10,25,8,0,2,strong,CAREER_READINESS,Do you feel stressed when thinking about choosing a career after Class 10/12?
130,Q_CAREER10_001_005,43,10,25,8,0,2,strong,CAREER_READINESS,How confident are you that your current understanding is enough to make a good career decision?
131,Q_CAREER10_001_006,43,10,25,8,0,2,strong,CAREER_READINESS,How stressful is it for you to think about your future career after Class 10/12?
132,Q_CAREER10_001_007,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel overwhelmed by too many career options or choices?
133,Q_CAREER10_001_008,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you avoid thinking about career decisions because they feel confusing or stressful?
134,Q_CAREER10_001_009,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do family or peer opinions affect your career decision-making?
135,Q_CAREER10_001_010,43,10,25,8,0,2,strong,CAREER_READINESS,"Compared to before, how much more confused do you feel about your career after Class 10/12 decisions?"
136,Q_CAREER10_001_011,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you research career options or explore different fields actively?
137,Q_CAREER10_001_012,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel stuck without taking any step toward career clarity?
138,Q_CAREER10_001_013,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel uncertain even after discussing career options with others?
139,Q_CAREER10_001_014,43,10,25,8,0,2,strong,CAREER_READINESS,How likely are you to choose a career path without full clarity just due to pressure or urgency?
140,Q_CAREER10_001_015,43,10,25,8,0,2,strong,CAREER_READINESS,How often does thinking about career choices disturb your emotional peace?
141,Q_CAREER10_001_016,43,10,25,8,0,2,strong,CAREER_READINESS,"When you feel confused about career choices, how effectively can you regain clarity and focus?"
142,Q_CAREER10_001_017,43,10,25,8,0,2,strong,CAREER_READINESS,"How often do you take structured steps (tests, counseling, research) to improve career clarity?"
143,Q_CAREER10_001_018,43,10,25,8,0,2,strong,CAREER_READINESS,Some students feel lost after Class 10/12 and stop thinking about their future. How true is this for you?
144,Q_CAREER10_001_019,43,10,25,8,0,2,strong,CAREER_READINESS,"After learning something new about careers, how confident do you usually feel about your future?"
145,Q_CAREER10_001_020,43,10,25,8,0,2,strong,CAREER_READINESS,"Even if you feel confused now, how confident are you that you will eventually find a clear career direction?"
146,Q_CAREER10_001_021,43,10,25,8,0,2,strong,CAREER_READINESS,How ready are you to actively work on improving your career clarity?
147,Q_CAREER10_001_022,43,10,25,8,0,2,strong,CAREER_READINESS,"If proper guidance is available, how willing are you to use it for career decision-making?"
148,Q_CAREER10_001_023,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you believe career clarity is essential before choosing a professional path?
149,Q_CAREER10_001_024,43,10,25,8,0,2,strong,CAREER_READINESS,"If you found a useful career assessment tool today, how likely are you to use it seriously?"
150,Q_CAREER10_001_025,43,10,25,8,0,2,strong,CAREER_READINESS,"Even if you feel uncertain now, how hopeful are you that you will find a satisfying career path after Class 10/12?"
151,Q_CAREERBREAK_001_001,43,10,25,8,0,2,strong,CAREER_READINESS,How confident are you in explaining career breaks as a positive or meaningful part of your personal and professional growth?
152,Q_CAREERBREAK_001_002,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel uncertain about how future employers will view a career break in your profile?
153,Q_CAREERBREAK_001_003,43,10,25,8,0,2,strong,CAREER_READINESS,"Compared to others, how well do you think you can present career gaps as a constructive experience?"
154,Q_CAREERBREAK_001_004,43,10,25,8,0,2,strong,CAREER_READINESS,Do you feel uncomfortable or defensive when thinking about explaining a career break to others?
155,Q_CAREERBREAK_001_005,43,10,25,8,0,2,strong,CAREER_READINESS,"If asked in a job interview tomorrow, how confident are you that you could explain a career break positively and confidently?"
156,Q_CAREERBREAK_001_006,43,10,25,8,0,2,strong,CAREER_READINESS,How emotionally stressful does the thought of discussing career breaks in professional settings feel to you?
157,Q_CAREERBREAK_001_007,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you worry that a career break might negatively affect your job opportunities?
158,Q_CAREERBREAK_001_008,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you avoid discussing your career break when talking about your professional journey?
159,Q_CAREERBREAK_001_009,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you feel judged by others when they learn about gaps in your career timeline?
160,Q_CAREERBREAK_001_010,43,10,25,8,0,2,strong,CAREER_READINESS,"Compared to earlier, how much more difficult is it now for you to view career breaks positively?"
161,Q_CAREERBREAK_001_011,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you actively highlight skills or learning gained during your career break?
162,Q_CAREERBREAK_001_012,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you feel the need to hide or downplay career breaks in resumes or profiles?
163,Q_CAREERBREAK_001_013,43,10,25,8,0,2,strong,CAREER_READINESS,"During career planning, how often do you feel your break reduces your confidence about future opportunities?"
164,Q_CAREERBREAK_001_014,43,10,25,8,0,2,strong,CAREER_READINESS,How likely are you to feel less confident than others in interviews because of a career break?
165,Q_CAREERBREAK_001_015,43,10,25,8,0,2,strong,CAREER_READINESS,How often does thinking about your career break disturb your emotional confidence about your career future?
166,Q_CAREERBREAK_001_016,43,10,25,8,0,2,strong,CAREER_READINESS,"How effectively can you reframe a career break as a learning, recovery, or growth experience when needed?"
167,Q_CAREERBREAK_001_017,43,10,25,8,0,2,strong,CAREER_READINESS,"How often do you actively reflect on what you gained (skills, clarity, resilience) during your career break?"
168,Q_CAREERBREAK_001_018,43,10,25,8,0,2,strong,CAREER_READINESS,Some people feel their career break reduces their identity or self-worth. How true is this for you?
169,Q_CAREERBREAK_001_019,43,10,25,8,0,2,strong,CAREER_READINESS,"After thinking about your career journey, including breaks, how positive and confident do you usually feel about your future?"
170,Q_CAREERBREAK_001_020,43,10,25,8,0,2,strong,CAREER_READINESS,"Even if you have a career break, how confident are you that you can still build a strong and successful professional future?"
171,Q_CAREERBREAK_001_021,43,10,25,8,0,2,strong,CAREER_READINESS,How ready are you to confidently present your career break as part of your growth story?
172,Q_CAREERBREAK_001_022,43,10,25,8,0,2,strong,CAREER_READINESS,"If given guidance, how willing would you be to learn how to present career breaks positively in interviews and resumes?"
173,Q_CAREERBREAK_001_023,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you believe career paths are non-linear and still equally valuable?
174,Q_CAREERBREAK_001_024,43,10,25,8,0,2,strong,CAREER_READINESS,"If you learned one effective way to present your career break today, how likely are you to apply it in real interviews or profiles?"
175,Q_CAREERBREAK_001_025,43,10,25,8,0,2,strong,CAREER_READINESS,"Even if career breaks feel like a setback now, how hopeful are you that you can turn them into a strong and meaningful part of your professional identity?"
176,Q_CAREERDEC_001_001,43,10,25,8,0,2,strong,CAREER_READINESS,How confident are you in making career decisions without fearing long-term irreversible consequences?
177,Q_CAREERDEC_001_002,43,10,25,8,0,2,strong,CAREER_READINESS,How often do important career decisions make you feel overwhelmed because of their perceived long-term impact?
178,Q_CAREERDEC_001_003,43,10,25,8,0,2,strong,CAREER_READINESS,Do you worry that one wrong career decision could permanently limit your future opportunities?
179,Q_CAREERDEC_001_004,43,10,25,8,0,2,strong,CAREER_READINESS,"When you see others progressing in different career paths, how pressured do you feel about choosing correctly?"
180,Q_CAREERDEC_001_005,43,10,25,8,0,2,strong,CAREER_READINESS,"Even when facing major career choices, how hopeful are you that you can adjust and succeed over time?"
181,Q_CAREERDEC_001_006,43,10,25,8,0,2,strong,CAREER_READINESS,How emotionally stressful is it for you to think about making major career decisions?
182,Q_CAREERDEC_001_007,43,10,25,8,0,2,strong,CAREER_READINESS,How often does fear of making the wrong career choice delay your decision-making?
183,Q_CAREERDEC_001_008,43,10,25,8,0,2,strong,CAREER_READINESS,How much has fear of irreversible career outcomes reduced your willingness to explore opportunities?
184,Q_CAREERDEC_001_009,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you feel others seem more certain about their career choices than you?
185,Q_CAREERDEC_001_010,43,10,25,8,0,2,strong,CAREER_READINESS,"Compared to earlier, how difficult has it become to make career decisions confidently?"
186,Q_CAREERDEC_001_011,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you postpone career-related actions because you are unsure whether they are the �right� choice?
187,Q_CAREERDEC_001_012,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you spend excessive time researching career options without taking action?
188,Q_CAREERDEC_001_013,43,10,25,8,0,2,strong,CAREER_READINESS,"When considering major career decisions, how often do you experience self-doubt?"
189,Q_CAREERDEC_001_014,43,10,25,8,0,2,strong,CAREER_READINESS,How likely are you to avoid committing to a career path because you fear future regret?
190,Q_CAREERDEC_001_015,43,10,25,8,0,2,strong,CAREER_READINESS,"After making a career-related decision, how quickly are you able to move forward without excessive second-guessing?"
191,Q_CAREERDEC_001_016,43,10,25,8,0,2,strong,CAREER_READINESS,"When career uncertainty creates stress, how effectively can you focus on learning and adaptation instead of fear?"
192,Q_CAREERDEC_001_017,43,10,25,8,0,2,strong,CAREER_READINESS,How often do you remind yourself that career paths can evolve over time?
193,Q_CAREERDEC_001_018,43,10,25,8,0,2,strong,CAREER_READINESS,Some people fear that one decision can permanently define their future. How true is this for you?
194,Q_CAREERDEC_001_019,43,10,25,8,0,2,strong,CAREER_READINESS,"After receiving guidance or reassurance about career planning, how encouraged do you usually feel?"
195,Q_CAREERDEC_001_020,43,10,25,8,0,2,strong,CAREER_READINESS,"Even if you make an imperfect career decision, how confident are you that you can adapt and recover successfully?"
196,Q_CAREERDEC_001_021,43,10,25,8,0,2,strong,CAREER_READINESS,How ready are you to make career decisions despite uncertainty and learn from outcomes?
197,Q_CAREERDEC_001_022,43,10,25,8,0,2,strong,CAREER_READINESS,"If decision-making support was available, how willing would you be to use it consistently?"
198,Q_CAREERDEC_001_023,43,10,25,8,0,2,strong,CAREER_READINESS,How strongly do you believe most career decisions can be adjusted or redirected over time?
