concern_a,label_a,tag_a,concern_b,label_b,tag_b,similarity_score,recommended_group
CONCERN_ACA_1982,"Breaking Down Complex Problems",THINKING_QUALITY,CONCERN_ACA_2470,"Breaking Down Complex Problems",THINKING_QUALITY,1.0000,"Breaking Family"
CONCERN_ACA_1989,"Subject Prioritization Skills",DISCIPLINE_HABITS,CONCERN_ACA_2477,"Subject Prioritization Skills",DISCIPLINE_HABITS,1.0000,"Academic Family 3"
CONCERN_ACA_1995,"Organizing Study Materials",DISCIPLINE_HABITS,CONCERN_ACA_2483,"Organizing Study Materials",DISCIPLINE_HABITS,1.0000,"Materials Family"
CONCERN_ACA_1998,"Accuracy Under Time Pressure",THINKING_QUALITY,CONCERN_CLA_2486,"Accuracy Under Time Pressure",EXAMINATION_READINESS,1.0000,"Accuracy Family"
CONCERN_ACA_2439,"Decision-Making Confidence During Career Planning",ACADEMIC_IDENTITY,CONCERN_CAR_212,"Career Decision-Making Confidence",THINKING_QUALITY,1.0000,"Decision Family"
CONCERN_ACA_2469,"Sequential Thinking Skills",ACADEMIC_COGNITIVE,CONCERN_CON_1981,"Sequential Thinking Skills",ACADEMIC_COGNITIVE,1.0000,"Thinking Family"
CONCERN_ACA_730,"Build Strategic Workplace Relationships",SOCIAL_EMOTIONAL,CONCERN_WOR_1082,"Build Strategic Workplace Relationships",SOCIAL_EMOTIONAL,1.0000,"Workplace Family"
CONCERN_ADA_1479,"Students lacking ownership and accountability",LEADERSHIP_ACCOUNTABILITY,CONCERN_CON_1208,"Measure Student Ownership and Accountability",LEADERSHIP_OWNERSHIP,1.0000,"Accountability Family"
CONCERN_ADJ_1991,"Learning Persistence",MOTIVATION_VALUES,CONCERN_COL_2148,"Managing Students with Low Learning Persistence",MOTIVATION_VALUES,1.0000,"Learning Family 5"
CONCERN_ADJ_1991,"Learning Persistence",MOTIVATION_VALUES,CONCERN_HOL_2479,"Learning Persistence",MOTIVATION_VALUES,1.0000,"Learning Family 5"
CONCERN_ADJ_2222,"Handling Students with Weak Learning Ownership",MOTIVATION_VALUES,CONCERN_CLA_2154,"Building Student Ownership of Learning",MOTIVATION_VALUES,1.0000,"Learning Family 2"
CONCERN_ADJ_404,"Asking Questions at Work",COMMUNICATION_EXPRESSION,CONCERN_EMO_668,"Asking Questions at Work",COMMUNICATION_EXPRESSION,1.0000,"Asking Family"
CONCERN_BEH_1293,"Identifying Students with Hidden Learning Gaps",ACADEMIC_COGNITIVE,CONCERN_DIS_2131,"Identifying Hidden Learning Difficulties",ACADEMIC_COGNITIVE,1.0000,"Hidden Family"
CONCERN_CAR_1384,"Fear of choosing the wrong career",DECISION_ANXIETY,CONCERN_CAR_205,"Fear of Choosing the Wrong Career",EXAMINATION_STRESS,1.0000,"Career Family 9"
CONCERN_CAR_362,"Placement Interviews",COMMUNICATION_EXPRESSION,CONCERN_LIF_30,"Placement Interviews",EMPLOYABILITY,1.0000,"Interviews Family 2"
CONCERN_CAR_443,"Workplace Politics Emotionally",EMOTIONAL_REGULATION,CONCERN_COM_567,"Workplace Politics Emotionally",WORKPLACE_ADAPTATION,1.0000,"Emotionally Family"
CONCERN_CAR_479,"Motivation During Repeated Failures",MOTIVATION_VALUES,CONCERN_MOT_2395,"Motivation After Repeated Failures",MOTIVATION_VALUES,1.0000,"Failures Family"
CONCERN_COG_1525,"ownership over personal growth",SELF_LEADERSHIP,CONCERN_DEC_1436,"ownership for personal growth",GROWTH_ACCOUNTABILITY,1.0000,"Ownership Family"
CONCERN_COG_1525,"ownership over personal growth",SELF_LEADERSHIP,CONCERN_SEL_1545,"ownership for personal growth",ACCOUNTABILITY_DEVELOPMENT,1.0000,"Ownership Family"
CONCERN_COG_1532,"self-confidence despite capability",PERSONAL_EFFECTIVENESS,CONCERN_IDE_1500,"self-confidence despite capability",PERSONAL_DEVELOPMENT,1.0000,"Despite Family"
CONCERN_COL_1114,"Build Strategic Career Optionality",CAREER_GROWTH,CONCERN_CON_1016,"Build Strategic Career Optionality",CAREER_GROWTH,1.0000,"Emotional Family"
CONCERN_COL_2148,"Managing Students with Low Learning Persistence",MOTIVATION_VALUES,CONCERN_HOL_2479,"Learning Persistence",MOTIVATION_VALUES,1.0000,"Learning Family 5"
CONCERN_COL_2198,"Handling Students with Weak Academic Endurance",ACADEMIC_COGNITIVE,CONCERN_EXA_1715,"Academic Endurance",ACADEMIC_PERFORMANCE,1.0000,"Academic Family 10"
CONCERN_COL_572,"Build Executive Presence",LEADERSHIP_READINESS,CONCERN_STR_862,"Build Executive Presence Consistently",LEADERSHIP_READINESS,1.0000,"Executive Family"
