bridge_tag,coverage_status,question_count,concern_count,runtime_remap_target,runtime_route,in_covered_set
TEACHING_QUALITY,uncovered,0,2,INSTRUCTIONAL_QUALITY,keyword,false
ACADEMIC_BEHAVIOR,uncovered,0,1,ACADEMIC_COGNITIVE,keyword,false
ACADEMIC_COUNSELLING,uncovered,0,1,ACADEMIC_COGNITIVE,keyword,false
ACADEMIC_DECISION,uncovered,0,1,THINKING_QUALITY,keyword,false
ACADEMIC_EQUITY,uncovered,0,1,ACADEMIC_COGNITIVE,keyword,false
ACADEMIC_READINESS,uncovered,0,1,ACADEMIC_COGNITIVE,keyword,false
ACCOUNTABILITY_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
ACCOUNTABILITY_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
ADAPTABILITY_COACHING,uncovered,0,1,LEARNING_ADAPTABILITY,override,false
ADAPTABILITY_GUIDANCE,uncovered,0,1,LEARNING_ADAPTABILITY,override,false
ADAPTIVE_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
ADAPTIVE_DIAGNOSTICS,uncovered,0,1,INSTRUCTIONAL_QUALITY,override,false
ADAPTIVE_GROWTH,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
ADAPTIVE_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
ASPIRATIONAL_CLARITY,uncovered,0,1,MOTIVATION_VALUES,keyword,false
ASPIRATIONAL_DEVELOPMENT,uncovered,0,1,MOTIVATION_VALUES,keyword,false
ASSESSMENT_INTELLIGENCE,uncovered,0,1,INSTRUCTIONAL_QUALITY,override,false
ATTENTION_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
BALANCED_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
BEHAVIOR_CORRECTION,uncovered,0,1,DISCIPLINE_HABITS,override,false
BEHAVIORAL_AWARENESS,uncovered,0,1,SELF_REFLECTION,override,false
BEHAVIORAL_GROWTH,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
BEHAVIORAL_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
BEHAVIORAL_REGULATION,uncovered,0,1,DISCIPLINE_HABITS,override,false
CAPABILITY_DEVELOPMENT,uncovered,0,1,COMPETENCY_DEVELOPMENT,keyword,false
CAREER_ACADEMIC,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_AUTONOMY,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_COMPETITION,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_DEVELOPMENT,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_ECOSYSTEM,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_EXPLORATION,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_FLEXIBILITY,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_GUIDANCE,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_MAPPING,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_PRIORITIZATION,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_REFLECTION,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_RISK,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_STABILITY,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
CAREER_SUITABILITY,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_TIMELINE,uncovered,0,1,CAREER_READINESS,keyword,false
CAREER_TRADEOFF,uncovered,0,1,CAREER_READINESS,keyword,false
CHARACTER_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
CLASSROOM_ADAPTATION,uncovered,0,1,CLASSROOM_ENGAGEMENT,keyword,false
COGNITIVE_AWARENESS,uncovered,0,1,THINKING_QUALITY,override,false
COGNITIVE_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
COGNITIVE_EMOTIONAL,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
COGNITIVE_MAPPING,uncovered,0,1,LEARNING_AWARENESS,override,false
COGNITIVE_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
COGNITIVE_SELF,uncovered,0,1,SELF_PERCEPTION,keyword,false
COGNITIVE_SKILLS,uncovered,0,1,COMPETENCY_DEVELOPMENT,keyword,false
COGNITIVE_WELLNESS,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
COLLEGE_ADAPTATION,uncovered,0,1,ACADEMIC_TRANSITION,override,false
COMMUNICATION_BEHAVIOR,uncovered,0,1,COMMUNICATION_EXPRESSION,keyword,false
COMMUNICATION_DEVELOPMENT,uncovered,0,1,COMMUNICATION_EXPRESSION,keyword,false
COMMUNICATION_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
COMPETITIVE_ADAPTATION,uncovered,0,1,ADJUSTMENT_COPING,override,false
DECISION_ANXIETY,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
DECISION_COACHING,uncovered,0,1,THINKING_QUALITY,keyword,false
DECISION_CONFIDENCE,uncovered,0,1,THINKING_QUALITY,keyword,false
DECISION_INDEPENDENCE,uncovered,0,1,THINKING_QUALITY,keyword,false
DECISION_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
DIGITAL_LEARNING,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
DIGITAL_RESPONSIBILITY,uncovered,0,1,DISCIPLINE_HABITS,keyword,false
EMOTIONAL_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
EMOTIONAL_LEARNING,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
EMOTIONAL_LITERACY,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
EMOTIONAL_RESILIENCE,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
EMOTIONAL_RESPONSE,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
EMOTIONAL_SELF,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
EMOTIONAL_WELLBEING,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
EMPLOYABILITY_ACADEMIC,uncovered,0,1,EMPLOYABILITY,keyword,false
ENGAGEMENT_BEHAVIOR,uncovered,0,1,CLASSROOM_ENGAGEMENT,override,false
ENGAGEMENT_MANAGEMENT,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
ENTREPRENEURIAL_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
ENTREPRENEURSHIP_GUIDANCE,uncovered,0,1,CAREER_READINESS,keyword,false
EXAM_READINESS,uncovered,0,1,EXAMINATION_STRESS,keyword,false
EXECUTIVE_COMMUNICATION,uncovered,0,1,COMMUNICATION_EXPRESSION,keyword,false
EXPLORATION_INHIBITION,uncovered,0,1,CONFIDENCE_SELF,override,false
EXPLORATORY_LEARNING,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
FEEDBACK_ADAPTATION,uncovered,0,1,PERFORMANCE_REFLECTION,override,false
FUTURE_CAREER,uncovered,0,1,CAREER_READINESS,keyword,false
FUTURE_SELF,uncovered,0,1,SELF_PERCEPTION,keyword,false
FUTURE_WORKFORCE,uncovered,0,1,WORKPLACE_ADAPTATION,keyword,false
GOAL_ALIGNMENT,uncovered,0,1,MOTIVATION_VALUES,keyword,false
GOAL_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
GROWTH_ACCOUNTABILITY,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_BEHAVIOR,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_MAPPING,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_MEASUREMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_MENTORING,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_MINDSET,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_ORIENTATION,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_PERSISTENCE,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_RECOGNITION,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
GROWTH_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
GROWTH_TRACKING,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
HABIT_DEVELOPMENT,uncovered,0,1,DISCIPLINE_HABITS,keyword,false
IDENTITY_CONFIDENCE,uncovered,0,1,CONFIDENCE_SELF,keyword,false
IDENTITY_CONFLICT,uncovered,0,1,SELF_PERCEPTION,keyword,false
IDENTITY_EXPRESSION,uncovered,0,1,COMMUNICATION_EXPRESSION,keyword,false
IDENTITY_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
INCLUSION_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
INCLUSIVE_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
INDEPENDENCE_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
INNOVATION_ENTREPRENEURSHIP,uncovered,0,1,CAREER_READINESS,keyword,false
INNOVATION_READINESS,uncovered,0,1,CAREER_READINESS,keyword,false
INTEGRITY_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
INTELLECTUAL_GROWTH,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
INTERVENTION_INTELLIGENCE,uncovered,0,1,STUDENT_SUCCESS,override,false
LANGUAGE_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
LEADERSHIP_ACCOUNTABILITY,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
LEADERSHIP_DYNAMICS,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
LEADERSHIP_ENDURANCE,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
LEADERSHIP_FOUNDATIONS,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
LEADERSHIP_MATURITY,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
LEADERSHIP_RECOVERY,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
LEARNING_BEHAVIOR,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_EFFECTIVENESS,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_INTERVENTION,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_MINDSET,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_OPTIMIZATION,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_PERSISTENCE,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_PSYCHOLOGY,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_SKILLS,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LEARNING_SUSTAINABILITY,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
LIFE_READINESS,uncovered,0,1,TRANSITION_READINESS,override,false
LIFESTYLE_ADAPTATION,uncovered,0,1,LIFESTYLE_PRESSURE,keyword,false
LIFESTYLE_ADJUSTMENT,uncovered,0,1,ADJUSTMENT_COPING,keyword,false
LIFESTYLE_CAREER,uncovered,0,1,CAREER_READINESS,keyword,false
MATURITY_DEVELOPMENT,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
METACOGNITION_SELF,uncovered,0,1,SELF_PERCEPTION,keyword,false
METACOGNITIVE_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
MOTIVATION_DEVELOPMENT,uncovered,0,1,MOTIVATION_VALUES,keyword,false
MOTIVATION_PSYCHOLOGY,uncovered,0,1,MOTIVATION_VALUES,keyword,false
ORGANIZATIONAL_INTELLIGENCE,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
OWNERSHIP_ACCOUNTABILITY,uncovered,0,1,LEADERSHIP_OWNERSHIP,override,false
PARENT_SCHOOL,uncovered,0,1,SOCIAL_EMOTIONAL,keyword,false
PERFORMANCE_ANALYSIS,uncovered,0,1,PERFORMANCE_REFLECTION,override,false
PERFORMANCE_BEHAVIOR,uncovered,0,1,DISCIPLINE_HABITS,override,false
PERFORMANCE_COACHING,uncovered,0,1,PERFORMANCE_REFLECTION,override,false
PERFORMANCE_RESILIENCE,uncovered,0,1,EMOTIONAL_REGULATION,override,false
PERSEVERANCE_COACHING,uncovered,0,1,MOTIVATION_VALUES,keyword,false
PERSISTENCE_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
PERSONAL_BRANDING,uncovered,0,1,CAREER_IDENTITY,override,false
PERSONAL_DECISION,uncovered,0,1,THINKING_QUALITY,keyword,false
PERSONAL_EXPANSION,uncovered,0,1,HOLISTIC_DEVELOPMENT,override,false
PERSONAL_GROWTH,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
PERSONAL_IDENTITY,uncovered,0,1,SELF_PERCEPTION,keyword,false
PERSONAL_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
PERSONAL_POSITIONING,uncovered,0,1,SELF_PERCEPTION,override,false
PERSONAL_SUSTAINABILITY,uncovered,0,1,LIFESTYLE_PRESSURE,keyword,false
PERSONALITY_ALIGNMENT,uncovered,0,1,SELF_PERCEPTION,keyword,false
PERSONALITY_CAREER,uncovered,0,1,CAREER_READINESS,keyword,false
PERSONALITY_EXPLORATION,uncovered,0,1,SELF_PERCEPTION,keyword,false
PLACEMENT_OPERATIONS,uncovered,0,1,WORKPLACE_ADAPTATION,keyword,false
PLACEMENT_RISK,uncovered,0,1,WORKPLACE_ADAPTATION,keyword,false
POTENTIAL_DISCOVERY,uncovered,0,1,COMPETENCY_DEVELOPMENT,keyword,false
PRODUCTIVITY_COACHING,uncovered,0,1,DISCIPLINE_HABITS,keyword,false
PROFESSIONAL_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
PSYCHOLOGICAL_ADAPTATION,uncovered,0,1,ADJUSTMENT_COPING,override,false
PURPOSE_ALIGNMENT,uncovered,0,1,MOTIVATION_VALUES,keyword,false
PURPOSE_DISCOVERY,uncovered,0,1,MOTIVATION_VALUES,keyword,false
PURPOSE_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
RECOVERY_BEHAVIOR,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
RECOVERY_CAPABILITY,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
RECOVERY_ORIENTATION,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
REFLECTIVE_LEARNING,uncovered,0,1,THINKING_QUALITY,keyword,false
REFLECTIVE_SYSTEMS,uncovered,0,1,THINKING_QUALITY,keyword,false
RESPONSIBILITY_DEVELOPMENT,uncovered,0,1,HOLISTIC_DEVELOPMENT,keyword,false
SELF_ACCEPTANCE,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_AWARENESS,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_DEVELOPMENT,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_DIAGNOSTIC,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_EVALUATION,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_EXPRESSION,uncovered,0,1,COMMUNICATION_EXPRESSION,keyword,false
SELF_GROWTH,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_MANAGEMENT,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
SELF_MOTIVATION,uncovered,0,1,MOTIVATION_VALUES,keyword,false
SELF_OBSERVATION,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_PROGRESS,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_REGULATION,uncovered,0,1,SELF_PERCEPTION,keyword,false
SELF_WORTH,uncovered,0,1,SELF_PERCEPTION,keyword,false
SKILL_DEVELOPMENT,uncovered,0,1,COMPETENCY_DEVELOPMENT,keyword,false
SOCIAL_CAPABILITY,uncovered,0,1,COMPETENCY_DEVELOPMENT,keyword,false
SOCIAL_DEVELOPMENT,uncovered,0,1,SOCIAL_EMOTIONAL,keyword,false
SOCIAL_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
SOCIAL_LEARNING,uncovered,0,1,LEARNING_ADAPTABILITY,keyword,false
SOCIAL_REFLECTION,uncovered,0,1,THINKING_QUALITY,keyword,false
STAKEHOLDER_ALIGNMENT,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
STRENGTH_DISCOVERY,uncovered,0,1,COMPETENCY_DEVELOPMENT,keyword,false
STUDENT_BALANCE,uncovered,0,1,STUDENT_SUCCESS,keyword,false
STUDENT_DEVELOPMENT,uncovered,0,1,STUDENT_SUCCESS,keyword,false
STUDENT_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
STUDENT_RECOVERY,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
STUDENT_REGULATION,uncovered,0,1,STUDENT_SUCCESS,keyword,false
STUDENT_SUPPORT,uncovered,0,1,STUDENT_SUCCESS,keyword,false
STUDENT_WELLBEING,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
STUDY_STRATEGY,uncovered,0,1,ACADEMIC_COGNITIVE,keyword,false
SUBJECT_ANXIETY,uncovered,0,1,EMOTIONAL_REGULATION,keyword,false
SUBJECT_INTERVENTION,uncovered,0,1,ACADEMIC_COGNITIVE,keyword,false
TALENT_DISCOVERY,uncovered,0,1,COMPETENCY_DEVELOPMENT,keyword,false
TEAM_LEADERSHIP,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
TEAM_LEARNING,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
TEAM_MANAGEMENT,uncovered,0,1,LEADERSHIP_OWNERSHIP,keyword,false
TRANSITION_ADAPTATION,uncovered,0,1,TRANSITION_READINESS,keyword,false
VALUES_BASED,uncovered,0,1,MOTIVATION_VALUES,override,false
VALUES_EXPLORATION,uncovered,0,1,MOTIVATION_VALUES,override,false
VOCATIONAL_GUIDANCE,uncovered,0,1,CAREER_READINESS,keyword,false
WORKFORCE_TRENDS,uncovered,0,1,WORKPLACE_ADAPTATION,keyword,false
WORKPLACE_READINESS,uncovered,0,1,WORKPLACE_ADAPTATION,keyword,false
CONFIDENCE_SELF,covered,625,181,CONFIDENCE_SELF,covered_self,true
ACADEMIC_COGNITIVE,covered,443,140,ACADEMIC_COGNITIVE,covered_self,true
COMMUNICATION_EXPRESSION,covered,150,137,COMMUNICATION_EXPRESSION,covered_self,true
MOTIVATION_VALUES,covered,520,129,MOTIVATION_VALUES,covered_self,true
EXAMINATION_STRESS,covered,425,119,EXAMINATION_STRESS,covered_self,true
LIFESTYLE_PRESSURE,covered,325,116,LIFESTYLE_PRESSURE,covered_self,true
DISCIPLINE_HABITS,covered,800,103,DISCIPLINE_HABITS,covered_self,true
EMOTIONAL_REGULATION,covered,975,96,EMOTIONAL_REGULATION,covered_self,true
THINKING_QUALITY,covered,450,92,THINKING_QUALITY,covered_self,true
ACADEMIC_IDENTITY,covered,175,87,ACADEMIC_IDENTITY,covered_self,true
SOCIAL_EMOTIONAL,covered,825,81,SOCIAL_EMOTIONAL,covered_self,true
LEADERSHIP_OWNERSHIP,covered,400,80,LEADERSHIP_OWNERSHIP,covered_self,true
CAREER_READINESS,covered,675,72,CAREER_READINESS,covered_self,true
COMPETENCY_DEVELOPMENT,covered,939,52,COMPETENCY_DEVELOPMENT,covered_self,true
EMOTIONAL_RECOVERY,covered,650,52,EMOTIONAL_RECOVERY,covered_self,true
EMPLOYABILITY,covered,900,46,EMPLOYABILITY,covered_self,true
HOLISTIC_DEVELOPMENT,covered,600,46,HOLISTIC_DEVELOPMENT,covered_self,true
WORKPLACE_ADAPTATION,covered,532,46,WORKPLACE_ADAPTATION,covered_self,true
ADJUSTMENT_COPING,covered,465,43,ADJUSTMENT_COPING,covered_self,true
CAREER_GROWTH,covered,675,35,CAREER_GROWTH,covered_self,true
STRATEGIC_PREPARATION,covered,425,35,STRATEGIC_PREPARATION,covered_self,true
SELF_REFLECTION,covered,180,32,SELF_REFLECTION,covered_self,true
LEARNING_ADAPTABILITY,covered,350,25,LEARNING_ADAPTABILITY,covered_self,true
LEADERSHIP_READINESS,covered,25,24,LEADERSHIP_READINESS,covered_self,true
CLASSROOM_ENGAGEMENT,covered,50,16,CLASSROOM_ENGAGEMENT,covered_self,true
STEM_LEARNING,covered,100,16,STEM_LEARNING,covered_self,true
FOUNDATIONAL_LEARNING,covered,25,15,FOUNDATIONAL_LEARNING,covered_self,true
COMPETITIVE_EXAM,covered,25,8,COMPETITIVE_EXAM,covered_self,true
CAREER_IDENTITY,covered,75,4,CAREER_IDENTITY,covered_self,true
OVER_COMPLIANCE,covered,25,4,OVER_COMPLIANCE,covered_self,true
ACADEMIC_TRANSITION,covered,75,3,ACADEMIC_TRANSITION,covered_self,true
COMPETENCY_INTELLIGENCE,covered,50,3,COMPETENCY_INTELLIGENCE,covered_self,true
LEARNING_QUALITY,covered,25,2,LEARNING_QUALITY,covered_self,true
LONG_TERM,covered,125,2,LONG_TERM,covered_self,true
SELF_PERCEPTION,covered,25,2,SELF_PERCEPTION,covered_self,true
ADAPTIVE_LEADERSHIP,covered,75,1,ADAPTIVE_LEADERSHIP,covered_self,true
CAREER_EXPECTATIONS,covered,75,1,CAREER_EXPECTATIONS,covered_self,true
CAREER_EXPOSURE,covered,50,1,CAREER_EXPOSURE,covered_self,true
CAREER_PSYCHOLOGY,covered,125,1,CAREER_PSYCHOLOGY,covered_self,true
CONFIDENCE_BUILDING,covered,50,1,CONFIDENCE_BUILDING,covered_self,true
CONFIDENCE_DEVELOPMENT,covered,165,1,CONFIDENCE_DEVELOPMENT,covered_self,true
EMOTIONAL_IDENTITY,covered,25,1,EMOTIONAL_IDENTITY,covered_self,true
FUTURE_LEARNING,covered,25,1,FUTURE_LEARNING,covered_self,true
GENERAL_CONCERN,covered,125,1,GENERAL_CONCERN,covered_self,true
