bridge_tag,concern_count,signal_count,question_count,capability_cov_pct,problem_cov_pct,behavior_cov_pct,archetype_cov_pct,intervention_cov_pct,recommendation_present,intervention_construct_present,matched_construct,missing_layers
CAREER_RECOVERY,2,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
LEADERSHIP_DEVELOPMENT,2,0,40,100,100,100,100,100,0,0,,2
FUTURE_ORIENTATION,2,12,40,0,0,100,100,100,0,0,,3
PERSONAL_INSIGHT,2,0,40,0,0,100,100,100,0,0,,4
SELF_LEARNING,2,0,50,0,0,100,100,100,1,1,SELF_ESTEEM,3
LONG_TERM,2,0,275,0,0,100,50,50,0,0,,4
SELF_LEADERSHIP,2,0,35,50,50,100,100,100,1,1,SELF_ESTEEM,1
EMOTIONAL_MATURITY,2,0,40,0,0,100,100,100,1,1,EMOTIONAL_REGULATION,3
IDENTITY_FORMATION,2,0,40,50,50,100,50,50,0,0,,2
SELF_IDENTITY,2,0,40,0,0,100,100,100,1,1,SELF_ESTEEM,3
SOCIAL_SELF,2,0,40,0,0,100,100,100,1,1,SOCIAL_CONFIDENCE,3
MOTIVATION_MAPPING,2,0,40,100,100,100,100,100,0,0,,2
SELF_PERCEPTION,2,0,25,0,0,100,50,50,1,1,SELF_ESTEEM,3
REFLECTIVE_DEVELOPMENT,2,0,25,0,0,100,50,50,0,0,,4
LEARNING_REFLECTION,2,0,40,50,50,100,100,100,1,1,LEARNING_DRIVE,1
ACADEMIC_REFLECTION,2,0,25,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
PRODUCTIVITY_REFLECTION,2,0,25,50,50,100,100,100,0,0,,2
COLLEGE_ADAPTATION,1,0,40,100,100,100,100,100,0,1,COLLEGE_ADAPT,2
EMPLOYABILITY_ACADEMIC,1,0,40,100,100,100,100,100,0,0,,2
LIFESTYLE_ADJUSTMENT,1,0,40,0,0,100,0,0,0,0,,6
SKILL_DEVELOPMENT,1,34,25,0,0,100,0,0,1,1,SKILL_AWARENESS,4
OWNERSHIP_ACCOUNTABILITY,1,0,40,100,100,100,100,100,0,0,,2
PERSEVERANCE_COACHING,1,0,40,100,100,100,100,100,0,0,,2
ACADEMIC_EQUITY,1,0,50,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
ASSESSMENT_INTELLIGENCE,1,0,75,0,0,100,100,100,0,0,,4
LEARNING_SUSTAINABILITY,1,0,40,100,100,100,100,100,1,1,LEARNING_DRIVE,1
INSTRUCTIONAL_QUALITY,1,0,100,100,100,100,100,100,0,0,,2
ADAPTIVE_DIAGNOSTICS,1,0,40,100,100,100,100,100,0,0,,2
STUDENT_SUCCESS,1,0,25,0,0,100,100,100,0,0,,4
LANGUAGE_DEVELOPMENT,1,0,40,100,100,100,100,100,0,0,,2
STUDENT_SUPPORT,1,0,40,0,0,100,0,0,0,0,,6
STAKEHOLDER_ALIGNMENT,1,0,40,100,100,100,100,100,0,0,,2
INTERVENTION_INTELLIGENCE,1,0,40,100,100,100,0,0,0,0,,4
PLACEMENT_RISK,1,0,25,0,0,100,100,100,0,0,,4
WORKPLACE_READINESS,1,0,25,0,0,100,100,100,0,0,,4
PLACEMENT_OPERATIONS,1,0,40,100,100,100,0,0,0,0,,4
INNOVATION_ENTREPRENEURSHIP,1,0,25,0,0,100,0,0,0,0,,6
ORGANIZATIONAL_INTELLIGENCE,1,0,40,0,0,100,100,100,0,0,,4
CAREER_ACADEMIC,1,0,40,100,100,100,100,100,1,1,CAREER_GROWTH,1
ACADEMIC_COUNSELLING,1,0,40,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
LEARNING_INTERVENTION,1,0,40,0,0,100,100,100,1,1,LEARNING_DRIVE,3
STUDENT_WELLBEING,1,0,40,0,0,100,100,100,0,0,,4
SUBJECT_INTERVENTION,1,0,40,100,100,100,100,100,0,0,,2
ENGAGEMENT_MANAGEMENT,1,0,75,0,0,100,100,100,0,0,,4
COGNITIVE_DEVELOPMENT,1,0,40,0,0,100,100,100,0,0,,4
ACADEMIC_READINESS,1,0,50,100,100,100,100,100,1,1,ACADEMIC_RECOVERY,1
LEARNING_DEPENDENCY,1,0,100,0,0,100,0,0,1,1,LEARNING_DRIVE,5
PERFORMANCE_ANALYSIS,1,0,40,0,0,100,100,100,0,0,,4
SUBJECT_ANXIETY,1,0,40,0,0,100,100,100,0,0,,4
PARENT_SCHOOL,1,0,0,0,0,100,100,100,0,0,,5
LEARNING_SKILLS,1,0,40,0,0,100,100,100,1,1,LEARNING_DRIVE,3
COMMUNICATION_DEVELOPMENT,1,0,40,0,0,100,100,100,1,1,COMMUNICATION,3
COGNITIVE_SKILLS,1,0,200,0,0,100,100,100,0,0,,4
EXAM_READINESS,1,0,50,0,0,100,100,100,1,1,EXAM_READINESS,3
STUDENT_RECOVERY,1,0,40,0,0,100,100,100,0,0,,4
STUDENT_BALANCE,1,0,40,0,0,100,100,100,0,0,,4
INNOVATION_READINESS,1,0,25,0,0,100,100,100,0,0,,4
ACADEMIC_DECISION,1,0,25,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
CAREER_GUIDANCE,1,0,40,100,100,100,100,100,1,1,CAREER_GROWTH,1
FUTURE_CAREER,1,0,40,100,100,100,100,100,0,0,,2
CAREER_PSYCHOLOGY,1,0,125,0,0,100,100,100,1,1,CAREER_GROWTH,3
CAREER_EXPECTATIONS,1,0,200,0,0,100,100,100,1,1,CAREER_GROWTH,3
DECISION_ANXIETY,1,66,40,0,0,100,100,100,0,0,,3
CAREER_EXPOSURE,1,0,50,0,0,100,0,0,1,1,CAREER_GROWTH,5
HIGHER_EDUCATION,1,0,25,0,0,100,0,0,0,0,,6
CAREER_SUITABILITY,1,0,40,0,0,100,0,0,1,1,CAREER_GROWTH,5
WORKFORCE_TRENDS,1,0,40,0,0,100,100,100,0,0,,4
CAREER_DEVELOPMENT,1,0,40,100,100,100,100,100,1,1,CAREER_GROWTH,1
CAREER_COMPETITION,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
CAREER_ECOSYSTEM,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
CAREER_MAPPING,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
VOCATIONAL_GUIDANCE,1,0,40,100,100,100,100,100,0,0,,2
PERSONALITY_CAREER,1,0,25,0,0,100,0,0,0,0,,6
FUTURE_WORKFORCE,1,0,40,0,0,100,100,100,0,0,,4
ENTREPRENEURSHIP_GUIDANCE,1,0,40,100,100,100,100,100,0,0,,2
CAREER_FLEXIBILITY,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
TRANSITION_READINESS,1,0,25,0,0,100,100,100,0,0,,4
STUDENT_DEVELOPMENT,1,0,40,0,0,100,100,100,0,0,,4
GROWTH_MINDSET,1,0,50,0,0,100,0,0,0,0,,6
PERFORMANCE_COACHING,1,0,40,0,0,100,100,100,0,0,,4
GROWTH_MENTORING,1,0,25,0,0,100,100,100,0,0,,4
PERSONAL_GROWTH,1,0,125,0,0,100,100,100,0,0,,4
SOCIAL_DEVELOPMENT,1,0,40,0,0,100,100,100,1,1,SOCIAL_CONFIDENCE,3
SELF_DEVELOPMENT,1,0,25,100,100,100,100,100,1,1,SELF_ESTEEM,1
PRODUCTIVITY_COACHING,1,0,40,0,0,100,0,0,0,0,,6
SOCIAL_CAPABILITY,1,0,50,100,100,100,100,100,1,1,SOCIAL_CONFIDENCE,1
ADAPTABILITY_COACHING,1,0,75,0,0,100,100,100,0,0,,4
CAPABILITY_DEVELOPMENT,1,0,25,100,100,100,100,100,0,0,,2
MATURITY_DEVELOPMENT,1,0,25,0,0,100,100,100,0,0,,4
CHARACTER_DEVELOPMENT,1,0,40,0,0,100,100,100,0,0,,4
EMOTIONAL_RESILIENCE,1,0,40,0,0,100,100,100,1,1,EMOTIONAL_REGULATION,3
INTELLECTUAL_GROWTH,1,0,40,0,0,100,100,100,0,0,,4
PERFORMANCE_RESILIENCE,1,24,31,0,0,100,100,100,0,0,,3
EMOTIONAL_WELLBEING,1,8,50,0,0,100,100,100,1,1,EMOTIONAL_REGULATION,2
DIGITAL_RESPONSIBILITY,1,0,25,0,0,100,100,100,1,1,DIGITAL_DISCIPLINE,3
LIFE_READINESS,1,0,40,0,0,100,0,0,0,0,,6
DECISION_COACHING,1,0,40,0,0,100,100,100,0,0,,4
GROWTH_ACCOUNTABILITY,1,0,40,100,100,100,100,100,0,0,,2
LEARNING_BEHAVIOR,1,0,40,0,0,100,100,100,1,1,LEARNING_DRIVE,3
ACADEMIC_BEHAVIOR,1,0,475,100,100,100,100,100,1,1,ACADEMIC_RECOVERY,1
PERFORMANCE_BEHAVIOR,1,0,37,0,0,100,100,100,0,0,,4
STUDENT_REGULATION,1,0,40,0,0,100,100,100,0,0,,4
MOTIVATION_DEVELOPMENT,1,0,25,0,0,100,100,100,0,0,,4
CLASSROOM_ADAPTATION,1,0,40,0,0,100,100,100,0,0,,4
ADAPTABILITY_GUIDANCE,1,0,50,0,0,100,100,100,0,0,,4
LEARNING_PERSISTENCE,1,0,129,100,100,100,100,100,1,1,LEARNING_DRIVE,1
RECOVERY_BEHAVIOR,1,17,40,0,0,100,100,100,0,0,,3
RESPONSIBILITY_DEVELOPMENT,1,0,40,100,100,100,100,100,0,0,,2
BEHAVIORAL_REGULATION,1,80,40,0,0,100,100,100,0,0,,3
FEEDBACK_ADAPTATION,1,12,40,0,0,100,100,100,0,0,,3
SOCIAL_LEARNING,1,0,40,100,100,100,100,100,1,1,SOCIAL_CONFIDENCE,1
GROWTH_BEHAVIOR,1,0,40,0,0,100,0,0,0,0,,6
LIFESTYLE_ADAPTATION,1,0,40,100,100,100,100,100,0,0,,2
LEARNING_MINDSET,1,0,120,0,0,100,100,100,1,1,LEARNING_DRIVE,3
COMMUNICATION_BEHAVIOR,1,0,50,0,0,100,100,100,1,1,COMMUNICATION,3
INDEPENDENCE_DEVELOPMENT,1,32,40,0,0,100,100,100,0,0,,3
COMPETITIVE_ADAPTATION,1,0,50,0,0,100,100,100,0,0,,4
TRANSITION_ADAPTATION,1,0,40,0,0,100,100,100,0,0,,4
PERSISTENCE_DEVELOPMENT,1,0,25,0,0,100,100,100,0,0,,4
PSYCHOLOGICAL_ADAPTATION,1,0,40,0,0,100,100,100,0,0,,4
EMOTIONAL_RESPONSE,1,0,25,0,0,100,100,100,1,1,EMOTIONAL_REGULATION,3
SELF_AWARENESS,1,0,40,0,0,100,100,100,1,1,SELF_ESTEEM,3
BEHAVIOR_CORRECTION,1,0,39,0,0,100,0,0,0,0,,6
ENGAGEMENT_BEHAVIOR,1,0,40,0,0,100,100,100,0,0,,4
STUDENT_LEADERSHIP,1,0,40,0,0,100,100,100,0,0,,4
DECISION_LEADERSHIP,1,0,40,0,0,100,100,100,0,0,,4
SOCIAL_LEADERSHIP,1,0,40,0,0,100,100,100,1,1,SOCIAL_CONFIDENCE,3
EMOTIONAL_LEADERSHIP,1,0,25,0,0,100,0,0,1,1,EMOTIONAL_REGULATION,5
TEAM_LEADERSHIP,1,0,75,0,0,100,100,100,0,0,,4
CONFIDENCE_BUILDING,1,0,300,0,0,100,100,100,0,0,,4
PERSONAL_LEADERSHIP,1,0,40,0,0,100,100,100,0,0,,4
LEADERSHIP_DYNAMICS,1,0,50,0,0,100,100,100,0,0,,4
LEADERSHIP_ENDURANCE,1,0,40,0,0,100,100,100,0,0,,4
ADAPTIVE_LEADERSHIP,1,0,125,0,0,100,100,100,0,0,,4
LEADERSHIP_ACCOUNTABILITY,1,0,40,100,100,100,100,100,0,0,,2
EXECUTIVE_COMMUNICATION,1,0,25,0,0,100,100,100,1,1,EXECUTIVE_FUNCTION,3
TEAM_MANAGEMENT,1,0,40,0,0,100,0,0,0,0,,6
INCLUSION_LEADERSHIP,1,0,40,100,100,100,100,100,0,0,,2
PROFESSIONAL_LEADERSHIP,1,0,40,0,0,100,100,100,0,0,,4
LEADERSHIP_MATURITY,1,0,40,0,0,100,100,100,0,0,,4
INCLUSIVE_LEADERSHIP,1,0,25,0,0,100,100,100,0,0,,4
COMMUNICATION_LEADERSHIP,1,0,40,100,100,100,100,100,1,1,COMMUNICATION,1
CONFIDENCE_DEVELOPMENT,1,0,165,0,0,100,100,100,0,0,,4
LEADERSHIP_RECOVERY,1,0,40,0,0,100,100,100,0,0,,4
ENTREPRENEURIAL_LEADERSHIP,1,0,40,0,0,100,100,100,0,0,,4
LEADERSHIP_INFLUENCE,1,0,50,100,100,100,100,100,0,0,,2
PERSONAL_BRANDING,1,0,175,100,100,100,100,100,0,0,,2
VALUES_BASED,1,0,25,100,100,100,100,100,0,0,,2
LEADERSHIP_FOUNDATIONS,1,0,40,100,100,100,100,100,0,0,,2
PERSONALITY_EXPLORATION,1,0,40,100,100,100,100,100,0,0,,2
IDENTITY_CONFIDENCE,1,0,25,0,0,100,100,100,0,0,,4
ASPIRATIONAL_DEVELOPMENT,1,0,40,100,100,100,100,100,0,0,,2
EMOTIONAL_LITERACY,1,0,40,100,100,100,100,100,1,1,EMOTIONAL_REGULATION,1
TALENT_DISCOVERY,1,0,25,100,100,100,0,0,0,0,,4
IDENTITY_CONFLICT,1,59,30,0,0,100,100,100,0,0,,3
GROWTH_ORIENTATION,1,0,39,0,0,100,100,100,0,0,,4
VALUES_EXPLORATION,1,0,40,100,100,100,100,100,0,0,,2
BEHAVIORAL_REFLECTION,1,0,40,100,100,100,100,100,0,0,,2
EXPLORATION_INHIBITION,1,25,25,0,0,100,100,100,0,0,,3
PERSONAL_DECISION,1,0,40,0,0,100,100,100,0,0,,4
RECOVERY_ORIENTATION,1,0,40,0,0,100,100,100,0,0,,4
IDENTITY_EXPRESSION,1,0,25,0,0,100,100,100,0,0,,4
PERSONAL_POSITIONING,1,0,40,0,0,100,100,100,0,0,,4
ADAPTIVE_DEVELOPMENT,1,0,40,0,0,100,100,100,0,0,,4
EMOTIONAL_IDENTITY,1,0,25,0,0,100,100,100,1,1,EMOTIONAL_REGULATION,3
PURPOSE_DISCOVERY,1,0,25,0,0,100,100,100,0,0,,4
COGNITIVE_SELF,1,0,50,0,0,100,0,0,0,0,,6
IDENTITY_INTEGRATION,1,0,75,100,100,100,100,100,0,0,,2
GROWTH_MAPPING,1,0,40,100,100,100,100,100,0,0,,2
COGNITIVE_MAPPING,1,0,40,100,100,100,100,100,0,0,,2
BEHAVIORAL_AWARENESS,1,0,250,0,0,100,0,0,0,0,,6
EMOTIONAL_SELF,1,0,25,100,100,100,100,100,1,1,EMOTIONAL_REGULATION,1
POTENTIAL_DISCOVERY,1,0,25,100,100,100,100,100,0,0,,2
GROWTH_MEASUREMENT,1,0,40,0,0,100,0,0,0,0,,6
SELF_WORTH,1,29,50,0,0,100,100,100,1,1,SELF_ESTEEM,2
ADAPTIVE_GROWTH,1,0,40,0,0,100,100,100,0,0,,4
SELF_EXPRESSION,1,0,40,0,0,100,0,0,1,1,SELF_ESTEEM,5
ACCOUNTABILITY_DEVELOPMENT,1,0,50,100,100,100,100,100,0,0,,2
PERSONAL_EXPANSION,1,0,25,0,0,100,100,100,0,0,,4
SELF_MANAGEMENT,1,0,40,100,100,100,100,100,1,1,SELF_ESTEEM,1
PERSONAL_SUSTAINABILITY,1,0,40,0,0,100,100,100,0,0,,4
RECOVERY_CAPABILITY,1,0,40,0,0,100,100,100,0,0,,4
SELF_GROWTH,1,0,50,0,0,100,100,100,1,1,SELF_ESTEEM,3
PERSONAL_IDENTITY,1,0,25,0,0,100,100,100,0,0,,4
GOAL_ALIGNMENT,1,0,50,0,0,100,100,100,1,1,GOAL_ORIENTATION,3
COGNITIVE_EMOTIONAL,1,0,150,0,0,100,100,100,0,0,,4
FUTURE_SELF,1,0,25,100,100,100,100,100,0,0,,2
CAREER_REFLECTION,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
STRENGTH_DISCOVERY,1,0,25,100,100,100,0,0,0,0,,4
CAREER_STABILITY,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
DECISION_CONFIDENCE,1,0,40,0,0,100,100,100,0,0,,4
CAREER_AUTONOMY,1,0,25,0,0,100,0,0,1,1,CAREER_GROWTH,5
CAREER_EXPLORATION,1,0,40,100,100,100,100,100,1,1,CAREER_GROWTH,1
PERSONALITY_ALIGNMENT,1,0,40,0,0,100,100,100,0,0,,4
CAREER_RISK,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
CAREER_PRIORITIZATION,1,0,25,0,0,100,100,100,1,1,CAREER_GROWTH,3
DECISION_INDEPENDENCE,1,33,25,0,0,100,100,100,0,0,,3
ASPIRATIONAL_CLARITY,1,0,40,0,0,100,100,100,0,0,,4
CAREER_TRADEOFF,1,0,40,100,100,100,100,100,1,1,CAREER_GROWTH,1
IDENTITY_REFLECTION,1,0,40,0,0,100,100,100,0,0,,4
MULTI_POTENTIALITY,1,0,25,100,100,100,100,100,0,0,,2
CAREER_TIMELINE,1,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
WORKPLACE_FIT,1,0,25,100,100,100,100,100,0,0,,2
PURPOSE_ALIGNMENT,1,0,40,0,0,100,100,100,0,0,,4
LIFESTYLE_CAREER,1,0,40,0,0,100,100,100,0,0,,4
LEARNING_AWARENESS,1,0,100,0,0,100,100,100,1,1,LEARNING_DRIVE,3
METACOGNITIVE_DEVELOPMENT,1,0,40,0,0,100,100,100,0,0,,4
COGNITIVE_REFLECTION,1,0,40,100,100,100,100,100,0,0,,2
STUDY_STRATEGY,1,0,50,100,100,100,100,100,0,0,,2
LEARNING_EFFECTIVENESS,1,0,25,0,0,100,100,100,1,1,LEARNING_DRIVE,3
SELF_MOTIVATION,1,0,40,100,100,100,100,100,1,1,SELF_ESTEEM,1
SELF_DIAGNOSTIC,1,0,40,100,100,100,100,100,1,1,SELF_ESTEEM,1
PERFORMANCE_REFLECTION,1,0,75,100,100,100,100,100,0,0,,2
COGNITIVE_WELLNESS,1,0,40,0,0,100,100,100,0,0,,4
LEARNING_PSYCHOLOGY,1,0,40,0,0,100,100,100,1,1,LEARNING_DRIVE,3
LEARNING_OPTIMIZATION,1,0,80,100,100,100,100,100,1,1,LEARNING_DRIVE,1
EXPLORATORY_LEARNING,1,0,40,0,0,100,100,100,0,0,,4
COGNITIVE_AWARENESS,1,0,25,100,100,100,100,100,0,0,,2
GROWTH_REFLECTION,1,0,40,0,0,100,100,100,0,0,,4
SELF_PROGRESS,1,0,40,0,0,100,0,0,1,1,SELF_ESTEEM,5
ATTENTION_REFLECTION,1,0,75,0,0,100,100,100,1,1,ATTENTION_REGULATION,3
EMOTIONAL_LEARNING,1,0,40,100,100,100,100,100,1,1,EMOTIONAL_REGULATION,1
FUTURE_LEARNING,1,0,50,100,100,100,100,100,0,0,,2
TEAM_LEARNING,1,0,40,100,100,100,100,100,0,0,,2
GROWTH_TRACKING,1,0,40,0,0,100,0,0,0,0,,6
SELF_EVALUATION,1,0,25,0,0,100,0,0,1,1,SELF_ESTEEM,5
REFLECTIVE_LEARNING,1,0,25,0,0,100,100,100,0,0,,4
SELF_REGULATION,1,2,40,0,0,100,100,100,1,1,SELF_ESTEEM,2
MOTIVATION_PSYCHOLOGY,1,0,40,0,0,100,100,100,0,0,,4
SELF_OBSERVATION,1,0,40,0,0,100,0,0,1,1,SELF_ESTEEM,5
GOAL_REFLECTION,1,0,40,0,0,100,100,100,1,1,GOAL_ORIENTATION,3
HABIT_DEVELOPMENT,1,0,40,0,0,100,0,0,1,1,HABIT_FORMATION,5
PERSONAL_VISION,1,0,100,100,100,100,100,100,0,0,,2
SELF_ACCEPTANCE,1,0,50,0,0,100,0,0,1,1,SELF_ESTEEM,5
BEHAVIORAL_GROWTH,1,0,40,0,0,100,100,100,0,0,,4
GROWTH_RECOGNITION,1,0,40,0,0,100,0,0,0,0,,6
ACCOUNTABILITY_REFLECTION,1,0,40,100,100,100,100,100,0,0,,2
SOCIAL_REFLECTION,1,0,40,100,100,100,100,100,1,1,SOCIAL_CONFIDENCE,1
ADAPTIVE_REFLECTION,1,0,40,0,0,100,0,0,0,0,,6
INTEGRITY_REFLECTION,1,0,40,0,0,100,100,100,0,0,,4
GROWTH_PERSISTENCE,1,0,25,0,0,100,100,100,0,0,,4
