question_id,concern_id,response_type,distinctiveness,diagnostic_power,signal_value,human_readability,behavioral_realism,composite,options
Q_CAREER_001_001,CAREER_001,decision_clarity,100,100,100,100,77,95,Completely Confused | Slightly Clear | Moderately Clear | Clear | Very Clear
Q_CAREER_001_020,CAREER_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_CAREER_001_021,CAREER_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_CAREER_001_022,CAREER_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_CAREER_001_023,CAREER_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_CAREER_001_024,CAREER_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_CAREER_001_025,CAREER_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_SKILL_001_001,SKILL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_SKILL_001_002,SKILL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_SKILL_001_003,SKILL_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_SKILL_001_004,SKILL_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_SKILL_001_005,SKILL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_SKILL_001_006,SKILL_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_SKILL_001_007,SKILL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_SKILL_001_008,SKILL_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_SKILL_001_009,SKILL_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_SKILL_001_010,SKILL_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_SKILL_001_011,SKILL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_SKILL_001_012,SKILL_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_SKILL_001_013,SKILL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_SKILL_001_014,SKILL_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_SKILL_001_015,SKILL_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_SKILL_001_016,SKILL_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_SKILL_001_017,SKILL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_SKILL_001_018,SKILL_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_SKILL_001_019,SKILL_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_SKILL_001_020,SKILL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_SKILL_001_021,SKILL_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_SKILL_001_022,SKILL_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_SKILL_001_023,SKILL_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_SKILL_001_024,SKILL_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_SKILL_001_025,SKILL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_001,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_002,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_003,PLACE_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PLACE_001_004,PLACE_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_005,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_006,PLACE_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_PLACE_001_007,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_008,PLACE_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_PLACE_001_009,PLACE_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_010,PLACE_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_011,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_012,PLACE_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_PLACE_001_013,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_014,PLACE_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_TRANS_001_012,TRANS_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_015,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_016,PLACE_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_PLACE_001_017,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_018,PLACE_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_PLACE_001_019,PLACE_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_PLACE_001_020,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_021,PLACE_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_022,PLACE_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_023,PLACE_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_024,PLACE_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PLACE_001_025,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PRACTICAL_001_001,PRACTICAL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PRACTICAL_001_002,PRACTICAL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PRACTICAL_001_003,PRACTICAL_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PRACTICAL_001_004,PRACTICAL_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PRACTICAL_001_005,PRACTICAL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PRACTICAL_001_006,PRACTICAL_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_PRACTICAL_001_007,PRACTICAL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PRACTICAL_001_008,PRACTICAL_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PRACTICAL_001_009,PRACTICAL_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PRACTICAL_001_010,PRACTICAL_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PRACTICAL_001_011,PRACTICAL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PRACTICAL_001_012,PRACTICAL_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_PRACTICAL_001_013,PRACTICAL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PRACTICAL_001_014,PRACTICAL_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PRACTICAL_001_015,PRACTICAL_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_PRACTICAL_001_016,PRACTICAL_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_PRACTICAL_001_017,PRACTICAL_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PRACTICAL_001_018,PRACTICAL_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_PRACTICAL_001_019,PRACTICAL_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_PRACTICAL_001_020,PRACTICAL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_STR_001_025,STR_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PRACTICAL_001_021,PRACTICAL_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PRACTICAL_001_022,PRACTICAL_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PRACTICAL_001_023,PRACTICAL_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PRACTICAL_001_024,PRACTICAL_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PRACTICAL_001_025,PRACTICAL_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_001_v2,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_002_v2,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_003_v2,PLACE_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PLACE_001_004_v2,PLACE_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_005_v2,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_006_v2,PLACE_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_PLACE_001_007_v2,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_008_v2,PLACE_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_PLACE_001_009_v2,PLACE_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_010_v2,PLACE_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_011_v2,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_012_v2,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_013_v2,PLACE_001,social_comfort,100,100,100,100,77,95,Very Uncomfortable | Uncomfortable | Neutral | Comfortable | Very Comfortable
Q_PLACE_001_014_v2,PLACE_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PLACE_001_015_v2,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_016_v2,PLACE_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_PLACE_001_017_v2,PLACE_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_PLACE_001_018_v2,PLACE_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_PLACE_001_019_v2,PLACE_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_PLACE_001_020_v2,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_PLACE_001_021_v2,PLACE_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_022_v2,PLACE_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_023_v2,PLACE_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_024_v2,PLACE_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_PLACE_001_025_v2,PLACE_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_TRANSITION_001_001,TRANSITION_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_TRANSITION_001_002,TRANSITION_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_TRANSITION_001_003,TRANSITION_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_TRANSITION_001_004,TRANSITION_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TRANSITION_001_005,TRANSITION_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_TRANSITION_001_006,TRANSITION_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_TRANSITION_001_007,TRANSITION_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_TRANSITION_001_008,TRANSITION_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_TRANSITION_001_009,TRANSITION_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TRANSITION_001_010,TRANSITION_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TRANSITION_001_011,TRANSITION_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_TRANSITION_001_012,TRANSITION_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_TRANSITION_001_013,TRANSITION_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_TRANSITION_001_014,TRANSITION_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_TRANSITION_001_015,TRANSITION_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_TRANSITION_001_016,TRANSITION_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_TRANSITION_001_017,TRANSITION_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_TRANSITION_001_018,TRANSITION_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_TRANSITION_001_019,TRANSITION_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_TRANSITION_001_020,TRANSITION_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_TRANSITION_001_021,TRANSITION_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TRANSITION_001_022,TRANSITION_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TRANSITION_001_023,TRANSITION_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TRANSITION_001_024,TRANSITION_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_TRANSITION_001_025,TRANSITION_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_INTERVIEW_001_001,INTERVIEW_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_INTERVIEW_001_002,INTERVIEW_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_INTERVIEW_001_003,INTERVIEW_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_INTERVIEW_001_004,INTERVIEW_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_INTERVIEW_001_005,INTERVIEW_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_INTERVIEW_001_006,INTERVIEW_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_INTERVIEW_001_007,INTERVIEW_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_INTERVIEW_001_008,INTERVIEW_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_INTERVIEW_001_009,INTERVIEW_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_INTERVIEW_001_010,INTERVIEW_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_INTERVIEW_001_011,INTERVIEW_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_INTERVIEW_001_012,INTERVIEW_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_INTERVIEW_001_013,INTERVIEW_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_INTERVIEW_001_014,INTERVIEW_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_INTERVIEW_001_015,INTERVIEW_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_INTERVIEW_001_016,INTERVIEW_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_INTERVIEW_001_017,INTERVIEW_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_INTERVIEW_001_018,INTERVIEW_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_INTERVIEW_001_019,INTERVIEW_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_INTERVIEW_001_020,INTERVIEW_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_INTERVIEW_001_021,INTERVIEW_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_INTERVIEW_001_022,INTERVIEW_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_INTERVIEW_001_023,INTERVIEW_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_INTERVIEW_001_024,INTERVIEW_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_INTERVIEW_001_025,INTERVIEW_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_BURNOUT_001_001,BURNOUT_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_BURNOUT_001_002,BURNOUT_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_BURNOUT_001_003,BURNOUT_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_004,BURNOUT_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_BURNOUT_001_005,BURNOUT_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_BURNOUT_001_006,BURNOUT_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_BURNOUT_001_007,BURNOUT_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_BURNOUT_001_008,BURNOUT_001,energy_motivation,100,100,100,100,100,100,Completely Drained | Low Energy | Moderate Energy | Motivated | Highly Energized
Q_BURNOUT_001_009,BURNOUT_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_010,BURNOUT_001,intensity,100,100,100,100,77,95,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_011,BURNOUT_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_BURNOUT_001_012,BURNOUT_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_BURNOUT_001_013,BURNOUT_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_BURNOUT_001_014,BURNOUT_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_BURNOUT_001_015,BURNOUT_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_BURNOUT_001_016,BURNOUT_001,coping_effectiveness,100,100,100,100,77,95,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_BURNOUT_001_017,BURNOUT_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_BURNOUT_001_018,BURNOUT_001,behavioral_consistency,100,100,100,100,100,100,Never True | Rarely True | Sometimes True | Mostly True | Always True
Q_BURNOUT_001_019,BURNOUT_001,emotional_impact,100,100,100,100,100,100,No Impact | Mild Impact | Moderate Impact | Major Impact | Severe Impact
Q_BURNOUT_001_020,BURNOUT_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_BURNOUT_001_021,BURNOUT_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_BURNOUT_001_022,BURNOUT_001,readiness,100,100,100,100,77,95,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_BURNOUT_001_023,BURNOUT_001,agreement,100,100,100,100,77,95,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_BURNOUT_001_024,BURNOUT_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
Q_BURNOUT_001_025,BURNOUT_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_WORK_001_001,WORK_001,confidence,100,100,100,100,100,100,Very Low | Low | Moderate | High | Very High
Q_WORK_001_002,WORK_001,frequency,100,100,100,100,100,100,Never | Rarely | Sometimes | Often | Very Often
Q_WORK_001_003,WORK_001,situational_fit,100,100,100,100,100,100,Not Like Me | Slightly Like Me | Somewhat Like Me | Mostly Like Me | Exactly Like Me
