question_id,concern_id,bridge_tag,composite,relevance,grammar,sophistication,personalization,information_gain,root_cause_utility,question_text
Q_ADAPT_001_010,ADAPT_001,LEARNING_ADAPTABILITY,71,35,100,100,40,100,53,"Compared to earlier, how difficult has it become to feel professionally confident during periods of change?"
Q_CULT_001_009,CULT_001,WORKPLACE_ADAPTATION,71,35,100,100,20,100,68,"How often do students participate in hackathons, competitions, or clubs focused on skills?"
Q_CULT_001_022,CULT_001,WORKPLACE_ADAPTATION,71,60,100,90,20,100,53,How much does peer pressure encourage or discourage skill-building?
Q_CULT_001_023,CULT_001,WORKPLACE_ADAPTATION,71,35,100,100,20,100,68,"How often do students participate in workshops, bootcamps, or online certifications?"
Q_MEM_001_017,MEM_001,ACADEMIC_COGNITIVE,71,60,100,90,20,100,53,How much do peer discussions focus on expected questions rather than concepts?
Q_CURR_001_004_v2,CURR_001,COMPETENCY_INTELLIGENCE,71,60,100,90,20,100,53,How often do classroom learning experiences feel relevant to real-world skills and competencies?
Q_ACADDECLINE_001_006,ACADDECLINE_001,ACADEMIC_COGNITIVE,71,60,100,90,20,100,53,How emotionally draining is it to work hard without seeing expected academic improvement?
Q_FEAR_AVOID_001_006,FEAR_AVOID_001,EMOTIONAL_REGULATION,71,60,100,90,20,100,53,How emotionally stressful does it feel to even think about failing in academic tasks?
Q_OVR_001_015,OVR_001,GENERAL_CONCERN,71,35,100,90,10,100,90,How often do small problems turn into large mental stress due to overanalysis?
Q_SHORTVID_001_017,SHORTVID_001,LIFESTYLE_PRESSURE,71,35,100,90,35,100,68,How often are screen-time limits or rules followed consistently at home?
Q_SHORTVID_001_024,SHORTVID_001,LIFESTYLE_PRESSURE,71,35,100,100,40,100,53,"If a structured screen-time plan were introduced, how likely is it that it would be followed consistently?"
Q_OVR_001_015_v2,OVR_001,GENERAL_CONCERN,71,35,100,90,10,100,90,How often do small problems turn into large mental stress due to overanalysis?
Q_BURNOUT_001_002_v3,BURNOUT_001,EMOTIONAL_REGULATION,71,60,100,90,20,100,53,How often does studying for competitive exams feel overwhelming rather than manageable?
Q_MOCK_001_006,MOCK_001,EMPLOYABILITY,71,60,100,90,20,100,53,How stressful do mock tests feel compared to actual exams?
Q_INTERVIEW_001_009_v3,INT_CONF_001,EMPLOYABILITY,71,41,100,68,65,100,53,Do you feel intimidated by interviewers easily?
Q_HWHP_001_006,HWHP_001,CONFIDENCE_DEVELOPMENT,71,60,100,90,20,100,53,How stressful does it feel to think about solving difficult exam questions under time pressure?
Q_REV_001_006_v3,REV_001,STRATEGIC_PREPARATION,71,60,100,90,20,100,53,How stressful does it feel to revise the same subject multiple times for better retention?
Q_COACH_001_005,COACH_001,SOCIAL_EMOTIONAL,71,60,100,90,20,100,53,How much does coaching investment increase fear of failing exams?
Q_DECISION_001_006_v3,DECISION_001,THINKING_QUALITY,71,60,100,90,20,100,53,How mentally exhausting does it feel to make career decisions without clear guidance?
Q_REC_001_007,REC_001,EMOTIONAL_RECOVERY,71,41,100,68,65,100,53,Do you feel rejection defines your abilities?
Q_BAL_001_006_v3,BAL_001,HOLISTIC_DEVELOPMENT,71,60,100,90,20,100,53,How stressful is it to manage both learning goals and family expectations?
Q_COMP_001_010_v8,COMP_001,COMPETENCY_DEVELOPMENT,71,35,100,100,40,100,53,"Compared to earlier, how difficult has it become to stay confident when exposed to constant comparison with others?"
Q_PROBATION_001_002,PROBATION_001,WORKPLACE_ADAPTATION,71,60,100,90,20,100,53,How often do thoughts about probation evaluation create stress or self-doubt?
Q_ELO_001_006,ELO_001,SOCIAL_EMOTIONAL,71,60,100,90,20,100,53,How stressful does it feel to think about being responsible for deciding or communicating layoffs?
Q_UNCERTLEAD_001_006,UNCERTLEAD_001,THINKING_QUALITY,71,60,100,90,20,100,53,How stressful does it feel to be responsible for leading others in uncertain or unpredictable situations?
Q_GROWTHSTABILITY_001_006,GROWTHSTABILITY_001,HOLISTIC_DEVELOPMENT,71,60,100,90,20,100,53,How emotionally exhausting does it feel to constantly balance ambition with the need for security and stability?
Q_DISRUPTION_001_010,DISRUPTION_001,ADAPTIVE_LEADERSHIP,71,35,100,100,40,100,53,"Compared to earlier, how difficult has it become to remain emotionally confident while leading through instability?"
Q_REINVENT_001_006_v4,REINVENT_001,CAREER_GROWTH,71,60,100,90,20,100,53,How stressful does it feel to constantly adapt to changing expectations in career or life?
Q_RESTART_001_006,RESTART_001,CAREER_GROWTH,71,60,100,90,20,100,53,How emotionally exhausting is it to think about losing progress and rebuilding again?
Q_ROLE_001_006,ROLE_001,LEADERSHIP_OWNERSHIP,71,78,100,76,20,100,53,How stressful do role changes feel emotionally?
Q_PAS_001_006,PAS_001,PERSONAL_VISION,71,60,100,90,20,100,53,How stressful does it feel to choose between career advancement and personal well-being?
Q_SKILL_001_008,SKILL_001,COMPETENCY_DEVELOPMENT,72,41,100,75,65,100,53,How much has skill-related confusion reduced your motivation to learn new things?
Q_FOCUS_001_010,FOCUS_001,DISCIPLINE_HABITS,72,35,100,100,20,100,75,"Compared to last year, how much more difficult does sustained studying feel now?"
Q_TESTSTRAT_001_010,TESTSTRAT_001,STRATEGIC_PREPARATION,72,60,100,100,20,100,53,"Compared to last year, how much more difficult does managing exam strategy feel now?"
Q_MULTIATTEMPT_001_006,MULTIATTEMPT_001,STRATEGIC_PREPARATION,72,78,100,90,10,100,53,How stressful does preparing through multiple attempts feel emotionally?
Q_MULTIATTEMPT_001_006_v2,MULTIATTEMPT_001,STRATEGIC_PREPARATION,72,78,100,90,10,100,53,How stressful does preparing through multiple attempts feel emotionally?
Q_HOLISTIC_001_006_v4,HOLISTIC_001,HOLISTIC_DEVELOPMENT,72,60,100,100,20,100,53,"How stressful does it feel to balance achievement, learning, and emotional wellbeing at the same time?"
Q_HOL_001_008,HOL_001,HOLISTIC_DEVELOPMENT,72,41,100,75,65,100,53,How much has pressure to do well in everything affected your motivation levels?
Q_LEAD_001_008,LEAD_001,LEADERSHIP_OWNERSHIP,72,41,100,75,65,100,53,How difficult is it for you to delegate tasks instead of doing everything yourself?
Q_HLG_001_009,HLG_001,TRANSITION_READINESS,72,41,100,75,65,100,53,How strongly do external expectations make you feel that you must have everything figured out as a future leader?
Q_STRATEGIC_001_010,STRATEGIC_001,STRATEGIC_PREPARATION,72,60,100,100,20,100,53,"Compared to earlier, how difficult has it become to confidently handle broader leadership responsibilities?"
Q_ENTERPRISE_001_010,ENTERPRISE_001,WORKPLACE_ADAPTATION,72,60,100,100,20,100,53,"Compared to earlier, how difficult has it become to feel confident about leading long-term organizational growth?"
Q_CULT_001_019,CULT_001,WORKPLACE_ADAPTATION,72,35,100,90,40,100,68,How often do students build resumes or LinkedIn profiles during college years?
Q_FEAR_AVOID_001_010,FEAR_AVOID_001,EMOTIONAL_REGULATION,72,60,100,100,20,100,53,"Compared to earlier, how difficult has it become to start academic tasks without hesitation?"
Q_CONCEPT_001_010_v3,CONCEPT_001,ACADEMIC_COGNITIVE,72,60,100,100,20,100,53,"Compared to earlier learning experiences, how difficult has understanding complex concepts become?"
Q_CAM_001_006,CAM_001,WORKPLACE_ADAPTATION,72,60,100,100,20,100,53,"How stressful does it feel to think about following strict schedules, hierarchy, and workplace discipline?"
Q_MULTI_001_009,MULTI_001,MULTI_POTENTIALITY,72,60,100,100,20,100,53,"Compared to earlier semesters, how much harder is it now to manage all subjects together?"
Q_PASS_001_009,PASS_001,CAREER_PSYCHOLOGY,72,41,100,75,65,100,53,How often do you regret choosing practical subjects over things you enjoy?
Q_THEOPROJ_001_007,THEOPROJ_001,STEM_LEARNING,72,41,100,75,65,100,53,How often do you stop at understanding concepts without trying to build anything practical?
Q_LTP_001_008,LTP_001,LONG_TERM,72,41,100,75,65,100,53,How much pressure do you feel to figure everything out quickly instead of growing gradually?
Q_COMPIND_001_008,COMPIND_001,COMPETENCY_DEVELOPMENT,72,41,100,75,65,100,53,How emotionally draining is it for you to figure things out on your own without guidance?
Q_PLACEMENT_001_010_v3,PLACEMENT_001,EMPLOYABILITY,72,60,100,100,20,100,53,"Compared to earlier stages, how difficult has it become to emotionally handle placement preparation?"
Q_WORKHOME_001_010,WORKHOME_001,HOLISTIC_DEVELOPMENT,72,60,100,100,20,100,53,"Compared to last year, how much more difficult has it become to separate work stress from personal life?"
Q_STS_001_006,STS_001,ACADEMIC_TRANSITION,72,60,100,100,20,100,53,"How stressful does it feel to handle deadlines, pressure, or expectations without external guidance?"
Q_GROWTHSTABILITY_001_010,GROWTHSTABILITY_001,HOLISTIC_DEVELOPMENT,72,60,100,100,20,100,53,"Compared to earlier, how difficult has it become to emotionally balance ambition with personal stability?"
Q_MULTIEXP_001_010_v2,MULTIEXP_001,CAREER_EXPECTATIONS,72,60,100,100,20,100,53,"Compared to last year, how much more difficult has handling multiple expectations become emotionally?"
Q_LEAD_001_010_v4,LEAD_001,LEADERSHIP_OWNERSHIP,72,60,100,100,20,100,53,"Compared to previous setbacks, how much harder has it become to emotionally manage failures now?"
Q_REJECTION_001_010,REJECTION_001,EMOTIONAL_RECOVERY,72,60,100,100,20,100,53,"Compared to earlier, how difficult has it become to emotionally recover from rejection experiences?"
Q_SOCIAL_001_010_v3,SOCIAL_001,SOCIAL_EMOTIONAL,72,60,100,100,20,100,53,"Compared to earlier, how difficult has it become to emotionally ignore negative social opinions?"
Q_REINVENT_001_015_v7,REINVENT_001,CAREER_GROWTH,72,35,100,90,40,100,68,How difficult is it to stay emotionally positive when progress feels slow?
Q_JOB_001_019_v3,JOB_001,EMPLOYABILITY,72,41,100,75,65,100,53,How confident are you that things will work out in your career despite uncertainty?
Q_RECOV_001_003_v2,RECOV_001,EMOTIONAL_RECOVERY,72,41,100,75,65,100,53,Do you feel like you must always be doing something to feel productive?
Q_RECOV_001_010_v2,RECOV_001,EMOTIONAL_RECOVERY,72,41,100,75,65,100,53,How comfortable are you doing nothing without feeling lazy?
Q_PERFBURN_001_010,PERFBURN_001,EMOTIONAL_REGULATION,72,60,100,100,20,100,53,"Compared to earlier, how much more emotionally exhausting is maintaining performance now?"
Q_REJ_001_023,REJ_001,EMOTIONAL_RECOVERY,73,41,100,90,55,100,53,How strongly do you believe rejection is part of the learning process?
Q_ECOSYS_001_003,ECOSYS_001,ADJUSTMENT_COPING,73,35,100,85,40,100,75,"When comparing syllabi or outcomes, how easy is it to see how everything connects across subjects?"
Q_CAREER_002_006,CAREER_002,CAREER_READINESS,73,60,100,90,10,100,75,How mentally stressful is the thought of committing to one career path permanently?
Q_COMPARE_001_007_v3,COMPARE_001,SOCIAL_EMOTIONAL,73,41,100,90,55,100,53,How often does comparing yourself with others reduce your motivation?
Q_COMPARE_001_023_v3,COMPARE_001,SOCIAL_EMOTIONAL,73,41,100,90,55,100,53,How strongly do you believe comparing yourself with others helps your long-term growth?
Q_COMPARE_001_007_v4,COMPARE_001,SOCIAL_EMOTIONAL,73,41,100,90,55,100,53,How often does comparing yourself with others reduce your motivation?
Q_COMPARE_001_023_v4,COMPARE_001,SOCIAL_EMOTIONAL,73,41,100,90,55,100,53,How strongly do you believe comparing yourself with others helps your long-term growth?
Q_DIG_001_002_v2,DIG_001,LIFESTYLE_PRESSURE,73,41,100,90,55,100,53,How often do you lose study time due to scrolling on social media or entertainment apps?
Q_DIG_001_008_v2,DIG_001,LIFESTYLE_PRESSURE,73,41,100,90,55,100,53,How much does phone usage interrupt your study sessions on a daily basis?
Q_RES_001_024_v2,RES_001,EMOTIONAL_RECOVERY,73,41,100,90,55,100,53,Do you believe competition helps you grow or makes you weaker?
Q_MOT_001_001_v2,MOT_001,MOTIVATION_VALUES,73,41,100,90,55,100,53,How consistently are you able to stay motivated throughout an entire semester?
Q_MOT_001_006_v2,MOT_001,MOTIVATION_VALUES,73,41,100,90,55,100,53,How often do you feel tired of studying midway through a semester?
Q_MOT_001_009_v2,MOT_001,MOTIVATION_VALUES,73,41,100,90,55,100,53,How often do you feel consistent effort is difficult to maintain over months?
Q_COMPARE_001_007_v5,COMPARE_001,SOCIAL_EMOTIONAL,73,41,100,90,55,100,53,How often does comparing yourself with others reduce your motivation?
Q_COMPARE_001_023_v5,COMPARE_001,SOCIAL_EMOTIONAL,73,41,100,90,55,100,53,How strongly do you believe comparing yourself with others helps your long-term growth?
Q_DIG_001_002_v3,DIG_001,LIFESTYLE_PRESSURE,73,41,100,90,55,100,53,How often do you lose study time due to scrolling on social media or entertainment apps?
Q_DIG_001_008_v3,DIG_001,LIFESTYLE_PRESSURE,73,41,100,90,55,100,53,How much does phone usage interrupt your study sessions on a daily basis?
Q_RES_001_024_v3,RES_001,EMOTIONAL_RECOVERY,73,41,100,90,55,100,53,Do you believe competition helps you grow or makes you weaker?
Q_MOT_001_001_v3,MOT_001,MOTIVATION_VALUES,73,41,100,90,55,100,53,How consistently are you able to stay motivated throughout an entire semester?
Q_MOT_001_006_v3,MOT_001,MOTIVATION_VALUES,73,41,100,90,55,100,53,How often do you feel tired of studying midway through a semester?
Q_MOT_001_009_v3,MOT_001,MOTIVATION_VALUES,73,41,100,90,55,100,53,How often do you feel consistent effort is difficult to maintain over months?
Q_RES_001_023_v4,RES_001,EMOTIONAL_RECOVERY,73,41,100,90,55,100,53,How strongly do you believe rejection is part of the learning process?
Q_REV_001_003,REV_001,STRATEGIC_PREPARATION,73,41,100,81,65,100,53,How often do you forget to revise topics you already planned to revise?
Q_COACH_001_003,COACH_001,SOCIAL_EMOTIONAL,73,60,100,90,20,100,65,How often do family expectations increase because of coaching expenses?
Q_EXP_001_001,EXP_001,CAREER_EXPOSURE,73,41,100,90,55,100,53,How confident do you feel about handling real workplace tasks (not academic assignments)?
Q_CAREERREINVENT_001_015,CAREERREINVENT_001,CAREER_GROWTH,73,60,100,90,20,100,68,How often do thoughts about career change create long-lasting worry or emotional discomfort?
Q_ANX_001_006_v3,ANX_001,EMOTIONAL_REGULATION,73,60,100,90,35,100,53,How mentally exhausting does thinking about economic uncertainty feel these days?
Q_REINVENT_001_006_v6,REINVENT_001,CAREER_GROWTH,73,60,100,90,35,100,53,How emotionally overwhelming do thoughts about age and missed opportunities feel these days?
Q_REINVENT_001_006_v7,REINVENT_001,CAREER_GROWTH,73,60,100,90,35,100,53,How emotionally exhausting does personal reinvention feel these days?
Q_TRANS_001_009,TRANS_001,CAREER_GROWTH,74,78,100,90,20,100,53,How strongly do family or societal expectations make professional life feel overwhelming?
Q_MULTIEXP_001_006,MULTIEXP_001,CAREER_EXPECTATIONS,74,78,100,90,20,100,53,How stressful does balancing multiple expectations feel emotionally?
Q_EMO_001_005_v2,EMO_001,EMOTIONAL_REGULATION,74,41,100,82,65,100,53,How often do you feel that you are constantly catching up with expectations?
Q_WORKLIFE_001_006,WORKLIFE_001,HOLISTIC_DEVELOPMENT,74,78,100,90,20,100,53,How stressful does balancing work/study responsibilities with personal life feel emotionally?
Q_LEARNIDENTITY_001_002,LEARNIDENTITY_001,ACADEMIC_IDENTITY,74,78,100,90,20,100,53,How often do performance pressures make learning feel stressful instead of meaningful?
Q_SOE_001_006,SOE_001,SOCIAL_EMOTIONAL,74,60,100,90,40,100,53,How stressful does it feel to maintain long-term goals while also handling immediate operational pressure?
Q_INSTBAL_001_004,INSTBAL_001,HOLISTIC_DEVELOPMENT,74,78,100,90,20,100,53,How strongly do institutional expectations pressure students to prioritize grades over wellbeing?
Q_CAREERCLAR_001_008,CAREERCLAR_001,CAREER_READINESS,74,60,100,90,20,100,75,How emotionally exhausting is it to think about choosing a career path right now?
Q_SI_001_002,SI_001,PERSONAL_VISION,74,41,100,82,65,100,53,How often do you feel confused about what you are naturally good at?
Q_CONFIDENCE_001_004,CONFIDENCE_001,CONFIDENCE_SELF,74,41,100,82,65,100,53,Do you often feel unsure about your own decisions or actions?
Q_CONFIDENCE_001_007,CONFIDENCE_001,CONFIDENCE_SELF,74,41,100,82,65,100,53,How often do you feel that others are more capable than you in most situations?
Q_COMP_001_003,COMP_001,COMPETENCY_DEVELOPMENT,74,41,100,82,65,100,53,How often do you feel your progress is less than your friends progress?
Q_RES_001_012_v2,RES_001,EMOTIONAL_RECOVERY,74,41,100,82,55,100,68,How often do you compare yourself negatively with peers?
Q_RES_001_012_v3,RES_001,EMOTIONAL_RECOVERY,74,41,100,82,55,100,68,How often do you compare yourself negatively with peers?
Q_STRENGTH_001_010,STRENGTH_001,SELF_REFLECTION,74,41,100,82,65,100,53,How often do you feel I dont know what I am good at?
Q_COMM_001_009,COMM_001,COMMUNICATION_EXPRESSION,74,41,100,82,65,100,53,How often do you feel others communicate better than you?
Q_SELFLEAD_001_011,SELFLEAD_001,LEADERSHIP_OWNERSHIP,74,41,100,82,65,100,53,Do you feel in control of your daily productivity?
Q_SELFLEAD_001_013,SELFLEAD_001,LEADERSHIP_OWNERSHIP,74,41,100,82,65,100,53,How often do you feel overwhelmed by your own unorganized routine?
Q_STRENGTH_001_002,STRENGTH_001,SELF_REFLECTION,74,41,100,82,65,100,53,How often do you feel uncertain about what you are naturally good at?
Q_SA_001_002,SA_001,CONFIDENCE_SELF,74,41,100,82,65,100,53,How often do you feel unsure about what you are actually good at?
Q_LLS_001_001,LLS_001,LEARNING_AWARENESS,74,41,100,85,65,100,53,"How clear are you about the way you learn best (reading, listening, practice, visuals, etc.)?"
Q_ACAD_001_002,ACAD_001,ACADEMIC_COGNITIVE,74,41,100,82,65,100,53,How often do you feel confused about what you are actually good at academically?
Q_REF_001_006,REF_001,SELF_REFLECTION,74,41,100,82,65,100,53,How often do you feel confused about your own learning progress?
Q_CONFIDENTCAP_001_004,CONFIDENTCAP_001,CONFIDENCE_SELF,74,41,100,82,65,100,53,Do you often feel undeserving of your own achievements or success?
Q_ACAD_001_005_v4,ACAD_001,ACADEMIC_COGNITIVE,74,41,100,82,65,100,53,How often do you feel that syllabus load is too much to handle?
Q_FOF_001_006_v2,FOF_001,EMOTIONAL_REGULATION,74,41,100,82,65,100,53,How stressful does the thought of failing feel to you?
Q_LOWCONF_001_011,LOWCONF_001,CONFIDENCE_SELF,74,41,100,82,65,100,53,How often do you feel your ideas are not as good as others?
Q_EXAM_001_015_v2,EXAM_001,EXAMINATION_STRESS,74,35,100,100,40,100,68,"After a poor mock test score, how long does it take to regain confidence?"
Q_SHORTVID_001_007,SHORTVID_001,LIFESTYLE_PRESSURE,74,78,100,90,20,100,53,How often does excessive short video usage lead to conflicts or arguments in the household?
Q_SHORTVID_001_008,SHORTVID_001,LIFESTYLE_PRESSURE,74,78,100,90,20,100,53,How difficult is it for the child to stop watching short videos once they start?
