question_id,concern_id,bridge_tag,reasons,question_text
Q_TRANS_001_009,TRANS_001,CAREER_GROWTH,no 2nd-person pronoun (nothing to reframe to 3rd person),How strongly do family or societal expectations make professional life feel overwhelming?
Q_TRANS_001_016,TRANS_001,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When uncertainty about the future increases, how effectively can you calm yourself and think clearly?"
Q_PREP_001_006,PREP_001,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel to compete in environments that require constant long-term preparation?
Q_PREP_001_010,PREP_001,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does staying consistent feel now?"
Q_PREP_001_015,PREP_001,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After missing your preparation goals, how often do you feel guilty or disappointed in yourself?"
Q_TIME_001_006,TIME_001,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"How stressful do extreme time limits feel during exams, coding rounds, or interviews?"
Q_TIME_001_010,TIME_001,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does handling time pressure feel now?"
Q_TIME_001_015,TIME_001,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After making mistakes in timed situations, how often do you feel disappointed in yourself for a long time?"
Q_TIME_001_016,TIME_001,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When you feel rushed, how effectively can you calm yourself and refocus?"
Q_LEARN_001_023,LEARN_001,LEARNING_ADAPTABILITY,no 2nd-person pronoun (nothing to reframe to 3rd person),Should grades include practical application ability?
Q_FAIL_001_015,FAIL_001,EMOTIONAL_RECOVERY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After making mistakes in exams, how often do you continue blaming yourself for a long time?"
Q_FAIL_001_016,FAIL_001,EMOTIONAL_RECOVERY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When fear of failure increases, how effectively can you calm yourself and continue preparing?"
Q_COMPARE_001_002,COMPARE_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do comparisons with top performers make you doubt yourself?
Q_COMPARE_001_015,COMPARE_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After comparing yourself with high achievers, how often do you feel disappointed in yourself?"
Q_CONCEPT_001_010,CONCEPT_001,ACADEMIC_COGNITIVE,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does understanding complex concepts feel now?"
Q_FOCUS_001_010,FOCUS_001,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does sustained studying feel now?"
Q_FOCUS_001_015,FOCUS_001,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After losing focus repeatedly, how often do you feel disappointed in yourself?"
Q_UNCERT_001_010,UNCERT_001,THINKING_QUALITY,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does handling uncertainty feel now?"
Q_UNCERT_001_016,UNCERT_001,THINKING_QUALITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When uncertainty increases, how effectively can you calm yourself and stay balanced?"
Q_TIMEALLOC_001_010,TIMEALLOC_001,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does managing exam time feel now?"
Q_BURNOUT_001_004_v2,BURNOUT_001,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When you see others preparing consistently, how pressured do you feel to keep pushing yourself?"
Q_BURNOUT_001_014_v2,BURNOUT_001,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to isolate yourself socially because of preparation pressure?
Q_MOTIV_001_006,MOTIV_001,MOTIVATION_VALUES,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does it feel to continue working toward goals after repeated setbacks?
Q_MOTIV_001_010,MOTIV_001,MOTIVATION_VALUES,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much harder does it feel to stay motivated after setbacks now?"
Q_RANK_001_016,RANK_001,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When rankings fluctuate unexpectedly, how effectively can you calm yourself and refocus on improvement?"
Q_PRO_001_018,PRO_001,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you rely only on structured instructions instead of exploring solutions yourself?
Q_MOCKCONF_001_015,MOCKCONF_001,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After seeing better scores online, how often do you feel disappointed in yourself?"
Q_FAMILY_001_006,FAMILY_001,ADJUSTMENT_COPING,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful do family expectations feel during important preparation phases?
Q_FAMILY_001_017,FAMILY_001,ADJUSTMENT_COPING,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself to focus on your own progress instead of only meeting others expectations?
Q_OUTCOME_001_017,OUTCOME_001,MOTIVATION_VALUES,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that effort and growth matter beyond final results?
Q_SELFBELIEF_001_016,SELFBELIEF_001,CONFIDENCE_SELF,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When self-doubt increases before exams, how effectively can you calm yourself and regain confidence?"
Q_SELFBELIEF_001_017,SELFBELIEF_001,CONFIDENCE_SELF,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself of your preparation and past progress to rebuild confidence?
Q_TESTSTRAT_001_010,TESTSTRAT_001,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more difficult does managing exam strategy feel now?"
Q_RESULTPRESS_001_004,RESULTPRESS_001,EXAMINATION_STRESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",Do upcoming results sometimes make you fear disappointing yourself or others?
Q_RESULTPRESS_001_006,RESULTPRESS_001,EXAMINATION_STRESS,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does waiting for important results feel emotionally?
Q_RESULTPRESS_001_016,RESULTPRESS_001,EXAMINATION_STRESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When result-related anxiety increases, how effectively can you calm yourself and stay emotionally balanced?"
Q_RESULTPRESS_001_017,RESULTPRESS_001,EXAMINATION_STRESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that results do not completely define your future?
Q_REATTEMPT_001_012,REATTEMPT_001,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you isolate yourself from others because of preparation-related emotions?
Q_REATTEMPT_001_016,REATTEMPT_001,CAREER_GROWTH,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When stress increases, how effectively are you able to calm yourself emotionally?"
Q_ENDURANCE_001_010,ENDURANCE_001,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much harder does maintaining emotional consistency feel now?"
Q_COMPARE_001_001_v2,COMPARE_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After comparing yourself with others, how emotionally stable do you usually feel?"
Q_COMPARE_001_005_v2,COMPARE_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","Even after comparing yourself with others, how hopeful do you remain about your own future?"
Q_COMPARE_001_017_v2,COMPARE_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself of your own progress instead of only comparing with others?
Q_MULTIEXP_001_006,MULTIEXP_001,CAREER_EXPECTATIONS,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does balancing multiple expectations feel emotionally?
Q_MULTIEXP_001_017,MULTIEXP_001,CAREER_EXPECTATIONS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself to focus on realistic priorities instead of trying to satisfy everyone?
Q_OUTCOME_001_019,OUTCOME_001,MOTIVATION_VALUES,no 2nd-person pronoun (nothing to reframe to 3rd person),"After receiving emotional support, how much easier does it feel to move on from setbacks?"
Q_MOCKCONF_001_006_v2,MOCKCONF_001,EMPLOYABILITY,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful do low mock rank phases feel emotionally?
Q_MOCKCONF_001_017_v2,MOCKCONF_001,EMPLOYABILITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you analyze low mock scores constructively instead of emotionally criticizing yourself?
Q_SOCIAL_001_001,SOCIAL_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","While seeing toppers or highly successful students on social media, how emotionally secure do you usually feel about yourself?"
Q_SOCIAL_001_016,SOCIAL_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When social media comparisons affect you emotionally, how effectively can you calm yourself and refocus?"
Q_SOCIAL_001_017,SOCIAL_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that social media usually shows only the best side of peoples lives?
Q_SOCIAL_001_019,SOCIAL_001,SOCIAL_EMOTIONAL,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After receiving encouragement from supportive people, how emotionally better do you usually feel about yourself?"
Q_LIMITEDATT_001_006,LIMITEDATT_001,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does preparing with limited attempts feel emotionally?
Q_LIMITEDATT_001_010,LIMITEDATT_001,DISCIPLINE_HABITS,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to last year, how much more emotionally pressured do limited attempts feel now?"
Q_LIMITEDATT_001_016,LIMITEDATT_001,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When pressure about limited attempts increases, how effectively can you calm yourself and continue preparing steadily?"
Q_LIMITEDATT_001_017,LIMITEDATT_001,DISCIPLINE_HABITS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that consistent effort still matters more than fear of limited attempts?
Q_FAILURE_001_016,FAILURE_001,EMOTIONAL_RECOVERY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When failures affect you emotionally, how effectively can you calm yourself and regain balance?"
Q_FAILURE_001_017,FAILURE_001,EMOTIONAL_RECOVERY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that setbacks are part of growth and learning?
Q_MULTIATTEMPT_001_006,MULTIATTEMPT_001,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),How stressful does preparing through multiple attempts feel emotionally?
Q_MULTIATTEMPT_001_016,MULTIATTEMPT_001,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When emotional pressure increases during repeated attempts, how effectively can you calm yourself and continue steadily?"
Q_MULTIATTEMPT_001_017,MULTIATTEMPT_001,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that repeated attempts do not define your worth or future completely?
Q_IDENTITY_001_004,IDENTITY_001,ACADEMIC_IDENTITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When others perform better than you, how much does it affect the way you see yourself?"
Q_IDENTITY_001_015,IDENTITY_001,ACADEMIC_IDENTITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","After setbacks, how quickly are you able to remind yourself that failure does not define you?"
Q_IDENTITY_001_017,IDENTITY_001,ACADEMIC_IDENTITY,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that personal value is not defined only by achievements?
Q_CUTOFFREC_001_010,CUTOFFREC_001,STRATEGIC_PREPARATION,no 2nd-person pronoun (nothing to reframe to 3rd person),"Compared to earlier disappointments, how much harder does emotional recovery feel now after missing cutoffs?"
Q_CUTOFFREC_001_016,CUTOFFREC_001,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When disappointment from missed cutoffs increases, how effectively can you calm yourself and continue preparing steadily?"
Q_CUTOFFREC_001_017,CUTOFFREC_001,STRATEGIC_PREPARATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that missing one cutoff does not define your entire future?
Q_HOPE_001_007,HOPE_001,MOTIVATION_VALUES,first-person pronoun (breaks proxy/learner reframe),How often do thoughts about what if I never succeed? affect your emotional state?
Q_HOPE_001_014,HOPE_001,MOTIVATION_VALUES,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How likely are you to emotionally isolate yourself when you lose hope about your journey?
Q_HOPE_001_016,HOPE_001,MOTIVATION_VALUES,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When preparation feels uncertain, how effectively can you emotionally reassure yourself and stay hopeful?"
Q_HOPE_001_017,HOPE_001,MOTIVATION_VALUES,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that long journeys can still lead to meaningful success over time?
Q_CAREER_001_008_v2,CAREER_001,CAREER_READINESS,first-person pronoun (breaks proxy/learner reframe),How much time do you spend thinking about what career should I choose without reaching a conclusion?
Q_STREAMCONF_001_017,STREAMCONF_001,CONFIDENCE_SELF,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself why you originally chose your stream?
Q_CAREER_001_007_v3,CAREER_001,CAREER_READINESS,first-person pronoun (breaks proxy/learner reframe),How often do what if I choose wrong? thoughts affect your ability to decide?
Q_CAREER_001_016_v3,CAREER_001,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When confused about career choices, how effectively can you calm yourself and think clearly?"
Q_FAMCAREER_001_017,FAMCAREER_001,ADJUSTMENT_COPING,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that your career decisions should reflect your own interests and strengths?
Q_ANXIETY_001_017,ANXIETY_001,EMOTIONAL_REGULATION,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive",How often do you remind yourself that the future is uncertain for everyone?
Q_CAREERUNCERT_001_016,CAREERUNCERT_001,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","When career uncertainty increases, how effectively can you calm yourself and think clearly?"
Q_CAREER_001_005_v4,CAREER_001,CAREER_READINESS,"reflexive ""yourself"" — proxy reframe leaves dangling reflexive","Even after comparing yourself with others, how confident are you about your own career direction?"
