concern_id,concern,bridge_tag,signal_cluster,domain,persona,has_signal_cluster_text,issue
CONCERN_LIF_58,Self-Confidence in Competitive Placement Environments,CONFIDENCE_SELF,Inferiority & Self-Doubt,"Confidence, Self-Concept & Comparison",Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_60,Translate Academic Knowledge into Workplace Value,EMPLOYABILITY,Application Gaps,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_62,Emotional Stability During Competitive Coding Rounds,EXAMINATION_STRESS,Panic & Freeze Responses,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_63,Building Practical Team Collaboration in Projects,COLLABORATION_OWNERSHIP,Coordination Conflicts,Collaboration & Ownership,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COL_64,Public Speaking During Campus Events,COMMUNICATION_EXPRESSION,Verbal Hesitation,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_65,Long-Term Career Anxiety,EXAMINATION_STRESS,Chronic Stress Signals,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_66,Professional Writing Skills,COMMUNICATION_EXPRESSION,Unstructured Communication,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_68,Aptitude Test Performance,EMPLOYABILITY,Panic During Assessments,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_71,Building Emotional Independence from Peer Success,CONFIDENCE_SELF,Inferiority & Withdrawal Signals,"Confidence, Self-Concept & Comparison",Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_72,Decision-Making Under Career Pressure,THINKING_QUALITY,Indecisiveness Signals,Thinking Quality Under Pressure,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_73,Focus During Long Placement Preparation Cycles,ACADEMIC_COGNITIVE,Focus Drift Signals,Academic & Cognitive Effectiveness,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_74,Emotional Recovery After Academic Setbacks in College,EXAMINATION_STRESS,Emotional Withdrawal,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_75,Building Professional Confidence Without Validation,CONFIDENCE_SELF,Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_78,Emotional Control During Interviews,COMMUNICATION_EXPRESSION,Panic & Hesitation Signals,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_79,Competition in High-Performing Peer Groups,CONFIDENCE_SELF,Comparison Stress Signals,"Confidence, Self-Concept & Comparison",Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_80,Long-Term Professional Identity Formation,ACADEMIC_IDENTITY,Career Direction Uncertainty,Academic Identity & Meaning,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_82,Research Orientation for Higher Education,ACADEMIC_CAREER,Low Investigative Curiosity,Academic & Career Readiness,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_83,Academic Pressure Alongside Internships,LIFESTYLE_PRESSURE,Burnout Signals,Lifestyle & Pressure Environment,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_84,Professional Etiquette During Industry Interaction,EMPLOYABILITY,Workplace Misalignment,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_85,Failure in Competitive Exams After Graduation,EXAMINATION_STRESS,Emotional Withdrawal Signals,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_87,Building Confidence in Workplace Decision-Making,EMPLOYABILITY,Hesitation Signals,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_88,Learn Independently Beyond Curriculum,EMPLOYABILITY,Passive Learning Dependence,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_89,Uncertainty About Future Stability,EXAMINATION_STRESS,Chronic Stress Signals,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_90,Cross-Cultural Communication,COMMUNICATION_EXPRESSION,Interaction Hesitation,Communication & Expression,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_91,Motivation During Long Competitive Preparation,MOTIVATION_VALUES,Motivation Collapse Signals,"Motivation, Values & Responsibility",Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_1681,Critical Thinking Skills,THINKING_QUALITY,Critical Reasoning,Thinking Quality Under Pressure,Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_93,Building Emotional Stability in Professional Rejections,EXAMINATION_STRESS,Emotional Withdrawal,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_94,Structured Thinking During Case Interviews,THINKING_QUALITY,Disorganized Reasoning,Thinking Quality Under Pressure,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_98,Translate Projects into Career Value,EMPLOYABILITY,Weak Skill Articulation,Employability,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_EMP_99,Building Emotional Independence During Career Delays,EXAMINATION_STRESS,Dependency & Anxiety Signals,Examination Stress & Emotional Regulation,Campus Student,yes,concern bridge_tag not present in signal ontology
CONCERN_CAR_101,Sustaining Long-Term Competitive Preparation,MOTIVATION_VALUES,Persistence Decline Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_102,Accuracy Under Extreme Time Pressure,THINKING_QUALITY,Stress-Induced Errors,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_103,Fear of Failure in Competitive Exams,EXAMINATION_STRESS,Panic & Avoidance Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_105,Comparison with High Performers,CONFIDENCE_SELF,Inferiority Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_106,Conceptual Clarity Despite Repeated Practice,ACADEMIC_COGNITIVE,Surface-Level Learning,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_107,Mock Test Anxiety,EXAMINATION_STRESS,Panic Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_108,Retention of Previously Learned Concepts,ACADEMIC_COGNITIVE,Recall Failure Signals,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_110,Emotional Recovery After Poor Mock Scores,EXAMINATION_STRESS,Withdrawal Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_112,Solving Advanced Problems,CONFIDENCE_SELF,Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_113,Uncertainty About Results,EXAMINATION_STRESS,Chronic Stress Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_115,Burnout During Long Preparation Phases,LIFESTYLE_PRESSURE,Emotional Exhaustion,Lifestyle & Pressure Environment,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_116,Learn from Mistakes in Mock Tests,SELF_REFLECTION,Error Repetition Signals,Self Reflection,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_SEL_117,Peer Pressure in Coaching Environments,SOCIAL_EMOTIONAL,Social Anxiety Signals,Social & Emotional Intelligence,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_SOC_118,Time Allocation During Competitive Exams,EXAMINATION_READINESS,Poor Attempt Sequencing,Examination Readiness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_119,Staying Motivated After Repeated Attempts,MOTIVATION_VALUES,Emotional Exhaustion Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_120,Interview/Personality Test Rounds,COMMUNICATION_EXPRESSION,Verbal Hesitation,Communication & Expression,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_121,Emotional Stability During Rank Fluctuations,EXAMINATION_STRESS,Panic & Self-Doubt Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_122,Adaptive Strategy During Difficult Papers,THINKING_QUALITY,Cognitive Rigidity Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_123,Sleep During Preparation Cycles,LIFESTYLE_PRESSURE,Fatigue & Exhaustion Signals,Lifestyle & Pressure Environment,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_SOC_1806,Accept Criticism,CONFIDENCE_SELF,Defensive Response,"Confidence, Self-Concept & Comparison",Parent,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_124,Confidence After Comparing Mock Scores Online,CONFIDENCE_SELF,Inferiority & Withdrawal Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_126,Emotional Control During Negative Feedback,SOCIAL_EMOTIONAL,Defensive Emotional Responses,Social & Emotional Intelligence,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ADJ_128,Accuracy in Easy Questions Due to Overthinking,THINKING_QUALITY,Precision Loss Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_129,Recovering Momentum After Breaks,MOTIVATION_VALUES,Preparation Disruption Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_130,Concept Integration Across Subjects,ACADEMIC_COGNITIVE,Fragmented Understanding,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_131,Motivation During Low-Performance Phases,MOTIVATION_VALUES,Emotional Withdrawal Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_132,Self-Belief Before Final Exams,CONFIDENCE_SELF,Panic & Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_133,Isolation During Preparation,SOCIAL_EMOTIONAL,Loneliness & Withdrawal Signals,Social & Emotional Intelligence,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_SOC_134,Prioritize High-Value Topics,STRATEGIC_PREPARATION,Time Misallocation Signals,Strategic Preparation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_STR_135,Emotional Exhaustion During Revision Months,LIFESTYLE_PRESSURE,Emotional Exhaustion Signals,Lifestyle & Pressure Environment,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_136,Recall Under Pressure Despite Preparation,ACADEMIC_COGNITIVE,Retrieval Failure Signals,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_137,Negative Self-Talk During Preparation,CONFIDENCE_SELF,Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_138,Test-Taking Strategy in Competitive Exams,EXAMINATION_READINESS,Inefficient Attempt Patterns,Examination Readiness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_139,Sustaining Physical Health During Preparation,LIFESTYLE_PRESSURE,Fatigue & Energy Loss Signals,Lifestyle & Pressure Environment,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_140,Handling Unpredictable Questions,THINKING_QUALITY,Freeze & Hesitation Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_141,Emotional Pressure Before Result Day,EXAMINATION_STRESS,Panic & Emotional Volatility Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_142,Solving High-Weightage Problems,CONFIDENCE_SELF,Hesitation Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_144,Emotional Stability During Reattempt Preparation,EXAMINATION_STRESS,Burnout & Hopelessness Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_145,Building Confidence in Current Affairs Retention,ACADEMIC_COGNITIVE,Information Retention Fatigue,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_146,Focus During Long Revision Sessions,ACADEMIC_COGNITIVE,Focus Drift Signals,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_147,Emotional Dependence on Daily Scores,CONFIDENCE_SELF,Emotional Volatility Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_148,Handle Exam-Day Surprises Calmly,THINKING_QUALITY,Panic & Freeze Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_149,Building Long-Term Emotional Endurance,EXAMINATION_STRESS,Chronic Stress Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_150,Maintain Productivity After Emotional Setbacks,MOTIVATION_VALUES,Withdrawal & Delay Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_151,Information Overload During Preparation,ACADEMIC_COGNITIVE,Cognitive Saturation Signals,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_152,Eliminating Wrong Options,THINKING_QUALITY,Decision Hesitation Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_154,Emotional Recovery After Negative Comparisons,CONFIDENCE_SELF,Inferiority & Withdrawal Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ADJ_156,Identify Personal Preparation Gaps,SELF_REFLECTION,Poor Self-Assessment Signals,Self Reflection,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_SEL_157,Confidence During Long Syllabus Completion,CONFIDENCE_SELF,Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_158,Adaptability to Changing Exam Patterns,THINKING_QUALITY,Strategic Rigidity Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_159,Building Consistent Mental Energy Throughout Preparation,LIFESTYLE_PRESSURE,Cognitive Fatigue Signals,Lifestyle & Pressure Environment,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_160,Emotional Detachment from Competitive Outcomes,EXAMINATION_STRESS,Emotional Breakdown Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_161,Confidence During Low Mock Rank Phases,CONFIDENCE_SELF,Self-Doubt & Withdrawal Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_COM_1752,Emotional Dependence on Gadgets,LIFESTYLE_PRESSURE,Emotional Reliance,Lifestyle & Pressure Environment,Parent,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_163,Emotional Pressure from Social Media Toppers,CONFIDENCE_SELF,Inferiority & Anxiety Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_164,Structured Thinking During Analytical Questions,THINKING_QUALITY,Disorganized Thinking Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_165,Emotional Stability During Waiting Periods,EXAMINATION_STRESS,Restlessness & Overthinking Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_166,Attempt Strategy Decisions,EXAMINATION_READINESS,Decision Paralysis Signals,Examination Readiness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_167,Self-Doubt After Seeing Others Progress Faster,CONFIDENCE_SELF,Inferiority & Demotivation Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_168,Transition from Learning to Testing Mode,EXAMINATION_READINESS,Execution Instability Signals,Examination Readiness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_169,Pressure of Limited Attempts,EXAMINATION_STRESS,Panic & Emotional Exhaustion Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_170,Long-Term Planning for Competitive Preparation,STRATEGIC_PREPARATION,Goal Drift Signals,Strategic Preparation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_STR_171,Emotional Balance During Failures,EXAMINATION_STRESS,Emotional Shutdown Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_172,Handle Sudden Performance Drops,CONFIDENCE_SELF,Panic & Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_173,Preparation During Emotional Distress,MOTIVATION_VALUES,Productivity Decline Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_174,Recall Integration Across Revision Layers,ACADEMIC_COGNITIVE,Fragmented Retention Signals,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_175,Building Confidence in Personal Preparation Style,CONFIDENCE_SELF,Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_176,Emotional Awareness During Burnout Phases,LIFESTYLE_PRESSURE,Hidden Exhaustion Signals,Lifestyle & Pressure Environment,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_DIS_178,Subject-Wise Strengths,CONFIDENCE_SELF,Self-Doubt Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_179,Emotional Fatigue During Revisions,EXAMINATION_STRESS,Mental Exhaustion Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_180,Sustain Competitive Discipline Without Motivation,MOTIVATION_VALUES,Productivity Inconsistency Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_181,Consistency After Motivational Crashes,MOTIVATION_VALUES,Consistency Breakdown Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_182,Handle Unsolved Questions Calmly,THINKING_QUALITY,Freeze & Panic Signals,Thinking Quality Under Pressure,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_THI_183,Family Sacrifice Guilt During Preparation,EXAMINATION_STRESS,Guilt & Emotional Exhaustion Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_184,Last-Minute Revision Effectiveness,EXAMINATION_READINESS,Self-Doubt Signals,Examination Readiness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_185,Building Emotional Stability During Multiple Attempts,EXAMINATION_STRESS,Hopelessness & Withdrawal Signals,Examination Stress & Emotional Regulation,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_EXA_186,Prioritize Health Alongside Preparation,LIFESTYLE_PRESSURE,Physical Fatigue Signals,Lifestyle & Pressure Environment,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_LIF_187,Staying Focused in Long Coaching Sessions,ACADEMIC_COGNITIVE,Focus Drift Signals,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_ACA_188,Emotional Separation Between Identity and Results,CONFIDENCE_SELF,Emotional Collapse Signals,"Confidence, Self-Concept & Comparison",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_CON_189,Building Confidence After Long Study Gaps,MOTIVATION_VALUES,Hesitation & Avoidance Signals,"Motivation, Values & Responsibility",Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
CONCERN_MOT_190,Filter Useful Resources from Noise,ACADEMIC_COGNITIVE,Cognitive Overload Signals,Academic & Cognitive Effectiveness,Competitive Aspirant,yes,concern bridge_tag not present in signal ontology
