question_id,concern_id,bridge_tag,relevance,grammar,sophistication,personalization,information_gain,root_cause_utility,composite,question_text
Q_CAREER_001_020,CAREER_001,CAREER_READINESS,41,100,85,85,100,90,84,"When things feel uncertain, how much confidence do you have that you will eventually find the right path?"
Q_CAREER_001_021,CAREER_001,CAREER_READINESS,66,100,90,65,100,75,83,How ready are you to seriously explore different career options instead of avoiding the topic?
Q_CAREER_001_022,CAREER_001,CAREER_READINESS,84,100,100,85,100,75,91,"If proper guidance was available, how willing would you be to work on improving your career clarity step by step?"
Q_CAREER_001_023,CAREER_001,CAREER_READINESS,66,100,90,65,100,75,83,How strongly do you believe that understanding yourself better can improve your career decisions?
Q_CAREER_001_024,CAREER_001,CAREER_READINESS,84,100,100,85,100,75,91,"If you received one small practical step today to improve career clarity, how likely are you to actually follow through?"
Q_CAREER_001_025,CAREER_001,CAREER_READINESS,41,100,85,85,100,75,81,"Even if your path is unclear now, how hopeful are you that things can become clearer with time and effort?"
Q_SKILL_001_001,SKILL_001,COMPETENCY_DEVELOPMENT,84,100,100,85,100,53,87,"When you look at job requirements, how confident do you feel that your current skills match industry expectations?"
Q_SKILL_001_002,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,53,84,"While applying for internships or placements, how often do you feel your skills are not enough?"
Q_SKILL_001_003,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,100,65,100,53,77,"Compared to your classmates, how prepared do you feel for real-world work environments?"
Q_SKILL_001_004,SKILL_001,COMPETENCY_DEVELOPMENT,84,100,90,65,100,53,82,Do you sometimes feel college learning and industry expectations are completely different worlds?
Q_SKILL_001_005,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,53,80,"If you were asked to start working tomorrow, how prepared do you feel practically?"
Q_SKILL_001_006,SKILL_001,COMPETENCY_DEVELOPMENT,35,100,90,30,100,53,68,How stressful does it feel when people talk about competition and employability?
Q_SKILL_001_007,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,90,65,100,53,79,How often do worries about lacking skills affect your confidence levels?
Q_SKILL_001_008,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,75,65,100,53,72,How much has skill-related confusion reduced your motivation to learn new things?
Q_SKILL_001_009,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,90,65,100,53,75,How strongly do family or social expectations make you worry about becoming job-ready quickly?
Q_SKILL_001_010,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,100,65,100,53,81,"Compared to one year ago, how much more behind do you feel in terms of practical skills?"
Q_SKILL_001_011,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,90,65,100,80,84,How often do you postpone learning a new skill because you feel overwhelmed about where to start?
Q_SKILL_001_012,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,90,65,100,68,77,How often do you begin online courses or certifications but leave them incomplete?
Q_SKILL_001_013,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,68,82,"During practical tasks or projects, how often do you doubt your own abilities?"
Q_SKILL_001_014,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,90,65,100,80,79,How likely are you to avoid applying for opportunities because you feel others are more skilled?
Q_SKILL_001_015,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,80,84,"After comparing yourself with highly skilled peers online, how discouraged do you usually feel?"
Q_SKILL_001_016,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,68,82,"When you realize you lack a skill, how effectively do you create a plan to improve it?"
Q_SKILL_001_017,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,90,65,100,68,82,How often do you actively seek mentorship or guidance to improve your practical skills?
Q_SKILL_001_018,SKILL_001,COMPETENCY_DEVELOPMENT,84,100,90,65,100,68,85,Some students distract themselves instead of improving weak skills. How true is this for you?
Q_SKILL_001_019,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,80,89,"After improving even a small skill, how motivated do you usually feel to continue learning?"
Q_SKILL_001_020,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,68,82,"Even if you are behind right now, how confident are you that you can catch up with consistent effort?"
Q_SKILL_001_021,SKILL_001,COMPETENCY_DEVELOPMENT,98,100,90,65,100,53,84,How ready are you to seriously invest time in building industry-relevant skills?
Q_SKILL_001_022,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,53,84,"If you had a clear roadmap, how willing would you be to improve your practical skills step by step?"
Q_SKILL_001_023,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,90,85,100,53,82,How strongly do you believe practical skills can be learned even if someone starts late?
Q_SKILL_001_024,SKILL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,53,80,"If you got one practical task today to improve employability, how likely are you to complete it?"
Q_SKILL_001_025,SKILL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,53,84,"Even if your skills are not strong today, how hopeful are you that they can improve with practice and guidance?"
Q_PLACE_001_001,PLACE_001,EMPLOYABILITY,66,100,100,85,100,65,86,"When placement season starts, how mentally prepared do you usually feel?"
Q_PLACE_001_002,PLACE_001,EMPLOYABILITY,66,100,100,85,100,53,84,"During placement discussions, how often do you feel unsure about your chances of getting selected?"
Q_PLACE_001_003,PLACE_001,EMPLOYABILITY,41,100,100,85,100,53,80,"Seeing classmates get shortlisted before you, how settled do you feel emotionally?"
Q_PLACE_001_004,PLACE_001,EMPLOYABILITY,66,100,90,65,100,53,79,Do placements sometimes feel more like pressure than opportunity for you?
Q_PLACE_001_005,PLACE_001,EMPLOYABILITY,41,100,100,85,100,53,80,"When you think about interviews or aptitude rounds, how confident do you feel inside?"
Q_PLACE_001_006,PLACE_001,EMPLOYABILITY,66,100,90,80,100,53,82,How emotionally stressful does placement season feel for you these days?
Q_PLACE_001_007,PLACE_001,EMPLOYABILITY,66,100,90,65,100,53,79,How often do placement-related worries disturb your focus on studies or preparation?
Q_PLACE_001_008,PLACE_001,EMPLOYABILITY,84,100,90,65,100,53,82,How much has placement pressure reduced your motivation or energy levels?
Q_PLACE_001_009,PLACE_001,EMPLOYABILITY,66,100,90,65,100,53,79,How strongly do family expectations increase your placement-related stress?
Q_PLACE_001_010,PLACE_001,EMPLOYABILITY,41,100,100,85,100,53,80,"Compared to your friends, how far behind do you sometimes feel during placements?"
Q_PLACE_001_011,PLACE_001,EMPLOYABILITY,66,100,90,65,100,80,84,How often do you postpone placement preparation because it feels overwhelming?
Q_PLACE_001_012,PLACE_001,EMPLOYABILITY,66,100,90,85,100,68,85,How often do you start preparing seriously only when placement deadlines get very close?
Q_PLACE_001_013,PLACE_001,EMPLOYABILITY,41,100,100,85,100,68,82,"During interviews or mock tests, how often do self-doubts affect your performance?"
Q_PLACE_001_014,PLACE_001,EMPLOYABILITY,41,100,90,65,100,80,79,How likely are you to avoid applying for companies because you assume rejection already?
Q_TRANS_001_012,TRANS_001,CAREER_GROWTH,66,100,90,85,100,68,85,How often do you avoid thinking deeply about life after college?
Q_PLACE_001_015,PLACE_001,EMPLOYABILITY,41,100,100,85,100,68,82,"After facing rejection, how often do you keep replaying the experience in your mind?"
Q_PLACE_001_016,PLACE_001,EMPLOYABILITY,66,100,100,85,100,68,87,"When placement stress increases, how effectively are you able to calm yourself and continue preparing?"
Q_PLACE_001_017,PLACE_001,EMPLOYABILITY,66,100,100,85,100,68,87,"How often do you seek help from mentors, seniors, or friends during placement preparation?"
Q_PLACE_001_018,PLACE_001,EMPLOYABILITY,84,100,90,65,100,68,85,Some students distract themselves instead of facing placement pressure directly. How true is this for you?
Q_PLACE_001_019,PLACE_001,EMPLOYABILITY,41,100,100,85,100,68,82,"After one good interview or test performance, how motivated do you feel to keep improving?"
Q_PLACE_001_020,PLACE_001,EMPLOYABILITY,41,100,100,85,100,68,82,"Even if placements are stressful now, how confident are you that your efforts will eventually help you succeed?"
Q_PLACE_001_021,PLACE_001,EMPLOYABILITY,98,100,90,65,100,53,84,How ready are you to build healthier routines for handling placement pressure?
Q_PLACE_001_022,PLACE_001,EMPLOYABILITY,84,100,100,85,100,53,87,"If proper support was available, how willing would you be to improve your placement confidence step by step?"
Q_PLACE_001_023,PLACE_001,EMPLOYABILITY,66,100,90,65,100,53,79,How strongly do you believe placement skills can improve with practice and consistency?
Q_PLACE_001_024,PLACE_001,EMPLOYABILITY,66,100,100,85,100,53,84,"If you received one practical step today to reduce placement stress, how likely are you to follow it seriously?"
Q_PLACE_001_025,PLACE_001,EMPLOYABILITY,41,100,85,85,100,53,77,"Even if placements feel stressful now, how hopeful are you that things can improve with effort and support?"
Q_PRACTICAL_001_001,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,65,82,"When you try to apply classroom knowledge in real situations, how confident do you usually feel?"
Q_PRACTICAL_001_002,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,53,80,"During labs, projects, or internships, how often do you feel unsure about what to actually do?"
Q_PRACTICAL_001_003,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,53,84,"Compared to your classmates, how prepared do you feel while handling practical tasks?"
Q_PRACTICAL_001_004,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,90,65,100,53,79,Do you sometimes feel that understanding concepts is easier than actually doing the work?
Q_PRACTICAL_001_005,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,53,84,"If you joined a real job tomorrow, how prepared would you feel to handle practical responsibilities?"
Q_PRACTICAL_001_006,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,90,85,100,53,78,How stressful does it feel when you are asked to perform tasks without step-by-step guidance?
Q_PRACTICAL_001_007,PRACTICAL_001,COMPETENCY_DEVELOPMENT,84,100,90,65,100,53,82,How often does fear of making mistakes stop you from trying practical tasks?
Q_PRACTICAL_001_008,PRACTICAL_001,COMPETENCY_DEVELOPMENT,84,100,90,65,100,53,82,How much has practical difficulty reduced your confidence in your overall abilities?
Q_PRACTICAL_001_009,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,90,85,100,53,78,How strongly do you feel pressured when others seem more practically skilled than you?
Q_PRACTICAL_001_010,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,100,65,100,53,81,"Compared to earlier, how much more difficult do practical tasks feel to you now?"
Q_PRACTICAL_001_011,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,90,65,100,80,84,How often do you delay starting practical assignments because you feel unsure how to begin?
Q_PRACTICAL_001_012,PRACTICAL_001,COMPETENCY_DEVELOPMENT,84,100,90,85,100,68,88,How often do you depend heavily on others while handling practical work?
Q_PRACTICAL_001_013,PRACTICAL_001,COMPETENCY_DEVELOPMENT,84,100,100,85,100,68,90,"During practical sessions, how often do you feel blank even after studying the theory?"
Q_PRACTICAL_001_014,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,90,65,100,80,79,How likely are you to avoid hands-on opportunities because you fear underperforming?
Q_PRACTICAL_001_015,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,80,89,"After struggling with a practical task, how discouraged do you usually feel?"
Q_PRACTICAL_001_016,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,100,85,100,68,87,"When practical tasks become difficult, how effectively do you break them into smaller manageable steps?"
Q_PRACTICAL_001_017,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,90,65,100,68,82,How often do you actively practice skills outside regular classroom learning?
Q_PRACTICAL_001_018,PRACTICAL_001,COMPETENCY_DEVELOPMENT,98,100,90,65,100,68,87,Some students avoid practical work and focus only on theory. How true is this for you?
Q_PRACTICAL_001_019,PRACTICAL_001,COMPETENCY_DEVELOPMENT,84,100,100,85,100,68,90,"After successfully completing a practical task, how motivated do you feel to try more challenging work?"
Q_PRACTICAL_001_020,PRACTICAL_001,COMPETENCY_DEVELOPMENT,84,100,100,85,100,68,90,"Even if practical work feels difficult today, how confident are you that regular practice can improve you?"
Q_STR_001_025,STR_001,EXAMINATION_STRESS,66,100,90,65,100,53,79,How hopeful are you that you will better understand your strengths in future?
Q_PRACTICAL_001_021,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,90,65,100,53,75,How ready are you to spend more time practicing real-world applications of what you study?
Q_PRACTICAL_001_022,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,53,80,"If someone guided you practically step by step, how willing would you be to improve your hands-on skills?"
Q_PRACTICAL_001_023,PRACTICAL_001,COMPETENCY_DEVELOPMENT,66,100,90,65,100,53,79,How strongly do you believe practical confidence improves mainly through repeated experience?
Q_PRACTICAL_001_024,PRACTICAL_001,COMPETENCY_DEVELOPMENT,41,100,100,85,100,53,80,"If you were given one small hands-on task today, how likely are you to complete it independently?"
Q_PRACTICAL_001_025,PRACTICAL_001,COMPETENCY_DEVELOPMENT,84,100,100,85,100,53,87,"Even if practical work feels uncomfortable now, how hopeful are you that you can become confident with time and practice?"
Q_PLACE_001_001_v2,PLACE_001,EMPLOYABILITY,84,100,100,85,100,65,89,"Before attending placement interviews, how confident do you usually feel about yourself?"
Q_PLACE_001_002_v2,PLACE_001,EMPLOYABILITY,41,100,100,85,100,53,80,"When interview rounds are announced in college, how often do you feel nervous immediately?"
Q_PLACE_001_003_v2,PLACE_001,EMPLOYABILITY,66,100,100,85,100,53,84,"Compared to your classmates, how prepared do you feel during interview discussions?"
Q_PLACE_001_004_v2,PLACE_001,EMPLOYABILITY,41,100,90,85,100,53,78,Do you sometimes feel interviewers may judge you negatively even before you answer properly?
Q_PLACE_001_005_v2,PLACE_001,EMPLOYABILITY,41,100,100,85,100,53,80,"If you imagine attending an important interview tomorrow, how prepared do you feel mentally?"
Q_PLACE_001_006_v2,PLACE_001,EMPLOYABILITY,84,100,90,80,100,53,85,How emotionally stressful do placement interviews feel for you these days?
Q_PLACE_001_007_v2,PLACE_001,EMPLOYABILITY,41,100,90,65,100,53,75,How often do interview-related worries affect your sleep or concentration?
Q_PLACE_001_008_v2,PLACE_001,EMPLOYABILITY,84,100,90,65,100,53,82,How much has fear of interviews reduced your motivation to attend placement activities?
Q_PLACE_001_009_v2,PLACE_001,EMPLOYABILITY,84,100,90,85,100,53,85,How strongly do family expectations increase your pressure during placement season?
Q_PLACE_001_010_v2,PLACE_001,EMPLOYABILITY,84,100,100,85,100,53,87,"Compared to earlier semesters, how much less confident do you feel during interviews now?"
Q_PLACE_001_011_v2,PLACE_001,EMPLOYABILITY,66,100,90,65,100,80,84,How often do you avoid applying for companies because you feel you may not perform well in interviews?
Q_PLACE_001_012_v2,PLACE_001,EMPLOYABILITY,84,100,100,85,100,68,90,"During mock interviews or presentations, how often do you struggle to express your thoughts clearly?"
Q_PLACE_001_013_v2,PLACE_001,EMPLOYABILITY,41,100,100,85,100,80,84,"When interviewers ask unexpected questions, how uncomfortable do you usually feel?"
Q_PLACE_001_014_v2,PLACE_001,EMPLOYABILITY,66,100,90,85,100,68,85,How likely are you to compare your performance with others immediately after interviews?
Q_PLACE_001_015_v2,PLACE_001,EMPLOYABILITY,41,100,100,85,100,68,82,"Even after a decent interview, how often do you feel you could have done much better?"
Q_PLACE_001_016_v2,PLACE_001,EMPLOYABILITY,41,100,100,85,100,68,82,"When interview anxiety increases, how effectively are you able to calm yourself before the interview starts?"
Q_PLACE_001_017_v2,PLACE_001,EMPLOYABILITY,84,100,90,65,100,68,85,How often do you practice mock interviews or communication skills to improve confidence?
Q_PLACE_001_018_v2,PLACE_001,EMPLOYABILITY,66,100,90,65,100,68,82,Some students distract themselves instead of preparing seriously for interviews. How true is this for you?
Q_PLACE_001_019_v2,PLACE_001,EMPLOYABILITY,41,100,100,85,100,80,84,"After receiving encouragement from someone, how much more confident do you usually feel?"
Q_PLACE_001_020_v2,PLACE_001,EMPLOYABILITY,66,100,100,85,100,68,87,"Even if interviews feel difficult now, how confident are you that you can improve with practice?"
Q_PLACE_001_021_v2,PLACE_001,EMPLOYABILITY,66,100,90,55,100,53,77,How ready are you to actively work on improving your interview confidence?
Q_PLACE_001_022_v2,PLACE_001,EMPLOYABILITY,41,100,100,85,100,53,80,"If proper guidance and practice sessions were available, how willing would you be to participate regularly?"
Q_PLACE_001_023_v2,PLACE_001,EMPLOYABILITY,66,100,90,65,100,53,79,How strongly do you believe interview confidence can improve through consistent practice?
Q_PLACE_001_024_v2,PLACE_001,EMPLOYABILITY,66,100,100,85,100,53,84,"If you received one practical confidence-building exercise today, how likely are you to complete it?"
Q_PLACE_001_025_v2,PLACE_001,EMPLOYABILITY,66,100,100,85,100,53,84,"Even if interviews feel stressful today, how hopeful are you that you can eventually perform confidently?"
Q_TRANSITION_001_001,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,53,84,"When you think about moving from college life into a professional job, how prepared do you personally feel?"
Q_TRANSITION_001_002,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,53,84,"During internships, presentations, or interviews, how often do you feel unprepared for professional expectations?"
Q_TRANSITION_001_003,TRANSITION_001,CAREER_GROWTH,84,100,100,85,100,53,87,"Looking at classmates who seem career-ready, how confident do you feel about your own transition into work life?"
Q_TRANSITION_001_004,TRANSITION_001,CAREER_GROWTH,66,100,90,65,100,53,79,Do you sometimes feel that academic learning alone is not enough for real-world jobs?
Q_TRANSITION_001_005,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,53,84,"If you had to join a workplace next month, how ready do you feel to handle professional responsibilities?"
Q_TRANSITION_001_006,TRANSITION_001,CAREER_GROWTH,84,100,90,65,100,53,82,How stressful does thinking about your first job or career transition feel right now?
Q_TRANSITION_001_007,TRANSITION_001,CAREER_GROWTH,41,100,90,65,100,53,75,How often do worries about workplace expectations affect your confidence levels?
Q_TRANSITION_001_008,TRANSITION_001,CAREER_GROWTH,66,100,90,65,100,53,79,How much has fear about professional life reduced your motivation to prepare for placements or interviews?
Q_TRANSITION_001_009,TRANSITION_001,CAREER_GROWTH,41,100,90,65,100,53,75,How strongly do family expectations make you feel pressured to become professionally successful quickly?
Q_TRANSITION_001_010,TRANSITION_001,CAREER_GROWTH,66,100,100,65,100,53,81,"Compared to last year, how much more uncertain do you feel about handling professional life?"
Q_TRANSITION_001_011,TRANSITION_001,CAREER_GROWTH,41,100,90,65,100,80,79,How often do you delay applying for opportunities because you feel you are not professionally ready yet?
Q_TRANSITION_001_012,TRANSITION_001,CAREER_GROWTH,66,100,90,65,100,80,84,How often do you avoid networking or professional conversations because you feel inexperienced?
Q_TRANSITION_001_013,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,68,87,"During interviews or formal discussions, how often do you doubt your communication or professional behavior?"
Q_TRANSITION_001_014,TRANSITION_001,CAREER_GROWTH,41,100,90,65,100,68,77,How likely are you to compare yourself negatively with people who already have work experience?
Q_TRANSITION_001_015,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,80,89,"After attending placement drives or interviews, how discouraged do you usually feel about your readiness?"
Q_TRANSITION_001_016,TRANSITION_001,CAREER_GROWTH,41,100,100,85,100,68,82,"When you realize you lack workplace skills, how effectively do you try improving them?"
Q_TRANSITION_001_017,TRANSITION_001,CAREER_GROWTH,84,100,100,65,100,68,86,"How often do you seek guidance from seniors, mentors, or professionals about career readiness?"
Q_TRANSITION_001_018,TRANSITION_001,CAREER_GROWTH,66,100,90,65,100,80,84,Some students avoid thinking about jobs because the transition feels stressful. How true is this for you?
Q_TRANSITION_001_019,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,68,87,"After successfully handling a professional task or interview, how motivated do you feel to improve further?"
Q_TRANSITION_001_020,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,68,87,"Even if professional life feels difficult now, how confident are you that you can adjust with time and experience?"
Q_TRANSITION_001_021,TRANSITION_001,CAREER_GROWTH,41,100,90,65,100,53,75,How ready are you to actively work on becoming more professionally prepared?
Q_TRANSITION_001_022,TRANSITION_001,CAREER_GROWTH,84,100,100,85,100,53,87,"If you had a clear career transition roadmap, how willing would you be to follow it seriously?"
Q_TRANSITION_001_023,TRANSITION_001,CAREER_GROWTH,66,100,90,65,100,53,79,How strongly do you believe professional confidence can improve with practice and exposure?
Q_TRANSITION_001_024,TRANSITION_001,CAREER_GROWTH,41,100,100,85,100,53,80,"If you got one practical workplace challenge today, how likely are you to attempt it seriously?"
Q_TRANSITION_001_025,TRANSITION_001,CAREER_GROWTH,66,100,100,85,100,53,84,"Even if the transition feels difficult now, how hopeful are you that you can eventually become professionally confident?"
Q_INTERVIEW_001_001,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,65,86,"Before a technical interview, how confident do you usually feel about your preparation?"
Q_INTERVIEW_001_002,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,53,84,"When technical questions become difficult, how often do you feel your mind suddenly goes blank?"
Q_INTERVIEW_001_003,INTERVIEW_001,EMPLOYABILITY,66,100,100,65,100,53,81,"Compared to your classmates, how prepared do you feel for technical interview rounds?"
Q_INTERVIEW_001_004,INTERVIEW_001,EMPLOYABILITY,84,100,90,65,100,53,82,Do technical interviews feel more like fear situations than learning opportunities for you?
Q_INTERVIEW_001_005,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,53,84,"If you had a technical interview tomorrow, how ready would you honestly feel?"
Q_INTERVIEW_001_006,INTERVIEW_001,EMPLOYABILITY,78,100,90,35,100,53,76,How stressful does the thought of technical interviews feel these days?
Q_INTERVIEW_001_007,INTERVIEW_001,EMPLOYABILITY,41,100,90,85,100,53,78,How often do interview-related worries affect your concentration during preparation?
Q_INTERVIEW_001_008,INTERVIEW_001,EMPLOYABILITY,66,100,90,65,100,53,79,How much has fear of failure reduced your motivation to practice technical concepts?
Q_INTERVIEW_001_009,INTERVIEW_001,EMPLOYABILITY,66,100,90,65,100,53,79,How strongly do placement pressure and competition affect your confidence levels?
Q_INTERVIEW_001_010,INTERVIEW_001,EMPLOYABILITY,84,100,100,65,100,53,84,"Compared to last year, how much more nervous do you feel about technical interviews now?"
Q_INTERVIEW_001_011,INTERVIEW_001,EMPLOYABILITY,66,100,90,65,100,80,84,How often do you delay mock interviews or coding practice because you feel underprepared?
Q_INTERVIEW_001_012,INTERVIEW_001,EMPLOYABILITY,66,100,90,85,100,68,85,How often do you stop practicing after struggling with a difficult technical problem?
Q_INTERVIEW_001_013,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,68,87,"During technical discussions, how often do you hesitate even when you know the answer?"
Q_INTERVIEW_001_014,INTERVIEW_001,EMPLOYABILITY,66,100,90,65,100,80,84,How likely are you to avoid applying for companies because of technical interview fear?
Q_INTERVIEW_001_015,INTERVIEW_001,EMPLOYABILITY,41,100,100,85,100,80,84,"After seeing others perform well in coding rounds, how discouraged do you usually feel?"
Q_INTERVIEW_001_016,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,68,87,"When you perform poorly in practice interviews, how effectively do you recover and continue preparing?"
Q_INTERVIEW_001_017,INTERVIEW_001,EMPLOYABILITY,41,100,100,65,100,68,79,"How often do you seek help from mentors, seniors, or friends to improve interview preparation?"
Q_INTERVIEW_001_018,INTERVIEW_001,EMPLOYABILITY,41,100,90,65,100,68,77,Some students avoid interview preparation by distracting themselves with other activities. How true is this for you?
Q_INTERVIEW_001_019,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,68,87,"After solving a difficult technical problem successfully, how motivated do you feel to keep practicing?"
Q_INTERVIEW_001_020,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,68,87,"Even if interviews feel difficult now, how confident are you that consistent practice can improve your performance?"
Q_INTERVIEW_001_021,INTERVIEW_001,EMPLOYABILITY,66,100,90,65,100,53,79,How ready are you to seriously work on improving your technical interview skills?
Q_INTERVIEW_001_022,INTERVIEW_001,EMPLOYABILITY,41,100,100,85,100,53,80,"If you had structured guidance, how willing would you be to improve step by step?"
Q_INTERVIEW_001_023,INTERVIEW_001,EMPLOYABILITY,66,100,90,65,100,53,79,How strongly do you believe interview confidence can improve with practice and experience?
Q_INTERVIEW_001_024,INTERVIEW_001,EMPLOYABILITY,66,100,100,85,100,53,84,"If you received one small technical challenge today, how likely are you to attempt it sincerely?"
Q_INTERVIEW_001_025,INTERVIEW_001,EMPLOYABILITY,84,100,100,85,100,53,87,"Even if technical interviews feel difficult today, how hopeful are you that you can eventually become confident?"
Q_BURNOUT_001_001,BURNOUT_001,EMOTIONAL_REGULATION,66,100,100,85,100,65,86,"During placement season, how emotionally exhausted do you usually feel inside?"
Q_BURNOUT_001_002,BURNOUT_001,EMOTIONAL_REGULATION,41,100,90,85,100,53,78,How often do placement-related thoughts stay in your mind even after college hours?
Q_BURNOUT_001_003,BURNOUT_001,EMOTIONAL_REGULATION,66,100,100,85,100,53,84,"When others talk about placements and packages, how emotionally heavy does it feel for you?"
Q_BURNOUT_001_004,BURNOUT_001,EMOTIONAL_REGULATION,66,100,100,85,100,53,84,"Compared to your friends, how mentally drained do you feel during placement preparation?"
Q_BURNOUT_001_005,BURNOUT_001,EMOTIONAL_REGULATION,41,100,100,85,100,65,82,"When you think about upcoming interviews or results, how calm do you usually feel?"
