question_id,concern_id,response_type,composite,distinctiveness,diagnostic_power,signal_value,human_readability,behavioral_realism,options
Q_FOCUS_001_016,FOCUS_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_FOCUS_001_021,FOCUS_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_FOCUS_001_022,FOCUS_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_FOCUS_001_023,FOCUS_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_UNCERT_001_004,UNCERT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_UNCERT_001_009,UNCERT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_UNCERT_001_010,UNCERT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_UNCERT_001_016,UNCERT_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_UNCERT_001_021,UNCERT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_UNCERT_001_022,UNCERT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_UNCERT_001_023,UNCERT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TIMEALLOC_001_010,TIMEALLOC_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_003_v2,BURNOUT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_BURNOUT_001_004_v2,BURNOUT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_009_v2,BURNOUT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_010_v2,BURNOUT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_015_v2,BURNOUT_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_BURNOUT_001_016_v2,BURNOUT_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_BURNOUT_001_021_v2,BURNOUT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_BURNOUT_001_022_v2,BURNOUT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_BURNOUT_001_023_v2,BURNOUT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TIMEALLOC_001_004,TIMEALLOC_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TIMEALLOC_001_009,TIMEALLOC_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TIMEALLOC_001_016,TIMEALLOC_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_TIMEALLOC_001_021,TIMEALLOC_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TIMEALLOC_001_022,TIMEALLOC_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TIMEALLOC_001_023,TIMEALLOC_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_MOTIV_001_004,MOTIV_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_MOTIV_001_009,MOTIV_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_MOTIV_001_010,MOTIV_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_MOTIV_001_016,MOTIV_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_MOTIV_001_021,MOTIV_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_MOTIV_001_022,MOTIV_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_MOTIV_001_023,MOTIV_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_RANK_001_004,RANK_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_RANK_001_009,RANK_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_RANK_001_010,RANK_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_RANK_001_016,RANK_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_RANK_001_021,RANK_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_RANK_001_022,RANK_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_RANK_001_023,RANK_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_MOCKCONF_001_004,MOCKCONF_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_MOCKCONF_001_009,MOCKCONF_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_MOCKCONF_001_010,MOCKCONF_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_MOCKCONF_001_016,MOCKCONF_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_MOCKCONF_001_021,MOCKCONF_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_MOCKCONF_001_022,MOCKCONF_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_MOCKCONF_001_023,MOCKCONF_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_FAMILY_001_004,FAMILY_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_FAMILY_001_009,FAMILY_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_FAMILY_001_010,FAMILY_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_FAMILY_001_016,FAMILY_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_FAMILY_001_021,FAMILY_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_FAMILY_001_022,FAMILY_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_FAMILY_001_023,FAMILY_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_SELFBELIEF_001_004,SELFBELIEF_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_SELFBELIEF_001_009,SELFBELIEF_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_SELFBELIEF_001_010,SELFBELIEF_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_SELFBELIEF_001_016,SELFBELIEF_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_SELFBELIEF_001_021,SELFBELIEF_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_SELFBELIEF_001_022,SELFBELIEF_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_SELFBELIEF_001_023,SELFBELIEF_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TESTSTRAT_001_004,TESTSTRAT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TESTSTRAT_001_009,TESTSTRAT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TESTSTRAT_001_010,TESTSTRAT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_RESULTPRESS_001_004,RESULTPRESS_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TESTSTRAT_001_016,TESTSTRAT_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_TESTSTRAT_001_021,TESTSTRAT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TESTSTRAT_001_022,TESTSTRAT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TESTSTRAT_001_023,TESTSTRAT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_RESULTPRESS_001_009,RESULTPRESS_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_RESULTPRESS_001_010,RESULTPRESS_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_RESULTPRESS_001_016,RESULTPRESS_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_RESULTPRESS_001_021,RESULTPRESS_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_RESULTPRESS_001_022,RESULTPRESS_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_RESULTPRESS_001_023,RESULTPRESS_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_REATTEMPT_001_003,REATTEMPT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_REATTEMPT_001_009,REATTEMPT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_REATTEMPT_001_010,REATTEMPT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
