family_id,domain_id,Domain,family_name,family_purpose,key_behavioral_scope,relational_bridge_tag
FAM_MOT_003,DOM_004,Motivational Intelligence,aspiration_signals,Assess ambition and future achievement orientation,"ambition, growth goals",GENERAL_CONCERN
FAM_MOT_004,DOM_004,Motivational Intelligence,drive_signals,Measure intensity of internal motivation,"enthusiasm, energy, initiative",GENERAL_CONCERN
FAM_MOT_005,DOM_004,Motivational Intelligence,disengagement_signals,Detect motivational withdrawal and detachment,"apathy, disinterest, disengagement",GENERAL_CONCERN
FAM_MOT_006,DOM_004,Motivational Intelligence,achievement_orientation_signals,Measure desire for achievement and accomplishment,"success focus, achievement striving",GENERAL_CONCERN
FAM_MOT_007,DOM_004,Motivational Intelligence,growth_orientation_signals,Assess openness toward growth and self-improvement,"growth mindset, self-development",GENERAL_CONCERN
FAM_MOT_008,DOM_004,Motivational Intelligence,effort_stability_signals,Measure stability of effort over time,"consistency, discipline",DISCIPLINE_HABITS
FAM_MOT_009,DOM_004,Motivational Intelligence,energy_sustainability_signals,Assess ability to maintain motivational energy,"stamina, sustainable effort",GENERAL_CONCERN
FAM_MOT_010,DOM_004,Motivational Intelligence,goal_commitment_signals,Measure commitment toward long-term goals,"dedication, commitment stability",GENERAL_CONCERN
FAM_MOT_011,DOM_004,Motivational Intelligence,reward_dependency_signals,Detect dependence on external rewards for motivation,"validation dependency, reward seeking",GENERAL_CONCERN
FAM_MOT_012,DOM_004,Motivational Intelligence,initiative_activation_signals,Assess willingness to initiate action independently,"proactive engagement, initiative",GENERAL_CONCERN
FAM_MOT_013,DOM_004,Motivational Intelligence,motivational_resilience_signals,Measure recovery of motivation after failure,bounce-back motivation,GENERAL_CONCERN
FAM_MOT_014,DOM_004,Motivational Intelligence,ambition_stability_signals,Assess stability and sustainability of ambition,aspiration consistency,GENERAL_CONCERN
FAM_MOT_015,DOM_004,Motivational Intelligence,self_activation_signals,Measure self-driven action tendencies,self-starting behavior,GENERAL_CONCERN
FAM_MOT_016,DOM_004,Motivational Intelligence,learning_drive_signals,Assess motivation toward continuous learning,curiosity-driven learning,GENERAL_CONCERN
FAM_MOT_017,DOM_004,Motivational Intelligence,performance_drive_signals,Measure motivation to perform under pressure,competitive motivation,GENERAL_CONCERN
FAM_MOT_018,DOM_004,Motivational Intelligence,purpose_alignment_signals,Assess alignment between goals and personal meaning,meaningful engagement,GENERAL_CONCERN
FAM_MOT_019,DOM_004,Motivational Intelligence,motivational_volatility_signals,Detect fluctuations in motivation levels,"inconsistency, unstable drive",GENERAL_CONCERN
FAM_MOT_020,DOM_004,Motivational Intelligence,recovery_energy_signals,Measure restoration of energy after stress or burnout,"recovery readiness, energy restoration",ADJUSTMENT_COPING
FAM_SOC_001,DOM_005,Social Intelligence,peer_comparison_signals,Measure comparison-driven emotional and behavioral reactions,"peer comparison, inferiority feelings, competitive insecurity",ADJUSTMENT_COPING
FAM_SOC_002,DOM_005,Social Intelligence,approval_seeking_signals,Detect dependency on external validation and acceptance,"validation dependency, social approval needs",GENERAL_CONCERN
FAM_SOC_003,DOM_005,Social Intelligence,belonging_signals,Assess emotional sense of inclusion and belonging,"belonging insecurity, exclusion sensitivity",ADJUSTMENT_COPING
FAM_SOC_004,DOM_005,Social Intelligence,communication_comfort_signals,Measure comfort during interpersonal interactions,"social comfort, conversational ease",GENERAL_CONCERN
FAM_SOC_005,DOM_005,Social Intelligence,social_confidence_signals,Assess confidence in social and public environments,"social confidence, visibility comfort",GENERAL_CONCERN
FAM_SOC_006,DOM_005,Social Intelligence,interaction_quality_signals,Evaluate quality and consistency of interpersonal interactions,"interaction effectiveness, relationship stability",GENERAL_CONCERN
FAM_SOC_007,DOM_005,Social Intelligence,judgment_fear_signals,Detect fear of criticism and social evaluation,"fear of judgment, embarrassment avoidance",ADJUSTMENT_COPING
FAM_SOC_008,DOM_005,Social Intelligence,social_withdrawal_signals,Measure avoidance of social participation and engagement,"isolation, social disengagement",GENERAL_CONCERN
FAM_SOC_009,DOM_005,Social Intelligence,visibility_anxiety_signals,Assess discomfort with attention and visibility,"stage fear, visibility hesitation",ADJUSTMENT_COPING
FAM_SOC_010,DOM_005,Social Intelligence,networking_signals,Measure ability and willingness to build connections,"networking confidence, professional interaction",GENERAL_CONCERN
FAM_SOC_011,DOM_005,Social Intelligence,relationship_trust_signals,Assess trust-building and emotional openness in relationships,"trust development, emotional openness",ADJUSTMENT_COPING
FAM_SOC_012,DOM_005,Social Intelligence,empathy_signals,Measure emotional understanding and sensitivity toward others,"empathy, emotional responsiveness",ADJUSTMENT_COPING
FAM_SOC_013,DOM_005,Social Intelligence,conflict_response_signals,Detect reactions and coping patterns during interpersonal conflict,"conflict handling, emotional regulation in disagreements",ADJUSTMENT_COPING
FAM_SOC_014,DOM_005,Social Intelligence,collaboration_readiness_signals,Assess willingness to cooperate and work with others,"teamwork readiness, cooperative engagement",GENERAL_CONCERN
FAM_SOC_015,DOM_005,Social Intelligence,influence_sensitivity_signals,Measure susceptibility to peer and social influence,"peer pressure, external influence dependency",GENERAL_CONCERN
FAM_SOC_016,DOM_005,Social Intelligence,social_assertiveness_signals,Assess confidence in expressing opinions and boundaries,"assertiveness, boundary communication",GENERAL_CONCERN
FAM_SOC_017,DOM_005,Social Intelligence,emotional_expression_signals,Measure openness and comfort in expressing emotions socially,"emotional disclosure, expression comfort",ADJUSTMENT_COPING
FAM_SOC_018,DOM_005,Social Intelligence,group_participation_signals,Assess engagement quality in team and group settings,"group interaction, collaborative participation",GENERAL_CONCERN
FAM_SOC_019,DOM_005,Social Intelligence,interpersonal_resilience_signals,Measure recovery ability after rejection or social setbacks,"rejection recovery, social resilience",GENERAL_CONCERN
FAM_SOC_020,DOM_005,Social Intelligence,social_adaptation_signals,Assess adaptability across different social environments,"situational adjustment, social flexibility",ADJUSTMENT_COPING
FAM_EXEC_001,DOM_006,Executive Function Intelligence,planning_signals,Measure planning ability and future task organization,"planning, scheduling, preparation",GENERAL_CONCERN
FAM_EXEC_002,DOM_006,Executive Function Intelligence,prioritization_signals,Assess ability to prioritize tasks effectively,"priority management, decision sequencing",GENERAL_CONCERN
FAM_EXEC_003,DOM_006,Executive Function Intelligence,task_completion_signals,Measure consistency in completing assigned tasks,"completion behavior, follow-through",GENERAL_CONCERN
FAM_EXEC_004,DOM_006,Executive Function Intelligence,execution_consistency_signals,Detect consistency in execution quality,"reliability, execution stability",GENERAL_CONCERN
FAM_EXEC_005,DOM_006,Executive Function Intelligence,organization_signals,Assess organizational discipline and structure,"organization, systematic behavior",DISCIPLINE_HABITS
FAM_EXEC_006,DOM_006,Executive Function Intelligence,structure_signals,Measure dependence on routines and structure,"structure stability, routine management",DISCIPLINE_HABITS
FAM_EXEC_007,DOM_006,Executive Function Intelligence,time_management_signals,Evaluate effective use of time and deadlines,"punctuality, scheduling discipline",DISCIPLINE_HABITS
FAM_EXEC_008,DOM_006,Executive Function Intelligence,productivity_signals,Measure productive work behavior,"productivity, efficiency",GENERAL_CONCERN
FAM_EXEC_009,DOM_006,Executive Function Intelligence,followthrough_signals,Assess persistence in finishing initiated work,"consistency, sustained execution",GENERAL_CONCERN
FAM_EXEC_010,DOM_006,Executive Function Intelligence,operational_discipline_signals,Measure discipline in operational execution,"process adherence, disciplined action",DISCIPLINE_HABITS
FAM_EXEC_011,DOM_006,Executive Function Intelligence,attention_control_signals,Evaluate focus and attention regulation,"focus stability, distraction control",GENERAL_CONCERN
FAM_EXEC_012,DOM_006,Executive Function Intelligence,cognitive_control_signals,Assess regulation of impulses and thinking patterns,"impulse control, mental regulation",GENERAL_CONCERN
FAM_EXEC_013,DOM_006,Executive Function Intelligence,workflow_management_signals,Measure workflow coordination and management,"workflow structure, process flow",GENERAL_CONCERN
FAM_EXEC_014,DOM_006,Executive Function Intelligence,decision_execution_signals,Assess ability to convert decisions into action,"action initiation, execution activation",GENERAL_CONCERN
FAM_EXEC_015,DOM_006,Executive Function Intelligence,consistency_signals,Measure behavioral and execution consistency,"stable performance, routine reliability",DISCIPLINE_HABITS
FAM_EXEC_016,DOM_006,Executive Function Intelligence,deadline_management_signals,Assess handling of deadlines and pressure timelines,"deadline adherence, urgency handling",GENERAL_CONCERN
FAM_EXEC_017,DOM_006,Executive Function Intelligence,multitasking_signals,Evaluate handling of multiple simultaneous tasks,"task switching, workload balancing",GENERAL_CONCERN
FAM_EXEC_018,DOM_006,Executive Function Intelligence,execution_breakdown_signals,Detect failures in sustained execution,"execution collapse, incomplete tasks",GENERAL_CONCERN
FAM_EXEC_019,DOM_006,Executive Function Intelligence,self_regulation_signals,Measure ability to regulate actions and routines,"discipline, behavioral regulation",DISCIPLINE_HABITS
FAM_EXEC_020,DOM_006,Executive Function Intelligence,process_adherence_signals,Assess adherence to defined systems and processes,"compliance, systematic execution",GENERAL_CONCERN
FAM_IDEN_001,DOM_007,Identity Intelligence,self_belief_signals,Measure internal belief in personal capability and competence,"self-confidence, capability belief, self-trust",GENERAL_CONCERN
FAM_IDEN_002,DOM_007,Identity Intelligence,self_worth_signals,Assess perceived self-value and emotional worthiness,"self-esteem, inadequacy, worth instability",ADJUSTMENT_COPING
FAM_IDEN_003,DOM_007,Identity Intelligence,identity_clarity_signals,Measure clarity and stability of personal identity,"self-definition, identity certainty",GENERAL_CONCERN
FAM_IDEN_004,DOM_007,Identity Intelligence,purpose_signals,Assess sense of meaning and life direction,"purpose clarity, meaning orientation",GENERAL_CONCERN
FAM_IDEN_005,DOM_007,Identity Intelligence,self_acceptance_signals,"Measure acceptance of strengths, weaknesses, and individuality","self-acceptance, emotional comfort with self",ADJUSTMENT_COPING
FAM_IDEN_006,DOM_007,Identity Intelligence,authenticity_signals,Assess authenticity and alignment between inner self and external behavior,"genuineness, identity congruence",GENERAL_CONCERN
FAM_IDEN_007,DOM_007,Identity Intelligence,identity_confusion_signals,Detect instability and confusion in self-concept,"uncertainty, role confusion",GENERAL_CONCERN
FAM_IDEN_008,DOM_007,Identity Intelligence,self_respect_signals,Measure personal dignity and self-respect,"boundary protection, self-value",GENERAL_CONCERN
FAM_IDEN_009,DOM_007,Identity Intelligence,personal_values_signals,Assess clarity and consistency of personal values,"ethics, principles, value alignment",GENERAL_CONCERN
FAM_IDEN_010,DOM_007,Identity Intelligence,individuality_signals,Measure comfort in expressing individuality,"uniqueness expression, independent identity",GENERAL_CONCERN
FAM_IDEN_011,DOM_007,Identity Intelligence,internal_validation_signals,Assess ability to self-validate without excessive external approval,"internal confidence, emotional independence",ADJUSTMENT_COPING
FAM_IDEN_012,DOM_007,Identity Intelligence,identity_stability_signals,Measure consistency of self-perception across situations,"stable identity, emotional continuity",ADJUSTMENT_COPING
FAM_IDEN_013,DOM_007,Identity Intelligence,self_awareness_signals,"Assess awareness of strengths, weaknesses, and emotional patterns","introspection, self-understanding",ADJUSTMENT_COPING
FAM_IDEN_014,DOM_007,Identity Intelligence,aspiration_identity_signals,Measure alignment between ambitions and identity,"aspiration clarity, future self-image",GENERAL_CONCERN
FAM_IDEN_015,DOM_007,Identity Intelligence,role_identity_signals,Assess comfort and clarity in social and professional roles,"role adaptation, role certainty",GENERAL_CONCERN
FAM_IDEN_016,DOM_007,Identity Intelligence,self_expression_signals,Measure confidence in expressing personal thoughts and identity,"openness, emotional expression",ADJUSTMENT_COPING
FAM_IDEN_017,DOM_007,Identity Intelligence,confidence_foundation_signals,Assess foundational emotional confidence independent of performance,"emotional stability, baseline confidence",ADJUSTMENT_COPING
FAM_IDEN_018,DOM_007,Identity Intelligence,identity_resilience_signals,Measure ability to maintain self-identity during setbacks or criticism,"identity endurance, emotional resilience",ADJUSTMENT_COPING
FAM_IDEN_019,DOM_007,Identity Intelligence,self_definition_signals,Assess clarity in describing and understanding oneself,"self-concept articulation, identity awareness",GENERAL_CONCERN
FAM_IDEN_020,DOM_007,Identity Intelligence,belonging_identity_signals,Measure identity security within groups and social environments,"belonging confidence, social identity security",GENERAL_CONCERN
FAM_ADAPT_001,DOM_008,Adaptive Intelligence,adaptability_signals,Measure overall adaptability to changing environments and uncertainty,"adaptability, adjustment capacity, flexibility",ADJUSTMENT_COPING
FAM_ADAPT_002,DOM_008,Adaptive Intelligence,flexibility_signals,Assess cognitive and behavioral flexibility during transitions,"mental flexibility, behavioral adjustment",ADJUSTMENT_COPING
FAM_ADAPT_003,DOM_008,Adaptive Intelligence,transition_signals,"Evaluate how individuals handle life, academic, or career transitions","transition handling, adaptation stress",CAREER_READINESS
FAM_ADAPT_004,DOM_008,Adaptive Intelligence,uncertainty_navigation_signals,Measure comfort and functioning under uncertain situations,"uncertainty tolerance, ambiguity handling",GENERAL_CONCERN
FAM_ADAPT_005,DOM_008,Adaptive Intelligence,change_acceptance_signals,Assess openness toward change and new environments,"change acceptance, resistance reduction",GENERAL_CONCERN
FAM_ADAPT_006,DOM_008,Adaptive Intelligence,recovery_adaptation_signals,Measure ability to recover and re-adapt after setbacks,"recovery flexibility, adaptive recovery",GENERAL_CONCERN
FAM_ADAPT_007,DOM_008,Adaptive Intelligence,learning_agility_signals,Evaluate speed and flexibility of learning new concepts or systems,"learning agility, rapid adaptation",GENERAL_CONCERN
FAM_ADAPT_008,DOM_008,Adaptive Intelligence,situational_adjustment_signals,Assess behavioral adjustment across different contexts,"situational awareness, adaptive behavior",ADJUSTMENT_COPING
FAM_ADAPT_009,DOM_008,Adaptive Intelligence,environmental_adaptation_signals,Measure adaptation to new environments and cultures,"environmental adjustment, adaptation comfort",ADJUSTMENT_COPING
FAM_ADAPT_010,DOM_008,Adaptive Intelligence,ambiguity_tolerance_signals,Assess tolerance for unclear or incomplete information,"ambiguity tolerance, uncertainty resilience",GENERAL_CONCERN
FAM_ADAPT_011,DOM_008,Adaptive Intelligence,resilience_transition_signals,Measure resilience during periods of instability or transition,"transitional resilience, stress recovery",ADJUSTMENT_COPING
FAM_ADAPT_012,DOM_008,Adaptive Intelligence,experimentation_adaptation_signals,Evaluate willingness to experiment and adapt through trial-and-error,"experimentation, adaptive exploration",GENERAL_CONCERN
FAM_ADAPT_013,DOM_008,Adaptive Intelligence,adaptive_problem_solving_signals,Assess problem-solving flexibility in changing conditions,"adaptive reasoning, flexible problem-solving",GENERAL_CONCERN
FAM_ADAPT_014,DOM_008,Adaptive Intelligence,behavioral_shift_signals,Measure ability to intentionally shift behavior when required,"behavioral adjustment, response modification",ADJUSTMENT_COPING
FAM_ADAPT_015,DOM_008,Adaptive Intelligence,adaptive_confidence_signals,Assess confidence while handling unfamiliar situations,"adaptive confidence, uncertainty handling",GENERAL_CONCERN
FAM_ADAPT_016,DOM_008,Adaptive Intelligence,recovery_speed_signals,Measure speed of emotional and behavioral recovery after disruption,"bounce-back speed, adaptive recovery",ADJUSTMENT_COPING
FAM_ADAPT_017,DOM_008,Adaptive Intelligence,adaptability_under_pressure_signals,Assess adaptability while experiencing stress or pressure,adaptive resilience under pressure,ADJUSTMENT_COPING
FAM_ADAPT_018,DOM_008,Adaptive Intelligence,disruption_management_signals,Evaluate ability to manage disruptions without collapse,"disruption handling, stability maintenance",GENERAL_CONCERN
FAM_ADAPT_019,DOM_008,Adaptive Intelligence,adaptive_decision_signals,Measure decision-making flexibility during uncertainty,"adaptive decisions, dynamic judgment",GENERAL_CONCERN
FAM_ADAPT_020,DOM_008,Adaptive Intelligence,future_adjustment_signals,Assess preparedness and adaptability toward future uncertainty,"future readiness, anticipatory adaptation",GENERAL_CONCERN
PERF_FAM_001,DOM_009,Performance Intelligence,performance_pressure_signals,Measure emotional and behavioral response under high-pressure situations,"stress handling, pressure tolerance, emotional stability",ADJUSTMENT_COPING
PERF_FAM_002,DOM_009,Performance Intelligence,interview_performance_signals,Assess confidence and effectiveness during interviews,"interview anxiety, verbal confidence, response quality",ADJUSTMENT_COPING
PERF_FAM_003,DOM_009,Performance Intelligence,competitive_stress_signals,Detect stress triggered by competition and comparison,"peer pressure, comparison anxiety, performance fear",ADJUSTMENT_COPING
PERF_FAM_004,DOM_009,Performance Intelligence,achievement_drive_signals,Measure achievement orientation and goal pursuit intensity,"ambition, success orientation, goal focus",GENERAL_CONCERN
PERF_FAM_005,DOM_009,Performance Intelligence,evaluation_anxiety_signals,Assess fear and anxiety during evaluation environments,"exam fear, judgment fear, evaluation stress",ADJUSTMENT_COPING
PERF_FAM_006,DOM_009,Performance Intelligence,execution_under_pressure_signals,Measure execution quality during stressful conditions,"execution consistency, pressure execution",GENERAL_CONCERN
PERF_FAM_007,DOM_009,Performance Intelligence,deadline_response_signals,Assess behavior and emotional response toward deadlines,"urgency handling, deadline panic, time pressure",DISCIPLINE_HABITS
PERF_FAM_008,DOM_009,Performance Intelligence,perfectionism_signals,Detect perfection-driven performance behavior,"perfectionism, fear of mistakes, overcorrection",ADJUSTMENT_COPING
PERF_FAM_009,DOM_009,Performance Intelligence,risk_taking_performance_signals,Measure willingness to take performance-related risks,"challenge acceptance, opportunity pursuit",GENERAL_CONCERN
PERF_FAM_010,DOM_009,Performance Intelligence,presentation_confidence_signals,Assess confidence during presentations and public performance,"presentation comfort, stage confidence",GENERAL_CONCERN
PERF_FAM_011,DOM_009,Performance Intelligence,rejection_response_signals,Measure emotional recovery after rejection or failure,"rejection handling, resilience after setbacks",ADJUSTMENT_COPING
PERF_FAM_012,DOM_009,Performance Intelligence,consistency_under_pressure_signals,Detect stability of performance under sustained pressure,"sustained execution, consistency stability",GENERAL_CONCERN
PERF_FAM_013,DOM_009,Performance Intelligence,adaptability_under_pressure_signals,Measure adaptability in changing or uncertain performance conditions,"flexibility, adaptive execution",GENERAL_CONCERN
PERF_FAM_014,DOM_009,Performance Intelligence,multitasking_performance_signals,Assess ability to handle multiple demands simultaneously,"task balancing, cognitive load management",GENERAL_CONCERN
