Concern ID,Domain,Concern Cluster,Relevance in India,Parent Anxiety Level,Growth Trend,Severity,CAPADEX Priority,Common Indian Context,Primary Persona,Contextual Modifier,Concern Category,Intelligence Layer,Signal Cluster,Assessment Dimension,Root Cause Group,Intervention Lens,Capability Mapping,Relational_Bridge_Tag,age_min,age_max
CONCERN_CAR_11,Adjustment & Coping Capacity,Difficulty Adjusting to Hostel Life,Medium,Medium,Rising,Medium,P2,Homesickness and independence stress,Campus Student,Lifestyle Adjustment,Hostel Adaptation Difficulty,Emotional Intelligence,Emotional Withdrawal,Personal Stability,Separation Anxiety,Adjustment Coaching,Independent Living,ADJUSTMENT_COPING,17,22
CONCERN_ADJ_12,"Motivation, Values & Responsibility",Weak Academic Accountability in College,High,Medium,Rising,High,P1,Reduced seriousness toward academics,Campus Student,Ownership Development,Academic Accountability Deficit,Ownership Intelligence,Passive Academic Engagement,Responsibility Stability,Lack of Monitoring,Accountability Coaching,Academic Ownership,MOTIVATION_VALUES,17,24
CONCERN_MOT_13,Employability,Difficulty Building Industry-Relevant Skills,Very High,High,Rising,High,P1,Skill mismatch with job market,Campus Student,Skill Development,Industry Skill Gap,Applied Intelligence,Employability Weakness,Professional Competency,Outdated Curriculum Exposure,Skill Coaching,Industry Readiness,EMPLOYABILITY,18,24
CONCERN_EMP_14,Career Readiness,Weak Networking and Relationship Building Skills,Medium,Medium,Rising,Medium,P2,Hesitation in professional networking,Campus Student,Relationship Development,Networking Weakness,Social Intelligence,Low Professional Interaction,Career Opportunity Readiness,Social Anxiety,Networking Coaching,Professional Relationships,CAREER_READINESS,18,24
CONCERN_CAR_15,Academic & Cognitive Effectiveness,Difficulty Managing Academic Backlogs,High,High,Rising,High,P1,Poor semester performance recovery,Campus Student,Academic Recovery,Backlog Management Difficulty,Strategic Intelligence,Repeated Academic Delays,Academic Stability,Weak Recovery Systems,Recovery Coaching,Academic Continuity,ACADEMIC_COGNITIVE,18,24
CONCERN_ACA_16,Employability,Weak Interview Preparation Discipline,High,High,Rising,High,P1,Last-minute placement preparation,Campus Student,Placement Preparation,Interview Discipline Weakness,Habit Intelligence,Poor Interview Readiness,Professional Preparedness,Weak Preparation Habits,Interview Coaching,Placement Readiness,EMPLOYABILITY,20,24
CONCERN_EMP_17,Examination Stress & Emotional Regulation,Difficulty Handling Placement Pressure,Very High,Critical,Rising,Critical,P1,Campus placement anxiety,Campus Student,Career Pressure,Placement Stress Instability,Emotional Intelligence,Panic & Fear Signals,Emotional Stability,Fear of Unemployment,Stress Coaching,Career Resilience,EXAMINATION_STRESS,20,24
CONCERN_EXA_18,Communication & Expression,Weak Confidence in Group Discussions,High,Medium,Rising,Medium,P2,Campus recruitment preparation gaps,Campus Student,Professional Communication,Group Discussion Anxiety,Emotional Intelligence,Participation Hesitation,Collaborative Communication,Fear of Judgement,GD Coaching,Professional Expression,COMMUNICATION_EXPRESSION,18,24
CONCERN_COM_19,Employability,Difficulty Transitioning from Theory to Practical Work,Very High,High,Rising,High,P1,Practical execution gaps,Campus Student,Applied Learning,Theory-Practice Transition Weakness,Applied Intelligence,Practical Application Failure,Industry Competency,Limited Practical Exposure,Applied Learning Coaching,Workplace Readiness,EMPLOYABILITY,18,24
CONCERN_EMP_20,Employability,Weak Problem-Solving Confidence in Real-World Tasks,High,High,Rising,High,P1,Fear of handling workplace challenges,Campus Student,Professional Confidence,Applied Problem-Solving Anxiety,Analytical Intelligence,Real-World Decision Hesitation,Practical Competency,Limited Industry Exposure,Problem-Solving Coaching,Workplace Confidence,EMPLOYABILITY,18,24
CONCERN_EMP_21,"Discipline, Habits & Consistency",Difficulty Building Consistent Learning Habits in College,High,Medium,Rising,Medium,P2,Lack of structured routine after school,Campus Student,Self Regulation,College Learning Discipline Weakness,Habit Intelligence,Irregular Study Patterns,Learning Consistency,Weak Habit Anchors,Discipline Coaching,Academic Consistency,DISCIPLINE_HABITS,17,24
CONCERN_DIS_22,Communication & Expression,Weak Professional Email & Communication Etiquette,High,Medium,Rising,Medium,P2,Informal communication habits,Campus Student,Professional Communication,Workplace Communication Etiquette Deficit,Linguistic Intelligence,Unprofessional Interaction Signals,Corporate Communication,Limited Workplace Exposure,Professional Communication Coaching,Workplace Readiness,COMMUNICATION_EXPRESSION,18,24
CONCERN_COM_23,Examination Stress & Emotional Regulation,Difficulty Managing Semester Pressure,High,High,Rising,High,P1,Assignment + exam overload,Campus Student,Academic Pressure,Semester Stress Instability,Emotional Intelligence,Anxiety & Burnout Signals,Stress Stability,Continuous Evaluation Pressure,Stress Coaching,Emotional Resilience,EXAMINATION_STRESS,17,24
CONCERN_EXA_24,Communication & Expression,Weak Presentation Skills During Seminars,Medium,Medium,Rising,Medium,P2,Fear of public speaking,Campus Student,Academic Presentation,Presentation Anxiety,Emotional Intelligence,Verbal Hesitation,Public Communication,Lack of Exposure,Presentation Coaching,Professional Expression,COMMUNICATION_EXPRESSION,18,24
CONCERN_COM_25,Career Readiness,Difficulty Building a Strong LinkedIn/Profile Presence,Medium,Medium,Rising,Medium,P2,Poor digital professional branding,Campus Student,Career Branding,Professional Identity Visibility Weakness,Strategic Intelligence,Weak Online Presence,Employability Positioning,Lack of Career Awareness,Branding Coaching,Professional Visibility,CAREER_READINESS,18,24
CONCERN_CAR_26,Employability,Weak Adaptability During Internships,High,Medium,Rising,Medium,P2,Difficulty adjusting to corporate culture,Campus Student,Workplace Adaptation,Internship Adaptability Weakness,Adaptive Intelligence,Adjustment Stress,Professional Adaptation,Lack of Workplace Exposure,Internship Coaching,Corporate Adaptability,EMPLOYABILITY,18,24
CONCERN_EMP_27,Collaboration & Ownership,Difficulty Collaborating in Team Projects,Medium,Medium,Rising,Medium,P2,Uneven contribution in assignments,Campus Student,Team Collaboration,Teamwork Coordination Weakness,Social Intelligence,Group Conflict Signals,Collaborative Participation,Weak Coordination Skills,Collaboration Coaching,Team Effectiveness,COLLABORATION_OWNERSHIP,17,24
CONCERN_COL_28,Employability,Weak Analytical Thinking for Industry Problems,High,High,Rising,High,P1,Difficulty solving applied scenarios,Campus Student,Industry Readiness,Applied Analytical Thinking Deficit,Analytical Intelligence,Problem-Solving Hesitation,Industry Competency,Theory-Oriented Learning,Analytical Coaching,Industry Problem Solving,EMPLOYABILITY,18,24
CONCERN_EMP_29,Lifestyle & Adjustment,Difficulty Managing Financial Independence in College,Medium,Medium,Rising,Medium,P2,Hostel and personal expense management,Campus Student,Personal Responsibility,Financial Adjustment Difficulty,Behavioral Intelligence,Lifestyle Instability,Independent Living,Lack of Financial Awareness,Financial Discipline Coaching,Financial Responsibility,LIFESTYLE_ADJUSTMENT,17,24
CONCERN_LIF_30,Employability,Weak Confidence During Placement Interviews,Very High,Critical,Rising,High,P1,Campus recruitment fear,Campus Student,Placement Readiness,Placement Interview Anxiety,Emotional Intelligence,Panic & Hesitation Signals,Interview Stability,Fear of Rejection,Interview Coaching,Placement Confidence,EMPLOYABILITY,20,24
CONCERN_EMP_31,Career Readiness,Difficulty Building Long-Term Career Vision,High,High,Rising,High,P1,Lack of roadmap after graduation,Campus Student,Career Planning,Long-Term Career Ambiguity,Identity Intelligence,Direction Uncertainty,Career Alignment,Limited Exposure,Career Vision Coaching,Strategic Career Planning,CAREER_READINESS,18,24
CONCERN_CAR_32,Employability,Weak Ownership of Skill Development,High,Medium,Rising,High,P1,Dependence on college curriculum alone,Campus Student,Skill Ownership,Skill Development Dependency,Ownership Intelligence,Passive Skill Building,Professional Growth,Lack of Self-Initiative,Skill Coaching,Career Competitiveness,EMPLOYABILITY,18,24
CONCERN_EMP_33,Examination Stress & Emotional Regulation,Difficulty Handling Rejection During Placements,High,High,Rising,High,P1,Multiple placement rejections,Campus Student,Emotional Recovery,Placement Rejection Sensitivity,Emotional Intelligence,Emotional Withdrawal,Recovery Stability,Fear of Failure,Recovery Coaching,Career Resilience,EXAMINATION_STRESS,20,24
CONCERN_EXA_34,Communication & Expression,Weak Practical Communication in Workplace Simulations,Medium,Medium,Rising,Medium,P2,Difficulty in mock workplace tasks,Campus Student,Professional Communication,Applied Workplace Communication Weakness,Applied Intelligence,Miscommunication Signals,Professional Interaction,Limited Practice Exposure,Communication Coaching,Workplace Fluency,COMMUNICATION_EXPRESSION,18,24
CONCERN_COM_35,"Discipline, Habits & Consistency",Difficulty Maintaining Consistency in Skill Practice,Medium,Medium,Rising,Medium,P2,Inconsistent coding/language practice,Campus Student,Skill Development,Skill Practice Inconsistency,Habit Intelligence,Irregular Improvement Patterns,Skill Continuity,Weak Reinforcement Habits,Practice Coaching,Continuous Improvement,DISCIPLINE_HABITS,18,24
CONCERN_DIS_36,Examination Stress & Emotional Regulation,Weak Emotional Stability During Career Uncertainty,High,Critical,Rising,Critical,P1,Fear about future employment,Campus Student,Career Anxiety,Career Uncertainty Stress,Emotional Intelligence,Panic & Self-Doubt Signals,Emotional Stability,Economic & Social Pressure,Emotional Coaching,Career Resilience,EXAMINATION_STRESS,20,24
CONCERN_EXA_37,Thinking Quality Under Pressure,Difficulty Building Independent Decision-Making Skills,Medium,Medium,Rising,Medium,P2,Dependence on peers/family decisions,Campus Student,Decision-Making,Independent Judgment Weakness,Strategic Intelligence,Decision Hesitation,Professional Readiness,Low Confidence in Choices,Decision Coaching,Independent Thinking,THINKING_QUALITY,18,24
CONCERN_THI_38,Career Readiness,Weak Academic-to-Professional Transition Readiness,Very High,High,Rising,High,P1,Difficulty shifting mindset from student to professional,Campus Student,Transition Readiness,Academic-Professional Transition Gap,Adaptive Intelligence,Workplace Readiness Gaps,Professional Adaptation,Limited Industry Exposure,Transition Coaching,Career Transition,CAREER_READINESS,20,24
CONCERN_CAR_39,Leadership & Ownership,Difficulty Building Leadership Confidence in Campus Activities,Medium,Medium,Rising,Medium,P2,Hesitation taking initiative,Campus Student,Leadership Development,Leadership Confidence Weakness,Emotional Intelligence,Initiative Avoidance,Leadership Readiness,Fear of Responsibility,Leadership Coaching,Initiative Development,LEADERSHIP_OWNERSHIP,18,24
CONCERN_LEA_40,Career Readiness,Weak Networking Confidence with Faculty & Recruiters,Medium,Medium,Rising,Medium,P2,Hesitation approaching professionals,Campus Student,Professional Networking,Recruiter Interaction Anxiety,Social Intelligence,Professional Hesitation,Networking Readiness,Low Exposure Confidence,Networking Coaching,Professional Relationship Building,CAREER_READINESS,18,24
CONCERN_CAR_41,"Confidence, Self-Concept & Comparison",Difficulty Managing Peer Comparison in College,High,High,Rising,High,P1,"Comparing internships, placements, grades",Campus Student,Social Comparison,Peer Comparison Anxiety,Emotional Intelligence,Inferiority Signals,Emotional Stability,External Validation Culture,Confidence Coaching,Healthy Self-Worth,CONFIDENCE_SELF,17,24
CONCERN_CON_42,Communication & Expression,Weak Confidence in English Communication During Placements,High,High,Rising,High,P1,Fear of spoken English,Campus Student,Placement Readiness,Placement Communication Anxiety,Linguistic Intelligence,Verbal Hesitation,Interview Readiness,Language Insecurity,Communication Coaching,Placement Fluency,COMMUNICATION_EXPRESSION,18,24
CONCERN_COM_43,"Discipline, Habits & Consistency",Difficulty Managing Multiple Skill Certifications,Medium,Medium,Rising,Medium,P2,Overloaded certification culture,Campus Student,Skill Development,Certification Overload,Strategic Intelligence,Task Saturation,Productivity Stability,Poor Prioritization,Planning Coaching,Skill Management,DISCIPLINE_HABITS,18,24
CONCERN_DIS_44,Employability,Weak Adaptability to Hybrid/Remote Work Environments,High,Medium,Rising,Medium,P2,Remote internships and jobs,Campus Student,Workplace Adaptation,Hybrid Work Adaptability Weakness,Adaptive Intelligence,Remote Collaboration Gaps,Workplace Flexibility,Limited Digital Collaboration Skills,Adaptability Coaching,Remote Work Readiness,EMPLOYABILITY,18,24
CONCERN_EMP_45,Communication & Expression,Difficulty Handling Constructive Feedback Professionally,Medium,Medium,Rising,Medium,P2,Emotional reactions to criticism,Campus Student,Professional Maturity,Feedback Handling Weakness,Emotional Intelligence,Defensive Reactions,Reflective Adaptability,Fragile Self-Perception,Feedback Coaching,Growth Mindset,COMMUNICATION_EXPRESSION,18,24
CONCERN_COM_46,Thinking Quality Under Pressure,Weak Critical Thinking During Industry Discussions,High,Medium,Rising,High,P1,Surface-level responses in interviews,Campus Student,Industry Readiness,Industry Critical Thinking Deficit,Analytical Intelligence,Limited Analytical Depth,Professional Reasoning,Memorization-Based Preparation,Critical Thinking Coaching,Applied Reasoning,THINKING_QUALITY,18,24
CONCERN_THI_47,"Discipline, Habits & Consistency",Difficulty Building Professional Discipline Without Supervision,High,Medium,Rising,High,P1,Lack of accountability in remote learning,Campus Student,Self Regulation,Professional Discipline Weakness,Behavioral Intelligence,Productivity Drift,Work Consistency,Weak Internal Accountability,Discipline Coaching,Professional Reliability,DISCIPLINE_HABITS,18,24
CONCERN_DIS_48,Employability,Weak Confidence in Technical Interviews,Very High,Critical,Rising,Critical,P1,Coding/technical interview fear,Campus Student,Technical Placement,Technical Interview Anxiety,Emotional Intelligence,Panic & Self-Doubt Signals,Technical Readiness,Fear of Failure,Technical Interview Coaching,Technical Confidence,EMPLOYABILITY,20,24
CONCERN_EMP_49,Lifestyle & Pressure Environment,Difficulty Managing Emotional Burnout During Placements,Very High,Critical,Rising,Critical,P1,Continuous placement preparation pressure,Campus Student,Emotional Recovery,Placement Burnout Risk,Wellness Intelligence,Emotional Exhaustion,Recovery Stability,Chronic Competitive Pressure,Burnout Coaching,Sustainable Performance,LIFESTYLE_PRESSURE,20,24
CONCERN_LIF_50,Career Readiness,Weak Industry Awareness About Emerging Careers,High,High,Rising,High,P1,Lack of awareness about evolving industries,Campus Student,Career Exploration,Emerging Career Awareness Deficit,Exploratory Intelligence,Narrow Career Visibility,Future Readiness,Limited Exposure,Career Exploration Coaching,Industry Awareness,CAREER_READINESS,18,24
CONCERN_CAR_51,Career Readiness,Difficulty Building Portfolio-Based Career Profiles,Medium,Medium,Rising,Medium,P2,Weak project showcase culture,Campus Student,Professional Branding,Portfolio Development Weakness,Strategic Intelligence,Weak Skill Visibility,Employability Positioning,Limited Practical Exposure,Portfolio Coaching,Career Branding,CAREER_READINESS,18,24
CONCERN_CAR_52,Examination Stress & Emotional Regulation,Weak Emotional Resilience After Internship Rejections,High,High,Rising,High,P1,Repeated internship rejection stress,Campus Student,Career Recovery,Internship Rejection Sensitivity,Emotional Intelligence,Emotional Withdrawal,Recovery Stability,Fear of Inadequacy,Recovery Coaching,Career Resilience,EXAMINATION_STRESS,18,24
CONCERN_EXA_53,"Discipline, Habits & Consistency",Difficulty Building Long-Term Professional Consistency,Medium,Medium,Rising,Medium,P2,Short-term motivation spikes only,Campus Student,Professional Development,Professional Consistency Weakness,Habit Intelligence,Irregular Skill Effort,Long-Term Growth,Weak Reinforcement Systems,Consistency Coaching,Sustainable Career Growth,DISCIPLINE_HABITS,18,24
CONCERN_DIS_54,Career Readiness,Weak Confidence in Networking Events and Career Fairs,Medium,Medium,Rising,Medium,P2,Hesitation in approaching recruiters,Campus Student,Professional Networking,Career Networking Anxiety,Social Intelligence,Interaction Avoidance,Opportunity Readiness,Low Professional Exposure,Networking Coaching,Career Interaction,CAREER_READINESS,18,24
CONCERN_CAR_55,Adjustment & Coping Capacity,Difficulty Transitioning from Campus Culture to Corporate Culture,High,High,Rising,High,P1,Professional behavior adaptation gaps,Campus Student,Workplace Transition,Corporate Adaptation Difficulty,Adaptive Intelligence,Workplace Adjustment Stress,Professional Readiness,Lack of Corporate Exposure,Transition Coaching,Corporate Adaptability,ADJUSTMENT_COPING,20,24
CONCERN_ADJ_56,Thinking Quality Under Pressure,Weak Workplace Problem Prioritization Skills,High,Medium,Rising,High,P1,Difficulty prioritizing tasks professionally,Campus Student,Professional Execution,Workplace Prioritization Weakness,Strategic Intelligence,Task Confusion Signals,Decision Efficiency,Limited Professional Experience,Strategic Coaching,Workplace Productivity,THINKING_QUALITY,18,24
CONCERN_THI_57,Lifestyle & Pressure Environment,Difficulty Managing Academic Pressure with Placement Preparation,High,Critical,Rising,Critical,P1,Final-year overload,Campus Student,Performance Balance,Academic-Placement Imbalance,Systems Intelligence,Burnout Indicators,Stress Stability,Competing Priorities,Balance Coaching,Sustainable Performance,LIFESTYLE_PRESSURE,20,24
CONCERN_LIF_58,"Confidence, Self-Concept & Comparison",Weak Self-Confidence in Competitive Placement Environments,Very High,Critical,Rising,High,P1,Comparing placement packages,Campus Student,Competitive Confidence,Placement Comparison Anxiety,Emotional Intelligence,Inferiority & Self-Doubt,Emotional Stability,Competitive Ecosystem Pressure,Confidence Coaching,Placement Readiness,CONFIDENCE_SELF,20,24
CONCERN_CON_59,Career Readiness,Difficulty Building Entrepreneurial Confidence,Medium,Medium,Rising,Medium,P2,Fear of startup uncertainty,Campus Student,Entrepreneurial Development,Entrepreneurial Confidence Weakness,Emotional Intelligence,Risk Avoidance Signals,Innovation Readiness,Fear of Failure,Entrepreneurship Coaching,Startup Readiness,CAREER_READINESS,18,24
CONCERN_CAR_60,Employability,Weak Ability to Translate Academic Knowledge into Workplace Value,Very High,High,Rising,High,P1,Difficulty explaining practical relevance of learning,Campus Student,Applied Learning,Knowledge-to-Workplace Translation Deficit,Applied Intelligence,Application Gaps,Professional Competency,Theory-Oriented Education,Applied Coaching,Workplace Relevance,EMPLOYABILITY,18,24
CONCERN_EMP_61,"Discipline, Habits & Consistency",Difficulty Building Consistent Professional Learning Habits,High,Medium,Rising,Medium,P2,Irregular upskilling efforts,Campus Student,Professional Growth,Professional Learning Inconsistency,Habit Intelligence,Skill Development Gaps,Long-Term Employability,Weak Reinforcement Systems,Consistency Coaching,Continuous Learning,DISCIPLINE_HABITS,18,24
CONCERN_DIS_62,Examination Stress & Emotional Regulation,Weak Emotional Stability During Competitive Coding Rounds,High,High,Rising,High,P1,Coding assessment anxiety,Campus Student,Technical Placement,Coding Round Anxiety,Emotional Intelligence,Panic & Freeze Responses,Technical Performance,Fear of Failure,Stress Coaching,Technical Composure,EXAMINATION_STRESS,18,24
CONCERN_EXA_63,Collaboration & Ownership,Difficulty Building Practical Team Collaboration in Projects,Medium,Medium,Rising,Medium,P2,Unequal participation in project teams,Campus Student,Collaborative Execution,Team Collaboration Weakness,Social Intelligence,Coordination Conflicts,Team Participation,Weak Collaboration Skills,Collaboration Coaching,Team Effectiveness,COLLABORATION_OWNERSHIP,18,24
CONCERN_COL_64,Communication & Expression,Weak Confidence in Public Speaking During Campus Events,Medium,Medium,Rising,Medium,P2,Seminar and event hesitation,Campus Student,Presentation Confidence,Public Speaking Anxiety,Emotional Intelligence,Verbal Hesitation,Stage Communication,Fear of Judgement,Public Speaking Coaching,Presentation Skills,COMMUNICATION_EXPRESSION,17,24
CONCERN_COM_65,Examination Stress & Emotional Regulation,Difficulty Managing Long-Term Career Anxiety,High,Critical,Rising,Critical,P1,Fear of unstable future,Campus Student,Career Stability,Long-Term Career Anxiety,Emotional Intelligence,Chronic Stress Signals,Emotional Stability,Economic & Social Pressure,Emotional Coaching,Career Resilience,EXAMINATION_STRESS,18,24
CONCERN_EXA_66,Communication & Expression,Weak Professional Writing Skills,High,Medium,Rising,Medium,P2,Poor email/report writing,Campus Student,Professional Communication,Workplace Writing Weakness,Linguistic Intelligence,Unstructured Communication,Professional Expression,Limited Professional Exposure,Writing Coaching,Workplace Communication,COMMUNICATION_EXPRESSION,18,24
CONCERN_COM_67,Career Readiness,Difficulty Prioritizing Career Goals Effectively,High,Medium,Rising,Medium,P2,Too many conflicting career paths,Campus Student,Career Planning,Career Prioritization Weakness,Strategic Intelligence,Decision Confusion,Goal Alignment,Lack of Career Clarity,Career Coaching,Strategic Planning,CAREER_READINESS,18,24
CONCERN_CAR_68,Employability,Weak Confidence in Aptitude Test Performance,High,High,Rising,High,P1,Placement aptitude fear,Campus Student,Placement Readiness,Aptitude Test Anxiety,Emotional Intelligence,Panic During Assessments,Cognitive Stability,Competitive Pressure,Aptitude Coaching,Placement Preparedness,EMPLOYABILITY,18,24
CONCERN_EMP_69,"Discipline, Habits & Consistency",Difficulty Building Consistent Coding Discipline,High,Medium,Rising,High,P1,Irregular technical practice,Campus Student,Technical Skill Building,Coding Consistency Weakness,Habit Intelligence,Interrupted Skill Growth,Technical Competency,Weak Reinforcement Habits,Coding Discipline Coaching,Technical Growth,DISCIPLINE_HABITS,18,24
CONCERN_DIS_70,Career Readiness,Weak Adaptability to Rapidly Changing Industry Trends,High,High,Rising,High,P1,AI and automation disruption anxiety,Campus Student,Industry Awareness,Industry Change Adaptability Weakness,Adaptive Intelligence,Future Readiness Gaps,Career Stability,Low Trend Awareness,Industry Adaptation Coaching,Future Readiness,CAREER_READINESS,18,24
CONCERN_CAR_71,"Confidence, Self-Concept & Comparison",Difficulty Building Emotional Independence from Peer Success,High,High,Rising,High,P1,Social media and placement comparisons,Campus Student,Emotional Stability,Peer Success Comparison Anxiety,Emotional Intelligence,Inferiority & Withdrawal Signals,Confidence Stability,External Validation Dependency,Confidence Coaching,Emotional Independence,CONFIDENCE_SELF,18,24
CONCERN_CON_72,Thinking Quality Under Pressure,Weak Decision-Making Under Career Pressure,High,High,Rising,High,P1,Confused placement or higher-study decisions,Campus Student,Career Decision-Making,Career Decision Instability,Strategic Intelligence,Indecisiveness Signals,Professional Readiness,Fear-Based Thinking,Decision Coaching,Strategic Judgment,THINKING_QUALITY,18,24
CONCERN_THI_73,Academic & Cognitive Effectiveness,Difficulty Maintaining Focus During Long Placement Preparation Cycles,High,High,Rising,High,P1,Extended preparation fatigue,Campus Student,Placement Preparation,Placement Attention Fatigue,Cognitive Intelligence,Focus Drift Signals,Sustained Preparation,Burnout & Cognitive Exhaustion,Focus Coaching,Sustained Attention,ACADEMIC_COGNITIVE,20,24
CONCERN_ACA_74,Examination Stress & Emotional Regulation,Weak Emotional Recovery After Academic Setbacks in College,Medium-High,High,Rising,High,P1,Semester failure stress,Campus Student,Recovery Intelligence,Academic Recovery Weakness,Emotional Intelligence,Emotional Withdrawal,Recovery Stability,Fear of Failure,Recovery Coaching,Academic Resilience,EXAMINATION_STRESS,17,24
CONCERN_EXA_75,"Confidence, Self-Concept & Comparison",Difficulty Building Professional Confidence Without Validation,Medium,Medium,Rising,Medium,P2,Dependence on external appreciation,Campus Student,Self Confidence,External Validation Dependency,Emotional Intelligence,Self-Doubt Signals,Confidence Stability,Conditional Self-Worth,Confidence Coaching,Internal Confidence,CONFIDENCE_SELF,18,24
CONCERN_CON_76,Career Readiness,Weak Real-World Exposure Before Placements,High,High,Rising,High,P1,Limited internships/projects,Campus Student,Industry Exposure,Real-World Exposure Deficit,Applied Intelligence,Practical Awareness Gaps,Employability Readiness,Theory-Oriented Learning,Exposure Coaching,Industry Preparedness,CAREER_READINESS,18,24
CONCERN_CAR_77,Career Readiness,Difficulty Building Structured Career Preparation Plans,High,Medium,Rising,Medium,P2,Randomized placement preparation,Campus Student,Career Planning,Career Preparation Structure Weakness,Strategic Intelligence,Unorganized Career Effort,Goal Coordination,Lack of Strategic Planning,Career Planning Coaching,Structured Preparation,CAREER_READINESS,18,24
CONCERN_CAR_78,Communication & Expression,Weak Emotional Control During Interviews,High,High,Rising,High,P1,Nervousness affecting communication,Campus Student,Placement Readiness,Interview Emotional Dysregulation,Emotional Intelligence,Panic & Hesitation Signals,Interview Stability,Fear of Judgement,Interview Coaching,Professional Composure,COMMUNICATION_EXPRESSION,20,24
CONCERN_COM_79,"Confidence, Self-Concept & Comparison",Difficulty Handling Competition in High-Performing Peer Groups,High,High,Rising,High,P1,Elite college comparison culture,Campus Student,Competitive Adaptability,Competitive Pressure Instability,Emotional Intelligence,Comparison Stress Signals,Emotional Stability,Hypercompetitive Environment,Emotional Coaching,Healthy Competition,CONFIDENCE_SELF,18,24
CONCERN_CON_80,Academic Identity & Meaning,Weak Long-Term Professional Identity Formation,High,High,Rising,High,P1,Unclear professional self-concept,Campus Student,Identity Development,Professional Identity Ambiguity,Identity Intelligence,Career Direction Uncertainty,Future Alignment,Lack of Career Exploration,Identity Coaching,Professional Self-Identity,ACADEMIC_IDENTITY,18,24
CONCERN_ACA_81,Career Readiness,Difficulty Building Confidence for Higher Studies Abroad,High,High,Rising,High,P1,Fear of global competition,Campus Student,Global Career Readiness,International Education Anxiety,Emotional Intelligence,Self-Doubt Signals,Global Readiness,Limited International Exposure,Global Readiness Coaching,International Adaptability,CAREER_READINESS,18,24
