capability_concern_id,capability_name,problem_concern_id,problem_name,confidence_score,mapping_reason
CONCERN_ACA_1232,Build Institutional Reflective Teaching Practices,CONCERN_ACA_1232,Reflective Teaching Weakness,0.9,"display_label is a capability (""Build Institutional Reflective Teaching Practices"") whose concern_category is a deficit-state (""Reflective Teaching Weakness""); topical overlap 0.67"
CONCERN_ACA_1262,Visibility Into Real Classroom Learning Effectiveness,CONCERN_ACA_1262,Learning Effectiveness Blindness,0.85,"display_label is a capability (""Visibility into Real Classroom Learning Effectiveness"") whose concern_category is a deficit-state (""Learning Effectiveness Blindness""); topical overlap 0.50"
CONCERN_ACA_1264,Measure Classroom Engagement Quality,CONCERN_ACA_1264,Engagement Quality Blindness,0.9,"display_label is a capability (""Measure Classroom Engagement Quality"") whose concern_category is a deficit-state (""Engagement Quality Blindness""); topical overlap 0.67"
CONCERN_ACA_1275,Balancing Academic Rigor With Learning Absorption,CONCERN_ACA_1275,Rigor-Absorption Imbalance,0.82,"display_label is a capability (""Balancing Academic Rigor with Learning Absorption"") whose concern_category is a deficit-state (""Rigor-Absorption Imbalance""); topical overlap 0.40"
CONCERN_ACA_1282,Visibility Into Classroom-Level Learning Outcomes,CONCERN_ACA_1282,Classroom Outcome Blindness,0.75,"display_label is a capability (""Visibility into Classroom-Level Learning Outcomes"") whose concern_category is a deficit-state (""Classroom Outcome Blindness""); topical overlap 0.17"
CONCERN_ACA_1294,Monitor Student Confidence And Self-Worth Trends,CONCERN_ACA_1294,Confidence Tracking Weakness,0.76,"display_label is a capability (""Monitor Student Confidence and Self-Worth Trends"") whose concern_category is a deficit-state (""Confidence Tracking Weakness""); topical overlap 0.20"
CONCERN_ACA_1310,Visibility Into Student Communication Confidence Levels,CONCERN_ACA_1310,Communication Confidence Blindness,0.85,"display_label is a capability (""Visibility into Student Communication Confidence Levels"") whose concern_category is a deficit-state (""Communication Confidence Blindness""); topical overlap 0.50"
CONCERN_ACA_1351,Conceptual Clarity in STEM Subjects,CONCERN_ACA_1351,Conceptual Weakness,0.775,"display_label is a capability (""conceptual clarity in STEM subjects"") whose concern_category is a deficit-state (""Conceptual Weakness""); topical overlap 0.25"
CONCERN_ACA_1377,Career Clarity After Class 10/12,CONCERN_ACA_1377,Career Ambiguity,0.75,"display_label is a capability (""career clarity after Class 10/12"") whose concern_category is a deficit-state (""Career Ambiguity""); topical overlap 0.17"
CONCERN_ACA_1581,Prioritize Among Multiple Interests,CONCERN_ACA_1581,Multi-Interest Conflict,0.7,"display_label is a capability (""prioritize among multiple interests"") whose concern_category is a deficit-state (""Multi-Interest Conflict""); topical overlap 0.00"
CONCERN_ACA_16,Interview Preparation Discipline,CONCERN_ACA_16,Interview Discipline Weakness,0.9,"display_label is a capability (""Interview Preparation Discipline"") whose concern_category is a deficit-state (""Interview Discipline Weakness""); topical overlap 0.67"
CONCERN_ACA_1650,Problem-Solving Skills,CONCERN_ACA_1650,Analytical Ability,0.7,"display_label is a capability (""Problem-Solving Skills"") whose concern_category is a deficit-state (""Analytical Ability""); topical overlap 0.00"
CONCERN_ACA_1721,Interpretation Skills,CONCERN_ACA_1721,Interpretation Ability,0.97,"display_label is a capability (""Interpretation Skills"") whose concern_category is a deficit-state (""Interpretation Ability""); topical overlap 1.00"
CONCERN_ACA_1727,Solving Word Problems,CONCERN_ACA_1727,Word Problem Solving,0.8,"display_label is a capability (""Solving Word Problems"") whose concern_category is a deficit-state (""Word Problem Solving""); topical overlap 0.33"
CONCERN_ACA_175,Building Confidence in Personal Preparation Style,CONCERN_ACA_175,Preparation Style Insecurity,0.82,"display_label is a capability (""Building Confidence in Personal Preparation Style"") whose concern_category is a deficit-state (""Preparation Style Insecurity""); topical overlap 0.40"
CONCERN_ACA_1768,Problem-Solving Skills,CONCERN_ACA_1768,Problem Solving Deficit,0.97,"display_label is a capability (""Problem-Solving Skills"") whose concern_category is a deficit-state (""Problem Solving Deficit""); topical overlap 1.00"
CONCERN_ACA_1836,Financial Awareness,CONCERN_ACA_1836,Financial Illiteracy,0.8,"display_label is a capability (""Financial Awareness"") whose concern_category is a deficit-state (""Financial Illiteracy""); topical overlap 0.33"
CONCERN_ACA_191,Confidence During Slow Progress,CONCERN_ACA_191,Slow Progress Anxiety,0.85,"display_label is a capability (""Confidence During Slow Progress"") whose concern_category is a deficit-state (""Slow Progress Anxiety""); topical overlap 0.50"
CONCERN_ACA_1932,Conceptual Understanding,CONCERN_ACA_1932,Conceptual Weakness,0.85,"display_label is a capability (""Conceptual Understanding"") whose concern_category is a deficit-state (""Conceptual Weakness""); topical overlap 0.50"
CONCERN_ACA_1939,Communication Skills,CONCERN_ACA_1939,Communication Weakness,0.97,"display_label is a capability (""Communication Skills"") whose concern_category is a deficit-state (""Communication Weakness""); topical overlap 1.00"
CONCERN_ACA_1951,Logical Thinking,CONCERN_ACA_1951,Logical Reasoning Deficit,0.8,"display_label is a capability (""Logical Thinking"") whose concern_category is a deficit-state (""Logical Reasoning Deficit""); topical overlap 0.33"
CONCERN_ACA_1953,Writing Skills,CONCERN_ACA_1953,Writing Deficit,0.97,"display_label is a capability (""Writing Skills"") whose concern_category is a deficit-state (""Writing Deficit""); topical overlap 1.00"
CONCERN_ACA_1959,Independent Thinking,CONCERN_ACA_1959,Independent Thinking Deficit,0.97,"display_label is a capability (""Independent Thinking"") whose concern_category is a deficit-state (""Independent Thinking Deficit""); topical overlap 1.00"
CONCERN_ACA_1973,Note-Making Skills,CONCERN_ACA_1973,Note Structuring Weakness,0.8,"display_label is a capability (""Note-Making Skills"") whose concern_category is a deficit-state (""Note Structuring Weakness""); topical overlap 0.33"
CONCERN_ACA_1989,Subject Prioritization Skills,CONCERN_ACA_1989,Subject Prioritization Deficit,0.97,"display_label is a capability (""Subject Prioritization Skills"") whose concern_category is a deficit-state (""Subject Prioritization Deficit""); topical overlap 1.00"
CONCERN_ACA_1995,Organizing Study Materials,CONCERN_ACA_1995,Material Organization Deficit,0.7,"display_label is a capability (""Organizing Study Materials"") whose concern_category is a deficit-state (""Material Organization Deficit""); topical overlap 0.00"
CONCERN_ACA_2006,Applying Classroom Learning in Tests,CONCERN_ACA_2006,Knowledge Transfer Difficulty,0.7,"display_label is a capability (""Applying Classroom Learning in Tests"") whose concern_category is a deficit-state (""Knowledge Transfer Difficulty""); topical overlap 0.00"
CONCERN_ACA_2016,Comparative Analysis Skills,CONCERN_ACA_2016,Comparative Reasoning Deficit,0.8,"display_label is a capability (""Comparative Analysis Skills"") whose concern_category is a deficit-state (""Comparative Reasoning Deficit""); topical overlap 0.33"
CONCERN_ACA_203,Understanding Personal Strengths For Career Choice,CONCERN_ACA_203,Strength Awareness Deficit,0.7,"display_label is a capability (""Understanding Personal Strengths for Career Choice"") whose concern_category is a deficit-state (""Strength Awareness Deficit""); topical overlap 0.00"
CONCERN_ACA_2062,Self-Evaluation Skills,CONCERN_ACA_2062,Self-Assessment Weakness,0.8,"display_label is a capability (""Self-Evaluation Skills"") whose concern_category is a deficit-state (""Self-Assessment Weakness""); topical overlap 0.33"
CONCERN_ACA_2067,Understanding Examination Patterns,CONCERN_ACA_2067,Exam Pattern Awareness Deficit,0.7,"display_label is a capability (""Understanding Examination Patterns"") whose concern_category is a deficit-state (""Exam Pattern Awareness Deficit""); topical overlap 0.00"
CONCERN_ACA_207,Balancing Passion And Practicality in Career Choices,CONCERN_ACA_207,Passion-Practicality Conflict,0.82,"display_label is a capability (""Balancing Passion and Practicality in Career Choices"") whose concern_category is a deficit-state (""Passion-Practicality Conflict""); topical overlap 0.40"
CONCERN_ACA_2122,Supporting Students With Weak Problem-Solving Skills,CONCERN_ACA_2122,Problem-Solving Support Deficit,0.8,"display_label is a capability (""Supporting Students with Weak Problem-Solving Skills"") whose concern_category is a deficit-state (""Problem-Solving Support Deficit""); topical overlap 0.33"
CONCERN_ACA_2160,Building Inquiry-Based Learning Culture,CONCERN_ACA_2160,Inquiry Culture Weakness,0.85,"display_label is a capability (""Building Inquiry-Based Learning Culture"") whose concern_category is a deficit-state (""Inquiry Culture Weakness""); topical overlap 0.50"
CONCERN_ACA_2185,Supporting Students With Weak Sequential Thinking,CONCERN_ACA_2185,Sequential Thinking Weakness,0.9,"display_label is a capability (""Supporting Students with Weak Sequential Thinking"") whose concern_category is a deficit-state (""Sequential Thinking Weakness""); topical overlap 0.67"
CONCERN_ACA_2192,Supporting Students With Weak Logical Reasoning,CONCERN_ACA_2192,Logical Reasoning Deficit,0.9,"display_label is a capability (""Supporting Students with Weak Logical Reasoning"") whose concern_category is a deficit-state (""Logical Reasoning Deficit""); topical overlap 0.67"
CONCERN_ACA_2202,Handling Students With Weak Real-World Application Skills,CONCERN_ACA_2202,Real-World Application Deficit,0.97,"display_label is a capability (""Handling Students with Weak Real-World Application Skills"") whose concern_category is a deficit-state (""Real-World Application Deficit""); topical overlap 1.00"
CONCERN_ACA_2240,Handling Students With Weak Subject Prioritization During Exams,CONCERN_ACA_2240,Subject Prioritization Weakness,0.9,"display_label is a capability (""Handling Students with Weak Subject Prioritization During Exams"") whose concern_category is a deficit-state (""Subject Prioritization Weakness""); topical overlap 0.67"
CONCERN_ACA_2246,Handling Students With Weak Learning Confidence in New Topics,CONCERN_ACA_2246,New Topic Anxiety,0.7,"display_label is a capability (""Handling Students with Weak Learning Confidence in New Topics"") whose concern_category is a deficit-state (""New Topic Anxiety""); topical overlap 0.00"
CONCERN_ACA_2271,Supporting Students With Weak Error Analysis Skills,CONCERN_ACA_2271,Error Analysis Deficit,0.9,"display_label is a capability (""Supporting Students with Weak Error Analysis Skills"") whose concern_category is a deficit-state (""Error Analysis Deficit""); topical overlap 0.67"
CONCERN_ACA_2293,Students With Weak Peer Interaction Skills,CONCERN_ACA_2293,Peer Interaction Weakness,0.97,"display_label is a capability (""Students with Weak Peer Interaction Skills"") whose concern_category is a deficit-state (""Peer Interaction Weakness""); topical overlap 1.00"
CONCERN_ACA_2298,Supporting Students With Weak Academic Communication in Group Activities,CONCERN_ACA_2298,Group Communication Weakness,0.82,"display_label is a capability (""Supporting Students with Weak Academic Communication in Group Activities"") whose concern_category is a deficit-state (""Group Communication Weakness""); topical overlap 0.40"
CONCERN_ACA_2311,Adapting to Academic Changes,CONCERN_ACA_2311,Academic Transition Difficulty,0.8,"display_label is a capability (""Adapting to Academic Changes"") whose concern_category is a deficit-state (""Academic Transition Difficulty""); topical overlap 0.33"
CONCERN_ACA_2338,Conceptual Understanding Despite Repeated Teaching,CONCERN_ACA_2338,Conceptual Understanding Deficit,0.82,"display_label is a capability (""Conceptual Understanding Despite Repeated Teaching"") whose concern_category is a deficit-state (""Conceptual Understanding Deficit""); topical overlap 0.40"
CONCERN_ACA_2343,Adapting Students to Competency-Based Learning,CONCERN_ACA_2343,Competency Adaptation Difficulty,0.775,"display_label is a capability (""Adapting Students to Competency-Based Learning"") whose concern_category is a deficit-state (""Competency Adaptation Difficulty""); topical overlap 0.25"
CONCERN_ACA_2425,Building Self-Driven Career Exploration,CONCERN_ACA_2425,Career Exploration Weakness,0.85,"display_label is a capability (""Building Self-Driven Career Exploration"") whose concern_category is a deficit-state (""Career Exploration Weakness""); topical overlap 0.50"
CONCERN_ACA_2430,Balancing Passion And Practical Career Choices,CONCERN_ACA_2430,Passion-Practicality Conflict,0.75,"display_label is a capability (""Balancing Passion and Practical Career Choices"") whose concern_category is a deficit-state (""Passion-Practicality Conflict""); topical overlap 0.17"
CONCERN_ACA_2435,Developing Meaningful Academic Aspirations,CONCERN_ACA_2435,Aspirational Clarity Weakness,0.7,"display_label is a capability (""Developing Meaningful Academic Aspirations"") whose concern_category is a deficit-state (""Aspirational Clarity Weakness""); topical overlap 0.00"
CONCERN_ACA_2439,Decision-Making Confidence During Career Planning,CONCERN_ACA_2439,Career Decision Anxiety,0.82,"display_label is a capability (""Decision-Making Confidence During Career Planning"") whose concern_category is a deficit-state (""Career Decision Anxiety""); topical overlap 0.40"
CONCERN_ACA_2446,Clarity About Personal Learning Preferences,CONCERN_ACA_2446,Learning Preference Ambiguity,0.75,"display_label is a capability (""Clarity About Personal Learning Preferences"") whose concern_category is a deficit-state (""Learning Preference Ambiguity""); topical overlap 0.17"
CONCERN_ACA_2450,Build Purpose-Oriented Academic Plans,CONCERN_ACA_2450,Purpose-Oriented Planning Weakness,0.85,"display_label is a capability (""Build Purpose-Oriented Academic Plans"") whose concern_category is a deficit-state (""Purpose-Oriented Planning Weakness""); topical overlap 0.50"
CONCERN_ACA_2452,Managing Students With Weak Confidence in Class Discussions,CONCERN_ACA_2452,Discussion Confidence Weakness,0.775,"display_label is a capability (""Managing Students with Weak Confidence in Class Discussions"") whose concern_category is a deficit-state (""Discussion Confidence Weakness""); topical overlap 0.25"
CONCERN_ACA_2454,Supporting Students With Weak Academic Organization During Exams,CONCERN_ACA_2454,Academic Organization Weakness,0.85,"display_label is a capability (""Supporting Students with Weak Academic Organization During Exams"") whose concern_category is a deficit-state (""Academic Organization Weakness""); topical overlap 0.50"
CONCERN_ACA_2461,Students With Weak Academic Confidence After Comparisons,CONCERN_ACA_2461,Comparison-Induced Confidence Weakness,0.76,"display_label is a capability (""Students with Weak Academic Confidence After Comparisons"") whose concern_category is a deficit-state (""Comparison-Induced Confidence Weakness""); topical overlap 0.20"
CONCERN_ACA_2469,Sequential Thinking Skills,CONCERN_ACA_2469,Sequential Thinking Weakness,0.97,"display_label is a capability (""Sequential Thinking Skills"") whose concern_category is a deficit-state (""Sequential Thinking Weakness""); topical overlap 1.00"
CONCERN_ACA_2477,Subject Prioritization Skills,CONCERN_ACA_2477,Subject Prioritization Weakness,0.97,"display_label is a capability (""Subject Prioritization Skills"") whose concern_category is a deficit-state (""Subject Prioritization Weakness""); topical overlap 1.00"
CONCERN_ACA_2483,Organizing Study Materials,CONCERN_ACA_2483,Study Material Organization Weakness,0.775,"display_label is a capability (""Organizing Study Materials"") whose concern_category is a deficit-state (""Study Material Organization Weakness""); topical overlap 0.25"
CONCERN_ACA_269,Building Structured Learning Plans,CONCERN_ACA_269,Learning Structure Weakness,0.775,"display_label is a capability (""Building Structured Learning Plans"") whose concern_category is a deficit-state (""Learning Structure Weakness""); topical overlap 0.25"
CONCERN_ACA_278,Publicly Demonstrating Skills,CONCERN_ACA_278,Skill Demonstration Anxiety,0.7,"display_label is a capability (""Publicly Demonstrating Skills"") whose concern_category is a deficit-state (""Skill Demonstration Anxiety""); topical overlap 0.00"
CONCERN_ACA_280,Long-Term Commitment to Competency Mastery,CONCERN_ACA_280,Competency Commitment Instability,0.85,"display_label is a capability (""Long-Term Commitment to Competency Mastery"") whose concern_category is a deficit-state (""Competency Commitment Instability""); topical overlap 0.50"
CONCERN_ACA_284,Connect Skills With Career Goals,CONCERN_ACA_284,Skill-Career Disconnect,0.775,"display_label is a capability (""Connect Skills with Career Goals"") whose concern_category is a deficit-state (""Skill-Career Disconnect""); topical overlap 0.25"
CONCERN_ACA_315,Applying Time Management to Skill Acceleration,CONCERN_ACA_315,Skill Time Allocation Weakness,0.775,"display_label is a capability (""Applying Time Management to Skill Acceleration"") whose concern_category is a deficit-state (""Skill Time Allocation Weakness""); topical overlap 0.25"
CONCERN_ACA_326,Balance Depth And Breadth in Learning,CONCERN_ACA_326,Depth-Breadth Imbalance,0.85,"display_label is a capability (""Balance Depth and Breadth in Learning"") whose concern_category is a deficit-state (""Depth-Breadth Imbalance""); topical overlap 0.50"
CONCERN_ACA_340,Build Competency Through Reflection And Iteration,CONCERN_ACA_340,Iterative Learning Weakness,0.7,"display_label is a capability (""Build Competency Through Reflection and Iteration"") whose concern_category is a deficit-state (""Iterative Learning Weakness""); topical overlap 0.00"
CONCERN_ACA_347,Building Confidence Across Multiple Competency Areas,CONCERN_ACA_347,Cross-Competency Confidence Imbalance,0.8,"display_label is a capability (""Building Confidence Across Multiple Competency Areas"") whose concern_category is a deficit-state (""Cross-Competency Confidence Imbalance""); topical overlap 0.33"
CONCERN_ACA_354,Build Practical Competence Independently,CONCERN_ACA_354,Independent Competency Weakness,0.7,"display_label is a capability (""Build Practical Competence Independently"") whose concern_category is a deficit-state (""Independent Competency Weakness""); topical overlap 0.00"
CONCERN_ACA_357,Translating Skill Growth Into Career Opportunities,CONCERN_ACA_357,Skill-to-Opportunity Disconnect,0.7,"display_label is a capability (""Translating Skill Growth into Career Opportunities"") whose concern_category is a deficit-state (""Skill-to-Opportunity Disconnect""); topical overlap 0.00"
CONCERN_ACA_406,Handle Multiple Interview Processes Simultaneously,CONCERN_ACA_406,Multi-Interview Overload,0.775,"display_label is a capability (""Handle Multiple Interview Processes Simultaneously"") whose concern_category is a deficit-state (""Multi-Interview Overload""); topical overlap 0.25"
CONCERN_ACA_490,Leadership Interviews,CONCERN_ACA_490,Leadership Interview Anxiety,0.775,"display_label is a capability (""Leadership Interviews"") whose concern_category is a deficit-state (""Leadership Interview Anxiety""); topical overlap 0.25"
CONCERN_ACA_540,Communicate Strategic Career Intentions,CONCERN_ACA_540,Career Intent Clarity Weakness,0.76,"display_label is a capability (""Communicate Strategic Career Intentions"") whose concern_category is a deficit-state (""Career Intent Clarity Weakness""); topical overlap 0.20"
CONCERN_ACA_603,Building Influence Across Senior Stakeholders,CONCERN_ACA_603,Stakeholder Influence Weakness,0.775,"display_label is a capability (""Building Influence Across Senior Stakeholders"") whose concern_category is a deficit-state (""Stakeholder Influence Weakness""); topical overlap 0.25"
CONCERN_ACA_652,Transitioning Into Strategic Leadership Roles,CONCERN_ACA_652,Strategic Leadership Anxiety,0.82,"display_label is a capability (""Transitioning Into Strategic Leadership Roles"") whose concern_category is a deficit-state (""Strategic Leadership Anxiety""); topical overlap 0.40"
CONCERN_ACA_718,Leading Small Responsibilities,CONCERN_ACA_718,Small-Scale Leadership Anxiety,0.76,"display_label is a capability (""Leading Small Responsibilities"") whose concern_category is a deficit-state (""Small-Scale Leadership Anxiety""); topical overlap 0.20"
CONCERN_ACA_730,Build Strategic Workplace Relationships,CONCERN_ACA_730,Strategic Relationship Weakness,0.775,"display_label is a capability (""Build Strategic Workplace Relationships"") whose concern_category is a deficit-state (""Strategic Relationship Weakness""); topical overlap 0.25"
CONCERN_ACA_788,Managing Senior Leadership Visibility,CONCERN_ACA_788,Leadership Visibility Anxiety,0.85,"display_label is a capability (""Managing Senior Leadership Visibility"") whose concern_category is a deficit-state (""Leadership Visibility Anxiety""); topical overlap 0.50"
CONCERN_ACA_81,Building Confidence For Higher Studies Abroad,CONCERN_ACA_81,International Education Anxiety,0.7,"display_label is a capability (""Building Confidence for Higher Studies Abroad"") whose concern_category is a deficit-state (""International Education Anxiety""); topical overlap 0.00"
CONCERN_ACA_855,Leadership Loneliness During High Responsibility Phases,CONCERN_ACA_855,Leadership Loneliness Stress,0.8,"display_label is a capability (""Leadership Loneliness During High Responsibility Phases"") whose concern_category is a deficit-state (""Leadership Loneliness Stress""); topical overlap 0.33"
CONCERN_ACA_876,Develop Strategic Talent Pipelines,CONCERN_ACA_876,Strategic Talent Development Weakness,0.85,"display_label is a capability (""Develop Strategic Talent Pipelines"") whose concern_category is a deficit-state (""Strategic Talent Development Weakness""); topical overlap 0.50"
CONCERN_ACA_934,Leading Through Technological Disruption,CONCERN_ACA_934,Technology Disruption Anxiety,0.775,"display_label is a capability (""Leading Through Technological Disruption"") whose concern_category is a deficit-state (""Technology Disruption Anxiety""); topical overlap 0.25"
CONCERN_ACA_953,Balancing Enterprise Expansion With Leadership Stability,CONCERN_ACA_953,Expansion-Stability Conflict,0.82,"display_label is a capability (""Balancing Enterprise Expansion with Leadership Stability"") whose concern_category is a deficit-state (""Expansion-Stability Conflict""); topical overlap 0.40"
CONCERN_ACC_1639,Reflection on Communication And Relationships,CONCERN_ACC_1639,Social Awareness Gap,0.7,"display_label is a capability (""reflection on communication and relationships"") whose concern_category is a deficit-state (""Social Awareness Gap""); topical overlap 0.00"
CONCERN_ADA_1274,Visibility Into Student Attention Stability During Classes,CONCERN_ADA_1274,Classroom Attention Blindness,0.76,"display_label is a capability (""Visibility into Student Attention Stability During Classes"") whose concern_category is a deficit-state (""Classroom Attention Blindness""); topical overlap 0.20"
CONCERN_ADA_1339,Placement Preparation Effectiveness Institutionally,CONCERN_ADA_1339,Placement Preparation Blindness,0.9,"display_label is a capability (""Placement Preparation Effectiveness Institutionally"") whose concern_category is a deficit-state (""Placement Preparation Blindness""); topical overlap 0.67"
CONCERN_ADA_1420,Balance Academics And Personal Life,CONCERN_ADA_1420,Balance Deficit,0.7,"display_label is a capability (""balance academics and personal life"") whose concern_category is a deficit-state (""Balance Deficit""); topical overlap 0.00"
CONCERN_ADA_1444,Persistence in Difficult Subjects,CONCERN_ADA_1444,Persistence Weakness,0.8,"display_label is a capability (""persistence in difficult subjects"") whose concern_category is a deficit-state (""Persistence Weakness""); topical overlap 0.33"
CONCERN_ADA_1479,Students Lacking Ownership And Accountability,CONCERN_ADA_1479,Accountability Deficit,0.85,"display_label is a capability (""Students lacking ownership and accountability"") whose concern_category is a deficit-state (""Accountability Deficit""); topical overlap 0.50"
CONCERN_ADA_1519,Identifying Motivational Drivers,CONCERN_ADA_1519,Motivation Blindness,0.7,"display_label is a capability (""identifying motivational drivers"") whose concern_category is a deficit-state (""Motivation Blindness""); topical overlap 0.00"
CONCERN_ADA_351,Building Competency Confidence Without Comparisons,CONCERN_ADA_351,Comparison-Based Competency Anxiety,0.7429,"display_label is a capability (""Building Competency Confidence Without Comparisons"") whose concern_category is a deficit-state (""Comparison-Based Competency Anxiety""); topical overlap 0.14"
CONCERN_ADJ_1689,Concept Application Skills,CONCERN_ADJ_1689,Concept Application,0.97,"display_label is a capability (""Concept Application Skills"") whose concern_category is a deficit-state (""Concept Application""); topical overlap 1.00"
CONCERN_ADJ_1749,Discipline,CONCERN_ADJ_1749,Discipline Instability,0.85,"display_label is a capability (""Discipline"") whose concern_category is a deficit-state (""Discipline Instability""); topical overlap 0.50"
CONCERN_ADJ_1991,Learning Persistence,CONCERN_ADJ_1991,Persistence Weakness,0.85,"display_label is a capability (""Learning Persistence"") whose concern_category is a deficit-state (""Persistence Weakness""); topical overlap 0.50"
CONCERN_ADJ_2114,Adaptation to Competency-Based Education,CONCERN_ADJ_2114,Competency Adaptation Deficit,0.85,"display_label is a capability (""Adaptation to Competency-Based Education"") whose concern_category is a deficit-state (""Competency Adaptation Deficit""); topical overlap 0.50"
CONCERN_ADJ_2216,Supporting Students With Weak Subject Integration Skills,CONCERN_ADJ_2216,Subject Integration Weakness,0.9,"display_label is a capability (""Supporting Students with Weak Subject Integration Skills"") whose concern_category is a deficit-state (""Subject Integration Weakness""); topical overlap 0.67"
CONCERN_ADJ_2222,Handling Students With Weak Learning Ownership,CONCERN_ADJ_2222,Learning Ownership Deficit,0.97,"display_label is a capability (""Handling Students with Weak Learning Ownership"") whose concern_category is a deficit-state (""Learning Ownership Deficit""); topical overlap 1.00"
CONCERN_ADJ_2230,Managing Students With Weak Self-Learning Habits,CONCERN_ADJ_2230,Self-Learning Weakness,0.9,"display_label is a capability (""Managing Students with Weak Self-Learning Habits"") whose concern_category is a deficit-state (""Self-Learning Weakness""); topical overlap 0.67"
CONCERN_ADJ_2301,Building a Balanced Academic & Emotional Classroom Ecosystem,CONCERN_ADJ_2301,Classroom Balance Weakness,0.76,"display_label is a capability (""Building a Balanced Academic & Emotional Classroom Ecosystem"") whose concern_category is a deficit-state (""Classroom Balance Weakness""); topical overlap 0.20"
CONCERN_ADJ_2372,Emotional Regulation in Peer Interactions,CONCERN_ADJ_2372,Peer Emotional Dysregulation,0.82,"display_label is a capability (""Emotional Regulation in Peer Interactions"") whose concern_category is a deficit-state (""Peer Emotional Dysregulation""); topical overlap 0.40"
CONCERN_ADJ_250,Understanding of Career Competitiveness Levels,CONCERN_ADJ_250,Career Competition Awareness Gap,0.75,"display_label is a capability (""Understanding of Career Competitiveness Levels"") whose concern_category is a deficit-state (""Career Competition Awareness Gap""); topical overlap 0.17"
CONCERN_ADJ_392,Managing Professional Responsibilities,CONCERN_ADJ_392,Responsibility Anxiety,0.7,"display_label is a capability (""Managing Professional Responsibilities"") whose concern_category is a deficit-state (""Responsibility Anxiety""); topical overlap 0.00"
CONCERN_ADJ_428,Understanding of Workplace Productivity Standards,CONCERN_ADJ_428,Workplace Productivity Awareness Deficit,0.82,"display_label is a capability (""Understanding of Workplace Productivity Standards"") whose concern_category is a deficit-state (""Workplace Productivity Awareness Deficit""); topical overlap 0.40"
