ID	Anchor	Domain	Sub-Domain	Dimension	Focus Area	Layer (1-12)	Dimension	Question (Self-Assessment)	Question	Response	A (1pt)	B (2pt)	C (3pt)	D (4pt)	E (5pt)	Polarity	Wt	Logic	Age Band	Stage 	Age
FSA-11	No	Behavioral	Exec Function	Preparation	High-Impact Behavioral	10: Exec	Preparation	Do you clear your desk before you start studying?	Clear your desk before you start studying?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1	Linear (1-5)	11-14	Curiosity	B
FSA-12	No	Emotional	Self-Concept	Self-Belief	Emotional/Anxiety	12: Core	Self-Belief	I think my focus is weaker than my friends'.	My focus is weaker than my friends'.	Agree to Disagree	Agree	Inclined	Neutral	Disinclined	Disagree	(-)	1	Inverted (5-1)	15-18	Curiosity	C
FSA-13	No	Cognitive	Processing	Reading Track	Deep Cognitive	8: Precision	Reading Track	Do you "read" a page but forget it immediately?	Read a page but forget it immediately?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-14	No	Behavioral	Inhibition	Multitasking	High-Impact Behavioral	3: Impulse	Multitasking	How many tabs/apps are open during homework?	How many tabs/apps open during homework?	5+ to 1	5+	4	3	2	1	(-)	1.2	1=5, 5+=1	11-18	Curiosity	B, C
FSA-15	No	Emotional	Anxiety	Frustration	Emotional/Anxiety	11: Meta	Frustration	Do you get angry when you realize you've drifted?	Get angry when you realize you've drifted?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
FSA-16	No	Cognitive	Sensory	Auditory Capture	Deep Cognitive	5: Sensory	Auditory Capture	People say your name twice for your attention?	People say your name twice for your attention?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-17	No	Behavioral	Inhibition	Digital Hunger	High-Impact Behavioral	3: Impulse	Digital Hunger	Feel an "itch" to check social media while working?	"Itch" to check social media while working?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-18	No	Cognitive	Endurance	Mental Stamina	Deep Cognitive	1: Duration	Mental Stamina	Can you handle two difficult subjects back-to-back?	Handle two difficult subjects back-to-back?	Yes / No	No	-	-	-	Yes	(+)	1.5	Yes=5, No=1	15-18	Curiosity	C
FSA-19	No	Behavioral	Exec Function	Note-Taking	High-Impact Behavioral	10: Exec	Note-Taking	Do you stop writing if the teacher speaks too fast?	Stop writing if teacher speaks too fast?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
FSA-20	No	Emotional	Anxiety	Boredom	Emotional/Anxiety	11: Meta	Boredom Threshold	If a topic isn't "fun," do you stop paying attention?	If a topic isn't "fun," do you stop?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-21	No	Cognitive	Processing	Visual Search	Deep Cognitive	8: Precision	Visual Search	Struggle to find a specific word in a paragraph?	Struggle to find a specific word in text?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
FSA-22	No	Diagnostic	Motivation	Deadline Drive	Hyper-focus Paradox	10: Exec	Deadline Drive	Do you only focus when the deadline is 1 hour away?	Only focus when deadline is 1 hour away?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
FSA-23	No	Diagnostic	Chronotype	Night Focus	Hyper-focus Paradox	2: Physical	Night Focus	Do you find it easier to focus at night than day?	Easier to focus at night than day?	Yes / No	Yes	-	Neutral	-	No	(±)	1	Neutral (3)	15-18	Curiosity	C
FSA-24	No	Behavioral	Precision	Instructions	High-Impact Behavioral	8: Precision	Instructions	Do you skip reading the "instructions" on a test?	Skip reading instructions on a test?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-14	Curiosity	B
FSA-25	No	Emotional	Self-Concept	External Blame	Emotional/Anxiety	12: Core	External Blame	I can only focus if the teacher/parent is watching.	Only focus if parent/teacher is watching.	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-26	No	Cognitive	Memory	Sequential Logic	Deep Cognitive	9: Synthesis	Sequential Logic	Lose track of the steps in a long Math problem?	Lose track of steps in long Math problems?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-27	No	Diagnostic	Sensory	Notification Ghost	Hyper-focus Paradox	5: Sensory	Notification Ghost	"Hear" your phone vibrate even when it didn't?	"Hear" phone vibrate when it didn't?	Yes / No	Yes	-	-	-	No	(-)	1.4	Yes=1, No=5	11-18	Curiosity	B, C
FSA-28	No	Behavioral	Environment	Env. Shift	High-Impact Behavioral	5: Sensory	Env. Shift	Does studying in a new place (library/cafe) help?	Does studying in a new place help?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	15-18	Curiosity	C
FSA-29	No	Emotional	Anxiety	Peer Comparison	Emotional/Anxiety	11: Meta	Peer Comparison	Feel behind when you see others finishing fast?	Feel behind when others finish fast?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
FSA-30	No	Diagnostic	Shifting	Task Switching	Hyper-focus Paradox	4: Recovery	Task Switching	Hard to switch from "gaming" to "study" brain?	Hard to switch from gaming to study brain?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-31	No	Behavioral	Physiology	Eye Fatigue	High-Impact Behavioral	2: Physical	Eye Fatigue	Do your eyes feel tired after 15 mins of screen study?	Eyes feel tired after 15m screen study?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
FSA-32	No	Behavioral	Exec Function	Doodling	High-Impact Behavioral	10: Exec	Doodling	Do you draw or scribble while listening to a lecture?	Draw or scribble while listening?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-14	Curiosity	B
FSA-33	No	Cognitive	Sensory	Mental Rewind	Deep Cognitive	5: Sensory	Mental Rewind	How often do you have to ask "What did you say?"	Often ask "What did you say?"	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-34	No	Behavioral	Inhibition	App Switching	High-Impact Behavioral	3: Impulse	App Switching	Switch between YouTube/Instagram while studying?	Switch to YouTube/IG while studying?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-35	No	Emotional	Self-Concept	Success Fear	Emotional/Anxiety	12: Core	Success Fear	Avoid hard tasks due to fear of failure?	Avoid hard tasks due to fear of failure?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
FSA-36	Yes	Cognitive	Precision	Detail Miss	Deep Cognitive	6: Diagnostic	Detail Miss	Lose marks for missing "Not" or "Except" in questions?	Lose marks for missing "Not" or "Except"?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.6	Inverted (5-1)	15-18	Curiosity	C
FSA-37	No	Behavioral	Environment	Music	High-Impact Behavioral	5: Sensory	Background Music	Do you need music or white noise to focus?	Need music or white noise to focus?	Yes / No	Yes	-	Neutral	-	No	(±)	1.1	Neutral (3)	11-18	Curiosity	B, C
FSA-38	No	Behavioral	Physiology	Sleep Impact	High-Impact Behavioral	2: Physical	Sleep Impact	If you sleep <6 hours, is your focus "zero" next day?	If sleep <6hr, is focus "zero" next day?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
FSA-39	No	Behavioral	Exec Function	Choice Paralysis	High-Impact Behavioral	10: Exec	Choice Paralysis	Spend 20 mins just "deciding" what to study?	Spend 20m just "deciding" what to study?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
FSA-40	No	Cognitive	Memory	Working Memory	Deep Cognitive	7: Memory	Working Memory	Remember a 5-step instruction without writing it?	Remember 5-step instruction without notes?	Yes / No	No	-	-	-	Yes	(+)	1.5	Yes=5, No=1	11-14	Curiosity	B
FSA-41	No	Behavioral	Inhibition	Screen Time	High-Impact Behavioral	3: Impulse	Screen Time	Is your phone screen time over 4 hours daily?	Phone screen time over 4 hours daily?	Yes / No	Yes	-	-	-	No	(-)	1.5	Yes=1, No=5	11-18	Curiosity	B, C
FSA-42	No	Behavioral	Environment	Comfort	High-Impact Behavioral	5: Sensory	Physical Comfort	Does a slightly hot room make it impossible to study?	Does a hot room make study impossible?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
FSA-43	No	Emotional	Anxiety	Academic Dread	Emotional/Anxiety	11: Meta	Academic Dread	Just looking at your textbook makes you feel tired.	Textbook makes you feel tired immediately.	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-44	No	Cognitive	Processing	Oral vs Written	Deep Cognitive	9: Synthesis	Oral vs Written	Are you better at explaining things than writing them?	Better at explaining than writing?	Yes / No	Oral	-	Neutral	-	Written	(±)	1.2	Neutral (3)	11-18	Curiosity	B, C
FSA-45	No	Behavioral	Precision	Self-Correction	High-Impact Behavioral	8: Precision	Self-Correction	Do you double-check your work for focus errors?	Double-check work for focus errors?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.3	Linear (1-5)	15-18	Curiosity	C
FSA-46	No	Behavioral	Physiology	Stimulants	High-Impact Behavioral	2: Physical	Caffeine/Sugar	Need soda/coffee/snacks to start studying?	Need soda/coffee/snacks to start?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
FSA-47	No	Cognitive	Internal Reg	Mental Imagery	Deep Cognitive	4: Recovery	Mental Imagery	See "movies" in your head when you should focus?	See "movies" in head when you should focus?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
FSA-48	No	Behavioral	Exec Function	Goal Clarity	High-Impact Behavioral	10: Exec	Goal Clarity	Do you know exactly what you will finish in 1 hour?	Know exactly what you will finish in 1hr?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.4	Linear (1-5)	15-18	Curiosity	C
FSA-49	No	Emotional	Anxiety	Social FOMO	Emotional/Anxiety	11: Meta	Social FOMO	Worry about what friends are doing while you study?	Worry about friends while you study?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
FSA-50	No	Cognitive	Endurance	Endurance	Deep Cognitive	1: Duration	Endurance	Can you maintain focus during a 3-hour mock exam?	Maintain focus during 3-hour mock exam?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
FSA-51	No	Behavioral	Environment	Messy Desk	High-Impact Behavioral	5: Sensory	Messy Desk	Does a cluttered room distract you mentally?	Does a cluttered room distract you?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
FSA-52	No	Behavioral	Inhibition	Rapid Speech	High-Impact Behavioral	3: Impulse	Rapid Speech	Do you talk faster than you can think?	Talk faster than you can think?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
FSA-53	No	Behavioral	Inhibition	Tab Hopping	High-Impact Behavioral	3: Impulse	Tab Hopping	While searching for one topic, do you end up on another?	Search for one topic, end up on another?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-54	No	Emotional	Anxiety	Motivation Gap	Emotional/Anxiety	11: Meta	Motivation Gap	Do you only focus on subjects you "like"?	Only focus on subjects you "like"?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-55	No	Cognitive	Exec Function	Time Blindness	Deep Cognitive	10: Exec	Time Blindness	Do you underestimate how long a task will take?	Underestimate how long a task will take?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-56	No	Behavioral	Exec Function	Group Study	High-Impact Behavioral	11: Meta	Group Study	Do you actually study in a group, or just talk?	Actually study in a group, or just talk?	Study / Talk	Talk	-	-	-	Study	(-)	1.2	S=5, T=1	15-18	Curiosity	C
FSA-57	No	Emotional	Anxiety	Parent Pressure	Emotional/Anxiety	11: Meta	Parent Pressure	Does a parent sitting nearby help or hurt focus?	Parent sitting nearby help or hurt focus?	Yes / No	Hurt	-	-	-	Help	(-)	1.2	Yes=1, No=5	11-14	Curiosity	B
FSA-58	No	Cognitive	Processing	Reading Speed	Deep Cognitive	8: Precision	Reading Speed	Do you have to re-read the same sentence 3 times?	Have to re-read the same sentence 3 times?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-59	No	Behavioral	Inhibition	Notify Mute	High-Impact Behavioral	3: Impulse	Notify Mute	Put your phone in another room while studying?	Put phone in another room while studying?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
FSA-60	No	Emotional	Anxiety	Result Anxiety	Emotional/Anxiety	11: Meta	Result Anxiety	Worry about marks even before starting the chapter?	Worry about marks before starting?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
FSA-61	No	Cognitive	Shifting	Mental Lock	Deep Cognitive	4: Recovery	Mental Lock	Brain "freeze" when you see a hard problem?	Brain "freeze" when you see a hard problem?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-62	No	Behavioral	Exec Function	Pomodoro	High-Impact Behavioral	10: Exec	Pomodoro Use	Do you use a timer to track study intervals?	Use a timer to track study intervals?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	15-18	Curiosity	C
FSA-63	No	Behavioral	Exec Function	Subject Switch	High-Impact Behavioral	10: Exec	Subject Switch	Do you jump between 3 subjects in one hour?	Jump between 3 subjects in one hour?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-64	No	Behavioral	Physiology	Afternoon Slump	High-Impact Behavioral	2: Physical	Afternoon Slump	Do you find it impossible to focus after lunch?	Impossible to focus after lunch?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
FSA-65	No	Emotional	Anxiety	Exam Silence	Emotional/Anxiety	11: Meta	Exam Silence	Does the silence of an exam hall make you nervous?	Silence of an exam hall make you nervous?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
FSA-66	No	Behavioral	Sensory	Voice Quality	High-Impact Behavioral	5: Sensory	Voice Quality	Do you read out loud to stay focused?	Read out loud to stay focused?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.1	Linear (1-5)	11-14	Curiosity	B
FSA-67	No	Emotional	Anxiety	Guilt Cycle	Emotional/Anxiety	11: Meta	Guilt Cycle	Spend your "break" feeling guilty for not studying?	Spend "break" feeling guilty for not studying?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
FSA-68	No	Behavioral	Precision	Note Quality	High-Impact Behavioral	8: Precision	Note Quality	Are your notes disorganized or missing key parts?	Notes disorganized/missing key parts?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-69	No	Behavioral	Inhibition	Rabbit Hole	High-Impact Behavioral	3: Impulse	Rabbit Hole	Does a "quick search" turn into 1 hour of browsing?	"Quick search" turns into 1hr browsing?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-70	No	Diagnostic	Motivation	Comp. Focus	Hyper-focus Paradox	11: Meta	Comp. Focus	Do you focus better if it's a competition/game?	Focus better if it's a competition?	Yes / No	No	-	-	-	Yes	(+)	1.2	Yes=5, No=1	11-14	Curiosity	B
FSA-71	No	Behavioral	Physiology	Handwriting	High-Impact Behavioral	2: Physical	Handwriting	Does your handwriting get messier as you continue?	Handwriting get messier as you continue?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-72	No	Behavioral	Exec Function	Desk Rituals	High-Impact Behavioral	10: Exec	Desk Rituals	Do you need everything "perfect" before you start?	Need everything "perfect" before starting?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
FSA-73	No	Emotional	Anxiety	Teacher Rapport	Emotional/Anxiety	11: Meta	Teacher Rapport	If you don't like the teacher, do you stop focusing?	Don't like the teacher, stop focusing?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-14	Curiosity	B
FSA-74	No	Cognitive	Processing	Abstract Think	Deep Cognitive	9: Synthesis	Abstract Think	Struggle to focus on things you can't "see"?	Struggle to focus on things you can't "see"?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
FSA-75	Yes	Behavioral	Exec Function	Planning	High-Impact Behavioral	10: Exec	Planning/Doing	Do you spend more time "planning" than doing?	Spend more time planning than doing?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	15-18	Curiosity	C
FSA-76	No	Behavioral	Environment	Headphones	High-Impact Behavioral	5: Sensory	Headphone Use	Feel "shielded" from the world with headphones?	"Shielded" from the world with headphones?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.1	Linear (1-5)	15-18	Curiosity	C
FSA-77	No	Cognitive	Metacog	Mindful Aware	Deep Cognitive	12: Core	Mindful Aware	Catch yourself the moment your mind wanders?	Catch yourself the moment mind wanders?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
FSA-78	No	Cognitive	Processing	Complex Inst.	Deep Cognitive	9: Synthesis	Complex Inst.	Do you get confused by multi-part exam questions?	Confused by multi-part exam questions?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
FSA-79	No	Diagnostic	Motivation	Reward Dep.	Hyper-focus Paradox	11: Meta	Reward Dep.	Only focus if there is a reward (game/food)?	Only focus if there is a reward?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
FSA-80	Yes	Cognitive	Metacog	Self-Knowledge	Deep Cognitive	12: Core	Self-Knowledge	I know exactly what distracts me most.	I know exactly what distracts me most.	Agree to Disagree	Disagree	Inclined	Neutral	Disinclined	Agree	(+)	1.5	Linear (1-5)	11-18	Curiosity	B, C
FSA-81	No	Behavioral	Exec Function	Initiation	High-Impact Behavioral	10: Exec	Task Initiation	Hard to start a task even when you know it's easy?	Hard to start tasks you know are easy?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
FSA-82	No	Emotional	Exec Function	Flexibility	Emotional/Anxiety	10: Exec	Cog. Flexibility	Upset if your study plan changes unexpectedly?	Upset if study plan changes unexpectedly?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
FSA-83	No	Cognitive	Processing	Info Filter	Deep Cognitive	9: Synthesis	Info Filter	Struggle to find the "Main Idea" in a long text?	Struggle to find "Main Idea" in long text?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-84	No	Behavioral	Inhibition	App Loop	High-Impact Behavioral	3: Impulse	App Loop	Do you open apps without even thinking why?	Open apps without even thinking why?	Daily to Never	Daily	Often	Sometimes	Rarely	Never	(-)	1.6	Inverted (5-1)	15-18	Curiosity	C
FSA-85	No	Emotional	Self-Concept	Perfectionism	Emotional/Anxiety	12: Core	Perfectionism	Restart a whole page if you make one small mistake?	Restart page if you make one mistake?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
FSA-86	No	Cognitive	Endurance	Saturation	Deep Cognitive	1: Duration	Mental Saturation	Feel "full" and unable to learn more after 2 hours?	Feel "full"/unable to learn after 2 hours?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
FSA-87	No	Cognitive	Memory	Working Memory	Deep Cognitive	7: Memory	Working Memory	Forget start of a sentence before reaching the end?	Forget start of sentence before the end?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
FSA-88	No	Behavioral	Environment	Env. Anchor	High-Impact Behavioral	5: Sensory	Env. Anchor	Have a "favorite spot" where you focus 2x better?	Have a "favorite spot" where you focus 2x?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	11-18	Curiosity	B, C
FSA-89	No	Cognitive	Recovery	Processing Speed	Deep Cognitive	4: Recovery	Processing Speed	Feel others "get the concept" faster than you?	Feel others "get concepts" faster than you?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
FSA-90	No	Behavioral	Inhibition	Impulse	High-Impact Behavioral	3: Impulse	Impulse Inhibition	Shout out answers before teacher finishes question?	Shout out answers before teacher finishes?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-14	Curiosity	B
FSA-91	No	Cognitive	Shifting	Context Switch	Deep Cognitive	4: Recovery	Context Switch	Take 10+ minutes to "settle in" to a new subject?	Take 10m to "settle in" to new subject?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
FSA-92	No	Emotional	Anxiety	Emotional Reg.	Emotional/Anxiety	11: Meta	Emotional Reg.	Does a small bad mood ruin your entire study day?	Small bad mood ruins entire study day?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	15-18	Curiosity	C
FSA-93	No	Behavioral	Environment	Visual Dist.	High-Impact Behavioral	5: Sensory	Visual Distraction	People walking past make you lose your thought?	People walking past make you lose thought?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
FSA-94	No	Cognitive	Endurance	Reading Stamina	Deep Cognitive	1: Duration	Reading Stamina	Can you read 10 pages of non-fiction in one go?	Read 10 pages non-fiction in one go?	Yes / No	No	-	-	-	Yes	(+)	1.6	Yes=5, No=1	15-18	Curiosity	C
FSA-95	No	Emotional	Self-Concept	Feedback Sens.	Emotional/Anxiety	12: Core	Feedback Sens.	Stop working if someone criticizes your progress?	Stop if someone criticizes your progress?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-96	No	Behavioral	Physiology	Refresh	High-Impact Behavioral	2: Physical	Mental Refresh	Feel more focused after a 5-minute walk/stretch?	More focused after 5m walk/stretch?	Yes / No	No	-	-	-	Yes	(+)	1.2	Yes=5, No=1	11-18	Curiosity	B, C
FSA-97	No	Cognitive	Processing	Concept Link	Deep Cognitive	9: Synthesis	Concept Linkage	Relate today’s lesson to last week’s easily?	Relate today's lesson to last week's?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.4	Linear (1-5)	15-18	Curiosity	C
FSA-98	No	Cognitive	Exec Function	Decision Fatigue	Deep Cognitive	10: Exec	Decision Fatigue	Give up on hard problems at the end of the day?	Give up on hard problems at end of day?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
FSA-99	No	Behavioral	Physiology	Physical Health	High-Impact Behavioral	2: Physical	Physical Health	Do you focus better on days you played sports?	Focus better on days you played sports?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	11-18	Curiosity	B, C
