concern_id,concern_name,canonical_type,archetype_key,assignment_score,token_matches,assignment_method,grounding_source,governed
CONCERN_ACA_1275,Balancing Academic Rigor with Learning Absorption,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1280,"Holistic Integration Between Curriculum Delivery, Learning Quality, Engagement, and Competency Outcomes",Capability,learning_comprehension,0.4,2,signature,name_only,false
CONCERN_ACA_1282,Visibility into Classroom-Level Learning Outcomes,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1285,Academic Delivery Fatigue Among Teachers,Outcome,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_1294,Monitor Student Confidence and Self-Worth Trends,Capability,confidence_self_efficacy,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_131,Motivation During Low-Performance Phases,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_1310,Visibility into Student Communication Confidence Levels,Capability,communication_expression,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1348,concentration during classes,Problem,focus_attention,0.28,1,signature,name_only,false
CONCERN_ACA_1351,conceptual clarity in STEM subjects,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1366,Digital addiction reducing study efficiency,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_1859,Academic Dishonesty,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_1376,Fear of failure leading to academic avoidance,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_1377,career clarity after Class 10/12,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1439,Excessive procrastination before exams,Behavior,time_self_discipline,0.28,1,signature,name_only,false
CONCERN_ACA_146,Focus During Long Revision Sessions,Problem,focus_attention,0.28,1,signature,propagated,false
CONCERN_ACA_147,Emotional Dependence on Daily Scores,Trait,emotional_regulation,0.28,1,signature,name_only,false
CONCERN_ACA_1572,visualizing future self and goals,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_1581,prioritize among multiple interests,Capability,negotiation_advocacy,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1598,awareness of personal stress responses,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_16,Interview Preparation Discipline,Capability,time_self_discipline,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1616,Absence of structured self-reflection habits,Problem,critical_reflective_thinking,0.28,1,signature,name_only,false
CONCERN_ACA_1627,setting realistic personal goals,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_1648,Concentration During Studies,Problem,focus_attention,0.28,1,signature,name_only,false
CONCERN_ACA_1649,Understanding Concepts,Capability,learning_comprehension,0.4,2,signature,propagated,false
CONCERN_ACA_1650,Problem-Solving Skills,Capability,critical_reflective_thinking,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_1651,Analytical Thinking,Capability,critical_reflective_thinking,0.7,2,signature+behavior,propagated,false
CONCERN_ACA_1657,Writing Skills,Capability,communication_expression,0.28,1,signature,name_only,false
CONCERN_ACA_1663,Memory Retention,Problem,learning_comprehension,0.4,2,signature,name_only,false
CONCERN_ACA_1685,Attention During Long Classes,Problem,focus_attention,0.28,1,signature,propagated,false
CONCERN_ACA_1686,Taking Notes Efficiently,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_1687,Initiative in Learning,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_1697,Attention in Tuition Classes,Problem,focus_attention,0.28,1,signature,propagated,false
CONCERN_ACA_1698,Mathematical Reasoning,Capability,critical_reflective_thinking,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_1699,Understanding Science Concepts,Capability,learning_comprehension,0.4,2,signature,propagated,false
CONCERN_ACA_1700,Vocabulary Development,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_1707,Tracking Academic Progress,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_1708,Maintain Revision Schedules,Capability,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_1716,Revising Large Syllabus,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_1721,Interpretation Skills,Capability,critical_reflective_thinking,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1722,Linking Concepts Across Subjects,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_1727,Solving Word Problems,Capability,critical_reflective_thinking,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1731,Academic Pressure,Problem,performance_anxiety,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_1734,Fear of Failure,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_175,Building Confidence in Personal Preparation Style,Capability,confidence_self_efficacy,0.4,2,signature,direct_cpb,false
CONCERN_ACA_1761,Homework Avoidance,Behavior,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_1763,Exam Panic Attacks,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_1768,Problem-Solving Skills,Capability,critical_reflective_thinking,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_1822,Identity Confusion,Problem,identity_self_awareness,0.28,1,signature,propagated,false
CONCERN_ACA_1823,Fear of the Future,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_1836,Financial Awareness,Capability,identity_self_awareness,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1863,Fear of Asking Doubts in Class,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_1866,Fear of Stage Performances,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_1869,Child Pretending to Study,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_188,Emotional Separation Between Identity and Results,Problem,emotional_regulation,0.28,1,signature,name_only,false
CONCERN_ACA_191,Confidence During Slow Progress,Capability,performance_anxiety,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1913,Child Losing Interest in Long-Term Goals,Problem,motivation_drive,0.4,2,signature,name_only,false
CONCERN_ACA_1925,Child Unable to Focus Without Background Stimulation,Problem,focus_attention,0.28,1,signature,name_only,false
CONCERN_ACA_1931,Academic Focus,Problem,focus_attention,0.28,1,signature,name_only,false
CONCERN_ACA_1932,Conceptual Understanding,Capability,learning_comprehension,0.4,2,signature,direct_cpb,false
CONCERN_ACA_1937,Retention Ability,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_1939,Communication Skills,Capability,communication_expression,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1948,Vocabulary Development,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_1951,Logical Thinking,Capability,critical_reflective_thinking,0.7667,3,signature+behavior,direct_cpb,false
CONCERN_ACA_1953,Writing Skills,Capability,communication_expression,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1959,Independent Thinking,Capability,critical_reflective_thinking,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1967,Leadership Potential,Capability,leadership_influence,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_1973,Note-Making Skills,Capability,learning_comprehension,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1974,Academic Ownership,Capability,motivation_drive,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_1978,Transitioning Between Subjects,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_1989,Subject Prioritization Skills,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_1995,Organizing Study Materials,Capability,time_self_discipline,0.28,1,signature,direct_cpb,false
CONCERN_ACA_1998,Accuracy Under Time Pressure,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_2006,Applying Classroom Learning in Tests,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2014,Exam Writing Speed,Problem,academic_achievement,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2016,Comparative Analysis Skills,Capability,critical_reflective_thinking,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_2021,Cognitive Accuracy During Stress,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2031,Attention During Revision,Problem,focus_attention,0.28,1,signature,name_only,false
CONCERN_ACA_2033,Simultaneous Assignments,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_2035,Learning from Previous Mistakes,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_2045,Structuring Revision Priorities,Problem,time_self_discipline,0.28,1,signature,name_only,false
CONCERN_ACA_2051,Competing Academic Priorities,Problem,time_self_discipline,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2058,Learning Adaptation Under Pressure,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_2062,Self-Evaluation Skills,Capability,critical_reflective_thinking,0.4,2,signature,direct_cpb,false
CONCERN_ACA_2067,Understanding Examination Patterns,Capability,academic_achievement,0.4,2,signature,direct_cpb,false
CONCERN_ACA_207,Balancing Passion and Practicality in Career Choices,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2081,Attention to Detail in Assignments,Problem,focus_attention,0.28,1,signature,name_only,false
CONCERN_ACA_2082,Transitioning from Rote to Conceptual Learning,Problem,learning_comprehension,0.4,2,signature,name_only,false
CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,Capability,critical_reflective_thinking,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2129,Classroom Participation Imbalance,Problem,academic_achievement,0.28,1,signature,propagated,false
CONCERN_ACA_2132,Managing Students with Fear of Failure,Outcome,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_2147,Building Collaborative Learning Culture,Capability,learning_comprehension,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_215,Exploring Careers Beyond Peer Influence,Problem,leadership_influence,0.28,1,signature,name_only,false
CONCERN_ACA_2156,Students with Poor Revision Habits,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_2160,Building Inquiry-Based Learning Culture,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2178,Managing Students Who Memorize Without Understanding,Capability,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_2185,Supporting Students with Weak Sequential Thinking,Capability,critical_reflective_thinking,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2192,Supporting Students with Weak Logical Reasoning,Capability,critical_reflective_thinking,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_2199,Helping Students Organize Academic Priorities,Problem,time_self_discipline,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2240,Handling Students with Weak Subject Prioritization During Exams,Capability,academic_achievement,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,Problem,time_self_discipline,0.28,1,signature,name_only,false
CONCERN_ACA_2246,Handling Students with Weak Learning Confidence in New Topics,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2271,Supporting Students with Weak Error Analysis Skills,Capability,critical_reflective_thinking,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2293,Students with Weak Peer Interaction Skills,Capability,social_connection_belonging,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2298,Supporting Students with Weak Academic Communication in Group Activities,Capability,communication_expression,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2308,Child Unable to See Relevance of Subjects,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_2309,Sense of Control Over Own Learning,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_231,Career Uncertainty After Board Exams,Problem,adaptability_change,0.28,1,signature,name_only,false
CONCERN_ACA_2310,Wrong Subject Stream Alignment,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_2311,Adapting to Academic Changes,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2324,Academic Recovery After Long Vacations,Problem,resilience_recovery,0.28,1,signature,name_only,false
CONCERN_ACA_2325,Child Showing Reduced Curiosity Toward Learning,Trait,curiosity_innovation,0.28,1,signature,name_only,false
CONCERN_ACA_2331,Child Unable to Handle Uncertainty About Future,Problem,adaptability_change,0.28,1,signature,name_only,false
CONCERN_ACA_2338,Conceptual Understanding Despite Repeated Teaching,Capability,learning_comprehension,0.4,2,signature,direct_cpb,false
CONCERN_ACA_2339,Retrieval of Previously Taught Concepts,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_234,Entrepreneurial Career Paths,Problem,career_professional_growth,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2340,Students Struggling with Multi-Step Problem Solving,Problem,critical_reflective_thinking,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2341,Inconsistent Cognitive Performance Across Subjects,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_2342,Learning Retention After Classroom Sessions,Problem,learning_comprehension,0.4,2,signature,name_only,false
CONCERN_ACA_2343,Adapting Students to Competency-Based Learning,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2344,Student Engagement During Long Lectures,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_2345,Independent Learning Ability Among Students,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_2346,Students Unable to Transfer Concepts Across Subjects,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_242,Making Independent Career Decisions,Problem,decision_judgment,0.28,1,signature,name_only,false
CONCERN_ACA_2423,Students Unable to Connect Learning with Future Goals,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_2424,Ownership of Long-Term Academic Direction,Capability,motivation_drive,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2425,Building Self-Driven Career Exploration,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2427,Choosing Academic Streams,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_2428,Students Following Peer-Driven Career Decisions,Problem,decision_judgment,0.28,1,signature,name_only,false
CONCERN_ACA_2429,Long-Term Goal Commitment,Problem,motivation_drive,0.4,2,signature,name_only,false
CONCERN_ACA_2430,Balancing Passion and Practical Career Choices,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2431,Students Feeling Emotionally Detached from Learning,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_2432,Curiosity About Future Career Possibilities,Trait,curiosity_innovation,0.28,1,signature,name_only,false
CONCERN_ACA_2433,Students Feeling Trapped in Unwanted Academic Paths,Problem,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ACA_2434,Reflection About Personal Strengths and Interests,Problem,critical_reflective_thinking,0.28,1,signature,propagated,false
CONCERN_ACA_2435,Developing Meaningful Academic Aspirations,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2436,Students Losing Motivation Due to Lack of Purpose,Problem,identity_self_awareness,0.28,1,signature,name_only,false
CONCERN_ACA_2437,Alignment Between Academic Effort and Career Vision,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_2438,Students Unable to Handle Identity Pressure from Society,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_2439,Decision-Making Confidence During Career Planning,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2440,Transitioning from Academic Identity to Professional Identity,Problem,career_professional_growth,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2441,Students Showing Identity Crisis After Academic Failure,Outcome,resilience_recovery,0.28,1,signature,name_only,false
CONCERN_ACA_2442,Emotional Connection to Long-Term Goals,Problem,emotional_regulation,0.28,1,signature,name_only,false
CONCERN_ACA_2443,Students Feeling Pressured to Meet Family Identity Expectations,Problem,identity_self_awareness,0.28,1,signature,name_only,false
CONCERN_ACA_2444,Helping Students Build Independent Identity Thinking,Capability,critical_reflective_thinking,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_2445,Students Avoiding Exploration Due to Fear of Failure,Outcome,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_2446,Clarity About Personal Learning Preferences,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2447,Students Defining Self-Worth Entirely Through Marks,Problem,confidence_self_efficacy,0.28,1,signature,name_only,false
CONCERN_ACA_2448,Building Internal Motivation Beyond Rewards,Capability,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_2449,Students Feeling Lost During Post-Exam Transition Periods,Problem,adaptability_change,0.28,1,signature,name_only,false
CONCERN_ACA_2450,Build Purpose-Oriented Academic Plans,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2451,Sustaining Identity Stability Amid Academic Pressure,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_2452,Managing Students with Weak Confidence in Class Discussions,Capability,confidence_self_efficacy,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,Capability,academic_achievement,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_246,Career Conversations with Family,Problem,career_professional_growth,0.28,1,signature,name_only,false
CONCERN_ACA_2461,Students with Weak Academic Confidence After Comparisons,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2469,Sequential Thinking Skills,Capability,critical_reflective_thinking,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2477,Subject Prioritization Skills,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_2483,Organizing Study Materials,Capability,time_self_discipline,0.28,1,signature,direct_cpb,false
CONCERN_ACA_249,Emotional Pressure During Stream Changes,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_269,Building Structured Learning Plans,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_278,Publicly Demonstrating Skills,Capability,performance_anxiety,0.28,1,signature,direct_cpb,false
CONCERN_ACA_280,Long-Term Commitment to Competency Mastery,Capability,motivation_drive,0.28,1,signature,direct_cpb,false
CONCERN_ACA_284,Connect Skills with Career Goals,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_289,Building Learning Confidence After Repeated Failures,Capability,confidence_self_efficacy,0.28,1,signature,name_only,false
CONCERN_ACA_291,Learning Momentum After Interruptions,Problem,learning_comprehension,0.28,1,signature,name_only,false
CONCERN_ACA_315,Applying Time Management to Skill Acceleration,Capability,time_self_discipline,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_326,Balance Depth and Breadth in Learning,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_340,Build Competency Through Reflection and Iteration,Capability,critical_reflective_thinking,0.28,1,signature,direct_cpb,false
CONCERN_ACA_347,Building Confidence Across Multiple Competency Areas,Capability,confidence_self_efficacy,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_357,Translating Skill Growth into Career Opportunities,Capability,career_professional_growth,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_401,Anxiety During HR Rounds,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_451,Building Professional Confidence Without Constant Validation,Capability,career_professional_growth,0.58,1,signature+behavior,propagated,false
CONCERN_ACA_458,Translate Performance into Career Growth Opportunities,Problem,career_professional_growth,0.7,2,signature+behavior,propagated,false
CONCERN_ACA_490,Leadership Interviews,Capability,leadership_influence,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_540,Communicate Strategic Career Intentions,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_580,Career Growth Potential,Problem,career_professional_growth,0.4,2,signature,name_only,false
CONCERN_ACA_603,Building Influence Across Senior Stakeholders,Capability,leadership_influence,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_624,Influencing Organizational Decisions,Problem,decision_judgment,0.28,1,signature,name_only,false
CONCERN_ACA_641,Emotional Dependence on Workplace Validation,Trait,emotional_regulation,0.28,1,signature,name_only,false
CONCERN_ACA_651,Identity Conflict Between Role and Personal Values,Problem,identity_self_awareness,0.4,2,signature,name_only,false
CONCERN_ACA_652,Transitioning Into Strategic Leadership Roles,Capability,leadership_influence,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ACA_718,Leading Small Responsibilities,Capability,leadership_influence,0.4,2,signature,direct_cpb,false
CONCERN_ACA_730,Build Strategic Workplace Relationships,Capability,career_professional_growth,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_738,Understand Organizational Goals Beyond Tasks,Problem,motivation_drive,0.28,1,signature,name_only,false
CONCERN_ACA_74,Emotional Recovery After Academic Setbacks in College,Problem,resilience_recovery,0.4,2,signature,name_only,false
CONCERN_ACA_749,Emotional Reactions to Delayed Career Progress,Problem,emotional_regulation,0.28,1,signature,name_only,false
CONCERN_ACA_752,Professional Networking Situations,Problem,career_professional_growth,0.28,1,signature,name_only,false
CONCERN_ACA_779,Cross-Generational Team Dynamics,Problem,collaboration_teamwork,0.28,1,signature,name_only,false
CONCERN_ACA_788,Managing Senior Leadership Visibility,Capability,leadership_influence,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_81,Building Confidence for Higher Studies Abroad,Capability,performance_anxiety,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_83,Academic Pressure Alongside Internships,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACA_855,Leadership Loneliness During High Responsibility Phases,Capability,leadership_influence,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACA_876,Develop Strategic Talent Pipelines,Capability,leadership_influence,0.28,1,signature,direct_cpb,false
CONCERN_ACA_934,Leading Through Technological Disruption,Capability,performance_anxiety,0.28,1,signature,direct_cpb,false
CONCERN_ACA_953,Balancing Enterprise Expansion with Leadership Stability,Capability,leadership_influence,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ACC_1546,Fear of stepping outside comfort zone,Problem,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ACC_1639,reflection on communication and relationships,Capability,social_connection_belonging,0.7,2,signature+behavior,direct_cpb,false
CONCERN_ADA_1251,Detecting Institutional Decision Paralysis Among Students,Problem,decision_judgment,0.28,1,signature,name_only,false
CONCERN_ADA_1274,Visibility into Student Attention Stability During Classes,Capability,focus_attention,0.28,1,signature,direct_cpb,false
CONCERN_ADA_1287,Detecting Early Academic Decline Across Students,Outcome,academic_achievement,0.28,1,signature,name_only,false
CONCERN_ADA_1300,Visibility into Student Recovery After Academic Failure,Outcome,resilience_recovery,0.7,2,signature+behavior,propagated,false
CONCERN_ADA_1420,balance academics and personal life,Capability,academic_achievement,0.28,1,signature,direct_cpb,false
CONCERN_ADA_1444,persistence in difficult subjects,Capability,academic_achievement,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ADA_1479,Students lacking ownership and accountability,Capability,time_self_discipline,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ADA_1519,identifying motivational drivers,Capability,motivation_drive,0.28,1,signature,direct_cpb,false
CONCERN_ADA_1641,consistency between goals and actions,Problem,time_self_discipline,0.28,1,signature,name_only,false
CONCERN_ADA_319,Emotional Fatigue from Continuous Improvement Pressure,Outcome,performance_anxiety,0.58,1,signature+behavior,propagated,false
CONCERN_ADA_351,Building Competency Confidence Without Comparisons,Capability,performance_anxiety,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ADA_570,Decision-Making Under Pressure,Problem,decision_judgment,0.58,1,signature+behavior,propagated,false
CONCERN_ADJ_12,Academic Accountability in College,Problem,academic_achievement,0.58,1,signature+behavior,propagated,false
CONCERN_ADJ_128,Accuracy in Easy Questions Due to Overthinking,Behavior,performance_anxiety,0.28,1,signature,name_only,false
CONCERN_ADJ_1689,Concept Application Skills,Capability,learning_comprehension,0.58,1,signature+behavior,direct_cpb,false
CONCERN_ADJ_1741,Parent-Child Communication Gap,Problem,communication_expression,0.28,1,signature,name_only,false
