bridge_tag,signal_family,domain_name,similarity,atomic_signal_count,evidence_strength,sample_signals
LEARNING_ADAPTABILITY,"academic_confidence_signals","Learning Intelligence",0.2131,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
INTERDISCIPLINARY_LEARNING,"conceptual_clarity_signals","Learning Intelligence",0.1923,40,moderate,"Integrated Conceptual Mastery | Principle Based Learning | Deep Understanding Orientation | Higher Order Concept Reasoning | Foundational Concept Mastery"
ORGANIZATIONAL_DEVELOPMENT,"professional_competency_signals","Employability Intelligence",0.2057,40,moderate,"Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery"
ORGANIZATIONAL_DEVELOPMENT,"practical_transition_signals","Career Intelligence",0.1377,40,moderate,"Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness"
ORGANIZATIONAL_DEVELOPMENT,"future_planning_signals","Career Intelligence",0.1332,40,moderate,"Long Term Learning Commitment | Delayed Gratification Orientation | Future Execution Discipline | Self Investment Orientation | Future Execution Alignment"
ORGANIZATIONAL_EFFECTIVENESS,"academic_confidence_signals","Learning Intelligence",0.1417,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ORGANIZATIONAL_EFFECTIVENESS,"learning_processing_signals","Cognitive Intelligence",0.1361,40,moderate,"Applied Learning Effectiveness | Conceptual Processing Depth | Stable Comprehension Under Complexity | Continuous Learning Optimization | Processing Stability Under Pressure"
ORGANIZATIONAL_EFFECTIVENESS,"recovery_quality_signals","Wellbeing Intelligence",0.1076,40,moderate,"Holistic Recovery Integration | Multidimensional Recovery Balance | Peak Recovery Optimization | Long Term Wellbeing Sustainability | Sleep Quality Restoration"
SELF_DISCOVERY,"personal_values_signals","Identity Intelligence",0.1632,40,moderate,"Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration"
SELF_DISCOVERY,"professional_competency_signals","Employability Intelligence",0.1589,40,moderate,"Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery"
SELF_DISCOVERY,"career_exploration_signals","Career Intelligence",0.1417,40,moderate,"Experimentation With Roles | Exploratory Project Participation | Exploratory Side Project Creation | Self Driven Career Research | Future Of Work Curiosity"
SELF_EXPLORATION,"self_awareness_signals","Identity Intelligence",0.1837,40,moderate,"Self Growth Orientation | Self Meaning Construction | Self Identity Stability | Introspective Depth | Emotional Honesty Capacity"
SELF_EXPLORATION,"personal_values_signals","Identity Intelligence",0.1773,40,moderate,"Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration"
SELF_EXPLORATION,"work_life_balance_signals","Wellbeing Intelligence",0.1627,40,moderate,"Holistic Balance Breakdown | Emotional Exhaustion Accumulation | Emotional Burnout Cycling | Burnout Normalization Behavior | Burnout Denial Behavior"
PERSONAL_DEVELOPMENT,"growth_orientation_signals","Motivational Intelligence",0.1833,40,moderate,"Evolution Driven Motivation | Transformational Growth Orientation | Continuous Learning Orientation | Mastery Orientation Strength | Disciplined Self Improvement"
PERSONAL_DEVELOPMENT,"direction_signals","Career Intelligence",0.1826,40,moderate,"Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure"
PERSONAL_DEVELOPMENT,"self_awareness_signals","Identity Intelligence",0.1729,40,moderate,"Self Growth Orientation | Self Meaning Construction | Self Identity Stability | Introspective Depth | Emotional Honesty Capacity"
ACADEMIC_CAREER,"career_clarity_signals","Career Intelligence",0.2098,20,moderate,"Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty"
ACADEMIC_CAREER,"academic_confidence_signals","Learning Intelligence",0.1951,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ACADEMIC_CAREER,"learning_resilience_signals","Learning Intelligence",0.1542,40,moderate,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
LEADERSHIP_TRANSITION,"belonging_signals","Social Intelligence",0.1495,40,moderate,"Emotional Exclusion Memory Bias | Inclusion Hypervigilance | Conditional Belonging Perception | Exclusion Sensitivity | Exclusion Memory Retention"
LEADERSHIP_TRANSITION,"execution_reliability_signals","Employability Intelligence",0.1449,40,moderate,"Elite Execution Integrity | Principled Execution Integrity | Ethical Delivery Consistency | Consistent Task Completion | Execution Under Pressure"
LEADERSHIP_TRANSITION,"anxiety_signals","Emotional Intelligence",0.1317,40,moderate,"Panic Response Anxiety | Placement Stress Anxiety | Generalized Anxiety | Exam Anxiety | Future Outcome Anxiety"
COMPETENCY_INTELLIGENCE,"professional_competency_signals","Employability Intelligence",0.2076,40,moderate,"Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery"
COMPETENCY_INTELLIGENCE,"feedback_delivery_signals","Collaboration Intelligence",0.1028,40,moderate,"Interdisciplinary Feedback Translation | Future Mission Feedback Alignment | Multidimensional Feedback Stability | Transformational Collective Feedback | Disruptive Future Feedback Systems"
COMPETENCY_INTELLIGENCE,"execution_leadership_signals","Leadership Intelligence",0.1020,40,moderate,"Pressure Resilient Delivery | Resilient Deadline Management | Multidimensional Execution Synchronization | Ultimate Execution Leadership Intelligence | Resilient Operational Endurance"
FACULTY_EFFECTIVENESS,"recovery_quality_signals","Wellbeing Intelligence",0.1856,40,moderate,"Holistic Recovery Integration | Multidimensional Recovery Balance | Peak Recovery Optimization | Long Term Wellbeing Sustainability | Sleep Quality Restoration"
FACULTY_EFFECTIVENESS,"execution_reliability_signals","Employability Intelligence",0.1763,40,moderate,"Elite Execution Integrity | Principled Execution Integrity | Ethical Delivery Consistency | Consistent Task Completion | Execution Under Pressure"
FACULTY_EFFECTIVENESS,"resilience_stability_signals","Resilience Intelligence",0.1242,40,moderate,"Long Term Resilience Consistency | Resilience After Failure Cycles | Longitudinal Recovery Endurance | Resilience Identity Stability | Pressure Resilience Stability"
FACULTY_DEVELOPMENT,"mastery_signals","Learning Intelligence",0.1669,20,moderate,"Conceptual Mastery Depth | Advanced Problem Mastery | First Principles Learning | Expertise Development Drive | Conceptual Application Ability"
FACULTY_DEVELOPMENT,"professional_competency_signals","Employability Intelligence",0.1581,40,moderate,"Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery"
FACULTY_DEVELOPMENT,"collaborative_learning_signals","Learning Intelligence",0.1287,40,moderate,"Collective Intelligence Activation | Peer Learning Acceleration | Shared Concept Building | Collaborative Creativity Activation | Collaborative Synthesis Ability"
ACADEMIC_TRANSITION,"academic_confidence_signals","Learning Intelligence",0.1886,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ACADEMIC_TRANSITION,"learning_resilience_signals","Learning Intelligence",0.1230,40,moderate,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
ACADEMIC_TRANSITION,"resilience_confidence_signals","Resilience Intelligence",0.1198,40,moderate,"Resilience Growth Orientation | Long Term Resilience Orientation | Resilience Based Self Efficacy | Resilient Future Orientation | Adaptive Emotional Endurance"
CAREER_DECISION,"career_clarity_signals","Career Intelligence",0.1980,20,moderate,"Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty"
CAREER_DECISION,"career_decision_signals","Career Intelligence",0.1728,40,moderate,"Long-Term Career Vision | Career Execution Consistency | Long Term Professional Commitment | Strategic Career Alignment | Career Decision Resilience"
CAREER_DECISION,"placement_confidence_signals","Career Intelligence",0.1648,40,moderate,"Placement Outcome Resilience | Technical Interview Confidence | Recruitment Pressure Tolerance | Rejection Recovery Strength | Interview Question Navigation"
PERSONAL_EFFECTIVENESS,"effort_stability_signals","Motivational Intelligence",0.2127,40,moderate,"Long Term Goal Persistence | Persistence Through Slow Progress | Consistency Under Low Motivation | Stable Work Ethic Pattern | Long Cycle Effort Endurance"
PERSONAL_EFFECTIVENESS,"persistence_signals","Motivational Intelligence",0.1846,40,moderate,"Commitment Under Adversity | Long Term Goal Commitment | Failure Resilience Drive | Adaptive Persistence | Effort Reinvestment Capacity"
PERSONAL_EFFECTIVENESS,"self_belief_signals","Identity Intelligence",0.1662,40,moderate,"Transformational Self Belief | Mastery Orientation Confidence | Pressure Execution Belief | Learning Capability Belief | Strategic Self Efficacy"
HELP_SEEKING,"guidance_dependency_signals","Career Intelligence",0.1643,40,moderate,"Career Identity Confusion Under Influence | Indecisive Career Navigation | Fear Of Independent Career Choice | Fear Of Wrong Career Choice | Independent Decision Avoidance"
HELP_SEEKING,"academic_confidence_signals","Learning Intelligence",0.1389,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
HELP_SEEKING,"team_guidance_signals","Leadership Intelligence",0.1342,40,moderate,"Ecosystem Level Team Orchestration | Transformational Team Inspiration | Strategic Team Capacity Building | Role Clarity Guidance | Clear Direction Setting"
TEACHING_QUALITY,"mastery_signals","Learning Intelligence",0.1250,20,moderate,"Conceptual Mastery Depth | Advanced Problem Mastery | First Principles Learning | Expertise Development Drive | Conceptual Application Ability"
TEACHING_QUALITY,"strategic_decision_signals","Decision Intelligence",0.1235,40,moderate,"Transformational Decision Engineering | Transformational Change Decisioning | Visionary Decision Architecture | Ethical Strategic Decisioning | Strategic Signal Evaluation"
TEACHING_QUALITY,"execution_alignment_signals","Decision Intelligence",0.1139,40,moderate,"Transformational Execution Alignment | Strategic Execution Alignment | Execution Ethics Consistency | Execution Resilience Under Complexity | Decision Execution Consistency"
TALENT_IDENTIFICATION,"emotional_suppression_signals","Emotional Intelligence",0.1218,40,moderate,"Hidden Hopelessness | Concealed Emotional Overload | Silent Distress | Concealed Burnout | Emotional Shutdown Response"
TALENT_IDENTIFICATION,"role_fit_signals","Career Intelligence",0.1198,40,moderate,"Long Term Role Sustainability | Technical Depth Role Fit | Authentic Role Alignment | Strengths Role Matching | Analytical Role Fit"
TALENT_IDENTIFICATION,"employability_gap_signals","Employability Intelligence",0.0994,40,moderate,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
STUDENT_ENGAGEMENT,"engagement_signals","Behavioral Intelligence",0.2035,40,moderate,"Intrinsic Motivation Activation | Deep Focus Involvement | Resilience Based Engagement | Persistence In Engagement | Mission Driven Involvement"
STUDENT_ENGAGEMENT,"participation_signals","Behavioral Intelligence",0.1924,40,moderate,"Strategic Participation Alignment | Resilient Participation Behavior | Execution Phase Engagement | Intellectual Participation Drive | Brainstorming Activity Presence"
STUDENT_ENGAGEMENT,"learning_engagement_signals","Learning Intelligence",0.1862,40,moderate,"Resilient Learning Attention | Immersive Learning Focus | Self Initiated Learning Behavior | Cognitive Presence During Learning | Deep Topic Exploration"
LEARNING_QUALITY,"academic_confidence_signals","Learning Intelligence",0.1595,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
LEARNING_QUALITY,"learning_processing_signals","Cognitive Intelligence",0.1395,40,moderate,"Applied Learning Effectiveness | Conceptual Processing Depth | Stable Comprehension Under Complexity | Continuous Learning Optimization | Processing Stability Under Pressure"
LEARNING_QUALITY,"employability_gap_signals","Employability Intelligence",0.1263,40,moderate,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
ACADEMIC_GROWTH,"academic_confidence_signals","Learning Intelligence",0.1923,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ACADEMIC_GROWTH,"self_reflection_signals","Cognitive Intelligence",0.1732,40,moderate,"Meta Cognitive Self Monitoring | Reflective Cognitive Maturity | Self Perception Accuracy | Self Improvement Orientation | Self Assumption Questioning"
ACADEMIC_GROWTH,"learning_resilience_signals","Learning Intelligence",0.1627,40,moderate,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
STUDENT_RISK,"academic_confidence_signals","Learning Intelligence",0.1938,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
STUDENT_RISK,"decision_leadership_signals","Leadership Intelligence",0.1633,20,moderate,"Decisive Crisis Leadership | Transformational Decision Leadership | Ethical Decision Integrity | Pressure Decision Stability | Long Term Decision Foresight"
STUDENT_RISK,"learning_resilience_signals","Learning Intelligence",0.1305,40,moderate,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
BEHAVIORAL_STABILITY,"risk_avoidance_signals","Behavioral Intelligence",0.1636,40,moderate,"Evaluation Avoidance Response | Fear Based Procrastination | Failure Escape Behavior | Uncertainty Freezing Behavior | High Stakes Avoidance Pattern"
BEHAVIORAL_STABILITY,"avoidance_signals","Behavioral Intelligence",0.1422,40,moderate,"Pressure Triggered Disengagement | Challenge Escape Behavior | Evaluation Escape Pattern | Performance Pressure Escape | High Expectation Withdrawal"
BEHAVIORAL_STABILITY,"responsiveness_signals","Behavioral Intelligence",0.1417,40,moderate,"High Velocity Feedback Adaptation | Anticipatory Behavioral Response | Proactive Response Behavior | Adaptive Priority Shifting | Response Follow Through Reliability"
STUDENT_BEHAVIOUR,"learning_resilience_signals","Learning Intelligence",0.1353,40,moderate,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
STUDENT_BEHAVIOUR,"digital_communication_signals","Communication Intelligence",0.1169,40,moderate,"Transformational Digital Communication | Online Information Verification | Digital Confidentiality Awareness | Digital Instruction Precision | Digital Collaboration Clarity"
STUDENT_BEHAVIOUR,"learning_consistency_signals","Learning Intelligence",0.1037,40,moderate,"Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning"
CAREER_ALIGNMENT,"direction_signals","Career Intelligence",0.1448,40,moderate,"Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure"
CAREER_ALIGNMENT,"employability_signals","Career Intelligence",0.1318,40,moderate,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
CAREER_ALIGNMENT,"employability_motivation_signals","Employability Intelligence",0.1300,40,moderate,"Transformational Career Ambition | Strategic Career Preparation | Long Term Employability Commitment | Strategic Upskilling Motivation | Skill Development Drive"
ALTERNATIVE_CAREER,"career_clarity_signals","Career Intelligence",0.2047,20,moderate,"Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty"
ALTERNATIVE_CAREER,"career_resilience_signals","Career Intelligence",0.2034,40,moderate,"Emotional Endurance Under Pressure | Long Term Career Commitment | Prolonged Search Endurance | Persistence Under Delayed Success | Resilient Skill Reinvestment"
ALTERNATIVE_CAREER,"career_decision_signals","Career Intelligence",0.1971,40,moderate,"Long-Term Career Vision | Career Execution Consistency | Long Term Professional Commitment | Strategic Career Alignment | Career Decision Resilience"
PERSONAL_INSIGHT,"fear_signals","Emotional Intelligence",0.1786,40,moderate,"Placement Fear | Fear of Failure | Inadequacy Fear | Future Failure Visualization | Interview Fear"
PERSONAL_INSIGHT,"self_awareness_signals","Identity Intelligence",0.1680,40,moderate,"Self Growth Orientation | Self Meaning Construction | Self Identity Stability | Introspective Depth | Emotional Honesty Capacity"
PERSONAL_INSIGHT,"perfectionism_signals","Performance Intelligence",0.1512,40,moderate,"Perfection Driven Burnout | Self Worth Performance Linkage | Performance Identity Fusion | Perfectionistic Exhaustion Cycle | Execution Delay Due To Precision"
EMOTIONAL_MATURITY,"fear_signals","Emotional Intelligence",0.1837,40,moderate,"Placement Fear | Fear of Failure | Inadequacy Fear | Future Failure Visualization | Interview Fear"
EMOTIONAL_MATURITY,"deadline_response_signals","Performance Intelligence",0.1263,40,moderate,"Deadline Execution Mastery | Deadline Freeze Response | Emotional Deadline Shutdown | Deadline Panic Tendency | Deadline Anxiety Escalation"
EMOTIONAL_MATURITY,"shame_signals","Emotional Intelligence",0.1168,40,moderate,"Repeated Failure Identity Shame | Failure Association Shame | Identity-Based Shame | Inadequacy Shame | Family Expectation Shame"
SOCIAL_SELF,"comprehension_signals","Learning Intelligence",0.1791,40,moderate,"Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension"
SOCIAL_SELF,"role_identity_signals","Identity Intelligence",0.1702,40,moderate,"Identity Stability Under Pressure | Identity Role Maturity | Self Role Definition Strength | Professional Identity Commitment | Identity Role Coherence"
SOCIAL_SELF,"emotional_resilience_signals","Emotional Intelligence",0.1672,40,moderate,"Stress Absorption Capacity | Adversity Tolerance | Emotional Stability Under Pressure | Emotional Recovery Sustainability | Setback Recovery Strength"
MOTIVATION_MAPPING,"drive_signals","Motivational Intelligence",0.2065,40,moderate,"Resilient Effort Continuity | Persistent Goal Followthrough | Disciplined Motivation Consistency | High Commitment Execution | Mission Execution Intensity"
MOTIVATION_MAPPING,"motivational_resilience_signals","Motivational Intelligence",0.2019,40,moderate,"Resilience Against Hopelessness | Persistence After Failure | Adversity Driven Growth Motivation | Internal Drive Preservation | Motivational Resistance To Quitting"
MOTIVATION_MAPPING,"reward_dependency_signals","Motivational Intelligence",0.1939,40,moderate,"Intrinsic Motivation Deficiency | Reward Based Identity Validation | Intrinsic Drive Suppression | Motivational Instability Without Rewards | Motivational Drop After Reward Removal"
REFLECTIVE_DEVELOPMENT,"self_reflection_signals","Cognitive Intelligence",0.2031,40,moderate,"Meta Cognitive Self Monitoring | Reflective Cognitive Maturity | Self Perception Accuracy | Self Improvement Orientation | Self Assumption Questioning"
REFLECTIVE_DEVELOPMENT,"self_awareness_signals","Identity Intelligence",0.1592,40,moderate,"Self Growth Orientation | Self Meaning Construction | Self Identity Stability | Introspective Depth | Emotional Honesty Capacity"
REFLECTIVE_DEVELOPMENT,"personal_values_signals","Identity Intelligence",0.1557,40,moderate,"Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration"
PRODUCTIVITY_REFLECTION,"effort_stability_signals","Motivational Intelligence",0.1550,40,moderate,"Long Term Goal Persistence | Persistence Through Slow Progress | Consistency Under Low Motivation | Stable Work Ethic Pattern | Long Cycle Effort Endurance"
PRODUCTIVITY_REFLECTION,"self_regulation_signals","Executive Function Intelligence",0.1372,120,moderate,"Delayed Gratification Capacity | Execution Discipline | Self Directed Discipline | Self Regulated Goal Alignment | Procrastination Resistance"
PRODUCTIVITY_REFLECTION,"burnout_signals","Motivational Intelligence",0.1367,40,moderate,"Chronic Exhaustion Pattern | Emotional Fatigue Accumulation | Emotional Resilience Breakdown | Emotional Breakdown Risk | Burnout Triggered Hopelessness"
LIFESTYLE_ADJUSTMENT,"lifestyle_stability_signals","Wellbeing Intelligence",0.2048,40,moderate,"Holistic Lifestyle Synchronization | Sustainable Daily Rhythm | Sustainable High Performance Lifestyle | Recovery Routine Consistency | Work Rest Boundary Stability"
LIFESTYLE_ADJUSTMENT,"value_alignment_signals","Ethical & Integrity Intelligence",0.1594,40,moderate,"Integrity Under Temptation | Principled Value Integrity | Ultimate Value Alignment Integrity | Resilient Value Preservation | Anti Hypocrisy Integrity"
LIFESTYLE_ADJUSTMENT,"anxiety_signals","Emotional Intelligence",0.1146,40,moderate,"Panic Response Anxiety | Placement Stress Anxiety | Generalized Anxiety | Exam Anxiety | Future Outcome Anxiety"
PERSEVERANCE_COACHING,"persistence_behavior_signals","Behavioral Intelligence",0.1753,40,moderate,"Adversity Endurance Behavior | Long Horizon Execution | Persistence After Failure | High Effort Identity | Perseverance Compounding Behavior"
PERSEVERANCE_COACHING,"learning_consistency_signals","Learning Intelligence",0.1488,40,moderate,"Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning"
PERSEVERANCE_COACHING,"creative_persistence_signals","Creativity Intelligence",0.1354,40,moderate,"Ultimate Creative Persistence Resilience | Ultimate Transformational Creative Endurance | Civilization Scale Creative Persistence | Civilization Scale Problem Solving | Visionary Creative Endurance"
ASSESSMENT_INTELLIGENCE,"risk_assessment_signals","Decision Intelligence",0.1978,40,moderate,"Integrated Risk Ecosystem Reasoning | Strategic Stress Testing | Hidden Risk Detection | Strategic Blindspot Detection | Cascading Failure Awareness"
ASSESSMENT_INTELLIGENCE,"self_learning_signals","Learning Intelligence",0.1441,40,moderate,"Intrinsic Learning Motivation | Autonomous Skill Mastery | Lifelong Learning Orientation | Autonomous Mastery Orientation | Lifelong Autonomous Learning Identity"
ASSESSMENT_INTELLIGENCE,"academic_confidence_signals","Learning Intelligence",0.1418,40,moderate,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
INSTRUCTIONAL_QUALITY,"performance_drive_signals","Motivational Intelligence",0.1506,40,moderate,"Performance Resilience Drive | Elite Standard Alignment | Relentless Improvement Drive | Peak Performance Triggering | Long Term Performance Commitment"
INSTRUCTIONAL_QUALITY,"employability_gap_signals","Employability Intelligence",0.1096,40,moderate,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
INSTRUCTIONAL_QUALITY,"influence_sensitivity_signals","Social Intelligence",0.1039,40,moderate,"Peer Risk Behavior Alignment | Social Identity Fragmentation | Peer Comparison Instability | Fear Based Conformity | Emotional Validation Dependency"
ADAPTIVE_DIAGNOSTICS,"interview_readiness_signals","Employability Intelligence",0.1305,40,moderate,"High Stakes Interview Composure | Evaluation Pressure Resilience | Pressure Response Control | Interview Anxiety Regulation | Difficult Question Resilience"
ADAPTIVE_DIAGNOSTICS,"employability_gap_signals","Employability Intelligence",0.1175,40,moderate,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
LANGUAGE_DEVELOPMENT,"learning_drive_signals","Motivational Intelligence",0.1785,40,moderate,"Transformational Learning Orientation | Learning Persistence Drive | Mastery Oriented Learning | Lifelong Learning Commitment | Learning Energy Sustainability"
LANGUAGE_DEVELOPMENT,"comprehension_signals","Learning Intelligence",0.1742,40,moderate,"Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension"
LANGUAGE_DEVELOPMENT,"clarity_signals","Cognitive Intelligence",0.1403,40,moderate,"Stress-Induced Confusion | Disorganized Thinking | Cognitive Overload | Cognitive Confusion | Cognitive Fragmentation"
STUDENT_SUPPORT,"collaborative_resilience_signals","Collaboration Intelligence",0.1189,40,moderate,"Multidimensional Team Recovery | Multidimensional Collaborative Stability | Interdisciplinary Team Resilience | Future Mission Team Resilience | Transformational Team Resilience"
STUDENT_SUPPORT,"moral_courage_signals","Ethical & Integrity Intelligence",0.1145,40,moderate,"Principled Integrity Preservation | Anti Corruption Resistance | Honesty Despite Consequences | Ethical Whistleblower Readiness | Ethical Systems Challenge"
STAKEHOLDER_ALIGNMENT,"recovery_quality_signals","Wellbeing Intelligence",0.1745,40,moderate,"Holistic Recovery Integration | Multidimensional Recovery Balance | Peak Recovery Optimization | Long Term Wellbeing Sustainability | Sleep Quality Restoration"
STAKEHOLDER_ALIGNMENT,"communication_for_employability_signals","Employability Intelligence",0.1726,40,moderate,"Transformational Workplace Communication | Concise Crisis Communication | Executive Presence Communication | Professional Articulation Clarity | Presentation Delivery Effectiveness"
STAKEHOLDER_ALIGNMENT,"networking_signals","Social Intelligence",0.1449,80,moderate,"Ecosystem Relationship Navigation | Opportunity Relationship Conversion | Strategic Connection Building | Trust Based Networking | Value Driven Networking"
INTERVENTION_INTELLIGENCE,"moral_courage_signals","Ethical & Integrity Intelligence",0.1125,40,moderate,"Principled Integrity Preservation | Anti Corruption Resistance | Honesty Despite Consequences | Ethical Whistleblower Readiness | Ethical Systems Challenge"
INTERVENTION_INTELLIGENCE,"recovery_quality_signals","Wellbeing Intelligence",0.1094,40,moderate,"Holistic Recovery Integration | Multidimensional Recovery Balance | Peak Recovery Optimization | Long Term Wellbeing Sustainability | Sleep Quality Restoration"
