component_index,size,dominant_type,type_breakdown
187,1,competency,competency:1
188,1,competency,competency:1
189,1,competency,competency:1
190,1,competency,competency:1
191,1,competency,competency:1
192,1,competency,competency:1
193,1,competency,competency:1
194,1,competency,competency:1
195,1,competency,competency:1
196,1,competency,competency:1
197,1,competency,competency:1
198,1,competency,competency:1
199,1,competency,competency:1
200,1,competency,competency:1
201,1,competency,competency:1
202,1,competency,competency:1
203,1,competency,competency:1
204,1,competency,competency:1
205,1,competency,competency:1
206,1,competency,competency:1
207,1,competency,competency:1
208,1,competency,competency:1
209,1,competency,competency:1
210,1,competency,competency:1
211,1,competency,competency:1
212,1,competency,competency:1
213,1,competency,competency:1
214,1,competency,competency:1
215,1,competency,competency:1
216,1,competency,competency:1
217,1,competency,competency:1
218,1,competency,competency:1
219,1,competency,competency:1
220,1,competency,competency:1
221,1,competency,competency:1
222,1,competency,competency:1
223,1,competency,competency:1
224,1,competency,competency:1
225,1,competency,competency:1
226,1,competency,competency:1
227,1,competency,competency:1
228,1,competency,competency:1
229,1,competency,competency:1
230,1,competency,competency:1
231,1,competency,competency:1
232,1,competency,competency:1
233,1,competency,competency:1
234,1,competency,competency:1
235,1,competency,competency:1
236,1,competency,competency:1
237,1,competency,competency:1
238,1,competency,competency:1
239,1,competency,competency:1
240,1,competency,competency:1
241,1,competency,competency:1
242,1,competency,competency:1
243,1,competency,competency:1
244,1,competency,competency:1
245,1,competency,competency:1
246,1,competency,competency:1
247,1,competency,competency:1
248,1,competency,competency:1
249,1,competency,competency:1
250,1,competency,competency:1
251,1,competency,competency:1
252,1,competency,competency:1
253,1,competency,competency:1
254,1,competency,competency:1
255,1,competency,competency:1
256,1,competency,competency:1
257,1,competency,competency:1
258,1,competency,competency:1
259,1,competency,competency:1
260,1,competency,competency:1
261,1,competency,competency:1
262,1,competency,competency:1
263,1,competency,competency:1
264,1,competency,competency:1
265,1,competency,competency:1
266,1,competency,competency:1
267,1,competency,competency:1
268,1,competency,competency:1
269,1,competency,competency:1
270,1,competency,competency:1
271,1,competency,competency:1
272,1,competency,competency:1
273,1,competency,competency:1
274,1,competency,competency:1
275,1,competency,competency:1
276,1,competency,competency:1
277,1,competency,competency:1
278,1,competency,competency:1
279,1,competency,competency:1
280,1,competency,competency:1
281,1,competency,competency:1
282,1,competency,competency:1
283,1,competency,competency:1
284,1,competency,competency:1
285,1,competency,competency:1
286,1,competency,competency:1
287,1,competency,competency:1
288,1,competency,competency:1
289,1,competency,competency:1
290,1,competency,competency:1
291,1,competency,competency:1
292,1,competency,competency:1
293,1,competency,competency:1
294,1,competency,competency:1
295,1,competency,competency:1
296,1,competency,competency:1
297,1,competency,competency:1
298,1,competency,competency:1
299,1,competency,competency:1
300,1,competency,competency:1
301,1,competency,competency:1
302,1,competency,competency:1
303,1,competency,competency:1
304,1,competency,competency:1
305,1,competency,competency:1
306,1,competency,competency:1
307,1,competency,competency:1
308,1,competency,competency:1
309,1,competency,competency:1
310,1,competency,competency:1
311,1,competency,competency:1
312,1,competency,competency:1
313,1,competency,competency:1
314,1,competency,competency:1
315,1,competency,competency:1
316,1,competency,competency:1
317,1,competency,competency:1
318,1,competency,competency:1
319,1,competency,competency:1
320,1,competency,competency:1
321,1,competency,competency:1
322,1,competency,competency:1
323,1,competency,competency:1
324,1,competency,competency:1
325,1,competency,competency:1
326,1,competency,competency:1
327,1,competency,competency:1
328,1,competency,competency:1
329,1,competency,competency:1
330,1,competency,competency:1
331,1,competency,competency:1
332,1,competency,competency:1
333,1,competency,competency:1
334,1,competency,competency:1
335,1,competency,competency:1
336,1,competency,competency:1
337,1,competency,competency:1
338,1,competency,competency:1
339,1,competency,competency:1
340,1,competency,competency:1
