concern_id,concern_name,canonical_type,canonical_entity,confidence_score,reasoning
CONCERN_ACA_1348,concentration during classes,Problem,Concentration During Classes,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1351,conceptual clarity in STEM subjects,Capability,Conceptual Clarity in STEM Subjects,0.75,"capability cue ""clarity"""
CONCERN_ACA_1357,Overdependence on tuition centers,Problem,Overdependence on Tuition Centers,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1366,Digital addiction reducing study efficiency,Problem,Digital Addiction Reducing Study Efficiency,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_137,Negative Self-Talk During Preparation,Problem,Negative Self-Talk During Preparation,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1376,Fear of failure leading to academic avoidance,Outcome,Fear of Failure Leading to Academic Avoidance,0.85,"outcome cue ""failure"""
CONCERN_ACA_1377,career clarity after Class 10/12,Capability,Career Clarity After Class 10/12,0.75,"capability cue ""clarity"""
CONCERN_ACA_1439,Excessive procrastination before exams,Behavior,Excessive Procrastination Before Exams,0.8,"behavior cue ""procrastination"""
CONCERN_ACA_146,Focus During Long Revision Sessions,Problem,Focus During Long Revision Sessions,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_147,Emotional Dependence on Daily Scores,Trait,Emotional Dependence on Daily Scores,0.8,"trait cue ""dependence"""
CONCERN_ACA_152,Eliminating Wrong Options,Problem,Eliminating Wrong Options,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1572,visualizing future self and goals,Problem,Visualizing Future Self And Goals,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1581,prioritize among multiple interests,Capability,Prioritize Among Multiple Interests,0.7,"leading action verb ""prioritize"" → capability"
CONCERN_ACA_1598,awareness of personal stress responses,Problem,Awareness of Personal Stress Responses,0.78,"problem cue ""stress"""
CONCERN_ACA_16,Interview Preparation Discipline,Capability,Interview Preparation Discipline,0.85,"name head ""discipline"" → Capability"
CONCERN_ACA_1616,Absence of structured self-reflection habits,Problem,Absence of Structured Self-reflection Habits,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1627,setting realistic personal goals,Problem,Setting Realistic Personal Goals,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1648,Concentration During Studies,Problem,Concentration During Studies,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1649,Understanding Concepts,Capability,Understanding Concepts,0.75,"capability cue ""understanding"""
CONCERN_ACA_1650,Problem-Solving Skills,Capability,Problem-Solving Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1651,Analytical Thinking,Capability,Analytical Thinking,0.85,"name head ""thinking"" → Capability"
CONCERN_ACA_1657,Writing Skills,Capability,Writing Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1663,Memory Retention,Problem,Memory Retention,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1664,Revising Effectively,Problem,Revising Effectively,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1685,Attention During Long Classes,Problem,Attention During Long Classes,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1686,Taking Notes Efficiently,Problem,Taking Notes Efficiently,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1687,Initiative in Learning,Problem,Initiative in Learning,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1697,Attention in Tuition Classes,Problem,Attention in Tuition Classes,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1698,Mathematical Reasoning,Capability,Mathematical Reasoning,0.85,"name head ""reasoning"" → Capability"
CONCERN_ACA_1699,Understanding Science Concepts,Capability,Understanding Science Concepts,0.75,"capability cue ""understanding"""
CONCERN_ACA_1700,Vocabulary Development,Problem,Vocabulary Development,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1705,Following Complex Instructions,Problem,Following Complex Instructions,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1707,Tracking Academic Progress,Problem,Tracking Academic Progress,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1708,Maintain Revision Schedules,Capability,Maintain Revision Schedules,0.7,"leading action verb ""maintain"" → capability"
CONCERN_ACA_1716,Revising Large Syllabus,Problem,Revising Large Syllabus,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1721,Interpretation Skills,Capability,Interpretation Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1722,Linking Concepts Across Subjects,Problem,Linking Concepts Across Subjects,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1726,Numerical Fluency,Capability,Numerical Fluency,0.85,"name head ""fluency"" → Capability"
CONCERN_ACA_1727,Solving Word Problems,Capability,Solving Word Problems,0.7,"leading action verb ""solving"" → capability"
CONCERN_ACA_1728,Scientific Observation Skills,Capability,Scientific Observation Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1731,Academic Pressure,Problem,Academic Pressure,0.85,"name head ""pressure"" → Problem"
CONCERN_ACA_1734,Fear of Failure,Outcome,Fear of Failure,0.85,"outcome cue ""failure"""
CONCERN_ACA_1737,Sleep Disruption,Problem,Sleep Disruption,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_175,Building Confidence in Personal Preparation Style,Capability,Building Confidence in Personal Preparation Style,0.75,"capability cue ""confidence"""
CONCERN_ACA_1761,Homework Avoidance,Behavior,Homework Avoidance,0.85,"name head ""avoidance"" → Behavior"
CONCERN_ACA_1763,Exam Panic Attacks,Problem,Exam Panic Attacks,0.78,"problem cue ""panic"""
CONCERN_ACA_1767,Dependence on AI Tools,Trait,Dependence on AI Tools,0.8,"trait cue ""dependence"""
CONCERN_ACA_1768,Problem-Solving Skills,Capability,Problem-Solving Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1793,Refusal to Attend School,Problem,Refusal to Attend School,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1822,Identity Confusion,Problem,Identity Confusion,0.85,"name head ""confusion"" → Problem"
CONCERN_ACA_1823,Fear of the Future,Problem,Fear of The Future,0.78,"problem cue ""fear"""
CONCERN_ACA_1834,Child Following Influencer Culture Blindly,Problem,Child Following Influencer Culture Blindly,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1836,Financial Awareness,Capability,Financial Awareness,0.85,"name head ""awareness"" → Capability"
CONCERN_ACA_1859,Academic Dishonesty,Problem,Academic Dishonesty,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1862,Excessive Dependence on Coaching Centers,Trait,Excessive Dependence on Coaching Centers,0.8,"trait cue ""dependence"""
CONCERN_ACA_1863,Fear of Asking Doubts in Class,Problem,Fear of Asking Doubts in Class,0.78,"problem cue ""fear"""
CONCERN_ACA_1866,Fear of Stage Performances,Problem,Fear of Stage Performances,0.78,"problem cue ""fear"""
CONCERN_ACA_1869,Child Pretending to Study,Problem,Child Pretending to Study,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_188,Emotional Separation Between Identity and Results,Problem,Emotional Separation Between Identity And Results,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1886,Child Forgetting Instructions Quickly,Problem,Child Forgetting Instructions Quickly,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1887,Child Unable to Stay Without Internet,Problem,Child Unable to Stay Without Internet,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_1897,Child Avoiding Responsibility for Mistakes,Problem,Child Avoiding Responsibility For Mistakes,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1906,Child Becoming Hyper-Reactive to Feedback,Problem,Child Becoming Hyper-Reactive to Feedback,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_191,Confidence During Slow Progress,Capability,Confidence During Slow Progress,0.75,"capability cue ""confidence"""
CONCERN_ACA_1911,Child Feeling Mentally Exhausted After School,Problem,Child Feeling Mentally Exhausted After School,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1913,Child Losing Interest in Long-Term Goals,Problem,Child Losing Interest in Long-Term Goals,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1925,Child Unable to Focus Without Background Stimulation,Problem,Child Unable to Focus Without Background Stimulation,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_1926,Child Becoming Emotionally Detached During Conversations,Problem,Child Becoming Emotionally Detached During Conversations,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1931,Academic Focus,Problem,Academic Focus,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1932,Conceptual Understanding,Capability,Conceptual Understanding,0.85,"name head ""understanding"" → Capability"
CONCERN_ACA_1937,Retention Ability,Problem,Retention Ability,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1938,Following Instructions,Problem,Following Instructions,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1939,Communication Skills,Capability,Communication Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1948,Vocabulary Development,Problem,Vocabulary Development,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1951,Logical Thinking,Capability,Logical Thinking,0.85,"name head ""thinking"" → Capability"
CONCERN_ACA_1953,Writing Skills,Capability,Writing Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1959,Independent Thinking,Capability,Independent Thinking,0.85,"name head ""thinking"" → Capability"
CONCERN_ACA_1967,Leadership Potential,Capability,Leadership Potential,0.75,"capability cue ""leadership"""
CONCERN_ACA_1973,Note-Making Skills,Capability,Note-Making Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1974,Academic Ownership,Capability,Academic Ownership,0.85,"name head ""ownership"" → Capability"
CONCERN_ACA_1978,Transitioning Between Subjects,Problem,Transitioning Between Subjects,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1982,Breaking Down Complex Problems,Problem,Breaking Down Complex Problems,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_1989,Subject Prioritization Skills,Capability,Subject Prioritization Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_1995,Organizing Study Materials,Capability,Organizing Study Materials,0.7,"leading action verb ""organizing"" → capability"
CONCERN_ACA_1998,Accuracy Under Time Pressure,Problem,Accuracy Under Time Pressure,0.85,"name head ""pressure"" → Problem"
CONCERN_ACA_2006,Applying Classroom Learning in Tests,Capability,Applying Classroom Learning in Tests,0.7,"leading action verb ""applying"" → capability"
CONCERN_ACA_2014,Exam Writing Speed,Problem,Exam Writing Speed,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2016,Comparative Analysis Skills,Capability,Comparative Analysis Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_2021,Cognitive Accuracy During Stress,Problem,Cognitive Accuracy During Stress,0.85,"name head ""stress"" → Problem"
CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,Capability,Understanding Personal Strengths For Career Choice,0.75,"capability cue ""understanding"""
CONCERN_ACA_2031,Attention During Revision,Problem,Attention During Revision,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2033,Simultaneous Assignments,Problem,Simultaneous Assignments,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2035,Learning from Previous Mistakes,Problem,Learning From Previous Mistakes,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2045,Structuring Revision Priorities,Problem,Structuring Revision Priorities,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2051,Competing Academic Priorities,Problem,Competing Academic Priorities,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2058,Learning Adaptation Under Pressure,Problem,Learning Adaptation Under Pressure,0.85,"name head ""pressure"" → Problem"
CONCERN_ACA_2062,Self-Evaluation Skills,Capability,Self-Evaluation Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_2065,Remaining Calm During Viva/Orals,Problem,Remaining Calm During Viva/Orals,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2067,Understanding Examination Patterns,Capability,Understanding Examination Patterns,0.75,"capability cue ""understanding"""
CONCERN_ACA_207,Balancing Passion and Practicality in Career Choices,Capability,Balancing Passion And Practicality in Career Choices,0.7,"leading action verb ""balancing"" → capability"
CONCERN_ACA_2081,Attention to Detail in Assignments,Problem,Attention to Detail in Assignments,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2082,Transitioning from Rote to Conceptual Learning,Problem,Transitioning From Rote to Conceptual Learning,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,Capability,Supporting Students With Weak Problem-Solving Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_2129,Classroom Participation Imbalance,Problem,Classroom Participation Imbalance,0.85,"name head ""imbalance"" → Problem"
CONCERN_ACA_2132,Managing Students with Fear of Failure,Outcome,Managing Students With Fear of Failure,0.85,"outcome cue ""failure"""
CONCERN_ACA_2147,Building Collaborative Learning Culture,Capability,Building Collaborative Learning Culture,0.7,"leading action verb ""building"" → capability"
CONCERN_ACA_215,Exploring Careers Beyond Peer Influence,Problem,Exploring Careers Beyond Peer Influence,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2156,Students with Poor Revision Habits,Problem,Students With Poor Revision Habits,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2160,Building Inquiry-Based Learning Culture,Capability,Building Inquiry-Based Learning Culture,0.7,"leading action verb ""building"" → capability"
CONCERN_ACA_2178,Managing Students Who Memorize Without Understanding,Capability,Managing Students Who Memorize Without Understanding,0.85,"name head ""understanding"" → Capability"
CONCERN_ACA_2185,Supporting Students with Weak Sequential Thinking,Capability,Supporting Students With Weak Sequential Thinking,0.85,"name head ""thinking"" → Capability"
CONCERN_ACA_2192,Supporting Students with Weak Logical Reasoning,Capability,Supporting Students With Weak Logical Reasoning,0.85,"name head ""reasoning"" → Capability"
CONCERN_ACA_2199,Helping Students Organize Academic Priorities,Problem,Helping Students Organize Academic Priorities,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2202,Handling Students with Weak Real-World Application Skills,Capability,Handling Students With Weak Real-World Application Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,Problem,Supporting Students With Weak Information Processing Speed,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2211,Students Who Avoid Clarifying Doubts,Problem,Students Who Avoid Clarifying Doubts,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2240,Handling Students with Weak Subject Prioritization During Exams,Capability,Handling Students With Weak Subject Prioritization During Exams,0.7,"leading action verb ""handling"" → capability"
CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,Problem,Students With Weak Performance Consistency Across Subjects,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2246,Handling Students with Weak Learning Confidence in New Topics,Capability,Handling Students With Weak Learning Confidence in New Topics,0.75,"capability cue ""confidence"""
CONCERN_ACA_2271,Supporting Students with Weak Error Analysis Skills,Capability,Supporting Students With Weak Error Analysis Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_2293,Students with Weak Peer Interaction Skills,Capability,Students With Weak Peer Interaction Skills,0.85,"name head ""skills"" → Capability"
CONCERN_ACA_2298,Supporting Students with Weak Academic Communication in Group Activities,Capability,Supporting Students With Weak Academic Communication in Group Activities,0.75,"capability cue ""communication"""
CONCERN_ACA_2308,Child Unable to See Relevance of Subjects,Problem,Child Unable to See Relevance of Subjects,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2309,Sense of Control Over Own Learning,Problem,Sense of Control Over Own Learning,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_231,Career Uncertainty After Board Exams,Problem,Career Uncertainty After Board Exams,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2310,Wrong Subject Stream Alignment,Problem,Wrong Subject Stream Alignment,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2311,Adapting to Academic Changes,Capability,Adapting to Academic Changes,0.7,"leading action verb ""adapting"" → capability"
CONCERN_ACA_2324,Academic Recovery After Long Vacations,Problem,Academic Recovery After Long Vacations,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2325,Child Showing Reduced Curiosity Toward Learning,Trait,Child Showing Reduced Curiosity Toward Learning,0.8,"trait cue ""curiosity"""
CONCERN_ACA_2331,Child Unable to Handle Uncertainty About Future,Problem,Child Unable to Handle Uncertainty About Future,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2338,Conceptual Understanding Despite Repeated Teaching,Capability,Conceptual Understanding Despite Repeated Teaching,0.75,"capability cue ""understanding"""
CONCERN_ACA_2339,Retrieval of Previously Taught Concepts,Problem,Retrieval of Previously Taught Concepts,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_234,Entrepreneurial Career Paths,Problem,Entrepreneurial Career Paths,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2340,Students Struggling with Multi-Step Problem Solving,Problem,Students Struggling With Multi-Step Problem Solving,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2341,Inconsistent Cognitive Performance Across Subjects,Problem,Inconsistent Cognitive Performance Across Subjects,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2342,Learning Retention After Classroom Sessions,Problem,Learning Retention After Classroom Sessions,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2343,Adapting Students to Competency-Based Learning,Capability,Adapting Students to Competency-Based Learning,0.75,"capability cue ""competency"""
CONCERN_ACA_2344,Student Engagement During Long Lectures,Problem,Student Engagement During Long Lectures,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2345,Independent Learning Ability Among Students,Problem,Independent Learning Ability Among Students,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2346,Students Unable to Transfer Concepts Across Subjects,Problem,Students Unable to Transfer Concepts Across Subjects,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2347,Students Panicking During Examinations,Problem,Students Panicking During Examinations,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_242,Making Independent Career Decisions,Problem,Making Independent Career Decisions,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2423,Students Unable to Connect Learning with Future Goals,Problem,Students Unable to Connect Learning With Future Goals,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2424,Ownership of Long-Term Academic Direction,Capability,Ownership of Long-Term Academic Direction,0.75,"capability cue ""ownership"""
CONCERN_ACA_2425,Building Self-Driven Career Exploration,Capability,Building Self-Driven Career Exploration,0.7,"leading action verb ""building"" → capability"
CONCERN_ACA_2426,Students Feeling Academically Directionless Despite Performance,Problem,Students Feeling Academically Directionless Despite Performance,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2427,Choosing Academic Streams,Problem,Choosing Academic Streams,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2428,Students Following Peer-Driven Career Decisions,Problem,Students Following Peer-Driven Career Decisions,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2429,Long-Term Goal Commitment,Problem,Long-Term Goal Commitment,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2430,Balancing Passion and Practical Career Choices,Capability,Balancing Passion And Practical Career Choices,0.7,"leading action verb ""balancing"" → capability"
CONCERN_ACA_2431,Students Feeling Emotionally Detached from Learning,Problem,Students Feeling Emotionally Detached From Learning,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2432,Curiosity About Future Career Possibilities,Trait,Curiosity About Future Career Possibilities,0.8,"trait cue ""curiosity"""
CONCERN_ACA_2433,Students Feeling Trapped in Unwanted Academic Paths,Problem,Students Feeling Trapped in Unwanted Academic Paths,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2434,Reflection About Personal Strengths and Interests,Problem,Reflection About Personal Strengths And Interests,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2435,Developing Meaningful Academic Aspirations,Capability,Developing Meaningful Academic Aspirations,0.7,"leading action verb ""developing"" → capability"
CONCERN_ACA_2436,Students Losing Motivation Due to Lack of Purpose,Problem,Students Losing Motivation Due to Lack of Purpose,0.55,"negative polarity, no explicit cue"
CONCERN_ACA_2437,Alignment Between Academic Effort and Career Vision,Problem,Alignment Between Academic Effort And Career Vision,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2438,Students Unable to Handle Identity Pressure from Society,Problem,Students Unable to Handle Identity Pressure From Society,0.78,"problem cue ""pressure"""
CONCERN_ACA_2439,Decision-Making Confidence During Career Planning,Capability,Decision-Making Confidence During Career Planning,0.85,"name head ""planning"" → Capability"
CONCERN_ACA_2440,Transitioning from Academic Identity to Professional Identity,Problem,Transitioning From Academic Identity to Professional Identity,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2441,Students Showing Identity Crisis After Academic Failure,Outcome,Students Showing Identity Crisis After Academic Failure,0.85,"outcome cue ""failure"""
CONCERN_ACA_2442,Emotional Connection to Long-Term Goals,Problem,Emotional Connection to Long-Term Goals,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2443,Students Feeling Pressured to Meet Family Identity Expectations,Problem,Students Feeling Pressured to Meet Family Identity Expectations,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2444,Helping Students Build Independent Identity Thinking,Capability,Helping Students Build Independent Identity Thinking,0.85,"name head ""thinking"" → Capability"
CONCERN_ACA_2445,Students Avoiding Exploration Due to Fear of Failure,Outcome,Students Avoiding Exploration Due to Fear of Failure,0.85,"outcome cue ""failure"""
CONCERN_ACA_2446,Clarity About Personal Learning Preferences,Capability,Clarity About Personal Learning Preferences,0.75,"capability cue ""clarity"""
CONCERN_ACA_2447,Students Defining Self-Worth Entirely Through Marks,Problem,Students Defining Self-Worth Entirely Through Marks,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2448,Building Internal Motivation Beyond Rewards,Capability,Building Internal Motivation Beyond Rewards,0.7,"leading action verb ""building"" → capability"
CONCERN_ACA_2449,Students Feeling Lost During Post-Exam Transition Periods,Problem,Students Feeling Lost During Post-Exam Transition Periods,0.45,no semantic cue; defaulted to Problem
CONCERN_ACA_2450,Build Purpose-Oriented Academic Plans,Capability,Build Purpose-Oriented Academic Plans,0.7,"leading action verb ""build"" → capability"
CONCERN_ACA_2451,Sustaining Identity Stability Amid Academic Pressure,Problem,Sustaining Identity Stability Amid Academic Pressure,0.85,"name head ""pressure"" → Problem"
CONCERN_ACA_2452,Managing Students with Weak Confidence in Class Discussions,Capability,Managing Students With Weak Confidence in Class Discussions,0.75,"capability cue ""confidence"""
CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,Capability,Supporting Students With Weak Academic Organization During Exams,0.75,"capability cue ""organization"""
