kind,redundant,phrase_a,phrase_b,overlap,archetype_a,archetype_b,stakeholder_a,stakeholder_b
stakeholder,false,how do I find the right career direction?,how do I find the right career direction at work?,0.833,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,how to help my child find the right career direction,how do I find the right career direction at work?,0.625,career_professional_growth,career_professional_growth,parent,professional
stakeholder,false,what is trouble working in a team?,what causes trouble working in a team in children?,0.667,collaboration_teamwork,collaboration_teamwork,student,parent
stakeholder,false,what is trouble working in a team?,what does trouble working in a team look like?,0.667,collaboration_teamwork,collaboration_teamwork,student,counselor
stakeholder,false,what is trouble working in a team?,what is trouble working in a team at work?,0.8,collaboration_teamwork,collaboration_teamwork,student,professional
semantic,true,what is trouble working in a team?,what is trouble leading a team?,0.6,collaboration_teamwork,leadership_influence,student,student
semantic,true,what causes trouble working in a team in children?,what causes trouble leading a team in children?,0.714,collaboration_teamwork,leadership_influence,parent,parent
semantic,true,signs of trouble working in a team in students,signs of trouble leading a team in students,0.667,collaboration_teamwork,leadership_influence,teacher,teacher
semantic,true,what does trouble working in a team look like?,what does trouble leading a team look like?,0.714,collaboration_teamwork,leadership_influence,counselor,counselor
semantic,true,what is trouble working in a team at work?,what is trouble leading a team at work?,0.667,collaboration_teamwork,leadership_influence,professional,professional
stakeholder,false,why do I find it hard to work with others?,why do I find it hard to work with others at work?,1,collaboration_teamwork,collaboration_teamwork,student,professional
stakeholder,false,why does my child struggle to work in a group?,why does a student struggle to work in a group?,0.667,collaboration_teamwork,collaboration_teamwork,parent,teacher
stakeholder,false,why does my child struggle to work in a group?,why does a client struggle to work in a group?,0.667,collaboration_teamwork,collaboration_teamwork,parent,counselor
stakeholder,false,why does a student struggle to work in a group?,why does a client struggle to work in a group?,0.667,collaboration_teamwork,collaboration_teamwork,teacher,counselor
stakeholder,false,I feel frustrated and out of sync in a group,I am worried my child is frustrated and out of sync in a group,0.6,collaboration_teamwork,collaboration_teamwork,student,parent
stakeholder,false,I feel frustrated and out of sync in a group,my client feels frustrated and out of sync in a group,0.6,collaboration_teamwork,collaboration_teamwork,student,counselor
stakeholder,false,I feel frustrated and out of sync in a group,at work I feel frustrated and out of sync in a group,0.75,collaboration_teamwork,collaboration_teamwork,student,professional
stakeholder,false,how do I collaborate well in a team?,how to help my child collaborate well in a team,0.667,collaboration_teamwork,collaboration_teamwork,student,parent
stakeholder,false,how do I collaborate well in a team?,how do I collaborate well in a team at work?,0.8,collaboration_teamwork,collaboration_teamwork,student,professional
stakeholder,false,what is trouble expressing thoughts clearly?,what causes trouble expressing thoughts clearly in children?,0.714,communication_expression,communication_expression,student,parent
stakeholder,false,what is trouble expressing thoughts clearly?,what does trouble expressing thoughts clearly look like?,0.714,communication_expression,communication_expression,student,counselor
stakeholder,false,what is trouble expressing thoughts clearly?,what is trouble expressing thoughts clearly at work?,0.833,communication_expression,communication_expression,student,professional
stakeholder,false,what causes trouble expressing thoughts clearly in children?,what is trouble expressing thoughts clearly at work?,0.625,communication_expression,communication_expression,parent,professional
stakeholder,false,what does trouble expressing thoughts clearly look like?,what is trouble expressing thoughts clearly at work?,0.625,communication_expression,communication_expression,counselor,professional
stakeholder,false,why do I struggle to get my point across?,why do I struggle to get my point across at work?,0.75,communication_expression,communication_expression,student,professional
stakeholder,false,why does my child struggle to put thoughts into words?,why does a student struggle to put thoughts into words?,0.75,communication_expression,communication_expression,parent,teacher
stakeholder,false,why does my child struggle to put thoughts into words?,why does a client struggle to put thoughts into words?,0.75,communication_expression,communication_expression,parent,counselor
stakeholder,false,why does a student struggle to put thoughts into words?,why does a client struggle to put thoughts into words?,0.75,communication_expression,communication_expression,teacher,counselor
stakeholder,false,I feel frustrated and misunderstood when explaining things,I am worried my child is frustrated and misunderstood when explaining things,0.667,communication_expression,communication_expression,student,parent
stakeholder,false,I feel frustrated and misunderstood when explaining things,my client feels frustrated and misunderstood when explaining things,0.667,communication_expression,communication_expression,student,counselor
stakeholder,false,I feel frustrated and misunderstood when explaining things,at work I feel frustrated and misunderstood when explaining things,0.8,communication_expression,communication_expression,student,professional
stakeholder,false,how do I express thoughts clearly and be understood?,how to help my child express thoughts clearly and be understood,0.714,communication_expression,communication_expression,student,parent
stakeholder,false,how do I express thoughts clearly and be understood?,how do I express thoughts clearly and be understood at work?,0.833,communication_expression,communication_expression,student,professional
stakeholder,false,how to help my child express thoughts clearly and be understood,how do I express thoughts clearly and be understood at work?,0.625,communication_expression,communication_expression,parent,professional
stakeholder,false,what is low confidence and self-doubt?,what causes low confidence and self-doubt in children?,0.714,confidence_self_efficacy,confidence_self_efficacy,student,parent
stakeholder,false,what is low confidence and self-doubt?,what does low confidence and self-doubt look like?,0.714,confidence_self_efficacy,confidence_self_efficacy,student,counselor
stakeholder,false,what is low confidence and self-doubt?,what is low confidence and self-doubt at work?,0.833,confidence_self_efficacy,confidence_self_efficacy,student,professional
stakeholder,false,what causes low confidence and self-doubt in children?,what is low confidence and self-doubt at work?,0.625,confidence_self_efficacy,confidence_self_efficacy,parent,professional
stakeholder,false,what does low confidence and self-doubt look like?,what is low confidence and self-doubt at work?,0.625,confidence_self_efficacy,confidence_self_efficacy,counselor,professional
stakeholder,false,why do I doubt myself and second-guess everything?,why do I doubt myself and second-guess everything at work?,0.857,confidence_self_efficacy,confidence_self_efficacy,student,professional
stakeholder,false,why does my child doubt themselves and give up easily?,why does a student doubt themselves and give up easily?,0.714,confidence_self_efficacy,confidence_self_efficacy,parent,teacher
stakeholder,false,why does my child doubt themselves and give up easily?,why does a client doubt themselves and give up easily?,0.714,confidence_self_efficacy,confidence_self_efficacy,parent,counselor
stakeholder,false,why does a student doubt themselves and give up easily?,why does a client doubt themselves and give up easily?,0.714,confidence_self_efficacy,confidence_self_efficacy,teacher,counselor
stakeholder,false,I feel full of self-doubt and never good enough,I am worried my child is full of self-doubt and never good enough,0.75,confidence_self_efficacy,confidence_self_efficacy,student,parent
stakeholder,false,I feel full of self-doubt and never good enough,my student seems full of self-doubt and never good enough in class,0.667,confidence_self_efficacy,confidence_self_efficacy,student,teacher
stakeholder,false,I feel full of self-doubt and never good enough,my client feels full of self-doubt and never good enough,0.75,confidence_self_efficacy,confidence_self_efficacy,student,counselor
stakeholder,false,I feel full of self-doubt and never good enough,at work I feel full of self-doubt and never good enough,0.857,confidence_self_efficacy,confidence_self_efficacy,student,professional
stakeholder,false,I am worried my child is full of self-doubt and never good enough,my client feels full of self-doubt and never good enough,0.6,confidence_self_efficacy,confidence_self_efficacy,parent,counselor
stakeholder,false,I am worried my child is full of self-doubt and never good enough,at work I feel full of self-doubt and never good enough,0.667,confidence_self_efficacy,confidence_self_efficacy,parent,professional
stakeholder,false,my student seems full of self-doubt and never good enough in class,at work I feel full of self-doubt and never good enough,0.6,confidence_self_efficacy,confidence_self_efficacy,teacher,professional
stakeholder,false,my client feels full of self-doubt and never good enough,at work I feel full of self-doubt and never good enough,0.667,confidence_self_efficacy,confidence_self_efficacy,counselor,professional
stakeholder,false,how do I build real confidence and self-belief?,how to help my child build real confidence and self-belief,0.75,confidence_self_efficacy,confidence_self_efficacy,student,parent
stakeholder,false,how do I build real confidence and self-belief?,helping a student build real confidence and self-belief,0.625,confidence_self_efficacy,confidence_self_efficacy,student,teacher
stakeholder,false,how do I build real confidence and self-belief?,how do I build real confidence and self-belief at work?,0.857,confidence_self_efficacy,confidence_self_efficacy,student,professional
stakeholder,false,how to help my child build real confidence and self-belief,ways to help a client build real confidence and self-belief,0.6,confidence_self_efficacy,confidence_self_efficacy,parent,counselor
stakeholder,false,how to help my child build real confidence and self-belief,how do I build real confidence and self-belief at work?,0.667,confidence_self_efficacy,confidence_self_efficacy,parent,professional
semantic,true,how to build lasting confidence going forward,how to build lasting focus and attention going forward,0.625,confidence_self_efficacy,focus_attention,student,student
semantic,true,how to build lasting confidence as my career grows,how to build lasting focus and attention as my career grows,0.625,confidence_self_efficacy,focus_attention,professional,professional
stakeholder,false,what is trouble thinking things through?,what causes trouble thinking things through in children?,0.714,critical_reflective_thinking,critical_reflective_thinking,student,parent
stakeholder,false,what is trouble thinking things through?,what does trouble thinking things through look like?,0.714,critical_reflective_thinking,critical_reflective_thinking,student,counselor
stakeholder,false,what is trouble thinking things through?,what is trouble thinking things through at work?,0.833,critical_reflective_thinking,critical_reflective_thinking,student,professional
stakeholder,false,what causes trouble thinking things through in children?,what is trouble thinking things through at work?,0.625,critical_reflective_thinking,critical_reflective_thinking,parent,professional
stakeholder,false,what does trouble thinking things through look like?,what is trouble thinking things through at work?,0.625,critical_reflective_thinking,critical_reflective_thinking,counselor,professional
stakeholder,false,why do I jump to conclusions without thinking?,why does my child jump to conclusions without thinking it through?,0.714,critical_reflective_thinking,critical_reflective_thinking,student,parent
stakeholder,false,why do I jump to conclusions without thinking?,why does a student jump to conclusions without thinking it through?,0.714,critical_reflective_thinking,critical_reflective_thinking,student,teacher
stakeholder,false,why do I jump to conclusions without thinking?,why does a client jump to conclusions without thinking it through?,0.714,critical_reflective_thinking,critical_reflective_thinking,student,counselor
stakeholder,false,why do I jump to conclusions without thinking?,why do I jump to conclusions without thinking at work?,0.833,critical_reflective_thinking,critical_reflective_thinking,student,professional
stakeholder,false,why does my child jump to conclusions without thinking it through?,why does a student jump to conclusions without thinking it through?,0.75,critical_reflective_thinking,critical_reflective_thinking,parent,teacher
stakeholder,false,why does my child jump to conclusions without thinking it through?,why does a client jump to conclusions without thinking it through?,0.75,critical_reflective_thinking,critical_reflective_thinking,parent,counselor
stakeholder,false,why does my child jump to conclusions without thinking it through?,why do I jump to conclusions without thinking at work?,0.625,critical_reflective_thinking,critical_reflective_thinking,parent,professional
stakeholder,false,why does a student jump to conclusions without thinking it through?,why does a client jump to conclusions without thinking it through?,0.75,critical_reflective_thinking,critical_reflective_thinking,teacher,counselor
stakeholder,false,why does a student jump to conclusions without thinking it through?,why do I jump to conclusions without thinking at work?,0.625,critical_reflective_thinking,critical_reflective_thinking,teacher,professional
stakeholder,false,why does a client jump to conclusions without thinking it through?,why do I jump to conclusions without thinking at work?,0.625,critical_reflective_thinking,critical_reflective_thinking,counselor,professional
stakeholder,false,I feel stuck repeating the same mistakes,I am worried my child is stuck repeating the same mistakes,0.667,critical_reflective_thinking,critical_reflective_thinking,student,parent
stakeholder,false,I feel stuck repeating the same mistakes,my client feels stuck repeating the same mistakes,0.667,critical_reflective_thinking,critical_reflective_thinking,student,counselor
stakeholder,false,I feel stuck repeating the same mistakes,at work I feel stuck repeating the same mistakes,0.8,critical_reflective_thinking,critical_reflective_thinking,student,professional
stakeholder,false,how do I think clearly and question assumptions?,how to help my child think clearly and question assumptions,0.714,critical_reflective_thinking,critical_reflective_thinking,student,parent
stakeholder,false,how do I think clearly and question assumptions?,how do I think clearly and question assumptions at work?,0.833,critical_reflective_thinking,critical_reflective_thinking,student,professional
stakeholder,false,how to help my child think clearly and question assumptions,how do I think clearly and question assumptions at work?,0.625,critical_reflective_thinking,critical_reflective_thinking,parent,professional
stakeholder,false,how to think things through before deciding going forward,how to think things through before deciding as my career grows,0.6,critical_reflective_thinking,critical_reflective_thinking,student,professional
stakeholder,false,what is low curiosity and creativity?,what causes low curiosity and creativity in children?,0.667,curiosity_innovation,curiosity_innovation,student,parent
stakeholder,false,what is low curiosity and creativity?,what does low curiosity and creativity look like?,0.667,curiosity_innovation,curiosity_innovation,student,counselor
stakeholder,false,what is low curiosity and creativity?,what is low curiosity and creativity at work?,0.8,curiosity_innovation,curiosity_innovation,student,professional
stakeholder,false,why do I feel short on new ideas and curiosity?,why do I feel short on new ideas and curiosity at work?,0.833,curiosity_innovation,curiosity_innovation,student,professional
stakeholder,false,why does my child rarely explore or ask questions?,why does a student rarely explore or ask questions?,0.714,curiosity_innovation,curiosity_innovation,parent,teacher
stakeholder,false,why does my child rarely explore or ask questions?,why does a client rarely explore or ask questions?,0.714,curiosity_innovation,curiosity_innovation,parent,counselor
stakeholder,false,why does a student rarely explore or ask questions?,why does a client rarely explore or ask questions?,0.714,curiosity_innovation,curiosity_innovation,teacher,counselor
stakeholder,false,I feel creatively stuck and out of fresh ideas,I am worried my child is creatively stuck and out of fresh ideas,0.667,curiosity_innovation,curiosity_innovation,student,parent
stakeholder,false,I feel creatively stuck and out of fresh ideas,my client feels creatively stuck and out of fresh ideas,0.667,curiosity_innovation,curiosity_innovation,student,counselor
stakeholder,false,I feel creatively stuck and out of fresh ideas,at work I feel creatively stuck and out of fresh ideas,0.8,curiosity_innovation,curiosity_innovation,student,professional
stakeholder,false,how do I spark curiosity and creativity?,how to help my child spark curiosity and creativity,0.667,curiosity_innovation,curiosity_innovation,student,parent
stakeholder,false,how do I spark curiosity and creativity?,how do I spark curiosity and creativity at work?,0.8,curiosity_innovation,curiosity_innovation,student,professional
stakeholder,false,how to keep exploring and creating new ideas going forward,how to keep exploring and creating new ideas as my career grows,0.6,curiosity_innovation,curiosity_innovation,student,professional
stakeholder,false,what is trouble making decisions?,what causes trouble making decisions in children?,0.667,decision_judgment,decision_judgment,student,parent
stakeholder,false,what is trouble making decisions?,what does trouble making decisions look like?,0.667,decision_judgment,decision_judgment,student,counselor
stakeholder,false,what is trouble making decisions?,what is trouble making decisions at work?,0.8,decision_judgment,decision_judgment,student,professional
stakeholder,false,why do I keep changing my mind and regret choices?,why do I keep changing my mind and regret choices at work?,0.857,decision_judgment,decision_judgment,student,professional
stakeholder,false,why does my child can not decide and keep changing their mind?,why does a student can not decide and keep changing their mind?,0.714,decision_judgment,decision_judgment,parent,teacher
stakeholder,false,why does my child can not decide and keep changing their mind?,why does a client can not decide and keep changing their mind?,0.714,decision_judgment,decision_judgment,parent,counselor
stakeholder,false,why does a student can not decide and keep changing their mind?,why does a client can not decide and keep changing their mind?,0.714,decision_judgment,decision_judgment,teacher,counselor
stakeholder,false,I feel anxious and indecisive about every choice,I am worried my child is anxious and indecisive about every choice,0.667,decision_judgment,decision_judgment,student,parent
stakeholder,false,I feel anxious and indecisive about every choice,my client feels anxious and indecisive about every choice,0.667,decision_judgment,decision_judgment,student,counselor
stakeholder,false,I feel anxious and indecisive about every choice,at work I feel anxious and indecisive about every choice,0.8,decision_judgment,decision_judgment,student,professional
stakeholder,false,how do I make decisions without second-guessing?,how to help my child make decisions without second-guessing,0.75,decision_judgment,decision_judgment,student,parent
stakeholder,false,how do I make decisions without second-guessing?,helping a student make decisions without second-guessing,0.625,decision_judgment,decision_judgment,student,teacher
stakeholder,false,how do I make decisions without second-guessing?,how do I make decisions without second-guessing at work?,0.857,decision_judgment,decision_judgment,student,professional
stakeholder,false,how to help my child make decisions without second-guessing,ways to help a client make decisions without second-guessing,0.6,decision_judgment,decision_judgment,parent,counselor
stakeholder,false,how to help my child make decisions without second-guessing,how do I make decisions without second-guessing at work?,0.667,decision_judgment,decision_judgment,parent,professional
stakeholder,false,what is trouble controlling emotions?,what causes trouble controlling emotions in children?,0.667,emotional_regulation,emotional_regulation,student,parent
stakeholder,false,what is trouble controlling emotions?,what does trouble controlling emotions look like?,0.667,emotional_regulation,emotional_regulation,student,counselor
stakeholder,false,what is trouble controlling emotions?,what is trouble controlling emotions at work?,0.8,emotional_regulation,emotional_regulation,student,professional
stakeholder,false,why do I get overwhelmed and snap over small things?,why do I get overwhelmed and snap over small things at work?,0.857,emotional_regulation,emotional_regulation,student,professional
stakeholder,false,why does my child melt down over the smallest things?,why does a student melt down over the smallest things?,0.714,emotional_regulation,emotional_regulation,parent,teacher
stakeholder,false,why does my child melt down over the smallest things?,why does a client melt down over the smallest things?,0.714,emotional_regulation,emotional_regulation,parent,counselor
stakeholder,false,why does a student melt down over the smallest things?,why does a client melt down over the smallest things?,0.714,emotional_regulation,emotional_regulation,teacher,counselor
stakeholder,false,I feel overwhelmed and close to losing control,I am worried my child is overwhelmed and close to losing control,0.667,emotional_regulation,emotional_regulation,student,parent
stakeholder,false,I feel overwhelmed and close to losing control,my client feels overwhelmed and close to losing control,0.667,emotional_regulation,emotional_regulation,student,counselor
stakeholder,false,I feel overwhelmed and close to losing control,at work I feel overwhelmed and close to losing control,0.8,emotional_regulation,emotional_regulation,student,professional
stakeholder,false,how do I stay calm when overwhelmed?,how to help my child stay calm when overwhelmed,0.667,emotional_regulation,emotional_regulation,student,parent
stakeholder,false,how do I stay calm when overwhelmed?,how do I stay calm when overwhelmed at work?,0.8,emotional_regulation,emotional_regulation,student,professional
semantic,true,how to help my child stay calm when overwhelmed,how to help my child stay calm and focused in exams,0.625,emotional_regulation,performance_anxiety,parent,parent
semantic,true,ways to help a client stay calm when overwhelmed,ways to help a client stay calm and focused in exams,0.625,emotional_regulation,performance_anxiety,counselor,counselor
stakeholder,false,what is pressure to meet expectations?,what causes pressure to meet expectations in children?,0.667,expectations_pressure,expectations_pressure,student,parent
stakeholder,false,what is pressure to meet expectations?,what does pressure to meet expectations look like?,0.667,expectations_pressure,expectations_pressure,student,counselor
stakeholder,false,what is pressure to meet expectations?,what is pressure to meet expectations at work?,0.8,expectations_pressure,expectations_pressure,student,professional
stakeholder,false,why do I feel crushed by everyone’s expectations?,why do I feel crushed by everyone’s expectations at work?,0.8,expectations_pressure,expectations_pressure,student,professional
stakeholder,false,why does my child feel crushed by pressure to please everyone?,why does a student feel crushed by pressure to please everyone?,0.714,expectations_pressure,expectations_pressure,parent,teacher
stakeholder,false,why does my child feel crushed by pressure to please everyone?,why does a client feel crushed by pressure to please everyone?,0.714,expectations_pressure,expectations_pressure,parent,counselor
stakeholder,false,why does a student feel crushed by pressure to please everyone?,why does a client feel crushed by pressure to please everyone?,0.714,expectations_pressure,expectations_pressure,teacher,counselor
stakeholder,false,I feel exhausted from pressure to please everyone,I am worried my child is exhausted from pressure to please everyone,0.714,expectations_pressure,expectations_pressure,student,parent
stakeholder,false,I feel exhausted from pressure to please everyone,my student seems exhausted from pressure to please everyone in class,0.625,expectations_pressure,expectations_pressure,student,teacher
stakeholder,false,I feel exhausted from pressure to please everyone,my client feels exhausted from pressure to please everyone,0.714,expectations_pressure,expectations_pressure,student,counselor
stakeholder,false,I feel exhausted from pressure to please everyone,at work I feel exhausted from pressure to please everyone,0.833,expectations_pressure,expectations_pressure,student,professional
stakeholder,false,I am worried my child is exhausted from pressure to please everyone,at work I feel exhausted from pressure to please everyone,0.625,expectations_pressure,expectations_pressure,parent,professional
stakeholder,false,my client feels exhausted from pressure to please everyone,at work I feel exhausted from pressure to please everyone,0.625,expectations_pressure,expectations_pressure,counselor,professional
stakeholder,false,how do I handle pressure without burning out?,how to help my child handle pressure without burning out,0.714,expectations_pressure,expectations_pressure,student,parent
stakeholder,false,how do I handle pressure without burning out?,how do I handle pressure without burning out at work?,0.833,expectations_pressure,expectations_pressure,student,professional
stakeholder,false,how to help my child handle pressure without burning out,how do I handle pressure without burning out at work?,0.625,expectations_pressure,expectations_pressure,parent,professional
stakeholder,false,what is poor focus and concentration?,what causes poor focus and concentration in children?,0.667,focus_attention,focus_attention,student,parent
stakeholder,false,what is poor focus and concentration?,what does poor focus and concentration look like?,0.667,focus_attention,focus_attention,student,counselor
stakeholder,false,what is poor focus and concentration?,what is poor focus and concentration at work?,0.8,focus_attention,focus_attention,student,professional
stakeholder,false,why do I lose focus and get distracted easily?,why do I lose focus and get distracted easily at work?,0.833,focus_attention,focus_attention,student,professional
stakeholder,false,why does my child lose focus while studying?,why does a student lose focus while studying?,0.667,focus_attention,focus_attention,parent,teacher
stakeholder,false,why does my child lose focus while studying?,why does a client lose focus while studying?,0.667,focus_attention,focus_attention,parent,counselor
stakeholder,false,why does a student lose focus while studying?,why does a client lose focus while studying?,0.667,focus_attention,focus_attention,teacher,counselor
stakeholder,false,I feel scattered and unable to concentrate,I am worried my child is scattered and unable to concentrate,0.6,focus_attention,focus_attention,student,parent
stakeholder,false,I feel scattered and unable to concentrate,my client feels scattered and unable to concentrate,0.6,focus_attention,focus_attention,student,counselor
stakeholder,false,I feel scattered and unable to concentrate,at work I feel scattered and unable to concentrate,0.75,focus_attention,focus_attention,student,professional
stakeholder,false,how do I focus without getting distracted?,how to help my child focus without getting distracted,0.714,focus_attention,focus_attention,student,parent
stakeholder,false,how do I focus without getting distracted?,how do I focus without getting distracted at work?,0.833,focus_attention,focus_attention,student,professional
stakeholder,false,how to help my child focus without getting distracted,how do I focus without getting distracted at work?,0.625,focus_attention,focus_attention,parent,professional
stakeholder,false,what is feeling lost about identity?,what causes feeling lost about identity in children?,0.667,identity_self_awareness,identity_self_awareness,student,parent
stakeholder,false,what is feeling lost about identity?,what does feeling lost about identity look like?,0.667,identity_self_awareness,identity_self_awareness,student,counselor
stakeholder,false,what is feeling lost about identity?,what is feeling lost about identity at work?,0.8,identity_self_awareness,identity_self_awareness,student,professional
stakeholder,false,why do I feel lost about who I am?,why does my child seem lost about who they are?,0.6,identity_self_awareness,identity_self_awareness,student,parent
stakeholder,false,why do I feel lost about who I am?,why does a student seem lost about who they are?,0.6,identity_self_awareness,identity_self_awareness,student,teacher
stakeholder,false,why do I feel lost about who I am?,why does a client seem lost about who they are?,0.6,identity_self_awareness,identity_self_awareness,student,counselor
stakeholder,false,why do I feel lost about who I am?,why do I feel lost about who I am at work?,0.75,identity_self_awareness,identity_self_awareness,student,professional
stakeholder,false,why does my child seem lost about who they are?,why does a student seem lost about who they are?,0.667,identity_self_awareness,identity_self_awareness,parent,teacher
stakeholder,false,why does my child seem lost about who they are?,why does a client seem lost about who they are?,0.667,identity_self_awareness,identity_self_awareness,parent,counselor
