bridge_tag,concern_count,classification,rank,candidate_family,domain,family_signal_count,similarity,shared_tokens,example_signals,relationship_path
ACADEMIC_COGNITIVE,140,GREEN,1,"learning_processing_signals","Cognitive Intelligence",40,0.2932,"comprehension concept retention process cognitive conceptual","Applied Learning Effectiveness | Conceptual Processing Depth | Stable Comprehension Under Complexity | Continuous Learning Optimization | Processing Stability Under Pressure","ACADEMIC_COGNITIVE -> Cognitive Intelligence -> learning_processing_signals"
LEADERSHIP_OWNERSHIP,80,GREEN,3,"workplace_readiness_signals","Career Intelligence",80,0.2228,"workplace organizational readines professional adapt culture","Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness","LEADERSHIP_OWNERSHIP -> Career Intelligence -> workplace_readiness_signals"
EXAMINATION_READINESS,54,GREEN,1,"academic_confidence_signals","Learning Intelligence",40,0.2727,"exam academic assessment recall subject strategy","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence","EXAMINATION_READINESS -> Learning Intelligence -> academic_confidence_signals"
EXAMINATION_READINESS,54,GREEN,2,"adaptive_learning_signals","Learning Intelligence",40,0.2626,"difficulty exam revision strategy method allocation","Meta Learning Adaptability | Cognitive Flexibility Under Pressure | Adaptive Learning Evolution | Adaptive Exam Preparation | Cognitive Strategy Switching","EXAMINATION_READINESS -> Learning Intelligence -> adaptive_learning_signals"
EXAMINATION_READINESS,54,GREEN,3,"learning_consistency_signals","Learning Intelligence",40,0.2418,"revision exam dur subject continuou preparation","Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning","EXAMINATION_READINESS -> Learning Intelligence -> learning_consistency_signals"
EMOTIONAL_RECOVERY,52,GREEN,1,"career_resilience_signals","Career Intelligence",40,0.2811,"career after professional search setback rejection","Emotional Endurance Under Pressure | Long Term Career Commitment | Prolonged Search Endurance | Persistence Under Delayed Success | Resilient Skill Reinvestment","EMOTIONAL_RECOVERY -> Career Intelligence -> career_resilience_signals"
EMOTIONAL_RECOVERY,52,GREEN,2,"professional_confidence_signals","Career Intelligence",80,0.2757,"workplace career professional review organizational confidence","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence","EMOTIONAL_RECOVERY -> Career Intelligence -> professional_confidence_signals"
EMOTIONAL_RECOVERY,52,GREEN,3,"employability_signals","Career Intelligence",40,0.2609,"career workplace job professional search organizational","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","EMOTIONAL_RECOVERY -> Career Intelligence -> employability_signals"
COMPETENCY_DEVELOPMENT,52,GREEN,1,"practical_transition_signals","Career Intelligence",40,0.2933,"practical workplace career world real professional","Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness","COMPETENCY_DEVELOPMENT -> Career Intelligence -> practical_transition_signals"
COMPETENCY_DEVELOPMENT,52,GREEN,2,"employability_signals","Career Intelligence",40,0.2683,"industry career corporate practical workplace skill","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","COMPETENCY_DEVELOPMENT -> Career Intelligence -> employability_signals"
COMPETENCY_DEVELOPMENT,52,GREEN,3,"career_transition_signals","Employability Intelligence",40,0.2627,"industry career workplace corporate practical professional","Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition","COMPETENCY_DEVELOPMENT -> Employability Intelligence -> career_transition_signals"
EMPLOYABILITY,46,GREEN,1,"industry_alignment_signals","Employability Intelligence",60,0.3866,"industry relevance employer market employability workplace","Transformational Employability Alignment | Practical Skill Alignment | Real World Problem Alignment | Automation Resilience Alignment | Practical Experience Prioritization","EMPLOYABILITY -> Employability Intelligence -> industry_alignment_signals"
EMPLOYABILITY,46,GREEN,2,"employability_signals","Career Intelligence",40,0.3607,"industry career workplace professional employability job","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","EMPLOYABILITY -> Career Intelligence -> employability_signals"
EMPLOYABILITY,46,GREEN,3,"practical_exposure_signals","Employability Intelligence",40,0.3426,"workplace exposure practical industry professional employability","Holistic Workplace Readiness | Practical Professional Readiness | Project Execution Exposure | Practical Problem Solving Exposure | Professional Accountability Exposure","EMPLOYABILITY -> Employability Intelligence -> practical_exposure_signals"
HOLISTIC_DEVELOPMENT,46,GREEN,1,"professional_confidence_signals","Career Intelligence",80,0.3107,"career professional employability reinvention workplace organizational","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence","HOLISTIC_DEVELOPMENT -> Career Intelligence -> professional_confidence_signals"
HOLISTIC_DEVELOPMENT,46,GREEN,2,"career_transition_signals","Employability Intelligence",40,0.2744,"career employability workplace professional transition industry","Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition","HOLISTIC_DEVELOPMENT -> Employability Intelligence -> career_transition_signals"
HOLISTIC_DEVELOPMENT,46,GREEN,3,"employability_signals","Career Intelligence",40,0.2662,"career employability readines professional workplace industry","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","HOLISTIC_DEVELOPMENT -> Career Intelligence -> employability_signals"
WORKPLACE_ADAPTATION,46,GREEN,1,"workplace_readiness_signals","Career Intelligence",80,0.2989,"workplace adapt organizational corporate career professional","Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness","WORKPLACE_ADAPTATION -> Career Intelligence -> workplace_readiness_signals"
WORKPLACE_ADAPTATION,46,GREEN,2,"career_transition_signals","Employability Intelligence",40,0.2651,"workplace industry organizational corporate career work","Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition","WORKPLACE_ADAPTATION -> Employability Intelligence -> career_transition_signals"
WORKPLACE_ADAPTATION,46,GREEN,3,"employability_signals","Career Intelligence",40,0.2571,"workplace corporate industry organizational career understand","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","WORKPLACE_ADAPTATION -> Career Intelligence -> employability_signals"
COLLABORATION_OWNERSHIP,43,GREEN,1,"collaboration_for_workplace_signals","Employability Intelligence",40,0.3011,"workplace team collaboration functional collaborative morale","High Performance Team Integration | Reliability In Team Deadlines | Collaborative Resilience Under Pressure | Collaborative Dependability | Collaborative Task Ownership","COLLABORATION_OWNERSHIP -> Employability Intelligence -> collaboration_for_workplace_signals"
COLLABORATION_OWNERSHIP,43,GREEN,2,"practical_transition_signals","Career Intelligence",40,0.2661,"workplace practical organizational functional professional collaboration","Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness","COLLABORATION_OWNERSHIP -> Career Intelligence -> practical_transition_signals"
COLLABORATION_OWNERSHIP,43,GREEN,3,"practical_exposure_signals","Employability Intelligence",40,0.266,"workplace practical project functional organizational professional","Holistic Workplace Readiness | Practical Professional Readiness | Project Execution Exposure | Practical Problem Solving Exposure | Professional Accountability Exposure","COLLABORATION_OWNERSHIP -> Employability Intelligence -> practical_exposure_signals"
STRATEGIC_PREPARATION,35,GREEN,1,"industry_awareness_signals","Career Intelligence",40,0.2513,"industry understand market career enterprise metric","Employability Gap Awareness | Lifelong Learning Awareness | Skill Market Alignment | Professional Expectation Clarity | Technology Disruption Awareness","STRATEGIC_PREPARATION -> Career Intelligence -> industry_awareness_signals"
STRATEGIC_PREPARATION,35,GREEN,2,"employability_signals","Career Intelligence",40,0.2175,"industry understand career market fit organizational","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","STRATEGIC_PREPARATION -> Career Intelligence -> employability_signals"
STRATEGIC_PREPARATION,35,GREEN,3,"future_planning_signals","Career Intelligence",40,0.2148,"competency career preparation plann industry market","Long Term Learning Commitment | Delayed Gratification Orientation | Future Execution Discipline | Self Investment Orientation | Future Execution Alignment","STRATEGIC_PREPARATION -> Career Intelligence -> future_planning_signals"
CAREER_GROWTH,35,GREEN,1,"professional_confidence_signals","Career Intelligence",80,0.225,"career professional workplace handl organizational confidence","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence","CAREER_GROWTH -> Career Intelligence -> professional_confidence_signals"
CAREER_GROWTH,35,GREEN,2,"career_transition_signals","Employability Intelligence",40,0.2153,"career professional workplace reposition transition build","Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition","CAREER_GROWTH -> Employability Intelligence -> career_transition_signals"
CAREER_GROWTH,35,GREEN,3,"professional_identity_signals","Career Intelligence",80,0.2109,"career professional credibility workplace visibility anxiety","Integrated Professional Self Concept | Future Professional Self Coherence | Professional Ethics Identity | Employability Self Awareness | Strategic Career Positioning","CAREER_GROWTH -> Career Intelligence -> professional_identity_signals"
STRATEGIC_LEADERSHIP,33,GREEN,1,"strategic_thinking_signals","Cognitive Intelligence",80,0.2227,"think strategy vision organizational leadership market","Transformational Vision Engineering | Systems Level Thinking | Long Horizon Planning | Predictive Decision Modeling | Strategic Signal Detection","STRATEGIC_LEADERSHIP -> Cognitive Intelligence -> strategic_thinking_signals"
STRATEGIC_LEADERSHIP,33,GREEN,2,"adaptability_leadership_signals","Leadership Intelligence",40,0.201,"leadership change transition team strategy operational","Multidimensional Adaptability Synchronization | Ultimate Adaptability Leadership Intelligence | Adaptability Under Operational Pressure | Multidimensional Transition Execution | Ultimate Adaptability Synchronization Intelligence","STRATEGIC_LEADERSHIP -> Leadership Intelligence -> adaptability_leadership_signals"
STRATEGIC_LEADERSHIP,33,GREEN,3,"professional_confidence_signals","Career Intelligence",80,0.1876,"organizational innovation confidence functional executive leadership","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence","STRATEGIC_LEADERSHIP -> Career Intelligence -> professional_confidence_signals"
SELF_REFLECTION,32,GREEN,1,"reflective_learning_signals","Learning Intelligence",40,0.2416,"reflective reflection learn assessment analysi correction","Autonomous Reflective Growth | Reflective Self Awareness Depth | Lifelong Reflective Growth Orientation | Metacognitive Monitoring | Reflective Strategy Optimization","SELF_REFLECTION -> Learning Intelligence -> reflective_learning_signals"
SELF_REFLECTION,32,GREEN,2,"self_reflection_signals","Cognitive Intelligence",40,0.2385,"reflection reflective analysi monitor correction improvement","Meta Cognitive Self Monitoring | Reflective Cognitive Maturity | Self Perception Accuracy | Self Improvement Orientation | Self Assumption Questioning","SELF_REFLECTION -> Cognitive Intelligence -> self_reflection_signals"
SELF_REFLECTION,32,GREEN,3,"learning_resilience_signals","Learning Intelligence",40,0.2332,"academic exam learn correction ability reflective","Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength","SELF_REFLECTION -> Learning Intelligence -> learning_resilience_signals"
LEARNING_ADAPTABILITY,25,YELLOW,1,"academic_confidence_signals","Learning Intelligence",40,0.2131,"academic subject classroom learn advanc adaptability","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence","LEARNING_ADAPTABILITY -> Learning Intelligence -> academic_confidence_signals"
LEARNING_ADAPTABILITY,25,YELLOW,2,"adaptive_learning_signals","Learning Intelligence",40,0.193,"difficulty method learn dynamic transition adaptation","Meta Learning Adaptability | Cognitive Flexibility Under Pressure | Adaptive Learning Evolution | Adaptive Exam Preparation | Cognitive Strategy Switching","LEARNING_ADAPTABILITY -> Learning Intelligence -> adaptive_learning_signals"
LEARNING_ADAPTABILITY,25,YELLOW,3,"adaptability_behavior_signals","Behavioral Intelligence",40,0.1389,"adaptability transition handl agility adaptation learn","Adaptive Execution Under Complexity | Ambiguity Response Stability | Adaptive Stress Response | Behavioral Resilience Under Change | Behavior Under Resource Constraints","LEARNING_ADAPTABILITY -> Behavioral Intelligence -> adaptability_behavior_signals"
LEADERSHIP_READINESS,24,YELLOW,1,"professional_confidence_signals","Career Intelligence",80,0.2015,"organizational confidence executive leadership handl readines","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence","LEADERSHIP_READINESS -> Career Intelligence -> professional_confidence_signals"
LEADERSHIP_READINESS,24,YELLOW,2,"adaptability_leadership_signals","Leadership Intelligence",40,0.1669,"leadership transition agility team operational crisi","Multidimensional Adaptability Synchronization | Ultimate Adaptability Leadership Intelligence | Adaptability Under Operational Pressure | Multidimensional Transition Execution | Ultimate Adaptability Synchronization Intelligence","LEADERSHIP_READINESS -> Leadership Intelligence -> adaptability_leadership_signals"
LEADERSHIP_READINESS,24,YELLOW,3,"employability_gap_signals","Employability Intelligence",40,0.1619,"weak technical leadership readines handl agility","Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap","LEADERSHIP_READINESS -> Employability Intelligence -> employability_gap_signals"
CLASSROOM_ENGAGEMENT,16,YELLOW,1,"learning_engagement_signals","Learning Intelligence",40,0.2069,"classroom engagement ask interest participation learn","Resilient Learning Attention | Immersive Learning Focus | Self Initiated Learning Behavior | Cognitive Presence During Learning | Deep Topic Exploration","CLASSROOM_ENGAGEMENT -> Learning Intelligence -> learning_engagement_signals"
CLASSROOM_ENGAGEMENT,16,YELLOW,2,"engagement_signals","Behavioral Intelligence",40,0.1536,"classroom engagement participation attention learn","Intrinsic Motivation Activation | Deep Focus Involvement | Resilience Based Engagement | Persistence In Engagement | Mission Driven Involvement","CLASSROOM_ENGAGEMENT -> Behavioral Intelligence -> engagement_signals"
CLASSROOM_ENGAGEMENT,16,YELLOW,3,"participation_signals","Behavioral Intelligence",40,0.1444,"classroom participation engagement follow","Strategic Participation Alignment | Resilient Participation Behavior | Execution Phase Engagement | Intellectual Participation Drive | Brainstorming Activity Presence","CLASSROOM_ENGAGEMENT -> Behavioral Intelligence -> participation_signals"
STEM_LEARNING,16,GREEN,1,"academic_confidence_signals","Learning Intelligence",40,0.2627,"academic subject practical confidence curiosity assessment","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence","STEM_LEARNING -> Learning Intelligence -> academic_confidence_signals"
STEM_LEARNING,16,GREEN,2,"employability_gap_signals","Employability Intelligence",40,0.1716,"weak practical skill handl learn reason","Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap","STEM_LEARNING -> Employability Intelligence -> employability_gap_signals"
STEM_LEARNING,16,GREEN,3,"practical_learning_signals","Learning Intelligence",40,0.1663,"practical curiosity skill learn concept bas","Practical Innovation Execution | Experiential Mastery Acceleration | Real Time Problem Learning | Execution Based Mastery | Applied Concept Translation","STEM_LEARNING -> Learning Intelligence -> practical_learning_signals"
FOUNDATIONAL_LEARNING,15,GREEN,1,"conceptual_clarity_signals","Learning Intelligence",40,0.2979,"conceptual foundational understand concept deep clarity","Integrated Conceptual Mastery | Principle Based Learning | Deep Understanding Orientation | Higher Order Concept Reasoning | Foundational Concept Mastery","FOUNDATIONAL_LEARNING -> Learning Intelligence -> conceptual_clarity_signals"
FOUNDATIONAL_LEARNING,15,GREEN,2,"comprehension_signals","Learning Intelligence",40,0.2536,"understand conceptual concept subject depth deep","Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension","FOUNDATIONAL_LEARNING -> Learning Intelligence -> comprehension_signals"
FOUNDATIONAL_LEARNING,15,GREEN,3,"mastery_signals","Learning Intelligence",20,0.208,"conceptual understand deep knowledge depth learn","Conceptual Mastery Depth | Advanced Problem Mastery | First Principles Learning | Expertise Development Drive | Conceptual Application Ability","FOUNDATIONAL_LEARNING -> Learning Intelligence -> mastery_signals"
CAREER_TRANSITION,10,GREEN,1,"employability_signals","Career Intelligence",40,0.236,"career job market position ability skill","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","CAREER_TRANSITION -> Career Intelligence -> employability_signals"
CAREER_TRANSITION,10,GREEN,2,"career_transition_signals","Employability Intelligence",40,0.1952,"career job reposition transition build skill","Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition","CAREER_TRANSITION -> Employability Intelligence -> career_transition_signals"
CAREER_TRANSITION,10,GREEN,3,"future_planning_signals","Career Intelligence",40,0.1896,"career reposition experience market build skill","Long Term Learning Commitment | Delayed Gratification Orientation | Future Execution Discipline | Self Investment Orientation | Future Execution Alignment","CAREER_TRANSITION -> Career Intelligence -> future_planning_signals"
WORKPLACE_PERFORMANCE,9,GREEN,1,"workplace_readiness_signals","Career Intelligence",80,0.2613,"workplace adapt organizational multitask work workflow","Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness","WORKPLACE_PERFORMANCE -> Career Intelligence -> workplace_readiness_signals"
WORKPLACE_PERFORMANCE,9,GREEN,2,"workplace_adaptability_signals","Employability Intelligence",40,0.2026,"workplace work workflow organizational environment process","Transformational Workplace Adaptability | Crisis Workflow Adaptability | Pressure Environment Functionality | Strategic Adaptability Behavior | Adaptive Learning Orientation","WORKPLACE_PERFORMANCE -> Employability Intelligence -> workplace_adaptability_signals"
WORKPLACE_PERFORMANCE,9,GREEN,3,"career_transition_signals","Employability Intelligence",40,0.1967,"workplace industry work organizational environment expectation","Transformational Career Adaptation | Practical Skill Translation | Industry Transition Readiness | Learning To Execution Transition | Professional Problem Solving Transition","WORKPLACE_PERFORMANCE -> Employability Intelligence -> career_transition_signals"
COMPETITIVE_EXAM,8,GREEN,1,"academic_confidence_signals","Learning Intelligence",40,0.3257,"academic exam competitive confidence competition readines","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence","COMPETITIVE_EXAM -> Learning Intelligence -> academic_confidence_signals"
COMPETITIVE_EXAM,8,GREEN,2,"competitive_participation_signals","Performance Intelligence",40,0.2609,"competitive competition performance readines confidence self","High Pressure Participation Resilience | Elite Visibility Pursuit | Competitive Pressure Stability | Competitive Visibility Stamina | Competitive Risk Engagement","COMPETITIVE_EXAM -> Performance Intelligence -> competitive_participation_signals"
COMPETITIVE_EXAM,8,GREEN,3,"confidence_signals","Emotional Intelligence",40,0.2026,"competitive confidence academic handl self","Self-Worth Confidence | Career Confidence | Interview Confidence | Academic Confidence | Competitive Confidence","COMPETITIVE_EXAM -> Emotional Intelligence -> confidence_signals"
ADAPTIVE_LEARNING,8,GREEN,1,"workplace_readiness_signals","Career Intelligence",80,0.2257,"adapt workplace career agility adaptability learn","Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness","ADAPTIVE_LEARNING -> Career Intelligence -> workplace_readiness_signals"
ADAPTIVE_LEARNING,8,GREEN,2,"employability_gap_signals","Employability Intelligence",40,0.1881,"weak workplace career adaptability agility learn","Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap","ADAPTIVE_LEARNING -> Employability Intelligence -> employability_gap_signals"
ADAPTIVE_LEARNING,8,GREEN,3,"workplace_adaptability_signals","Employability Intelligence",40,0.1771,"workplace adaptability agility dynamic rapid learn","Transformational Workplace Adaptability | Crisis Workflow Adaptability | Pressure Environment Functionality | Strategic Adaptability Behavior | Adaptive Learning Orientation","ADAPTIVE_LEARNING -> Employability Intelligence -> workplace_adaptability_signals"
INTERDISCIPLINARY_LEARNING,8,YELLOW,1,"comprehension_signals","Learning Intelligence",40,0.2073,"concept subject understand conceptual learn","Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension","INTERDISCIPLINARY_LEARNING -> Learning Intelligence -> comprehension_signals"
INTERDISCIPLINARY_LEARNING,8,YELLOW,2,"conceptual_linking_signals","Creativity Intelligence",40,0.2031,"link concept conceptual interdisciplinary integration","Transformational Concept Synthesis | Disruptive Systemic Association | Civilization Scale Association Modeling | Ultimate Transformational Conceptual Intelligence | Transformational Association Modeling","INTERDISCIPLINARY_LEARNING -> Creativity Intelligence -> conceptual_linking_signals"
INTERDISCIPLINARY_LEARNING,8,YELLOW,3,"conceptual_clarity_signals","Learning Intelligence",40,0.1923,"concept conceptual understand transfer skill learn","Integrated Conceptual Mastery | Principle Based Learning | Deep Understanding Orientation | Higher Order Concept Reasoning | Foundational Concept Mastery","INTERDISCIPLINARY_LEARNING -> Learning Intelligence -> conceptual_clarity_signals"
EMPLOYABILITY_FUTURE,7,GREEN,1,"employability_gap_signals","Employability Intelligence",40,0.3097,"gap employability weak readines skill career","Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap","EMPLOYABILITY_FUTURE -> Employability Intelligence -> employability_gap_signals"
EMPLOYABILITY_FUTURE,7,GREEN,2,"employability_signals","Career Intelligence",40,0.2709,"career employability readines market skill visibility","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment","EMPLOYABILITY_FUTURE -> Career Intelligence -> employability_signals"
EMPLOYABILITY_FUTURE,7,GREEN,3,"industry_alignment_signals","Employability Intelligence",60,0.2511,"market employability trend skill career gap","Transformational Employability Alignment | Practical Skill Alignment | Real World Problem Alignment | Automation Resilience Alignment | Practical Experience Prioritization","EMPLOYABILITY_FUTURE -> Employability Intelligence -> industry_alignment_signals"
ACADEMIC_PERFORMANCE,6,GREEN,1,"academic_confidence_signals","Learning Intelligence",40,0.2459,"academic subject","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence","ACADEMIC_PERFORMANCE -> Learning Intelligence -> academic_confidence_signals"
ACADEMIC_PERFORMANCE,6,GREEN,2,"learning_resilience_signals","Learning Intelligence",40,0.1592,"academic progres endurance consistency","Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength","ACADEMIC_PERFORMANCE -> Learning Intelligence -> learning_resilience_signals"
ACADEMIC_PERFORMANCE,6,GREEN,3,"learning_consistency_signals","Learning Intelligence",40,0.1434,"subject progres track consistency endurance","Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning","ACADEMIC_PERFORMANCE -> Learning Intelligence -> learning_consistency_signals"
INQUIRY_CURIOSITY,5,GREEN,1,"curiosity_signals","Creativity Intelligence",40,0.2817,"inquiry curiosity creativity pattern learn","Multidimensional Exploration Processing | Multidimensional Curiosity Architecture | Disruptive Curiosity Drive | Interdisciplinary Curiosity Synthesis | Future Oriented Exploration","INQUIRY_CURIOSITY -> Creativity Intelligence -> curiosity_signals"
INQUIRY_CURIOSITY,5,GREEN,2,"curiosity_depth_signals","Creativity Intelligence",40,0.2781,"inquiry curiosity creativity pattern learn","Ultimate Curiosity Depth Resilience | Civilization Scale Inquiry Behavior | Ultimate Transformational Curiosity Resilience | Visionary Inquiry Behavior | Transformational Inquiry Behavior","INQUIRY_CURIOSITY -> Creativity Intelligence -> curiosity_depth_signals"
