rank,bridge_tag,concern_count,question_count,classification,best_family,best_domain,best_similarity,candidate_signal_count,impact_score,relationship_path,candidate_examples
19,COMPETITIVE_EXAM,8,75,GREEN,"academic_confidence_signals","Learning Intelligence",0.3257,120,2.606,"COMPETITIVE_EXAM -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
20,LEADERSHIP_READINESS,24,25,YELLOW,"professional_confidence_signals","Career Intelligence",0.2015,160,2.418,"LEADERSHIP_READINESS -> domain:Career Intelligence -> family:professional_confidence_signals -> 80 atomic signals","Professional Identity Resilience | Professional Mastery Confidence | Professional Self Belief | Professional Identity Confidence | Crisis Management Confidence | Executive Presence Confidence"
21,CAREER_TRANSITION,10,25,GREEN,"employability_signals","Career Intelligence",0.236,120,2.36,"CAREER_TRANSITION -> domain:Career Intelligence -> family:employability_signals -> 40 atomic signals","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment | Learning to Employability Conversion"
22,WORKPLACE_PERFORMANCE,9,25,GREEN,"workplace_readiness_signals","Career Intelligence",0.2613,160,2.352,"WORKPLACE_PERFORMANCE -> domain:Career Intelligence -> family:workplace_readiness_signals -> 80 atomic signals","Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness | Workplace Problem Solving Readiness"
23,EMPLOYABILITY_FUTURE,7,25,GREEN,"employability_gap_signals","Employability Intelligence",0.3097,140,2.168,"EMPLOYABILITY_FUTURE -> domain:Employability Intelligence -> family:employability_gap_signals -> 40 atomic signals","Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap | Problem Solving Gap"
24,ADAPTIVE_LEARNING,8,275,GREEN,"workplace_readiness_signals","Career Intelligence",0.2257,160,1.806,"ADAPTIVE_LEARNING -> domain:Career Intelligence -> family:workplace_readiness_signals -> 80 atomic signals","Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness | Workplace Problem Solving Readiness"
25,CLASSROOM_ENGAGEMENT,16,75,YELLOW,"learning_engagement_signals","Learning Intelligence",0.2069,120,1.655,"CLASSROOM_ENGAGEMENT -> domain:Learning Intelligence -> family:learning_engagement_signals -> 40 atomic signals","Resilient Learning Attention | Immersive Learning Focus | Self Initiated Learning Behavior | Cognitive Presence During Learning | Deep Topic Exploration | Immersion In Problem Solving"
26,ACADEMIC_PERFORMANCE,6,225,GREEN,"academic_confidence_signals","Learning Intelligence",0.2459,120,1.475,"ACADEMIC_PERFORMANCE -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
27,INQUIRY_CURIOSITY,5,50,GREEN,"curiosity_signals","Creativity Intelligence",0.2817,120,1.409,"INQUIRY_CURIOSITY -> domain:Creativity Intelligence -> family:curiosity_signals -> 40 atomic signals","Multidimensional Exploration Processing | Multidimensional Curiosity Architecture | Disruptive Curiosity Drive | Interdisciplinary Curiosity Synthesis | Future Oriented Exploration | Transformational System Curiosity"
28,CAREER_IDENTITY,4,75,GREEN,"career_clarity_signals","Career Intelligence",0.3354,100,1.342,"CAREER_IDENTITY -> domain:Career Intelligence -> family:career_clarity_signals -> 20 atomic signals","Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty | Opportunity Overwhelm"
29,OVER_COMPLIANCE,4,25,GREEN,"emotional_suppression_signals","Emotional Intelligence",0.3307,120,1.323,"OVER_COMPLIANCE -> domain:Emotional Intelligence -> family:emotional_suppression_signals -> 40 atomic signals","Hidden Hopelessness | Concealed Emotional Overload | Silent Distress | Concealed Burnout | Emotional Shutdown Response | Emotional Bottling"
30,ACADEMIC_RISK,4,100,GREEN,"academic_confidence_signals","Learning Intelligence",0.273,120,1.092,"ACADEMIC_RISK -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
31,TRANSITION_CHANGE,4,0,GREEN,"learning_resilience_signals","Learning Intelligence",0.2296,120,0.918,"TRANSITION_CHANGE -> domain:Learning Intelligence -> family:learning_resilience_signals -> 40 atomic signals","Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength | Resilience Under Academic Pressure"
32,INTERDISCIPLINARY_LEARNING,8,60,YELLOW,"comprehension_signals","Learning Intelligence",0.2073,120,0.829,"INTERDISCIPLINARY_LEARNING -> domain:Learning Intelligence -> family:comprehension_signals -> 40 atomic signals","Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension | Nonlinear Concept Understanding"
33,ACADEMIC_PLANNING,3,50,GREEN,"academic_confidence_signals","Learning Intelligence",0.2657,120,0.797,"ACADEMIC_PLANNING -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
34,FACULTY_SUSTAINABILITY,3,40,GREEN,"fatigue_signals","Wellbeing Intelligence",0.2305,100,0.692,"FACULTY_SUSTAINABILITY -> domain:Wellbeing Intelligence -> family:fatigue_signals -> 20 atomic signals","Severe Energy Shutdown | Burnout Exhaustion Pattern | Chronic Recovery Failure | Emotional Energy Collapse | Physical Overload Breakdown | Exhaustion Based Detachment"
35,ANALYTICAL_DEVELOPMENT,3,50,GREEN,"analytical_decision_signals","Decision Intelligence",0.2288,120,0.686,"ANALYTICAL_DEVELOPMENT -> domain:Decision Intelligence -> family:analytical_decision_signals -> 40 atomic signals","Transformational Decision Architecture | Multi Variable Analysis | Predictive Impact Reasoning | Strategic Assumption Testing | Long Term Decision Projection | Probabilistic Decision Modeling"
36,EMOTIONAL_REFLECTION,3,70,GREEN,"self_awareness_signals","Identity Intelligence",0.223,160,0.669,"EMOTIONAL_REFLECTION -> domain:Identity Intelligence -> family:self_awareness_signals -> 40 atomic signals","Self Growth Orientation | Self Meaning Construction | Self Identity Stability | Introspective Depth | Emotional Honesty Capacity | Authenticity Alignment"
37,EMOTIONAL_DEVELOPMENT,3,80,GREEN,"dependency_behavior_signals","Behavioral Intelligence",0.2189,120,0.657,"EMOTIONAL_DEVELOPMENT -> domain:Behavioral Intelligence -> family:dependency_behavior_signals -> 40 atomic signals","Learned Helplessness Behavior | Fear Based Dependency | Approval Based Identity | Dependency Fueled Self Doubt | Dependency Reinforced Insecurity | Dependency Linked Execution Freeze"
38,CAREER_EXECUTION,2,25,GREEN,"career_execution_signals","Career Intelligence",0.3028,120,0.606,"CAREER_EXECUTION -> domain:Career Intelligence -> family:career_execution_signals -> 40 atomic signals","Execution Momentum Sustainability | Career Execution Resilience | Disciplined Career Execution | Goal Execution Alignment | Proactive Career Behavior | Career Preparation Persistence"
39,CAREER_RECOVERY,2,40,GREEN,"career_resilience_signals","Career Intelligence",0.2933,120,0.587,"CAREER_RECOVERY -> domain:Career Intelligence -> family:career_resilience_signals -> 40 atomic signals","Emotional Endurance Under Pressure | Long Term Career Commitment | Prolonged Search Endurance | Persistence Under Delayed Success | Resilient Skill Reinvestment | Persistence After Failure"
40,STUDENT_PSYCHOLOGY,2,40,GREEN,"peer_comparison_signals","Social Intelligence",0.2896,120,0.579,"STUDENT_PSYCHOLOGY -> domain:Social Intelligence -> family:peer_comparison_signals -> 40 atomic signals","Comparison Induced Burnout | Comparison Induced Emotional Shutdown | Comparison Based Identity Instability | Comparison Amplified Self Criticism | Comparison Driven Perfectionism | Comparison Triggered Anxiety"
41,LEADERSHIP_DEVELOPMENT,2,40,GREEN,"speaking_confidence_signals","Communication Intelligence",0.2892,120,0.578,"LEADERSHIP_DEVELOPMENT -> domain:Communication Intelligence -> family:speaking_confidence_signals -> 40 atomic signals","High Stakes Speaking Resilience | Leadership Speaking Confidence | Interview Speaking Confidence | Communication Presence Strength | Public Speaking Confidence | Fear Of Public Judgment"
42,STUDENT_WELLNESS,2,40,GREEN,"work_life_balance_signals","Wellbeing Intelligence",0.2791,120,0.558,"STUDENT_WELLNESS -> domain:Wellbeing Intelligence -> family:work_life_balance_signals -> 40 atomic signals","Holistic Balance Breakdown | Emotional Exhaustion Accumulation | Emotional Burnout Cycling | Burnout Normalization Behavior | Burnout Denial Behavior | Productivity Identity Dependence"
43,ACADEMIC_OPERATIONS,2,38,GREEN,"academic_confidence_signals","Learning Intelligence",0.2777,120,0.555,"ACADEMIC_OPERATIONS -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
44,SELF_LEARNING,2,50,GREEN,"self_learning_signals","Learning Intelligence",0.2706,120,0.541,"SELF_LEARNING -> domain:Learning Intelligence -> family:self_learning_signals -> 40 atomic signals","Intrinsic Learning Motivation | Autonomous Skill Mastery | Lifelong Learning Orientation | Autonomous Mastery Orientation | Lifelong Autonomous Learning Identity | Independent Research Behavior"
45,ACADEMIC_REFLECTION,2,25,GREEN,"academic_confidence_signals","Learning Intelligence",0.2674,120,0.535,"ACADEMIC_REFLECTION -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
46,CAREER_PLANNING,2,25,GREEN,"future_planning_signals","Career Intelligence",0.2646,160,0.529,"CAREER_PLANNING -> domain:Career Intelligence -> family:future_planning_signals -> 40 atomic signals","Long Term Learning Commitment | Delayed Gratification Orientation | Future Execution Discipline | Self Investment Orientation | Future Execution Alignment | Future Value Prioritization"
47,SELF_IDENTITY,2,40,GREEN,"individuality_signals","Identity Intelligence",0.2645,120,0.529,"SELF_IDENTITY -> domain:Identity Intelligence -> family:individuality_signals -> 40 atomic signals","Autonomous Life Direction | Self Authorship Tendency | Self Defined Success Metrics | Individuality Visibility Resilience | Personal Principle Stability | Independent Identity Stability"
48,LONG_TERM,2,275,GREEN,"academic_confidence_signals","Learning Intelligence",0.2613,120,0.523,"LONG_TERM -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
49,IDENTITY_FORMATION,2,40,GREEN,"personal_values_signals","Identity Intelligence",0.2562,120,0.512,"IDENTITY_FORMATION -> domain:Identity Intelligence -> family:personal_values_signals -> 40 atomic signals","Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration | Long Term Value Commitment"
50,FINANCIAL_READINESS,2,40,GREEN,"industry_awareness_signals","Career Intelligence",0.2411,120,0.482,"FINANCIAL_READINESS -> domain:Career Intelligence -> family:industry_awareness_signals -> 40 atomic signals","Employability Gap Awareness | Lifelong Learning Awareness | Skill Market Alignment | Professional Expectation Clarity | Technology Disruption Awareness | Digital Transformation Awareness"
51,LEARNING_REFLECTION,2,40,GREEN,"academic_confidence_signals","Learning Intelligence",0.2392,120,0.478,"LEARNING_REFLECTION -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
52,CAREER_PREPAREDNESS,2,25,GREEN,"employability_signals","Career Intelligence",0.2356,120,0.471,"CAREER_PREPAREDNESS -> domain:Career Intelligence -> family:employability_signals -> 40 atomic signals","Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment | Learning to Employability Conversion"
53,SELF_PERCEPTION,2,25,GREEN,"professional_competency_signals","Employability Intelligence",0.2313,120,0.463,"SELF_PERCEPTION -> domain:Employability Intelligence -> family:professional_competency_signals -> 40 atomic signals","Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery | Problem Solving Execution"
54,CAREER_BRANDING,2,36,GREEN,"direction_signals","Career Intelligence",0.23,140,0.46,"CAREER_BRANDING -> domain:Career Intelligence -> family:direction_signals -> 40 atomic signals","Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure | Low Professional Self Awareness"
55,EMPLOYABILITY_DEVELOPMENT,2,40,GREEN,"employability_motivation_signals","Employability Intelligence",0.2225,160,0.445,"EMPLOYABILITY_DEVELOPMENT -> domain:Employability Intelligence -> family:employability_motivation_signals -> 40 atomic signals","Transformational Career Ambition | Strategic Career Preparation | Long Term Employability Commitment | Strategic Upskilling Motivation | Skill Development Drive | Persistence After Rejection"
56,SELF_LEADERSHIP,2,35,GREEN,"approval_seeking_signals","Social Intelligence",0.221,120,0.442,"SELF_LEADERSHIP -> domain:Social Intelligence -> family:approval_seeking_signals -> 40 atomic signals","Fear Of Social Disapproval | Approval Reactive Emotionality | Emotional Dependence On Acceptance | Approval Sensitive Identity Shift | Rejection Sensitivity Dependence | Fear Of Disappointing Others"
57,CAREER_SUSTAINABILITY,2,40,GREEN,"career_execution_signals","Career Intelligence",0.2184,120,0.437,"CAREER_SUSTAINABILITY -> domain:Career Intelligence -> family:career_execution_signals -> 40 atomic signals","Execution Momentum Sustainability | Career Execution Resilience | Disciplined Career Execution | Goal Execution Alignment | Proactive Career Behavior | Career Preparation Persistence"
58,COMMUNICATION_BEHAVIOR,1,50,GREEN,"speaking_confidence_signals","Communication Intelligence",0.417,121,0.417,"COMMUNICATION_BEHAVIOR -> domain:Communication Intelligence -> family:speaking_confidence_signals -> 40 atomic signals","High Stakes Speaking Resilience | Leadership Speaking Confidence | Interview Speaking Confidence | Communication Presence Strength | Public Speaking Confidence | Fear Of Public Judgment"
59,ORGANIZATIONAL_DEVELOPMENT,4,100,YELLOW,"professional_competency_signals","Employability Intelligence",0.2057,120,0.411,"ORGANIZATIONAL_DEVELOPMENT -> domain:Employability Intelligence -> family:professional_competency_signals -> 40 atomic signals","Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery | Problem Solving Execution"
60,EXAM_READINESS,1,50,GREEN,"academic_confidence_signals","Learning Intelligence",0.3948,120,0.395,"EXAM_READINESS -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
61,CAREER_REFLECTION,1,40,GREEN,"career_clarity_signals","Career Intelligence",0.3734,100,0.373,"CAREER_REFLECTION -> domain:Career Intelligence -> family:career_clarity_signals -> 20 atomic signals","Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty | Opportunity Overwhelm"
62,SELF_EXPLORATION,4,25,YELLOW,"self_awareness_signals","Identity Intelligence",0.1837,120,0.367,"SELF_EXPLORATION -> domain:Identity Intelligence -> family:self_awareness_signals -> 40 atomic signals","Self Growth Orientation | Self Meaning Construction | Self Identity Stability | Introspective Depth | Emotional Honesty Capacity | Authenticity Alignment"
63,PERSONAL_DEVELOPMENT,4,80,YELLOW,"growth_orientation_signals","Motivational Intelligence",0.1833,120,0.367,"PERSONAL_DEVELOPMENT -> domain:Motivational Intelligence -> family:growth_orientation_signals -> 40 atomic signals","Evolution Driven Motivation | Transformational Growth Orientation | Continuous Learning Orientation | Mastery Orientation Strength | Disciplined Self Improvement | Growth Persistence Under Failure"
64,DIGITAL_RESPONSIBILITY,1,25,GREEN,"digital_communication_signals","Communication Intelligence",0.3593,80,0.359,"DIGITAL_RESPONSIBILITY -> domain:Communication Intelligence -> family:digital_communication_signals -> 40 atomic signals","Transformational Digital Communication | Online Information Verification | Digital Confidentiality Awareness | Digital Instruction Precision | Digital Collaboration Clarity | Digital Precision Expression"
65,LEADERSHIP_INFLUENCE,1,50,GREEN,"influence_signals","Leadership Intelligence",0.3595,120,0.359,"LEADERSHIP_INFLUENCE -> domain:Leadership Intelligence -> family:influence_signals -> 40 atomic signals","Civilization Scale Transformational Influence | Transformational Cultural Influence | Transformational Influence Leadership | Ecosystem Scale Social Influence | Ethical Persuasion Behavior | Vision Driven Influence"
66,SOCIAL_LEARNING,1,40,GREEN,"group_confidence_signals","Collaboration Intelligence",0.3577,120,0.358,"SOCIAL_LEARNING -> domain:Collaboration Intelligence -> family:group_confidence_signals -> 40 atomic signals","Multidimensional Social Stability | Multidimensional Group Presence | Interdisciplinary Social Confidence | Future Mission Social Confidence | Transformational Group Confidence | Disruptive Future Collaboration Confidence"
67,CAREER_ACADEMIC,1,40,GREEN,"academic_confidence_signals","Learning Intelligence",0.357,120,0.357,"CAREER_ACADEMIC -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
68,INCLUSIVE_LEADERSHIP,1,25,GREEN,"adaptability_leadership_signals","Leadership Intelligence",0.3562,120,0.356,"INCLUSIVE_LEADERSHIP -> domain:Leadership Intelligence -> family:adaptability_leadership_signals -> 40 atomic signals","Multidimensional Adaptability Synchronization | Ultimate Adaptability Leadership Intelligence | Adaptability Under Operational Pressure | Multidimensional Transition Execution | Ultimate Adaptability Synchronization Intelligence | Uncertainty Navigation Adaptability"
69,CAREER_STABILITY,1,40,GREEN,"career_exploration_signals","Career Intelligence",0.3523,120,0.352,"CAREER_STABILITY -> domain:Career Intelligence -> family:career_exploration_signals -> 40 atomic signals","Experimentation With Roles | Exploratory Project Participation | Exploratory Side Project Creation | Self Driven Career Research | Future Of Work Curiosity | Adaptive Career Openness"
70,STUDENT_LEADERSHIP,1,40,GREEN,"fear_signals","Emotional Intelligence",0.3412,100,0.341,"STUDENT_LEADERSHIP -> domain:Emotional Intelligence -> family:fear_signals -> 40 atomic signals","Placement Fear | Fear of Failure | Inadequacy Fear | Future Failure Visualization | Interview Fear | Career Failure Fear"
71,CHARACTER_DEVELOPMENT,1,40,GREEN,"ethical_judgment_signals","Ethical & Integrity Intelligence",0.3335,120,0.334,"CHARACTER_DEVELOPMENT -> domain:Ethical & Integrity Intelligence -> family:ethical_judgment_signals -> 40 atomic signals","Ultimate Ethical Reasoning Integrity | Ultimate Moral Reasoning Integrity | Resilient Moral Reasoning | Ethical Priority Resilience | Justice Resilience Reasoning | Resilient Truth Evaluation"
72,RECOVERY_ORIENTATION,1,40,GREEN,"setback_response_signals","Resilience Intelligence",0.3293,120,0.329,"RECOVERY_ORIENTATION -> domain:Resilience Intelligence -> family:setback_response_signals -> 40 atomic signals","Perseverance Under Repeated Failure | Long Term Resilience Consistency | Emotional Endurance Under Loss | Stress Resistant Execution | Persistence After Rejection | Adversity Navigation Stability"
73,SELF_DISCOVERY,4,80,YELLOW,"personal_values_signals","Identity Intelligence",0.1632,120,0.326,"SELF_DISCOVERY -> domain:Identity Intelligence -> family:personal_values_signals -> 40 atomic signals","Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration | Long Term Value Commitment"
74,VOCATIONAL_GUIDANCE,1,40,GREEN,"direction_signals","Career Intelligence",0.3259,100,0.326,"VOCATIONAL_GUIDANCE -> domain:Career Intelligence -> family:direction_signals -> 40 atomic signals","Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure | Low Professional Self Awareness"
75,VALUES_EXPLORATION,1,40,GREEN,"personal_values_signals","Identity Intelligence",0.3235,120,0.324,"VALUES_EXPLORATION -> domain:Identity Intelligence -> family:personal_values_signals -> 40 atomic signals","Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration | Long Term Value Commitment"
76,ORGANIZATIONAL_INTELLIGENCE,1,40,GREEN,"employability_gap_signals","Employability Intelligence",0.3212,120,0.321,"ORGANIZATIONAL_INTELLIGENCE -> domain:Employability Intelligence -> family:employability_gap_signals -> 40 atomic signals","Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap | Problem Solving Gap"
