id,response_type,question,new_a,new_b,new_c,new_d,new_e
3246,balance_perception,"How well do you feel your academics, personal wellbeing, and future goals are balanced in your daily life?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3251,emotional_impact,"How overwhelmed do you feel trying to manage studies, skills, and personal growth together?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3270,hope,How hopeful are you that you can achieve success while staying mentally healthy?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3278,energy_motivation,How much does exam-focused evaluation reduce your motivation to develop non-academic skills?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3303,energy_motivation,How much does exam pressure affect your ability to focus on real skill development?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3313,agreement,Some students feel their grades do not reflect their actual abilities. How true is this for you?,Never true — this is never the case,Rarely true — only occasionally,Sometimes true — it varies,Often true — usually the case,Always true — this is always the case
3348,confidence,How easy is it for you to identify whether your syllabus encourages critical thinking or rote learning?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
3356,difficulty,How difficult is it for you to tell whether assignments test creativity or repetition?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
3360,clarity,How easily can you identify whether studying concepts improves your exam performance?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
3368,difficulty,How easy is it for you to recognize outdated teaching methods?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
3371,awareness,"How aware are you of what is happening across academics, clubs, and student leadership activities in your institution?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3375,ease,How easy is it for you to identify opportunities for growth beyond classroom learning?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
3386,effectiveness,How effectively can you find information when you need academic or extracurricular guidance?,Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
3477,effectiveness,How much do classroom notes help you understand concepts on your own later?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3528,energy_motivation,How much do traditional exams affect your ability to focus on deep learning?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3598,likelihood,"When a student becomes quiet or disengaged, how likely are you to interpret it as a possible risk signal?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3600,speed,"If a student suddenly stops attending classes regularly, how quickly would you identify this as a concern?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
3609,speed,How quickly can you detect when a students participation starts dropping in class or activities?,Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
3649,effectiveness,"How effective do you feel any support, guidance, or interventions have been in improving your academic and emotional balance?",Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
3678,energy_motivation,How much does uncertainty about employability readiness affect your motivation to learn?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
3714,motivation,"After comparing yourself with industry standards, how motivated do you feel to improve?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3723,difficulty,How easy is it for you to judge whether you are actually job-ready beyond exams and grades?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
3757,effectiveness,How effectively can you convert career confusion into actionable steps?,Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
3769,effectiveness,How effectively do you recover emotionally after career-related setbacks?,Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
3771,satisfaction,"Despite putting in consistent effort, how satisfied are you with your current academic performance?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3803,impact_level,How much does difficulty concentrating reduce your ability to understand concepts during class?,No impact — it doesn't affect me,Mild impact — a small effect,Moderate impact — a noticeable effect,Major impact — a strong effect,Severe impact — it affects me deeply
3846,understanding,"When you study core STEM subjects, how clearly do you understand the basic concepts without needing memorization?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3850,readiness,"If you had to apply STEM concepts in a real-world project today, how prepared would you feel?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3892,likelihood,"If you had a fixed timetable, how likely are you to follow it?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3894,likelihood,How likely are you to avoid distractions during exam preparation if needed?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
3983,confidence,"When solving problems, how comfortable are you using logical reasoning instead of guessing?",Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
3998,difficulty,How difficult is it for you to control your emotions after disappointing results?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
4006,speed,"After poor results, how quickly are you able to emotionally recover and move on?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
4028,energy_motivation,How much does uncertainty about your subject stream affect your motivation to study?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
4153,difficulty,"When you have to pick between two good career options, how difficult is it for you to decide?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
4161,likelihood,"If you had to choose a career path today, how likely are you to take a decision confidently?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
4228,energy_motivation,How much does fear of exams reduce your motivation to prepare consistently?,Not at all — none of it,Slightly — a small part,Moderately — about half,Mostly — a large part,Completely — all of it
4278,energy_motivation,How much does uncertainty about future jobs affect your focus on current studies?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
4289,emotional_impact,"After talking to mentors or seniors about future careers, how reassured do you feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
4308,difficulty,How difficult is it for you to separate your identity from your academic performance?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
4314,coping_effectiveness,"After failure in exams, how quickly can you recover emotionally?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
4371,motivation,How motivated do you feel to work consistently toward long-term goals that take months or years to achieve?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
4375,commitment,"If you set a goal today that takes a year to complete, how likely are you to stay committed?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
4383,motivation,"During challenging phases, how motivated do you feel to continue working on your goals?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
4396,frequency,"After facing a setback, how quickly are you able to regain your motivation?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
4403,effectiveness,"When things go wrong, how effectively do you bounce back emotionally?",Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
4413,speed,How quickly do you recover your self-confidence after criticism?,Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
4416,speed,"After failure, how quickly do you return to working on your goals?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
4439,motivation,How motivated do you feel after breaking a streak of consistency?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
4578,energy_motivation,How difficult is it for you to stop using your phone once you start scrolling or watching content?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
4589,energy_motivation,"After reducing screen time for a while, how productive or mentally clear do you usually feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
4694,likelihood,"If exams are next week, how likely are you to start studying today?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
4833,intensity,How motivated are you during mid-semester compared to beginning?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
4958,intensity,How motivated are you during mid-semester compared to beginning?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5050,intensity,How difficult is it for you to feel confident without reassurance from others?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5060,influence,"When making important decisions, how much do others opinions influence you?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
5178,energy_motivation,How much does self-doubt reduce your ability to perform at your actual skill level?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
5200,clarity,"If asked today, how clearly can you describe your 510 year life and career goals?",Not at all — completely unclear,Slightly clear — mostly unsure,Moderately clear — partly formed,Mostly clear — fairly defined,Very clearly — I see it clearly
5214,clarity,"After discussing your future plans with someone, how clear do you feel about your direction?",Not at all — completely unclear,Slightly clear — mostly unsure,Moderately clear — partly formed,Mostly clear — fairly defined,Very clearly — I see it clearly
5328,difficulty,How difficult is it for you to feel confident without encouragement from others?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5336,difficulty,How hard is it for you to stay confident when you are not being evaluated?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5359,motivation,"After breaking a routine, how motivated are you to restart?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5448,occurrence,"Have you ever ignored a career option because it was perceived as low-paying, even if you liked it?",Never — it never happens,Rarely — hardly ever,Sometimes — now and then,Often — most of the time,Always — every single time
5454,difficulty,How difficult is it for you to consider a career option that has uncertain or average salary but high interest?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5523,energy_motivation,How much has studying an uninteresting subject reduced your motivation to learn?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
5603,difficulty,"After failure, how difficult is it to understand teacher feedback?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5678,coping_effectiveness,"When a study method fails, how quickly do you try a different approach?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
5693,confidence,How easy is it for you to identify your weak subjects without external help?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5704,emotional_impact,How uncomfortable do you feel when someone asks about your weak subjects?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
5706,confidence,"When you perform poorly, how easily can you understand why it happened?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5799,improvement,"Compared to last year, how much have you improved in learning from failures?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5809,recovery,"After reflecting on a failure, how quickly do you regain confidence?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
5859,motivation,"After completing a task, how motivated do you feel to improve next time?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5873,energy_motivation,How difficult is it for you to speak confidently about your achievements or strengths?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5884,energy_motivation,"After successfully completing a challenging task, how confident do you usually feel afterward?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5920,readiness,"After completing an exam, how prepared are you to create an improvement plan for the next one?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5925,improvement,"Compared to last semester, how much improvement do you see in your ability to reflect on exam performance?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5929,transition_speed,"After getting low marks, how quickly do you move from emotional reaction to constructive analysis?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
5932,effectiveness,How effectively do you identify weak topics after analyzing your exam results?,Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
5938,likelihood,"If given a simple reflection template, how likely are you to use it after exams?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
5943,perception_distortion,"When classmates achieve milestones, how much does it distort how you view your own growth?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
5956,coping_effectiveness,"When you realize you're comparing unfairly, how easily can you refocus on your own journey?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
5959,recovery_speed,"After seeing others succeed, how quickly can you regain confidence in yourself?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
6114,speed,How quickly do you recover from exam-related stress?,Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
6207,coping_effectiveness,"When you fail at something, how difficult is it for you to regain confidence?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
6247,difficulty,How difficult is it for you to return to a task after getting distracted?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
6363,likelihood,"If you had a structured plan, how likely are you to follow it consistently?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
6372,energy_motivation,How difficult is it for the child to stop watching short videos once they start?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
6443,ease,How easy is it for you to get back on track after losing focus?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
6452,efficiency,How effective are your study sessions compared to the time you spend?,Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
6462,effectiveness,How often do breaks actually help you refocus while studying?,Never — it doesn't happen to me,Rarely — only once in a while,Sometimes — it happens on and off,Often — it happens regularly,Very often — it happens almost daily
6555,coping_effectiveness,"When distracted, how quickly does the child return to studying without external help?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
6558,intensity,How motivated does the child feel at the start of self-study sessions?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
6605,speed,"When you lose attention, how quickly are you able to refocus on the lecture?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
6665,emotional_intensity,How intense is your stress response when you think about upcoming exams?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
6700,situational_fit,Do you change your goals or plans after seeing others achieve different goals?,Never — it doesn't happen to me,Rarely — only once in a while,Sometimes — it happens on and off,Often — it happens regularly,Very often — it happens almost daily
6760,confidence,How strongly do you define your self-worth based on your academic marks or grades?,Not at all — none of it,Slightly — a small part,Moderately — about half,Mostly — a large part,Completely — all of it
6767,energy_motivation,How much do your academic results affect your motivation to continue studying?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
6818,intensity,"When learning alone, how easily do you lose motivation?",Never — it doesn't happen to me,Rarely — only once in a while,Sometimes — it happens on and off,Often — it happens regularly,Very often — it happens almost daily
6880,readiness,How likely are you to start improving your placement preparation from today itself?,Not like me — this doesn't describe me,Slightly like me — rarely describes me,Somewhat like me — sometimes describes me,Mostly like me — usually describes me,Exactly like me — this is just like me
6989,difficulty,"During exam season, how difficult is it for you to plan your study schedule effectively?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
7003,emotional_impact,"After discussing academic stress with someone, how relieved do you usually feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
7017,intensity,How much time do you spend understanding a problem before jumping to solutions?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
7066,belief_strength,"After rejection, how much do you feel it defines your future chances?",Not at all — none of it,Slightly — a small part,Moderately — about half,Mostly — a large part,Completely — all of it
7073,effectiveness,How well are you able to talk to someone about your rejection experiences?,Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
7078,support_level,"After rejection, how supported do you feel by friends or family?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
7185,recovery_speed,"After receiving an internship rejection, how quickly are you able to regain your confidence?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
7187,emotional_impact,"When you see peers getting selected and you are rejected, how overwhelmed do you feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
7192,energy_motivation,"After a rejection, how much does it reduce your motivation to apply for the next opportunity?",Not at all — none of it,Slightly — a small part,Moderately — about half,Mostly — a large part,Completely — all of it
7247,intensity,"During exam weeks, how difficult is it to stay consistent with placement prep?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
7253,speed,"After completing academic tasks, how quickly can you return to placement preparation?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
7381,confidence,"If you focus only on your progress, how easy would it be for you?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
7417,energy_motivation,How difficult is it for you to stay consistent in studying without breaks in attention or productivity drops?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
7428,energy_motivation,"After completing a focused study session, how mentally refreshed and satisfied do you usually feel?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
7539,intensity,"How difficult does the application process (SOP, IELTS, visa) feel to you?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
7668,ease,"After taking breaks, how easily do you return to studying with focus?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
7673,likelihood,"If you had a structured plan, how likely are you to follow it consistently?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
7679,comfort_level,"How comfortable are you with sudden changes in tools, frameworks, or work methods?",Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
7682,energy_motivation,How much do rapid industry changes reduce your motivation to learn new skills?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
7685,frequency,"When a new tool becomes industry standard, how quickly do you try to learn it?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
7712,coping_effectiveness,"After receiving rejection, how quickly are you able to regain emotional stability?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
7743,coping_effectiveness,"After talking to someone about your worries, how quickly do you feel emotionally independent again?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
7780,emotional_impact,How stressful do mock tests feel compared to actual exams?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
7786,coping_effectiveness,"After a mock test, how quickly do you recover from stress or disappointment?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
7793,energy_motivation,How motivated do you feel after a poor mock test performance?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
7800,difficulty_level,"When you have exams or assignments in multiple subjects at the same time, how manageable does it feel?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
7805,emotional_impact,How overwhelmed do you feel during exam weeks with multiple subjects?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
7817,emotional_impact,"After completing tasks in multiple subjects successfully, how satisfied do you usually feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
7893,motivation,How motivated are you when no one is checking your progress?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
7913,likelihood,How likely are you to change your preparation style after seeing others succeed?,Not like me — this doesn't describe me,Slightly like me — rarely describes me,Somewhat like me — sometimes describes me,Mostly like me — usually describes me,Exactly like me — this is just like me
8000,clarity,How clearly are you able to plan your study tasks for a full day in advance?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8018,emotional_impact,"After completing your daily plan, how satisfied do you feel?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8057,effectiveness,"When you are not performing well, how effectively do you adjust your study strategy?",Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
8143,likelihood,"If given a daily mindset exercise, how likely are you to follow it?",Not like me — this doesn't describe me,Slightly like me — rarely describes me,Somewhat like me — sometimes describes me,Mostly like me — usually describes me,Exactly like me — this is just like me
8163,frequency,"After resting, how quickly do you feel physically and mentally refreshed?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8268,likelihood,How likely are you to continue your routine even after a bad score?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8295,recovery_speed,"After an emotional setback, how quickly are you able to return to your normal productivity?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8297,difficulty,How difficult is it for you to restart tasks after feeling upset?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
8307,recovery_speed,"After emotional stress, how quickly do you regain motivation to work?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8332,attention_control,"During study sessions, how focused do you usually remain despite distractions from multiple topics?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8357,confidence,How effectively do you use gaps between coaching sessions for self-study?,Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
