id,feeling,question,new_a,new_b,new_c,new_d,new_e
130,ready,"If you had to join a workplace next month, how ready do you feel to handle professional responsibilities?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
145,confident,"Even if professional life feels difficult now, how confident are you that you can adjust with time and experience?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
150,hopeful,"Even if the transition feels difficult now, how hopeful are you that you can eventually become professionally confident?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
151,confident,"Before a technical interview, how confident do you usually feel about your preparation?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
155,ready,"If you had a technical interview tomorrow, how ready would you honestly feel?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
170,confident,"Even if interviews feel difficult now, how confident are you that consistent practice can improve your performance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
175,hopeful,"Even if technical interviews feel difficult today, how hopeful are you that you can eventually become confident?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
180,calm,"When you think about upcoming interviews or results, how calm do you usually feel?",Not calm at all — I feel very tense,Slightly calm — often on edge,Moderately calm — it varies,Mostly calm — usually relaxed,Completely calm — fully at ease
195,confident,"Even if placements are stressful now, how confident are you that you can emotionally handle the process?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
200,hopeful,"Even during difficult placement phases, how hopeful are you that things can emotionally improve over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
201,confident,How confident are you in applying what you learn in college to real workplace situations?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
205,ready,"If you joined a company tomorrow, how ready would you feel to handle practical responsibilities?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
220,confident,"Even if you feel practically inexperienced now, how confident are you that you can adapt with exposure and effort?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
225,hopeful,"Even if you feel unprepared now, how hopeful are you that you can eventually become workplace-ready?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
226,prepared,"When you think about entering professional life, how prepared do you genuinely feel overall?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
230,mentally,"If you started a full-time job tomorrow, how mentally prepared would you feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
245,confident,"Even if things feel uncertain now, how confident are you that you can adapt to professional life over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
250,hopeful,"Even if the future feels uncertain now, how hopeful are you that you will eventually manage professional life successfully?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
251,confident,"When preparing for long-term goals like placements or competitive exams, how consistent do you feel overall?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
255,confident,"If you had to prepare consistently for the next six months, how confident are you that you could maintain momentum?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
270,confident,"Even if consistency feels difficult now, how confident are you that you can improve over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
275,hopeful,"Even if maintaining consistency feels difficult now, how hopeful are you that you can eventually sustain long-term preparation successfully?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
276,confident,"During timed tests or interviews, how confident are you in maintaining accuracy under pressure?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
280,mentally,"If you faced a high-stakes timed assessment tomorrow, how mentally prepared would you feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
295,confident,"Even if timed situations feel difficult now, how confident are you that you can improve with practice?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
300,hopeful,"Even if handling time pressure feels difficult now, how hopeful are you that you can eventually perform accurately under stress?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
301,confident,"When thinking about competitive exams, how confident do you feel in handling the possibility of failure?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
305,mentally,"If you had an important competitive exam tomorrow, how mentally prepared would you feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
320,confident,"Even if failure feels scary now, how confident are you that you can learn and improve over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
325,hopeful,"Even if competitive exams feel overwhelming now, how hopeful are you that you can eventually face them with confidence?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
326,confident,"When you see high-performing students or peers, how confident do you feel about your own abilities?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
330,mentally,"If you had to compete alongside top performers tomorrow, how mentally prepared would you feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
345,confident,"Even if others seem ahead now, how confident are you that you can grow at your own pace?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
350,hopeful,"Even if comparisons feel difficult now, how hopeful are you that you can eventually feel secure in your own journey?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
351,confident,"Even after repeated practice, how confident do you feel in truly understanding difficult concepts?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
355,prepared,"If you had to apply an important concept tomorrow without help, how prepared would you feel?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
370,confident,"Even if concepts feel difficult now, how confident are you that deeper understanding will improve with effort?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
375,hopeful,"Even if understanding feels difficult now, how hopeful are you that you can eventually master complex concepts?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
376,confident,"During long study sessions, how confident are you in maintaining consistent focus?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
380,mentally,"If you had to study continuously for several hours tomorrow, how mentally prepared would you feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
395,confident,"Even if focus feels difficult now, how confident are you that you can improve your concentration with practice?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
400,hopeful,"Even if concentrating for long hours feels difficult now, how hopeful are you that you can eventually improve your focus and endurance?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
401,stable,"When waiting for important results or outcomes, how emotionally stable do you usually feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
405,mentally,"If you had to wait several weeks for an important result, how mentally prepared would you feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
420,confident,"Even if uncertainty feels uncomfortable now, how confident are you that you can become emotionally stronger over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
425,hopeful,"Even if uncertain situations feel stressful now, how hopeful are you that you can eventually stay calmer and more balanced during them?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
430,confident,"If your preparation journey continues for several more months, how manageable does it feel emotionally?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
445,confident,"Even during difficult preparation periods, how confident are you that you can recover and continue?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
450,hopeful,"Even if preparation feels exhausting now, how hopeful are you that things can become more balanced with time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
451,confident,"During competitive exams, how confident are you in managing your time effectively across all sections?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
455,prepared,"If you had an important competitive exam tomorrow, how prepared would you feel to manage time effectively?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
470,confident,"Even if time management feels difficult now, how confident are you that you can improve with practice?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
475,hopeful,"Even if managing time during exams feels difficult now, how hopeful are you that you can eventually handle exams with better control and balance?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
476,confident,"After facing repeated unsuccessful attempts, how confident are you in continuing your efforts?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
480,mentally,"If you had to try again after another setback tomorrow, how mentally prepared would you feel?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
495,confident,"Even if success feels distant now, how confident are you that persistence can eventually help you improve?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
500,hopeful,"Even if repeated setbacks feel discouraging now, how hopeful are you that you can eventually regain confidence and motivation?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
501,stable,"When your rank or performance changes unexpectedly, how emotionally stable do you usually feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
505,mentally,"If your rank dropped unexpectedly tomorrow, how mentally prepared would you feel to handle it calmly?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
520,confident,"Even if rankings fluctuate now, how confident are you that you can eventually remain emotionally balanced?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
525,hopeful,"Even if rankings feel emotionally difficult now, how hopeful are you that you can eventually stay calmer and more balanced during competitive fluctuations?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
526,confident,"After comparing your mock test scores online with others, how confident do you usually feel about your own preparation?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
530,mentally,"If you saw much higher mock scores online tomorrow, how mentally prepared would you feel to stay confident?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
545,confident,"Even if others score higher now, how confident are you that you can improve steadily over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
550,hopeful,"Even if online comparisons feel discouraging now, how hopeful are you that you can eventually feel secure in your own preparation journey?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
551,balanced,"During preparation, how emotionally balanced do you feel while handling family expectations?",Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
555,mentally,"If family pressure increased tomorrow, how mentally prepared would you feel to handle it calmly?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
570,confident,"Even if family expectations feel difficult now, how confident are you that you can eventually manage them more calmly?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
575,hopeful,"Even if family expectations feel emotionally difficult now, how hopeful are you that you can eventually maintain confidence and peace of mind during preparation?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
576,confident,"Before final exams, how confident do you usually feel about your abilities and preparation?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
580,mentally,"If your final exams started tomorrow, how mentally prepared would you feel to face them confidently?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
595,confident,"Even if confidence feels low now, how strongly do you believe you can perform better than you expect in exams?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
600,hopeful,"Even if self-belief feels weak now, how hopeful are you that you can eventually approach exams with confidence and emotional stability?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
601,confident,"During competitive exams, how confident are you in using an effective strategy to maximize your performance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
605,prepared,"If you had an important competitive exam tomorrow, how prepared would you feel to manage it strategically?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
620,confident,"Even if your exam strategy feels weak now, how confident are you that you can improve it with practice?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
625,hopeful,"Even if handling exam strategy feels difficult now, how hopeful are you that you can eventually manage competitive exams with confidence and control?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
626,balanced,"Before result day, how emotionally calm and balanced do you usually feel?",Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
630,mentally,"If your results were announced tomorrow, how mentally prepared would you feel to handle them calmly?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
645,confident,"Even if waiting for results feels stressful now, how confident are you that you can eventually manage this pressure more calmly?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
650,hopeful,"Even if result-related pressure feels emotionally difficult now, how hopeful are you that you can eventually remain calm and emotionally balanced during uncertain outcomes?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
651,stable,"During reattempt preparation, how emotionally stable do you usually feel on most days?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
655,hopeful,"While preparing again, how hopeful do you feel about your future overall?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
670,confident,"Even after previous setbacks, how confident are you that you can emotionally handle this journey again?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
675,hopeful,"Even if this journey feels emotionally difficult now, how hopeful are you that things can improve with time and effort?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
676,stable,"During long periods of preparation or struggle, how emotionally steady do you usually feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
680,mentally,"If your current challenges continued for several more months, how mentally prepared would you feel to keep going steadily?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
695,confident,"Even if emotional pressure feels difficult now, how confident are you that you can gradually build stronger emotional endurance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
700,hopeful,"Even if long-term emotional pressure feels overwhelming now, how hopeful are you that you can eventually become emotionally stronger and more stable over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
701,stable,"After comparing yourself with others, how emotionally stable do you usually feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
705,hopeful,"Even after comparing yourself with others, how hopeful do you remain about your own future?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
720,confident,"Even when comparisons affect you emotionally, how confident are you that you can still grow at your own pace?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
725,hopeful,"Even if comparisons affect you emotionally now, how hopeful are you that your confidence can become stronger over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
726,balanced,"When multiple people expect different things from you, how emotionally balanced do you usually feel?",Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
730,mentally,"If expectations from others increased tomorrow, how mentally prepared would you feel to handle them calmly?",Not mentally ready at all — I'd struggle,Slightly mentally ready — I'd need more,Moderately mentally ready — it varies,Mostly mentally ready — I'd cope well,Fully mentally ready — I'm prepared
745,confident,"Even if balancing multiple expectations feels difficult now, how confident are you that you can gradually manage them more calmly?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
750,hopeful,"Even if pressure from multiple expectations feels emotionally overwhelming now, how hopeful are you that you can eventually maintain emotional balance and confidence?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
755,confident,"Even after setbacks, how confident are you that one result does not define your future?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
770,confident,"Even after failures, how confident are you that your life can still progress positively?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
775,hopeful,"Even if outcomes affect you emotionally now, how hopeful are you that you can develop stronger emotional balance over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
776,confident,"During phases of low mock ranks or scores, how confident do you usually feel about your abilities?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
