concern_id,concern_name,classification,confidence_score,reasoning,domain,concern_category
CONCERN_ACA_1262,Visibility into Real Classroom Learning Effectiveness,Problem,0.92,"concern_category ends in ""blindness"" → Problem; category token ""effectiveness"" → Capability; label cue ""effectiveness"" → Capability",Learning Quality,Learning Effectiveness Blindness
CONCERN_ACA_1264,Measure Classroom Engagement Quality,Problem,0.92,"concern_category ends in ""blindness"" → Problem",Student Engagement,Engagement Quality Blindness
CONCERN_ACA_1267,Faculty Delivery Consistency,Problem,0.55,"label cue ""difficulty"" → Problem",Faculty Effectiveness,Faculty Delivery Variability
CONCERN_ACA_1269,Active Learning Environments,Problem,0.55,"label cue ""difficulty"" → Problem",Inquiry & Curiosity,Passive Classroom Culture
CONCERN_ACA_1271,Aligning Assessment Practices with Actual Learning,Problem,0.92,"concern_category ends in ""disconnect"" → Problem; label cue ""difficulty"" → Problem",Assessment Intelligence,Assessment-Learning Disconnect
CONCERN_ACA_1275,Balancing Academic Rigor with Learning Absorption,Problem,0.92,"concern_category ends in ""imbalance"" → Problem; label cue ""difficulty"" → Problem",Learning Sustainability,Rigor-Absorption Imbalance
CONCERN_ACA_1280,"Holistic Integration Between Curriculum Delivery, Learning Quality, Engagement, and Competency Outcomes",Behavior,0.92,"concern_category ends in ""fragmentation"" → Behavior; label cue ""competency"" → Capability",Holistic Development,Academic Delivery Ecosystem Fragmentation
CONCERN_ACA_1282,Visibility into Classroom-Level Learning Outcomes,Problem,0.92,"concern_category ends in ""blindness"" → Problem",Learning Quality,Classroom Outcome Blindness
CONCERN_ACA_1285,Academic Delivery Fatigue Among Teachers,Problem,0.92,"concern_category ends in ""blindness"" → Problem; category token ""fatigue"" → Outcome; label cue ""fatigue"" → Outcome; label cue ""difficulty"" → Problem",Faculty Sustainability,Instructional Fatigue Blindness
CONCERN_ACA_1294,Monitor Student Confidence and Self-Worth Trends,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""confidence"" → Capability; label cue ""confidence"" → Capability","Confidence, Self-Concept & Comparison",Confidence Tracking Weakness
CONCERN_ACA_1302,Personalize Student Intervention Pathways,Problem,0.92,"concern_category ends in ""weakness"" → Problem",Student Support,Personalized Intervention Weakness
CONCERN_ACA_131,Motivation During Low-Performance Phases,Outcome,0.92,"concern_category ends in ""collapse"" → Outcome; label cue ""difficulty"" → Problem","Motivation, Values & Responsibility",Performance Dip Motivation Collapse
CONCERN_ACA_1310,Visibility into Student Communication Confidence Levels,Problem,0.8,"concern_category ends in ""blindness"" → Problem; category token ""communication"" → Capability; category token ""confidence"" → Capability; label cue ""communication"" → Capability; label cue ""confidence"" → Capability",Communication & Expression,Communication Confidence Blindness
CONCERN_ACA_1348,concentration during classes,Capability,0.92,"concern_category ends in ""management"" → Capability",Learning Intervention,Attention Management
CONCERN_ACA_1351,conceptual clarity in STEM subjects,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""clarity"" → Capability",Subject Intervention,Conceptual Weakness
CONCERN_ACA_1357,Overdependence on tuition centers,Trait,0.92,"concern_category ends in ""dependency"" → Trait",Learning Dependency,Academic Dependency
CONCERN_ACA_1366,Digital addiction reducing study efficiency,Behavior,0.92,"concern_category ends in ""distraction"" → Behavior",Student Behaviour,Digital Distraction
CONCERN_ACA_137,Negative Self-Talk During Preparation,Problem,0.55,"label cue ""difficulty"" → Problem","Confidence, Self-Concept & Comparison",Negative Self-Talk Patterns
CONCERN_ACA_1376,Fear of failure leading to academic avoidance,Behavior,0.92,"concern_category ends in ""avoidance"" → Behavior; category token ""failure"" → Outcome; label cue ""fear"" → Problem; label cue ""failure"" → Outcome; label cue ""avoidance"" → Behavior",Academic Risk Behaviour,Failure Avoidance
CONCERN_ACA_1377,career clarity after Class 10/12,Problem,0.92,"concern_category ends in ""ambiguity"" → Problem; label cue ""clarity"" → Capability",Career Guidance,Career Ambiguity
CONCERN_ACA_1439,Excessive procrastination before exams,Behavior,0.7,"category token ""avoidance"" → Behavior; label cue ""procrastination"" → Behavior",Performance Behavior,Avoidance Behavior
CONCERN_ACA_146,Focus During Long Revision Sessions,Problem,0.92,"concern_category ends in ""instability"" → Problem",Academic & Cognitive Effectiveness,Revision Attention Instability
CONCERN_ACA_147,Emotional Dependence on Daily Scores,Problem,0.92,"concern_category ends in ""instability"" → Problem; category token ""dependency"" → Trait; label cue ""dependence"" → Trait; label cue ""difficulty"" → Problem","Confidence, Self-Concept & Comparison",Score Dependency Instability
CONCERN_ACA_152,Eliminating Wrong Options,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""confidence"" → Capability",Thinking Quality Under Pressure,Option Elimination Weakness
CONCERN_ACA_1572,visualizing future self and goals,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""difficulty"" → Problem",Future Orientation,Future Vision Deficit
CONCERN_ACA_1581,prioritize among multiple interests,Problem,0.92,"concern_category ends in ""conflict"" → Problem",Multi-Potentiality Reflection,Multi-Interest Conflict
CONCERN_ACA_1598,awareness of personal stress responses,Problem,0.92,"concern_category ends in ""blindness"" → Problem; category token ""stress"" → Problem; label cue ""awareness"" → Capability; label cue ""stress"" → Problem",Emotional Reflection,Stress Blindness
CONCERN_ACA_16,Interview Preparation Discipline,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""discipline"" → Capability; label cue ""discipline"" → Capability",Employability,Interview Discipline Weakness
CONCERN_ACA_1616,Absence of structured self-reflection habits,Problem,0.92,"concern_category ends in ""deficiency"" → Problem",Reflective Development,Reflection Deficiency
CONCERN_ACA_1627,setting realistic personal goals,Problem,0.92,"concern_category ends in ""misalignment"" → Problem; label cue ""difficulty"" → Problem",Goal Reflection,Goal Misalignment
CONCERN_ACA_1648,Concentration During Studies,Problem,0.4,No explicit category signal in concern_category or label; defaulted to Problem (the CAPADEX concern master is problem-oriented).,Academic & Cognitive Effectiveness,Attention & Focus
CONCERN_ACA_1649,Understanding Concepts,Capability,0.92,"concern_category ends in ""clarity"" → Capability; label cue ""understanding"" → Capability; label cue ""difficulty"" → Problem",Academic & Cognitive Effectiveness,Conceptual Clarity
CONCERN_ACA_1650,Problem-Solving Skills,Capability,0.55,"label cue ""skills"" → Capability",Academic & Cognitive Effectiveness,Analytical Ability
CONCERN_ACA_1651,Analytical Thinking,Capability,0.92,"concern_category ends in ""thinking"" → Capability; label cue ""thinking"" → Capability",Thinking Quality Under Pressure,Critical Thinking
CONCERN_ACA_1657,Writing Skills,Capability,0.92,"concern_category ends in ""communication"" → Capability; label cue ""skills"" → Capability",Communication & Expression,Written Communication
CONCERN_ACA_1663,Memory Retention,Problem,0.4,No explicit category signal in concern_category or label; defaulted to Problem (the CAPADEX concern master is problem-oriented).,Academic & Cognitive Effectiveness,Memory Retention
CONCERN_ACA_1664,Revising Effectively,Capability,0.92,"concern_category ends in ""effectiveness"" → Capability; label cue ""difficulty"" → Problem",Examination Readiness,Revision Effectiveness
CONCERN_ACA_1685,Attention During Long Classes,Problem,0.4,No explicit category signal in concern_category or label; defaulted to Problem (the CAPADEX concern master is problem-oriented).,Academic & Cognitive Effectiveness,Sustained Attention
CONCERN_ACA_1686,Taking Notes Efficiently,Problem,0.55,"label cue ""difficulty"" → Problem",Academic & Cognitive Effectiveness,Note-Taking Efficiency
CONCERN_ACA_1687,Initiative in Learning,Problem,0.4,No explicit category signal in concern_category or label; defaulted to Problem (the CAPADEX concern master is problem-oriented).,"Motivation, Values & Responsibility",Learning Initiative
CONCERN_ACA_1697,Attention in Tuition Classes,Problem,0.55,"label cue ""difficulty"" → Problem",Academic & Cognitive Effectiveness,Sustained Attention
CONCERN_ACA_1698,Mathematical Reasoning,Capability,0.92,"concern_category ends in ""reasoning"" → Capability; label cue ""reasoning"" → Capability",Academic & Cognitive Effectiveness,Mathematical Reasoning
CONCERN_ACA_1699,Understanding Science Concepts,Capability,0.92,"concern_category ends in ""understanding"" → Capability; label cue ""understanding"" → Capability; label cue ""difficulty"" → Problem",Academic & Cognitive Effectiveness,Scientific Understanding
CONCERN_ACA_1700,Vocabulary Development,Problem,0.4,No explicit category signal in concern_category or label; defaulted to Problem (the CAPADEX concern master is problem-oriented).,Communication & Expression,Vocabulary Development
CONCERN_ACA_1705,Following Complex Instructions,Problem,0.55,"label cue ""difficulty"" → Problem",Classroom Engagement,Complex Instruction Processing
CONCERN_ACA_1707,Tracking Academic Progress,Problem,0.55,"label cue ""difficulty"" → Problem",Academic Performance,Progress Monitoring
CONCERN_ACA_1708,Maintain Revision Schedules,Capability,0.92,"concern_category ends in ""discipline"" → Capability",Examination Readiness,Revision Discipline
CONCERN_ACA_1716,Revising Large Syllabus,Problem,0.55,"label cue ""difficulty"" → Problem",Examination Readiness,Large-Scale Revision
CONCERN_ACA_1721,Interpretation Skills,Capability,0.55,"label cue ""skills"" → Capability",Academic & Cognitive Effectiveness,Interpretation Ability
CONCERN_ACA_1722,Linking Concepts Across Subjects,Problem,0.55,"label cue ""difficulty"" → Problem",Interdisciplinary Learning,Cross-Concept Integration
CONCERN_ACA_1726,Numerical Fluency,Capability,0.92,"concern_category ends in ""fluency"" → Capability; label cue ""fluency"" → Capability",Academic & Cognitive Effectiveness,Numerical Fluency
CONCERN_ACA_1727,Solving Word Problems,Problem,0.55,"label cue ""difficulty"" → Problem",Academic & Cognitive Effectiveness,Word Problem Solving
CONCERN_ACA_1728,Scientific Observation Skills,Capability,0.92,"concern_category ends in ""skills"" → Capability; label cue ""skills"" → Capability",STEM Learning,Observation Skills
CONCERN_ACA_1731,Academic Pressure,Problem,0.92,"concern_category ends in ""stress"" → Problem; label cue ""pressure"" → Problem",Examination Stress & Emotional Regulation,Academic Stress
CONCERN_ACA_1734,Fear of Failure,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; category token ""failure"" → Outcome; label cue ""fear"" → Problem; label cue ""failure"" → Outcome","Confidence, Self-Concept & Comparison",Failure Anxiety
CONCERN_ACA_1737,Sleep Disruption,Problem,0.92,"concern_category ends in ""dysregulation"" → Problem",Lifestyle & Pressure Environment,Sleep Dysregulation
CONCERN_ACA_175,Building Confidence in Personal Preparation Style,Problem,0.92,"concern_category ends in ""insecurity"" → Problem; label cue ""confidence"" → Capability; label cue ""difficulty"" → Problem","Confidence, Self-Concept & Comparison",Preparation Style Insecurity
CONCERN_ACA_1761,Homework Avoidance,Behavior,0.92,"concern_category ends in ""avoidance"" → Behavior; label cue ""avoidance"" → Behavior","Discipline, Habits & Consistency",Task Avoidance
CONCERN_ACA_1763,Exam Panic Attacks,Behavior,0.92,"concern_category ends in ""reactivity"" → Behavior; category token ""panic"" → Problem; label cue ""panic"" → Problem",Examination Stress & Emotional Regulation,Panic Reactivity
CONCERN_ACA_1767,Dependence on AI Tools,Trait,0.92,"concern_category ends in ""dependency"" → Trait; label cue ""dependence"" → Trait",Academic & Cognitive Effectiveness,Shortcut Dependency
CONCERN_ACA_1768,Problem-Solving Skills,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""skills"" → Capability",Thinking Quality Under Pressure,Problem Solving Deficit
CONCERN_ACA_1793,Refusal to Attend School,Behavior,0.92,"concern_category ends in ""avoidance"" → Behavior",Adjustment & Coping Capacity,School Avoidance
CONCERN_ACA_1822,Identity Confusion,Problem,0.92,"concern_category ends in ""instability"" → Problem; label cue ""confusion"" → Problem",Academic Identity & Meaning,Identity Instability
CONCERN_ACA_1823,Fear of the Future,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; label cue ""fear"" → Problem",Examination Stress & Emotional Regulation,Future Anxiety
CONCERN_ACA_1834,Child Following Influencer Culture Blindly,Trait,0.92,"concern_category ends in ""dependency"" → Trait",Lifestyle & Pressure Environment,Influencer Dependency
CONCERN_ACA_1836,Financial Awareness,Problem,0.92,"concern_category ends in ""illiteracy"" → Problem; label cue ""awareness"" → Capability","Motivation, Values & Responsibility",Financial Illiteracy
CONCERN_ACA_1859,Academic Dishonesty,Problem,0.4,No explicit category signal in concern_category or label; defaulted to Problem (the CAPADEX concern master is problem-oriented).,"Motivation, Values & Responsibility",Dishonest Academic Behavior
CONCERN_ACA_1862,Excessive Dependence on Coaching Centers,Trait,0.92,"concern_category ends in ""dependency"" → Trait; label cue ""dependence"" → Trait",Academic & Cognitive Effectiveness,Coaching Dependency
CONCERN_ACA_1863,Fear of Asking Doubts in Class,Behavior,0.92,"concern_category ends in ""hesitation"" → Behavior; label cue ""fear"" → Problem","Confidence, Self-Concept & Comparison",Classroom Hesitation
CONCERN_ACA_1866,Fear of Stage Performances,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; label cue ""fear"" → Problem","Confidence, Self-Concept & Comparison",Performance Anxiety
CONCERN_ACA_1869,Child Pretending to Study,Behavior,0.92,"concern_category ends in ""avoidance"" → Behavior","Motivation, Values & Responsibility",Academic Avoidance
CONCERN_ACA_188,Emotional Separation Between Identity and Results,Trait,0.92,"concern_category ends in ""dependency"" → Trait","Confidence, Self-Concept & Comparison",Result-Based Identity Dependency
CONCERN_ACA_1886,Child Forgetting Instructions Quickly,Problem,0.4,No explicit category signal in concern_category or label; defaulted to Problem (the CAPADEX concern master is problem-oriented).,Academic & Cognitive Effectiveness,Weak Instruction Retention
CONCERN_ACA_1887,Child Unable to Stay Without Internet,Trait,0.92,"concern_category ends in ""dependency"" → Trait",Lifestyle & Pressure Environment,Internet Dependency
CONCERN_ACA_1897,Child Avoiding Responsibility for Mistakes,Behavior,0.92,"concern_category ends in ""avoidance"" → Behavior","Motivation, Values & Responsibility",Responsibility Avoidance
CONCERN_ACA_1906,Child Becoming Hyper-Reactive to Feedback,Behavior,0.92,"concern_category ends in ""reactivity"" → Behavior",Examination Stress & Emotional Regulation,Feedback Reactivity
CONCERN_ACA_191,Confidence During Slow Progress,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; label cue ""confidence"" → Capability; label cue ""difficulty"" → Problem","Confidence, Self-Concept & Comparison",Slow Progress Anxiety
CONCERN_ACA_1911,Child Feeling Mentally Exhausted After School,Outcome,0.92,"concern_category ends in ""fatigue"" → Outcome",Examination Stress & Emotional Regulation,Mental Fatigue
CONCERN_ACA_1913,Child Losing Interest in Long-Term Goals,Behavior,0.92,"concern_category ends in ""disengagement"" → Behavior","Motivation, Values & Responsibility",Long-Term Goal Disengagement
CONCERN_ACA_1925,Child Unable to Focus Without Background Stimulation,Trait,0.92,"concern_category ends in ""dependency"" → Trait",Academic & Cognitive Effectiveness,Stimulation Dependency
CONCERN_ACA_1926,Child Becoming Emotionally Detached During Conversations,Behavior,0.92,"concern_category ends in ""disengagement"" → Behavior",Communication & Expression,Conversational Disengagement
CONCERN_ACA_1931,Academic Focus,Problem,0.92,"concern_category ends in ""deficit"" → Problem",Academic & Cognitive Effectiveness,Attention Deficit
CONCERN_ACA_1932,Conceptual Understanding,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""understanding"" → Capability",Foundational Learning,Conceptual Weakness
CONCERN_ACA_1937,Retention Ability,Problem,0.92,"concern_category ends in ""deficit"" → Problem",Academic & Cognitive Effectiveness,Memory Retention Deficit
CONCERN_ACA_1938,Following Instructions,Problem,0.92,"concern_category ends in ""difficulty"" → Problem; label cue ""difficulty"" → Problem",Academic & Cognitive Effectiveness,Instruction Processing Difficulty
CONCERN_ACA_1939,Communication Skills,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""communication"" → Capability; label cue ""communication"" → Capability; label cue ""skills"" → Capability",Communication & Expression,Communication Weakness
CONCERN_ACA_1948,Vocabulary Development,Problem,0.92,"concern_category ends in ""deficit"" → Problem",Communication & Expression,Vocabulary Deficit
CONCERN_ACA_1951,Logical Thinking,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""reasoning"" → Capability; label cue ""thinking"" → Capability",Thinking Quality Under Pressure,Logical Reasoning Deficit
CONCERN_ACA_1953,Writing Skills,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""skills"" → Capability",Communication & Expression,Writing Deficit
CONCERN_ACA_1959,Independent Thinking,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""thinking"" → Capability; label cue ""thinking"" → Capability",Thinking Quality Under Pressure,Independent Thinking Deficit
CONCERN_ACA_1967,Leadership Potential,Behavior,0.92,"concern_category ends in ""hesitation"" → Behavior; category token ""leadership"" → Capability; label cue ""leadership"" → Capability",Leadership & Ownership,Leadership Hesitation
CONCERN_ACA_1973,Note-Making Skills,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""skills"" → Capability",Academic & Cognitive Effectiveness,Note Structuring Weakness
CONCERN_ACA_1974,Academic Ownership,Trait,0.92,"concern_category ends in ""dependency"" → Trait; label cue ""ownership"" → Capability","Motivation, Values & Responsibility",Academic Dependency
CONCERN_ACA_1978,Transitioning Between Subjects,Problem,0.92,"concern_category ends in ""difficulty"" → Problem; label cue ""difficulty"" → Problem",Learning Adaptability,Subject Transition Difficulty
CONCERN_ACA_1982,Breaking Down Complex Problems,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""difficulty"" → Problem",Thinking Quality Under Pressure,Complex Problem Decomposition Deficit
CONCERN_ACA_1989,Subject Prioritization Skills,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""skills"" → Capability","Discipline, Habits & Consistency",Subject Prioritization Deficit
CONCERN_ACA_1995,Organizing Study Materials,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""organization"" → Capability; label cue ""difficulty"" → Problem","Discipline, Habits & Consistency",Material Organization Deficit
CONCERN_ACA_1998,Accuracy Under Time Pressure,Problem,0.92,"concern_category ends in ""instability"" → Problem; label cue ""pressure"" → Problem",Thinking Quality Under Pressure,Accuracy Instability
CONCERN_ACA_2006,Applying Classroom Learning in Tests,Problem,0.92,"concern_category ends in ""difficulty"" → Problem; label cue ""difficulty"" → Problem",Competency Development,Knowledge Transfer Difficulty
CONCERN_ACA_2014,Exam Writing Speed,Problem,0.92,"concern_category ends in ""deficit"" → Problem",Examination Readiness,Writing Speed Deficit
CONCERN_ACA_2016,Comparative Analysis Skills,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""reasoning"" → Capability; label cue ""skills"" → Capability",Thinking Quality Under Pressure,Comparative Reasoning Deficit
CONCERN_ACA_2021,Cognitive Accuracy During Stress,Problem,0.55,"label cue ""stress"" → Problem; label cue ""difficulty"" → Problem",Thinking Quality Under Pressure,Stress-Induced Cognitive Errors
CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""awareness"" → Capability; label cue ""understanding"" → Capability; label cue ""difficulty"" → Problem",Self Reflection,Strength Awareness Deficit
CONCERN_ACA_2031,Attention During Revision,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""difficulty"" → Problem",Examination Readiness,Revision Attention Deficit
CONCERN_ACA_2033,Simultaneous Assignments,Problem,0.92,"concern_category ends in ""overload"" → Problem; label cue ""difficulty"" → Problem","Discipline, Habits & Consistency",Multi-Task Academic Overload
CONCERN_ACA_2035,Learning from Previous Mistakes,Problem,0.55,"label cue ""difficulty"" → Problem",Self Reflection,Mistake Repetition
CONCERN_ACA_2045,Structuring Revision Priorities,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""difficulty"" → Problem",Examination Readiness,Revision Prioritization Weakness
CONCERN_ACA_2051,Competing Academic Priorities,Problem,0.92,"concern_category ends in ""overload"" → Problem; label cue ""difficulty"" → Problem","Discipline, Habits & Consistency",Competing Priority Overload
CONCERN_ACA_2058,Learning Adaptation Under Pressure,Trait,0.92,"concern_category ends in ""rigidity"" → Trait; label cue ""pressure"" → Problem",Learning Adaptability,Stress-Induced Rigidity
CONCERN_ACA_2062,Self-Evaluation Skills,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""skills"" → Capability",Self Reflection,Self-Assessment Weakness
CONCERN_ACA_2065,Remaining Calm During Viva/Orals,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; label cue ""difficulty"" → Problem",Communication & Expression,Oral Performance Anxiety
CONCERN_ACA_2067,Understanding Examination Patterns,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""awareness"" → Capability; label cue ""understanding"" → Capability; label cue ""difficulty"" → Problem",Examination Readiness,Exam Pattern Awareness Deficit
CONCERN_ACA_207,Balancing Passion and Practicality in Career Choices,Problem,0.92,"concern_category ends in ""conflict"" → Problem; label cue ""difficulty"" → Problem",Career Readiness,Passion-Practicality Conflict
CONCERN_ACA_2081,Attention to Detail in Assignments,Problem,0.92,"concern_category ends in ""deficit"" → Problem",Academic & Cognitive Effectiveness,Attention-to-Detail Deficit
CONCERN_ACA_2082,Transitioning from Rote to Conceptual Learning,Problem,0.92,"concern_category ends in ""difficulty"" → Problem; label cue ""difficulty"" → Problem",Foundational Learning,Conceptual Transition Difficulty
CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""skills"" → Capability",Thinking Quality Under Pressure,Problem-Solving Support Deficit
CONCERN_ACA_2129,Classroom Participation Imbalance,Problem,0.55,"label cue ""imbalance"" → Problem; label cue ""difficulty"" → Problem",Classroom Engagement,Uneven Participation Patterns
CONCERN_ACA_2132,Managing Students with Fear of Failure,Capability,0.92,"concern_category ends in ""management"" → Capability; category token ""failure"" → Outcome; category token ""anxiety"" → Problem; label cue ""fear"" → Problem; label cue ""failure"" → Outcome","Confidence, Self-Concept & Comparison",Failure Anxiety Management
CONCERN_ACA_2147,Building Collaborative Learning Culture,Behavior,0.92,"concern_category ends in ""resistance"" → Behavior; label cue ""difficulty"" → Problem",Collaboration & Ownership,Team-Based Learning Resistance
CONCERN_ACA_215,Exploring Careers Beyond Peer Influence,Problem,0.55,"label cue ""difficulty"" → Problem","Confidence, Self-Concept & Comparison",Peer-Driven Career Selection
CONCERN_ACA_2156,Students with Poor Revision Habits,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""discipline"" → Capability; label cue ""difficulty"" → Problem",Examination Readiness,Revision Discipline Deficit
CONCERN_ACA_2160,Building Inquiry-Based Learning Culture,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""difficulty"" → Problem","Motivation, Values & Responsibility",Inquiry Culture Weakness
CONCERN_ACA_2178,Managing Students Who Memorize Without Understanding,Trait,0.92,"concern_category ends in ""dependency"" → Trait; label cue ""understanding"" → Capability",Foundational Learning,Surface Learning Dependency
CONCERN_ACA_2185,Supporting Students with Weak Sequential Thinking,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""thinking"" → Capability; label cue ""thinking"" → Capability; label cue ""difficulty"" → Problem",Thinking Quality Under Pressure,Sequential Thinking Weakness
CONCERN_ACA_2192,Supporting Students with Weak Logical Reasoning,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""reasoning"" → Capability; label cue ""reasoning"" → Capability",Thinking Quality Under Pressure,Logical Reasoning Deficit
