cluster_key,cluster_label,archetype_key,intent_type,member_count,avg_composite,sample_phrase
decision_judgment::emotional,Decision-Making & Judgment — Emotional,decision_judgment,emotional,5,4.75,I feel anxious and indecisive about every choice
decision_judgment::help_seeking,Decision-Making & Judgment — Help-Seeking,decision_judgment,help_seeking,5,4.5,how do I make decisions without second-guessing?
decision_judgment::future_planning,Decision-Making & Judgment — Future-Planning,decision_judgment,future_planning,5,4.75,how to make confident decisions and commit going forward
emotional_regulation::informational,Emotional Regulation & Coping — Informational,emotional_regulation,informational,5,4.5,what is trouble controlling emotions?
emotional_regulation::diagnostic,Emotional Regulation & Coping — Diagnostic,emotional_regulation,diagnostic,5,4.3,why do I get overwhelmed and snap over small things?
emotional_regulation::emotional,Emotional Regulation & Coping — Emotional,emotional_regulation,emotional,5,4.75,I feel overwhelmed and close to losing control
emotional_regulation::help_seeking,Emotional Regulation & Coping — Help-Seeking,emotional_regulation,help_seeking,5,4.75,how do I stay calm when overwhelmed?
emotional_regulation::future_planning,Emotional Regulation & Coping — Future-Planning,emotional_regulation,future_planning,5,4.5,how to manage stress and stay calm going forward
expectations_pressure::informational,Expectations & External Pressure — Informational,expectations_pressure,informational,5,4.75,what is pressure to meet expectations?
expectations_pressure::diagnostic,Expectations & External Pressure — Diagnostic,expectations_pressure,diagnostic,5,4.55,why does my child feel crushed by pressure to please everyone?
expectations_pressure::emotional,Expectations & External Pressure — Emotional,expectations_pressure,emotional,5,4.75,I feel exhausted from pressure to please everyone
expectations_pressure::help_seeking,Expectations & External Pressure — Help-Seeking,expectations_pressure,help_seeking,5,4.5,how do I handle pressure without burning out?
expectations_pressure::future_planning,Expectations & External Pressure — Future-Planning,expectations_pressure,future_planning,5,4.75,how to handle expectations and pressure going forward
focus_attention::informational,Focus & Attention Regulation — Informational,focus_attention,informational,5,4.75,what is poor focus and concentration?
focus_attention::diagnostic,Focus & Attention Regulation — Diagnostic,focus_attention,diagnostic,5,4.6,why do I lose focus and get distracted easily?
focus_attention::emotional,Focus & Attention Regulation — Emotional,focus_attention,emotional,5,4.5,I feel scattered and unable to concentrate
focus_attention::help_seeking,Focus & Attention Regulation — Help-Seeking,focus_attention,help_seeking,5,4.75,how do I focus without getting distracted?
focus_attention::future_planning,Focus & Attention Regulation — Future-Planning,focus_attention,future_planning,5,4.75,how to build lasting focus and attention going forward
identity_self_awareness::informational,Identity & Self-Awareness — Informational,identity_self_awareness,informational,5,4.5,what is feeling lost about identity?
identity_self_awareness::diagnostic,Identity & Self-Awareness — Diagnostic,identity_self_awareness,diagnostic,5,4.5,why do I feel lost about who I am?
identity_self_awareness::emotional,Identity & Self-Awareness — Emotional,identity_self_awareness,emotional,5,4.75,I feel lost about identity and purpose
identity_self_awareness::help_seeking,Identity & Self-Awareness — Help-Seeking,identity_self_awareness,help_seeking,5,4.35,how do I build a clear sense of self and purpose?
identity_self_awareness::future_planning,Identity & Self-Awareness — Future-Planning,identity_self_awareness,future_planning,5,4.5,how to build self-awareness and purpose going forward
leadership_influence::informational,Leadership & Influence — Informational,leadership_influence,informational,5,4.75,what is trouble leading a team?
leadership_influence::diagnostic,Leadership & Influence — Diagnostic,leadership_influence,diagnostic,5,4.75,why do I struggle to take charge of a group?
leadership_influence::emotional,Leadership & Influence — Emotional,leadership_influence,emotional,5,4.5,I feel unsure about leading others
leadership_influence::help_seeking,Leadership & Influence — Help-Seeking,leadership_influence,help_seeking,5,4.75,how do I lead a team with confidence?
leadership_influence::future_planning,Leadership & Influence — Future-Planning,leadership_influence,future_planning,5,4.75,how to lead a team well going forward
learning_comprehension::informational,Learning & Comprehension — Informational,learning_comprehension,informational,5,4.75,what is trouble understanding study material?
learning_comprehension::diagnostic,Learning & Comprehension — Diagnostic,learning_comprehension,diagnostic,5,4.75,why do I study for hours but forget everything?
learning_comprehension::emotional,Learning & Comprehension — Emotional,learning_comprehension,emotional,5,4.55,my student seems frustrated that studying never sticks in class
learning_comprehension::help_seeking,Learning & Comprehension — Help-Seeking,learning_comprehension,help_seeking,5,5,how do I understand and remember study material?
learning_comprehension::future_planning,Learning & Comprehension — Future-Planning,learning_comprehension,future_planning,5,4.5,how to learn in a way that sticks going forward
motivation_drive::informational,Motivation & Drive — Informational,motivation_drive,informational,5,4.75,what is low motivation and drive?
motivation_drive::diagnostic,Motivation & Drive — Diagnostic,motivation_drive,diagnostic,5,4.75,why do I have no motivation to get started?
motivation_drive::emotional,Motivation & Drive — Emotional,motivation_drive,emotional,5,4.75,I feel drained of motivation and drive
motivation_drive::help_seeking,Motivation & Drive — Help-Seeking,motivation_drive,help_seeking,5,4.5,how do I find the motivation to follow through?
motivation_drive::future_planning,Motivation & Drive — Future-Planning,motivation_drive,future_planning,5,4.75,how to stay motivated toward my goals going forward
negotiation_advocacy::informational,Negotiation & Advocacy — Informational,negotiation_advocacy,informational,5,4.5,what is trouble standing up for yourself?
negotiation_advocacy::diagnostic,Negotiation & Advocacy — Diagnostic,negotiation_advocacy,diagnostic,5,4.5,why do I struggle to ask for what I deserve?
negotiation_advocacy::emotional,Negotiation & Advocacy — Emotional,negotiation_advocacy,emotional,5,4.45,I feel walked over and unable to push back
negotiation_advocacy::help_seeking,Negotiation & Advocacy — Help-Seeking,negotiation_advocacy,help_seeking,5,4.75,how do I stand up and negotiate confidently?
negotiation_advocacy::future_planning,Negotiation & Advocacy — Future-Planning,negotiation_advocacy,future_planning,5,4.5,how to negotiate and self-advocate going forward
networking_relationships::informational,Networking & Relationship Building — Informational,networking_relationships,informational,5,4.5,what is trouble networking?
networking_relationships::diagnostic,Networking & Relationship Building — Diagnostic,networking_relationships,diagnostic,5,4.55,why do I find it hard to reach out to new contacts?
networking_relationships::emotional,Networking & Relationship Building — Emotional,networking_relationships,emotional,5,4.5,I feel awkward about networking and reaching out
networking_relationships::help_seeking,Networking & Relationship Building — Help-Seeking,networking_relationships,help_seeking,5,4.75,how do I build a network and reach out confidently?
networking_relationships::future_planning,Networking & Relationship Building — Future-Planning,networking_relationships,future_planning,5,4.75,how to grow my network and professional connections going forward
performance_anxiety::informational,Performance Anxiety & Pressure Response — Informational,performance_anxiety,informational,5,4.75,what is test and exam anxiety?
performance_anxiety::diagnostic,Performance Anxiety & Pressure Response — Diagnostic,performance_anxiety,diagnostic,5,5,why do I freeze up and go blank in exams?
performance_anxiety::emotional,Performance Anxiety & Pressure Response — Emotional,performance_anxiety,emotional,5,4.8,I am worried my child is panicky and blank before every test
performance_anxiety::help_seeking,Performance Anxiety & Pressure Response — Help-Seeking,performance_anxiety,help_seeking,5,4.75,how do I stay calm and focused in exams?
performance_anxiety::future_planning,Performance Anxiety & Pressure Response — Future-Planning,performance_anxiety,future_planning,5,4.95,how to stay calm in future exams and interviews going forward
resilience_recovery::informational,Resilience & Failure Recovery — Informational,resilience_recovery,informational,5,4.75,what is giving up after setbacks?
resilience_recovery::diagnostic,Resilience & Failure Recovery — Diagnostic,resilience_recovery,diagnostic,5,4.7,why do I fall apart and give up after a setback?
resilience_recovery::emotional,Resilience & Failure Recovery — Emotional,resilience_recovery,emotional,5,4.65,I feel crushed and ready to give up after failure
resilience_recovery::help_seeking,Resilience & Failure Recovery — Help-Seeking,resilience_recovery,help_seeking,5,4.75,how do I bounce back after failure?
resilience_recovery::future_planning,Resilience & Failure Recovery — Future-Planning,resilience_recovery,future_planning,5,4.75,how to recover from setbacks and keep going going forward
social_connection_belonging::informational,Social Connection & Belonging — Informational,social_connection_belonging,informational,5,4.75,what is loneliness and not belonging?
social_connection_belonging::diagnostic,Social Connection & Belonging — Diagnostic,social_connection_belonging,diagnostic,5,4.6,why does my child feel lonely and left out?
social_connection_belonging::emotional,Social Connection & Belonging — Emotional,social_connection_belonging,emotional,5,4.95,I feel isolated and left out like an outsider
social_connection_belonging::help_seeking,Social Connection & Belonging — Help-Seeking,social_connection_belonging,help_seeking,5,4.6,how do I make friends and feel a sense of belonging?
social_connection_belonging::future_planning,Social Connection & Belonging — Future-Planning,social_connection_belonging,future_planning,5,4.5,how to build friendships and belonging going forward
time_self_discipline::informational,Time Management & Self-Discipline — Informational,time_self_discipline,informational,5,4.75,what is procrastination and poor time management?
time_self_discipline::diagnostic,Time Management & Self-Discipline — Diagnostic,time_self_discipline,diagnostic,5,4.7,why do I procrastinate and leave things to the last minute?
time_self_discipline::emotional,Time Management & Self-Discipline — Emotional,time_self_discipline,emotional,5,4.5,I feel stressed from missing deadlines
time_self_discipline::help_seeking,Time Management & Self-Discipline — Help-Seeking,time_self_discipline,help_seeking,5,4.75,how do I stop procrastinating and stick to a plan?
time_self_discipline::future_planning,Time Management & Self-Discipline — Future-Planning,time_self_discipline,future_planning,5,4.5,how to stay on top of deadlines going forward
