concern_id,behavior_statement,observability,human_realism,distinctiveness,actionability,total,accepted
CONCERN_ACA_1174,shows little energy for starting {task},5,5,4,5,19,true
CONCERN_ACA_1174,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1178,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1178,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1178,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1188,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1188,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1188,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1194,misses opportunities by not acting on them,5,5,4,5,19,true
CONCERN_ACA_1194,cannot describe a clear next career step,5,5,4,5,19,true
CONCERN_ACA_1194,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1198,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1198,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1198,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1211,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1211,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1211,avoids tasks related to {task},3,2,2,3,10,false
CONCERN_ACA_1217,shows little energy for starting {task},5,5,4,5,19,true
CONCERN_ACA_1217,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1217,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1224,resists new ways of doing {task},5,4,4,4,17,true
CONCERN_ACA_1224,misses opportunities by not acting on them,5,5,4,5,19,true
CONCERN_ACA_1224,avoids learning new approaches to {task},3,2,2,3,10,false
CONCERN_ACA_1232,rarely notices how their actions affect {peers},5,5,4,5,19,true
CONCERN_ACA_1232,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1232,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1249,feels drained and disengaged from {task},5,5,4,5,19,true
CONCERN_ACA_1249,reacts strongly to small setbacks,5,5,4,5,19,true
CONCERN_ACA_1249,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1262,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1262,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1262,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1262,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1262,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1264,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1264,shows little energy for starting {task},5,5,4,5,19,true
CONCERN_ACA_1264,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1267,abandons routines for {task} after a few days,5,5,4,5,19,true
CONCERN_ACA_1267,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1267,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1269,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1269,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1269,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1271,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1271,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1271,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1275,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1275,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1275,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1275,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1280,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1280,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1280,shows little energy for starting {task},5,5,4,5,19,true
CONCERN_ACA_1280,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1280,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1282,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1282,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1282,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1282,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1282,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1285,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1285,feels drained and disengaged from {task},5,5,4,5,19,true
CONCERN_ACA_1285,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1294,doubts their ability to handle {task},5,5,4,5,19,true
CONCERN_ACA_1294,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1294,struggles to stay composed under pressure,3,2,2,3,10,false
CONCERN_ACA_1302,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1302,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1302,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_131,shows little energy for starting {task},5,5,4,5,19,true
CONCERN_ACA_131,underperforms relative to their ability at {setting},5,5,4,5,19,true
CONCERN_ACA_131,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1310,avoids speaking up in {setting},5,5,4,5,19,true
CONCERN_ACA_1310,"gives very short, vague answers",5,5,4,5,19,true
CONCERN_ACA_1310,doubts their ability to handle {task},5,5,4,5,19,true
CONCERN_ACA_1310,lets their contributions go unnoticed at {setting},5,5,4,5,19,true
CONCERN_ACA_1348,loses focus within minutes of starting {task},5,5,4,5,19,true
CONCERN_ACA_1348,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1348,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1351,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1351,cannot describe a clear next career step,5,5,4,5,19,true
CONCERN_ACA_1351,misreads instructions for {task},5,5,4,5,19,true
CONCERN_ACA_1357,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1357,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1357,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1366,skips planned study sessions,5,5,4,5,19,true
CONCERN_ACA_1366,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1366,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1859,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1859,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1859,avoids tasks related to {task},3,2,2,3,10,false
CONCERN_ACA_137,under-prepares for interviews,5,5,4,5,19,true
CONCERN_ACA_137,arrives underprepared for {task},5,5,4,5,19,true
CONCERN_ACA_137,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_1376,avoids challenges for fear of failing,5,5,4,5,19,true
CONCERN_ACA_1376,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1376,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1377,cannot describe a clear next career step,5,5,4,5,19,true
CONCERN_ACA_1377,misses opportunities by not acting on them,5,5,4,5,19,true
CONCERN_ACA_1377,misreads instructions for {task},5,5,4,5,19,true
CONCERN_ACA_1439,puts off starting {task} until pressured,5,5,4,5,19,true
CONCERN_ACA_1439,leaves {task} unfinished,5,5,4,5,19,true
CONCERN_ACA_1439,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_1439,starts {task} at the last minute,5,5,4,5,19,true
CONCERN_ACA_146,gets pulled away from {task} by distractions,5,5,4,5,19,true
CONCERN_ACA_146,checks the phone repeatedly during {task},5,5,4,5,19,true
CONCERN_ACA_146,loses focus within minutes of starting {task},5,5,4,5,19,true
CONCERN_ACA_146,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_146,skips planned study sessions,5,5,4,5,19,true
CONCERN_ACA_147,reacts strongly to small setbacks,5,5,4,5,19,true
CONCERN_ACA_147,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_147,struggles to stay composed under pressure,3,2,2,3,10,false
CONCERN_ACA_152,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_152,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_152,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1572,works without a clear plan for {task},5,5,4,5,19,true
CONCERN_ACA_1572,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1572,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1581,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1581,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1581,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1598,rarely notices how their actions affect {peers},5,5,4,5,19,true
CONCERN_ACA_1598,feels overwhelmed by {task},5,5,4,5,19,true
CONCERN_ACA_1598,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_16,under-prepares for interviews,5,5,4,5,19,true
CONCERN_ACA_16,gets pulled away from {task} by distractions,5,5,4,5,19,true
CONCERN_ACA_16,abandons routines for {task} after a few days,5,5,4,5,19,true
CONCERN_ACA_16,arrives underprepared for {task},5,5,4,5,19,true
CONCERN_ACA_16,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_1616,abandons routines for {task} after a few days,5,5,4,5,19,true
CONCERN_ACA_1616,rarely notices how their actions affect {peers},5,5,4,5,19,true
CONCERN_ACA_1616,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1627,works without a clear plan for {task},5,5,4,5,19,true
CONCERN_ACA_1627,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1627,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1648,loses focus within minutes of starting {task},5,5,4,5,19,true
CONCERN_ACA_1648,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1648,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1649,misreads instructions for {task},5,5,4,5,19,true
CONCERN_ACA_1649,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1649,gets stuck when {task} is unfamiliar,3,2,2,3,10,false
CONCERN_ACA_1650,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1650,freezes when a problem has no obvious answer,5,5,4,5,19,true
CONCERN_ACA_1650,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1651,accepts the first idea without checking it,5,5,4,5,19,true
CONCERN_ACA_1651,freezes when a problem has no obvious answer,5,5,4,5,19,true
CONCERN_ACA_1651,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1657,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1657,struggles to put ideas into writing,5,5,4,5,19,true
CONCERN_ACA_1657,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1663,forgets material learned for {evaluation},5,5,4,5,19,true
CONCERN_ACA_1663,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1663,gets stuck when {task} is unfamiliar,3,2,2,3,10,false
CONCERN_ACA_1664,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1664,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1664,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1685,loses focus within minutes of starting {task},5,5,4,5,19,true
CONCERN_ACA_1685,switches between tasks without finishing any,5,5,4,5,19,true
CONCERN_ACA_1685,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1686,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1686,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1686,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1687,gives up after the first mistake,5,5,4,5,19,true
CONCERN_ACA_1687,rarely explores topics beyond what is required,5,5,4,5,19,true
CONCERN_ACA_1687,waits to be told what to do next,5,5,4,5,19,true
CONCERN_ACA_1687,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1697,loses focus within minutes of starting {task},5,5,4,5,19,true
CONCERN_ACA_1697,switches between tasks without finishing any,5,5,4,5,19,true
CONCERN_ACA_1697,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1698,freezes when a problem has no obvious answer,5,5,4,5,19,true
CONCERN_ACA_1698,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1698,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1699,misreads instructions for {task},5,5,4,5,19,true
CONCERN_ACA_1699,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1699,gets stuck when {task} is unfamiliar,3,2,2,3,10,false
CONCERN_ACA_1700,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1700,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1700,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1705,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1705,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1705,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1707,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1707,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1707,avoids tasks related to {task},3,2,2,3,10,false
CONCERN_ACA_1708,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_1708,skips planned study sessions,5,5,4,5,19,true
CONCERN_ACA_1708,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1716,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1716,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1716,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1721,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1721,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1721,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1722,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1722,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1722,avoids tasks related to {task},3,2,2,3,10,false
CONCERN_ACA_1726,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1726,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1726,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1727,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1727,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1727,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1728,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1728,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1728,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1731,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1731,feels overwhelmed by {task},5,5,4,5,19,true
CONCERN_ACA_1731,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1734,avoids challenges for fear of failing,5,5,4,5,19,true
CONCERN_ACA_1734,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1734,struggles to stay composed under pressure,3,2,2,3,10,false
CONCERN_ACA_1737,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1737,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1737,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_175,doubts their ability to handle {task},5,5,4,5,19,true
CONCERN_ACA_175,under-prepares for interviews,5,5,4,5,19,true
CONCERN_ACA_175,arrives underprepared for {task},5,5,4,5,19,true
CONCERN_ACA_175,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_1761,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1761,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1761,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1763,crams the night before {evaluation},5,5,4,5,19,true
CONCERN_ACA_1763,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1763,avoids tasks related to {task},3,2,2,3,10,false
CONCERN_ACA_1767,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1767,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1767,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1768,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1768,freezes when a problem has no obvious answer,5,5,4,5,19,true
CONCERN_ACA_1768,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1793,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1793,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1793,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1822,feels unsure of where they fit at {setting},5,5,4,5,19,true
CONCERN_ACA_1822,struggles to make progress at {setting},3,2,2,3,10,false
CONCERN_ACA_1822,avoids tasks tied to career growth,3,2,2,3,10,false
CONCERN_ACA_1823,avoids challenges for fear of failing,5,5,4,5,19,true
CONCERN_ACA_1823,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1823,struggles to stay composed under pressure,3,2,2,3,10,false
CONCERN_ACA_1834,struggles to fit into the culture at {setting},5,5,4,5,19,true
CONCERN_ACA_1834,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1834,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1836,rarely notices how their actions affect {peers},5,5,4,5,19,true
CONCERN_ACA_1836,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1836,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1862,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1862,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1862,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1863,avoids challenges for fear of failing,5,5,4,5,19,true
CONCERN_ACA_1863,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1863,struggles to stay composed under pressure,3,2,2,3,10,false
CONCERN_ACA_1866,avoids challenges for fear of failing,5,5,4,5,19,true
CONCERN_ACA_1866,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_1866,struggles to stay composed under pressure,3,2,2,3,10,false
CONCERN_ACA_1869,skips planned study sessions,5,5,4,5,19,true
CONCERN_ACA_1869,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1869,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_188,feels unsure of where they fit at {setting},5,5,4,5,19,true
CONCERN_ACA_188,reacts strongly to small setbacks,5,5,4,5,19,true
CONCERN_ACA_188,struggles to make progress at {setting},3,2,2,3,10,false
CONCERN_ACA_1886,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1886,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1886,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1887,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1887,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1887,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1897,blames others when {task} goes wrong,5,5,4,5,19,true
CONCERN_ACA_1897,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1897,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1906,hesitates to give others honest feedback,5,5,4,5,19,true
CONCERN_ACA_1906,ignores feedback meant to improve {task},5,5,4,5,19,true
CONCERN_ACA_1906,avoids learning new approaches to {task},3,2,2,3,10,false
CONCERN_ACA_191,doubts their ability to handle {task},5,5,4,5,19,true
CONCERN_ACA_191,shows visible discomfort during {task},3,2,2,3,10,false
CONCERN_ACA_191,struggles to stay composed under pressure,3,2,2,3,10,false
CONCERN_ACA_1911,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1911,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1911,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1913,works without a clear plan for {task},5,5,4,5,19,true
CONCERN_ACA_1913,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1913,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1925,gets pulled away from {task} by distractions,5,5,4,5,19,true
CONCERN_ACA_1925,checks the phone repeatedly during {task},5,5,4,5,19,true
CONCERN_ACA_1925,loses focus within minutes of starting {task},5,5,4,5,19,true
CONCERN_ACA_1926,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1926,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1926,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1931,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1931,gets pulled away from {task} by distractions,5,5,4,5,19,true
CONCERN_ACA_1931,checks the phone repeatedly during {task},5,5,4,5,19,true
CONCERN_ACA_1931,loses focus within minutes of starting {task},5,5,4,5,19,true
CONCERN_ACA_1932,misreads instructions for {task},5,5,4,5,19,true
CONCERN_ACA_1932,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1932,gets stuck when {task} is unfamiliar,3,2,2,3,10,false
CONCERN_ACA_1937,forgets material learned for {evaluation},5,5,4,5,19,true
CONCERN_ACA_1937,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1937,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1938,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1938,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1938,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1939,avoids speaking up in {setting},5,5,4,5,19,true
CONCERN_ACA_1939,"gives very short, vague answers",5,5,4,5,19,true
CONCERN_ACA_1939,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1948,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1948,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1948,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1951,freezes when a problem has no obvious answer,5,5,4,5,19,true
CONCERN_ACA_1951,accepts the first idea without checking it,5,5,4,5,19,true
CONCERN_ACA_1951,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1953,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1953,struggles to put ideas into writing,5,5,4,5,19,true
CONCERN_ACA_1953,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1959,freezes when a problem has no obvious answer,5,5,4,5,19,true
CONCERN_ACA_1959,accepts the first idea without checking it,5,5,4,5,19,true
CONCERN_ACA_1959,has difficulty thinking through {task},3,2,2,3,10,false
CONCERN_ACA_1967,avoids taking the lead with {peers},5,5,4,5,19,true
CONCERN_ACA_1967,takes on everything instead of delegating,5,5,4,5,19,true
CONCERN_ACA_1967,hesitates to give others honest feedback,5,5,4,5,19,true
CONCERN_ACA_1973,puts off making decisions about {task},5,5,4,5,19,true
CONCERN_ACA_1973,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1973,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1974,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1974,takes on everything instead of delegating,5,5,4,5,19,true
CONCERN_ACA_1974,blames others when {task} goes wrong,5,5,4,5,19,true
CONCERN_ACA_1974,waits to be told what to do next,5,5,4,5,19,true
CONCERN_ACA_1978,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1978,shows difficulty with {task},3,2,2,3,10,false
CONCERN_ACA_1978,avoids tasks related to {task},3,2,2,3,10,false
CONCERN_ACA_1982,struggles to organize {task},3,2,2,3,10,false
CONCERN_ACA_1982,needs prompting to keep up with {task},3,2,2,3,10,false
CONCERN_ACA_1982,lets {task} slip without follow-through,3,2,2,3,10,false
CONCERN_ACA_1989,avoids the hardest {task},5,5,4,5,19,true
CONCERN_ACA_1989,struggles to decide what to do first,5,5,4,5,19,true
CONCERN_ACA_1989,repeats the same approach despite poor results,5,5,4,5,19,true
CONCERN_ACA_1995,skips planned study sessions,5,5,4,5,19,true
CONCERN_ACA_1995,re-reads notes without testing recall,5,5,4,5,19,true
CONCERN_ACA_1995,shows difficulty with {task},3,2,2,3,10,false
