intent,target_id,target_tag,before_class,after_class,resolved_id,confidence
"i keep struggling with career decision-making confidence",CONCERN_CAR_212,THINKING_QUALITY,drift,failure,,0
"i cannot manage career decision-making confidence",CONCERN_CAR_212,THINKING_QUALITY,drift,near,CONCERN_CAR_770,26
"i need help with career decision-making confidence",CONCERN_CAR_212,THINKING_QUALITY,drift,exact,CONCERN_CAR_212,30
"i need help with build career confidence after academic struggles",CONCERN_CAR_256,CONFIDENCE_SELF,drift,failure,,0
"i keep struggling with skill progress effectively",CONCERN_CAR_275,SELF_REFLECTION,drift,exact,CONCERN_CAR_275,34
"i have trouble with placement interviews",CONCERN_CAR_362,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_CAR_362,37
"i cannot manage placement rejection emotionally",CONCERN_CAR_365,EMOTIONAL_RECOVERY,drift,exact,CONCERN_CAR_365,34
"i cannot manage motivation during slow career progression",CONCERN_CAR_437,MOTIVATION_VALUES,drift,failure,,0
"i keep struggling with confidence after multiple job rejections",CONCERN_CAR_466,EMOTIONAL_RECOVERY,drift,exact,CONCERN_CAR_466,35
"i have trouble with career transition uncertainty",CONCERN_CAR_493,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_493,36
"i cannot manage career transition uncertainty",CONCERN_CAR_493,EMOTIONAL_REGULATION,drift,near,CONCERN_CAR_713,20
"i need help with career transition uncertainty",CONCERN_CAR_493,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_493,31
"difficulty sustaining emotional stability during workplace uncertainty",CONCERN_CAR_759,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_759,41
"i struggle with sustaining emotional stability during workplace uncertainty",CONCERN_CAR_759,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_759,40
"i have trouble with sustaining emotional stability during workplace uncertainty",CONCERN_CAR_759,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_759,40
"i keep struggling with sustaining emotional stability during workplace uncertainty",CONCERN_CAR_759,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_759,34
"i cannot manage sustaining emotional stability during workplace uncertainty",CONCERN_CAR_759,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_759,34
"i need help with sustaining emotional stability during workplace uncertainty",CONCERN_CAR_759,EMOTIONAL_REGULATION,drift,exact,CONCERN_CAR_759,34
"i cannot manage emotional pressure during succession discussions",CONCERN_CAR_841,LEADERSHIP_TRANSITION,drift,exact,CONCERN_CAR_841,33
"i keep struggling with building confidence in workplace decision-making",CONCERN_CAR_87,EMPLOYABILITY,drift,exact,CONCERN_CAR_87,34
"i cannot manage building confidence in workplace decision-making",CONCERN_CAR_87,EMPLOYABILITY,drift,exact,CONCERN_CAR_87,33
"i keep struggling with build strategic career narratives for interviews",CONCERN_CAR_994,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_CAR_994,34
"i cannot manage build strategic career narratives for interviews",CONCERN_CAR_994,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_CAR_994,34
"i need help with build strategic career narratives for interviews",CONCERN_CAR_994,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_CAR_994,34
"i struggle with recover from social rejection",CONCERN_CHA_1427,EMOTIONAL_RESILIENCE,drift,exact,CONCERN_CHA_1427,40
"i have trouble with recover from social rejection",CONCERN_CHA_1427,EMOTIONAL_RESILIENCE,drift,exact,CONCERN_CHA_1427,40
"i keep struggling with recover from social rejection",CONCERN_CHA_1427,EMOTIONAL_RESILIENCE,drift,exact,CONCERN_CHA_1427,34
"i cannot manage recover from social rejection",CONCERN_CHA_1427,EMOTIONAL_RESILIENCE,drift,exact,CONCERN_CHA_1427,34
"i need help with recover from social rejection",CONCERN_CHA_1427,EMOTIONAL_RESILIENCE,drift,exact,CONCERN_CHA_1427,34
"difficulty working in teams",CONCERN_CLA_1669,SOCIAL_EMOTIONAL,drift,exact,CONCERN_CLA_1669,36
"i have trouble with working in teams",CONCERN_CLA_1669,SOCIAL_EMOTIONAL,drift,exact,CONCERN_CLA_1669,35
"i keep struggling with academic planning skills",CONCERN_CLA_1706,ACADEMIC_PLANNING,drift,exact,CONCERN_CLA_1706,35
"i need help with supporting students with weak learning discipline",CONCERN_CLA_2130,DISCIPLINE_HABITS,drift,failure,,0
"difficulty handling emotional uncertainty during career transitions",CONCERN_COL_1147,CAREER_GROWTH,drift,exact,CONCERN_COL_1147,36
"i keep struggling with emotional uncertainty during career transitions",CONCERN_COL_1147,CAREER_GROWTH,drift,exact,CONCERN_COL_1147,32
"i need help with emotional uncertainty during career transitions",CONCERN_COL_1147,CAREER_GROWTH,drift,exact,CONCERN_COL_1147,32
"i struggle with self-directed learning skills",CONCERN_COL_2,EMPLOYABILITY_ACADEMIC,drift,exact,CONCERN_COL_2,40
"i keep struggling with self-directed learning skills",CONCERN_COL_2,EMPLOYABILITY_ACADEMIC,drift,exact,CONCERN_COL_2,40
"i cannot manage handling students with weak academic endurance",CONCERN_COL_2198,ACADEMIC_COGNITIVE,drift,failure,,0
"i keep struggling with supporting students with weak concept mapping skills",CONCERN_COL_2259,FOUNDATIONAL_LEARNING,drift,exact,CONCERN_COL_2259,32
"i need help with supporting students with weak concept mapping skills",CONCERN_COL_2259,FOUNDATIONAL_LEARNING,drift,failure,,0
"i cannot manage emotional pressure from peer placements",CONCERN_COL_411,CONFIDENCE_SELF,drift,near,CONCERN_WOR_1139,21
"i cannot manage emotional pressure during succession transitions",CONCERN_COL_911,LEADERSHIP_TRANSITION,drift,exact,CONCERN_COL_911,33
"weak ability to integrate emotional intelligence into enterprise strategy",CONCERN_COL_950,STRATEGIC_LEADERSHIP,drift,exact,CONCERN_COL_950,37
"i keep struggling with integrate emotional intelligence into enterprise strategy",CONCERN_COL_950,STRATEGIC_LEADERSHIP,drift,exact,CONCERN_COL_950,34
"i cannot manage integrate emotional intelligence into enterprise strategy",CONCERN_COL_950,STRATEGIC_LEADERSHIP,drift,exact,CONCERN_COL_950,34
"i need help with integrate emotional intelligence into enterprise strategy",CONCERN_COL_950,STRATEGIC_LEADERSHIP,drift,exact,CONCERN_COL_950,34
"difficulty managing emotional anxiety during job insecurity",CONCERN_COM_1091,EMPLOYABILITY,drift,exact,CONCERN_COM_1091,35
"i keep struggling with emotional anxiety during job insecurity",CONCERN_COM_1091,EMPLOYABILITY,drift,exact,CONCERN_COM_1091,32
"i need help with emotional anxiety during job insecurity",CONCERN_COM_1091,EMPLOYABILITY,drift,exact,CONCERN_COM_1091,32
"difficulty managing emotional anxiety during career stagnation",CONCERN_COM_1109,CAREER_GROWTH,drift,exact,CONCERN_COM_1109,35
"i keep struggling with emotional anxiety during career stagnation",CONCERN_COM_1109,CAREER_GROWTH,drift,exact,CONCERN_COM_1109,32
"i need help with emotional anxiety during career stagnation",CONCERN_COM_1109,CAREER_GROWTH,drift,exact,CONCERN_COM_1109,32
"i struggle with communication skills",CONCERN_COM_1655,COMMUNICATION_EXPRESSION,drift,near,CONCERN_SOC_2334,29
"i struggle with multiple subjects",CONCERN_COM_1684,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_COM_1684,36
"i have trouble with multiple subjects",CONCERN_COM_1684,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_COM_1684,36
"i keep struggling with solving higher-order questions",CONCERN_COM_1690,THINKING_QUALITY,drift,exact,CONCERN_COM_1690,42
"i struggle with conversational skills",CONCERN_COM_1786,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_COM_1786,39
"fear of asking questions",CONCERN_COM_1940,CONFIDENCE_SELF,drift,exact,CONCERN_COM_1940,49
"i struggle with fear of asking questions",CONCERN_COM_1940,CONFIDENCE_SELF,drift,exact,CONCERN_COM_1940,39
"i have trouble with fear of asking questions",CONCERN_COM_1940,CONFIDENCE_SELF,drift,exact,CONCERN_COM_1940,39
"i keep struggling with fear of asking questions",CONCERN_COM_1940,CONFIDENCE_SELF,drift,exact,CONCERN_COM_1940,34
"i cannot manage fear of asking questions",CONCERN_COM_1940,CONFIDENCE_SELF,drift,exact,CONCERN_COM_1940,34
"i need help with fear of asking questions",CONCERN_COM_1940,CONFIDENCE_SELF,drift,exact,CONCERN_COM_1940,34
"difficulty handling academic uncertainty",CONCERN_COM_2053,EXAMINATION_STRESS,drift,exact,CONCERN_COM_2053,31
"i have trouble with academic uncertainty",CONCERN_COM_2053,EXAMINATION_STRESS,drift,exact,CONCERN_COM_2053,32
"i keep struggling with cognitive flexibility in learning",CONCERN_COM_2095,LEARNING_ADAPTABILITY,drift,exact,CONCERN_COM_2095,34
"i keep struggling with academic confidence after school change",CONCERN_COM_2109,ADJUSTMENT_COPING,drift,exact,CONCERN_COM_2109,33
"i keep struggling with supporting students with weak academic planning",CONCERN_COM_2207,DISCIPLINE_HABITS,drift,failure,,0
"i need help with supporting students with weak academic planning",CONCERN_COM_2207,DISCIPLINE_HABITS,drift,failure,,0
"i keep struggling with supporting students with low academic persistence",CONCERN_COM_2213,MOTIVATION_VALUES,drift,exact,CONCERN_COM_2213,32
"i need help with supporting students with low academic persistence",CONCERN_COM_2213,MOTIVATION_VALUES,drift,exact,CONCERN_COM_2213,32
"i need help with managing students with weak academic reflection practices",CONCERN_COM_2254,SELF_REFLECTION,drift,failure,,0
"i need help with supporting students with weak learning adaptability during curriculum changes",CONCERN_COM_2295,LEARNING_ADAPTABILITY,drift,failure,,0
"difficulty managing semester pressure",CONCERN_COM_23,EXAMINATION_STRESS,drift,exact,CONCERN_COM_23,32
"difficulty understanding workplace expectations",CONCERN_COM_367,CAREER_READINESS,drift,exact,CONCERN_COM_367,38
"i struggle with understanding workplace expectations",CONCERN_COM_367,CAREER_READINESS,drift,exact,CONCERN_COM_367,37
"i have trouble with understanding workplace expectations",CONCERN_COM_367,CAREER_READINESS,drift,exact,CONCERN_COM_367,37
"i need help with understanding workplace expectations",CONCERN_COM_367,CAREER_READINESS,drift,exact,CONCERN_COM_367,31
"i keep struggling with confidence after poor interview performance",CONCERN_COM_383,EMOTIONAL_RECOVERY,drift,exact,CONCERN_COM_383,34
"i cannot manage placement preparation alongside academic pressure",CONCERN_COM_387,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_387,37
"i keep struggling with emotional stability during job search delays",CONCERN_COM_396,EMOTIONAL_RECOVERY,drift,exact,CONCERN_COM_396,34
"i need help with emotional stability during job search delays",CONCERN_COM_396,EMOTIONAL_RECOVERY,drift,exact,CONCERN_COM_396,34
"weak ability to manage workplace priorities without supervision",CONCERN_COM_434,OWNERSHIP_ACCOUNTABILITY,drift,exact,CONCERN_COM_434,31
"i keep struggling with building confidence after layoffs",CONCERN_COM_481,EMOTIONAL_RECOVERY,drift,exact,CONCERN_COM_481,33
"i have trouble with emotional pressure from financial responsibilities",CONCERN_COM_527,EMOTIONAL_REGULATION,drift,exact,CONCERN_COM_527,32
"difficulty handling employment instability emotionally",CONCERN_COM_541,EMOTIONAL_REGULATION,drift,exact,CONCERN_COM_541,37
"i have trouble with employment instability emotionally",CONCERN_COM_541,EMOTIONAL_REGULATION,drift,exact,CONCERN_COM_541,40
"i keep struggling with employment instability emotionally",CONCERN_COM_541,EMOTIONAL_REGULATION,drift,exact,CONCERN_COM_541,34
"i need help with employment instability emotionally",CONCERN_COM_541,EMOTIONAL_REGULATION,drift,exact,CONCERN_COM_541,34
"i cannot manage career stagnation emotionally",CONCERN_COM_575,CAREER_GROWTH,drift,exact,CONCERN_COM_575,33
"difficulty managing long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,drift,exact,CONCERN_COM_65,33
"i struggle with long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,drift,failure,,0
"i have trouble with long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,drift,exact,CONCERN_COM_65,36
"i keep struggling with long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,drift,exact,CONCERN_COM_65,30
"i need help with long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,drift,failure,,0
"difficulty building consistent work discipline",CONCERN_COM_677,DISCIPLINE_HABITS,drift,exact,CONCERN_COM_677,42
"difficulty managing emotional exhaustion during long projects",CONCERN_COM_715,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_715,35
"i keep struggling with emotional exhaustion during long projects",CONCERN_COM_715,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_715,33
"i cannot manage emotional exhaustion during long projects",CONCERN_COM_715,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_715,33
"i need help with emotional exhaustion during long projects",CONCERN_COM_715,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_715,33
"difficulty managing family expectations during career transition",CONCERN_COM_975,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_975,35
"i keep struggling with family expectations during career transition",CONCERN_COM_975,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_975,33
"i cannot manage family expectations during career transition",CONCERN_COM_975,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_975,33
"i need help with family expectations during career transition",CONCERN_COM_975,LIFESTYLE_PRESSURE,drift,exact,CONCERN_COM_975,33
"i cannot manage isolation during preparation",CONCERN_CON_133,SOCIAL_EMOTIONAL,drift,exact,CONCERN_CON_133,31
"i cannot manage confidence",CONCERN_CON_1735,CONFIDENCE_SELF,drift,near,CONCERN_EMO_740,16
"career confusion",CONCERN_CON_1736,ACADEMIC_IDENTITY,drift,exact,CONCERN_CON_1736,45
"i have trouble with career confusion",CONCERN_CON_1736,ACADEMIC_IDENTITY,drift,exact,CONCERN_CON_1736,33
"social anxiety",CONCERN_CON_1782,SOCIAL_EMOTIONAL,drift,exact,CONCERN_CON_1782,50
"i have trouble with social anxiety",CONCERN_CON_1782,SOCIAL_EMOTIONAL,drift,exact,CONCERN_CON_1782,36
"lack of curiosity",CONCERN_CON_1795,MOTIVATION_VALUES,drift,exact,CONCERN_CON_1795,34
"i struggle with learned helplessness",CONCERN_CON_1812,EXAMINATION_STRESS,drift,exact,CONCERN_CON_1812,39
"fear of making mistakes",CONCERN_CON_1818,CONFIDENCE_SELF,drift,exact,CONCERN_CON_1818,48
"i struggle with fear of making mistakes",CONCERN_CON_1818,CONFIDENCE_SELF,drift,exact,CONCERN_CON_1818,39
"i have trouble with fear of making mistakes",CONCERN_CON_1818,CONFIDENCE_SELF,drift,exact,CONCERN_CON_1818,39
"i keep struggling with fear of making mistakes",CONCERN_CON_1818,CONFIDENCE_SELF,drift,exact,CONCERN_CON_1818,33
"i need help with fear of making mistakes",CONCERN_CON_1818,CONFIDENCE_SELF,drift,exact,CONCERN_CON_1818,33
"i keep struggling with child becoming emotionally detached from grandparents",CONCERN_CON_1867,ADJUSTMENT_COPING,drift,exact,CONCERN_CON_1867,35
"i cannot manage child becoming emotionally detached from grandparents",CONCERN_CON_1867,ADJUSTMENT_COPING,drift,exact,CONCERN_CON_1867,35
"i need help with child becoming emotionally detached from grandparents",CONCERN_CON_1867,ADJUSTMENT_COPING,drift,exact,CONCERN_CON_1867,35
"i keep struggling with building confidence after long study gaps",CONCERN_CON_189,MOTIVATION_VALUES,drift,exact,CONCERN_CON_189,32
"i keep struggling with emotional recovery after criticism",CONCERN_CON_1891,EXAMINATION_STRESS,drift,exact,CONCERN_CON_1891,34
"i keep struggling with child becoming emotionally overwhelmed by news & media",CONCERN_CON_1909,LIFESTYLE_PRESSURE,drift,exact,CONCERN_CON_1909,35
"i cannot manage child becoming emotionally overwhelmed by news & media",CONCERN_CON_1909,LIFESTYLE_PRESSURE,drift,exact,CONCERN_CON_1909,35
"i need help with child becoming emotionally overwhelmed by news & media",CONCERN_CON_1909,LIFESTYLE_PRESSURE,drift,exact,CONCERN_CON_1909,35
"i keep struggling with academic expectations from parents",CONCERN_CON_2087,EXAMINATION_STRESS,drift,exact,CONCERN_CON_2087,32
"i need help with supporting students with weak exam strategy",CONCERN_CON_2140,EXAMINATION_READINESS,drift,failure,,0
"i keep struggling with student stress before exams",CONCERN_CON_2145,EXAMINATION_STRESS,drift,exact,CONCERN_CON_2145,36
"i need help with student stress before exams",CONCERN_CON_2145,EXAMINATION_STRESS,drift,exact,CONCERN_CON_2145,36
"i keep struggling with managing students with weak collaborative communication",CONCERN_CON_2204,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_CON_2204,31
"i cannot manage managing students with weak collaborative communication",CONCERN_CON_2204,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_CON_2204,31
"i need help with managing students with weak collaborative communication",CONCERN_CON_2204,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_CON_2204,31
"i keep struggling with helping students recover after academic failure",CONCERN_CON_2225,EXAMINATION_STRESS,drift,exact,CONCERN_CON_2225,34
"i keep struggling with handling students with weak concept revision methods",CONCERN_CON_2234,EXAMINATION_READINESS,drift,exact,CONCERN_CON_2234,31
"i cannot manage handling students with weak concept revision methods",CONCERN_CON_2234,EXAMINATION_READINESS,drift,failure,,0
"i keep struggling with supporting students with weak academic goal clarity",CONCERN_CON_2244,ACADEMIC_IDENTITY,drift,failure,,0
"i need help with supporting students with weak academic goal clarity",CONCERN_CON_2244,ACADEMIC_IDENTITY,drift,failure,,0
"i need help with students overdependent on external validation",CONCERN_CON_2365,CONFIDENCE_SELF,drift,exact,CONCERN_CON_2365,39
"difficulty adjusting to academic transitions",CONCERN_CON_2367,ADJUSTMENT_COPING,drift,exact,CONCERN_CON_2367,39
"i have trouble with adjusting to academic transitions",CONCERN_CON_2367,ADJUSTMENT_COPING,drift,exact,CONCERN_CON_2367,38
"i cannot manage adjusting to academic transitions",CONCERN_CON_2367,ADJUSTMENT_COPING,drift,exact,CONCERN_CON_2367,32
"i need help with adjusting to academic transitions",CONCERN_CON_2367,ADJUSTMENT_COPING,drift,near,CONCERN_DIS_2215,33
"i struggle with awareness of emerging career opportunities",CONCERN_CON_516,CAREER_READINESS,drift,exact,CONCERN_CON_516,35
"i have trouble with awareness of emerging career opportunities",CONCERN_CON_516,CAREER_READINESS,drift,exact,CONCERN_CON_516,35
"i keep struggling with building entrepreneurial confidence",CONCERN_CON_59,CAREER_READINESS,drift,exact,CONCERN_CON_59,38
"i cannot manage building entrepreneurial confidence",CONCERN_CON_59,CAREER_READINESS,drift,exact,CONCERN_CON_59,36
"i struggle with confidence in non-traditional careers",CONCERN_DEC_1385,ALTERNATIVE_CAREER,drift,exact,CONCERN_DEC_1385,40
"i have trouble with confidence in non-traditional careers",CONCERN_DEC_1385,ALTERNATIVE_CAREER,drift,exact,CONCERN_DEC_1385,40
"i keep struggling with confidence in non-traditional careers",CONCERN_DEC_1385,ALTERNATIVE_CAREER,drift,exact,CONCERN_DEC_1385,34
"i cannot manage confidence in non-traditional careers",CONCERN_DEC_1385,ALTERNATIVE_CAREER,drift,exact,CONCERN_DEC_1385,34
"i need help with confidence in non-traditional careers",CONCERN_DEC_1385,ALTERNATIVE_CAREER,drift,exact,CONCERN_DEC_1385,34
"lack of ownership for personal growth",CONCERN_DEC_1436,GROWTH_ACCOUNTABILITY,drift,exact,CONCERN_DEC_1436,41
"i struggle with ownership for personal growth",CONCERN_DEC_1436,GROWTH_ACCOUNTABILITY,drift,failure,,0
"i have trouble with ownership for personal growth",CONCERN_DEC_1436,GROWTH_ACCOUNTABILITY,drift,exact,CONCERN_DEC_1436,38
"i keep struggling with ownership for personal growth",CONCERN_DEC_1436,GROWTH_ACCOUNTABILITY,drift,exact,CONCERN_DEC_1436,32
"i cannot manage ownership for personal growth",CONCERN_DEC_1436,GROWTH_ACCOUNTABILITY,drift,exact,CONCERN_DEC_1436,32
"i need help with ownership for personal growth",CONCERN_DEC_1436,GROWTH_ACCOUNTABILITY,drift,exact,CONCERN_DEC_1436,32
"i struggle with confidence in peer interactions",CONCERN_DEC_1470,SOCIAL_LEADERSHIP,drift,failure,,0
"i have trouble with confidence in peer interactions",CONCERN_DEC_1470,SOCIAL_LEADERSHIP,drift,exact,CONCERN_DEC_1470,37
"i cannot manage confidence in peer interactions",CONCERN_DEC_1470,SOCIAL_LEADERSHIP,drift,exact,CONCERN_DEC_1470,31
"i need help with confidence in peer interactions",CONCERN_DEC_1470,SOCIAL_LEADERSHIP,drift,exact,CONCERN_DEC_1470,31
"i cannot manage emotional recovery after poor mock scores",CONCERN_DIS_110,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_110,32
"weak emotional control during negative feedback",CONCERN_DIS_126,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_126,44
"i struggle with emotional control during negative feedback",CONCERN_DIS_126,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_126,43
