intent,target_id,target_tag,resolved_id,resolved_tag,klass,tie,matched,nTok,score
i cannot manage academic focus,CONCERN_PUR_1647,ACADEMIC_COGNITIVE,,,failure,51,2,4,50
i need help with self-discipline,CONCERN_DIS_1943,DISCIPLINE_HABITS,,,failure,49,1,3,33
i cannot manage career awareness,CONCERN_EXA_1833,ACADEMIC_IDENTITY,,,failure,49,2,4,50
i cannot manage career awareness,CONCERN_THI_1966,ACADEMIC_IDENTITY,,,failure,49,2,4,50
i cannot manage comparison stress,CONCERN_LIF_1753,CONFIDENCE_SELF,,,failure,47,2,4,50
i need help with procrastination,CONCERN_MOT_1744,DISCIPLINE_HABITS,,,failure,47,1,3,33
i struggle with curiosity,CONCERN_CON_1795,MOTIVATION_VALUES,,,failure,46,1,2,50
i need help with work-life boundaries,CONCERN_EMO_605,LIFESTYLE_PRESSURE,,,failure,46,1,4,25
i cannot manage academic confidence,CONCERN_THI_1652,CONFIDENCE_SELF,,,failure,46,2,4,50
i have trouble with academic focus,CONCERN_ACA_1931,ACADEMIC_COGNITIVE,CONCERN_ACA_146,ACADEMIC_COGNITIVE,near,45,2,3,67
i keep struggling with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,,,failure,45,2,4,50
i keep struggling with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,,,failure,45,2,4,50
i have trouble with academic focus,CONCERN_PUR_1647,ACADEMIC_COGNITIVE,CONCERN_ACA_146,ACADEMIC_COGNITIVE,near,45,2,3,67
i struggle with accountability,CONCERN_ADJ_1810,MOTIVATION_VALUES,,,failure,44,1,2,50
i need help with loneliness,CONCERN_SOC_1757,ADJUSTMENT_COPING,,,failure,44,1,3,33
i cannot manage workplace networking,CONCERN_CAR_390,SOCIAL_EMOTIONAL,,,failure,43,2,4,50
i keep struggling with study discipline,CONCERN_DIS_1660,DISCIPLINE_HABITS,,,failure,43,2,4,50
i keep struggling with study motivation,CONCERN_DIS_1985,MOTIVATION_VALUES,,,failure,43,2,4,50
i keep struggling with study motivation,CONCERN_DIS_2473,MOTIVATION_VALUES,,,failure,43,2,4,50
i need help with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,,,failure,43,2,4,50
i keep struggling with study discipline,CONCERN_LEA_1438,ACADEMIC_BEHAVIOR,,,failure,43,2,4,50
i need help with gratitude,CONCERN_EXA_1856,MOTIVATION_VALUES,,,failure,42,1,3,33
i keep struggling with managing professional responsibilities,CONCERN_ADJ_392,CONFIDENCE_SELF,,,failure,40,2,5,40
i struggle with study discipline,CONCERN_DIS_1660,DISCIPLINE_HABITS,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i have trouble with study discipline,CONCERN_DIS_1660,DISCIPLINE_HABITS,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i struggle with study motivation,CONCERN_DIS_1985,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i have trouble with study motivation,CONCERN_DIS_1985,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i struggle with study motivation,CONCERN_DIS_2473,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i have trouble with study motivation,CONCERN_DIS_2473,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i struggle with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,CONCERN_ACA_1019,EMOTIONAL_REGULATION,drift,40,2,3,67
i keep struggling with career awareness,CONCERN_EXA_1833,ACADEMIC_IDENTITY,,,failure,40,2,4,50
i struggle with study discipline,CONCERN_LEA_1438,ACADEMIC_BEHAVIOR,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i have trouble with study discipline,CONCERN_LEA_1438,ACADEMIC_BEHAVIOR,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i struggle with distractions,CONCERN_SEL_1416,PRODUCTIVITY_COACHING,,,failure,40,1,2,50
i keep struggling with career awareness,CONCERN_THI_1966,ACADEMIC_IDENTITY,,,failure,40,2,4,50
i struggle with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,CONCERN_ACA_231,EXAMINATION_STRESS,drift,38,2,3,67
i need help with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,,,failure,38,2,4,50
i need help with peer pressure,CONCERN_DIS_1745,SOCIAL_EMOTIONAL,,,failure,38,2,4,50
weak emotional regulation,CONCERN_DIS_1780,EXAMINATION_STRESS,CONCERN_ACA_1062,EMOTIONAL_REGULATION,drift,38,3,3,100
i keep struggling with peer pressure,CONCERN_DIS_1745,SOCIAL_EMOTIONAL,,,failure,36,2,4,50
emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,CONCERN_ACA_1019,EMOTIONAL_REGULATION,drift,36,2,2,100
i have trouble with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,CONCERN_ACA_1019,EMOTIONAL_REGULATION,drift,36,2,3,67
comparison stress,CONCERN_LIF_1753,CONFIDENCE_SELF,CONCERN_ACA_1731,EXAMINATION_STRESS,drift,36,2,2,100
i have trouble with comparison stress,CONCERN_LIF_1753,CONFIDENCE_SELF,CONCERN_ACA_1731,EXAMINATION_STRESS,drift,36,2,3,67
lack of discipline,CONCERN_ADJ_1749,DISCIPLINE_HABITS,CONCERN_ACA_1687,MOTIVATION_VALUES,drift,35,2,2,100
i cannot manage workplace collaboration,CONCERN_CAR_380,COLLABORATION_OWNERSHIP,,,failure,35,2,4,50
career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,CONCERN_ACA_231,EXAMINATION_STRESS,drift,35,2,2,100
i have trouble with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,CONCERN_ACA_231,EXAMINATION_STRESS,drift,35,2,3,67
