kind,redundant,text_a,text_b,overlap,archetype_a,archetype_b,stakeholder_a,stakeholder_b
stakeholder,false,Help your child build a daily habit — a thirty-minute homework and revision block at a set time.,Anchor a daily habit with your client — a thirty-minute homework and revision block at a set time.,0.643,academic_achievement,academic_achievement,parent,counselor
stakeholder,false,Help your child build a daily habit — a thirty-minute homework and revision block at a set time.,Build a daily workday habit — a thirty-minute homework and revision block at a set time.,0.769,academic_achievement,academic_achievement,parent,professional
stakeholder,false,Encourage a daily classroom habit — a thirty-minute homework and revision block at a set time.,Anchor a daily habit with your client — a thirty-minute homework and revision block at a set time.,0.692,academic_achievement,academic_achievement,teacher,counselor
stakeholder,false,Encourage a daily classroom habit — a thirty-minute homework and revision block at a set time.,Build a daily workday habit — a thirty-minute homework and revision block at a set time.,0.692,academic_achievement,academic_achievement,teacher,professional
stakeholder,false,Anchor a daily habit with your client — a thirty-minute homework and revision block at a set time.,Build a daily workday habit — a thirty-minute homework and revision block at a set time.,0.692,academic_achievement,academic_achievement,counselor,professional
stakeholder,false,Practise this skill each week — turning past exam papers into targeted revision practice.,Practise this skill each week at work — turning past exam papers into targeted revision practice.,0.923,academic_achievement,academic_achievement,student,professional
stakeholder,false,Give your child weekly practice — turning past exam papers into targeted revision practice.,Set weekly practice for the student — turning past exam papers into targeted revision practice.,0.692,academic_achievement,academic_achievement,parent,teacher
stakeholder,false,Give your child weekly practice — turning past exam papers into targeted revision practice.,Assign your client weekly practice — turning past exam papers into targeted revision practice.,0.692,academic_achievement,academic_achievement,parent,counselor
stakeholder,false,Set weekly practice for the student — turning past exam papers into targeted revision practice.,Assign your client weekly practice — turning past exam papers into targeted revision practice.,0.692,academic_achievement,academic_achievement,teacher,counselor
stakeholder,false,"Today, write down one new option instead of stalling the next time a plan changes.","Today, help your child write down one new option instead of stalling the next time a plan changes.",0.846,adaptability_change,adaptability_change,student,parent
stakeholder,false,"Today, write down one new option instead of stalling the next time a plan changes.","In class today, have the student write down one new option instead of stalling the next time a plan changes.",0.846,adaptability_change,adaptability_change,student,teacher
stakeholder,false,"Today, write down one new option instead of stalling the next time a plan changes.","In today’s session, guide your client to write down one new option instead of stalling the next time a plan changes.",0.786,adaptability_change,adaptability_change,student,counselor
stakeholder,false,"Today, write down one new option instead of stalling the next time a plan changes.","Before the workday ends, write down one new option instead of stalling the next time a plan changes.",0.714,adaptability_change,adaptability_change,student,professional
stakeholder,false,"Today, help your child write down one new option instead of stalling the next time a plan changes.","In class today, have the student write down one new option instead of stalling the next time a plan changes.",0.733,adaptability_change,adaptability_change,parent,teacher
stakeholder,false,"Today, help your child write down one new option instead of stalling the next time a plan changes.","In today’s session, guide your client to write down one new option instead of stalling the next time a plan changes.",0.688,adaptability_change,adaptability_change,parent,counselor
stakeholder,false,"Today, help your child write down one new option instead of stalling the next time a plan changes.","Before the workday ends, write down one new option instead of stalling the next time a plan changes.",0.625,adaptability_change,adaptability_change,parent,professional
stakeholder,false,"In class today, have the student write down one new option instead of stalling the next time a plan changes.","In today’s session, guide your client to write down one new option instead of stalling the next time a plan changes.",0.688,adaptability_change,adaptability_change,teacher,counselor
stakeholder,false,"In class today, have the student write down one new option instead of stalling the next time a plan changes.","Before the workday ends, write down one new option instead of stalling the next time a plan changes.",0.625,adaptability_change,adaptability_change,teacher,professional
stakeholder,false,"Each day this week, note one change faced and how it was handled.","Each day this week, help your child note one change faced and how it was handled.",0.833,adaptability_change,adaptability_change,student,parent
stakeholder,false,"Each day this week, note one change faced and how it was handled.","Each day this week, have the student note one change faced and how it was handled.",0.909,adaptability_change,adaptability_change,student,teacher
stakeholder,false,"Each day this week, note one change faced and how it was handled.",Set a one-week task for your client to note one change faced and how it was handled.,0.615,adaptability_change,adaptability_change,student,counselor
stakeholder,false,"Each day this week, note one change faced and how it was handled.","Each workday this week, note one change faced and how it was handled.",0.818,adaptability_change,adaptability_change,student,professional
stakeholder,false,"Each day this week, help your child note one change faced and how it was handled.","Each day this week, have the student note one change faced and how it was handled.",0.769,adaptability_change,adaptability_change,parent,teacher
stakeholder,false,"Each day this week, help your child note one change faced and how it was handled.","Each workday this week, note one change faced and how it was handled.",0.692,adaptability_change,adaptability_change,parent,professional
semantic,true,"Each day this week, help your child note one change faced and how it was handled.","Each day this week, help your child log one knock or rejection and how it was handled.",0.6,adaptability_change,resilience_recovery,parent,parent
stakeholder,false,"Each day this week, have the student note one change faced and how it was handled.","Each workday this week, note one change faced and how it was handled.",0.75,adaptability_change,adaptability_change,teacher,professional
stakeholder,false,Set a one-week task for your client to note one change faced and how it was handled.,"Each workday this week, note one change faced and how it was handled.",0.615,adaptability_change,adaptability_change,counselor,professional
stakeholder,false,"Over the next 30 days, follow a practice of handling one unexpected change a week on purpose.","Over the next 30 days, help your child follow a practice of handling one unexpected change a week on purpose.",0.846,adaptability_change,adaptability_change,student,parent
stakeholder,false,"Over the next 30 days, follow a practice of handling one unexpected change a week on purpose.","Over the next month, coach the student to follow a practice of handling one unexpected change a week on purpose.",0.714,adaptability_change,adaptability_change,student,teacher
stakeholder,false,"Over the next 30 days, follow a practice of handling one unexpected change a week on purpose.","Over the next 30 days at work, follow a practice of handling one unexpected change a week on purpose.",0.917,adaptability_change,adaptability_change,student,professional
stakeholder,false,"Over the next 30 days, help your child follow a practice of handling one unexpected change a week on purpose.","Over the next month, coach the student to follow a practice of handling one unexpected change a week on purpose.",0.625,adaptability_change,adaptability_change,parent,teacher
stakeholder,false,"Over the next 30 days, help your child follow a practice of handling one unexpected change a week on purpose.","Over the next 30 days at work, follow a practice of handling one unexpected change a week on purpose.",0.786,adaptability_change,adaptability_change,parent,professional
stakeholder,false,"Over the next month, coach the student to follow a practice of handling one unexpected change a week on purpose.","Over the next 30 days at work, follow a practice of handling one unexpected change a week on purpose.",0.667,adaptability_change,adaptability_change,teacher,professional
stakeholder,false,"Across a 30-day plan, work with your client to follow a practice of handling one unexpected change a week on purpose.","Over the next 30 days at work, follow a practice of handling one unexpected change a week on purpose.",0.6,adaptability_change,adaptability_change,counselor,professional
stakeholder,false,"Over the next 90 days, build calm adaptability through a term of managed transitions.","Over the next quarter at work, build calm adaptability through a term of managed transitions.",0.75,adaptability_change,adaptability_change,student,professional
stakeholder,false,"Across this term, help your child build calm adaptability through a term of managed transitions.","Across the term, support the student to build calm adaptability through a term of managed transitions.",0.636,adaptability_change,adaptability_change,parent,teacher
stakeholder,false,Build a daily habit — a quick reset plan whenever the routine suddenly shifts.,Help your child build a daily habit — a quick reset plan whenever the routine suddenly shifts.,0.833,adaptability_change,adaptability_change,student,parent
stakeholder,false,Build a daily habit — a quick reset plan whenever the routine suddenly shifts.,Encourage a daily classroom habit — a quick reset plan whenever the routine suddenly shifts.,0.75,adaptability_change,adaptability_change,student,teacher
stakeholder,false,Build a daily habit — a quick reset plan whenever the routine suddenly shifts.,Anchor a daily habit with your client — a quick reset plan whenever the routine suddenly shifts.,0.75,adaptability_change,adaptability_change,student,counselor
stakeholder,false,Build a daily habit — a quick reset plan whenever the routine suddenly shifts.,Build a daily workday habit — a quick reset plan whenever the routine suddenly shifts.,0.909,adaptability_change,adaptability_change,student,professional
stakeholder,false,Help your child build a daily habit — a quick reset plan whenever the routine suddenly shifts.,Encourage a daily classroom habit — a quick reset plan whenever the routine suddenly shifts.,0.643,adaptability_change,adaptability_change,parent,teacher
stakeholder,false,Help your child build a daily habit — a quick reset plan whenever the routine suddenly shifts.,Anchor a daily habit with your client — a quick reset plan whenever the routine suddenly shifts.,0.643,adaptability_change,adaptability_change,parent,counselor
stakeholder,false,Help your child build a daily habit — a quick reset plan whenever the routine suddenly shifts.,Build a daily workday habit — a quick reset plan whenever the routine suddenly shifts.,0.769,adaptability_change,adaptability_change,parent,professional
stakeholder,false,Encourage a daily classroom habit — a quick reset plan whenever the routine suddenly shifts.,Anchor a daily habit with your client — a quick reset plan whenever the routine suddenly shifts.,0.692,adaptability_change,adaptability_change,teacher,counselor
stakeholder,false,Encourage a daily classroom habit — a quick reset plan whenever the routine suddenly shifts.,Build a daily workday habit — a quick reset plan whenever the routine suddenly shifts.,0.692,adaptability_change,adaptability_change,teacher,professional
stakeholder,false,Anchor a daily habit with your client — a quick reset plan whenever the routine suddenly shifts.,Build a daily workday habit — a quick reset plan whenever the routine suddenly shifts.,0.692,adaptability_change,adaptability_change,counselor,professional
stakeholder,false,Practise this skill each week — turning an unexpected change into a clear list of next steps.,Practise this skill each week at work — turning an unexpected change into a clear list of next steps.,0.923,adaptability_change,adaptability_change,student,professional
stakeholder,false,Give your child weekly practice — turning an unexpected change into a clear list of next steps.,Set weekly practice for the student — turning an unexpected change into a clear list of next steps.,0.714,adaptability_change,adaptability_change,parent,teacher
stakeholder,false,Give your child weekly practice — turning an unexpected change into a clear list of next steps.,Assign your client weekly practice — turning an unexpected change into a clear list of next steps.,0.714,adaptability_change,adaptability_change,parent,counselor
stakeholder,false,Set weekly practice for the student — turning an unexpected change into a clear list of next steps.,Assign your client weekly practice — turning an unexpected change into a clear list of next steps.,0.714,adaptability_change,adaptability_change,teacher,counselor
stakeholder,false,"Today, list three roles or career paths worth exploring and one question to ask about each.","Today, help your child list three roles or career paths worth exploring and one question to ask about each.",0.857,career_professional_growth,career_professional_growth,student,parent
stakeholder,false,"Today, list three roles or career paths worth exploring and one question to ask about each.","In class today, have the student list three roles or career paths worth exploring and one question to ask about each.",0.857,career_professional_growth,career_professional_growth,student,teacher
stakeholder,false,"Today, list three roles or career paths worth exploring and one question to ask about each.","In today’s session, guide your client to list three roles or career paths worth exploring and one question to ask about each.",0.8,career_professional_growth,career_professional_growth,student,counselor
stakeholder,false,"Today, list three roles or career paths worth exploring and one question to ask about each.","Before the workday ends, list three roles or career paths worth exploring and one question to ask about each.",0.733,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,"Today, help your child list three roles or career paths worth exploring and one question to ask about each.","In class today, have the student list three roles or career paths worth exploring and one question to ask about each.",0.75,career_professional_growth,career_professional_growth,parent,teacher
stakeholder,false,"Today, help your child list three roles or career paths worth exploring and one question to ask about each.","In today’s session, guide your client to list three roles or career paths worth exploring and one question to ask about each.",0.706,career_professional_growth,career_professional_growth,parent,counselor
stakeholder,false,"Today, help your child list three roles or career paths worth exploring and one question to ask about each.","Before the workday ends, list three roles or career paths worth exploring and one question to ask about each.",0.647,career_professional_growth,career_professional_growth,parent,professional
stakeholder,false,"In class today, have the student list three roles or career paths worth exploring and one question to ask about each.","In today’s session, guide your client to list three roles or career paths worth exploring and one question to ask about each.",0.706,career_professional_growth,career_professional_growth,teacher,counselor
stakeholder,false,"In class today, have the student list three roles or career paths worth exploring and one question to ask about each.","Before the workday ends, list three roles or career paths worth exploring and one question to ask about each.",0.647,career_professional_growth,career_professional_growth,teacher,professional
stakeholder,false,"In today’s session, guide your client to list three roles or career paths worth exploring and one question to ask about each.","Before the workday ends, list three roles or career paths worth exploring and one question to ask about each.",0.611,career_professional_growth,career_professional_growth,counselor,professional
stakeholder,false,"Each day this week, research jobs, roles, and the skills they need for twenty minutes.","Each day this week, help your child research jobs, roles, and the skills they need for twenty minutes.",0.833,career_professional_growth,career_professional_growth,student,parent
stakeholder,false,"Each day this week, research jobs, roles, and the skills they need for twenty minutes.","Each day this week, have the student research jobs, roles, and the skills they need for twenty minutes.",0.909,career_professional_growth,career_professional_growth,student,teacher
stakeholder,false,"Each day this week, research jobs, roles, and the skills they need for twenty minutes.","Each workday this week, research jobs, roles, and the skills they need for twenty minutes.",0.818,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,"Each day this week, help your child research jobs, roles, and the skills they need for twenty minutes.","Each day this week, have the student research jobs, roles, and the skills they need for twenty minutes.",0.769,career_professional_growth,career_professional_growth,parent,teacher
stakeholder,false,"Each day this week, help your child research jobs, roles, and the skills they need for twenty minutes.","Each workday this week, research jobs, roles, and the skills they need for twenty minutes.",0.692,career_professional_growth,career_professional_growth,parent,professional
stakeholder,false,"Each day this week, have the student research jobs, roles, and the skills they need for twenty minutes.","Each workday this week, research jobs, roles, and the skills they need for twenty minutes.",0.75,career_professional_growth,career_professional_growth,teacher,professional
stakeholder,false,"Over the next 30 days, set up two short informational chats with people in a target career or role.","Over the next 30 days, help your child set up two short informational chats with people in a target career or role.",0.857,career_professional_growth,career_professional_growth,student,parent
stakeholder,false,"Over the next 30 days, set up two short informational chats with people in a target career or role.","Over the next month, coach the student to set up two short informational chats with people in a target career or role.",0.733,career_professional_growth,career_professional_growth,student,teacher
stakeholder,false,"Over the next 30 days, set up two short informational chats with people in a target career or role.","Over the next 30 days at work, set up two short informational chats with people in a target career or role.",0.923,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,"Over the next 30 days, help your child set up two short informational chats with people in a target career or role.","Over the next month, coach the student to set up two short informational chats with people in a target career or role.",0.647,career_professional_growth,career_professional_growth,parent,teacher
stakeholder,false,"Over the next 30 days, help your child set up two short informational chats with people in a target career or role.","Over the next 30 days at work, set up two short informational chats with people in a target career or role.",0.8,career_professional_growth,career_professional_growth,parent,professional
stakeholder,false,"Over the next month, coach the student to set up two short informational chats with people in a target career or role.","Over the next 30 days at work, set up two short informational chats with people in a target career or role.",0.688,career_professional_growth,career_professional_growth,teacher,professional
stakeholder,false,"Across a 30-day plan, work with your client to set up two short informational chats with people in a target career or role.","Over the next 30 days at work, set up two short informational chats with people in a target career or role.",0.625,career_professional_growth,career_professional_growth,counselor,professional
stakeholder,false,"Over the next 90 days, build a clear career direction with a step plan toward a chosen role or promotion.","Across this term, help your child build a clear career direction with a step plan toward a chosen role or promotion.",0.625,career_professional_growth,career_professional_growth,student,parent
stakeholder,false,"Over the next 90 days, build a clear career direction with a step plan toward a chosen role or promotion.","Across the term, support the student to build a clear career direction with a step plan toward a chosen role or promotion.",0.625,career_professional_growth,career_professional_growth,student,teacher
stakeholder,false,"Over the next 90 days, build a clear career direction with a step plan toward a chosen role or promotion.","Across a 90-day plan, guide your client to build a clear career direction with a step plan toward a chosen role or promotion.",0.625,career_professional_growth,career_professional_growth,student,counselor
stakeholder,false,"Over the next 90 days, build a clear career direction with a step plan toward a chosen role or promotion.","Over the next quarter at work, build a clear career direction with a step plan toward a chosen role or promotion.",0.8,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,"Across this term, help your child build a clear career direction with a step plan toward a chosen role or promotion.","Across the term, support the student to build a clear career direction with a step plan toward a chosen role or promotion.",0.733,career_professional_growth,career_professional_growth,parent,teacher
stakeholder,false,"Across this term, help your child build a clear career direction with a step plan toward a chosen role or promotion.","Across a 90-day plan, guide your client to build a clear career direction with a step plan toward a chosen role or promotion.",0.625,career_professional_growth,career_professional_growth,parent,counselor
stakeholder,false,"Across the term, support the student to build a clear career direction with a step plan toward a chosen role or promotion.","Across a 90-day plan, guide your client to build a clear career direction with a step plan toward a chosen role or promotion.",0.625,career_professional_growth,career_professional_growth,teacher,counselor
stakeholder,false,"Build a daily habit — a weekly review of one new job, role, or workplace skill.","Help your child build a daily habit — a weekly review of one new job, role, or workplace skill.",0.846,career_professional_growth,career_professional_growth,student,parent
stakeholder,false,"Build a daily habit — a weekly review of one new job, role, or workplace skill.","Encourage a daily classroom habit — a weekly review of one new job, role, or workplace skill.",0.769,career_professional_growth,career_professional_growth,student,teacher
stakeholder,false,"Build a daily habit — a weekly review of one new job, role, or workplace skill.","Anchor a daily habit with your client — a weekly review of one new job, role, or workplace skill.",0.769,career_professional_growth,career_professional_growth,student,counselor
stakeholder,false,"Build a daily habit — a weekly review of one new job, role, or workplace skill.","Build a daily workday habit — a weekly review of one new job, role, or workplace skill.",0.917,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,"Help your child build a daily habit — a weekly review of one new job, role, or workplace skill.","Encourage a daily classroom habit — a weekly review of one new job, role, or workplace skill.",0.667,career_professional_growth,career_professional_growth,parent,teacher
stakeholder,false,"Help your child build a daily habit — a weekly review of one new job, role, or workplace skill.","Anchor a daily habit with your client — a weekly review of one new job, role, or workplace skill.",0.667,career_professional_growth,career_professional_growth,parent,counselor
stakeholder,false,"Help your child build a daily habit — a weekly review of one new job, role, or workplace skill.","Build a daily workday habit — a weekly review of one new job, role, or workplace skill.",0.786,career_professional_growth,career_professional_growth,parent,professional
stakeholder,false,"Encourage a daily classroom habit — a weekly review of one new job, role, or workplace skill.","Anchor a daily habit with your client — a weekly review of one new job, role, or workplace skill.",0.714,career_professional_growth,career_professional_growth,teacher,counselor
stakeholder,false,"Encourage a daily classroom habit — a weekly review of one new job, role, or workplace skill.","Build a daily workday habit — a weekly review of one new job, role, or workplace skill.",0.714,career_professional_growth,career_professional_growth,teacher,professional
stakeholder,false,"Anchor a daily habit with your client — a weekly review of one new job, role, or workplace skill.","Build a daily workday habit — a weekly review of one new job, role, or workplace skill.",0.714,career_professional_growth,career_professional_growth,counselor,professional
stakeholder,false,Practise this skill each week — writing and updating a focused CV for a specific role.,Practise this skill each week at work — writing and updating a focused CV for a specific role.,0.9,career_professional_growth,career_professional_growth,student,professional
stakeholder,false,Give your child weekly practice — writing and updating a focused CV for a specific role.,Set weekly practice for the student — writing and updating a focused CV for a specific role.,0.636,career_professional_growth,career_professional_growth,parent,teacher
stakeholder,false,Give your child weekly practice — writing and updating a focused CV for a specific role.,Assign your client weekly practice — writing and updating a focused CV for a specific role.,0.636,career_professional_growth,career_professional_growth,parent,counselor
stakeholder,false,Set weekly practice for the student — writing and updating a focused CV for a specific role.,Assign your client weekly practice — writing and updating a focused CV for a specific role.,0.636,career_professional_growth,career_professional_growth,teacher,counselor
stakeholder,false,"Today, offer one helpful idea or share one task with a teammate.","Today, help your child offer one helpful idea or share one task with a teammate.",0.8,collaboration_teamwork,collaboration_teamwork,student,parent
stakeholder,false,"Today, offer one helpful idea or share one task with a teammate.","In class today, have the student offer one helpful idea or share one task with a teammate.",0.8,collaboration_teamwork,collaboration_teamwork,student,teacher
stakeholder,false,"Today, offer one helpful idea or share one task with a teammate.","In today’s session, guide your client to offer one helpful idea or share one task with a teammate.",0.727,collaboration_teamwork,collaboration_teamwork,student,counselor
stakeholder,false,"Today, offer one helpful idea or share one task with a teammate.","Before the workday ends, offer one helpful idea or share one task with a teammate.",0.636,collaboration_teamwork,collaboration_teamwork,student,professional
stakeholder,false,"Today, help your child offer one helpful idea or share one task with a teammate.","In class today, have the student offer one helpful idea or share one task with a teammate.",0.667,collaboration_teamwork,collaboration_teamwork,parent,teacher
stakeholder,false,"Today, help your child offer one helpful idea or share one task with a teammate.","In today’s session, guide your client to offer one helpful idea or share one task with a teammate.",0.615,collaboration_teamwork,collaboration_teamwork,parent,counselor
stakeholder,false,"In class today, have the student offer one helpful idea or share one task with a teammate.","In today’s session, guide your client to offer one helpful idea or share one task with a teammate.",0.615,collaboration_teamwork,collaboration_teamwork,teacher,counselor
stakeholder,false,"Each day this week, note one contribution to the group and one task others carried.","Each day this week, help your child note one contribution to the group and one task others carried.",0.833,collaboration_teamwork,collaboration_teamwork,student,parent
stakeholder,false,"Each day this week, note one contribution to the group and one task others carried.","Each day this week, have the student note one contribution to the group and one task others carried.",0.909,collaboration_teamwork,collaboration_teamwork,student,teacher
stakeholder,false,"Each day this week, note one contribution to the group and one task others carried.",Set a one-week task for your client to note one contribution to the group and one task others carried.,0.667,collaboration_teamwork,collaboration_teamwork,student,counselor
stakeholder,false,"Each day this week, note one contribution to the group and one task others carried.","Each workday this week, note one contribution to the group and one task others carried.",0.818,collaboration_teamwork,collaboration_teamwork,student,professional
stakeholder,false,"Each day this week, help your child note one contribution to the group and one task others carried.","Each day this week, have the student note one contribution to the group and one task others carried.",0.769,collaboration_teamwork,collaboration_teamwork,parent,teacher
stakeholder,false,"Each day this week, help your child note one contribution to the group and one task others carried.","Each workday this week, note one contribution to the group and one task others carried.",0.692,collaboration_teamwork,collaboration_teamwork,parent,professional
stakeholder,false,"Each day this week, have the student note one contribution to the group and one task others carried.",Set a one-week task for your client to note one contribution to the group and one task others carried.,0.615,collaboration_teamwork,collaboration_teamwork,teacher,counselor
stakeholder,false,"Each day this week, have the student note one contribution to the group and one task others carried.","Each workday this week, note one contribution to the group and one task others carried.",0.75,collaboration_teamwork,collaboration_teamwork,teacher,professional
stakeholder,false,Set a one-week task for your client to note one contribution to the group and one task others carried.,"Each workday this week, note one contribution to the group and one task others carried.",0.667,collaboration_teamwork,collaboration_teamwork,counselor,professional
stakeholder,false,"Over the next 30 days, take a clear shared role in a group project and deliver it.","Over the next 30 days, help your child take a clear shared role in a group project and deliver it.",0.833,collaboration_teamwork,collaboration_teamwork,student,parent
stakeholder,false,"Over the next 30 days, take a clear shared role in a group project and deliver it.","Over the next month, coach the student to take a clear shared role in a group project and deliver it.",0.692,collaboration_teamwork,collaboration_teamwork,student,teacher
stakeholder,false,"Over the next 30 days, take a clear shared role in a group project and deliver it.","Over the next 30 days at work, take a clear shared role in a group project and deliver it.",0.909,collaboration_teamwork,collaboration_teamwork,student,professional
stakeholder,false,"Over the next 30 days, help your child take a clear shared role in a group project and deliver it.","Over the next month, coach the student to take a clear shared role in a group project and deliver it.",0.6,collaboration_teamwork,collaboration_teamwork,parent,teacher
stakeholder,false,"Over the next 30 days, help your child take a clear shared role in a group project and deliver it.","Over the next 30 days at work, take a clear shared role in a group project and deliver it.",0.769,collaboration_teamwork,collaboration_teamwork,parent,professional
stakeholder,false,"Over the next month, coach the student to take a clear shared role in a group project and deliver it.","Over the next 30 days at work, take a clear shared role in a group project and deliver it.",0.643,collaboration_teamwork,collaboration_teamwork,teacher,professional
