issue,concern_id,concern,bridge_tag,domain,persona,severity,priority,domains,concern_count,curated_questions
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_HOL_561,Consistent Workplace Performance,WORKPLACE_PERFORMANCE,Workplace Performance,Working Professional,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LIF_569,Adapting to Rapid Workplace Changes,ADAPTIVE_LEARNING,Adaptive Learning,Working Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_THI_571,Team Collaboration Conflicts,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Working Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_WOR_582,Cross-Functional Collaboration,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Working Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_609,Passive Workplace Conflict,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Working Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_HOL_621,Sustaining High Performance Without Burnout,WORKPLACE_PERFORMANCE,Workplace Performance,Working Professional,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_MOT_639,Pressure from Unrealistic Workplace Timelines,WORKPLACE_PERFORMANCE,Workplace Performance,Working Professional,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_664,Understand Workplace Expectations Quickly,WORKPLACE_PERFORMANCE,Workplace Performance,Early Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_672,Adapt to Fast-Paced Work Environments,WORKPLACE_PERFORMANCE,Workplace Performance,Early Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_689,Balancing Speed and Quality at Work,WORKPLACE_PERFORMANCE,Workplace Performance,Early Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_702,Handle Workplace Multitasking,WORKPLACE_PERFORMANCE,Workplace Performance,Early Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_734,Cross-Team Collaboration,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Early Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_744,Learn Organizational Processes Quickly,WORKPLACE_PERFORMANCE,Workplace Performance,Early Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_ENG_1354,retaining learned concepts,COGNITIVE_DEVELOPMENT,Cognitive Development,Academic Counsellor,Medium,P3,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_767,Team Conflicts Emotionally,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_ACA_779,Cross-Generational Team Dynamics,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_784,Driving Organizational Change,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_STR_785,Team Trust During Difficult Decisions,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COG_1355,Frequent absenteeism linked to academics,STUDENT_RISK,Student Risk Monitoring,Academic Counsellor,High,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_790,Build Strategic Thinking Across Teams,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_796,Build Cross-Functional Alignment at Scale,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_802,Build Strategic Influence Beyond Functional Expertise,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_805,Team Morale During High Pressure Phases,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_THI_812,Leading High-Visibility Strategic Initiatives,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_818,Transition from Functional to Enterprise Thinking,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_822,Handle Executive-Level Ambiguity Calmly,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_828,Managing Global or Cross-Cultural Teams,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LIF_830,Build Strategic Alignment During Rapid Growth,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_833,Organizational Resistance to Change Initiatives,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CAR_841,Emotional Pressure During Succession Discussions,LEADERSHIP_TRANSITION,Leadership Transition,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_845,Team Emotional Dynamics During Crisis,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COL_846,Build Enterprise-Wide Collaboration Cultures,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_850,Driving Long-Term Organizational Vision,STRATEGIC_LEADERSHIP,Strategic Leadership,Mid-Career Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_HOL_861,Transitioning from Functional Expert to Strategic Leader,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_865,Balancing Strategic Vision with Operational Execution,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_869,Transitioning from Tactical Thinking to Enterprise Thinking,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_WOR_872,Build Organizational Alignment Around Vision,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LIF_878,Build Trust Across Diverse Leadership Teams,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_HOL_881,Executive-Level Decision Fatigue,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_883,Balancing Innovation with Operational Stability,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_886,Build Leadership Alignment Across Geographies,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_890,Driving Enterprise-Wide Strategic Alignment,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_892,Build Organizational Agility During Change,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_THI_894,Build Trust During Organizational Restructuring,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_897,Balancing Short-Term Results with Long-Term Strategy,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_HOL_901,Sustaining Strategic Focus During Rapid Business Expansion,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_905,Balancing Organizational Innovation with Risk Control,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_992,Adapt Quickly to New Industry Workflows,WORKPLACE_PERFORMANCE,Workplace Performance,Career Transition Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_910,Build Enterprise Collaboration Ecosystems,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COL_911,Emotional Pressure During Succession Transitions,LEADERSHIP_TRANSITION,Leadership Transition,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_912,Build Strategic Adaptability Across Leadership Teams,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_914,Leading High-Uncertainty Strategic Initiatives,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_CON_918,Build Long-Term Strategic Culture,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_HOL_921,Enterprise Leadership Confidence During Market Volatility,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,High,P1,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_STR_922,Build Cross-Business Strategic Alignment,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_924,Leading Enterprise Innovation Programs,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_929,Strategic Drift During Organizational Expansion,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_EMO_932,Integrate Long-Term Vision into Daily Leadership Decisions,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_STR_937,Emotional Fatigue from Continuous Strategic Planning,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_LEA_940,Build Strategic Partnerships Internally and Externally,COLLABORATION_OWNERSHIP,Collaboration & Ownership,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COL_941,Emotional Anxiety Around Succession Relevance,LEADERSHIP_TRANSITION,Leadership Transition,Leadership Track Professional,Medium,P2,,,0
concern bridge_tag has NO curated questions (leak to fallback),CONCERN_COM_943,Balancing Investor Expectations with Employee Stability,STRATEGIC_LEADERSHIP,Strategic Leadership,Leadership Track Professional,High,P1,,,0
