concern_id,concern,domain,persona,severity,priority,bridge_tag,resolves_to,route
CONCERN_PER_1514,understanding social strengths and weaknesses,Social Self-Awareness,Self Discovery,Medium,P3,SOCIAL_SELF,remapped:SOCIAL_EMOTIONAL,keyword
CONCERN_IDE_1517,Confusion between skill and identity,Personal Positioning,Self Discovery,Medium,P3,PERSONAL_POSITIONING,GENERAL_CONCERN (generic catch-all),general
CONCERN_ADA_1519,identifying motivational drivers,Motivation Mapping,Self Discovery,Medium,P3,MOTIVATION_MAPPING,remapped:MOTIVATION_VALUES,keyword
CONCERN_PER_1533,recognize behavioral patterns,Behavioral Awareness,Self Exploration User,Medium,P3,BEHAVIORAL_AWARENESS,GENERAL_CONCERN (generic catch-all),general
CONCERN_EMO_1537,awareness about hidden potential,Potential Discovery,Self Exploration User,Medium,P3,POTENTIAL_DISCOVERY,remapped:COMPETENCY_DEVELOPMENT,keyword
CONCERN_POT_1538,personal progress objectively,Growth Measurement,Self Exploration User,Medium,P3,GROWTH_MEASUREMENT,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_IDE_1542,identifying personal blind spots,Reflective Development,Self Exploration User,Medium,P3,REFLECTIVE_DEVELOPMENT,remapped:THINKING_QUALITY,keyword
CONCERN_ADA_1544,articulating strengths confidently,Self-Expression,Self Exploration User,Medium,P3,SELF_EXPRESSION,remapped:COMMUNICATION_EXPRESSION,keyword
CONCERN_REC_1550,curiosity about self-development,Self-Growth Engagement,Self Exploration User,Medium,P3,SELF_GROWTH,remapped:SELF_PERCEPTION,keyword
CONCERN_COG_1554,emotional resilience in social situations,Social Self-Development,Self Exploration User,Medium,P3,SOCIAL_SELF,remapped:SOCIAL_EMOTIONAL,keyword
CONCERN_CAR_1563,Confusion between passion and hobby,Self-Discovery,Self Exploration User,Medium,P3,SELF_DISCOVERY,remapped:SELF_PERCEPTION,keyword
CONCERN_ALT_1570,define personal career values,Career Prioritization,Self Exploration User,Medium,P3,CAREER_PRIORITIZATION,remapped:CAREER_READINESS,keyword
CONCERN_CAR_1577,Feeling lost despite academic success,Identity Reflection,Self Exploration User,Medium,P3,IDENTITY_REFLECTION,remapped:THINKING_QUALITY,keyword
CONCERN_PUR_1585,Uncertainty about balancing work-life priorities,Lifestyle-Career Reflection,Self Exploration User,Medium,P3,LIFESTYLE_CAREER,remapped:CAREER_READINESS,keyword
CONCERN_LEA_1594,understanding personal motivation triggers,Self Motivation Awareness,Learner,Medium,P3,SELF_MOTIVATION,remapped:MOTIVATION_VALUES,keyword
CONCERN_PER_1600,awareness of cognitive fatigue,Cognitive Wellness,Learner,Medium,P3,COGNITIVE_WELLNESS,remapped:EMOTIONAL_REGULATION,keyword
CONCERN_LEA_1602,identifying preferred learning environments,Learning Optimization,Learner,Medium,P3,LEARNING_OPTIMIZATION,remapped:LEARNING_ADAPTABILITY,keyword
CONCERN_GRO_1606,track personal improvement trends,Self Progress Awareness,Learner,Medium,P3,SELF_PROGRESS,remapped:SELF_PERCEPTION,keyword
CONCERN_SEL_1607,understanding of multitasking limitations,Attention Reflection,Learner,Medium,P3,ATTENTION_REFLECTION,remapped:THINKING_QUALITY,keyword
CONCERN_SEL_1609,awareness about communication strengths,Personal Development,Learner,Medium,P3,PERSONAL_DEVELOPMENT,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_LEA_1613,reflecting on collaborative learning skills,Team Learning Reflection,Learner,Medium,P3,TEAM_LEARNING,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_GRO_1619,Overestimating personal performance,Self-Evaluation,Performance Reflection,Medium,P3,SELF_EVALUATION,remapped:SELF_PERCEPTION,keyword
CONCERN_REF_1622,measurable personal growth tracking,Personal Development,Performance Reflection,Medium,P3,PERSONAL_DEVELOPMENT,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_MOT_1625,recognize behavioral patterns,Self-Observation,Performance Reflection,Medium,P3,SELF_OBSERVATION,remapped:SELF_PERCEPTION,keyword
CONCERN_EMO_1633,tracking behavioral improvement over time,Behavioral Growth,Performance Reflection,Medium,P3,BEHAVIORAL_GROWTH,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_PRO_1635,Fear of self-reflection due to insecurity,Personal Insight,Performance Reflection,Medium,P3,PERSONAL_INSIGHT,GENERAL_CONCERN (generic catch-all),general
CONCERN_PER_1636,recognizing personal progress milestones,Growth Recognition,Performance Reflection,Medium,P3,GROWTH_RECOGNITION,remapped:HOLISTIC_DEVELOPMENT,keyword
CONCERN_ACC_1639,reflection on communication and relationships,Social Reflection,Performance Reflection,Medium,P3,SOCIAL_REFLECTION,remapped:THINKING_QUALITY,keyword
CONCERN_ADA_1641,consistency between goals and actions,Integrity Reflection,Performance Reflection,Medium,P3,INTEGRITY_REFLECTION,remapped:THINKING_QUALITY,keyword
CONCERN_GRO_1644,Overfocus on weaknesses ignoring strengths,Balanced Reflection,Performance Reflection,Medium,P3,BALANCED_REFLECTION,remapped:THINKING_QUALITY,keyword
CONCERN_BAL_1645,structured self-review mechanisms,Reflective Systems,Performance Reflection,Medium,P3,REFLECTIVE_SYSTEMS,remapped:THINKING_QUALITY,keyword
CONCERN_SEL_2063,Organizing Revision Materials,Examination Readiness,Student,Medium,P3,EXAMINATION_READINESS,remapped:EXAMINATION_STRESS,override
CONCERN_EMP_27,Collaborating in Team Projects,Collaboration & Ownership,Campus Student,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMP_29,Financial Independence in College,Lifestyle & Adjustment,Campus Student,Medium,P2,LIFESTYLE_ADJUSTMENT,remapped:ADJUSTMENT_COPING,keyword
CONCERN_EXA_63,Building Practical Team Collaboration in Projects,Collaboration & Ownership,Campus Student,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_CAR_82,Research Orientation for Higher Education,Academic & Career Readiness,Campus Student,Medium,P2,ACADEMIC_CAREER,remapped:CAREER_READINESS,keyword
CONCERN_CON_168,Transition from Learning to Testing Mode,Examination Readiness,Competitive Aspirant,Medium,P2,EXAMINATION_READINESS,remapped:EXAMINATION_STRESS,override
CONCERN_EXA_184,Last-Minute Revision Effectiveness,Examination Readiness,Competitive Aspirant,Medium,P2,EXAMINATION_READINESS,remapped:EXAMINATION_STRESS,override
CONCERN_STR_318,Adaptability to New Learning Technologies,Adaptive Learning,Skill Development Learner,Medium,P2,ADAPTIVE_LEARNING,remapped:LEARNING_ADAPTABILITY,override
CONCERN_LIF_323,Building Competency Through Collaborative Learning,Collaboration & Ownership,Skill Development Learner,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COL_324,Real-Time Skill Assessments,Examination Readiness,Skill Development Learner,Medium,P2,EXAMINATION_READINESS,remapped:EXAMINATION_STRESS,override
CONCERN_EMO_350,Adapt Learning Strategies During Failure,Adaptive Learning,Skill Development Learner,Medium,P2,ADAPTIVE_LEARNING,remapped:LEARNING_ADAPTABILITY,override
CONCERN_CAR_380,Workplace Collaboration,Collaboration & Ownership,Early Career Learner,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COM_410,Handle Professional Conflict Constructively,Collaboration & Ownership,Early Career Learner,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_424,Cross-Functional Collaboration,Collaboration & Ownership,Early Career Learner,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COM_434,Manage Workplace Priorities Without Supervision,Ownership & Accountability,Early Career Learner,Medium,P2,OWNERSHIP_ACCOUNTABILITY,GENERAL_CONCERN (generic catch-all),general
CONCERN_CON_448,Awareness of Long-Term Financial Planning After Employment,Financial Readiness,Early Career Learner,Medium,P2,FINANCIAL_READINESS,GENERAL_CONCERN (generic catch-all),general
CONCERN_STU_1356,time management before exams,Academic Readiness,Academic Counsellor,Medium,P2,ACADEMIC_READINESS,remapped:ACADEMIC_COGNITIVE,keyword
CONCERN_EMO_482,Position Transferable Skills,Career Transition,Job Seeker,Medium,P2,CAREER_TRANSITION,remapped:CAREER_GROWTH,override
CONCERN_CAR_505,Explaining Frequent Job Changes Professionally,Career Transition,Job Seeker,Medium,P2,CAREER_TRANSITION,remapped:CAREER_GROWTH,override
CONCERN_CON_510,Understanding of Industry Salary Benchmarks,Financial Readiness,Job Seeker,Medium,P2,FINANCIAL_READINESS,GENERAL_CONCERN (generic catch-all),general
CONCERN_CAR_517,Building a Strategic Long-Term Career Narrative,Career Planning,Job Seeker,Medium,P2,CAREER_PLANNING,remapped:CAREER_READINESS,keyword
CONCERN_CON_522,Reposition Experience for New Job Markets,Career Transition,Job Seeker,Medium,P2,CAREER_TRANSITION,remapped:CAREER_GROWTH,override
CONCERN_EMO_534,Position Career Breaks Positively,Career Transition,Job Seeker,Medium,P2,CAREER_TRANSITION,remapped:CAREER_GROWTH,override
CONCERN_EMO_550,Build Credibility in New Domains Quickly,Career Transition,Job Seeker,Medium,P2,CAREER_TRANSITION,remapped:CAREER_GROWTH,override
CONCERN_LIF_569,Adapting to Rapid Workplace Changes,Adaptive Learning,Working Professional,Medium,P2,ADAPTIVE_LEARNING,remapped:LEARNING_ADAPTABILITY,override
CONCERN_THI_571,Team Collaboration Conflicts,Collaboration & Ownership,Working Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_WOR_582,Cross-Functional Collaboration,Collaboration & Ownership,Working Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COM_609,Passive Workplace Conflict,Collaboration & Ownership,Working Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_664,Understand Workplace Expectations Quickly,Workplace Performance,Early Career Professional,Medium,P2,WORKPLACE_PERFORMANCE,remapped:WORKPLACE_ADAPTATION,override
CONCERN_CON_672,Adapt to Fast-Paced Work Environments,Workplace Performance,Early Career Professional,Medium,P2,WORKPLACE_PERFORMANCE,remapped:WORKPLACE_ADAPTATION,override
CONCERN_COM_689,Balancing Speed and Quality at Work,Workplace Performance,Early Career Professional,Medium,P2,WORKPLACE_PERFORMANCE,remapped:WORKPLACE_ADAPTATION,override
CONCERN_CON_702,Handle Workplace Multitasking,Workplace Performance,Early Career Professional,Medium,P2,WORKPLACE_PERFORMANCE,remapped:WORKPLACE_ADAPTATION,override
CONCERN_EMO_734,Cross-Team Collaboration,Collaboration & Ownership,Early Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_744,Learn Organizational Processes Quickly,Workplace Performance,Early Career Professional,Medium,P2,WORKPLACE_PERFORMANCE,remapped:WORKPLACE_ADAPTATION,override
CONCERN_COM_767,Team Conflicts Emotionally,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_ACA_779,Cross-Generational Team Dynamics,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_784,Driving Organizational Change,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_STR_785,Team Trust During Difficult Decisions,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COG_1355,Frequent absenteeism linked to academics,Student Risk Monitoring,Academic Counsellor,High,P2,STUDENT_RISK,remapped:STUDENT_SUCCESS,keyword
CONCERN_EMO_790,Build Strategic Thinking Across Teams,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_EMO_796,Build Cross-Functional Alignment at Scale,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_LEA_802,Build Strategic Influence Beyond Functional Expertise,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_805,Team Morale During High Pressure Phases,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_THI_812,Leading High-Visibility Strategic Initiatives,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_818,Transition from Functional to Enterprise Thinking,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_822,Handle Executive-Level Ambiguity Calmly,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_EMO_828,Managing Global or Cross-Cultural Teams,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_LIF_830,Build Strategic Alignment During Rapid Growth,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_833,Organizational Resistance to Change Initiatives,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_CAR_841,Emotional Pressure During Succession Discussions,Leadership Transition,Mid-Career Professional,Medium,P2,LEADERSHIP_TRANSITION,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_LEA_845,Team Emotional Dynamics During Crisis,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COL_846,Build Enterprise-Wide Collaboration Cultures,Collaboration & Ownership,Mid-Career Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_850,Driving Long-Term Organizational Vision,Strategic Leadership,Mid-Career Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_869,Transitioning from Tactical Thinking to Enterprise Thinking,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_WOR_872,Build Organizational Alignment Around Vision,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LIF_878,Build Trust Across Diverse Leadership Teams,Collaboration & Ownership,Leadership Track Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_HOL_881,Executive-Level Decision Fatigue,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_883,Balancing Innovation with Operational Stability,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_EMO_886,Build Leadership Alignment Across Geographies,Collaboration & Ownership,Leadership Track Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_890,Driving Enterprise-Wide Strategic Alignment,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_892,Build Organizational Agility During Change,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_THI_894,Build Trust During Organizational Restructuring,Collaboration & Ownership,Leadership Track Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COM_897,Balancing Short-Term Results with Long-Term Strategy,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_HOL_901,Sustaining Strategic Focus During Rapid Business Expansion,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_COM_905,Balancing Organizational Innovation with Risk Control,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_CON_992,Adapt Quickly to New Industry Workflows,Workplace Performance,Career Transition Professional,Medium,P2,WORKPLACE_PERFORMANCE,remapped:WORKPLACE_ADAPTATION,override
CONCERN_LEA_910,Build Enterprise Collaboration Ecosystems,Collaboration & Ownership,Leadership Track Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COL_911,Emotional Pressure During Succession Transitions,Leadership Transition,Leadership Track Professional,Medium,P2,LEADERSHIP_TRANSITION,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_LEA_912,Build Strategic Adaptability Across Leadership Teams,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_EMO_914,Leading High-Uncertainty Strategic Initiatives,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_CON_918,Build Long-Term Strategic Culture,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_STR_922,Build Cross-Business Strategic Alignment,Collaboration & Ownership,Leadership Track Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_924,Leading Enterprise Innovation Programs,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_COM_929,Strategic Drift During Organizational Expansion,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_EMO_932,Integrate Long-Term Vision into Daily Leadership Decisions,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_STR_937,Emotional Fatigue from Continuous Strategic Planning,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_LEA_940,Build Strategic Partnerships Internally and Externally,Collaboration & Ownership,Leadership Track Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COL_941,Emotional Anxiety Around Succession Relevance,Leadership Transition,Leadership Track Professional,Medium,P2,LEADERSHIP_TRANSITION,remapped:LEADERSHIP_OWNERSHIP,keyword
CONCERN_LEA_949,Organizational Fear During Crisis Situations,Collaboration & Ownership,Leadership Track Professional,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COL_950,Integrate Emotional Intelligence into Enterprise Strategy,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_ACA_953,Balancing Enterprise Expansion with Leadership Stability,Strategic Leadership,Leadership Track Professional,Medium,P2,STRATEGIC_LEADERSHIP,remapped:ADAPTIVE_LEADERSHIP,override
CONCERN_EMO_1074,Cross-Functional Collaboration,Collaboration & Ownership,Professional Employee,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_COM_1113,Balancing Team Expectations with Personal Capacity,Collaboration & Ownership,Professional Employee,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_CAR_1130,Navigating Complex Team Dynamics,Collaboration & Ownership,Professional Employee,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_1137,Emotional Pressure from Team Dependencies,Collaboration & Ownership,Professional Employee,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_MOT_1146,Managing Multi-Stakeholder Expectations,Collaboration & Ownership,Professional Employee,Medium,P2,COLLABORATION_OWNERSHIP,remapped:LEADERSHIP_OWNERSHIP,override
CONCERN_EMO_1169,Aligning Teaching Practices Across Faculty,Teaching Quality,Principal / Leadership,Medium,P2,TEACHING_QUALITY,remapped:INSTRUCTIONAL_QUALITY,keyword
CONCERN_TEA_1170,Visibility into Student Curiosity and Inquiry Levels,Inquiry & Curiosity,Principal / Leadership,Medium,P2,INQUIRY_CURIOSITY,remapped:THINKING_QUALITY,override
CONCERN_SUB_1360,reading comprehension skills,Language Development,Academic Counsellor,Medium,P2,LANGUAGE_DEVELOPMENT,remapped:HOLISTIC_DEVELOPMENT,keyword
