bridge_tag,signal_family,domain_name,similarity,atomic_signal_count,evidence_strength,sample_signals
ACADEMIC_COGNITIVE,"learning_processing_signals","Cognitive Intelligence",0.2932,40,good,"Applied Learning Effectiveness | Conceptual Processing Depth | Stable Comprehension Under Complexity | Continuous Learning Optimization | Processing Stability Under Pressure"
STRATEGIC_LEADERSHIP,"strategic_thinking_signals","Cognitive Intelligence",0.2227,80,good,"Transformational Vision Engineering | Systems Level Thinking | Long Horizon Planning | Predictive Decision Modeling | Strategic Signal Detection"
SELF_REFLECTION,"reflective_learning_signals","Learning Intelligence",0.2416,40,good,"Autonomous Reflective Growth | Reflective Self Awareness Depth | Lifelong Reflective Growth Orientation | Metacognitive Monitoring | Reflective Strategy Optimization"
SELF_REFLECTION,"self_reflection_signals","Cognitive Intelligence",0.2385,40,good,"Meta Cognitive Self Monitoring | Reflective Cognitive Maturity | Self Perception Accuracy | Self Improvement Orientation | Self Assumption Questioning"
SELF_REFLECTION,"learning_resilience_signals","Learning Intelligence",0.2332,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
STEM_LEARNING,"academic_confidence_signals","Learning Intelligence",0.2627,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
FOUNDATIONAL_LEARNING,"conceptual_clarity_signals","Learning Intelligence",0.2979,40,good,"Integrated Conceptual Mastery | Principle Based Learning | Deep Understanding Orientation | Higher Order Concept Reasoning | Foundational Concept Mastery"
FOUNDATIONAL_LEARNING,"comprehension_signals","Learning Intelligence",0.2536,40,good,"Advanced Theoretical Comprehension | Conceptual Abstraction Comprehension | Abstract Concept Comprehension | Conceptual Precision Understanding | Integrated Framework Comprehension"
CAREER_TRANSITION,"employability_signals","Career Intelligence",0.2360,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
WORKPLACE_PERFORMANCE,"workplace_readiness_signals","Career Intelligence",0.2613,80,good,"Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness"
COMPETITIVE_EXAM,"academic_confidence_signals","Learning Intelligence",0.3257,40,strong,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
COMPETITIVE_EXAM,"competitive_participation_signals","Performance Intelligence",0.2609,40,good,"High Pressure Participation Resilience | Elite Visibility Pursuit | Competitive Pressure Stability | Competitive Visibility Stamina | Competitive Risk Engagement"
ADAPTIVE_LEARNING,"workplace_readiness_signals","Career Intelligence",0.2257,80,good,"Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness"
EMPLOYABILITY_FUTURE,"employability_gap_signals","Employability Intelligence",0.3097,40,strong,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
EMPLOYABILITY_FUTURE,"employability_signals","Career Intelligence",0.2709,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
EMPLOYABILITY_FUTURE,"industry_alignment_signals","Employability Intelligence",0.2511,60,good,"Transformational Employability Alignment | Practical Skill Alignment | Real World Problem Alignment | Automation Resilience Alignment | Practical Experience Prioritization"
ACADEMIC_PERFORMANCE,"academic_confidence_signals","Learning Intelligence",0.2459,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
INQUIRY_CURIOSITY,"curiosity_signals","Creativity Intelligence",0.2817,40,good,"Multidimensional Exploration Processing | Multidimensional Curiosity Architecture | Disruptive Curiosity Drive | Interdisciplinary Curiosity Synthesis | Future Oriented Exploration"
INQUIRY_CURIOSITY,"curiosity_depth_signals","Creativity Intelligence",0.2781,40,good,"Ultimate Curiosity Depth Resilience | Civilization Scale Inquiry Behavior | Ultimate Transformational Curiosity Resilience | Visionary Inquiry Behavior | Transformational Inquiry Behavior"
ACADEMIC_RISK,"academic_confidence_signals","Learning Intelligence",0.2730,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
CAREER_IDENTITY,"career_clarity_signals","Career Intelligence",0.3354,20,strong,"Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty"
CAREER_IDENTITY,"direction_signals","Career Intelligence",0.3343,40,strong,"Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure"
CAREER_IDENTITY,"career_decision_signals","Career Intelligence",0.2518,40,good,"Long-Term Career Vision | Career Execution Consistency | Long Term Professional Commitment | Strategic Career Alignment | Career Decision Resilience"
TRANSITION_CHANGE,"learning_resilience_signals","Learning Intelligence",0.2296,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
OVER_COMPLIANCE,"emotional_suppression_signals","Emotional Intelligence",0.3307,40,strong,"Hidden Hopelessness | Concealed Emotional Overload | Silent Distress | Concealed Burnout | Emotional Shutdown Response"
FACULTY_SUSTAINABILITY,"fatigue_signals","Wellbeing Intelligence",0.2305,20,good,"Severe Energy Shutdown | Burnout Exhaustion Pattern | Chronic Recovery Failure | Emotional Energy Collapse | Physical Overload Breakdown"
ACADEMIC_PLANNING,"academic_confidence_signals","Learning Intelligence",0.2657,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ACADEMIC_PLANNING,"structured_learning_signals","Learning Intelligence",0.2236,40,good,"Structured Learning Resilience | Consistency Driven Learning | Long Term Learning Planning | Structured Goal Alignment | Structured Exam Preparation"
ACADEMIC_PLANNING,"learning_resilience_signals","Learning Intelligence",0.2167,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
EMOTIONAL_DEVELOPMENT,"dependency_behavior_signals","Behavioral Intelligence",0.2189,40,good,"Learned Helplessness Behavior | Fear Based Dependency | Approval Based Identity | Dependency Fueled Self Doubt | Dependency Reinforced Insecurity"
EMOTIONAL_REFLECTION,"self_awareness_signals","Identity Intelligence",0.2230,40,good,"Self Growth Orientation | Self Meaning Construction | Self Identity Stability | Introspective Depth | Emotional Honesty Capacity"
ANALYTICAL_DEVELOPMENT,"analytical_decision_signals","Decision Intelligence",0.2288,40,good,"Transformational Decision Architecture | Multi Variable Analysis | Predictive Impact Reasoning | Strategic Assumption Testing | Long Term Decision Projection"
FINANCIAL_READINESS,"industry_awareness_signals","Career Intelligence",0.2411,40,good,"Employability Gap Awareness | Lifelong Learning Awareness | Skill Market Alignment | Professional Expectation Clarity | Technology Disruption Awareness"
CAREER_PLANNING,"future_planning_signals","Career Intelligence",0.2646,40,good,"Long Term Learning Commitment | Delayed Gratification Orientation | Future Execution Discipline | Self Investment Orientation | Future Execution Alignment"
CAREER_PLANNING,"aspiration_signals","Motivational Intelligence",0.2259,80,good,"Mastery Pursuit Orientation | Transformational Ambition | Excellence Standard Orientation | Aspirational Persistence | Aspiration Fueled Execution"
CAREER_PLANNING,"career_resilience_signals","Career Intelligence",0.2206,40,good,"Emotional Endurance Under Pressure | Long Term Career Commitment | Prolonged Search Endurance | Persistence Under Delayed Success | Resilient Skill Reinvestment"
ACADEMIC_OPERATIONS,"academic_confidence_signals","Learning Intelligence",0.2777,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
CAREER_BRANDING,"direction_signals","Career Intelligence",0.2300,40,good,"Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure"
EMPLOYABILITY_DEVELOPMENT,"employability_motivation_signals","Employability Intelligence",0.2225,40,good,"Transformational Career Ambition | Strategic Career Preparation | Long Term Employability Commitment | Strategic Upskilling Motivation | Skill Development Drive"
CAREER_SUSTAINABILITY,"career_execution_signals","Career Intelligence",0.2184,40,good,"Execution Momentum Sustainability | Career Execution Resilience | Disciplined Career Execution | Goal Execution Alignment | Proactive Career Behavior"
STUDENT_WELLNESS,"work_life_balance_signals","Wellbeing Intelligence",0.2791,40,good,"Holistic Balance Breakdown | Emotional Exhaustion Accumulation | Emotional Burnout Cycling | Burnout Normalization Behavior | Burnout Denial Behavior"
STUDENT_WELLNESS,"wellness_balance_signals","Wellbeing Intelligence",0.2400,40,good,"Integrated Wellbeing Stability | Holistic Wellness Alignment | Holistic Energy Management | Burnout Prevention Awareness | Stress Load Regulation"
STUDENT_WELLNESS,"academic_confidence_signals","Learning Intelligence",0.2362,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
STUDENT_PSYCHOLOGY,"peer_comparison_signals","Social Intelligence",0.2896,40,good,"Comparison Induced Burnout | Comparison Induced Emotional Shutdown | Comparison Based Identity Instability | Comparison Amplified Self Criticism | Comparison Driven Perfectionism"
CAREER_PREPAREDNESS,"employability_signals","Career Intelligence",0.2356,40,good,"Employability Execution Consistency | Professional Learning Agility | Career Execution Discipline | Long Term Career Sustainability | Skill Market Alignment"
CAREER_PREPAREDNESS,"industry_awareness_signals","Career Intelligence",0.2314,40,good,"Employability Gap Awareness | Lifelong Learning Awareness | Skill Market Alignment | Professional Expectation Clarity | Technology Disruption Awareness"
CAREER_PREPAREDNESS,"opportunity_readiness_signals","Career Intelligence",0.2265,40,good,"Opportunity Conversion Capability | Opportunity Execution Readiness | Interview Preparation Depth | Competitive Opportunity Engagement | Rejection Recovery Readiness"
CAREER_EXECUTION,"career_execution_signals","Career Intelligence",0.3028,40,strong,"Execution Momentum Sustainability | Career Execution Resilience | Disciplined Career Execution | Goal Execution Alignment | Proactive Career Behavior"
CAREER_EXECUTION,"future_planning_signals","Career Intelligence",0.2600,40,good,"Long Term Learning Commitment | Delayed Gratification Orientation | Future Execution Discipline | Self Investment Orientation | Future Execution Alignment"
CAREER_EXECUTION,"direction_signals","Career Intelligence",0.2308,40,good,"Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure"
CAREER_RECOVERY,"career_resilience_signals","Career Intelligence",0.2933,40,good,"Emotional Endurance Under Pressure | Long Term Career Commitment | Prolonged Search Endurance | Persistence Under Delayed Success | Resilient Skill Reinvestment"
CAREER_RECOVERY,"setback_response_signals","Resilience Intelligence",0.2462,40,good,"Perseverance Under Repeated Failure | Long Term Resilience Consistency | Emotional Endurance Under Loss | Stress Resistant Execution | Persistence After Rejection"
CAREER_RECOVERY,"confidence_recovery_signals","Performance Intelligence",0.2296,40,good,"Transformational Confidence Recovery | Confidence Under Repeated Failure | Performance Identity Resilience | Long Term Confidence Stability | Long Cycle Recovery Endurance"
LEADERSHIP_DEVELOPMENT,"speaking_confidence_signals","Communication Intelligence",0.2892,40,good,"High Stakes Speaking Resilience | Leadership Speaking Confidence | Interview Speaking Confidence | Communication Presence Strength | Public Speaking Confidence"
LEADERSHIP_DEVELOPMENT,"confidence_signals","Emotional Intelligence",0.2886,40,good,"Self-Worth Confidence | Career Confidence | Interview Confidence | Academic Confidence | Competitive Confidence"
LEADERSHIP_DEVELOPMENT,"initiative_signals","Leadership Intelligence",0.2519,40,good,"Ecosystem Scale Initiative Orchestration | Civilization Scale Proactive Leadership | Crisis Response Initiative | Transformational Initiative Leadership | Transformational Change Activation"
SELF_LEARNING,"self_learning_signals","Learning Intelligence",0.2706,40,good,"Intrinsic Learning Motivation | Autonomous Skill Mastery | Lifelong Learning Orientation | Autonomous Mastery Orientation | Lifelong Autonomous Learning Identity"
SELF_LEARNING,"confidence_signals","Emotional Intelligence",0.2349,40,good,"Self-Worth Confidence | Career Confidence | Interview Confidence | Academic Confidence | Competitive Confidence"
SELF_LEARNING,"academic_confidence_signals","Learning Intelligence",0.2169,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
LONG_TERM,"academic_confidence_signals","Learning Intelligence",0.2613,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
LONG_TERM,"learning_resilience_signals","Learning Intelligence",0.2424,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
LONG_TERM,"learning_consistency_signals","Learning Intelligence",0.2363,40,good,"Long Cycle Learning Endurance | Continuous Learning Identity | Sustainable Learning Persistence | Exam Preparation Consistency | Self Disciplined Learning"
SELF_LEADERSHIP,"approval_seeking_signals","Social Intelligence",0.2210,40,good,"Fear Of Social Disapproval | Approval Reactive Emotionality | Emotional Dependence On Acceptance | Approval Sensitive Identity Shift | Rejection Sensitivity Dependence"
IDENTITY_FORMATION,"personal_values_signals","Identity Intelligence",0.2562,40,good,"Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration"
SELF_IDENTITY,"individuality_signals","Identity Intelligence",0.2645,40,good,"Autonomous Life Direction | Self Authorship Tendency | Self Defined Success Metrics | Individuality Visibility Resilience | Personal Principle Stability"
SELF_PERCEPTION,"professional_competency_signals","Employability Intelligence",0.2313,40,good,"Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery"
LEARNING_REFLECTION,"academic_confidence_signals","Learning Intelligence",0.2392,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ACADEMIC_REFLECTION,"academic_confidence_signals","Learning Intelligence",0.2674,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
COLLEGE_ADAPTATION,"academic_confidence_signals","Learning Intelligence",0.2238,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
EMPLOYABILITY_ACADEMIC,"employability_gap_signals","Employability Intelligence",0.2749,40,good,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
EMPLOYABILITY_ACADEMIC,"academic_confidence_signals","Learning Intelligence",0.2349,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
EMPLOYABILITY_ACADEMIC,"self_learning_signals","Learning Intelligence",0.2244,40,good,"Intrinsic Learning Motivation | Autonomous Skill Mastery | Lifelong Learning Orientation | Autonomous Mastery Orientation | Lifelong Autonomous Learning Identity"
OWNERSHIP_ACCOUNTABILITY,"workplace_readiness_signals","Career Intelligence",0.2334,80,good,"Professional Environment Mastery | Workplace Ethics Readiness | Workplace Execution Reliability | Workplace Professionalism Integrity | Career Environment Readiness"
OWNERSHIP_ACCOUNTABILITY,"practical_transition_signals","Career Intelligence",0.2285,40,good,"Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness"
ACADEMIC_EQUITY,"academic_confidence_signals","Learning Intelligence",0.2150,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
LEARNING_SUSTAINABILITY,"academic_confidence_signals","Learning Intelligence",0.3163,40,strong,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
LEARNING_SUSTAINABILITY,"learning_resilience_signals","Learning Intelligence",0.2322,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
STUDENT_SUCCESS,"academic_confidence_signals","Learning Intelligence",0.2308,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
PLACEMENT_RISK,"placement_confidence_signals","Career Intelligence",0.3010,40,strong,"Placement Outcome Resilience | Technical Interview Confidence | Recruitment Pressure Tolerance | Rejection Recovery Strength | Interview Question Navigation"
PLACEMENT_RISK,"fear_signals","Emotional Intelligence",0.2220,40,good,"Placement Fear | Fear of Failure | Inadequacy Fear | Future Failure Visualization | Interview Fear"
WORKPLACE_READINESS,"practical_transition_signals","Career Intelligence",0.2510,40,good,"Workplace Execution Maturity | Practical Problem Solving Shift | Real World Execution Orientation | Professional Learning Application | Ambiguity Handling Readiness"
WORKPLACE_READINESS,"academic_confidence_signals","Learning Intelligence",0.2140,40,good,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
PLACEMENT_OPERATIONS,"placement_confidence_signals","Career Intelligence",0.2931,40,good,"Placement Outcome Resilience | Technical Interview Confidence | Recruitment Pressure Tolerance | Rejection Recovery Strength | Interview Question Navigation"
INNOVATION_ENTREPRENEURSHIP,"role_fit_signals","Career Intelligence",0.2711,40,good,"Long Term Role Sustainability | Technical Depth Role Fit | Authentic Role Alignment | Strengths Role Matching | Analytical Role Fit"
INNOVATION_ENTREPRENEURSHIP,"career_execution_signals","Career Intelligence",0.2249,40,good,"Execution Momentum Sustainability | Career Execution Resilience | Disciplined Career Execution | Goal Execution Alignment | Proactive Career Behavior"
INNOVATION_ENTREPRENEURSHIP,"opportunity_readiness_signals","Career Intelligence",0.2199,40,good,"Opportunity Conversion Capability | Opportunity Execution Readiness | Interview Preparation Depth | Competitive Opportunity Engagement | Rejection Recovery Readiness"
ORGANIZATIONAL_INTELLIGENCE,"employability_gap_signals","Employability Intelligence",0.3212,40,strong,"Chronic Employability Instability | Employability Hopelessness Pattern | Technical Skill Deficiency | Analytical Reasoning Gap | Practical Experience Gap"
ORGANIZATIONAL_INTELLIGENCE,"skill_gap_signals","Learning Intelligence",0.2725,40,good,"Employability Readiness Gap | Technical Skill Deficiency | Industry Alignment Gap | Analytical Reasoning Gap | Problem Solving Gap"
CAREER_ACADEMIC,"academic_confidence_signals","Learning Intelligence",0.3570,40,strong,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
CAREER_ACADEMIC,"learning_resilience_signals","Learning Intelligence",0.2463,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
CAREER_ACADEMIC,"direction_signals","Career Intelligence",0.2189,40,good,"Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure"
ACADEMIC_COUNSELLING,"academic_confidence_signals","Learning Intelligence",0.3002,40,strong,"Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence"
ACADEMIC_COUNSELLING,"learning_resilience_signals","Learning Intelligence",0.2704,40,good,"Repeated Failure Endurance | Sustained Learning Grit | Growth After Academic Adversity | Long Term Learning Commitment | Academic Persistence Strength"
ACADEMIC_COUNSELLING,"effort_stability_signals","Motivational Intelligence",0.2318,40,good,"Long Term Goal Persistence | Persistence Through Slow Progress | Consistency Under Low Motivation | Stable Work Ethic Pattern | Long Cycle Effort Endurance"
