bridge_tag,concern_count,current_signal_count,tier3_links,question_count,candidate_signal_count,best_family,best_domain,best_similarity,evidence_strength,classification
FACULTY_DEVELOPMENT,3,0,6,75,100,"mastery_signals","Learning Intelligence",0.1669,moderate,YELLOW
FACULTY_SUSTAINABILITY,3,0,4,40,100,"fatigue_signals","Wellbeing Intelligence",0.2305,strong,GREEN
ACADEMIC_PLANNING,3,0,5,50,120,"academic_confidence_signals","Learning Intelligence",0.2657,strong,GREEN
ACADEMIC_TRANSITION,3,0,7,100,120,"academic_confidence_signals","Learning Intelligence",0.1886,moderate,YELLOW
CAREER_DECISION,3,0,11,40,100,"career_clarity_signals","Career Intelligence",0.198,moderate,YELLOW
EMOTIONAL_DEVELOPMENT,3,0,9,80,120,"dependency_behavior_signals","Behavioral Intelligence",0.2189,strong,GREEN
PERSONAL_EFFECTIVENESS,3,0,7,40,120,"effort_stability_signals","Motivational Intelligence",0.2127,moderate,YELLOW
EMOTIONAL_REFLECTION,3,0,7,70,160,"self_awareness_signals","Identity Intelligence",0.223,strong,GREEN
ANALYTICAL_DEVELOPMENT,3,0,2,50,120,"analytical_decision_signals","Decision Intelligence",0.2288,strong,GREEN
HELP_SEEKING,3,0,7,25,120,"guidance_dependency_signals","Career Intelligence",0.1643,moderate,YELLOW
FINANCIAL_READINESS,2,0,3,40,120,"industry_awareness_signals","Career Intelligence",0.2411,strong,GREEN
CAREER_PLANNING,2,0,4,25,160,"future_planning_signals","Career Intelligence",0.2646,strong,GREEN
TEACHING_QUALITY,2,0,3,40,100,"mastery_signals","Learning Intelligence",0.125,moderate,YELLOW
TALENT_IDENTIFICATION,2,0,4,40,120,"emotional_suppression_signals","Emotional Intelligence",0.1218,moderate,YELLOW
STUDENT_ENGAGEMENT,2,0,3,40,120,"engagement_signals","Behavioral Intelligence",0.2035,moderate,YELLOW
ACADEMIC_OPERATIONS,2,0,4,38,120,"academic_confidence_signals","Learning Intelligence",0.2777,strong,GREEN
LEARNING_QUALITY,2,0,4,50,120,"academic_confidence_signals","Learning Intelligence",0.1595,moderate,YELLOW
ACADEMIC_GROWTH,2,0,4,125,120,"academic_confidence_signals","Learning Intelligence",0.1923,moderate,YELLOW
STUDENT_RISK,2,0,4,40,100,"academic_confidence_signals","Learning Intelligence",0.1938,moderate,YELLOW
BEHAVIORAL_STABILITY,2,0,3,50,120,"risk_avoidance_signals","Behavioral Intelligence",0.1636,moderate,YELLOW
CAREER_BRANDING,2,0,3,36,140,"direction_signals","Career Intelligence",0.23,strong,GREEN
EMPLOYABILITY_DEVELOPMENT,2,0,6,40,160,"employability_motivation_signals","Employability Intelligence",0.2225,strong,GREEN
CAREER_SUSTAINABILITY,2,0,3,40,120,"career_execution_signals","Career Intelligence",0.2184,strong,GREEN
STUDENT_WELLNESS,2,0,4,40,120,"work_life_balance_signals","Wellbeing Intelligence",0.2791,strong,GREEN
STUDENT_BEHAVIOUR,2,0,4,25,120,"learning_resilience_signals","Learning Intelligence",0.1353,moderate,YELLOW
STUDENT_PSYCHOLOGY,2,0,8,40,120,"peer_comparison_signals","Social Intelligence",0.2896,strong,GREEN
CAREER_ALIGNMENT,2,0,5,50,120,"direction_signals","Career Intelligence",0.1448,moderate,YELLOW
CAREER_PREPAREDNESS,2,0,8,25,120,"employability_signals","Career Intelligence",0.2356,strong,GREEN
ALTERNATIVE_CAREER,2,0,7,40,100,"career_clarity_signals","Career Intelligence",0.2047,moderate,YELLOW
CAREER_EXECUTION,2,0,4,25,120,"career_execution_signals","Career Intelligence",0.3028,strong,GREEN
CAREER_RECOVERY,2,0,8,40,120,"career_resilience_signals","Career Intelligence",0.2933,strong,GREEN
LEADERSHIP_DEVELOPMENT,2,0,6,40,120,"speaking_confidence_signals","Communication Intelligence",0.2892,strong,GREEN
FUTURE_ORIENTATION,2,12,3,40,120,"future_orientation_signals","Cognitive Intelligence",0.3029,strong,ALREADY_GROUNDED
PERSONAL_INSIGHT,2,0,5,40,120,"fear_signals","Emotional Intelligence",0.1786,moderate,YELLOW
SELF_LEARNING,2,0,5,50,120,"self_learning_signals","Learning Intelligence",0.2706,strong,GREEN
LONG_TERM,2,0,3,275,120,"academic_confidence_signals","Learning Intelligence",0.2613,strong,GREEN
SELF_LEADERSHIP,2,0,5,35,120,"approval_seeking_signals","Social Intelligence",0.221,strong,GREEN
EMOTIONAL_MATURITY,2,0,4,40,120,"fear_signals","Emotional Intelligence",0.1837,moderate,YELLOW
IDENTITY_FORMATION,2,0,5,40,120,"personal_values_signals","Identity Intelligence",0.2562,strong,GREEN
SELF_IDENTITY,2,0,8,40,120,"individuality_signals","Identity Intelligence",0.2645,strong,GREEN
SOCIAL_SELF,2,0,4,40,120,"comprehension_signals","Learning Intelligence",0.1791,moderate,YELLOW
MOTIVATION_MAPPING,2,0,4,40,120,"drive_signals","Motivational Intelligence",0.2065,moderate,YELLOW
SELF_PERCEPTION,2,0,6,25,120,"professional_competency_signals","Employability Intelligence",0.2313,strong,GREEN
REFLECTIVE_DEVELOPMENT,2,0,3,25,120,"self_reflection_signals","Cognitive Intelligence",0.2031,moderate,YELLOW
LEARNING_REFLECTION,2,0,4,40,120,"academic_confidence_signals","Learning Intelligence",0.2392,strong,GREEN
ACADEMIC_REFLECTION,2,0,4,25,120,"academic_confidence_signals","Learning Intelligence",0.2674,strong,GREEN
PRODUCTIVITY_REFLECTION,2,0,3,25,200,"effort_stability_signals","Motivational Intelligence",0.155,moderate,YELLOW
COLLEGE_ADAPTATION,1,0,2,40,120,"academic_confidence_signals","Learning Intelligence",0.2238,strong,GREEN
EMPLOYABILITY_ACADEMIC,1,0,2,40,120,"employability_gap_signals","Employability Intelligence",0.2749,strong,GREEN
LIFESTYLE_ADJUSTMENT,1,0,2,40,120,"lifestyle_stability_signals","Wellbeing Intelligence",0.2048,moderate,YELLOW
SKILL_DEVELOPMENT,1,34,2,25,120,"skill_gap_signals","Learning Intelligence",0.2707,strong,ALREADY_GROUNDED
OWNERSHIP_ACCOUNTABILITY,1,0,2,40,160,"workplace_readiness_signals","Career Intelligence",0.2334,strong,GREEN
PERSEVERANCE_COACHING,1,0,1,40,120,"persistence_behavior_signals","Behavioral Intelligence",0.1753,moderate,YELLOW
ACADEMIC_EQUITY,1,0,1,50,120,"academic_confidence_signals","Learning Intelligence",0.215,strong,GREEN
ASSESSMENT_INTELLIGENCE,1,0,2,75,120,"risk_assessment_signals","Decision Intelligence",0.1978,moderate,YELLOW
LEARNING_SUSTAINABILITY,1,0,1,40,120,"academic_confidence_signals","Learning Intelligence",0.3163,strong,GREEN
INSTRUCTIONAL_QUALITY,1,0,1,100,120,"performance_drive_signals","Motivational Intelligence",0.1506,moderate,YELLOW
ADAPTIVE_DIAGNOSTICS,1,0,1,40,80,"interview_readiness_signals","Employability Intelligence",0.1305,moderate,YELLOW
STUDENT_SUCCESS,1,0,2,25,120,"academic_confidence_signals","Learning Intelligence",0.2308,strong,GREEN
LANGUAGE_DEVELOPMENT,1,0,1,40,120,"learning_drive_signals","Motivational Intelligence",0.1785,moderate,YELLOW
STUDENT_SUPPORT,1,0,1,40,80,"collaborative_resilience_signals","Collaboration Intelligence",0.1189,moderate,YELLOW
STAKEHOLDER_ALIGNMENT,1,0,1,40,160,"recovery_quality_signals","Wellbeing Intelligence",0.1745,moderate,YELLOW
INTERVENTION_INTELLIGENCE,1,0,0,40,80,"moral_courage_signals","Ethical & Integrity Intelligence",0.1125,moderate,YELLOW
PLACEMENT_RISK,1,0,2,25,120,"placement_confidence_signals","Career Intelligence",0.301,strong,GREEN
WORKPLACE_READINESS,1,0,2,25,160,"practical_transition_signals","Career Intelligence",0.251,strong,GREEN
PLACEMENT_OPERATIONS,1,0,1,40,120,"placement_confidence_signals","Career Intelligence",0.2931,strong,GREEN
INNOVATION_ENTREPRENEURSHIP,1,0,2,25,120,"role_fit_signals","Career Intelligence",0.2711,strong,GREEN
ORGANIZATIONAL_INTELLIGENCE,1,0,3,40,120,"employability_gap_signals","Employability Intelligence",0.3212,strong,GREEN
CAREER_ACADEMIC,1,0,1,40,120,"academic_confidence_signals","Learning Intelligence",0.357,strong,GREEN
ACADEMIC_COUNSELLING,1,0,2,40,120,"academic_confidence_signals","Learning Intelligence",0.3002,strong,GREEN
LEARNING_INTERVENTION,1,0,2,40,140,"learning_focus_signals","Learning Intelligence",0.1648,moderate,YELLOW
STUDENT_WELLBEING,1,0,2,40,160,"anxiety_signals","Emotional Intelligence",0.2165,strong,GREEN
SUBJECT_INTERVENTION,1,0,2,40,120,"comprehension_signals","Learning Intelligence",0.2033,moderate,YELLOW
ENGAGEMENT_MANAGEMENT,1,0,1,75,120,"learning_drive_signals","Motivational Intelligence",0.2123,moderate,YELLOW
COGNITIVE_DEVELOPMENT,1,0,1,40,120,"conceptual_clarity_signals","Learning Intelligence",0.1952,moderate,YELLOW
ACADEMIC_READINESS,1,0,2,50,120,"academic_confidence_signals","Learning Intelligence",0.2816,strong,GREEN
LEARNING_DEPENDENCY,1,0,1,100,120,"dependency_behavior_signals","Behavioral Intelligence",0.1794,moderate,YELLOW
PERFORMANCE_ANALYSIS,1,0,1,40,120,"motivational_volatility_signals","Motivational Intelligence",0.1394,moderate,YELLOW
SUBJECT_ANXIETY,1,0,4,40,121,"fear_signals","Emotional Intelligence",0.2328,strong,GREEN
PARENT_SCHOOL,1,0,3,0,120,"overthinking_decision_signals","Decision Intelligence",0.1357,moderate,YELLOW
LEARNING_SKILLS,1,0,2,40,120,"structured_learning_signals","Learning Intelligence",0.2054,moderate,YELLOW
COMMUNICATION_DEVELOPMENT,1,0,4,40,120,"presentation_signals","Communication Intelligence",0.2793,strong,GREEN
COGNITIVE_SKILLS,1,0,2,200,120,"adaptive_problem_solving_signals","Adaptive Intelligence",0.2197,strong,GREEN
EXAM_READINESS,1,0,2,50,120,"academic_confidence_signals","Learning Intelligence",0.3948,strong,GREEN
STUDENT_RECOVERY,1,0,3,40,160,"evaluation_anxiety_signals","Performance Intelligence",0.1359,moderate,YELLOW
STUDENT_BALANCE,1,0,2,40,120,"academic_confidence_signals","Learning Intelligence",0.3149,strong,GREEN
INNOVATION_READINESS,1,0,2,25,120,"learning_drive_signals","Motivational Intelligence",0.2317,strong,GREEN
ACADEMIC_DECISION,1,0,2,25,120,"academic_confidence_signals","Learning Intelligence",0.2806,strong,GREEN
CAREER_GUIDANCE,1,0,1,40,100,"direction_signals","Career Intelligence",0.3124,strong,GREEN
FUTURE_CAREER,1,0,4,40,120,"industry_awareness_signals","Career Intelligence",0.2638,strong,GREEN
CAREER_PSYCHOLOGY,1,0,2,125,120,"career_execution_signals","Career Intelligence",0.2644,strong,GREEN
CAREER_EXPECTATIONS,1,0,1,200,100,"career_decision_signals","Career Intelligence",0.279,strong,GREEN
DECISION_ANXIETY,1,66,4,40,100,"career_decision_signals","Career Intelligence",0.381,strong,ALREADY_GROUNDED
CAREER_EXPOSURE,1,0,2,50,120,"practical_exposure_signals","Employability Intelligence",0.246,strong,GREEN
HIGHER_EDUCATION,1,0,2,25,140,"industry_alignment_signals","Employability Intelligence",0.157,moderate,YELLOW
CAREER_SUITABILITY,1,0,1,40,120,"direction_signals","Career Intelligence",0.2528,strong,GREEN
WORKFORCE_TRENDS,1,0,2,40,100,"career_clarity_signals","Career Intelligence",0.313,strong,GREEN
CAREER_DEVELOPMENT,1,0,1,40,100,"direction_signals","Career Intelligence",0.3085,strong,GREEN
CAREER_COMPETITION,1,0,4,40,120,"fear_signals","Emotional Intelligence",0.2956,strong,GREEN
CAREER_ECOSYSTEM,1,0,2,40,160,"networking_signals","Social Intelligence",0.2278,strong,GREEN
CAREER_MAPPING,1,0,1,40,100,"career_clarity_signals","Career Intelligence",0.2307,strong,GREEN
VOCATIONAL_GUIDANCE,1,0,2,40,100,"direction_signals","Career Intelligence",0.3259,strong,GREEN
PERSONALITY_CAREER,1,0,2,25,100,"career_execution_signals","Career Intelligence",0.2053,moderate,YELLOW
FUTURE_WORKFORCE,1,0,4,40,100,"guidance_dependency_signals","Career Intelligence",0.2406,strong,GREEN
ENTREPRENEURSHIP_GUIDANCE,1,0,2,40,120,"team_guidance_signals","Leadership Intelligence",0.1387,moderate,YELLOW
CAREER_FLEXIBILITY,1,0,1,40,100,"career_clarity_signals","Career Intelligence",0.2776,strong,GREEN
TRANSITION_READINESS,1,0,3,25,100,"career_execution_signals","Career Intelligence",0.1902,moderate,YELLOW
STUDENT_DEVELOPMENT,1,0,1,40,120,"routine_stability_signals","Behavioral Intelligence",0.2273,strong,GREEN
GROWTH_MINDSET,1,0,1,50,120,"feedback_delivery_signals","Collaboration Intelligence",0.2074,moderate,YELLOW
PERFORMANCE_COACHING,1,0,1,40,120,"academic_confidence_signals","Learning Intelligence",0.2136,moderate,YELLOW
GROWTH_MENTORING,1,0,1,25,120,"employability_motivation_signals","Employability Intelligence",0.2056,moderate,YELLOW
PERSONAL_GROWTH,1,0,3,125,120,"overthinking_decision_signals","Decision Intelligence",0.2397,strong,GREEN
SOCIAL_DEVELOPMENT,1,0,2,40,120,"influence_signals","Leadership Intelligence",0.2239,strong,GREEN
SELF_DEVELOPMENT,1,0,3,25,120,"personal_values_signals","Identity Intelligence",0.2007,moderate,YELLOW
PRODUCTIVITY_COACHING,1,0,1,40,120,"focus_under_pressure_signals","Performance Intelligence",0.1097,moderate,YELLOW
SOCIAL_CAPABILITY,1,0,2,50,120,"interaction_signals","Communication Intelligence",0.262,strong,GREEN
ADAPTABILITY_COACHING,1,0,1,75,80,"adaptability_behavior_signals","Behavioral Intelligence",0.1339,moderate,YELLOW
CAPABILITY_DEVELOPMENT,1,0,1,25,120,"employability_gap_signals","Employability Intelligence",0.2288,strong,GREEN
MATURITY_DEVELOPMENT,1,0,3,25,120,"fear_signals","Emotional Intelligence",0.2989,strong,GREEN
CHARACTER_DEVELOPMENT,1,0,2,40,120,"ethical_judgment_signals","Ethical & Integrity Intelligence",0.3335,strong,GREEN
EMOTIONAL_RESILIENCE,1,0,2,40,120,"rejection_response_signals","Performance Intelligence",0.229,strong,GREEN
INTELLECTUAL_GROWTH,1,0,1,40,120,"curiosity_driven_learning_signals","Learning Intelligence",0.3211,strong,GREEN
PERFORMANCE_RESILIENCE,1,24,2,31,120,"performance_pressure_signals","Performance Intelligence",0.2324,strong,ALREADY_GROUNDED
EMOTIONAL_WELLBEING,1,8,4,50,120,"peer_comparison_signals","Social Intelligence",0.2139,moderate,ALREADY_GROUNDED
DIGITAL_RESPONSIBILITY,1,0,2,25,80,"digital_communication_signals","Communication Intelligence",0.3593,strong,GREEN
LIFE_READINESS,1,0,2,40,120,"practical_transition_signals","Career Intelligence",0.161,moderate,YELLOW
DECISION_COACHING,1,0,3,40,120,"decision_signals","Cognitive Intelligence",0.1835,moderate,YELLOW
GROWTH_ACCOUNTABILITY,1,0,1,40,120,"ownership_signals","Leadership Intelligence",0.1983,moderate,YELLOW
LEARNING_BEHAVIOR,1,0,1,40,120,"learning_engagement_signals","Learning Intelligence",0.2072,moderate,YELLOW
ACADEMIC_BEHAVIOR,1,0,2,475,120,"structured_learning_signals","Learning Intelligence",0.2733,strong,GREEN
PERFORMANCE_BEHAVIOR,1,0,4,37,120,"approval_seeking_signals","Social Intelligence",0.1497,moderate,YELLOW
STUDENT_REGULATION,1,0,1,40,120,"academic_confidence_signals","Learning Intelligence",0.2387,strong,GREEN
MOTIVATION_DEVELOPMENT,1,0,2,25,120,"dependency_behavior_signals","Behavioral Intelligence",0.1636,moderate,YELLOW
CLASSROOM_ADAPTATION,1,0,4,40,121,"learning_engagement_signals","Learning Intelligence",0.1606,moderate,YELLOW
ADAPTABILITY_GUIDANCE,1,0,1,50,120,"academic_confidence_signals","Learning Intelligence",0.2858,strong,GREEN
LEARNING_PERSISTENCE,1,0,2,129,120,"learning_consistency_signals","Learning Intelligence",0.2727,strong,GREEN
RECOVERY_BEHAVIOR,1,17,2,40,120,"academic_confidence_signals","Learning Intelligence",0.2478,strong,ALREADY_GROUNDED
RESPONSIBILITY_DEVELOPMENT,1,0,3,40,120,"ownership_signals","Leadership Intelligence",0.1776,moderate,YELLOW
BEHAVIORAL_REGULATION,1,80,2,40,120,"dependency_behavior_signals","Behavioral Intelligence",0.1564,moderate,ALREADY_GROUNDED
FEEDBACK_ADAPTATION,1,12,1,40,200,"adaptability_under_pressure_signals","Adaptive Intelligence",0.1733,moderate,ALREADY_GROUNDED
SOCIAL_LEARNING,1,0,2,40,120,"group_confidence_signals","Collaboration Intelligence",0.3577,strong,GREEN
GROWTH_BEHAVIOR,1,0,3,40,120,"disengagement_signals","Motivational Intelligence",0.1998,moderate,YELLOW
LIFESTYLE_ADAPTATION,1,0,2,40,120,"academic_confidence_signals","Learning Intelligence",0.205,moderate,YELLOW
LEARNING_MINDSET,1,0,1,120,120,"engagement_signals","Behavioral Intelligence",0.2939,strong,GREEN
COMMUNICATION_BEHAVIOR,1,0,4,50,121,"speaking_confidence_signals","Communication Intelligence",0.417,strong,GREEN
INDEPENDENCE_DEVELOPMENT,1,32,1,40,120,"guidance_dependency_signals","Career Intelligence",0.1279,moderate,ALREADY_GROUNDED
COMPETITIVE_ADAPTATION,1,0,1,50,120,"competitive_participation_signals","Performance Intelligence",0.282,strong,GREEN
TRANSITION_ADAPTATION,1,0,2,40,120,"academic_confidence_signals","Learning Intelligence",0.2278,strong,GREEN
PERSISTENCE_DEVELOPMENT,1,0,2,25,120,"goal_commitment_signals","Motivational Intelligence",0.2719,strong,GREEN
PSYCHOLOGICAL_ADAPTATION,1,0,4,40,120,"academic_confidence_signals","Learning Intelligence",0.3012,strong,GREEN
EMOTIONAL_RESPONSE,1,0,1,25,120,"learning_resilience_signals","Learning Intelligence",0.2095,moderate,YELLOW
SELF_AWARENESS,1,0,1,40,200,"self_reflection_signals","Cognitive Intelligence",0.3099,strong,GREEN
BEHAVIOR_CORRECTION,1,0,1,39,120,"behavioral_resistance_signals","Behavioral Intelligence",0.298,strong,GREEN
ENGAGEMENT_BEHAVIOR,1,0,1,40,120,"academic_confidence_signals","Learning Intelligence",0.2803,strong,GREEN
STUDENT_LEADERSHIP,1,0,2,40,100,"fear_signals","Emotional Intelligence",0.3412,strong,GREEN
DECISION_LEADERSHIP,1,0,3,40,100,"decision_leadership_signals","Leadership Intelligence",0.2105,moderate,YELLOW
SOCIAL_LEADERSHIP,1,0,4,40,120,"confidence_signals","Emotional Intelligence",0.2964,strong,GREEN
EMOTIONAL_LEADERSHIP,1,0,2,25,120,"emotional_resilience_signals","Emotional Intelligence",0.2349,strong,GREEN
TEAM_LEADERSHIP,1,0,3,75,120,"career_decision_signals","Career Intelligence",0.1159,moderate,YELLOW
CONFIDENCE_BUILDING,1,0,4,300,120,"fear_signals","Emotional Intelligence",0.3089,strong,GREEN
PERSONAL_LEADERSHIP,1,0,3,40,120,"academic_confidence_signals","Learning Intelligence",0.268,strong,GREEN
LEADERSHIP_DYNAMICS,1,0,2,50,120,"conflict_leadership_signals","Leadership Intelligence",0.1656,moderate,YELLOW
LEADERSHIP_ENDURANCE,1,0,1,40,120,"resilience_leadership_signals","Leadership Intelligence",0.233,strong,GREEN
ADAPTIVE_LEADERSHIP,1,0,2,125,120,"individuality_signals","Identity Intelligence",0.1088,moderate,YELLOW
LEADERSHIP_ACCOUNTABILITY,1,0,1,40,120,"ownership_signals","Leadership Intelligence",0.285,strong,GREEN
EXECUTIVE_COMMUNICATION,1,0,3,25,120,"presentation_signals","Communication Intelligence",0.2972,strong,GREEN
TEAM_MANAGEMENT,1,0,1,40,120,"execution_reliability_signals","Employability Intelligence",0.1888,moderate,YELLOW
INCLUSION_LEADERSHIP,1,0,4,40,80,"social_confidence_signals","Social Intelligence",0.1985,moderate,YELLOW
PROFESSIONAL_LEADERSHIP,1,0,4,40,200,"networking_signals","Social Intelligence",0.3145,strong,GREEN
LEADERSHIP_MATURITY,1,0,1,40,120,"responsibility_acceptance_signals","Leadership Intelligence",0.2281,strong,GREEN
INCLUSIVE_LEADERSHIP,1,0,1,25,120,"adaptability_leadership_signals","Leadership Intelligence",0.3562,strong,GREEN
COMMUNICATION_LEADERSHIP,1,0,2,40,120,"growth_leadership_signals","Leadership Intelligence",0.2909,strong,GREEN
CONFIDENCE_DEVELOPMENT,1,0,4,165,160,"fear_signals","Emotional Intelligence",0.2315,strong,GREEN
LEADERSHIP_RECOVERY,1,0,2,40,120,"adaptability_recovery_signals","Resilience Intelligence",0.1914,moderate,YELLOW
ENTREPRENEURIAL_LEADERSHIP,1,0,3,40,120,"initiative_signals","Leadership Intelligence",0.1939,moderate,YELLOW
LEADERSHIP_INFLUENCE,1,0,2,50,120,"influence_signals","Leadership Intelligence",0.3595,strong,GREEN
PERSONAL_BRANDING,1,0,1,175,120,"personal_values_signals","Identity Intelligence",0.168,moderate,YELLOW
VALUES_BASED,1,0,2,25,160,"personal_values_signals","Identity Intelligence",0.2992,strong,GREEN
LEADERSHIP_FOUNDATIONS,1,0,1,40,120,"confidence_foundation_signals","Identity Intelligence",0.2396,strong,GREEN
PERSONALITY_EXPLORATION,1,0,1,40,120,"comprehension_signals","Learning Intelligence",0.145,moderate,YELLOW
IDENTITY_CONFIDENCE,1,0,4,25,160,"authenticity_signals","Identity Intelligence",0.2478,strong,GREEN
ASPIRATIONAL_DEVELOPMENT,1,0,3,40,120,"future_orientation_signals","Cognitive Intelligence",0.2671,strong,GREEN
EMOTIONAL_LITERACY,1,0,2,40,120,"health_awareness_signals","Wellbeing Intelligence",0.1867,moderate,YELLOW
