bridge_tag,questions,construct,status,confidence,candidates,reason
"COGNITIVE_SELF",50,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token COGNITIVE → CRITICAL_THINKING"
"COGNITIVE_SKILLS",200,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token COGNITIVE → CRITICAL_THINKING"
"COGNITIVE_WELLNESS",40,"",REVIEW_REQUIRED,0.5,"CRITICAL_THINKING|STRESS_MANAGEMENT","multi-construct: CRITICAL_THINKING | STRESS_MANAGEMENT"
"COLLABORATION_OWNERSHIP",250,"PEER_RELATIONS",HIGH_CONFIDENCE,0.85,"","token COLLABORATION → PEER_RELATIONS"
"COLLEGE_ADAPTATION",40,"COLLEGE_ADAPT",HIGH_CONFIDENCE,0.95,"","exact-override → COLLEGE_ADAPT"
"COMMUNICATION_BEHAVIOR",50,"COMMUNICATION",HIGH_CONFIDENCE,0.85,"","token COMMUNICATION → COMMUNICATION"
"COMMUNICATION_DEVELOPMENT",40,"COMMUNICATION",HIGH_CONFIDENCE,0.85,"","token COMMUNICATION → COMMUNICATION"
"COMMUNICATION_EXPRESSION",150,"COMMUNICATION",HIGH_CONFIDENCE,0.95,"","exact-override → COMMUNICATION"
"COMMUNICATION_LEADERSHIP",40,"COMMUNICATION",HIGH_CONFIDENCE,0.85,"","token COMMUNICATION → COMMUNICATION"
"COMPETENCY_DEVELOPMENT",1014,"SKILL_AWARENESS",HIGH_CONFIDENCE,0.85,"","token COMPETENCY → SKILL_AWARENESS"
"COMPETENCY_INTELLIGENCE",50,"SKILL_AWARENESS",HIGH_CONFIDENCE,0.85,"","token COMPETENCY → SKILL_AWARENESS"
"COMPETITIVE_ADAPTATION",50,"",UNMAPPED,0,"","no behavioural construct token in [COMPETITIVE,ADAPTATION]"
"COMPETITIVE_EXAM",75,"EXAM_READINESS",HIGH_CONFIDENCE,0.95,"","exact-override → EXAM_READINESS"
"CONFIDENCE_BUILDING",300,"SELF_ESTEEM",HIGH_CONFIDENCE,0.95,"","exact-override → SELF_ESTEEM"
"CONFIDENCE_DEVELOPMENT",165,"SELF_ESTEEM",HIGH_CONFIDENCE,0.95,"","exact-override → SELF_ESTEEM"
"CONFIDENCE_SELF",650,"SELF_ESTEEM",HIGH_CONFIDENCE,0.95,"","exact-override → SELF_ESTEEM"
"DECISION_ANXIETY",40,"",REVIEW_REQUIRED,0.5,"CRITICAL_THINKING|ANXIETY","multi-construct: CRITICAL_THINKING | ANXIETY"
"DECISION_COACHING",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token DECISION → CRITICAL_THINKING"
"DECISION_CONFIDENCE",40,"",REVIEW_REQUIRED,0.5,"CRITICAL_THINKING|SELF_ESTEEM","multi-construct: CRITICAL_THINKING | SELF_ESTEEM"
"DECISION_INDEPENDENCE",25,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token DECISION → CRITICAL_THINKING"
"DECISION_LEADERSHIP",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token DECISION → CRITICAL_THINKING"
"DIGITAL_LEARNING",25,"DIGITAL_DISCIPLINE",HIGH_CONFIDENCE,0.95,"","exact-override → DIGITAL_DISCIPLINE"
"DIGITAL_RESPONSIBILITY",25,"DIGITAL_DISCIPLINE",HIGH_CONFIDENCE,0.95,"","exact-override → DIGITAL_DISCIPLINE"
"DISCIPLINE_HABITS",925,"HABIT_FORMATION",HIGH_CONFIDENCE,0.95,"","exact-override → HABIT_FORMATION"
"EMOTIONAL_DEVELOPMENT",80,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_IDENTITY",25,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.8,"","same-cluster EMOTIONAL+IDENTITY → EMOTIONAL_REGULATION"
"EMOTIONAL_LEADERSHIP",25,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_LEARNING",40,"",REVIEW_REQUIRED,0.5,"EMOTIONAL_REGULATION|LEARNING_APPROACH","multi-construct: EMOTIONAL_REGULATION | LEARNING_APPROACH"
"EMOTIONAL_LITERACY",40,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_MATURITY",40,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_RECOVERY",800,"RESILIENCE",HIGH_CONFIDENCE,0.95,"","exact-override → RESILIENCE"
"EMOTIONAL_REFLECTION",70,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_REGULATION",1100,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_RESILIENCE",40,"RESILIENCE",HIGH_CONFIDENCE,0.95,"","exact-override → RESILIENCE"
"EMOTIONAL_RESPONSE",25,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_SELF",25,"EMOTIONAL_REGULATION",HIGH_CONFIDENCE,0.85,"","token EMOTIONAL → EMOTIONAL_REGULATION"
"EMOTIONAL_WELLBEING",50,"",REVIEW_REQUIRED,0.5,"EMOTIONAL_REGULATION|STRESS_MANAGEMENT","multi-construct: EMOTIONAL_REGULATION | STRESS_MANAGEMENT"
"EMPLOYABILITY",1150,"CAREER_READINESS",HIGH_CONFIDENCE,0.85,"","token EMPLOYABILITY → CAREER_READINESS"
"EMPLOYABILITY_ACADEMIC",40,"",REVIEW_REQUIRED,0.5,"CAREER_READINESS|LEARNING_APPROACH","multi-construct: CAREER_READINESS | LEARNING_APPROACH"
"EMPLOYABILITY_DEVELOPMENT",40,"CAREER_READINESS",HIGH_CONFIDENCE,0.85,"","token EMPLOYABILITY → CAREER_READINESS"
"EMPLOYABILITY_FUTURE",25,"CAREER_READINESS",HIGH_CONFIDENCE,0.85,"","token EMPLOYABILITY → CAREER_READINESS"
"ENGAGEMENT_BEHAVIOR",40,"",UNMAPPED,0,"","no behavioural construct token in [ENGAGEMENT,BEHAVIOR]"
"ENGAGEMENT_MANAGEMENT",75,"",UNMAPPED,0,"","no behavioural construct token in [ENGAGEMENT,MANAGEMENT]"
"ENTREPRENEURIAL_LEADERSHIP",40,"CREATIVITY",HIGH_CONFIDENCE,0.85,"","token ENTREPRENEURIAL → CREATIVITY"
"ENTREPRENEURSHIP_GUIDANCE",40,"CREATIVITY",HIGH_CONFIDENCE,0.85,"","token ENTREPRENEURSHIP → CREATIVITY"
"EXAM_READINESS",50,"EXAM_READINESS",HIGH_CONFIDENCE,0.95,"","exact-override → EXAM_READINESS"
"EXAMINATION_READINESS",50,"EXAM_READINESS",HIGH_CONFIDENCE,0.95,"","exact-override → EXAM_READINESS"
"EXAMINATION_STRESS",650,"EXAM_STRESS",HIGH_CONFIDENCE,0.95,"","exact-override → EXAM_STRESS"
"EXECUTIVE_COMMUNICATION",25,"COMMUNICATION",HIGH_CONFIDENCE,0.95,"","exact-override → COMMUNICATION"
"EXPLORATION_INHIBITION",25,"",UNMAPPED,0,"","no behavioural construct token in [EXPLORATION,INHIBITION]"
"EXPLORATORY_LEARNING",40,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token LEARNING → LEARNING_APPROACH"
"FACULTY_DEVELOPMENT",75,"",UNMAPPED,0,"","no behavioural construct token in [FACULTY,DEVELOPMENT]"
"FACULTY_EFFECTIVENESS",50,"",UNMAPPED,0,"","no behavioural construct token in [FACULTY,EFFECTIVENESS]"
"FACULTY_SUSTAINABILITY",40,"",UNMAPPED,0,"","no behavioural construct token in [FACULTY,SUSTAINABILITY]"
"FEEDBACK_ADAPTATION",40,"",UNMAPPED,0,"","no behavioural construct token in [FEEDBACK,ADAPTATION]"
"FINANCIAL_READINESS",40,"",UNMAPPED,0,"","no behavioural construct token in [FINANCIAL,READINESS]"
"FOUNDATIONAL_LEARNING",25,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token LEARNING → LEARNING_APPROACH"
"FUTURE_CAREER",40,"CAREER_CLARITY",HIGH_CONFIDENCE,0.85,"","token CAREER → CAREER_CLARITY"
"FUTURE_LEARNING",50,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token LEARNING → LEARNING_APPROACH"
"FUTURE_ORIENTATION",40,"GOAL_ORIENTATION",HIGH_CONFIDENCE,0.8,"","exact-override: future orientation → GOAL_ORIENTATION"
"FUTURE_SELF",25,"",REVIEW_REQUIRED,0.4,"SELF_ESTEEM|CRITICAL_THINKING","theme SELF → SELF_ESTEEM/CRITICAL_THINKING"
"FUTURE_WORKFORCE",40,"CAREER_READINESS",HIGH_CONFIDENCE,0.85,"","token WORKFORCE → CAREER_READINESS"
"GENERAL_CONCERN",125,"",UNMAPPED,0,"","no behavioural construct token in [GENERAL,CONCERN]"
"GOAL_ALIGNMENT",50,"GOAL_ORIENTATION",HIGH_CONFIDENCE,0.85,"","token GOAL → GOAL_ORIENTATION"
"GOAL_REFLECTION",40,"GOAL_ORIENTATION",HIGH_CONFIDENCE,0.85,"","token GOAL → GOAL_ORIENTATION"
"GROWTH_ACCOUNTABILITY",40,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,ACCOUNTABILITY]"
"GROWTH_BEHAVIOR",40,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,BEHAVIOR]"
"GROWTH_MAPPING",40,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,MAPPING]"
"GROWTH_MEASUREMENT",40,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,MEASUREMENT]"
"GROWTH_MENTORING",25,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,MENTORING]"
"GROWTH_MINDSET",50,"",REVIEW_REQUIRED,0.4,"LEARNING_DRIVE|RESILIENCE","theme MINDSET → LEARNING_DRIVE/RESILIENCE"
"GROWTH_ORIENTATION",39,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,ORIENTATION]"
"GROWTH_PERSISTENCE",25,"RESILIENCE",HIGH_CONFIDENCE,0.85,"","token PERSISTENCE → RESILIENCE"
"GROWTH_RECOGNITION",40,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,RECOGNITION]"
"GROWTH_REFLECTION",40,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,REFLECTION]"
"GROWTH_TRACKING",40,"",UNMAPPED,0,"","no behavioural construct token in [GROWTH,TRACKING]"
"HABIT_DEVELOPMENT",40,"HABIT_FORMATION",HIGH_CONFIDENCE,0.95,"","exact-override → HABIT_FORMATION"
"HELP_SEEKING",25,"SOCIAL_CONFIDENCE",HIGH_CONFIDENCE,0.95,"","exact-override → SOCIAL_CONFIDENCE"
"HIGHER_EDUCATION",25,"",UNMAPPED,0,"","no behavioural construct token in [HIGHER,EDUCATION]"
"HOLISTIC_DEVELOPMENT",600,"",UNMAPPED,0,"","no behavioural construct token in [HOLISTIC,DEVELOPMENT]"
"IDENTITY_CONFIDENCE",25,"SELF_ESTEEM",HIGH_CONFIDENCE,0.95,"","exact-override → SELF_ESTEEM"
"IDENTITY_CONFLICT",30,"SELF_ESTEEM",HIGH_CONFIDENCE,0.85,"","token IDENTITY → SELF_ESTEEM"
"IDENTITY_EXPRESSION",25,"",REVIEW_REQUIRED,0.5,"SELF_ESTEEM|COMMUNICATION","multi-construct: SELF_ESTEEM | COMMUNICATION"
"IDENTITY_FORMATION",40,"SELF_ESTEEM",HIGH_CONFIDENCE,0.85,"","token IDENTITY → SELF_ESTEEM"
"IDENTITY_INTEGRATION",75,"SELF_ESTEEM",HIGH_CONFIDENCE,0.85,"","token IDENTITY → SELF_ESTEEM"
"IDENTITY_REFLECTION",40,"SELF_ESTEEM",HIGH_CONFIDENCE,0.85,"","token IDENTITY → SELF_ESTEEM"
"INCLUSION_LEADERSHIP",40,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"INCLUSIVE_LEADERSHIP",25,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"INDEPENDENCE_DEVELOPMENT",40,"",UNMAPPED,0,"","no behavioural construct token in [INDEPENDENCE,DEVELOPMENT]"
"INNOVATION_ENTREPRENEURSHIP",25,"CREATIVITY",HIGH_CONFIDENCE,0.85,"","token INNOVATION+ENTREPRENEURSHIP → CREATIVITY"
"INNOVATION_READINESS",25,"CREATIVITY",HIGH_CONFIDENCE,0.85,"","token INNOVATION → CREATIVITY"
"INQUIRY_CURIOSITY",50,"CREATIVITY",HIGH_CONFIDENCE,0.85,"","token INQUIRY+CURIOSITY → CREATIVITY"
"INSTRUCTIONAL_QUALITY",100,"",UNMAPPED,0,"","no behavioural construct token in [INSTRUCTIONAL,QUALITY]"
"INTEGRITY_REFLECTION",40,"",UNMAPPED,0,"","no behavioural construct token in [INTEGRITY,REFLECTION]"
"INTELLECTUAL_GROWTH",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,0.85,"","token INTELLECTUAL → CRITICAL_THINKING"
"INTERDISCIPLINARY_LEARNING",60,"LEARNING_APPROACH",HIGH_CONFIDENCE,0.85,"","token LEARNING → LEARNING_APPROACH"
"INTERVENTION_INTELLIGENCE",40,"",UNMAPPED,0,"","no behavioural construct token in [INTERVENTION,INTELLIGENCE]"
"LANGUAGE_DEVELOPMENT",40,"COMMUNICATION",HIGH_CONFIDENCE,0.85,"","token LANGUAGE → COMMUNICATION"
"LEADERSHIP_ACCOUNTABILITY",40,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"LEADERSHIP_DEVELOPMENT",40,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"LEADERSHIP_DYNAMICS",50,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"LEADERSHIP_ENDURANCE",40,"RESILIENCE",HIGH_CONFIDENCE,0.85,"","token ENDURANCE → RESILIENCE"
"LEADERSHIP_FOUNDATIONS",40,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"LEADERSHIP_INFLUENCE",50,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"LEADERSHIP_MATURITY",40,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"LEADERSHIP_OWNERSHIP",400,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
"LEADERSHIP_READINESS",25,"",REVIEW_REQUIRED,0.4,"SOCIAL_CONFIDENCE|COMMUNICATION|GOAL_ORIENTATION","theme LEADERSHIP → SOCIAL_CONFIDENCE/COMMUNICATION/GOAL_ORIENTATION"
