tier,bridge_tag,concern_count,cluster_count,remap_target,remap_route,modal_persona,modal_cluster,domains,root_cause_categories,behavioral_intent,estimated_question_inventory,sample_concerns
2,ACADEMIC_RISK,4,4,ACADEMIC_COGNITIVE,keyword,Principal / Leadership,Difficulty Identifying Students at Risk of Academic Decline,Academic Risk Intelligence | Academic Risk Behaviour,Weak Early Warning Systems | Marks Averaging Bias | Weak Diagnostic Systems | Fear conditioning,"Surface and stabilise ""Difficulty Identifying Students at Risk of Academic Decline"" within the Academic Risk Intelligence domain",8,Identifying Students at Risk of Academic Decline | Identifying Silent Academic Underperformance | Detect Learning Gaps Early in Academic Cycles | Fear of failure leading to academic avoidance
2,ORGANIZATIONAL_DEVELOPMENT,4,4,LEADERSHIP_OWNERSHIP,keyword,Principal / Leadership,Difficulty Building School-Wide Competency Culture,Organizational Development,Exam-Oriented Ecosystem | Weak Execution Governance | Marks-Oriented Ecosystem | Legacy Operational Structures,"Surface and stabilise ""Difficulty Building School-Wide Competency Culture"" within the Organizational Development domain",8,Building School-Wide Competency Culture | Aligning Institutional Vision with Classroom Execution | Aligning Parent Expectations with Institutional Competency Goals | Measure Institutional Adaptability Readiness
2,ORGANIZATIONAL_EFFECTIVENESS,4,4,LEADERSHIP_OWNERSHIP,keyword,Principal / Leadership,Weak Ability to Measure Institutional Learning Effectiveness,Organizational Effectiveness,Output-Centric Reporting Models | Marks-Only Success Metrics | Weak Academic Coordination | Siloed Support Systems,"Surface and stabilise ""Weak Ability to Measure Institutional Learning Effectiveness"" within the Organizational Effectiveness domain",8,Measure Institutional Learning Effectiveness | Holistic School Effectiveness Beyond Academic Results | Visibility into Learning Delivery Bottlenecks | Coordinating Multi-Layer Student Interventions
2,PERSONAL_DEVELOPMENT,4,4,HOLISTIC_DEVELOPMENT,keyword,Self Discovery,Low self-confidence despite capability,Personal Development,Negative reinforcement history | Weak vision clarity | Limited feedback | No structured monitoring,"Surface and stabilise ""Low self-confidence despite capability"" within the Personal Development domain",8,self-confidence despite capability | Confusion about long-term personal trajectory | awareness about communication strengths | measurable personal growth tracking
2,SELF_DISCOVERY,4,4,SELF_PERCEPTION,keyword,Career Counsellor,Students unable to identify strengths and interests,Self-Discovery | Self Discovery,Lack of introspection | External validation dependency | Limited exposure | Poor self-assessment,"Surface and stabilise ""Students unable to identify strengths and interests"" within the Self-Discovery domain",8,Students unable to identify strengths and interests | awareness about personal strengths | Confusion between passion and hobby | differentiating interest from competency
2,SELF_EXPLORATION,4,4,SELF_PERCEPTION,keyword,Self Discovery,Inability to identify personal interests,Self Exploration,Restricted exploration | Limited self-reflection | Lack of self-reflection | Limited introspection,"Surface and stabilise ""Inability to identify personal interests"" within the Self Exploration domain",8,identify personal interests | awareness about personal strengths | awareness about personal learning style | accurately evaluate personal strengths
2,TRANSITION_CHANGE,4,4,TRANSITION_READINESS,keyword,Parent,Difficulty Adapting to Academic Changes,Transition & Change Adaptability,Change Resistance | Low Flexibility | Environmental Adjustment Difficulty | Fear-Based Shutdown,"Surface and stabilise ""Difficulty Adapting to Academic Changes"" within the Transition & Change Adaptability domain",8,Adapting to Academic Changes | Child Unable to Handle Sudden Routine Changes | Slow Adaptation After School or Coaching Transition | Persistent Disengagement After Academic Failure
2,ACADEMIC_CAREER,3,3,CAREER_READINESS,keyword,Self Exploration User,Weak Research Orientation for Higher Education,Academic & Career Readiness | Academic-Career Identity | Academic-Career Misfit,Theory-Centric Learning | Performance-linked identity | Poor decision fit,"Surface and stabilise ""Weak Research Orientation for Higher Education"" within the Academic & Career Readiness domain",8,Research Orientation for Higher Education | Confusion after poor academic performance | Feeling disconnected from chosen academic path
2,ACADEMIC_PLANNING,3,3,ACADEMIC_COGNITIVE,keyword,Academic Counsellor,Inability to complete syllabus on time,Academic Planning | Academic Planning & Recovery Intelligence,Poor planning habits | Planning Gaps | Weak Reinforcement Habits,"Surface and stabilise ""Inability to complete syllabus on time"" within the Academic Planning domain",8,complete syllabus on time | Academic Planning Skills | Academic Recovery After Long Vacations
2,ANALYTICAL_DEVELOPMENT,3,3,THINKING_QUALITY,keyword,Student,Difficulty Interpreting Graphs and Data,Analytical Development,Data Processing Gaps | Analytical Weakness | Weak Language Reasoning,"Surface and stabilise ""Difficulty Interpreting Graphs and Data"" within the Analytical Development domain",8,Interpreting Graphs and Data | Aptitude in Quantitative Reasoning | Verbal Reasoning Skills
2,CAREER_DECISION,3,3,CAREER_READINESS,keyword,Self Exploration User,Choosing streams based on parental pressure,Career Decision Support | Career Decision Analysis | Career Decision Overload,Family-driven choices | External reward dependency | Information overload,"Surface and stabilise ""Choosing streams based on parental pressure"" within the Career Decision Support domain",8,Choosing streams based on parental pressure | Choosing careers based only on salary expectations | Feeling overwhelmed by too many career choices
2,EMOTIONAL_DEVELOPMENT,3,3,EMOTIONAL_REGULATION,keyword,Student Mentor,Lack of resilience after setbacks,Emotional Development,Failure intolerance | Conditional appreciation patterns | External approval conditioning,"Surface and stabilise ""Lack of resilience after setbacks"" within the Emotional Development domain",8,resilience after setbacks | Overdependence on external validation | Dependence on external validation for confidence
2,EMOTIONAL_REFLECTION,3,3,EMOTIONAL_REGULATION,keyword,Performance Reflection,Poor awareness of personal stress responses,Emotional Reflection,Lack of emotional literacy | External validation dependency | Limited emotional literacy,"Surface and stabilise ""Poor awareness of personal stress responses"" within the Emotional Reflection domain",8,awareness of personal stress responses | confidence despite strong capability | awareness of emotional triggers
2,FACULTY_DEVELOPMENT,3,3,INSTRUCTIONAL_QUALITY,keyword,Principal / Leadership,Weak Visibility into Teacher Competency Growth Needs,Faculty Development,Lack of Personalized Faculty Analytics | Legacy Teaching Conditioning | Limited Reflective Practice Culture,"Surface and stabilise ""Weak Visibility into Teacher Competency Growth Needs"" within the Faculty Development domain",8,Visibility into Teacher Competency Growth Needs | Teacher Adaptability to New Pedagogies | Build Institutional Reflective Teaching Practices
2,FACULTY_EFFECTIVENESS,3,3,INSTRUCTIONAL_QUALITY,keyword,Academic Operations Leadership,Weak Visibility into Teacher Burnout and Instructional Fatigue,Faculty Effectiveness,Excessive Administrative Load | Lack of Standardized Pedagogy | Weak Faculty Transition Systems,"Surface and stabilise ""Weak Visibility into Teacher Burnout and Instructional Fatigue"" within the Faculty Effectiveness domain",8,Visibility into Teacher Burnout and Instructional Fatigue | Faculty Delivery Consistency | Instructional Quality During Faculty Turnover
2,FACULTY_SUSTAINABILITY,3,3,INSTRUCTIONAL_QUALITY,keyword,Principal / Leadership,Difficulty Detecting Faculty Motivation Decline Early,Faculty Sustainability,Lack of Recognition Systems | Chronic Teaching Pressure | Excessive Workload Distribution,"Surface and stabilise ""Difficulty Detecting Faculty Motivation Decline Early"" within the Faculty Sustainability domain",8,Detecting Faculty Motivation Decline Early | Faculty Emotional Wellbeing Institutionally | Academic Delivery Fatigue Among Teachers
2,HELP_SEEKING,3,3,ADJUSTMENT_COPING,override,Parent,Hesitation in Asking for Academic Help,Help-Seeking & Support Utilization,Fear of Judgement | Fear-Based Avoidance | Fragile Self-Perception,"Surface and stabilise ""Hesitation in Asking for Academic Help"" within the Help-Seeking & Support Utilization domain",8,Hesitation in Asking for Academic Help | Child Avoiding Teacher Guidance Due to Fear | Response to Corrective Feedback
2,LEADERSHIP_TRANSITION,3,3,LEADERSHIP_OWNERSHIP,keyword,Leadership Track Professional,Difficulty Managing Emotional Pressure During Succession Discussions,Leadership Transition,Identity Tied to Position | Identity Attached to Position | Identity Linked to Position,"Surface and stabilise ""Difficulty Managing Emotional Pressure During Succession Discussions"" within the Leadership Transition domain",8,Emotional Pressure During Succession Discussions | Emotional Pressure During Succession Transitions | Emotional Anxiety Around Succession Relevance
2,PERSONAL_EFFECTIVENESS,3,3,DISCIPLINE_HABITS,override,Student Mentor,Lack of consistency in effort and execution,Personal Effectiveness,Weak persistence systems | Poor routine systems | Fear of judgment,"Surface and stabilise ""Lack of consistency in effort and execution"" within the Personal Effectiveness domain",8,consistency in effort and execution | self-discipline and accountability | self-confidence despite capability
2,ACADEMIC_GROWTH,2,2,ACADEMIC_COGNITIVE,keyword,Academic Operations Leadership,Difficulty Monitoring Long-Term Learning Progression,Academic Growth,Fragmented Academic Tracking | Fragmented Student Records,"Surface and stabilise ""Difficulty Monitoring Long-Term Learning Progression"" within the Academic Growth domain",8,Long-Term Learning Progression | Longitudinal Student Growth Consistency
2,ACADEMIC_OPERATIONS,2,2,ACADEMIC_COGNITIVE,keyword,Academic Operations Leadership,Difficulty Maintaining Consistent Learning Quality Across Classrooms,Academic Operations,Inconsistent Teaching Practices | Weak Academic Planning Systems,"Surface and stabilise ""Difficulty Maintaining Consistent Learning Quality Across Classrooms"" within the Academic Operations domain",8,Consistent Learning Quality Across Classrooms | Detecting Learning Delivery Delays Across Academic Cycles
2,ACADEMIC_REFLECTION,2,2,THINKING_QUALITY,keyword,Learner,Difficulty recognizing conceptual understanding gaps,Academic Reflection,Superficial learning | Lack of process review,"Surface and stabilise ""Difficulty recognizing conceptual understanding gaps"" within the Academic Reflection domain",8,recognizing conceptual understanding gaps | reflection after exam performance
2,ALTERNATIVE_CAREER,2,2,CAREER_READINESS,keyword,Career Counsellor,Low confidence in non-traditional careers,Alternative Career Guidance | Alternative Career Reflection,Cultural bias | Social validation dependency,"Surface and stabilise ""Low confidence in non-traditional careers"" within the Alternative Career Guidance domain",8,confidence in non-traditional careers | confidence in pursuing creative careers
2,BEHAVIORAL_STABILITY,2,2,EMOTIONAL_REGULATION,keyword,Student Success Office,Weak Visibility into Student Attendance Pattern Risks,Behavioral Stability,Weak Attendance Analytics | Identity insecurity,"Surface and stabilise ""Weak Visibility into Student Attendance Pattern Risks"" within the Behavioral Stability domain",8,Visibility into Student Attendance Pattern Risks | Inconsistent behavior across environments
2,CAREER_ALIGNMENT,2,2,CAREER_READINESS,keyword,Career Counsellor,Confusion between passion and employability,Career Alignment,Unrealistic expectations | External influence,"Surface and stabilise ""Confusion between passion and employability"" within the Career Alignment domain",8,Confusion between passion and employability | alignment between interests and chosen stream
2,CAREER_BRANDING,2,2,CAREER_READINESS,keyword,Placement & Career Cell,Weak Ability to Monitor Student Resume and Profile Quality,Career Branding,Weak Professional Branding Exposure | Limited guidance,"Surface and stabilise ""Weak Ability to Monitor Student Resume and Profile Quality"" within the Career Branding domain",8,Monitor Student Resume and Profile Quality | Students lacking portfolio and profile development
2,CAREER_EXECUTION,2,2,CAREER_READINESS,keyword,Career Counsellor,Poor career planning timeline management,Career Execution | Career Execution Reflection,Lack of structure | Weak routines,"Surface and stabilise ""Poor career planning timeline management"" within the Career Execution domain",8,career planning timeline management | self-discipline impacting career goals
2,CAREER_PLANNING,2,2,CAREER_READINESS,keyword,Job Seeker,Difficulty Building a Strategic Long-Term Career Narrative,Career Planning,Reactive Career Decisions | Financial Pressure vs Ambition,"Surface and stabilise ""Difficulty Building a Strategic Long-Term Career Narrative"" within the Career Planning domain",8,Building a Strategic Long-Term Career Narrative | Balancing Pragmatic Choices with Career Aspirations
2,CAREER_PREPAREDNESS,2,2,CAREER_READINESS,keyword,Career Counsellor,Lack of awareness about skill requirements,Career Preparedness | Career Preparedness Reflection,Weak practical exposure | Limited benchmarking,"Surface and stabilise ""Lack of awareness about skill requirements"" within the Career Preparedness domain",8,awareness about skill requirements | evaluating personal career readiness
2,CAREER_RECOVERY,2,2,EMOTIONAL_REGULATION,keyword,Career Counsellor,Low resilience after career setbacks,Career Recovery | Career Recovery Reflection,Failure intolerance | Fear of repeated setbacks,"Surface and stabilise ""Low resilience after career setbacks"" within the Career Recovery domain",8,resilience after career setbacks | confidence after repeated failures
2,CAREER_SUSTAINABILITY,2,2,CAREER_READINESS,keyword,Placement & Career Cell,Difficulty Monitoring Long-Term Career Sustainability Readiness,Career Sustainability,Short-Term Placement Orientation | Economic insecurity,"Surface and stabilise ""Difficulty Monitoring Long-Term Career Sustainability Readiness"" within the Career Sustainability domain",8,Long-Term Career Sustainability Readiness | balancing passion and financial stability
2,EMOTIONAL_MATURITY,2,2,EMOTIONAL_REGULATION,keyword,Leadership Coach,Emotional impulsiveness affecting leadership image,Emotional Maturity,Poor impulse regulation | Ego defensiveness,"Surface and stabilise ""Emotional impulsiveness affecting leadership image"" within the Emotional Maturity domain",8,Emotional impulsiveness affecting leadership image | Fear of acknowledging weaknesses
2,EMPLOYABILITY_DEVELOPMENT,2,2,EMPLOYABILITY,keyword,Placement & Career Cell,Difficulty Tracking Longitudinal Employability Growth,Employability Development,Fragmented Placement Monitoring | Confidence gaps,"Surface and stabilise ""Difficulty Tracking Longitudinal Employability Growth"" within the Employability Development domain",8,Tracking Longitudinal Employability Growth | communication impacting career opportunities
2,FINANCIAL_READINESS,2,2,CAREER_READINESS,override,Early Career Learner,Weak Awareness of Long-Term Financial Planning After Employment,Financial Readiness,Lack of Financial Education | Lack of Market Research,"Surface and stabilise ""Weak Awareness of Long-Term Financial Planning After Employment"" within the Financial Readiness domain",8,Awareness of Long-Term Financial Planning After Employment | Understanding of Industry Salary Benchmarks
2,FUTURE_ORIENTATION,2,2,PERSONAL_VISION,override,Student Mentor,Lack of long-term personal vision,Future Orientation,Lack of guidance | Limited future exposure,"Surface and stabilise ""Lack of long-term personal vision"" within the Future Orientation domain",8,long-term personal vision | visualizing future self and goals
2,IDENTITY_FORMATION,2,2,SELF_PERCEPTION,keyword,Self Discovery,Confusion between passion and temporary excitement,Identity Formation,External trend influence | Weak introspection,"Surface and stabilise ""Confusion between passion and temporary excitement"" within the Identity Formation domain",8,Confusion between passion and temporary excitement | clarity about personal values
2,LEADERSHIP_DEVELOPMENT,2,2,LEADERSHIP_OWNERSHIP,keyword,Student Mentor,Lack of initiative and proactive behaviour,Leadership Development,Fear of mistakes | Social anxiety,"Surface and stabilise ""Lack of initiative and proactive behaviour"" within the Leadership Development domain",8,initiative and proactive behaviour | self-confidence during public speaking
2,LEARNING_REFLECTION,2,2,THINKING_QUALITY,keyword,Learner,Difficulty identifying academic strengths and weaknesses,Learning Reflection,Poor introspection | Lack of personalization,"Surface and stabilise ""Difficulty identifying academic strengths and weaknesses"" within the Learning Reflection domain",8,identifying academic strengths and weaknesses | understanding of personal learning style
2,MOTIVATION_MAPPING,2,2,MOTIVATION_VALUES,keyword,Self Discovery,Difficulty identifying motivational drivers,Motivation Mapping,Extrinsic dependency | Social conditioning,"Surface and stabilise ""Difficulty identifying motivational drivers"" within the Motivation Mapping domain",8,identifying motivational drivers | clarity about intrinsic motivations
2,PERSONAL_INSIGHT,2,2,SELF_REFLECTION,override,Student Mentor,Lack of self-awareness about strengths and weaknesses,Personal Insight,Limited introspection | Fear of inadequacy,"Surface and stabilise ""Lack of self-awareness about strengths and weaknesses"" within the Personal Insight domain",8,self-awareness about strengths and weaknesses | Fear of self-reflection due to insecurity
2,PRODUCTIVITY_REFLECTION,2,2,THINKING_QUALITY,keyword,Learner,Lack of awareness about procrastination triggers,Productivity Reflection,Avoidance behaviors | Poor strategy use,"Surface and stabilise ""Lack of awareness about procrastination triggers"" within the Productivity Reflection domain",8,awareness about procrastination triggers | distinguish effort from effectiveness
2,REFLECTIVE_DEVELOPMENT,2,2,THINKING_QUALITY,keyword,Self Exploration User,Difficulty identifying personal blind spots,Reflective Development,Absence of reflection systems | Lack of structured introspection,"Surface and stabilise ""Difficulty identifying personal blind spots"" within the Reflective Development domain",8,identifying personal blind spots | Absence of structured self-reflection habits
2,SELF_IDENTITY,2,2,SELF_PERCEPTION,keyword,Self Discovery,Excessive comparison reducing individuality,Self Identity | Self-Identity Reflection,Social comparison conditioning | Peer comparison pressure,"Surface and stabilise ""Excessive comparison reducing individuality"" within the Self Identity domain",8,Excessive comparison reducing individuality | Comparing personal progress unfairly with peers
2,SELF_LEADERSHIP,2,2,LEADERSHIP_OWNERSHIP,keyword,Leadership Coach,Excessive dependence on external validation,Self-Leadership | Self Leadership,External identity reliance | Over-guidance,"Surface and stabilise ""Excessive dependence on external validation"" within the Self-Leadership domain",8,Excessive dependence on external validation | ownership over personal growth
2,SELF_LEARNING,2,2,LEARNING_ADAPTABILITY,keyword,Behavioral Mentor,Low confidence in independent learning,Self-Learning Development | Self Learning,Weak self-efficacy | External Dependency,"Surface and stabilise ""Low confidence in independent learning"" within the Self-Learning Development domain",8,confidence in independent learning | Independent Learning Ability
2,SOCIAL_SELF,2,2,SOCIAL_EMOTIONAL,keyword,Self Discovery,Difficulty understanding social strengths and weaknesses,Social Self-Awareness | Social Self-Development,Poor social reflection | Low emotional tolerance,"Surface and stabilise ""Difficulty understanding social strengths and weaknesses"" within the Social Self-Awareness domain",8,understanding social strengths and weaknesses | emotional resilience in social situations
2,STUDENT_BEHAVIOUR,2,2,STUDENT_SUCCESS,keyword,Academic Counsellor,Digital addiction reducing study efficiency,Student Behaviour,Dopamine-driven distraction | Low coping maturity,"Surface and stabilise ""Digital addiction reducing study efficiency"" within the Student Behaviour domain",8,Digital addiction reducing study efficiency | emotional regulation during conflicts
2,STUDENT_ENGAGEMENT,2,2,STUDENT_SUCCESS,keyword,Principal / Leadership,Weak Visibility into Classroom Engagement Patterns,Student Engagement,Teacher-Centric Learning Models | Teacher-Centric Delivery Models,"Surface and stabilise ""Weak Visibility into Classroom Engagement Patterns"" within the Student Engagement domain",8,Visibility into Classroom Engagement Patterns | Measure Classroom Engagement Quality
2,STUDENT_PSYCHOLOGY,2,2,STUDENT_SUCCESS,keyword,Academic Counsellor,Peer comparison affecting motivation,Student Psychology,Inferiority perception | External validation dependency,"Surface and stabilise ""Peer comparison affecting motivation"" within the Student Psychology domain",8,Peer comparison affecting motivation | Frequent comparison with peers
2,STUDENT_RISK,2,2,STUDENT_SUCCESS,keyword,Academic Counsellor,Frequent absenteeism linked to academics,Student Risk Monitoring | Student Risk Intelligence,Fear avoidance | Reactive Student Support Systems,"Surface and stabilise ""Frequent absenteeism linked to academics"" within the Student Risk Monitoring domain",8,Frequent absenteeism linked to academics | Identify High-Risk Students for Timely Intervention
2,STUDENT_WELLNESS,2,2,EMOTIONAL_REGULATION,keyword,Academic Counsellor,Student burnout from excessive academic load,Student Wellness,Over-scheduling | Overcommitment,"Surface and stabilise ""Student burnout from excessive academic load"" within the Student Wellness domain",8,Student burnout from excessive academic load | balance academics and personal life
2,TALENT_IDENTIFICATION,2,2,COMPETENCY_DEVELOPMENT,keyword,Principal / Leadership,Difficulty Detecting Hidden High-Potential Students,Talent Identification,Marks-Based Recognition Bias | Visibility Bias in Placements,"Surface and stabilise ""Difficulty Detecting Hidden High-Potential Students"" within the Talent Identification domain",8,Detecting Hidden High-Potential Students | Detecting Students with Hidden High Employability Potential
2,TEACHING_QUALITY,2,2,INSTRUCTIONAL_QUALITY,keyword,Principal / Leadership,Difficulty Monitoring Teacher Impact on Student Growth,Teaching Quality,Weak Teaching Analytics | Isolated Teaching Practices,"Surface and stabilise ""Difficulty Monitoring Teacher Impact on Student Growth"" within the Teaching Quality domain",8,Teacher Impact on Student Growth | Aligning Teaching Practices Across Faculty
3,ACADEMIC_BEHAVIOR,1,1,ACADEMIC_COGNITIVE,keyword,Behavioral Mentor,Lack of study discipline,Academic Behavior,Weak habit systems,"Surface and stabilise ""Lack of study discipline"" within the Academic Behavior domain",8,study discipline
3,ACADEMIC_COUNSELLING,1,1,ACADEMIC_COGNITIVE,keyword,Academic Counsellor,Declining academic performance despite effort,Academic Counselling,Weak foundations,"Surface and stabilise ""Declining academic performance despite effort"" within the Academic Counselling domain",8,Declining academic performance despite effort
3,ACADEMIC_DECISION,1,1,THINKING_QUALITY,keyword,Academic Counsellor,Poor decision-making regarding subject streams,Academic Decision Support,Lack of self-awareness,"Surface and stabilise ""Poor decision-making regarding subject streams"" within the Academic Decision Support domain",8,decision-making regarding subject streams
