No.	Category	Concern Area/ short assessments	Parent Worry (Real Language)	Impact on Child
135	Board Exams	Exam performance vs preparation mismatch	“Studied well but marks are low”	Frustration, confusion
136	Board Exams	Time mismanagement in board exam	“Couldn’t complete paper”	Score loss
137	Board Exams	Poor answer presentation	“Knows answers but cannot write properly”	Low evaluation score
138	Board Exams	Weak exam strategy	“Doesn’t know how to attempt paper”	Inefficient scoring
139	Board Exams	Panic during board exam	“Blank out in exam hall”	Severe underperformance
140	Board Exams	Lack of revision strategy	“Didn’t revise properly”	Poor retention
141	Board Exams	Syllabus completion gaps	“Portions left before exam”	Low confidence
142	Board Exams	Overconfidence before exam	“Thought it was easy”	Poor results
143	Board Exams	Burnout before boards	“Exhausted before exams started”	Performance drop
144	Board Exams	External pressure (family/society)	“Too much pressure for marks”	Anxiety, stress
145	Board Exams	Comparison after results	“Others scored more”	Low self-esteem
146	Betterment	Lack of clarity about betterment exams	“What is improvement exam process?”	Confusion, delay
147	Betterment	Fear of repeating failure	“What if marks don’t improve again?”	Avoidance
148	Betterment	No strategy for improvement exam	“How to improve marks now?”	Ineffective preparation
149	Betterment	Time gap misuse	“Wasting time after results”	Lost opportunity
150	Betterment	Lack of structured re-preparation	“Doesn’t know where to restart”	Same mistakes repeated
151	Betterment	Concept gaps not fixed	“Still weak in basics”	No improvement
152	Betterment	Psychological setback after failure	“Lost confidence completely”	Withdrawal
153	Betterment	Social stigma of failure	“What will others say?”	Shame, isolation
154	Betterment	Lack of motivation to retry	“Doesn’t want to attempt again”	Dropout risk
155	Betterment	Wrong study strategy repetition	“Repeating same mistakes”	No score improvement
156	Betterment	Lack of mentorship/guidance	“No one to guide for improvement”	Directionless effort
157	Betterment	Fear of career delay	“Will this delay future?”	Anxiety
158	Betterment	College admission uncertainty	“Will colleges accept betterment scores?”	Confusion
159	Betterment	Peer progression pressure	“Friends moved ahead”	Inferiority feeling
160	Betterment	Emotional recovery after failure	“Child is mentally down”	Long-term confidence impact
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
