| **Domain**                                    | **Subdomain**                  | **Micro-Competencies (Assessable Traits)**                                                                                                                             |
| Personal Effectiveness & Self-Management      | Time Management                | Prioritization, scheduling, deadline adherence, time estimation                                                                                                        |
| Personal Effectiveness & Self-Management      | Stress Management              | Performance under pressure, coping strategies                                                                                                                          |
| Social & Interpersonal Intelligence           | Interpersonal Skills           | Rapport building, relationship management, empathy in interaction                                                                                                      |
| Social & Interpersonal Intelligence           | Emotional Intelligence         | Empathy, emotional awareness, emotional regulation in social context                                                                                                   |
| Social & Interpersonal Intelligence           | Teamwork & Collaboration       | Cooperation, contribution, coordination, mutual support                                                                                                                |
| Social & Interpersonal Intelligence           | Conflict Resolution            | Mediation, negotiation, de-escalation strategies                                                                                                                       |
| Social & Interpersonal Intelligence           | Cultural Intelligence          | Diversity sensitivity, inclusion, cross-cultural adaptability                                                                                                          |
| Social & Interpersonal Intelligence           | Networking                     | Relationship building, maintaining professional networks                                                                                                               |
| Social & Interpersonal Intelligence           | Stakeholder Management         | Expectation alignment, communication clarity, influence management                                                                                                     |
| Social & Interpersonal Intelligence           | Customer Orientation           | Service mindset, empathy, responsiveness                                                                                                                               |
| Social & Interpersonal Intelligence           | Trust Building                 | Credibility, consistency, transparency                                                                                                                                 |
| Social & Interpersonal Intelligence           | Social Awareness               | Group dynamics understanding, situational awareness                                                                                                                    |
| Social & Interpersonal Intelligence           | Influence Without Authority    | Persuasion, alignment building                                                                                                                                         |
| Social & Interpersonal Intelligence           | Collaboration Across Teams     | Cross-functional coordination, integration                                                                                                                             |
| Leadership & Influence                        | Leadership Skills              | Vision setting, direction, alignment                                                                                                                                   |
| Leadership & Influence                        | People Management              | Delegation, mentoring, coaching, performance management                                                                                                                |
| Leadership & Influence                        | Strategic Thinking             | Long-term planning, foresight, scenario analysis                                                                                                                       |
| Leadership & Influence                        | Decision Leadership            | Decisiveness, accountability in decisions                                                                                                                              |
| Leadership & Influence                        | Change Management              | Leading change, adaptability, transition management                                                                                                                    |
| Leadership & Influence                        | Coaching & Mentoring           | Developing others, feedback guidance                                                                                                                                   |
| Leadership & Influence                        | Execution Leadership           | Driving results, ensuring outcomes                                                                                                                                     |
| Leadership & Influence                        | Team Building                  | Structuring teams, synergy creation                                                                                                                                    |
| Leadership & Influence                        | Inspirational Leadership       | Motivation, influence, engagement                                                                                                                                      |
| Leadership & Influence                        | Entrepreneurial Mindset        | Opportunity recognition, calculated risk-taking                                                                                                                        |
| Execution, Operations & Productivity          | Task Execution                 | Ownership, closure, quality of execution                                                                                                                               |
| Execution, Operations & Productivity          | Project Management             | Planning, execution, monitoring, risk tracking                                                                                                                         |
| Execution, Operations & Productivity          | Process Management             | Workflow design, process optimization                                                                                                                                  |
| Execution, Operations & Productivity          | Operational Efficiency         | Resource optimization, output maximization                                                                                                                             |
| Execution, Operations & Productivity          | Attention to Detail            | Accuracy, precision, quality control                                                                                                                                   |
| Execution, Operations & Productivity          | Multitasking                   | Managing multiple priorities effectively                                                                                                                               |
| Execution, Operations & Productivity          | Resource Management            | Efficient utilization of time, tools, people                                                                                                                           |
| Execution, Operations & Productivity          | Goal Execution                 | Outcome delivery, milestone tracking                                                                                                                                   |
| Execution, Operations & Productivity          | Performance Tracking           | Monitoring metrics, feedback loops                                                                                                                                     |
| Career & Professional Readiness               | Career Awareness               | Goal clarity, career mapping                                                                                                                                           |
| Career & Professional Readiness               | Professionalism                | Workplace etiquette, behavior standards                                                                                                                                |
| Career & Professional Readiness               | Employability Skills           | Readiness for job roles, workplace adaptability                                                                                                                        |
| Career & Professional Readiness               | Interview Skills               | Communication, confidence, structured responses                                                                                                                        |
| Career & Professional Readiness               | Resume & Profile Building      | Achievement articulation, structuring                                                                                                                                  |
| Career & Professional Readiness               | Personal Branding              | Self-positioning, visibility                                                                                                                                           |
| Career & Professional Readiness               | Organizational Awareness       | Workplace structure, dynamics understanding                                                                                                                            |
| Career & Professional Readiness               | Industry Awareness             | Market trends, domain knowledge                                                                                                                                        |
| Digital, Data & Technology Skills             | Digital Literacy               | Basic computing, internet usage                                                                                                                                        |
| Digital, Data & Technology Skills             | Data Literacy                  | Data interpretation, visualization, basic analytics                                                                                                                    |
| Digital, Data & Technology Skills             | Technical Skills               | Domain-specific technical knowledge                                                                                                                                    |
| Digital, Data & Technology Skills             | Digital Communication Tools    | Email, collaboration tools, remote work tools                                                                                                                          |
| Digital, Data & Technology Skills             | Technology Adaptability        | Learning new tools, tech agility                                                                                                                                       |
| Digital, Data & Technology Skills             | Automation Awareness           | Understanding tools for efficiency                                                                                                                                     |
| Digital, Data & Technology Skills             | Cyber Awareness                | Data privacy, basic cybersecurity hygiene                                                                                                                              |
| Innovation, Entrepreneurship & Value Creation | Innovation Skills              | Idea validation, prototyping, experimentation                                                                                                                          |
| Innovation, Entrepreneurship & Value Creation | Entrepreneurial Skills         | Opportunity spotting, resourcefulness                                                                                                                                  |
| Innovation, Entrepreneurship & Value Creation | Business Acumen                | Market understanding, value creation logic                                                                                                                             |
| Innovation, Entrepreneurship & Value Creation | Financial Literacy             | Budgeting, cost understanding, ROI thinking                                                                                                                            |
| Innovation, Entrepreneurship & Value Creation | Design Thinking                | User empathy, ideation, prototyping                                                                                                                                    |
| Ethics, Governance & Responsibility           | Ethical Reasoning              | Moral judgment, fairness, integrity                                                                                                                                    |
| Ethics, Governance & Responsibility           | Compliance Awareness           | Rules, regulations understanding                                                                                                                                       |
| Ethics, Governance & Responsibility           | Social Responsibility          | Sustainability awareness, ethical impact                                                                                                                               |
| Ethics, Governance & Responsibility           | Accountability Systems         | Transparency, reporting responsibility                                                                                                                                 |
| Health, Wellbeing & Sustainability            | Physical Wellbeing             | Energy levels, health maintenance awareness                                                                                                                            |
| Health, Wellbeing & Sustainability            | Mental Wellbeing               | Stress balance, emotional health awareness                                                                                                                             |
| Health, Wellbeing & Sustainability            | Work-Life Balance              | Balance management, sustainability                                                                                                                                     |
| Health, Wellbeing & Sustainability            | Occupational Health Awareness  | Safe work practices                                                                                                                                                    |
| Global & Future Readiness                     | Global Awareness               | Geopolitical awareness, global trends                                                                                                                                  |
| Global & Future Readiness                     | Future Skills Orientation      | AI awareness, adaptability to future roles                                                                                                                             |
| Global & Future Readiness                     | Lifelong Learning Orientation  | Continuous upskilling mindset                                                                                                                                          |
| Global & Future Readiness                     | Remote Work Readiness          | Virtual collaboration, self-management                                                                                                                                 |
