Item
1184
Search item…
Add Item
Code	Subdomain	Question	Type	Diff.	Actions
SDI_BEH_ALERTNESS_011	SDI_BEH_ALERTNESS	Do you use a "Night Shift" or blue-light filter starting 2 hours before bed?	standard	3	


SDI_BEH_ALERTNESS_012	SDI_BEH_ALERTNESS	Do you recognize the specific "brain fog" that comes after a long scroll?	standard	3	


SDI_BEH_ALERTNESS_013	SDI_BEH_ALERTNESS	Can you fall asleep within 15 mins of putting down a screen?	standard	3	


SDI_BEH_CHRONOTYPE_001	SDI_BEH_CHRONOTYPE	Feel "mentally awake" only after sun goes down?	standard	3	


SDI_BEH_COMMUNICATION_001	SDI_BEH_COMMUNICATION	Do you feel like you must reply to a text the second you see it?	standard	3	


SDI_BEH_CONNECT_001	SDI_BEH_CONNECT	Work full 8-hour day without internet connection?	standard	3	


SDI_BEH_CONNECTIVITY_001	SDI_BEH_CONNECTIVITY	Can you work for a full 8-hour day without an internet connection?	standard	3	


SDI_BEH_CONNECTIVITY_002	SDI_BEH_CONNECTIVITY	Do you keep your phone on "Do Not Disturb" as your default setting?	standard	3	


SDI_BEH_CONNECTIVITY_003	SDI_BEH_CONNECTIVITY	Do you use "Airplane Mode" specifically to finish a work project?	standard	3	


SDI_BEH_CONNECTIVITY_004	SDI_BEH_CONNECTIVITY	Do you feel "cut off" or annoyed if you don't have Wi-Fi or data?	standard	3	


SDI_BEH_CONNECTIVITY_005	SDI_BEH_CONNECTIVITY	Is the first thing you ask for in a new place the Wi-Fi password?	standard	3	


SDI_BEH_CONNECTIVITY_006	SDI_BEH_CONNECTIVITY	Do you feel nervous or anxious if your phone battery drops below 20%?	standard	3	


SDI_BEH_DIET_001	SDI_BEH_DIET	Do you focus better after a high-protein breakfast?	standard	3	


SDI_BEH_ENV_001	SDI_BEH_ENV	Organize room without looking at digital reference?	standard	3	


SDI_BEH_ENVIRONMENT_001	SDI_BEH_ENVIRONMENT	Do you clear your desk and turn off your phone before starting?	anchor	3	


SDI_BEH_ENVIRONMENT_002	SDI_BEH_ENVIRONMENT	Have a "favorite spot" where you focus 2x better?	standard	3	


SDI_BEH_ENVIRONMENT_003	SDI_BEH_ENVIRONMENT	Focus better in a library than alone in your room?	standard	3	


SDI_BEH_ENVIRONMENT_004	SDI_BEH_ENVIRONMENT	Can you sit in a café alone without looking at your phone once?	standard	3	


SDI_BEH_ENVIRONMENT_005	SDI_BEH_ENVIRONMENT	If you go to a different room, do you leave your phone behind intentionally?	standard	3	


SDI_BEH_ENVIRONMENT_006	SDI_BEH_ENVIRONMENT	Does a small noise (fan/hum) stop you from working?	standard	3	


SDI_BEH_ENVIRONMENT_007	SDI_BEH_ENVIRONMENT	Do you use your phone while you are already watching a movie or TV?	standard	3	


SDI_BEH_ENVIRONMENT_008	SDI_BEH_ENVIRONMENT	Does a slightly hot room make it impossible to study?	standard	3	


SDI_BEH_ENVIRONMENT_009	SDI_BEH_ENVIRONMENT	Do you have a "Focus Seat" where you feel smart as soon as you sit?	standard	3	


SDI_BEH_ENVIRONMENT_010	SDI_BEH_ENVIRONMENT	Can you lead a team in a room with 5 other loud groups?	standard	3	


SDI_BEH_ENVIRONMENT_011	SDI_BEH_ENVIRONMENT	Only focus if the room is exactly a certain way?	standard	3	


SDI_BEH_ENVIRONMENT_012	SDI_BEH_ENVIRONMENT	Do you have a specific "box" or "shelf" where phones go during family time?	standard	3	


SDI_BEH_ENVIRONMENT_013	SDI_BEH_ENVIRONMENT	Do you keep your phone in a different room while doing deep work or studying?	anchor	3	


SDI_BEH_ENVIRONMENT_014	SDI_BEH_ENVIRONMENT	Does a cluttered room distract you mentally?	standard	3	


SDI_BEH_ENVIRONMENT_015	SDI_BEH_ENVIRONMENT	Can you focus regardless of the light/chair/temperature?	standard	3	


SDI_BEH_ENVIRONMENT_016	SDI_BEH_ENVIRONMENT	Can you study effectively on a moving, loud train?	standard	3	


SDI_BEH_ENVIRONMENT_017	SDI_BEH_ENVIRONMENT	People walking past make you lose your thought?	standard	3	


SDI_BEH_ENVIRONMENT_018	SDI_BEH_ENVIRONMENT	Feel "shielded" from the world with headphones?	standard	3	


SDI_BEH_ENVIRONMENT_019	SDI_BEH_ENVIRONMENT	Do you turn off all notifications before opening your book?	standard	3	


SDI_BEH_ENVIRONMENT_020	SDI_BEH_ENVIRONMENT	If your phone is on the table, do you find it harder to focus on your work?	standard	3	


SDI_BEH_ENVIRONMENT_021	SDI_BEH_ENVIRONMENT	Do you need music or white noise to focus?	standard	3	


SDI_BEH_ENVIRONMENT_022	SDI_BEH_ENVIRONMENT	Do you hide your phone in a drawer before you start deep work?	standard	3	


SDI_BEH_ENVIRONMENT_023	SDI_BEH_ENVIRONMENT	Can you focus in a noisy cafeteria if you have to?	standard	3	


SDI_BEH_ENVIRONMENT_024	SDI_BEH_ENVIRONMENT	Do you use specific music or white noise to "drown out" the world?	standard	3	


SDI_BEH_ENVIRONMENT_025	SDI_BEH_ENVIRONMENT	Can you study effectively on a crowded, moving bus/train?	standard	3	


SDI_BEH_ENVIRONMENT_026	SDI_BEH_ENVIRONMENT	Do you adjust your chair/light to maximize focus?	standard	3	


SDI_BEH_ENVIRONMENT_027	SDI_BEH_ENVIRONMENT	Does studying in a new place (library/cafe) help?	standard	3	


SDI_BEH_ENVIRONMENT_028	SDI_BEH_ENVIRONMENT	Can you read a book while people are talking loudly around you?	standard	3	


SDI_BEH_ENVIRONMENT_029	SDI_BEH_ENVIRONMENT	Is your immediate desk area free of any non-work related digital devices?	standard	3	


SDI_BEH_ENVIRONMENT_030	SDI_BEH_ENVIRONMENT	Does a pen clicking or someone chewing make you angry?	standard	3	


SDI_BEH_ENVIRONMENT_031	SDI_BEH_ENVIRONMENT	Do you know which specific background sound helps you focus?	standard	3	


SDI_BEH_ENVIRONMENT_032	SDI_BEH_ENVIRONMENT	Do you use "Do Not Disturb" or "Focus Mode" while working?	anchor	3	


SDI_BEH_ENVIRONMENT_033	SDI_BEH_ENVIRONMENT	Is your phone charger located in a place that is not reachable from your bed?	standard	3	


SDI_BEH_ENVIRONMENT_034	SDI_BEH_ENVIRONMENT	Do you have a specific "Focus Ritual" (e.g., lighting, music) to start work?	anchor	3	


SDI_BEH_EXEC_FUNCTION_001	SDI_BEH_EXEC_FUNCTION	Can you perform high-quality work in a very noisy airport?	anchor	3	


SDI_BEH_EXEC_FUNCTION_002	SDI_BEH_EXEC_FUNCTION	Can you finish your own work while helping a friend with theirs?	standard	3	


SDI_BEH_EXEC_FUNCTION_003	SDI_BEH_EXEC_FUNCTION	Can you watch a video and take perfect notes?	standard	3	


SDI_BEH_EXEC_FUNCTION_004	SDI_BEH_EXEC_FUNCTION	Can you track 3+ complex project threads without losing the "big picture"?	standard	3	


SDI_BEH_EXEC_FUNCTION_005	SDI_BEH_EXEC_FUNCTION	Do you feel like you "deserve" a 20-min break for only 5 mins of work?	standard	3	


SDI_BEH_EXEC_FUNCTION_006	SDI_BEH_EXEC_FUNCTION	Can you track 5+ complex work threads without losing the "big picture"?	standard	3	


SDI_BEH_EXEC_FUNCTION_007	SDI_BEH_EXEC_FUNCTION	Can you listen to a lecture and write a full plan at once?	standard	3	


SDI_BEH_EXEC_FUNCTION_008	SDI_BEH_EXEC_FUNCTION	Do you finish projects 1 day before they are due?	standard	3	


SDI_BEH_EXEC_FUNCTION_009	SDI_BEH_EXEC_FUNCTION	Clean room just to avoid starting an essay?	standard	3	


SDI_BEH_EXEC_FUNCTION_010	SDI_BEH_EXEC_FUNCTION	Do you spend 20 mins "getting ready" to do 5 mins of work?	standard	3	


SDI_BEH_EXEC_FUNCTION_011	SDI_BEH_EXEC_FUNCTION	Can you manage 3 "deep" projects without any mental crossover?	standard	3	


SDI_BEH_EXEC_FUNCTION_012	SDI_BEH_EXEC_FUNCTION	Do you skip "easy but useless" work to focus on "hard but key"?	standard	3	


SDI_BEH_EXEC_FUNCTION_013	SDI_BEH_EXEC_FUNCTION	Do you use "too much energy" on unimportant details?	standard	3	


SDI_BEH_EXEC_FUNCTION_014	SDI_BEH_EXEC_FUNCTION	Do you use a timer to track study intervals?	standard	3	


SDI_BEH_EXEC_FUNCTION_015	SDI_BEH_EXEC_FUNCTION	Can you rewrite your whole plan in 2 mins if a teacher changes a task?	standard	3	


SDI_BEH_EXEC_FUNCTION_016	SDI_BEH_EXEC_FUNCTION	Do you draw or scribble while listening to a lecture?	standard	3	


SDI_BEH_EXEC_FUNCTION_017	SDI_BEH_EXEC_FUNCTION	Can you lead a study group while finishing your own complex task?	standard	3	


SDI_BEH_EXEC_FUNCTION_018	SDI_BEH_EXEC_FUNCTION	Do you use a "Timer" (like Pomodoro) to guide your study?	anchor	3	


SDI_BEH_EXEC_FUNCTION_019	SDI_BEH_EXEC_FUNCTION	Can you track two different goals at the same time?	anchor	3	


SDI_BEH_EXEC_FUNCTION_020	SDI_BEH_EXEC_FUNCTION	Can you listen to a lecture, take notes, and plan questions simultaneously?	standard	3	


SDI_BEH_EXEC_FUNCTION_021	SDI_BEH_EXEC_FUNCTION	Do you visualize your entire project as a 3D structure in your mind?	standard	3	


SDI_BEH_EXEC_FUNCTION_022	SDI_BEH_EXEC_FUNCTION	Can you rewrite your entire study plan in 2 mins if a deadline moves?	standard	3	


SDI_BEH_EXEC_FUNCTION_023	SDI_BEH_EXEC_FUNCTION	Do you know exactly what you will finish in 1 hour?	standard	3	


SDI_BEH_EXEC_FUNCTION_024	SDI_BEH_EXEC_FUNCTION	Does 10 mins of study feel like 30 mins to you?	standard	3	


SDI_BEH_EXEC_FUNCTION_025	SDI_BEH_EXEC_FUNCTION	Do you start "easy" new tasks to avoid finishing "hard" old ones?	standard	3	


SDI_BEH_EXEC_FUNCTION_026	SDI_BEH_EXEC_FUNCTION	Can you change your whole strategy in 5 minutes?	standard	3	


SDI_BEH_EXEC_FUNCTION_027	SDI_BEH_EXEC_FUNCTION	Do you check the clock to ensure you aren't stuck on one item?	standard	3	


SDI_BEH_EXEC_FUNCTION_028	SDI_BEH_EXEC_FUNCTION	Hard to stop one task and start a totally different one?	anchor	3	


SDI_BEH_EXEC_FUNCTION_029	SDI_BEH_EXEC_FUNCTION	Can you manage a team's workflow while doing your own deep work?	standard	3	


SDI_BEH_EXEC_FUNCTION_030	SDI_BEH_EXEC_FUNCTION	Do you get distracted the moment a task requires "thinking hard"?	standard	3	


SDI_BEH_EXEC_FUNCTION_031	SDI_BEH_EXEC_FUNCTION	Do you find it physically painful to put your phone in another room?	standard	3	


SDI_BEH_EXEC_FUNCTION_032	SDI_BEH_EXEC_FUNCTION	Hard to start a task even when you know it's easy?	standard	3	


SDI_BEH_EXEC_FUNCTION_033	SDI_BEH_EXEC_FUNCTION	Can you manage 3 complex projects without any mental crossover or error?	standard	3	


SDI_BEH_EXEC_FUNCTION_034	SDI_BEH_EXEC_FUNCTION	Do you spend more time "planning" than doing?	anchor	3	


SDI_BEH_EXEC_FUNCTION_035	SDI_BEH_EXEC_FUNCTION	Spend 20 mins just "deciding" what to study?	standard	3	


SDI_BEH_EXEC_FUNCTION_036	SDI_BEH_EXEC_FUNCTION	Is your study space ready for work in under 60 seconds?	standard	3	


SDI_BEH_EXEC_FUNCTION_037	SDI_BEH_EXEC_FUNCTION	Do you plan your whole week before Monday morning starts?	standard	3	


SDI_BEH_EXEC_FUNCTION_038	SDI_BEH_EXEC_FUNCTION	Do you focus on the topics worth the most marks first?	standard	3	


SDI_BEH_EXEC_FUNCTION_039	SDI_BEH_EXEC_FUNCTION	Do you wear "work headphones" to signal to your brain to focus?	standard	3	


SDI_BEH_EXEC_FUNCTION_040	SDI_BEH_EXEC_FUNCTION	Can you perform high-quality work in an unpredictable environment?	anchor	3	


SDI_BEH_EXEC_FUNCTION_041	SDI_BEH_EXEC_FUNCTION	Do you adjust your schedule if a task takes longer than expected?	standard	3	


SDI_BEH_EXEC_FUNCTION_042	SDI_BEH_EXEC_FUNCTION	Does a messy desk physically prevent you from thinking?	standard	3	


SDI_BEH_EXEC_FUNCTION_043	SDI_BEH_EXEC_FUNCTION	Do you predict potential "focus breaks" and block them before they happen?	standard	3	


SDI_BEH_EXEC_FUNCTION_044	SDI_BEH_EXEC_FUNCTION	Do you have a specific "ritual" that instantly triggers focus?	standard	3	


SDI_BEH_EXEC_FUNCTION_045	SDI_BEH_EXEC_FUNCTION	Do you actually study in a group, or just talk?	standard	3	


SDI_BEH_EXEC_FUNCTION_046	SDI_BEH_EXEC_FUNCTION	Do you do "small easy" things first to avoid "big" ones?	standard	3	


SDI_BEH_EXEC_FUNCTION_047	SDI_BEH_EXEC_FUNCTION	Do you intentionally "ignore" low-value tasks to save focus for high-value ones?	standard	3	


SDI_BEH_EXEC_FUNCTION_048	SDI_BEH_EXEC_FUNCTION	Do you jump between 3 subjects in one hour?	standard	3	


SDI_BEH_EXEC_FUNCTION_049	SDI_BEH_EXEC_FUNCTION	Do you have a "Focus Chair" where you only do hard work?	standard	3	


SDI_BEH_EXEC_FUNCTION_050	SDI_BEH_EXEC_FUNCTION	Do you draw "mind maps" to link new ideas together?	standard	3	


SDI_BEH_EXEC_FUNCTION_051	SDI_BEH_EXEC_FUNCTION	Do you clear your desk before you start studying?	standard	3	


SDI_BEH_EXEC_FUNCTION_052	SDI_BEH_EXEC_FUNCTION	Do you stop writing if the teacher speaks too fast?	standard	3	


SDI_BEH_EXEC_FUNCTION_053	SDI_BEH_EXEC_FUNCTION	Do you have 3+ half-finished chapters right now?	standard	3	


SDI_BEH_EXEC_FUNCTION_054	SDI_BEH_EXEC_FUNCTION	If a task is too big, do you feel paralyzed and do nothing?	standard	3	


SDI_BEH_EXEC_FUNCTION_055	SDI_BEH_EXEC_FUNCTION	Do you start a task without knowing what "finished" looks like?	standard	3	


SDI_BEH_EXEC_FUNCTION_056	SDI_BEH_EXEC_FUNCTION	Is your study time so regular it feels automatic?	standard	3	


SDI_BEH_EXEC_FUNCTION_057	SDI_BEH_EXEC_FUNCTION	Do you need everything "perfect" before you start?	standard	3	


SDI_BEH_EXEC_FUNCTION_058	SDI_BEH_EXEC_FUNCTION	If interrupted, do you lose the data you were "holding"?	standard	3	


SDI_BEH_EXEC_FUNCTION_059	SDI_BEH_EXEC_FUNCTION	Do you summarize notes in your own words instantly?	standard	3	


SDI_BEH_EXEC_FUNCTION_060	SDI_BEH_EXEC_FUNCTION	Does having 3 study options make you choose none?	standard	3	


SDI_BEH_EXERCISE_001	SDI_BEH_EXERCISE	Do you focus 2x better after a 10-min walk/run?	standard	3	


SDI_BEH_HABIT_001	SDI_BEH_HABIT	Do you notice you pick up your phone when the person you're with leaves?	standard	3	


SDI_BEH_HABIT_002	SDI_BEH_HABIT	Do you notice your mood is worse if you check your phone immediately?	standard	3	


SDI_BEH_HABIT_003	SDI_BEH_HABIT	How often do you unsubscribe from emails that clutter your focus?	standard	3	


SDI_BEH_HABIT_004	SDI_BEH_HABIT	Do you put your phone in another room at least 1 hour before you sleep?	standard	3	


SDI_BEH_HABIT_005	SDI_BEH_HABIT	Same level of peace whether battery is 1% or 100%?	standard	3	


SDI_BEH_HABIT_006	SDI_BEH_HABIT	Do you use your phone the entire time you are in a car or bus?	anchor	3	


SDI_BEH_HABIT_007	SDI_BEH_HABIT	Is the first thing you look for in a new room a power outlet for your phone?	standard	3	


SDI_BEH_HABIT_008	SDI_BEH_HABIT	Cycle through the same 3 apps repeatedly when bored?	standard	3	


SDI_BEH_HABIT_009	SDI_BEH_HABIT	Do you notice you pick up your phone just to feel the weight of it?	standard	3	


SDI_BEH_HABIT_010	SDI_BEH_HABIT	Heart rate low during 50 notifications?	standard	3	


SDI_BEH_HABIT_011	SDI_BEH_HABIT	Do you watch the sunrise/sunset with your eyes rather than through a camera?	standard	3	


SDI_BEH_HABIT_012	SDI_BEH_HABIT	Do you notice you can't look out the window in a car without a phone?	standard	3	


SDI_BEH_HABIT_013	SDI_BEH_HABIT	Can you wait for a bus or a friend without looking at your phone at all?	standard	3	


SDI_BEH_HABIT_014	SDI_BEH_HABIT	Spend more time "organizing" workspace than working?	standard	3	


SDI_BEH_HABIT_015	SDI_BEH_HABIT	Do you notice you tell yourself "5 more minutes" at least three times before bed?	standard	3	


SDI_BEH_HABIT_016	SDI_BEH_HABIT	Ride train 2h with no phone/book/music?	standard	3	


SDI_BEH_HABIT_017	SDI_BEH_HABIT	Do you take your phone with you to the bathroom every single time?	anchor	3	


SDI_BEH_HABIT_018	SDI_BEH_HABIT	How long can you wait after waking up before checking your first screen?	standard	3	


SDI_BEH_HABIT_019	SDI_BEH_HABIT	Is checking your phone the first thing you do before your eyes are fully open?	standard	3	


SDI_BEH_HABIT_020	SDI_BEH_HABIT	Do you get anxious if you can't find your phone charger immediately?	standard	3	


SDI_BEH_HABIT_021	SDI_BEH_HABIT	Do you check your phone immediately when a notification appears?	standard	3	


SDI_BEH_HABIT_022	SDI_BEH_HABIT	Do you notice your hand goes to your phone during a 30-sec elevator ride?	standard	3	


SDI_BEH_HABIT_023	SDI_BEH_HABIT	Do you use your phone while walking in a crowded street or school hall?	standard	3	


SDI_BEH_HABIT_024	SDI_BEH_HABIT	Do you pick up your phone just to hold it, even if you don't unlock it?	anchor	3	


SDI_BEH_HABIT_025	SDI_BEH_HABIT	Does "scrolling" feel physically unpleasant now?	standard	3	


SDI_BEH_HABIT_026	SDI_BEH_HABIT	Do you notice you can't taste your food if you are watching a screen?	standard	3	


SDI_BEH_HABIT_027	SDI_BEH_HABIT	Do you close one app and immediately open another without thinking?	standard	3	


SDI_BEH_HABIT_028	SDI_BEH_HABIT	Do you notice you check your pocket even when you know it's empty?	standard	3	


SDI_BEH_HABIT_029	SDI_BEH_HABIT	When your alarm for a task goes off, how quickly do you put down your device?	standard	3	


SDI_BEH_HABIT_030	SDI_BEH_HABIT	Can you shut down your device mid-activity without any "withdrawal" feeling?	standard	3	


SDI_BEH_HABIT_031	SDI_BEH_HABIT	Find yourself tapping phone screen for no reason?	standard	3	


SDI_BEH_HABIT_032	SDI_BEH_HABIT	Do you notice you can't focus if your phone is face-up on the desk?	standard	3	


SDI_BEH_HABIT_033	SDI_BEH_HABIT	Survive 3-day camp with zero electricity?	standard	3	


SDI_BEH_HABIT_034	SDI_BEH_HABIT	Do you feel zero "phantom vibrates" or reflexive pocket-touches all day?	standard	3	


SDI_BEH_HABIT_035	SDI_BEH_HABIT	Do you notice you touch your pocket every time you leave a room?	standard	3	


SDI_BEH_HABIT_036	SDI_BEH_HABIT	Do you close every tab that is not related to your current 30-minute task?	standard	3	


SDI_BEH_HABIT_037	SDI_BEH_HABIT	Can you spend the first 30 minutes of your day without touching any tech?	standard	3	


SDI_BEH_HABIT_038	SDI_BEH_HABIT	Leave phone in car overnight with no "miss"?	standard	3	


SDI_BEH_HABIT_039	SDI_BEH_HABIT	Do you have a hobby that is 100% physically impossible to do with a screen?	standard	3	


SDI_BEH_HABIT_040	SDI_BEH_HABIT	Do you feel it is "physically hard" to leave your phone in another room?	standard	3	


SDI_BEH_HABIT_041	SDI_BEH_HABIT	Do you type messages while walking up or down stairs?	standard	3	


SDI_BEH_HABIT_042	SDI_BEH_HABIT	Do you unlock your phone just to see what time it is, then forget?	standard	3	


SDI_BEH_HABIT_043	SDI_BEH_HABIT	Do you reach for your phone the moment you finish a difficult task?	standard	3	


SDI_BEH_HABIT_044	SDI_BEH_HABIT	Do you notice you stay in the bathroom 10 mins longer due to a phone?	standard	3	


SDI_BEH_HABIT_045	SDI_BEH_HABIT	Do you have a physical ritual (like stretching) to signal the end of tech use?	standard	3	


SDI_BEH_HABIT_046	SDI_BEH_HABIT	Do you sleep with your phone right next to your head or under the pillow?	standard	3	


SDI_BEH_HABIT_047	SDI_BEH_HABIT	Do you notice you spend 15 mins on your phone before starting a task?	standard	3	


SDI_BEH_HABIT_048	SDI_BEH_HABIT	Sit in doctor's waiting room 1h no tech?	standard	3	


SDI_BEH_HABIT_049	SDI_BEH_HABIT	Do you take 3 deep breaths every time you feel the urge to "app hop"?	standard	3	


SDI_BEH_HABIT_050	SDI_BEH_HABIT	Shut down device mid-activity with no withdrawal?	standard	3	


SDI_BEH_HABIT_051	SDI_BEH_HABIT	Do you find your hand in your pocket touching your phone without realizing?	standard	3	


SDI_BEH_HABIT_052	SDI_BEH_HABIT	Do you keep your phone in your pocket while walking through nature?	standard	3	


SDI_BEH_HABIT_053	SDI_BEH_HABIT	Do you set specific "windows" of time to check and reply to all messages?	standard	3	


SDI_BEH_HABIT_054	SDI_BEH_HABIT	Unlock your phone to see time, then forget it immediately?	standard	3	


SDI_BEH_HABIT_055	SDI_BEH_HABIT	Do you engage in physical sports or games for 2+ hours without tech?	standard	3	


SDI_BEH_HABIT_056	SDI_BEH_HABIT	Can you sit in a dark room for 20 minutes with only your thoughts?	standard	3	


SDI_BEH_HABIT_057	SDI_BEH_HABIT	Posture same using phone as in a chair?	standard	3	


SDI_BEH_HABIT_058	SDI_BEH_HABIT	Do you stay awake longer than planned because you are on your tablet?	standard	3	


SDI_BEH_HABIT_059	SDI_BEH_HABIT	Is checking your phone the very first thing you do when you wake up?	standard	3	


SDI_BEH_HABIT_060	SDI_BEH_HABIT	Do you have a strict "no screens" rule after a certain hour at night?	standard	3	


SDI_BEH_HABIT_061	SDI_BEH_HABIT	Is your sleep completely unaffected by any digital events or news?	standard	3	


SDI_BEH_HABIT_062	SDI_BEH_HABIT	Do you reach for your phone the moment you sit down to eat?	standard	3	


SDI_BEH_HABIT_063	SDI_BEH_HABIT	Do you leave your phone outside of your bedroom at night?	standard	3	


SDI_BEH_HABIT_064	SDI_BEH_HABIT	Do you reach for your phone during the 30-second "loading" of a video?	standard	3	


SDI_BEH_HABIT_065	SDI_BEH_HABIT	End digital session with more energy?	standard	3	


SDI_BEH_HABIT_066	SDI_BEH_HABIT	Do you notice your eyes burning but you still won't put the phone away?	standard	3	


SDI_BEH_HABIT_067	SDI_BEH_HABIT	Do you unlock your phone and then forget why you picked it up?	standard	3	


SDI_BEH_HABIT_068	SDI_BEH_HABIT	Check your phone immediately when a notification appears?	standard	3	


SDI_BEH_HABIT_069	SDI_BEH_HABIT	Do you notice when you are ignoring a real person to look at your screen?	standard	3	


SDI_BEH_HABIT_070	SDI_BEH_HABIT	Is your sleep unaffected by any digital events or news?	standard	3	


SDI_BEH_HABIT_071	SDI_BEH_HABIT	Do you find it hard to eat a meal without watching something on a screen?	standard	3	


SDI_BEH_HABIT_072	SDI_BEH_HABIT	Do you find it impossible to go to the restroom without your phone?	standard	3	


SDI_BEH_HABIT_073	SDI_BEH_HABIT	Do you find it hard to get out of bed because you are on your phone?	standard	3	


SDI_BEH_HABIT_074	SDI_BEH_HABIT	Wait for slow computer with zero internal frustration?	standard	3	


SDI_BEH_HABIT_075	SDI_BEH_HABIT	Do you enjoy your meals without any digital entertainment or distraction?	standard	3	


SDI_BEH_HABIT_076	SDI_BEH_HABIT	Do you unlock your phone just to look at the time, then check social media?	standard	3	


SDI_BEH_HABIT_077	SDI_BEH_HABIT	Can you wait for a file to download without opening a second tab?	standard	3	


SDI_BEH_HABIT_078	SDI_BEH_HABIT	If your phone is face-up on the desk, do you look at it every time it lights up?	standard	3	


SDI_BEH_HABIT_079	SDI_BEH_HABIT	Do you move your phone closer to you on the desk while you are working?	standard	3	


SDI_BEH_HABIT_080	SDI_BEH_HABIT	Do you feel "naked" or unsafe if your phone isn't in your pocket?	standard	3	


SDI_BEH_HABIT_081	SDI_BEH_HABIT	Can you finish one email before opening another one?	standard	3	


SDI_BEH_HABIT_082	SDI_BEH_HABIT	Do you feel zero "phantom vibrates" all day long?	standard	3	


SDI_BEH_HOMEOSTASIS_001	SDI_BEH_HOMEOSTASIS	Does being slightly hungry make you unable to focus on a book?	anchor	3	


SDI_BEH_HYDRATION_001	SDI_BEH_HYDRATION	Does a headache start after 30 mins of intense study?	standard	3	


SDI_BEH_INHIBITION_001	SDI_BEH_INHIBITION	Do you stop focusing as soon as you "slouch" or feel uncomfortable?	standard	3	


SDI_BEH_INHIBITION_002	SDI_BEH_INHIBITION	Can you use your phone for "only" 5 minutes if you plan to?	standard	3	


SDI_BEH_INHIBITION_003	SDI_BEH_INHIBITION	Is your phone screen time over 4 hours daily?	standard	3	


SDI_BEH_INHIBITION_004	SDI_BEH_INHIBITION	Put your phone in another room while studying?	standard	3	


SDI_BEH_INHIBITION_005	SDI_BEH_INHIBITION	Feel "forced" to talk to a friend during quiet time?	standard	3	


SDI_BEH_INHIBITION_006	SDI_BEH_INHIBITION	Can you leave your tablet in the living room while you go to sleep?	standard	3	


SDI_BEH_INHIBITION_007	SDI_BEH_INHIBITION	Feel "anxious" if you haven't checked alerts in 30 mins?	standard	3	


SDI_BEH_INHIBITION_008	SDI_BEH_INHIBITION	Can you stay in a silent room for 1 hour alone?	standard	3	


SDI_BEH_INHIBITION_009	SDI_BEH_INHIBITION	How many tabs/apps are open during homework?	standard	3	


