Assessment name	Stage	Anchor	Domain	Sub-Domain	Dimension	Focus Area	Layer (1-12)	Dimension	Question (Self-Assessment)	Response	A (1pt)	B (2pt)	C (3pt)	D (4pt)	E (5pt)	Polarity	Wt	Logic	Age Band	Stage 	Age
Short attention Span	Curiosity	No	Behavioral	Inhibition	Notify Mute	High-Impact Behavioral	3: Impulse	Notify Mute	Put your phone in another room while studying?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Anxiety	Result Anxiety	Emotional/Anxiety	11: Meta	Result Anxiety	Worry about marks even before starting the chapter?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Shifting	Mental Lock	Deep Cognitive Development	4: Recovery	Mental Lock	Brain "freeze" when you see a hard problem?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Pomodoro	High-Impact Behavioral	10: Exec	Pomodoro Use	Do you use a timer to track study intervals?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Subject Switch	High-Impact Behavioral	10: Exec	Subject Switch	Do you jump between 3 subjects in one hour?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Behavioral	Physiology	Afternoon Slump	High-Impact Behavioral	2: Physical	Afternoon Slump	Do you find it impossible to focus after lunch?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.1	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Emotional	Anxiety	Exam Silence	Emotional/Anxiety	11: Meta	Exam Silence	Does the silence of an exam hall make you nervous?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Sensory	Voice Quality	High-Impact Behavioral	5: Sensory	Voice Quality	Do you read out loud to stay focused?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.1	Linear (1-5)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Emotional	Anxiety	Guilt Cycle	Emotional/Anxiety	11: Meta	Guilt Cycle	Spend your "break" feeling guilty for not studying?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Precision	Note Quality	High-Impact Behavioral	8: Precision	Note Quality	Are your notes disorganized or missing key parts?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Inhibition	Rabbit Hole	High-Impact Behavioral	3: Impulse	Rabbit Hole	Does a "quick search" turn into 1 hour of browsing?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Diagnostic	Motivation	Comp. Focus	Hyper-focus Paradox	11: Meta	Comp. Focus	Do you focus better if it's a competition/game?	Yes / No	No	-	-	-	Yes	(+)	1.2	Yes=5, No=1	11-14	Curiosity	B
Short attention Span	Curiosity	No	Behavioral	Physiology	Handwriting	High-Impact Behavioral	2: Physical	Handwriting	Does your handwriting get messier as you continue?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Behavioral	Exec Function	Desk Rituals	High-Impact Behavioral	10: Exec	Desk Rituals	Do you need everything "perfect" before you start?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Anxiety	Teacher Rapport	Emotional/Anxiety	11: Meta	Teacher Rapport	If you don't like the teacher, do you stop focusing?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Processing	Abstract Think	Deep Cognitive Development	9: Synthesis	Abstract Think	Struggle to focus on things you can't "see"?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	Yes	Behavioral	Exec Function	Planning	High-Impact Behavioral	10: Exec	Planning/Doing	Do you spend more time "planning" than doing?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Environment	Headphones	High-Impact Behavioral	5: Sensory	Headphone Use	Feel "shielded" from the world with headphones?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.1	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Metacog	Mindful Aware	Deep Cognitive Development	12: Core	Mindful Aware	Catch yourself the moment your mind wanders?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Processing	Complex Inst.	Deep Cognitive Development	9: Synthesis	Complex Inst.	Do you get confused by multi-part exam questions?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Diagnostic	Motivation	Reward Dep.	Hyper-focus Paradox	11: Meta	Reward Dep.	Only focus if there is a reward (game/food)?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	Yes	Cognitive Development	Metacog	Self-Knowledge	Deep Cognitive Development	12: Core	Self-Knowledge	I know exactly what distracts me most.	Agree to Disagree	Disagree	Inclined	Neutral	Disinclined	Agree	(+)	1.5	Linear (1-5)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Initiation	High-Impact Behavioral	10: Exec	Task Initiation	Hard to start a task even when you know it's easy?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Exec Function	Flexibility	Emotional/Anxiety	10: Exec	Cog. Flexibility	Upset if your study plan changes unexpectedly?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Processing	Info Filter	Deep Cognitive Development	9: Synthesis	Info Filter	Struggle to find the "Main Idea" in a long text?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Inhibition	App Loop	High-Impact Behavioral	3: Impulse	App Loop	Do you open apps without even thinking why?	Daily to Never	Daily	Often	Sometimes	Rarely	Never	(-)	1.6	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Self-Concept	Perfectionism	Emotional/Anxiety	12: Core	Perfectionism	Restart a whole page if you make one small mistake?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Endurance	Saturation	Deep Cognitive Development	1: Duration	Mental Saturation	Feel "full" and unable to learn more after 2 hours?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Memory	Working Memory	Deep Cognitive Development	7: Memory	Working Memory	Forget start of a sentence before reaching the end?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Environment	Env. Anchor	High-Impact Behavioral	5: Sensory	Env. Anchor	Have a "favorite spot" where you focus 2x better?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Recovery	Processing Speed	Deep Cognitive Development	4: Recovery	Processing Speed	Feel others "get the concept" faster than you?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Inhibition	Impulse	High-Impact Behavioral	3: Impulse	Impulse Inhibition	Shout out answers before teacher finishes question?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Shifting	Context Switch	Deep Cognitive Development	4: Recovery	Context Switch	Take 10+ minutes to "settle in" to a new subject?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Anxiety	Emotional Reg.	Emotional/Anxiety	11: Meta	Emotional Reg.	Does a small bad mood ruin your entire study day?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.5	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Environment	Visual Dist.	High-Impact Behavioral	5: Sensory	Visual Distraction	People walking past make you lose your thought?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
Short attention Span	Curiosity	No	Cognitive Development	Endurance	Reading Stamina	Deep Cognitive Development	1: Duration	Reading Stamina	Can you read 10 pages of non-fiction in one go?	Yes / No	No	-	-	-	Yes	(+)	1.6	Yes=5, No=1	15-18	Curiosity	C
Short attention Span	Curiosity	No	Emotional	Self-Concept	Feedback Sens.	Emotional/Anxiety	12: Core	Feedback Sens.	Stop working if someone criticizes your progress?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Physiology	Refresh	High-Impact Behavioral	2: Physical	Mental Refresh	Feel more focused after a 5-minute walk/stretch?	Yes / No	No	-	-	-	Yes	(+)	1.2	Yes=5, No=1	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Processing	Concept Link	Deep Cognitive Development	9: Synthesis	Concept Linkage	Relate today’s lesson to last week’s easily?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.4	Linear (1-5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Exec Function	Decision Fatigue	Deep Cognitive Development	10: Exec	Decision Fatigue	Give up on hard problems at the end of the day?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Behavioral	Physiology	Physical Health	High-Impact Behavioral	2: Physical	Physical Health	Do you focus better on days you played sports?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Metacog	Meta-Awareness	Deep Cognitive Development	12: Core	Meta-Awareness	Ability to "watch" your thoughts during a test.	1-10 Scale	1-2	3-4	5-6	7-8	9-10	(+)	1.7	Scale/2 (Max 5)	15-18	Curiosity	C
Short attention Span	Curiosity	No	Cognitive Development	Sensory	A/V Sync	Deep Cognitive Development	5: Sensory	A/V Sync	Need to see a speaker’s face to understand them?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Behavioral	Exec Function	Procrastination	High-Impact Behavioral	10: Exec	Procrastination	Clean room just to avoid starting an essay?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Memory	Retrieval	Deep Cognitive Development	7: Memory	Retrieval Recall	Often have the "word on the tip of my tongue"?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
Short attention Span	Curiosity	No	Cognitive Development	Exec Function	Breakdown	Deep Cognitive Development	10: Exec	Goal Breakdown	Can you turn a "Big Project" into 5 small tasks?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.5	Linear (1-5)	15-18	Curiosity	C
