archetype_key,archetype_name,voice,problem_statement,realism_pass,aligned,is_duplicate
learning_comprehension,Learning & Comprehension,student,I read something three times and still can't explain it back.,true,true,false
learning_comprehension,Learning & Comprehension,student,I study for hours but none of it seems to stick.,true,true,false
learning_comprehension,Learning & Comprehension,general,New concepts take me far longer to understand than everyone else.,true,true,false
learning_comprehension,Learning & Comprehension,student,I take notes in class but they make no sense to me later.,true,true,false
motivation_drive,Motivation & Drive,general,I can't find the energy to start anything lately.,true,true,false
motivation_drive,Motivation & Drive,general,I used to care about my goals and now I just feel flat.,true,true,false
motivation_drive,Motivation & Drive,general,I know what I should do but I have no drive to do it.,true,true,false
motivation_drive,Motivation & Drive,general,I lose interest in things halfway through.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,general,I never ask for what I deserve because I hate confrontation.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,professional,I can't bring myself to negotiate my salary.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,general,I let people walk over me instead of standing up for myself.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,general,I avoid conflict even when something really matters to me.,true,true,false
networking_relationships,Networking & Relationship Building,professional,I hate networking and avoid it completely.,true,true,false
networking_relationships,Networking & Relationship Building,professional,I don't know how to build professional connections.,true,true,false
networking_relationships,Networking & Relationship Building,professional,I never follow up with people I meet.,true,true,false
networking_relationships,Networking & Relationship Building,professional,I could use a mentor but I have no idea how to find one.,true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,student,"I blank out the moment an exam starts, even when I studied hard.",true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,general,My heart races and my mind goes empty right before I have to present.,true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,professional,I freeze up in interviews and forget everything I wanted to say.,true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,student,The night before a big test I can't sleep because I'm so worried about messing up.,true,true,false
resilience_recovery,Resilience & Failure Recovery,general,One failure knocks me down and I can't seem to get back up.,true,true,false
resilience_recovery,Resilience & Failure Recovery,general,When I get rejected I want to give up entirely.,true,true,false
resilience_recovery,Resilience & Failure Recovery,general,Setbacks hit me so hard I struggle to try again.,true,true,false
resilience_recovery,Resilience & Failure Recovery,general,I take mistakes so personally that I stop trying.,true,false,false
social_connection_belonging,Social Connection & Belonging,general,I find it really hard to make friends.,true,true,false
social_connection_belonging,Social Connection & Belonging,general,I always feel like I'm on the outside looking in.,true,true,false
social_connection_belonging,Social Connection & Belonging,general,I feel lonely even when I'm surrounded by people.,true,true,false
social_connection_belonging,Social Connection & Belonging,general,I want to connect with people but I don't know how.,true,true,false
time_self_discipline,Time Management & Self-Discipline,general,I put everything off until the last minute and then panic.,true,true,false
time_self_discipline,Time Management & Self-Discipline,general,I keep missing deadlines even when I have plenty of time.,true,true,false
time_self_discipline,Time Management & Self-Discipline,general,I make a plan every week and never stick to it.,true,true,false
time_self_discipline,Time Management & Self-Discipline,general,I waste hours and then wonder where the day went.,true,true,false
