archetype_key,archetype_name,stakeholder,narrative,realism_pass,aligned,is_duplicate
leadership_influence,Leadership & Influence,parent,My child has great ideas but holds back from taking charge.,true,true,false
leadership_influence,Leadership & Influence,teacher,This student could lead the class but shrinks from the responsibility.,true,true,false
leadership_influence,Leadership & Influence,counselor,The person wants to guide others but doubts anyone will listen.,true,true,false
leadership_influence,Leadership & Influence,professional,I got promoted to lead a team and I'm struggling to step into the role.,true,true,false
learning_comprehension,Learning & Comprehension,student,I sit down to learn and the words just don't go in.,true,true,false
learning_comprehension,Learning & Comprehension,parent,My child spends ages studying but still can't recall it the next day.,true,true,false
learning_comprehension,Learning & Comprehension,teacher,This student tries hard but struggles to grasp new ideas the first time.,true,true,false
learning_comprehension,Learning & Comprehension,counselor,The student says they understand in the moment but forget everything soon after.,true,true,false
learning_comprehension,Learning & Comprehension,professional,I find it hard to pick up new tools and processes at work.,true,false,false
motivation_drive,Motivation & Drive,student,I just can't make myself care about schoolwork anymore.,true,true,false
motivation_drive,Motivation & Drive,parent,My child seems to have lost all motivation for things they used to love.,true,true,false
motivation_drive,Motivation & Drive,teacher,This student does the bare minimum and shows little interest.,true,true,false
motivation_drive,Motivation & Drive,counselor,"The person feels stuck, with no energy to pursue anything.",true,true,false
motivation_drive,Motivation & Drive,professional,I drag myself through the workday with zero drive.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,student,I never speak up when something's unfair because I don't want to argue.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,parent,My child won't stand up for themselves when they should.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,teacher,This student backs down instantly rather than make their case.,true,false,false
negotiation_advocacy,Negotiation & Advocacy,counselor,The person struggles to assert their needs or set boundaries.,true,true,false
negotiation_advocacy,Negotiation & Advocacy,professional,I dread negotiating and end up accepting whatever I'm offered.,true,true,false
networking_relationships,Networking & Relationship Building,student,I don't know how to reach out to people who could help my career.,true,true,false
networking_relationships,Networking & Relationship Building,parent,My child has no network to lean on as they start out.,true,true,false
networking_relationships,Networking & Relationship Building,teacher,This student would benefit from mentors but doesn't seek them.,true,true,false
networking_relationships,Networking & Relationship Building,counselor,The person struggles to build the relationships that could open doors.,true,true,false
networking_relationships,Networking & Relationship Building,professional,I'm bad at staying in touch with useful contacts at work.,true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,student,"Whenever there's a test coming up, I feel sick to my stomach and can't focus.",true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,parent,My child knows the material at home but falls apart the moment they sit the exam.,true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,teacher,"This student goes quiet and tense during tests, even on topics they clearly understand.",true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,counselor,The student describes their mind going blank and their hands shaking before any high-stakes moment.,true,true,false
performance_anxiety,Performance Anxiety & Pressure Response,professional,"I'm good at my job day to day, but I crumble under pressure in reviews and big meetings.",true,true,false
resilience_recovery,Resilience & Failure Recovery,student,One bad grade and I feel like giving up on the whole subject.,true,true,false
resilience_recovery,Resilience & Failure Recovery,parent,My child falls apart after any setback and won't try again.,true,true,false
resilience_recovery,Resilience & Failure Recovery,teacher,This student gives up the moment something goes wrong.,true,false,false
resilience_recovery,Resilience & Failure Recovery,counselor,The person struggles to recover after failure or rejection.,true,true,false
resilience_recovery,Resilience & Failure Recovery,professional,A single rejection at work can derail me for weeks.,true,true,false
social_connection_belonging,Social Connection & Belonging,student,I eat lunch alone because I don't fit in with anyone.,true,true,false
social_connection_belonging,Social Connection & Belonging,parent,My child seems lonely and struggles to make friends.,true,true,false
social_connection_belonging,Social Connection & Belonging,teacher,This student keeps to themselves and stays on the edge of the group.,true,false,false
social_connection_belonging,Social Connection & Belonging,counselor,The person feels isolated and like they don't belong anywhere.,true,true,false
social_connection_belonging,Social Connection & Belonging,professional,I feel like an outsider at work and haven't connected with anyone.,true,true,false
time_self_discipline,Time Management & Self-Discipline,student,I always start my assignments the night before they're due.,true,true,false
time_self_discipline,Time Management & Self-Discipline,parent,My child leaves everything to the last minute and then stresses out.,true,true,false
time_self_discipline,Time Management & Self-Discipline,teacher,This student hands work in late even when they had weeks to do it.,true,true,false
time_self_discipline,Time Management & Self-Discipline,counselor,The person keeps setting routines and abandoning them within days.,true,true,false
time_self_discipline,Time Management & Self-Discipline,professional,I miss deadlines at work because I can't stop procrastinating.,true,true,false
