concern_id,concern_name,canonical_type,match_tokens
CONCERN_ACA_406,Handle Multiple Interview Processes Simultaneously,Capability,handle multiple interview processes simultaneously handle multiple interview processes simultaneously multi-interview overload display label capability handle multiple interview processes simultaneously whose concern category deficit-state multi-interview overload topical overlap 25
CONCERN_ACA_471,Age-Based Hiring Competition,Problem,age-based hiring competition
CONCERN_ACA_844,Transitioning to C-Suite Readiness,Outcome,transitioning c-suite readiness
CONCERN_ACA_964,Position Prior Experience Strategically,Problem,position prior experience strategically
CONCERN_ADA_1326,Visibility into Internship Readiness Across Students,Outcome,visibility internship readiness across
CONCERN_ADA_1339,Placement Preparation Effectiveness Institutionally,Capability,placement preparation effectiveness institutionally placement preparation effectiveness institutionally placement preparation blindness display label capability placement preparation effectiveness institutionally whose concern category deficit-state placement preparation blindness topical overlap 67
CONCERN_ADA_1544,articulating strengths confidently,Problem,articulating strengths confidently
CONCERN_ADJ_156,Identify Personal Preparation Gaps,Problem,identify personal preparation gaps
CONCERN_ADJ_1784,Device Dependency During Meals,Trait,device dependency meals
CONCERN_ADJ_1788,Child Becoming Aggressively Reactive,Problem,child becoming aggressively reactive
CONCERN_ADJ_1816,Grief & Loss Adjustment,Outcome,grief loss adjustment
CONCERN_ADJ_1817,Excessive Perfectionism,Trait,excessive perfectionism
CONCERN_ADJ_1894,Child Becoming Emotionally Avoidant,Problem,child becoming emotionally avoidant
CONCERN_ADJ_1895,Child Struggling to Build Habits,Problem,child habits
CONCERN_ADJ_1919,Child Feeling Emotionally Unsupported,Problem,child feeling emotionally unsupported
CONCERN_ADJ_1920,Child Becoming Too Influenced by Viral Trends,Problem,child becoming too influenced viral trends
CONCERN_ADJ_2114,Adaptation to Competency-Based Education,Capability,adaptation competency-based education adaptation competency-based education competency adaptation deficit display label capability adaptation competency-based education whose concern category deficit-state competency adaptation deficit topical overlap 50
CONCERN_ADJ_2368,Students Struggling to Adjust Socially,Problem,adjust socially
CONCERN_ADJ_484,Virtual Interviews,Problem,virtual interviews
CONCERN_ALT_1386,internship and exposure opportunities,Problem,internship exposure opportunities
CONCERN_BAL_1645,structured self-review mechanisms,Problem,structured self-review mechanisms
CONCERN_CAR_101,Sustaining Long-Term Competitive Preparation,Problem,sustaining long-term competitive preparation
CONCERN_CAR_11,Adjusting to Hostel Life,Problem,adjusting hostel life
CONCERN_CAR_1306,Holistic Visibility into Student Success Ecosystems,Outcome,holistic visibility success ecosystems
CONCERN_CAR_1387,Students unaware of global education pathways,Problem,unaware global education pathways
CONCERN_CAR_1389,aptitude-career alignment,Problem,aptitude-career alignment
CONCERN_CAR_1395,Students unable to identify strengths and interests,Problem,unable identify strengths interests
CONCERN_CAR_1559,identifying personal strengths,Capability,identifying personal strengths identifying personal strengths strength blindness display label capability identifying personal strengths whose concern category deficit-state strength blindness topical overlap 00
CONCERN_CAR_1563,Confusion between passion and hobby,Problem,confusion between passion hobby
CONCERN_CAR_1565,Feeling pressured to pursue conventional careers,Problem,feeling pressured pursue conventional careers
CONCERN_CAR_223,Exploring Careers Independently,Problem,exploring careers independently
CONCERN_CAR_230,Choosing Between Multiple Interests,Problem,choosing between multiple interests
CONCERN_CAR_362,Placement Interviews,Problem,placement interviews
CONCERN_CAR_464,Resume Positioning for Competitive Roles,Problem,resume positioning competitive roles
CONCERN_CAR_465,Transitioning Into New Industries,Problem,transitioning new industries
CONCERN_CAR_477,Explaining Lack of Recent Experience,Problem,explaining recent experience
CONCERN_CAR_518,Reapplying After Previous Rejections,Problem,reapplying previous rejections
CONCERN_CAR_617,Continuous Performance Comparisons,Problem,continuous performance comparisons
CONCERN_CAR_68,Aptitude Test Performance,Problem,aptitude test performance
CONCERN_CAR_82,Research Orientation for Higher Education,Problem,research orientation higher education
CONCERN_CAR_939,Enterprise Culture During Rapid Scaling,Problem,enterprise culture rapid scaling
CONCERN_CAR_974,Acquiring New Technical Competencies,Problem,acquiring new technical competencies
CONCERN_CLA_1669,Working in Teams,Problem,working teams
CONCERN_CLA_1677,Organizational Skills,Capability,organizational
CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,Capability,foundational
CONCERN_CLA_2212,Handling Students with Weak Answer Elaboration Skills,Capability,answer elaboration answer elaboration answer elaboration display label capability answer elaboration whose concern category deficit-state answer elaboration topical overlap 00
CONCERN_COM_1176,Build Holistic Student Profiles Institutionally,Capability,holistic profiles institutionally holistic profiles institutionally holistic visibility deficit display label capability holistic profiles institutionally whose concern category deficit-state holistic visibility deficit topical overlap 33
CONCERN_COM_1226,Visibility into Institutional Ethical and Value Development,Capability,visibility institutional ethical value development visibility institutional ethical value development ethics visibility deficit display label capability visibility institutional ethical value development whose concern category deficit-state ethics visibility deficit topical overlap 20
CONCERN_COM_1266,Visibility into Student Cognitive Load During Instruction,Capability,visibility cognitive load instruction visibility cognitive load instruction cognitive load blindness display label capability visibility cognitive load instruction whose concern category deficit-state cognitive load blindness topical overlap 50
CONCERN_COM_1311,Tracking Institutional Effectiveness of Student Interventions,Capability,tracking institutional effectiveness interventions tracking institutional effectiveness interventions intervention outcome blindness display label capability tracking institutional effectiveness interventions whose concern category deficit-state intervention outcome blindness topical overlap 00
CONCERN_COM_1456,Inconsistent behavior across environments,Problem,inconsistent behavior across environments
CONCERN_COM_1786,Conversational Skills,Capability,conversational conversational conversational display label capability conversational whose concern category deficit-state conversational topical overlap 00
CONCERN_COM_1787,Child Becoming Too Introverted,Problem,child becoming too introverted
CONCERN_COM_1865,Child Constantly Daydreaming,Problem,child constantly daydreaming
CONCERN_COM_1927,Child Showing Signs of Chronic Mental Fatigue,Outcome,child showing signs chronic mental fatigue
CONCERN_COM_2027,Balancing Speed and Accuracy,Capability,balancing speed accuracy balancing speed accuracy speed-accuracy imbalance display label capability balancing speed accuracy whose concern category deficit-state speed-accuracy imbalance topical overlap 67
CONCERN_COM_2047,Adapting to Different Teaching Styles,Capability,adapting different teaching styles adapting different teaching styles teaching adaptation display label capability adapting different teaching styles whose concern category deficit-state teaching adaptation topical overlap 25
CONCERN_COM_2066,Accuracy in Multi-Step Calculations,Problem,accuracy multi-step calculations
CONCERN_COM_2151,Holistic Student Development,Problem,holistic development
CONCERN_COM_2183,Helping Students Interpret Questions Correctly,Problem,helping interpret questions correctly
CONCERN_COM_2239,Students with Frequent Careless Mistakes,Problem,frequent careless mistakes
CONCERN_COM_2299,Students with Weak Self-Correction During Assessments,Problem,self-correction assessments
CONCERN_COM_2335,Child Losing Balance Between Performance and Wellbeing,Problem,child losing balance between performance wellbeing
CONCERN_COM_2485,Following Multi-Teacher Instructions,Problem,following multi-teacher instructions
CONCERN_COM_293,Perfectionism During Skill Building,Trait,perfectionism
CONCERN_COM_296,Build Cross-Functional Competencies,Capability,cross-functional competencies cross-functional competencies cross-functional display label capability cross-functional competencies whose concern category deficit-state cross-functional topical overlap 67
CONCERN_COM_370,Technical Assessments,Problem,technical assessments
CONCERN_COM_43,Multiple Skill Certifications,Capability,multiple certifications multiple certifications certification overload display label capability multiple certifications whose concern category deficit-state certification overload topical overlap 00
CONCERN_COM_495,Hope During Long Unemployment,Problem,hope long unemployment
CONCERN_COM_541,Employment Instability Emotionally,Problem,employment instability emotionally
CONCERN_COM_8,Internship Readiness,Outcome,internship readiness
CONCERN_COM_968,Build Credibility in a New Domain,Capability,credibility new domain credibility new domain new domain credibility display label capability credibility new domain whose concern category deficit-state new domain credibility topical overlap 00
CONCERN_COM_982,Translate Legacy Experience into Future Relevance,Problem,translate legacy experience future relevance
CONCERN_CON_1026,Entering Fast-Paced Startup Ecosystems,Problem,entering fast-paced startup ecosystems
CONCERN_CON_1295,Coordinating Multi-Layer Student Interventions,Problem,coordinating multi-layer interventions
CONCERN_CON_148,Handle Exam-Day Surprises Calmly,Capability,handle exam-day surprises calmly
CONCERN_CON_1693,Feedback from Teachers,Problem,feedback teachers
CONCERN_CON_1777,Constant Need for Entertainment,Problem,constant need entertainment
CONCERN_CON_1791,Over-Scheduling & Lack of Rest,Problem,over-scheduling rest
CONCERN_CON_1807,Child Becoming Manipulative,Problem,child becoming manipulative
CONCERN_CON_1812,Learned Helplessness,Problem,learned helplessness
CONCERN_CON_1819,Child Becoming Emotionally Numb,Problem,child becoming emotionally numb
CONCERN_CON_1843,Excessive Self-Criticism,Problem,excessive self-criticism
CONCERN_CON_1854,Child Becoming Cynical Early,Problem,child becoming cynical early
CONCERN_CON_1867,Child Becoming Emotionally Detached from Grandparents,Problem,child becoming emotionally detached grandparents
CONCERN_CON_1872,Child Feeling Inferior to High Performers,Problem,child feeling inferior high performers
CONCERN_CON_1873,Child Developing Victim Mindset,Capability,child victim mindset child victim mindset victim mentality display label capability child victim mindset whose concern category deficit-state victim mentality topical overlap 33
CONCERN_CON_1877,Child Becoming Overly Competitive with Siblings,Problem,child becoming overly competitive siblings
CONCERN_CON_1884,Child Becoming Addicted to Short Video Platforms,Problem,child becoming addicted short video platforms
CONCERN_CON_1918,Child Losing Trust in Parents,Problem,child losing trust parents
CONCERN_CON_1997,Following Multi-Teacher Instructions,Problem,following multi-teacher instructions
CONCERN_CON_2039,Interdisciplinary Questions,Problem,interdisciplinary questions
CONCERN_CON_2133,Supporting Slow Learners Without Demotivating Them,Problem,slow learners without demotivating
CONCERN_CON_2247,Supporting Students During Intensive Board Preparation,Problem,intensive board preparation
CONCERN_CON_261,Identifying Core Skill Gaps,Problem,identifying core gaps
CONCERN_CON_359,Sustaining Self-Driven Competency Improvement,Capability,sustaining self-driven competency improvement sustaining self-driven competency improvement self-driven improvement display label capability sustaining self-driven competency improvement whose concern category deficit-state self-driven improvement topical overlap 60
CONCERN_CON_492,Build a Strong LinkedIn Presence,Capability,strong linkedin presence strong linkedin presence linkedin positioning display label capability strong linkedin presence whose concern category deficit-state linkedin positioning topical overlap 33
CONCERN_CON_544,Build Interview Readiness Consistently,Outcome,interview readiness consistently
CONCERN_CON_76,Real-World Exposure Before Placements,Problem,real-world exposure placements
CONCERN_CON_888,Build Long-Term Organizational Capability,Capability,long-term organizational capability long-term organizational capability capability display label capability long-term organizational capability whose concern category deficit-state capability topical overlap 00
CONCERN_DEC_1562,alignment between interests and chosen stream,Problem,alignment between interests chosen stream
CONCERN_DIG_1434,transitioning into adulthood responsibilities,Problem,transitioning adulthood responsibilities
CONCERN_DIS_1750,Eating Habits,Problem,eating habits
CONCERN_DIS_1762,Tuition Dependency,Trait,tuition dependency
CONCERN_DIS_178,Subject-Wise Strengths,Problem,subject-wise strengths
CONCERN_DIS_1994,Information Processing Speed,Problem,information processing speed
CONCERN_DIS_1996,Oral Responses,Problem,oral responses
CONCERN_DIS_2011,Revising Without Guidance,Problem,revising without guidance
CONCERN_DIS_2329,Child Becoming Emotionally Reactive During Feedback,Problem,child becoming emotionally reactive feedback
CONCERN_DIS_2482,Information Processing Speed,Problem,information processing speed
CONCERN_DIS_2484,Oral Responses,Problem,oral responses
CONCERN_DIS_48,Technical Interviews,Problem,technical interviews
CONCERN_EMO_1169,Aligning Teaching Practices Across Faculty,Problem,aligning teaching practices across faculty
CONCERN_EMO_1213,Identifying Institutional Skill Readiness Gaps,Outcome,identifying institutional readiness gaps
CONCERN_EMO_1219,Aligning Institutional Assessments with Real Competencies,Problem,aligning institutional assessments real competencies
CONCERN_EMO_1290,Identify High-Risk Students for Timely Intervention,Risk,identify high-risk timely intervention
CONCERN_EMO_1328,Monitor Student Resume and Profile Quality,Capability,monitor resume profile quality monitor resume profile quality resume quality blindness display label capability monitor resume profile quality whose concern category deficit-state resume quality blindness topical overlap 67
CONCERN_EMO_1341,Student Readiness for Entrepreneurial Careers,Outcome,readiness entrepreneurial careers
CONCERN_EMO_1472,initiative-taking behavior,Problem,initiative-taking behavior
CONCERN_EMO_1506,identifying natural talents,Capability,identifying natural talents identifying natural talents talent underrecognition display label capability identifying natural talents whose concern category deficit-state talent underrecognition topical overlap 00
CONCERN_EMO_298,Self-Correct During Practice,Problem,self-correct practice
CONCERN_EMO_345,Healthy Lifestyle During Skill Acceleration,Capability,healthy lifestyle acceleration healthy lifestyle acceleration acceleration lifestyle imbalance display label capability healthy lifestyle acceleration whose concern category deficit-state acceleration lifestyle imbalance topical overlap 50
CONCERN_EMO_394,Practical Exposure Before Entering Workforce,Problem,practical exposure entering workforce
CONCERN_EMO_444,Transitioning from Internship to Full-Time Roles,Problem,transitioning internship full-time roles
CONCERN_EMO_482,Position Transferable Skills,Capability,position transferable position transferable transferable positioning display label capability position transferable whose concern category deficit-state transferable positioning topical overlap 33
CONCERN_EMO_494,Demonstrate Impact-Oriented Experience,Problem,demonstrate impact-oriented experience
CONCERN_EMO_550,Build Credibility in New Domains Quickly,Capability,credibility new domains quickly credibility new domains quickly new domain credibility display label capability credibility new domains quickly whose concern category deficit-state new domain credibility topical overlap 25
CONCERN_EMO_676,Participating During Meetings,Problem,participating meetings
CONCERN_EMO_724,Contributing During Brainstorming Sessions,Problem,contributing brainstorming sessions
CONCERN_EMO_796,Build Cross-Functional Alignment at Scale,Capability,cross-functional alignment scale cross-functional alignment scale cross-functional alignment display label capability cross-functional alignment scale whose concern category deficit-state cross-functional alignment topical overlap 75
CONCERN_EMO_966,Competing with Experienced Domain Professionals,Problem,competing experienced domain professionals
CONCERN_EMP_1004,Repositioning Personal Brand Across Industries,Problem,repositioning personal brand across industries
CONCERN_EMP_1173,Student Cognitive Overload,Problem,cognitive overload
CONCERN_EMP_1334,Visibility into Industry-Specific Skill Readiness,Outcome,visibility industry-specific readiness
CONCERN_EMP_255,Choosing Between Higher Studies and Employment,Problem,choosing between higher studies employment
CONCERN_EMP_29,Financial Independence in College,Problem,financial independence college
CONCERN_EMP_364,Resume and Profile Positioning,Problem,resume profile positioning
CONCERN_EMP_45,Constructive Feedback Professionally,Problem,constructive feedback professionally
CONCERN_EXA_139,Sustaining Physical Health During Preparation,Problem,sustaining physical health preparation
CONCERN_EXA_1702,Grammar and Language Accuracy,Problem,grammar language accuracy
CONCERN_EXA_1732,Screen Addiction,Problem,screen addiction
CONCERN_EXA_1829,Child Becoming Detached from Reality,Problem,child becoming detached reality
CONCERN_EXA_1856,Gratitude,Problem,gratitude
CONCERN_EXA_186,Prioritize Health Alongside Preparation,Capability,prioritize health alongside preparation prioritize health alongside preparation health neglect preparation display label capability prioritize health alongside preparation whose concern category deficit-state health neglect preparation topical overlap 50
CONCERN_EXA_1871,Child Avoiding Competitive Environments,Problem,child avoiding competitive environments
CONCERN_EXA_1892,Child Showing Signs of Hopelessness,Problem,child showing signs hopelessness
CONCERN_EXA_1893,Child Feeling Emotionally Unsafe at School,Problem,child feeling emotionally unsafe school
CONCERN_EXA_1908,Child Constantly Comparing Lifestyle with Others,Problem,child constantly comparing lifestyle others
CONCERN_EXA_1916,Child Becoming Emotionally Aggressive Online,Problem,child becoming emotionally aggressive online
CONCERN_EXA_1988,Fast-Paced Teaching,Problem,fast-paced teaching
CONCERN_EXA_199,Sustaining Hope During Long Competitive Journeys,Problem,sustaining hope long competitive journeys
CONCERN_EXA_2012,Pattern Recognition Skills,Capability,pattern recognition pattern recognition pattern recognition display label capability pattern recognition whose concern category deficit-state pattern recognition topical overlap 00
CONCERN_EXA_2018,Self-Correction Ability,Problem,self-correction
CONCERN_EXA_2054,Error Detection Skills,Capability,error detection error detection error detection deficit display label capability error detection whose concern category deficit-state error detection deficit topical overlap 00
CONCERN_EXA_2088,Performance Tracking Habits,Problem,performance tracking habits
CONCERN_EXA_2173,Supporting Students with Weak Practical Application Skills,Capability,practical application practical application practical competency display label capability practical application whose concern category deficit-state practical competency topical overlap 25
CONCERN_EXA_2195,Helping Students Handle Time-Bound Assessments,Problem,helping handle time-bound assessments
CONCERN_EXA_2209,Improving Student Accuracy in Calculations,Capability,accuracy calculations accuracy calculations calculation accuracy deficit display label capability accuracy calculations whose concern category deficit-state calculation accuracy deficit topical overlap 33
CONCERN_EXA_2238,Supporting Students with Weak Long-Answer Structuring Skills,Capability,long-answer structuring long-answer structuring long-answer structuring deficit display label capability long-answer structuring whose concern category deficit-state long-answer structuring deficit topical overlap 67
CONCERN_EXA_2476,Fast-Paced Teaching,Problem,fast-paced teaching
CONCERN_EXA_371,Internship Workloads,Problem,internship workloads
CONCERN_EXE_1482,teams during projects,Problem,teams projects
CONCERN_FOU_1711,Diagrammatic Representation Skills,Capability,diagrammatic representation
CONCERN_FOU_2179,Encouraging Students to Think Independently,Problem,encouraging think independently
CONCERN_FUT_1402,Students lacking portfolio and profile development,Problem,portfolio profile development
CONCERN_FUT_1424,criticism and feedback,Problem,criticism feedback
CONCERN_FUT_1556,No structured roadmap for continuous self-growth,Problem,structured roadmap continuous self-growth
CONCERN_GOA_1628,sustain self-improvement routines,Problem,sustain self-improvement routines
CONCERN_GRO_1529,Confusion about long-term personal trajectory,Problem,confusion long-term personal trajectory
CONCERN_GRO_1539,Overestimating abilities without evidence,Problem,overestimating without evidence
CONCERN_GRO_1606,track personal improvement trends,Problem,track personal improvement trends
CONCERN_GRO_1619,Overestimating personal performance,Problem,overestimating personal performance
CONCERN_GRO_1644,Overfocus on weaknesses ignoring strengths,Problem,overfocus weaknesses ignoring strengths
CONCERN_HEL_2305,Response to Corrective Feedback,Problem,response corrective feedback
CONCERN_HOL_1292,Visibility into Student Attendance Pattern Risks,Risk,visibility attendance pattern risks
CONCERN_HOL_1307,Detecting Institutional Patterns of Student Disengagement,Behavior,detecting institutional patterns disengagement
CONCERN_HOL_1524,recognizing limiting beliefs,Problem,recognizing limiting beliefs
CONCERN_HOL_361,Securing Relevant Internships,Problem,securing relevant internships
CONCERN_HOL_461,Securing Interviews Despite Qualifications,Problem,securing interviews despite qualifications
CONCERN_IDE_1542,identifying personal blind spots,Capability,identifying personal blind spots
CONCERN_INQ_1171,Detecting Hidden High-Potential Students,Capability,detecting hidden high-potential detecting hidden high-potential hidden talent blindness display label capability detecting hidden high-potential whose concern category deficit-state hidden talent blindness topical overlap 25
CONCERN_INT_1312,Detect Future Readiness Gaps Across Students,Outcome,detect future readiness gaps across
CONCERN_INT_2158,Emotionally Reactive Students,Problem,emotionally reactive
CONCERN_LEA_1237,Institutional Readiness for Future Careers,Outcome,institutional readiness future careers
CONCERN_LEA_1259,Institutional Balance Between Excellence and Wellbeing,Problem,institutional balance between excellence wellbeing
CONCERN_LEA_1283,Instructional Quality During Faculty Turnover,Problem,instructional quality faculty turnover
CONCERN_LEA_1309,Student Cognitive Fatigue Patterns,Outcome,cognitive fatigue patterns
CONCERN_LEA_1725,Retaining Formulae,Problem,retaining formulae
CONCERN_LEA_1847,Child Becoming Too Dependent on Parents,Problem,child becoming too dependent parents
CONCERN_LEA_1958,Excessive Dependence on Tuition,Trait,excessive dependence tuition
CONCERN_LEA_1987,Preparedness for Surprise Tests,Problem,preparedness surprise tests
CONCERN_LEA_2111,Continuous Assessments,Problem,continuous assessments
CONCERN_LEA_2206,Handling Students Who Avoid Competitive Opportunities,Capability,avoid competitive opportunities
CONCERN_LEA_2475,Preparedness for Surprise Tests,Problem,preparedness surprise tests
CONCERN_LEA_513,Silence After Interviews,Problem,silence interviews
CONCERN_LEA_775,Imposter Syndrome After Promotions,Problem,imposter syndrome promotions
CONCERN_LEA_810,Build Long-Term Organizational Trust,Capability,long-term organizational trust long-term organizational trust organizational trust display label capability long-term organizational trust whose concern category deficit-state organizational trust topical overlap 00
CONCERN_LEA_863,Organizational Complexity Strategically,Problem,organizational complexity strategically
CONCERN_LIF_1024,Translate Domain Expertise into Broader Business Value,Problem,translate domain expertise broader business value
CONCERN_LIF_1180,Holistic Visibility into School-Wide Competency Ecosystems,Capability,holistic visibility school-wide competency ecosystems
CONCERN_LIF_1738,Gaming Addiction,Problem,gaming addiction
CONCERN_LIF_177,Distractions During Home Preparation,Problem,distractions home preparation
CONCERN_LIF_1772,Online Stranger Interactions,Problem,online stranger interactions
CONCERN_LIF_1773,Exposure to Adult Content,Problem,exposure adult content
CONCERN_LIF_1778,Handle Boredom,Capability,handle boredom handle boredom low boredom tolerance display label capability handle boredom whose concern category deficit-state low boredom tolerance topical overlap 50
CONCERN_LIF_1779,Declining Patience Levels,Trait,declining patience levels
CONCERN_LIF_1785,Eye Contact,Problem,eye contact
CONCERN_LIF_1830,Suicidal Thought Indicators,Problem,suicidal thought indicators
CONCERN_LIF_1839,Outdoor Play,Problem,outdoor play
CONCERN_LIF_1851,Disconnect from Notifications,Problem,disconnect notifications
CONCERN_LIF_187,Staying Focused in Long Coaching Sessions,Problem,staying focused long coaching sessions
CONCERN_LIF_1875,Child Sharing Personal Data Online,Problem,child sharing personal data online
CONCERN_LIF_1882,Child Obsessing Over Appearance,Problem,child obsessing appearance
CONCERN_LIF_1904,Child Refusing Offline Activities,Problem,child refusing offline activities
CONCERN_LIF_1917,Child Becoming Overly Defensive,Problem,child becoming overly defensive
CONCERN_LIF_2409,Healthy Study-Life Balance,Capability,healthy study-life balance healthy study-life balance study-life imbalance display label capability healthy study-life balance whose concern category deficit-state study-life imbalance topical overlap 50
CONCERN_LIF_2413,Students Becoming Dependent on Constant Supervision,Problem,becoming dependent constant supervision
CONCERN_LIF_2414,Routine Stability During Holidays and Breaks,Capability,routine stability holidays breaks routine stability holidays breaks holiday routine instability display label capability routine stability holidays breaks whose concern category deficit-state holiday routine instability topical overlap 17
CONCERN_LIF_30,Placement Interviews,Problem,placement interviews
CONCERN_LIF_509,Imposter Syndrome During Interviews,Problem,imposter syndrome interviews
CONCERN_LIF_530,Build a Distinctive Personal Brand,Capability,distinctive personal brand distinctive personal brand personal branding display label capability distinctive personal brand whose concern category deficit-state personal branding topical overlap 25
CONCERN_LIF_538,Returning After Maternity or Caregiving Breaks,Problem,returning maternity caregiving breaks
CONCERN_LIF_598,Navigate Organizational Politics Strategically,Capability,navigate organizational politics strategically navigate organizational politics strategically political navigation display label capability navigate organizational politics strategically whose concern category deficit-state political navigation topical overlap 00
CONCERN_LIF_654,Build Psychological Safety Within Teams,Capability,psychological safety within teams psychological safety within teams psychological safety display label capability psychological safety within teams whose concern category deficit-state psychological safety topical overlap 67
CONCERN_LIF_792,Handle Political Dynamics Strategically,Capability,handle political dynamics strategically handle political dynamics strategically political navigation display label capability handle political dynamics strategically whose concern category deficit-state political navigation topical overlap 25
CONCERN_LIF_908,Driving Enterprise Transformation Narratives,Capability,driving enterprise transformation narratives driving enterprise transformation narratives transformation narrative display label capability driving enterprise transformation narratives whose concern category deficit-state transformation narrative topical overlap 25
CONCERN_MOT_1165,Building School-Wide Competency Culture,Capability,school-wide competency culture school-wide competency culture competency culture display label capability school-wide competency culture whose concern category deficit-state competency culture topical overlap 67
CONCERN_MOT_120,Interview/Personality Test Rounds,Problem,interview personality test rounds
CONCERN_MOT_151,Information Overload During Preparation,Problem,information overload preparation
CONCERN_MOT_1625,recognize behavioral patterns,Problem,recognize behavioral patterns
CONCERN_MOT_1679,Prioritizing Tasks,Capability,prioritizing tasks
CONCERN_MOT_1688,School and Tuition Balance,Problem,school tuition balance
CONCERN_MOT_1796,General Knowledge,Problem,general knowledge
CONCERN_MOT_1811,Child Avoiding Challenges,Problem,child avoiding challenges
CONCERN_MOT_182,Handle Unsolved Questions Calmly,Capability,handle unsolved questions calmly
CONCERN_MOT_1828,Hyper-Competitive Mindset,Capability,hyper-competitive mindset hyper-competitive mindset excessive competition display label capability hyper-competitive mindset whose concern category deficit-state excessive competition topical overlap 00
CONCERN_MOT_1858,Excessive Dependency on Shortcuts,Trait,excessive dependency shortcuts
CONCERN_MOT_1899,Child Unable to Handle Delayed Rewards,Problem,child unable handle delayed rewards
CONCERN_MOT_190,Filter Useful Resources from Noise,Problem,filter useful resources noise
CONCERN_MOT_1975,Competitive Readiness,Outcome,competitive readiness
CONCERN_MOT_200,Holistic Stability During Competitive Preparation,Capability,holistic stability competitive preparation holistic stability competitive preparation competitive preparation instability display label capability holistic stability competitive preparation whose concern category deficit-state competitive preparation instability topical overlap 40
CONCERN_MOT_2041,Open-Ended Questions,Problem,open-ended questions
CONCERN_MOT_2084,Multiple Coaching Commitments,Problem,multiple coaching commitments
CONCERN_MOT_2155,Supporting Students with Weak Cognitive Endurance,Problem,cognitive endurance
CONCERN_MOT_2161,Supporting Students with Weak Self-Regulation Skills,Capability,self-regulation self-regulation self-regulation display label capability self-regulation whose concern category deficit-state self-regulation topical overlap 67
CONCERN_MOT_2276,Supporting Students with Weak Holistic Development Balance,Problem,holistic development balance
CONCERN_MOT_272,Transfer Skills Across Domains,Capability,transfer across domains transfer across domains transferability display label capability transfer across domains whose concern category deficit-state transferability topical overlap 00
CONCERN_MOT_281,Building Portfolio-Based Evidence of Skills,Capability,portfolio-based evidence portfolio-based evidence portfolio development display label capability portfolio-based evidence whose concern category deficit-state portfolio development topical overlap 25
CONCERN_MOT_292,Convert Theory into Projects,Problem,convert theory projects
CONCERN_MOT_694,Escalating Problems Professionally,Problem,escalating professionally
CONCERN_PER_1533,recognize behavioral patterns,Problem,recognize behavioral patterns
CONCERN_PER_1631,accepting weaknesses constructively,Problem,accepting weaknesses constructively
