concern_id,concern_name,canonical_type,best_archetype_key,best_score,reason
CONCERN_ADJ_1816,Grief & Loss Adjustment,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_1817,Excessive Perfectionism,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_1894,Child Becoming Emotionally Avoidant,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_1895,Child Struggling to Build Habits,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_1919,Child Feeling Emotionally Unsupported,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_1920,Child Becoming Too Influenced by Viral Trends,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_2114,Adaptation to Competency-Based Education,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_2368,Students Struggling to Adjust Socially,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ADJ_484,Virtual Interviews,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_ALT_1386,internship and exposure opportunities,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_BAL_1645,structured self-review mechanisms,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_101,Sustaining Long-Term Competitive Preparation,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_11,Adjusting to Hostel Life,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_1306,Holistic Visibility into Student Success Ecosystems,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_1387,Students unaware of global education pathways,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_1389,aptitude-career alignment,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_1395,Students unable to identify strengths and interests,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_1559,identifying personal strengths,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_1563,Confusion between passion and hobby,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_1565,Feeling pressured to pursue conventional careers,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_223,Exploring Careers Independently,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_230,Choosing Between Multiple Interests,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_362,Placement Interviews,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_464,Resume Positioning for Competitive Roles,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_465,Transitioning Into New Industries,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_477,Explaining Lack of Recent Experience,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_518,Reapplying After Previous Rejections,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_617,Continuous Performance Comparisons,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_68,Aptitude Test Performance,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_82,Research Orientation for Higher Education,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_939,Enterprise Culture During Rapid Scaling,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CAR_974,Acquiring New Technical Competencies,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CLA_1669,Working in Teams,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CLA_1677,Organizational Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CLA_2212,Handling Students with Weak Answer Elaboration Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1176,Build Holistic Student Profiles Institutionally,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1226,Visibility into Institutional Ethical and Value Development,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1266,Visibility into Student Cognitive Load During Instruction,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1311,Tracking Institutional Effectiveness of Student Interventions,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1456,Inconsistent behavior across environments,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1786,Conversational Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1787,Child Becoming Too Introverted,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1865,Child Constantly Daydreaming,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_1927,Child Showing Signs of Chronic Mental Fatigue,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2027,Balancing Speed and Accuracy,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2047,Adapting to Different Teaching Styles,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2066,Accuracy in Multi-Step Calculations,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2151,Holistic Student Development,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2183,Helping Students Interpret Questions Correctly,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2239,Students with Frequent Careless Mistakes,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2299,Students with Weak Self-Correction During Assessments,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2335,Child Losing Balance Between Performance and Wellbeing,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_2485,Following Multi-Teacher Instructions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_293,Perfectionism During Skill Building,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_296,Build Cross-Functional Competencies,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_370,Technical Assessments,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_43,Multiple Skill Certifications,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_495,Hope During Long Unemployment,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_541,Employment Instability Emotionally,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_8,Internship Readiness,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_968,Build Credibility in a New Domain,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_COM_982,Translate Legacy Experience into Future Relevance,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1026,Entering Fast-Paced Startup Ecosystems,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1295,Coordinating Multi-Layer Student Interventions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_148,Handle Exam-Day Surprises Calmly,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1693,Feedback from Teachers,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1777,Constant Need for Entertainment,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1791,Over-Scheduling & Lack of Rest,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1807,Child Becoming Manipulative,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1812,Learned Helplessness,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1819,Child Becoming Emotionally Numb,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1843,Excessive Self-Criticism,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1854,Child Becoming Cynical Early,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1867,Child Becoming Emotionally Detached from Grandparents,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1872,Child Feeling Inferior to High Performers,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1873,Child Developing Victim Mindset,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1877,Child Becoming Overly Competitive with Siblings,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1884,Child Becoming Addicted to Short Video Platforms,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1918,Child Losing Trust in Parents,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_1997,Following Multi-Teacher Instructions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_2039,Interdisciplinary Questions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_2133,Supporting Slow Learners Without Demotivating Them,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_2247,Supporting Students During Intensive Board Preparation,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_261,Identifying Core Skill Gaps,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_359,Sustaining Self-Driven Competency Improvement,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_492,Build a Strong LinkedIn Presence,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_544,Build Interview Readiness Consistently,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_76,Real-World Exposure Before Placements,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_CON_888,Build Long-Term Organizational Capability,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DEC_1562,alignment between interests and chosen stream,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIG_1434,transitioning into adulthood responsibilities,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_1750,Eating Habits,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_1762,Tuition Dependency,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_178,Subject-Wise Strengths,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_1994,Information Processing Speed,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_1996,Oral Responses,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_2011,Revising Without Guidance,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_2329,Child Becoming Emotionally Reactive During Feedback,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_2482,Information Processing Speed,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_2484,Oral Responses,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_DIS_48,Technical Interviews,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1169,Aligning Teaching Practices Across Faculty,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1213,Identifying Institutional Skill Readiness Gaps,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1219,Aligning Institutional Assessments with Real Competencies,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1290,Identify High-Risk Students for Timely Intervention,Risk,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1328,Monitor Student Resume and Profile Quality,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1341,Student Readiness for Entrepreneurial Careers,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1472,initiative-taking behavior,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_1506,identifying natural talents,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_298,Self-Correct During Practice,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_345,Healthy Lifestyle During Skill Acceleration,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_394,Practical Exposure Before Entering Workforce,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_444,Transitioning from Internship to Full-Time Roles,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_482,Position Transferable Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_494,Demonstrate Impact-Oriented Experience,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_550,Build Credibility in New Domains Quickly,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_676,Participating During Meetings,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_724,Contributing During Brainstorming Sessions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_796,Build Cross-Functional Alignment at Scale,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMO_966,Competing with Experienced Domain Professionals,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMP_1004,Repositioning Personal Brand Across Industries,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMP_1173,Student Cognitive Overload,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMP_1334,Visibility into Industry-Specific Skill Readiness,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMP_255,Choosing Between Higher Studies and Employment,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMP_29,Financial Independence in College,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMP_364,Resume and Profile Positioning,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EMP_45,Constructive Feedback Professionally,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_139,Sustaining Physical Health During Preparation,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1702,Grammar and Language Accuracy,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1732,Screen Addiction,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1829,Child Becoming Detached from Reality,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1856,Gratitude,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_186,Prioritize Health Alongside Preparation,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1871,Child Avoiding Competitive Environments,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1892,Child Showing Signs of Hopelessness,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1893,Child Feeling Emotionally Unsafe at School,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1908,Child Constantly Comparing Lifestyle with Others,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1916,Child Becoming Emotionally Aggressive Online,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_1988,Fast-Paced Teaching,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_199,Sustaining Hope During Long Competitive Journeys,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2012,Pattern Recognition Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2018,Self-Correction Ability,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2054,Error Detection Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2088,Performance Tracking Habits,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2173,Supporting Students with Weak Practical Application Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2195,Helping Students Handle Time-Bound Assessments,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2209,Improving Student Accuracy in Calculations,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2238,Supporting Students with Weak Long-Answer Structuring Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_2476,Fast-Paced Teaching,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXA_371,Internship Workloads,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_EXE_1482,teams during projects,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_FOU_1711,Diagrammatic Representation Skills,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_FOU_2179,Encouraging Students to Think Independently,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_FUT_1402,Students lacking portfolio and profile development,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_FUT_1424,criticism and feedback,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_FUT_1556,No structured roadmap for continuous self-growth,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_GOA_1628,sustain self-improvement routines,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_GRO_1529,Confusion about long-term personal trajectory,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_GRO_1539,Overestimating abilities without evidence,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_GRO_1606,track personal improvement trends,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_GRO_1619,Overestimating personal performance,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_GRO_1644,Overfocus on weaknesses ignoring strengths,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_HEL_2305,Response to Corrective Feedback,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_HOL_1292,Visibility into Student Attendance Pattern Risks,Risk,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_HOL_1307,Detecting Institutional Patterns of Student Disengagement,Behavior,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_HOL_1524,recognizing limiting beliefs,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_HOL_361,Securing Relevant Internships,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_HOL_461,Securing Interviews Despite Qualifications,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_IDE_1542,identifying personal blind spots,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_INQ_1171,Detecting Hidden High-Potential Students,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_INT_1312,Detect Future Readiness Gaps Across Students,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_INT_2158,Emotionally Reactive Students,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1237,Institutional Readiness for Future Careers,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1259,Institutional Balance Between Excellence and Wellbeing,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1283,Instructional Quality During Faculty Turnover,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1309,Student Cognitive Fatigue Patterns,Outcome,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1725,Retaining Formulae,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1847,Child Becoming Too Dependent on Parents,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1958,Excessive Dependence on Tuition,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_1987,Preparedness for Surprise Tests,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_2111,Continuous Assessments,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_2206,Handling Students Who Avoid Competitive Opportunities,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_2475,Preparedness for Surprise Tests,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_513,Silence After Interviews,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_775,Imposter Syndrome After Promotions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_810,Build Long-Term Organizational Trust,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LEA_863,Organizational Complexity Strategically,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1024,Translate Domain Expertise into Broader Business Value,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1180,Holistic Visibility into School-Wide Competency Ecosystems,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1738,Gaming Addiction,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_177,Distractions During Home Preparation,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1772,Online Stranger Interactions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1773,Exposure to Adult Content,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1778,Handle Boredom,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1779,Declining Patience Levels,Trait,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1785,Eye Contact,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1830,Suicidal Thought Indicators,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1839,Outdoor Play,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1851,Disconnect from Notifications,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_187,Staying Focused in Long Coaching Sessions,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1875,Child Sharing Personal Data Online,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1882,Child Obsessing Over Appearance,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1904,Child Refusing Offline Activities,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_1917,Child Becoming Overly Defensive,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_2409,Healthy Study-Life Balance,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_2413,Students Becoming Dependent on Constant Supervision,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_2414,Routine Stability During Holidays and Breaks,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_30,Placement Interviews,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_509,Imposter Syndrome During Interviews,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_530,Build a Distinctive Personal Brand,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_538,Returning After Maternity or Caregiving Breaks,Problem,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_598,Navigate Organizational Politics Strategically,Capability,performance_anxiety,0,no construct-token anchor in any archetype
CONCERN_LIF_654,Build Psychological Safety Within Teams,Capability,performance_anxiety,0,no construct-token anchor in any archetype
