pathway_key,archetype_key,archetype_name,stakeholder_type,problem_id,stage_count,complete,avg_composite,avg_confidence_impact,avg_risk_reduction,summary
communication_expression::student,communication_expression,Communication & Expression,student,17,6,true,4.7,0.4623,0.4783,Communication & Expression — student: 6-stage growth pathway from immediate action to 90-day development.
communication_expression::parent,communication_expression,Communication & Expression,parent,17,6,true,4.73,0.4667,0.495,Communication & Expression — parent: 6-stage growth pathway from immediate action to 90-day development.
communication_expression::teacher,communication_expression,Communication & Expression,teacher,17,6,true,4.57,0.4473,0.4767,Communication & Expression — teacher: 6-stage growth pathway from immediate action to 90-day development.
communication_expression::counselor,communication_expression,Communication & Expression,counselor,17,6,true,4.63,0.4553,0.44,Communication & Expression — counselor: 6-stage growth pathway from immediate action to 90-day development.
communication_expression::professional,communication_expression,Communication & Expression,professional,17,6,true,4.67,0.4613,0.465,Communication & Expression — professional: 6-stage growth pathway from immediate action to 90-day development.
confidence_self_efficacy::student,confidence_self_efficacy,Confidence & Self-Efficacy,student,21,6,true,4.43,0.4207,0.4017,Confidence & Self-Efficacy — student: 6-stage growth pathway from immediate action to 90-day development.
confidence_self_efficacy::parent,confidence_self_efficacy,Confidence & Self-Efficacy,parent,21,6,true,4.5,0.4293,0.435,Confidence & Self-Efficacy — parent: 6-stage growth pathway from immediate action to 90-day development.
confidence_self_efficacy::teacher,confidence_self_efficacy,Confidence & Self-Efficacy,teacher,21,6,true,4.4,0.42,0.46,Confidence & Self-Efficacy — teacher: 6-stage growth pathway from immediate action to 90-day development.
confidence_self_efficacy::counselor,confidence_self_efficacy,Confidence & Self-Efficacy,counselor,21,6,true,4.53,0.436,0.46,Confidence & Self-Efficacy — counselor: 6-stage growth pathway from immediate action to 90-day development.
confidence_self_efficacy::professional,confidence_self_efficacy,Confidence & Self-Efficacy,professional,21,6,true,4.43,0.4207,0.4017,Confidence & Self-Efficacy — professional: 6-stage growth pathway from immediate action to 90-day development.
critical_reflective_thinking::student,critical_reflective_thinking,Critical & Reflective Thinking,student,25,6,true,4.47,0.426,0.435,Critical & Reflective Thinking — student: 6-stage growth pathway from immediate action to 90-day development.
critical_reflective_thinking::parent,critical_reflective_thinking,Critical & Reflective Thinking,parent,25,6,true,4.47,0.426,0.435,Critical & Reflective Thinking — parent: 6-stage growth pathway from immediate action to 90-day development.
critical_reflective_thinking::teacher,critical_reflective_thinking,Critical & Reflective Thinking,teacher,25,6,true,4.37,0.4167,0.46,Critical & Reflective Thinking — teacher: 6-stage growth pathway from immediate action to 90-day development.
critical_reflective_thinking::counselor,critical_reflective_thinking,Critical & Reflective Thinking,counselor,25,6,true,4.43,0.4247,0.4233,Critical & Reflective Thinking — counselor: 6-stage growth pathway from immediate action to 90-day development.
critical_reflective_thinking::professional,critical_reflective_thinking,Critical & Reflective Thinking,professional,25,6,true,4.43,0.425,0.4217,Critical & Reflective Thinking — professional: 6-stage growth pathway from immediate action to 90-day development.
curiosity_innovation::student,curiosity_innovation,Curiosity & Innovation,student,29,6,true,4.8,0.4703,0.46,Curiosity & Innovation — student: 6-stage growth pathway from immediate action to 90-day development.
curiosity_innovation::parent,curiosity_innovation,Curiosity & Innovation,parent,29,6,true,4.8,0.4703,0.46,Curiosity & Innovation — parent: 6-stage growth pathway from immediate action to 90-day development.
curiosity_innovation::teacher,curiosity_innovation,Curiosity & Innovation,teacher,29,6,true,4.63,0.451,0.4417,Curiosity & Innovation — teacher: 6-stage growth pathway from immediate action to 90-day development.
curiosity_innovation::counselor,curiosity_innovation,Curiosity & Innovation,counselor,29,6,true,4.7,0.459,0.405,Curiosity & Innovation — counselor: 6-stage growth pathway from immediate action to 90-day development.
curiosity_innovation::professional,curiosity_innovation,Curiosity & Innovation,professional,29,6,true,4.77,0.4693,0.4467,Curiosity & Innovation — professional: 6-stage growth pathway from immediate action to 90-day development.
decision_judgment::student,decision_judgment,Decision-Making & Judgment,student,33,6,true,4.57,0.4403,0.4167,Decision-Making & Judgment — student: 6-stage growth pathway from immediate action to 90-day development.
decision_judgment::parent,decision_judgment,Decision-Making & Judgment,parent,33,6,true,4.6,0.4447,0.4333,Decision-Making & Judgment — parent: 6-stage growth pathway from immediate action to 90-day development.
decision_judgment::teacher,decision_judgment,Decision-Making & Judgment,teacher,33,6,true,4.47,0.432,0.4583,Decision-Making & Judgment — teacher: 6-stage growth pathway from immediate action to 90-day development.
decision_judgment::counselor,decision_judgment,Decision-Making & Judgment,counselor,33,6,true,4.6,0.448,0.4583,Decision-Making & Judgment — counselor: 6-stage growth pathway from immediate action to 90-day development.
decision_judgment::professional,decision_judgment,Decision-Making & Judgment,professional,33,6,true,4.53,0.4393,0.4033,Decision-Making & Judgment — professional: 6-stage growth pathway from immediate action to 90-day development.
emotional_regulation::student,emotional_regulation,Emotional Regulation & Coping,student,37,6,true,4.43,0.4333,0.395,Emotional Regulation & Coping — student: 6-stage growth pathway from immediate action to 90-day development.
emotional_regulation::parent,emotional_regulation,Emotional Regulation & Coping,parent,37,6,true,4.5,0.442,0.4283,Emotional Regulation & Coping — parent: 6-stage growth pathway from immediate action to 90-day development.
emotional_regulation::teacher,emotional_regulation,Emotional Regulation & Coping,teacher,37,6,true,4.3,0.4193,0.41,Emotional Regulation & Coping — teacher: 6-stage growth pathway from immediate action to 90-day development.
emotional_regulation::counselor,emotional_regulation,Emotional Regulation & Coping,counselor,37,6,true,4.43,0.4353,0.41,Emotional Regulation & Coping — counselor: 6-stage growth pathway from immediate action to 90-day development.
emotional_regulation::professional,emotional_regulation,Emotional Regulation & Coping,professional,37,6,true,4.37,0.4313,0.3817,Emotional Regulation & Coping — professional: 6-stage growth pathway from immediate action to 90-day development.
expectations_pressure::student,expectations_pressure,Expectations & External Pressure,student,41,6,true,4.47,0.444,0.415,Expectations & External Pressure — student: 6-stage growth pathway from immediate action to 90-day development.
expectations_pressure::parent,expectations_pressure,Expectations & External Pressure,parent,41,6,true,4.47,0.444,0.415,Expectations & External Pressure — parent: 6-stage growth pathway from immediate action to 90-day development.
expectations_pressure::teacher,expectations_pressure,Expectations & External Pressure,teacher,41,6,true,4.27,0.4213,0.3967,Expectations & External Pressure — teacher: 6-stage growth pathway from immediate action to 90-day development.
expectations_pressure::counselor,expectations_pressure,Expectations & External Pressure,counselor,41,6,true,4.4,0.4313,0.3867,Expectations & External Pressure — counselor: 6-stage growth pathway from immediate action to 90-day development.
expectations_pressure::professional,expectations_pressure,Expectations & External Pressure,professional,41,6,true,4.43,0.443,0.4017,Expectations & External Pressure — professional: 6-stage growth pathway from immediate action to 90-day development.
focus_attention::student,focus_attention,Focus & Attention Regulation,student,45,6,true,4.67,0.4493,0.4167,Focus & Attention Regulation — student: 6-stage growth pathway from immediate action to 90-day development.
focus_attention::parent,focus_attention,Focus & Attention Regulation,parent,45,6,true,4.67,0.4493,0.4167,Focus & Attention Regulation — parent: 6-stage growth pathway from immediate action to 90-day development.
focus_attention::teacher,focus_attention,Focus & Attention Regulation,teacher,45,6,true,4.53,0.4367,0.4417,Focus & Attention Regulation — teacher: 6-stage growth pathway from immediate action to 90-day development.
focus_attention::counselor,focus_attention,Focus & Attention Regulation,counselor,45,6,true,4.6,0.4447,0.405,Focus & Attention Regulation — counselor: 6-stage growth pathway from immediate action to 90-day development.
focus_attention::professional,focus_attention,Focus & Attention Regulation,professional,45,6,true,4.67,0.4493,0.4167,Focus & Attention Regulation — professional: 6-stage growth pathway from immediate action to 90-day development.
identity_self_awareness::student,identity_self_awareness,Identity & Self-Awareness,student,49,6,true,4.4,0.4337,0.4233,Identity & Self-Awareness — student: 6-stage growth pathway from immediate action to 90-day development.
identity_self_awareness::parent,identity_self_awareness,Identity & Self-Awareness,parent,49,6,true,4.4,0.4337,0.4233,Identity & Self-Awareness — parent: 6-stage growth pathway from immediate action to 90-day development.
identity_self_awareness::teacher,identity_self_awareness,Identity & Self-Awareness,teacher,49,6,true,4.3,0.421,0.4417,Identity & Self-Awareness — teacher: 6-stage growth pathway from immediate action to 90-day development.
identity_self_awareness::counselor,identity_self_awareness,Identity & Self-Awareness,counselor,49,6,true,4.37,0.429,0.405,Identity & Self-Awareness — counselor: 6-stage growth pathway from immediate action to 90-day development.
identity_self_awareness::professional,identity_self_awareness,Identity & Self-Awareness,professional,49,6,true,4.37,0.4327,0.41,Identity & Self-Awareness — professional: 6-stage growth pathway from immediate action to 90-day development.
leadership_influence::student,leadership_influence,Leadership & Influence,student,56,6,true,4.67,0.4533,0.4167,Leadership & Influence — student: 6-stage growth pathway from immediate action to 90-day development.
leadership_influence::parent,leadership_influence,Leadership & Influence,parent,56,6,true,4.67,0.4533,0.4167,Leadership & Influence — parent: 6-stage growth pathway from immediate action to 90-day development.
leadership_influence::teacher,leadership_influence,Leadership & Influence,teacher,56,6,true,4.53,0.4407,0.4417,Leadership & Influence — teacher: 6-stage growth pathway from immediate action to 90-day development.
leadership_influence::counselor,leadership_influence,Leadership & Influence,counselor,56,6,true,4.63,0.4477,0.42,Leadership & Influence — counselor: 6-stage growth pathway from immediate action to 90-day development.
leadership_influence::professional,leadership_influence,Leadership & Influence,professional,53,6,true,4.63,0.4523,0.4033,Leadership & Influence — professional: 6-stage growth pathway from immediate action to 90-day development.
learning_comprehension::student,learning_comprehension,Learning & Comprehension,student,57,6,true,4.63,0.4533,0.46,Learning & Comprehension — student: 6-stage growth pathway from immediate action to 90-day development.
learning_comprehension::parent,learning_comprehension,Learning & Comprehension,parent,59,6,true,4.63,0.4533,0.46,Learning & Comprehension — parent: 6-stage growth pathway from immediate action to 90-day development.
learning_comprehension::teacher,learning_comprehension,Learning & Comprehension,teacher,59,6,true,4.47,0.4317,0.4417,Learning & Comprehension — teacher: 6-stage growth pathway from immediate action to 90-day development.
learning_comprehension::counselor,learning_comprehension,Learning & Comprehension,counselor,59,6,true,4.5,0.4387,0.405,Learning & Comprehension — counselor: 6-stage growth pathway from immediate action to 90-day development.
learning_comprehension::professional,learning_comprehension,Learning & Comprehension,professional,59,6,true,4.6,0.4523,0.4467,Learning & Comprehension — professional: 6-stage growth pathway from immediate action to 90-day development.
motivation_drive::student,motivation_drive,Motivation & Drive,student,61,6,true,4.53,0.4377,0.365,Motivation & Drive — student: 6-stage growth pathway from immediate action to 90-day development.
motivation_drive::parent,motivation_drive,Motivation & Drive,parent,61,6,true,4.6,0.4463,0.3983,Motivation & Drive — parent: 6-stage growth pathway from immediate action to 90-day development.
motivation_drive::teacher,motivation_drive,Motivation & Drive,teacher,61,6,true,4.6,0.447,0.4783,Motivation & Drive — teacher: 6-stage growth pathway from immediate action to 90-day development.
motivation_drive::counselor,motivation_drive,Motivation & Drive,counselor,61,6,true,4.73,0.463,0.4783,Motivation & Drive — counselor: 6-stage growth pathway from immediate action to 90-day development.
motivation_drive::professional,motivation_drive,Motivation & Drive,professional,61,6,true,4.5,0.4367,0.3517,Motivation & Drive — professional: 6-stage growth pathway from immediate action to 90-day development.
negotiation_advocacy::student,negotiation_advocacy,Negotiation & Advocacy,student,65,6,true,4.27,0.413,0.4417,Negotiation & Advocacy — student: 6-stage growth pathway from immediate action to 90-day development.
negotiation_advocacy::parent,negotiation_advocacy,Negotiation & Advocacy,parent,65,6,true,4.27,0.413,0.4417,Negotiation & Advocacy — parent: 6-stage growth pathway from immediate action to 90-day development.
negotiation_advocacy::teacher,negotiation_advocacy,Negotiation & Advocacy,teacher,65,6,true,4.17,0.4003,0.46,Negotiation & Advocacy — teacher: 6-stage growth pathway from immediate action to 90-day development.
negotiation_advocacy::counselor,negotiation_advocacy,Negotiation & Advocacy,counselor,65,6,true,4.23,0.4083,0.4233,Negotiation & Advocacy — counselor: 6-stage growth pathway from immediate action to 90-day development.
negotiation_advocacy::professional,negotiation_advocacy,Negotiation & Advocacy,professional,66,6,true,4.23,0.412,0.4283,Negotiation & Advocacy — professional: 6-stage growth pathway from immediate action to 90-day development.
networking_relationships::student,networking_relationships,Networking & Relationship Building,student,69,6,true,4.77,0.4617,0.4567,Networking & Relationship Building — student: 6-stage growth pathway from immediate action to 90-day development.
networking_relationships::parent,networking_relationships,Networking & Relationship Building,parent,69,6,true,4.77,0.4617,0.4567,Networking & Relationship Building — parent: 6-stage growth pathway from immediate action to 90-day development.
networking_relationships::teacher,networking_relationships,Networking & Relationship Building,teacher,69,6,true,4.67,0.4523,0.4817,Networking & Relationship Building — teacher: 6-stage growth pathway from immediate action to 90-day development.
networking_relationships::counselor,networking_relationships,Networking & Relationship Building,counselor,69,6,true,4.73,0.4603,0.445,Networking & Relationship Building — counselor: 6-stage growth pathway from immediate action to 90-day development.
networking_relationships::professional,networking_relationships,Networking & Relationship Building,professional,69,6,true,4.73,0.4607,0.4433,Networking & Relationship Building — professional: 6-stage growth pathway from immediate action to 90-day development.
performance_anxiety::student,performance_anxiety,Performance Anxiety & Pressure Response,student,73,6,true,4.7,0.4553,0.445,Performance Anxiety & Pressure Response — student: 6-stage growth pathway from immediate action to 90-day development.
performance_anxiety::parent,performance_anxiety,Performance Anxiety & Pressure Response,parent,74,6,true,4.77,0.464,0.4783,Performance Anxiety & Pressure Response — parent: 6-stage growth pathway from immediate action to 90-day development.
performance_anxiety::teacher,performance_anxiety,Performance Anxiety & Pressure Response,teacher,74,6,true,4.6,0.4447,0.46,Performance Anxiety & Pressure Response — teacher: 6-stage growth pathway from immediate action to 90-day development.
performance_anxiety::counselor,performance_anxiety,Performance Anxiety & Pressure Response,counselor,74,6,true,4.67,0.4527,0.4233,Performance Anxiety & Pressure Response — counselor: 6-stage growth pathway from immediate action to 90-day development.
performance_anxiety::professional,performance_anxiety,Performance Anxiety & Pressure Response,professional,75,6,true,4.67,0.4543,0.4317,Performance Anxiety & Pressure Response — professional: 6-stage growth pathway from immediate action to 90-day development.
resilience_recovery::student,resilience_recovery,Resilience & Failure Recovery,student,77,6,true,4.43,0.4257,0.4167,Resilience & Failure Recovery — student: 6-stage growth pathway from immediate action to 90-day development.
resilience_recovery::parent,resilience_recovery,Resilience & Failure Recovery,parent,77,6,true,4.47,0.43,0.4333,Resilience & Failure Recovery — parent: 6-stage growth pathway from immediate action to 90-day development.
resilience_recovery::teacher,resilience_recovery,Resilience & Failure Recovery,teacher,77,6,true,4.33,0.4173,0.4583,Resilience & Failure Recovery — teacher: 6-stage growth pathway from immediate action to 90-day development.
resilience_recovery::counselor,resilience_recovery,Resilience & Failure Recovery,counselor,77,6,true,4.4,0.4253,0.4217,Resilience & Failure Recovery — counselor: 6-stage growth pathway from immediate action to 90-day development.
resilience_recovery::professional,resilience_recovery,Resilience & Failure Recovery,professional,77,6,true,4.4,0.4247,0.4033,Resilience & Failure Recovery — professional: 6-stage growth pathway from immediate action to 90-day development.
social_connection_belonging::student,social_connection_belonging,Social Connection & Belonging,student,81,6,true,4.47,0.4363,0.4783,Social Connection & Belonging — student: 6-stage growth pathway from immediate action to 90-day development.
social_connection_belonging::parent,social_connection_belonging,Social Connection & Belonging,parent,81,6,true,4.47,0.4363,0.4783,Social Connection & Belonging — parent: 6-stage growth pathway from immediate action to 90-day development.
social_connection_belonging::teacher,social_connection_belonging,Social Connection & Belonging,teacher,81,6,true,4.3,0.417,0.46,Social Connection & Belonging — teacher: 6-stage growth pathway from immediate action to 90-day development.
social_connection_belonging::counselor,social_connection_belonging,Social Connection & Belonging,counselor,81,6,true,4.37,0.425,0.4233,Social Connection & Belonging — counselor: 6-stage growth pathway from immediate action to 90-day development.
social_connection_belonging::professional,social_connection_belonging,Social Connection & Belonging,professional,81,6,true,4.43,0.4353,0.465,Social Connection & Belonging — professional: 6-stage growth pathway from immediate action to 90-day development.
time_self_discipline::student,time_self_discipline,Time Management & Self-Discipline,student,85,6,true,4.63,0.4517,0.4167,Time Management & Self-Discipline — student: 6-stage growth pathway from immediate action to 90-day development.
time_self_discipline::parent,time_self_discipline,Time Management & Self-Discipline,parent,85,6,true,4.63,0.4517,0.4167,Time Management & Self-Discipline — parent: 6-stage growth pathway from immediate action to 90-day development.
time_self_discipline::teacher,time_self_discipline,Time Management & Self-Discipline,teacher,85,6,true,4.57,0.4457,0.46,Time Management & Self-Discipline — teacher: 6-stage growth pathway from immediate action to 90-day development.
time_self_discipline::counselor,time_self_discipline,Time Management & Self-Discipline,counselor,85,6,true,4.73,0.4667,0.46,Time Management & Self-Discipline — counselor: 6-stage growth pathway from immediate action to 90-day development.
time_self_discipline::professional,time_self_discipline,Time Management & Self-Discipline,professional,85,6,true,4.6,0.4507,0.4033,Time Management & Self-Discipline — professional: 6-stage growth pathway from immediate action to 90-day development.
