template_key,archetype_key,archetype_name,stakeholder_type,problem_id,plan_title,step_immediate,step_week,step_month,step_quarter,total_days,avg_composite,is_duplicate
career_professional_growth::teacher,career_professional_growth,Career Growth & Professional Identity,teacher,12,Career Growth & Professional Identity — teacher action plan,"In class today, have the student list three roles or career paths worth exploring and one question to ask about each.","Each day this week, have the student research jobs, roles, and the skills they need for twenty minutes.","Over the next month, coach the student to set up two short informational chats with people in a target career or role.","Across the term, support the student to build a clear career direction with a step plan toward a chosen role or promotion.",90,4.75,false
career_professional_growth::counselor,career_professional_growth,Career Growth & Professional Identity,counselor,12,Career Growth & Professional Identity — counselor action plan,"In today’s session, guide your client to list three roles or career paths worth exploring and one question to ask about each.","Set a one-week task for your client to research jobs, roles, and the skills they need for twenty minutes.","Across a 30-day plan, work with your client to set up two short informational chats with people in a target career or role.","Across a 90-day plan, guide your client to build a clear career direction with a step plan toward a chosen role or promotion.",90,4.65,false
career_professional_growth::professional,career_professional_growth,Career Growth & Professional Identity,professional,9,Career Growth & Professional Identity — professional action plan,"Before the workday ends, list three roles or career paths worth exploring and one question to ask about each.","Each workday this week, research jobs, roles, and the skills they need for twenty minutes.","Over the next 30 days at work, set up two short informational chats with people in a target career or role.","Over the next quarter at work, build a clear career direction with a step plan toward a chosen role or promotion.",90,4.85,false
collaboration_teamwork::student,collaboration_teamwork,Collaboration & Teamwork,student,13,Collaboration & Teamwork — student action plan,"Today, offer one helpful idea or share one task with a teammate.","Each day this week, note one contribution to the group and one task others carried.","Over the next 30 days, take a clear shared role in a group project and deliver it.","Over the next 90 days, build strong teamwork habits through a term of group projects.",90,4.65,false
collaboration_teamwork::parent,collaboration_teamwork,Collaboration & Teamwork,parent,13,Collaboration & Teamwork — parent action plan,"Today, help your child offer one helpful idea or share one task with a teammate.","Each day this week, help your child note one contribution to the group and one task others carried.","Over the next 30 days, help your child take a clear shared role in a group project and deliver it.","Across this term, help your child build strong teamwork habits through a term of group projects.",90,4.65,false
collaboration_teamwork::teacher,collaboration_teamwork,Collaboration & Teamwork,teacher,13,Collaboration & Teamwork — teacher action plan,"In class today, have the student offer one helpful idea or share one task with a teammate.","Each day this week, have the student note one contribution to the group and one task others carried.","Over the next month, coach the student to take a clear shared role in a group project and deliver it.","Across the term, support the student to build strong teamwork habits through a term of group projects.",90,4.55,false
collaboration_teamwork::counselor,collaboration_teamwork,Collaboration & Teamwork,counselor,13,Collaboration & Teamwork — counselor action plan,"In today’s session, guide your client to offer one helpful idea or share one task with a teammate.",Set a one-week task for your client to note one contribution to the group and one task others carried.,"Across a 30-day plan, work with your client to take a clear shared role in a group project and deliver it.","Across a 90-day plan, guide your client to build strong teamwork habits through a term of group projects.",90,4.55,false
collaboration_teamwork::professional,collaboration_teamwork,Collaboration & Teamwork,professional,13,Collaboration & Teamwork — professional action plan,"Before the workday ends, offer one helpful idea or share one task with a teammate.","Each workday this week, note one contribution to the group and one task others carried.","Over the next 30 days at work, take a clear shared role in a group project and deliver it.","Over the next quarter at work, build strong teamwork habits through a term of group projects.",90,4.6,false
communication_expression::student,communication_expression,Communication & Expression,student,17,Communication & Expression — student action plan,"Today, say one clear thought out loud or in a message.","Each day this week, note one moment when thoughts were hard to put into words.","Over the next 30 days, practise explaining one idea clearly in a meeting or talk each week.","Over the next 90 days, build a clear, confident speaking voice over a term of small talks.",90,4.8,false
communication_expression::parent,communication_expression,Communication & Expression,parent,17,Communication & Expression — parent action plan,"Today, help your child say one clear thought out loud or in a message.","Each day this week, help your child note one moment when thoughts were hard to put into words.","Over the next 30 days, help your child practise explaining one idea clearly in a meeting or talk each week.","Across this term, help your child build a clear, confident speaking voice over a term of small talks.",90,4.8,false
communication_expression::teacher,communication_expression,Communication & Expression,teacher,17,Communication & Expression — teacher action plan,"In class today, have the student say one clear thought out loud or in a message.","Each day this week, have the student note one moment when thoughts were hard to put into words.","Over the next month, coach the student to practise explaining one idea clearly in a meeting or talk each week.","Across the term, support the student to build a clear, confident speaking voice over a term of small talks.",90,4.75,false
communication_expression::counselor,communication_expression,Communication & Expression,counselor,17,Communication & Expression — counselor action plan,"In today’s session, guide your client to say one clear thought out loud or in a message.",Set a one-week task for your client to note one moment when thoughts were hard to put into words.,"Across a 30-day plan, work with your client to practise explaining one idea clearly in a meeting or talk each week.","Across a 90-day plan, guide your client to build a clear, confident speaking voice over a term of small talks.",90,4.75,false
communication_expression::professional,communication_expression,Communication & Expression,professional,17,Communication & Expression — professional action plan,"Before the workday ends, say one clear thought out loud or in a message.","Each workday this week, note one moment when thoughts were hard to put into words.","Over the next 30 days at work, practise explaining one idea clearly in a meeting or talk each week.","Over the next quarter at work, build a clear, confident speaking voice over a term of small talks.",90,4.75,false
confidence_self_efficacy::student,confidence_self_efficacy,Confidence & Self-Efficacy,student,21,Confidence & Self-Efficacy — student action plan,"Today, write down three recent wins and one challenge worth taking on today.","Each day this week, note one moment of self-doubt and one sign of real ability.","Over the next 30 days, take on a slightly harder challenge each week to build real confidence.","Over the next 90 days, grow steady self-belief through a term of met challenges.",90,4.5,false
confidence_self_efficacy::parent,confidence_self_efficacy,Confidence & Self-Efficacy,parent,21,Confidence & Self-Efficacy — parent action plan,"Today, help your child write down three recent wins and one challenge worth taking on today.","Each day this week, help your child note one moment of self-doubt and one sign of real ability.","Over the next 30 days, help your child take on a slightly harder challenge each week to build real confidence.","Across this term, help your child grow steady self-belief through a term of met challenges.",90,4.5,false
confidence_self_efficacy::teacher,confidence_self_efficacy,Confidence & Self-Efficacy,teacher,21,Confidence & Self-Efficacy — teacher action plan,"In class today, have the student write down three recent wins and one challenge worth taking on today.","Each day this week, have the student note one moment of self-doubt and one sign of real ability.","Over the next month, coach the student to take on a slightly harder challenge each week to build real confidence.","Across the term, support the student to grow steady self-belief through a term of met challenges.",90,4.55,false
confidence_self_efficacy::counselor,confidence_self_efficacy,Confidence & Self-Efficacy,counselor,21,Confidence & Self-Efficacy — counselor action plan,"In today’s session, guide your client to write down three recent wins and one challenge worth taking on today.",Set a one-week task for your client to note one moment of self-doubt and one sign of real ability.,"Across a 30-day plan, work with your client to take on a slightly harder challenge each week to build real confidence.","Across a 90-day plan, guide your client to grow steady self-belief through a term of met challenges.",90,4.55,false
confidence_self_efficacy::professional,confidence_self_efficacy,Confidence & Self-Efficacy,professional,21,Confidence & Self-Efficacy — professional action plan,"Before the workday ends, write down three recent wins and one challenge worth taking on today.","Each workday this week, note one moment of self-doubt and one sign of real ability.","Over the next 30 days at work, take on a slightly harder challenge each week to build real confidence.","Over the next quarter at work, grow steady self-belief through a term of met challenges.",90,4.5,false
critical_reflective_thinking::student,critical_reflective_thinking,Critical & Reflective Thinking,student,25,Critical & Reflective Thinking — student action plan,"Today, ask why once and weigh one other option before deciding anything.","Each day this week, write down one assumption worth questioning and what the facts show.","Over the next 30 days, follow a habit of reviewing decisions to learn from each mistake.","Over the next 90 days, sharpen reasoning by reflecting weekly on choices and their results.",90,4.45,false
critical_reflective_thinking::parent,critical_reflective_thinking,Critical & Reflective Thinking,parent,25,Critical & Reflective Thinking — parent action plan,"Today, help your child ask why once and weigh one other option before deciding anything.","Each day this week, help your child write down one assumption worth questioning and what the facts show.","Over the next 30 days, help your child follow a habit of reviewing decisions to learn from each mistake.","Across this term, help your child sharpen reasoning by reflecting weekly on choices and their results.",90,4.45,false
critical_reflective_thinking::teacher,critical_reflective_thinking,Critical & Reflective Thinking,teacher,25,Critical & Reflective Thinking — teacher action plan,"In class today, have the student ask why once and weigh one other option before deciding anything.","Each day this week, have the student write down one assumption worth questioning and what the facts show.","Over the next month, coach the student to follow a habit of reviewing decisions to learn from each mistake.","Across the term, support the student to sharpen reasoning by reflecting weekly on choices and their results.",90,4.5,false
critical_reflective_thinking::counselor,critical_reflective_thinking,Critical & Reflective Thinking,counselor,25,Critical & Reflective Thinking — counselor action plan,"In today’s session, guide your client to ask why once and weigh one other option before deciding anything.",Set a one-week task for your client to write down one assumption worth questioning and what the facts show.,"Across a 30-day plan, work with your client to follow a habit of reviewing decisions to learn from each mistake.","Across a 90-day plan, guide your client to sharpen reasoning by reflecting weekly on choices and their results.",90,4.5,false
critical_reflective_thinking::professional,critical_reflective_thinking,Critical & Reflective Thinking,professional,25,Critical & Reflective Thinking — professional action plan,"Before the workday ends, ask why once and weigh one other option before deciding anything.","Each workday this week, write down one assumption worth questioning and what the facts show.","Over the next 30 days at work, follow a habit of reviewing decisions to learn from each mistake.","Over the next quarter at work, sharpen reasoning by reflecting weekly on choices and their results.",90,4.4,false
curiosity_innovation::student,curiosity_innovation,Curiosity & Innovation,student,29,Curiosity & Innovation — student action plan,"Today, ask one curious question and write down a fresh idea it sparks.","Each day this week, note one new idea worth exploring or testing.","Over the next 30 days, run one small experiment a week to turn curiosity into a real idea.","Over the next 90 days, build a creative habit of inventing and testing fresh ideas over the term.",90,4.85,false
curiosity_innovation::parent,curiosity_innovation,Curiosity & Innovation,parent,29,Curiosity & Innovation — parent action plan,"Today, help your child ask one curious question and write down a fresh idea it sparks.","Each day this week, help your child note one new idea worth exploring or testing.","Over the next 30 days, help your child run one small experiment a week to turn curiosity into a real idea.","Across this term, help your child build a creative habit of inventing and testing fresh ideas over the term.",90,4.85,false
curiosity_innovation::teacher,curiosity_innovation,Curiosity & Innovation,teacher,29,Curiosity & Innovation — teacher action plan,"In class today, have the student ask one curious question and write down a fresh idea it sparks.","Each day this week, have the student note one new idea worth exploring or testing.","Over the next month, coach the student to run one small experiment a week to turn curiosity into a real idea.","Across the term, support the student to build a creative habit of inventing and testing fresh ideas over the term.",90,4.8,false
curiosity_innovation::counselor,curiosity_innovation,Curiosity & Innovation,counselor,29,Curiosity & Innovation — counselor action plan,"In today’s session, guide your client to ask one curious question and write down a fresh idea it sparks.",Set a one-week task for your client to note one new idea worth exploring or testing.,"Across a 30-day plan, work with your client to run one small experiment a week to turn curiosity into a real idea.","Across a 90-day plan, guide your client to build a creative habit of inventing and testing fresh ideas over the term.",90,4.8,false
curiosity_innovation::professional,curiosity_innovation,Curiosity & Innovation,professional,29,Curiosity & Innovation — professional action plan,"Before the workday ends, ask one curious question and write down a fresh idea it sparks.","Each workday this week, note one new idea worth exploring or testing.","Over the next 30 days at work, run one small experiment a week to turn curiosity into a real idea.","Over the next quarter at work, build a creative habit of inventing and testing fresh ideas over the term.",90,4.8,false
decision_judgment::student,decision_judgment,Decision-Making & Judgment,student,33,Decision-Making & Judgment — student action plan,"Today, make one small decision, write down why, and commit to it.","Each day this week, note a choice that caused hesitation and how long it took to decide.","Over the next 30 days, build a simple way to weigh options so decisions stop dragging on.","Over the next 90 days, become decisive through a term of timed, committed choices.",90,4.55,false
decision_judgment::parent,decision_judgment,Decision-Making & Judgment,parent,33,Decision-Making & Judgment — parent action plan,"Today, help your child make one small decision, write down why, and commit to it.","Each day this week, help your child note a choice that caused hesitation and how long it took to decide.","Over the next 30 days, help your child build a simple way to weigh options so decisions stop dragging on.","Across this term, help your child become decisive through a term of timed, committed choices.",90,4.55,false
decision_judgment::teacher,decision_judgment,Decision-Making & Judgment,teacher,33,Decision-Making & Judgment — teacher action plan,"In class today, have the student make one small decision, write down why, and commit to it.","Each day this week, have the student note a choice that caused hesitation and how long it took to decide.","Over the next month, coach the student to build a simple way to weigh options so decisions stop dragging on.","Across the term, support the student to become decisive through a term of timed, committed choices.",90,4.55,false
decision_judgment::counselor,decision_judgment,Decision-Making & Judgment,counselor,33,Decision-Making & Judgment — counselor action plan,"In today’s session, guide your client to make one small decision, write down why, and commit to it.",Set a one-week task for your client to note a choice that caused hesitation and how long it took to decide.,"Across a 30-day plan, work with your client to build a simple way to weigh options so decisions stop dragging on.","Across a 90-day plan, guide your client to become decisive through a term of timed, committed choices.",90,4.55,false
decision_judgment::professional,decision_judgment,Decision-Making & Judgment,professional,33,Decision-Making & Judgment — professional action plan,"Before the workday ends, make one small decision, write down why, and commit to it.","Each workday this week, note a choice that caused hesitation and how long it took to decide.","Over the next 30 days at work, build a simple way to weigh options so decisions stop dragging on.","Over the next quarter at work, become decisive through a term of timed, committed choices.",90,4.5,false
emotional_regulation::student,emotional_regulation,Emotional Regulation & Coping,student,37,Emotional Regulation & Coping — student action plan,"Today, pause and name the feeling before reacting the next time a strong mood hits.","Each day this week, note what triggered feeling overwhelmed or upset.","Over the next 30 days, follow a steady wind-down routine on the days emotions run high.","Over the next 90 days, build steadier control of strong emotions through weekly calm-down practice.",90,4.65,false
emotional_regulation::parent,emotional_regulation,Emotional Regulation & Coping,parent,37,Emotional Regulation & Coping — parent action plan,"Today, help your child pause and name the feeling before reacting the next time a strong mood hits.","Each day this week, help your child note what triggered feeling overwhelmed or upset.","Over the next 30 days, help your child follow a steady wind-down routine on the days emotions run high.","Across this term, help your child build steadier control of strong emotions through weekly calm-down practice.",90,4.65,false
emotional_regulation::teacher,emotional_regulation,Emotional Regulation & Coping,teacher,37,Emotional Regulation & Coping — teacher action plan,"In class today, have the student pause and name the feeling before reacting the next time a strong mood hits.","Each day this week, have the student note what triggered feeling overwhelmed or upset.","Over the next month, coach the student to follow a steady wind-down routine on the days emotions run high.","Across the term, support the student to build steadier control of strong emotions through weekly calm-down practice.",90,4.55,false
emotional_regulation::counselor,emotional_regulation,Emotional Regulation & Coping,counselor,37,Emotional Regulation & Coping — counselor action plan,"In today’s session, guide your client to pause and name the feeling before reacting the next time a strong mood hits.",Set a one-week task for your client to note what triggered feeling overwhelmed or upset.,"Across a 30-day plan, work with your client to follow a steady wind-down routine on the days emotions run high.","Across a 90-day plan, guide your client to build steadier control of strong emotions through weekly calm-down practice.",90,4.55,false
emotional_regulation::professional,emotional_regulation,Emotional Regulation & Coping,professional,37,Emotional Regulation & Coping — professional action plan,"Before the workday ends, pause and name the feeling before reacting the next time a strong mood hits.","Each workday this week, note what triggered feeling overwhelmed or upset.","Over the next 30 days at work, follow a steady wind-down routine on the days emotions run high.","Over the next quarter at work, build steadier control of strong emotions through weekly calm-down practice.",90,4.55,false
expectations_pressure::student,expectations_pressure,Expectations & External Pressure,student,41,Expectations & External Pressure — student action plan,"Today, let go of one expectation that belongs to someone else for the day.","Each day this week, note when comparing or chasing approval added pressure.","Over the next 30 days, set realistic personal standards instead of trying to please everyone.","Over the next 90 days, ease the weight of others’ expectations through a term of self-set goals.",90,4.5,false
expectations_pressure::parent,expectations_pressure,Expectations & External Pressure,parent,41,Expectations & External Pressure — parent action plan,"Today, help your child let go of one expectation that belongs to someone else for the day.","Each day this week, help your child note when comparing or chasing approval added pressure.","Over the next 30 days, help your child set realistic personal standards instead of trying to please everyone.","Across this term, help your child ease the weight of others’ expectations through a term of self-set goals.",90,4.5,false
expectations_pressure::teacher,expectations_pressure,Expectations & External Pressure,teacher,41,Expectations & External Pressure — teacher action plan,"In class today, have the student let go of one expectation that belongs to someone else for the day.","Each day this week, have the student note when comparing or chasing approval added pressure.","Over the next month, coach the student to set realistic personal standards instead of trying to please everyone.","Across the term, support the student to ease the weight of others’ expectations through a term of self-set goals.",90,4.4,false
expectations_pressure::counselor,expectations_pressure,Expectations & External Pressure,counselor,41,Expectations & External Pressure — counselor action plan,"In today’s session, guide your client to let go of one expectation that belongs to someone else for the day.",Set a one-week task for your client to note when comparing or chasing approval added pressure.,"Across a 30-day plan, work with your client to set realistic personal standards instead of trying to please everyone.","Across a 90-day plan, guide your client to ease the weight of others’ expectations through a term of self-set goals.",90,4.5,false
expectations_pressure::professional,expectations_pressure,Expectations & External Pressure,professional,41,Expectations & External Pressure — professional action plan,"Before the workday ends, let go of one expectation that belongs to someone else for the day.","Each workday this week, note when comparing or chasing approval added pressure.","Over the next 30 days at work, set realistic personal standards instead of trying to please everyone.","Over the next quarter at work, ease the weight of others’ expectations through a term of self-set goals.",90,4.45,false
focus_attention::student,focus_attention,Focus & Attention Regulation,student,45,Focus & Attention Regulation — student action plan,"Today, put the phone away and finish one task in a single twenty-five-minute focus block.","Each day this week, log what pulled attention away from a task.","Over the next 30 days, follow a routine of distraction-free focus blocks to finish tasks on time.","Over the next 90 days, grow steady concentration through a term of daily focus practice.",90,4.7,false
focus_attention::parent,focus_attention,Focus & Attention Regulation,parent,45,Focus & Attention Regulation — parent action plan,"Today, help your child put the phone away and finish one task in a single twenty-five-minute focus block.","Each day this week, help your child log what pulled attention away from a task.","Over the next 30 days, help your child follow a routine of distraction-free focus blocks to finish tasks on time.","Across this term, help your child grow steady concentration through a term of daily focus practice.",90,4.7,false
focus_attention::teacher,focus_attention,Focus & Attention Regulation,teacher,45,Focus & Attention Regulation — teacher action plan,"In class today, have the student put the phone away and finish one task in a single twenty-five-minute focus block.","Each day this week, have the student log what pulled attention away from a task.","Over the next month, coach the student to follow a routine of distraction-free focus blocks to finish tasks on time.","Across the term, support the student to grow steady concentration through a term of daily focus practice.",90,4.7,false
focus_attention::counselor,focus_attention,Focus & Attention Regulation,counselor,45,Focus & Attention Regulation — counselor action plan,"In today’s session, guide your client to put the phone away and finish one task in a single twenty-five-minute focus block.",Set a one-week task for your client to log what pulled attention away from a task.,"Across a 30-day plan, work with your client to follow a routine of distraction-free focus blocks to finish tasks on time.","Across a 90-day plan, guide your client to grow steady concentration through a term of daily focus practice.",90,4.7,false
focus_attention::professional,focus_attention,Focus & Attention Regulation,professional,45,Focus & Attention Regulation — professional action plan,"Before the workday ends, put the phone away and finish one task in a single twenty-five-minute focus block.","Each workday this week, log what pulled attention away from a task.","Over the next 30 days at work, follow a routine of distraction-free focus blocks to finish tasks on time.","Over the next quarter at work, grow steady concentration through a term of daily focus practice.",90,4.7,false
identity_self_awareness::student,identity_self_awareness,Identity & Self-Awareness,student,49,Identity & Self-Awareness — student action plan,"Today, write down three things that truly matter and why.","Each day this week, note one choice that fit personal values and one that did not.","Over the next 30 days, shape a clearer sense of direction by acting on what matters most each week.","Over the next 90 days, build a steady sense of self and what to stand for over the term.",90,4.4,false
identity_self_awareness::parent,identity_self_awareness,Identity & Self-Awareness,parent,49,Identity & Self-Awareness — parent action plan,"Today, help your child write down three things that truly matter and why.","Each day this week, help your child note one choice that fit personal values and one that did not.","Over the next 30 days, help your child shape a clearer sense of direction by acting on what matters most each week.","Across this term, help your child build a steady sense of self and what to stand for over the term.",90,4.4,false
identity_self_awareness::teacher,identity_self_awareness,Identity & Self-Awareness,teacher,49,Identity & Self-Awareness — teacher action plan,"In class today, have the student write down three things that truly matter and why.","Each day this week, have the student note one choice that fit personal values and one that did not.","Over the next month, coach the student to shape a clearer sense of direction by acting on what matters most each week.","Across the term, support the student to build a steady sense of self and what to stand for over the term.",90,4.45,false
identity_self_awareness::counselor,identity_self_awareness,Identity & Self-Awareness,counselor,49,Identity & Self-Awareness — counselor action plan,"In today’s session, guide your client to write down three things that truly matter and why.",Set a one-week task for your client to note one choice that fit personal values and one that did not.,"Across a 30-day plan, work with your client to shape a clearer sense of direction by acting on what matters most each week.","Across a 90-day plan, guide your client to build a steady sense of self and what to stand for over the term.",90,4.45,false
identity_self_awareness::professional,identity_self_awareness,Identity & Self-Awareness,professional,49,Identity & Self-Awareness — professional action plan,"Before the workday ends, write down three things that truly matter and why.","Each workday this week, note one choice that fit personal values and one that did not.","Over the next 30 days at work, shape a clearer sense of direction by acting on what matters most each week.","Over the next quarter at work, build a steady sense of self and what to stand for over the term.",90,4.35,false
leadership_influence::student,leadership_influence,Leadership & Influence,student,56,Leadership & Influence — student action plan,"Today, volunteer to lead one small task or group decision.","Each day this week, note one moment of guiding the team and one task to delegate.","Over the next 30 days, take charge of a small group project from start to finish.","Over the next 90 days, grow into a confident team leader through steady project responsibility.",90,4.7,false
leadership_influence::parent,leadership_influence,Leadership & Influence,parent,56,Leadership & Influence — parent action plan,"Today, help your child volunteer to lead one small task or group decision.","Each day this week, help your child note one moment of guiding the team and one task to delegate.","Over the next 30 days, help your child take charge of a small group project from start to finish.","Across this term, help your child grow into a confident team leader through steady project responsibility.",90,4.7,false
leadership_influence::teacher,leadership_influence,Leadership & Influence,teacher,56,Leadership & Influence — teacher action plan,"In class today, have the student volunteer to lead one small task or group decision.","Each day this week, have the student note one moment of guiding the team and one task to delegate.","Over the next month, coach the student to take charge of a small group project from start to finish.","Across the term, support the student to grow into a confident team leader through steady project responsibility.",90,4.7,false
leadership_influence::counselor,leadership_influence,Leadership & Influence,counselor,56,Leadership & Influence — counselor action plan,"In today’s session, guide your client to volunteer to lead one small task or group decision.",Set a one-week task for your client to note one moment of guiding the team and one task to delegate.,"Across a 30-day plan, work with your client to take charge of a small group project from start to finish.","Across a 90-day plan, guide your client to grow into a confident team leader through steady project responsibility.",90,4.65,false
leadership_influence::professional,leadership_influence,Leadership & Influence,professional,53,Leadership & Influence — professional action plan,"Before the workday ends, volunteer to lead one small task or group decision.","Each workday this week, note one moment of guiding the team and one task to delegate.","Over the next 30 days at work, take charge of a small group project from start to finish.","Over the next quarter at work, grow into a confident team leader through steady project responsibility.",90,4.65,false
learning_comprehension::student,learning_comprehension,Learning & Comprehension,student,57,Learning & Comprehension — student action plan,"Today, pick one tricky concept and explain it out loud in simple, everyday words.","Each day this week, write a three-line summary of what each study session covered.","Over the next 30 days, follow a routine of reviewing notes within a day to lock in what was studied.","Over the next 90 days, build reliable recall of key concepts through spaced weekly review.",90,4.65,false
learning_comprehension::parent,learning_comprehension,Learning & Comprehension,parent,59,Learning & Comprehension — parent action plan,"Today, help your child pick one tricky concept and explain it out loud in simple, everyday words.","Each day this week, help your child write a three-line summary of what each study session covered.","Over the next 30 days, help your child follow a routine of reviewing notes within a day to lock in what was studied.","Across this term, help your child build reliable recall of key concepts through spaced weekly review.",90,4.65,false
learning_comprehension::teacher,learning_comprehension,Learning & Comprehension,teacher,59,Learning & Comprehension — teacher action plan,"In class today, have the student pick one tricky concept and explain it out loud in simple, everyday words.","Each day this week, have the student write a three-line summary of what each study session covered.","Over the next month, coach the student to follow a routine of reviewing notes within a day to lock in what was studied.","Across the term, support the student to build reliable recall of key concepts through spaced weekly review.",90,4.6,false
learning_comprehension::counselor,learning_comprehension,Learning & Comprehension,counselor,59,Learning & Comprehension — counselor action plan,"In today’s session, guide your client to pick one tricky concept and explain it out loud in simple, everyday words.",Set a one-week task for your client to write a three-line summary of what each study session covered.,"Across a 30-day plan, work with your client to follow a routine of reviewing notes within a day to lock in what was studied.","Across a 90-day plan, guide your client to build reliable recall of key concepts through spaced weekly review.",90,4.55,false
learning_comprehension::professional,learning_comprehension,Learning & Comprehension,professional,59,Learning & Comprehension — professional action plan,"Before the workday ends, pick one tricky concept and explain it out loud in simple, everyday words.","Each workday this week, write a three-line summary of what each study session covered.","Over the next 30 days at work, follow a routine of reviewing notes within a day to lock in what was studied.","Over the next quarter at work, build reliable recall of key concepts through spaced weekly review.",90,4.6,false
motivation_drive::student,motivation_drive,Motivation & Drive,student,61,Motivation & Drive — student action plan,"Today, write down one goal that matters and the first small step toward it.","Each day this week, note what gave a spark of energy or interest and what drained it.","Over the next 30 days, rebuild drive by linking daily effort to one goal worth caring about.","Over the next 90 days, develop steady motivation through a term of small, finished goals.",90,4.6,false
