intent,target_id,target_tag,after_class,resolved_id,tie_count,confidence
"i need help with building confidence in personal preparation style",CONCERN_ACA_175,CONFIDENCE_SELF,drift,CONCERN_THI_2237,1,29
"i need help with problem-solving skills",CONCERN_ACA_1768,THINKING_QUALITY,failure,,1,0
"i struggle with identity confusion",CONCERN_ACA_1822,ACADEMIC_IDENTITY,drift,CONCERN_HOL_781,1,21
"i cannot manage identity confusion",CONCERN_ACA_1822,ACADEMIC_IDENTITY,failure,,1,0
"i need help with identity confusion",CONCERN_ACA_1822,ACADEMIC_IDENTITY,failure,,1,0
"i struggle with fear of the future",CONCERN_ACA_1823,EXAMINATION_STRESS,drift,CONCERN_CAR_256,12,31
"i keep struggling with fear of the future",CONCERN_ACA_1823,EXAMINATION_STRESS,failure,,1,0
"i cannot manage fear of the future",CONCERN_ACA_1823,EXAMINATION_STRESS,failure,,2,0
"i need help with fear of the future",CONCERN_ACA_1823,EXAMINATION_STRESS,failure,,2,0
"i cannot manage financial awareness",CONCERN_ACA_1836,MOTIVATION_VALUES,failure,,1,0
"fear of asking doubts in class",CONCERN_ACA_1863,CONFIDENCE_SELF,drift,CONCERN_MOT_1442,4,52
"i struggle with fear of asking doubts in class",CONCERN_ACA_1863,CONFIDENCE_SELF,drift,CONCERN_MOT_1442,4,44
"i have trouble with fear of asking doubts in class",CONCERN_ACA_1863,CONFIDENCE_SELF,drift,CONCERN_MOT_1442,4,44
"i keep struggling with fear of asking doubts in class",CONCERN_ACA_1863,CONFIDENCE_SELF,drift,CONCERN_MOT_1442,4,39
"i cannot manage fear of asking doubts in class",CONCERN_ACA_1863,CONFIDENCE_SELF,drift,CONCERN_MOT_1442,4,39
"i need help with fear of asking doubts in class",CONCERN_ACA_1863,CONFIDENCE_SELF,drift,CONCERN_MOT_1442,4,39
"i cannot manage confidence during slow progress",CONCERN_ACA_191,CONFIDENCE_SELF,failure,,1,0
"i struggle with academic focus",CONCERN_ACA_1931,ACADEMIC_COGNITIVE,drift,CONCERN_CAR_256,7,36
"i cannot manage academic focus",CONCERN_ACA_1931,ACADEMIC_COGNITIVE,failure,,2,0
"i need help with conceptual understanding",CONCERN_ACA_1932,FOUNDATIONAL_LEARNING,failure,,1,0
"i struggle with retention ability",CONCERN_ACA_1937,ACADEMIC_COGNITIVE,drift,CONCERN_CAR_256,2,29
"i need help with retention ability",CONCERN_ACA_1937,ACADEMIC_COGNITIVE,failure,,4,0
"i keep struggling with communication skills",CONCERN_ACA_1939,COMMUNICATION_EXPRESSION,failure,,3,0
"i cannot manage communication skills",CONCERN_ACA_1939,COMMUNICATION_EXPRESSION,failure,,4,0
"i keep struggling with vocabulary development",CONCERN_ACA_1948,COMMUNICATION_EXPRESSION,drift,CONCERN_CON_967,1,22
"i struggle with writing skills",CONCERN_ACA_1953,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_1650,1,29
"i cannot manage independent thinking",CONCERN_ACA_1959,THINKING_QUALITY,failure,,2,0
"i need help with independent thinking",CONCERN_ACA_1959,THINKING_QUALITY,drift,CONCERN_ACA_2444,1,45
"i struggle with leadership potential",CONCERN_ACA_1967,LEADERSHIP_OWNERSHIP,drift,CONCERN_HOL_781,1,30
"i cannot manage leadership potential",CONCERN_ACA_1967,LEADERSHIP_OWNERSHIP,drift,CONCERN_EMO_740,1,39
"i struggle with academic ownership",CONCERN_ACA_1974,MOTIVATION_VALUES,drift,CONCERN_CAR_256,7,36
"i keep struggling with academic ownership",CONCERN_ACA_1974,MOTIVATION_VALUES,failure,,2,0
"i cannot manage academic ownership",CONCERN_ACA_1974,MOTIVATION_VALUES,failure,,9,0
"i need help with academic ownership",CONCERN_ACA_1974,MOTIVATION_VALUES,failure,,1,0
"i struggle with transitioning between subjects",CONCERN_ACA_1978,LEARNING_ADAPTABILITY,drift,CONCERN_COM_1459,1,39
"i cannot manage structuring revision priorities",CONCERN_ACA_2045,EXAMINATION_READINESS,failure,,3,0
"i need help with structuring revision priorities",CONCERN_ACA_2045,EXAMINATION_READINESS,failure,,3,0
"i struggle with competing academic priorities",CONCERN_ACA_2051,DISCIPLINE_HABITS,failure,,7,0
"i keep struggling with competing academic priorities",CONCERN_ACA_2051,DISCIPLINE_HABITS,failure,,4,0
"i need help with competing academic priorities",CONCERN_ACA_2051,DISCIPLINE_HABITS,drift,CONCERN_CLA_2243,1,35
"i struggle with self-evaluation skills",CONCERN_ACA_2062,SELF_REFLECTION,drift,CONCERN_ACA_1650,1,27
"i need help with understanding examination patterns",CONCERN_ACA_2067,EXAMINATION_READINESS,drift,CONCERN_HEL_2306,1,22
"i struggle with supporting students with weak problem-solving skills",CONCERN_ACA_2122,THINKING_QUALITY,drift,CONCERN_ACA_1650,1,28
"i cannot manage managing students with fear of failure",CONCERN_ACA_2132,CONFIDENCE_SELF,failure,,1,0
"i cannot manage students with poor revision habits",CONCERN_ACA_2156,EXAMINATION_READINESS,drift,CONCERN_DIS_2120,1,28
"i need help with students with poor revision habits",CONCERN_ACA_2156,EXAMINATION_READINESS,drift,CONCERN_SEL_2459,1,32
"i keep struggling with students with weak performance consistency across subjects",CONCERN_ACA_2245,ACADEMIC_PERFORMANCE,drift,CONCERN_LEA_1246,1,10
"i cannot manage students with weak performance consistency across subjects",CONCERN_ACA_2245,ACADEMIC_PERFORMANCE,drift,CONCERN_LEA_1246,1,17
"i need help with students with weak performance consistency across subjects",CONCERN_ACA_2245,ACADEMIC_PERFORMANCE,failure,,7,0
"i struggle with handling students with weak learning confidence in new topics",CONCERN_ACA_2246,CONFIDENCE_SELF,failure,,1,0
"i keep struggling with handling students with weak learning confidence in new topics",CONCERN_ACA_2246,CONFIDENCE_SELF,drift,CONCERN_SOC_1338,2,21
"i cannot manage handling students with weak learning confidence in new topics",CONCERN_ACA_2246,CONFIDENCE_SELF,failure,,1,0
"i need help with handling students with weak learning confidence in new topics",CONCERN_ACA_2246,CONFIDENCE_SELF,failure,,3,0
"i keep struggling with students with weak peer interaction skills",CONCERN_ACA_2293,SOCIAL_EMOTIONAL,drift,CONCERN_DEC_1470,1,26
"i struggle with supporting students with weak academic communication in group activities",CONCERN_ACA_2298,COMMUNICATION_EXPRESSION,failure,,1,0
"i keep struggling with supporting students with weak academic communication in group activities",CONCERN_ACA_2298,COMMUNICATION_EXPRESSION,failure,,1,0
"i cannot manage supporting students with weak academic communication in group activities",CONCERN_ACA_2298,COMMUNICATION_EXPRESSION,drift,CONCERN_DIS_678,1,30
"i need help with supporting students with weak academic communication in group activities",CONCERN_ACA_2298,COMMUNICATION_EXPRESSION,failure,,1,0
"i struggle with adapting to academic changes",CONCERN_ACA_2311,TRANSITION_CHANGE,drift,CONCERN_REF_1543,1,29
"i keep struggling with adapting to academic changes",CONCERN_ACA_2311,TRANSITION_CHANGE,drift,CONCERN_CLA_1443,3,33
"i cannot manage adapting to academic changes",CONCERN_ACA_2311,TRANSITION_CHANGE,drift,CONCERN_EMO_747,1,26
"i cannot manage students panicking during examinations",CONCERN_ACA_2347,THINKING_QUALITY,drift,CONCERN_LEA_1430,1,20
"i keep struggling with making independent career decisions",CONCERN_ACA_242,CONFIDENCE_SELF,drift,CONCERN_INQ_1206,2,24
"i need help with curiosity about future career possibilities",CONCERN_ACA_2432,ACADEMIC_IDENTITY,failure,,1,0
"i cannot manage decision-making confidence during career planning",CONCERN_ACA_2439,ACADEMIC_IDENTITY,failure,,1,0
"i struggle with transitioning from academic identity to professional identity",CONCERN_ACA_2440,ACADEMIC_IDENTITY,drift,CONCERN_HOL_781,1,23
"i keep struggling with managing students with weak confidence in class discussions",CONCERN_ACA_2452,COMMUNICATION_EXPRESSION,drift,CONCERN_LEA_1246,1,16
"i cannot manage managing students with weak confidence in class discussions",CONCERN_ACA_2452,COMMUNICATION_EXPRESSION,drift,CONCERN_MOT_1146,8,17
"i need help with managing students with weak confidence in class discussions",CONCERN_ACA_2452,COMMUNICATION_EXPRESSION,failure,,4,0
"i keep struggling with supporting students with weak academic organization during exams",CONCERN_ACA_2454,DISCIPLINE_HABITS,failure,,1,0
"i cannot manage supporting students with weak academic organization during exams",CONCERN_ACA_2454,DISCIPLINE_HABITS,drift,CONCERN_DIS_678,1,30
"i need help with supporting students with weak academic organization during exams",CONCERN_ACA_2454,DISCIPLINE_HABITS,failure,,1,0
"i cannot manage students with weak academic confidence after comparisons",CONCERN_ACA_2461,CONFIDENCE_SELF,drift,CONCERN_DIS_678,1,24
"i struggle with emotional pressure during stream changes",CONCERN_ACA_249,ADJUSTMENT_COPING,drift,CONCERN_REF_1543,1,23
"i keep struggling with emotional pressure during stream changes",CONCERN_ACA_249,ADJUSTMENT_COPING,failure,,1,0
"i cannot manage building learning confidence after repeated failures",CONCERN_ACA_289,CONFIDENCE_SELF,failure,,1,0
"i need help with building learning confidence after repeated failures",CONCERN_ACA_289,CONFIDENCE_SELF,failure,,2,0
"i struggle with leadership interviews",CONCERN_ACA_490,COMMUNICATION_EXPRESSION,drift,CONCERN_HOL_781,1,34
"i keep struggling with leadership interviews",CONCERN_ACA_490,COMMUNICATION_EXPRESSION,failure,,1,0
"i need help with leadership interviews",CONCERN_ACA_490,COMMUNICATION_EXPRESSION,failure,,1,0
"i struggle with career growth potential",CONCERN_ACA_580,CONFIDENCE_SELF,drift,CONCERN_REF_1543,1,15
"i need help with emotional dependence on workplace validation",CONCERN_ACA_641,CONFIDENCE_SELF,drift,CONCERN_PER_1501,1,29
"i keep struggling with transitioning into strategic leadership roles",CONCERN_ACA_652,LEADERSHIP_READINESS,drift,CONCERN_HOL_861,1,26
"i cannot manage transitioning into strategic leadership roles",CONCERN_ACA_652,LEADERSHIP_READINESS,drift,CONCERN_ACA_490,1,19
"i struggle with leading small responsibilities",CONCERN_ACA_718,LEADERSHIP_OWNERSHIP,failure,,1,0
"i keep struggling with emotional recovery after academic setbacks in college",CONCERN_ACA_74,EXAMINATION_STRESS,drift,CONCERN_INQ_1254,2,29
"i need help with building confidence for higher studies abroad",CONCERN_ACA_81,CAREER_READINESS,failure,,2,0
"i struggle with reflection on communication and relationships",CONCERN_ACC_1639,SOCIAL_REFLECTION,failure,,1,0
"i cannot manage reflection on communication and relationships",CONCERN_ACC_1639,SOCIAL_REFLECTION,drift,CONCERN_EMO_577,1,17
"i cannot manage visibility into student attention stability during classes",CONCERN_ADA_1274,ACADEMIC_COGNITIVE,drift,CONCERN_EMO_1412,1,19
"i cannot manage visibility into student recovery after academic failure",CONCERN_ADA_1300,EMOTIONAL_RECOVERY,drift,CONCERN_LEA_1246,1,30
"i need help with visibility into student recovery after academic failure",CONCERN_ADA_1300,EMOTIONAL_RECOVERY,failure,,1,0
"i cannot manage students lacking ownership and accountability",CONCERN_ADA_1479,LEADERSHIP_ACCOUNTABILITY,failure,,1,0
"i struggle with academic accountability in college",CONCERN_ADJ_12,MOTIVATION_VALUES,failure,,1,0
"i struggle with concept application skills",CONCERN_ADJ_1689,COMPETENCY_DEVELOPMENT,drift,CONCERN_ACA_1650,1,27
"i struggle with discipline",CONCERN_ADJ_1749,DISCIPLINE_HABITS,drift,CONCERN_CAR_256,12,37
"i keep struggling with fear of teachers",CONCERN_ADJ_1794,CONFIDENCE_SELF,failure,,2,0
"i need help with fear of teachers",CONCERN_ADJ_1794,CONFIDENCE_SELF,drift,CONCERN_HEL_2304,1,35
"i struggle with accountability",CONCERN_ADJ_1810,MOTIVATION_VALUES,drift,CONCERN_CAR_256,12,37
"i cannot manage accountability",CONCERN_ADJ_1810,MOTIVATION_VALUES,drift,CONCERN_COM_434,1,40
"i need help with accountability",CONCERN_ADJ_1810,MOTIVATION_VALUES,drift,CONCERN_CON_1777,10,28
"i keep struggling with peer success",CONCERN_ADJ_1848,CONFIDENCE_SELF,failure,,1,0
"i cannot manage peer success",CONCERN_ADJ_1848,CONFIDENCE_SELF,failure,,1,0
"i need help with peer success",CONCERN_ADJ_1848,CONFIDENCE_SELF,failure,,2,0
"i struggle with child struggling to build habits",CONCERN_ADJ_1895,DISCIPLINE_HABITS,drift,CONCERN_CAR_256,1,35
"i struggle with learning persistence",CONCERN_ADJ_1991,MOTIVATION_VALUES,drift,CONCERN_DIS_2131,2,25
"i need help with learning persistence",CONCERN_ADJ_1991,MOTIVATION_VALUES,failure,,1,0
"i need help with adaptability to new teachers",CONCERN_ADJ_2110,LEARNING_ADAPTABILITY,drift,CONCERN_COL_1273,1,30
"i cannot manage supporting students with weak subject integration skills",CONCERN_ADJ_2216,INTERDISCIPLINARY_LEARNING,drift,CONCERN_DIS_678,1,23
"i keep struggling with handling students with weak learning ownership",CONCERN_ADJ_2222,MOTIVATION_VALUES,drift,CONCERN_SOC_1338,2,21
"i cannot manage handling students with weak learning ownership",CONCERN_ADJ_2222,MOTIVATION_VALUES,failure,,1,0
"i need help with handling students with weak learning ownership",CONCERN_ADJ_2222,MOTIVATION_VALUES,failure,,3,0
"i cannot manage building a balanced academic & emotional classroom ecosystem",CONCERN_ADJ_2301,HOLISTIC_DEVELOPMENT,failure,,1,0
"i keep struggling with emotional recovery after peer rejection",CONCERN_ADJ_2320,SOCIAL_EMOTIONAL,drift,CONCERN_INQ_1254,2,29
"i struggle with students struggling to adjust socially",CONCERN_ADJ_2368,ADJUSTMENT_COPING,drift,CONCERN_COM_1459,1,18
"i keep struggling with coping capacity during academic overload",CONCERN_ADJ_2370,ADJUSTMENT_COPING,failure,,1,0
"i need help with coping capacity during academic overload",CONCERN_ADJ_2370,ADJUSTMENT_COPING,failure,,1,0
"i struggle with managing professional responsibilities",CONCERN_ADJ_392,CONFIDENCE_SELF,failure,,2,0
"i keep struggling with managing professional responsibilities",CONCERN_ADJ_392,CONFIDENCE_SELF,failure,,2,0
"i cannot manage managing professional responsibilities",CONCERN_ADJ_392,CONFIDENCE_SELF,drift,CONCERN_MOT_694,2,16
"i need help with managing professional responsibilities",CONCERN_ADJ_392,CONFIDENCE_SELF,failure,,1,0
"i struggle with emotional self-awareness",CONCERN_ASP_1505,EMOTIONAL_LITERACY,drift,CONCERN_SOC_2334,4,24
"i need help with fear of taking responsibility",CONCERN_CAP_1422,MATURITY_DEVELOPMENT,failure,,1,0
"i cannot manage confidence during skill assessment processes",CONCERN_CAR_1017,COMPETENCY_DEVELOPMENT,failure,,1,0
"i need help with confidence during skill assessment processes",CONCERN_CAR_1017,COMPETENCY_DEVELOPMENT,failure,,1,0
"i need help with emotional recovery after failed career transitions",CONCERN_CAR_1041,EMOTIONAL_RECOVERY,drift,CONCERN_CON_2225,1,30
"i cannot manage emotional stress during performance evaluations",CONCERN_CAR_1065,EMOTIONAL_REGULATION,drift,CONCERN_LEA_1430,1,26
"i need help with emotional stress during performance evaluations",CONCERN_CAR_1065,EMOTIONAL_REGULATION,drift,CONCERN_HEL_2306,1,36
"i cannot manage adjusting to hostel life",CONCERN_CAR_11,ADJUSTMENT_COPING,drift,CONCERN_EMP_29,1,23
"i cannot manage emotional exhaustion from workplace uncertainty",CONCERN_CAR_1115,WORKPLACE_ADAPTATION,drift,CONCERN_CAR_713,1,23
"i cannot manage emotional stress from unclear expectations",CONCERN_CAR_1141,WORKPLACE_ADAPTATION,failure,,1,0
"i cannot manage holistic visibility into student success ecosystems",CONCERN_CAR_1306,HOLISTIC_DEVELOPMENT,drift,CONCERN_LEA_1246,1,29
"i need help with holistic visibility into student success ecosystems",CONCERN_CAR_1306,HOLISTIC_DEVELOPMENT,failure,,1,0
"i struggle with leadership and teamwork readiness",CONCERN_CAR_1329,LEADERSHIP_OWNERSHIP,drift,CONCERN_HOL_781,1,25
"i struggle with communication impacting career opportunities",CONCERN_CAR_1392,EMPLOYABILITY_DEVELOPMENT,failure,,1,0
"i cannot manage communication impacting career opportunities",CONCERN_CAR_1392,EMPLOYABILITY_DEVELOPMENT,failure,,1,0
"i need help with communication impacting career opportunities",CONCERN_CAR_1392,EMPLOYABILITY_DEVELOPMENT,failure,,1,0
"i struggle with fear of choosing the wrong career",CONCERN_CAR_205,EXAMINATION_STRESS,drift,CONCERN_CAR_1384,2,40
"i have trouble with fear of choosing the wrong career",CONCERN_CAR_205,EXAMINATION_STRESS,drift,CONCERN_CAR_1384,2,40
"i keep struggling with fear of choosing the wrong career",CONCERN_CAR_205,EXAMINATION_STRESS,drift,CONCERN_CAR_1384,2,36
"i cannot manage fear of choosing the wrong career",CONCERN_CAR_205,EXAMINATION_STRESS,drift,CONCERN_CAR_1384,2,36
"i need help with fear of choosing the wrong career",CONCERN_CAR_205,EXAMINATION_STRESS,drift,CONCERN_CAR_1384,2,36
"i struggle with career decision-making confidence",CONCERN_CAR_212,THINKING_QUALITY,drift,CONCERN_CAR_256,2,40
"i keep struggling with career decision-making confidence",CONCERN_CAR_212,THINKING_QUALITY,failure,,2,0
"i cannot manage understanding of industry expectations",CONCERN_CAR_244,EMPLOYABILITY,drift,CONCERN_EMO_664,1,26
"i struggle with building confidence after career decision mistakes",CONCERN_CAR_251,EMOTIONAL_RECOVERY,drift,CONCERN_CAR_256,1,45
"i keep struggling with building confidence after career decision mistakes",CONCERN_CAR_251,EMOTIONAL_RECOVERY,drift,CONCERN_CAR_256,1,47
"i cannot manage building confidence after career decision mistakes",CONCERN_CAR_251,EMOTIONAL_RECOVERY,drift,CONCERN_ACA_451,1,27
"i need help with building confidence after career decision mistakes",CONCERN_CAR_251,EMOTIONAL_RECOVERY,failure,,2,0
"i need help with build career confidence after academic struggles",CONCERN_CAR_256,CONFIDENCE_SELF,failure,,2,0
"i struggle with adaptability during internships",CONCERN_CAR_26,EMPLOYABILITY,drift,CONCERN_REF_1543,1,33
"i struggle with skill progress effectively",CONCERN_CAR_275,SELF_REFLECTION,drift,CONCERN_ACA_1650,1,25
"i cannot manage skill progress effectively",CONCERN_CAR_275,SELF_REFLECTION,drift,CONCERN_ACA_315,1,30
"i struggle with ownership of skill development",CONCERN_CAR_32,EMPLOYABILITY,failure,,1,0
"i keep struggling with ownership of skill development",CONCERN_CAR_32,EMPLOYABILITY,drift,CONCERN_CON_632,1,21
"i need help with ownership of skill development",CONCERN_CAR_32,EMPLOYABILITY,failure,,1,0
"i struggle with placement interviews",CONCERN_CAR_362,COMMUNICATION_EXPRESSION,drift,CONCERN_CAR_256,3,31
"i cannot manage placement interviews",CONCERN_CAR_362,COMMUNICATION_EXPRESSION,failure,,2,0
"i need help with placement interviews",CONCERN_CAR_362,COMMUNICATION_EXPRESSION,failure,,1,0
"i struggle with placement rejection emotionally",CONCERN_CAR_365,EMOTIONAL_RECOVERY,drift,CONCERN_EMP_1053,1,27
"i keep struggling with networking confidence during career events",CONCERN_CAR_374,SOCIAL_EMOTIONAL,drift,CONCERN_INC_1484,1,33
"i struggle with workplace collaboration",CONCERN_CAR_380,COLLABORATION_OWNERSHIP,drift,CONCERN_CAR_256,3,29
"i keep struggling with workplace collaboration",CONCERN_CAR_380,COLLABORATION_OWNERSHIP,drift,CONCERN_FEE_1450,1,31
"i cannot manage workplace collaboration",CONCERN_CAR_380,COLLABORATION_OWNERSHIP,failure,,2,0
"i need help with workplace collaboration",CONCERN_CAR_380,COLLABORATION_OWNERSHIP,failure,,1,0
"i struggle with workplace networking",CONCERN_CAR_390,SOCIAL_EMOTIONAL,drift,CONCERN_CAR_256,3,29
"i keep struggling with workplace networking",CONCERN_CAR_390,SOCIAL_EMOTIONAL,drift,CONCERN_INC_1484,1,40
"i need help with workplace networking",CONCERN_CAR_390,SOCIAL_EMOTIONAL,failure,,1,0
"i struggle with peer comparison in college",CONCERN_CAR_41,CONFIDENCE_SELF,failure,,1,0
"i cannot manage motivation during slow career progression",CONCERN_CAR_437,MOTIVATION_VALUES,failure,,1,0
"i struggle with workplace politics emotionally",CONCERN_CAR_443,EMOTIONAL_REGULATION,drift,CONCERN_EMP_1053,1,25
"i struggle with long-term anxiety about career success",CONCERN_CAR_459,EMOTIONAL_REGULATION,drift,CONCERN_EMP_1053,1,28
"i keep struggling with transitioning into new industries",CONCERN_CAR_465,CAREER_TRANSITION,failure,,1,0
"i cannot manage transitioning into new industries",CONCERN_CAR_465,CAREER_TRANSITION,failure,,1,0
"i need help with transitioning into new industries",CONCERN_CAR_465,CAREER_TRANSITION,failure,,1,0
"i struggle with career transition uncertainty",CONCERN_CAR_493,EMOTIONAL_REGULATION,drift,CONCERN_REF_1543,1,25
"i keep struggling with career transition uncertainty",CONCERN_CAR_493,EMOTIONAL_REGULATION,drift,CONCERN_REF_1543,1,16
"i struggle with leadership interactions",CONCERN_CAR_566,COMMUNICATION_EXPRESSION,drift,CONCERN_HOL_781,1,33
"i keep struggling with leadership interactions",CONCERN_CAR_566,COMMUNICATION_EXPRESSION,drift,CONCERN_DEC_1470,1,27
"i need help with leadership interactions",CONCERN_CAR_566,COMMUNICATION_EXPRESSION,failure,,1,0
"i struggle with emotional reactions to workplace change",CONCERN_CAR_593,WORKPLACE_ADAPTATION,drift,CONCERN_REF_1543,1,16
"i struggle with employability confidence",CONCERN_CAR_6,EMPLOYABILITY,drift,CONCERN_CAR_256,2,39
"i keep struggling with employability confidence",CONCERN_CAR_6,EMPLOYABILITY,failure,,6,0
"i cannot manage employability confidence",CONCERN_CAR_6,EMPLOYABILITY,failure,,11,0
"i need help with employability confidence",CONCERN_CAR_6,EMPLOYABILITY,failure,,1,0
"i keep struggling with aptitude test performance",CONCERN_CAR_68,EMPLOYABILITY,drift,CONCERN_CON_1322,1,23
"i struggle with building confidence in workplace decision-making",CONCERN_CAR_87,EMPLOYABILITY,drift,CONCERN_CAR_256,1,39
"i struggle with adaptation to changing academic expectations",CONCERN_CLA_1443,ADAPTABILITY_GUIDANCE,drift,CONCERN_REF_1543,1,25
"i struggle with working in teams",CONCERN_CLA_1669,SOCIAL_EMOTIONAL,drift,CONCERN_CAR_256,3,30
"i keep struggling with working in teams",CONCERN_CLA_1669,SOCIAL_EMOTIONAL,drift,CONCERN_FEE_1450,2,10
"i cannot manage working in teams",CONCERN_CLA_1669,SOCIAL_EMOTIONAL,drift,CONCERN_EMO_747,1,21
"i need help with working in teams",CONCERN_CLA_1669,SOCIAL_EMOTIONAL,failure,,1,0
"i struggle with organizational skills",CONCERN_CLA_1677,DISCIPLINE_HABITS,drift,CONCERN_ACA_1650,1,33
"i keep struggling with organizational skills",CONCERN_CLA_1677,DISCIPLINE_HABITS,failure,,2,0
"i cannot manage organizational skills",CONCERN_CLA_1677,DISCIPLINE_HABITS,failure,,2,0
"i need help with organizational skills",CONCERN_CLA_1677,DISCIPLINE_HABITS,failure,,1,0
"i struggle with academic planning skills",CONCERN_CLA_1706,ACADEMIC_PLANNING,drift,CONCERN_ACA_1650,1,27
"i cannot manage academic planning skills",CONCERN_CLA_1706,ACADEMIC_PLANNING,failure,,2,0
"i need help with academic planning skills",CONCERN_CLA_1706,ACADEMIC_PLANNING,failure,,1,0
"i struggle with collaboration skills",CONCERN_CLA_1956,SOCIAL_EMOTIONAL,drift,CONCERN_ACA_1650,1,33
"i keep struggling with collaboration skills",CONCERN_CLA_1956,SOCIAL_EMOTIONAL,failure,,1,0
"i cannot manage collaboration skills",CONCERN_CLA_1956,SOCIAL_EMOTIONAL,failure,,2,0
"i need help with collaboration skills",CONCERN_CLA_1956,SOCIAL_EMOTIONAL,failure,,1,0
"i keep struggling with supporting students with weak learning discipline",CONCERN_CLA_2130,DISCIPLINE_HABITS,drift,CONCERN_SOC_1338,2,21
"i cannot manage supporting students with weak learning discipline",CONCERN_CLA_2130,DISCIPLINE_HABITS,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak learning discipline",CONCERN_CLA_2130,DISCIPLINE_HABITS,failure,,1,0
"i struggle with building student ownership of learning",CONCERN_CLA_2154,MOTIVATION_VALUES,failure,,1,0
"i keep struggling with building student ownership of learning",CONCERN_CLA_2154,MOTIVATION_VALUES,failure,,1,0
"i cannot manage building student ownership of learning",CONCERN_CLA_2154,MOTIVATION_VALUES,failure,,2,0
