intent,target_id,target_label,before_class,resolved_id,confidence,short_intent
"i cannot manage leading small responsibilities",CONCERN_ACA_718,"Leading Small Responsibilities",failure,CONCERN_ACA_718,34,false
"i need help with leading small responsibilities",CONCERN_ACA_718,"Leading Small Responsibilities",failure,CONCERN_ACA_718,32,false
"i keep struggling with building confidence for higher studies abroad",CONCERN_ACA_81,"Building Confidence for Higher Studies Abroad",failure,CONCERN_ACA_81,29,false
"i cannot manage building confidence for higher studies abroad",CONCERN_ACA_81,"Building Confidence for Higher Studies Abroad",failure,CONCERN_ACA_81,30,false
"i struggle with discipline",CONCERN_ADJ_1749,"Discipline",failure,CONCERN_CAR_256,37,true
"i have trouble with discipline",CONCERN_ADJ_1749,"Discipline",failure,CONCERN_ADJ_1749,31,true
"i cannot manage fear of teachers",CONCERN_ADJ_1794,"Fear of Teachers",failure,CONCERN_ADJ_1794,29,false
"i struggle with accountability",CONCERN_ADJ_1810,"Accountability",failure,CONCERN_CAR_256,37,true
"i have trouble with accountability",CONCERN_ADJ_1810,"Accountability",failure,CONCERN_ADJ_1810,31,true
"i keep struggling with accountability",CONCERN_ADJ_1810,"Accountability",failure,CONCERN_ADJ_1810,24,true
"i need help with accountability",CONCERN_ADJ_1810,"Accountability",failure,CONCERN_CON_1777,28,true
"i keep struggling with excessive perfectionism",CONCERN_ADJ_1817,"Excessive Perfectionism",failure,CONCERN_ADJ_1817,34,false
"i cannot manage excessive perfectionism",CONCERN_ADJ_1817,"Excessive Perfectionism",failure,CONCERN_ADJ_1817,34,false
"i need help with excessive perfectionism",CONCERN_ADJ_1817,"Excessive Perfectionism",failure,CONCERN_ADJ_1817,34,false
"i keep struggling with learning persistence",CONCERN_ADJ_1991,"Learning Persistence",failure,CONCERN_ADJ_1991,29,false
"i cannot manage learning persistence",CONCERN_ADJ_1991,"Learning Persistence",failure,CONCERN_ADJ_1991,29,false
"i have trouble with managing professional responsibilities",CONCERN_ADJ_392,"Managing Professional Responsibilities",failure,CONCERN_ADJ_392,26,false
"i keep struggling with virtual interviews",CONCERN_ADJ_484,"Virtual Interviews",failure,CONCERN_ADJ_484,34,false
"i cannot manage virtual interviews",CONCERN_ADJ_484,"Virtual Interviews",failure,CONCERN_ADJ_484,34,false
"i need help with virtual interviews",CONCERN_ADJ_484,"Virtual Interviews",failure,CONCERN_ADJ_484,34,false
"i struggle with internship and exposure opportunities",CONCERN_ALT_1386,"internship and exposure opportunities",failure,CONCERN_ALT_1386,34,false
"i have trouble with internship and exposure opportunities",CONCERN_ALT_1386,"internship and exposure opportunities",failure,CONCERN_ALT_1386,34,false
"i keep struggling with internship and exposure opportunities",CONCERN_ALT_1386,"internship and exposure opportunities",failure,CONCERN_ALT_1386,30,false
"i cannot manage internship and exposure opportunities",CONCERN_ALT_1386,"internship and exposure opportunities",failure,CONCERN_ALT_1386,30,false
"i need help with internship and exposure opportunities",CONCERN_ALT_1386,"internship and exposure opportunities",failure,CONCERN_ALT_1386,30,false
"i keep struggling with emotional self-awareness",CONCERN_ASP_1505,"emotional self-awareness",failure,CONCERN_ASP_1505,30,false
"i cannot manage emotional self-awareness",CONCERN_ASP_1505,"emotional self-awareness",failure,CONCERN_ASP_1505,30,false
"i need help with emotional self-awareness",CONCERN_ASP_1505,"emotional self-awareness",failure,CONCERN_ASP_1505,30,false
"i keep struggling with aptitude-career alignment",CONCERN_CAR_1389,"aptitude-career alignment",failure,CONCERN_CAR_1389,50,false
"i cannot manage aptitude-career alignment",CONCERN_CAR_1389,"aptitude-career alignment",failure,CONCERN_CAR_1389,49,false
"i need help with aptitude-career alignment",CONCERN_CAR_1389,"aptitude-career alignment",failure,CONCERN_CAR_1389,38,false
"i keep struggling with communication impacting career opportunities",CONCERN_CAR_1392,"communication impacting career opportunities",failure,CONCERN_CAR_1392,27,false
"i keep struggling with academic backlogs",CONCERN_CAR_15,"Academic Backlogs",failure,CONCERN_CAR_15,42,false
"i cannot manage academic backlogs",CONCERN_CAR_15,"Academic Backlogs",failure,CONCERN_CAR_15,40,false
"i need help with academic backlogs",CONCERN_CAR_15,"Academic Backlogs",failure,CONCERN_CAR_15,40,false
"i keep struggling with awareness about emerging career possibilities",CONCERN_CAR_1566,"awareness about emerging career possibilities",failure,CONCERN_CAR_1566,31,false
"i cannot manage awareness about emerging career possibilities",CONCERN_CAR_1566,"awareness about emerging career possibilities",failure,CONCERN_CAR_1566,31,false
"i need help with awareness about emerging career possibilities",CONCERN_CAR_1566,"awareness about emerging career possibilities",failure,CONCERN_CAR_1566,31,false
"i keep struggling with placement interviews",CONCERN_CAR_362,"Placement Interviews",failure,CONCERN_CAR_362,31,false
"i cannot manage workplace networking",CONCERN_CAR_390,"Workplace Networking",failure,CONCERN_CAR_390,29,false
"i keep struggling with executive-level communication",CONCERN_CAR_502,"Executive-Level Communication",failure,CONCERN_CAR_502,40,false
"i cannot manage executive-level communication",CONCERN_CAR_502,"Executive-Level Communication",failure,CONCERN_CAR_502,38,false
"i need help with executive-level communication",CONCERN_CAR_502,"Executive-Level Communication",failure,CONCERN_CAR_502,39,false
"i cannot manage leadership interactions",CONCERN_CAR_566,"Leadership Interactions",failure,CONCERN_CAR_566,28,false
"i keep struggling with classroom preparedness",CONCERN_CLA_2009,"Classroom Preparedness",failure,CONCERN_CLA_2009,41,false
"i cannot manage classroom preparedness",CONCERN_CLA_2009,"Classroom Preparedness",failure,CONCERN_CLA_2009,41,false
"i need help with classroom preparedness",CONCERN_CLA_2009,"Classroom Preparedness",failure,CONCERN_CLA_2009,41,false
"i keep struggling with self-doubt during leadership opportunities",CONCERN_COL_1075,"Self-Doubt During Leadership Opportunities",failure,CONCERN_COL_1075,28,false
"i cannot manage self-doubt during leadership opportunities",CONCERN_COL_1075,"Self-Doubt During Leadership Opportunities",failure,CONCERN_COL_1075,28,false
"i need help with self-doubt during leadership opportunities",CONCERN_COL_1075,"Self-Doubt During Leadership Opportunities",failure,CONCERN_COL_1075,28,false
"i keep struggling with exam composure",CONCERN_COL_2049,"Exam Composure",failure,CONCERN_COL_2049,42,false
"i cannot manage exam composure",CONCERN_COL_2049,"Exam Composure",failure,CONCERN_COL_2049,40,false
"i need help with exam composure",CONCERN_COL_2049,"Exam Composure",failure,CONCERN_COL_2049,38,false
"i have trouble with handling strategic responsibilities",CONCERN_COL_610,"Handling Strategic Responsibilities",failure,CONCERN_COL_610,29,false
"i keep struggling with reading comprehension",CONCERN_COM_1656,"Reading Comprehension",failure,CONCERN_COM_1656,34,false
"i cannot manage reading comprehension",CONCERN_COM_1656,"Reading Comprehension",failure,CONCERN_COM_1656,34,false
"i need help with reading comprehension",CONCERN_COM_1656,"Reading Comprehension",failure,CONCERN_COM_1656,34,false
"i keep struggling with homework independently",CONCERN_COM_1658,"Homework Independently",failure,CONCERN_COM_1658,38,false
"i need help with homework independently",CONCERN_COM_1658,"Homework Independently",failure,CONCERN_COM_1658,36,false
"i keep struggling with multiple subjects",CONCERN_COM_1684,"Multiple Subjects",failure,CONCERN_COM_1684,30,false
"i need help with multiple subjects",CONCERN_COM_1684,"Multiple Subjects",failure,CONCERN_COM_1684,30,false
"i keep struggling with self-learning confidence",CONCERN_COM_1692,"Self-Learning Confidence",failure,CONCERN_COM_1692,31,false
"i cannot manage self-learning confidence",CONCERN_COM_1692,"Self-Learning Confidence",failure,CONCERN_COM_1692,31,false
"i need help with self-learning confidence",CONCERN_COM_1692,"Self-Learning Confidence",failure,CONCERN_COM_1692,31,false
"i keep struggling with anxiety & overthinking",CONCERN_COM_1742,"Anxiety & Overthinking",failure,CONCERN_COM_1742,31,false
"i cannot manage anxiety & overthinking",CONCERN_COM_1742,"Anxiety & Overthinking",failure,CONCERN_COM_1742,31,false
"i need help with anxiety & overthinking",CONCERN_COM_1742,"Anxiety & Overthinking",failure,CONCERN_COM_1742,31,false
"i keep struggling with conversational skills",CONCERN_COM_1786,"Conversational Skills",failure,CONCERN_COM_1786,41,false
"i cannot manage conversational skills",CONCERN_COM_1786,"Conversational Skills",failure,CONCERN_COM_1786,39,false
"i need help with conversational skills",CONCERN_COM_1786,"Conversational Skills",failure,CONCERN_COM_1786,37,false
"i keep struggling with expressing emotions",CONCERN_COM_1800,"Expressing Emotions",failure,CONCERN_COM_1800,44,false
"i cannot manage expressing emotions",CONCERN_COM_1800,"Expressing Emotions",failure,CONCERN_COM_1800,42,false
"i need help with expressing emotions",CONCERN_COM_1800,"Expressing Emotions",failure,CONCERN_COM_1800,43,false
"i need help with time management",CONCERN_COM_1801,"Time Management",failure,CONCERN_DIS_1659,31,false
"i keep struggling with english communication",CONCERN_COM_1949,"English Communication",failure,CONCERN_COM_1949,33,false
"i cannot manage english communication",CONCERN_COM_1949,"English Communication",failure,CONCERN_COM_1949,33,false
"i need help with english communication",CONCERN_COM_1949,"English Communication",failure,CONCERN_COM_1949,33,false
"i keep struggling with mathematical reasoning",CONCERN_COM_1950,"Mathematical Reasoning",failure,CONCERN_ACA_1698,35,false
"i cannot manage mathematical reasoning",CONCERN_COM_1950,"Mathematical Reasoning",failure,CONCERN_ACA_1698,35,false
"i need help with mathematical reasoning",CONCERN_COM_1950,"Mathematical Reasoning",failure,CONCERN_ACA_1698,35,false
"i keep struggling with presentation skills",CONCERN_COM_1954,"Presentation Skills",failure,CONCERN_COM_1954,29,false
"i cannot manage presentation skills",CONCERN_COM_1954,"Presentation Skills",failure,CONCERN_COM_1954,29,false
"i keep struggling with classroom participation",CONCERN_COM_1955,"Classroom Participation",failure,CONCERN_COM_1955,32,false
"i cannot manage classroom participation",CONCERN_COM_1955,"Classroom Participation",failure,CONCERN_COM_1955,32,false
"i need help with classroom participation",CONCERN_COM_1955,"Classroom Participation",failure,CONCERN_COM_1955,32,false
"i keep struggling with exam strategy",CONCERN_COM_1961,"Exam Strategy",failure,CONCERN_COM_1961,31,false
"i cannot manage exam strategy",CONCERN_COM_1961,"Exam Strategy",failure,CONCERN_COM_1961,31,false
"i keep struggling with semester pressure",CONCERN_COM_23,"Semester Pressure",failure,CONCERN_COM_23,30,false
"i cannot manage semester pressure",CONCERN_COM_23,"Semester Pressure",failure,CONCERN_COM_23,30,false
"i need help with semester pressure",CONCERN_COM_23,"Semester Pressure",failure,CONCERN_COM_23,30,false
"i keep struggling with technical assessments",CONCERN_COM_370,"Technical Assessments",failure,CONCERN_COM_370,32,false
"i cannot manage technical assessments",CONCERN_COM_370,"Technical Assessments",failure,CONCERN_COM_370,32,false
"i keep struggling with manage workplace priorities without supervision",CONCERN_COM_434,"Manage Workplace Priorities Without Supervision",failure,CONCERN_COM_434,28,false
"i need help with manage workplace priorities without supervision",CONCERN_COM_434,"Manage Workplace Priorities Without Supervision",failure,CONCERN_COM_434,28,false
"i have trouble with career reinvention possibilities",CONCERN_COM_500,"Career Reinvention Possibilities",failure,CONCERN_COM_500,28,false
"i keep struggling with career reinvention possibilities",CONCERN_COM_500,"Career Reinvention Possibilities",failure,CONCERN_COM_500,24,false
"i cannot manage career reinvention possibilities",CONCERN_COM_500,"Career Reinvention Possibilities",failure,CONCERN_COM_500,24,false
"i keep struggling with emotional pressure from financial responsibilities",CONCERN_COM_527,"Emotional Pressure from Financial Responsibilities",failure,CONCERN_COM_527,28,false
"i need help with emotional pressure from financial responsibilities",CONCERN_COM_527,"Emotional Pressure from Financial Responsibilities",failure,CONCERN_COM_527,28,false
"i keep struggling with balancing strategic and operational responsibilities",CONCERN_COM_587,"Balancing Strategic and Operational Responsibilities",failure,CONCERN_COM_587,31,false
"i need help with balancing strategic and operational responsibilities",CONCERN_COM_587,"Balancing Strategic and Operational Responsibilities",failure,CONCERN_COM_587,31,false
"i have trouble with managing larger responsibilities",CONCERN_COM_596,"Managing Larger Responsibilities",failure,CONCERN_COM_596,30,false
"i keep struggling with managing larger responsibilities",CONCERN_COM_596,"Managing Larger Responsibilities",failure,CONCERN_COM_596,27,false
"i cannot manage managing larger responsibilities",CONCERN_COM_596,"Managing Larger Responsibilities",failure,CONCERN_COM_596,27,false
"i need help with managing larger responsibilities",CONCERN_COM_596,"Managing Larger Responsibilities",failure,CONCERN_COM_596,27,false
"i cannot manage understand workplace priorities strategically",CONCERN_COM_686,"Understand Workplace Priorities Strategically",failure,CONCERN_COM_686,31,false
"i need help with understand workplace priorities strategically",CONCERN_COM_686,"Understand Workplace Priorities Strategically",failure,CONCERN_COM_686,35,false
"i keep struggling with internship readiness",CONCERN_COM_8,"Internship Readiness",failure,CONCERN_COM_8,31,false
"i cannot manage internship readiness",CONCERN_COM_8,"Internship Readiness",failure,CONCERN_COM_8,31,false
"i need help with internship readiness",CONCERN_COM_8,"Internship Readiness",failure,CONCERN_COM_8,31,false
"i keep struggling with identify high-potential transition opportunities",CONCERN_COM_998,"Identify High-Potential Transition Opportunities",failure,CONCERN_COM_998,42,false
"i cannot manage identify high-potential transition opportunities",CONCERN_COM_998,"Identify High-Potential Transition Opportunities",failure,CONCERN_COM_998,43,false
"i need help with identify high-potential transition opportunities",CONCERN_COM_998,"Identify High-Potential Transition Opportunities",failure,CONCERN_COM_998,43,false
"i keep struggling with negotiating career growth opportunities",CONCERN_CON_1084,"Negotiating Career Growth Opportunities",failure,CONCERN_CON_1084,38,false
"i cannot manage negotiating career growth opportunities",CONCERN_CON_1084,"Negotiating Career Growth Opportunities",failure,CONCERN_CON_1084,36,false
"i need help with negotiating career growth opportunities",CONCERN_CON_1084,"Negotiating Career Growth Opportunities",failure,CONCERN_CON_1084,38,false
"i keep struggling with uncertainty about results",CONCERN_CON_113,"Uncertainty About Results",failure,CONCERN_CON_113,41,false
"i cannot manage uncertainty about results",CONCERN_CON_113,"Uncertainty About Results",failure,CONCERN_CON_113,32,false
"i keep struggling with feedback from teachers",CONCERN_CON_1693,"Feedback from Teachers",failure,CONCERN_CON_1693,31,false
"i cannot manage feedback from teachers",CONCERN_CON_1693,"Feedback from Teachers",failure,CONCERN_CON_1693,31,false
"i have trouble with confidence",CONCERN_CON_1735,"Confidence",failure,CONCERN_CON_1735,27,true
"i keep struggling with career confusion",CONCERN_CON_1736,"Career Confusion",failure,CONCERN_CON_1736,27,false
"i keep struggling with burnout symptoms",CONCERN_CON_1754,"Burnout Symptoms",failure,CONCERN_CON_1754,33,false
"i cannot manage burnout symptoms",CONCERN_CON_1754,"Burnout Symptoms",failure,CONCERN_CON_1754,33,false
"i need help with burnout symptoms",CONCERN_CON_1754,"Burnout Symptoms",failure,CONCERN_CON_1754,33,false
"i keep struggling with emotional shutdown",CONCERN_CON_1759,"Emotional Shutdown",failure,CONCERN_CON_1759,30,false
"i cannot manage emotional shutdown",CONCERN_CON_1759,"Emotional Shutdown",failure,CONCERN_CON_1759,30,false
"i need help with emotional shutdown",CONCERN_CON_1759,"Emotional Shutdown",failure,CONCERN_CON_1759,30,false
"i struggle with curiosity",CONCERN_CON_1795,"Curiosity",failure,CONCERN_CAR_256,37,true
"i have trouble with curiosity",CONCERN_CON_1795,"Curiosity",failure,CONCERN_CON_1795,31,true
"i cannot manage curiosity",CONCERN_CON_1795,"Curiosity",failure,CONCERN_COM_1801,25,true
"i need help with curiosity",CONCERN_CON_1795,"Curiosity",failure,CONCERN_CON_1777,28,true
"i keep struggling with learned helplessness",CONCERN_CON_1812,"Learned Helplessness",failure,CONCERN_CON_1812,40,false
"i cannot manage learned helplessness",CONCERN_CON_1812,"Learned Helplessness",failure,CONCERN_CON_1812,38,false
"i keep struggling with excessive self-criticism",CONCERN_CON_1843,"Excessive Self-Criticism",failure,CONCERN_CON_1843,44,false
"i cannot manage excessive self-criticism",CONCERN_CON_1843,"Excessive Self-Criticism",failure,CONCERN_CON_1843,39,false
"i need help with excessive self-criticism",CONCERN_CON_1843,"Excessive Self-Criticism",failure,CONCERN_CON_1843,44,false
"i keep struggling with listening skills",CONCERN_CON_1864,"Listening Skills",failure,CONCERN_CON_1864,31,false
"i cannot manage listening skills",CONCERN_CON_1864,"Listening Skills",failure,CONCERN_CON_1864,31,false
"i need help with listening skills",CONCERN_CON_1864,"Listening Skills",failure,CONCERN_CON_1864,31,false
"i need help with time management",CONCERN_CON_1942,"Time Management",failure,CONCERN_DIS_1659,31,false
"i keep struggling with competitive awareness",CONCERN_CON_2003,"Competitive Awareness",failure,CONCERN_CON_2003,43,false
"i cannot manage competitive awareness",CONCERN_CON_2003,"Competitive Awareness",failure,CONCERN_CON_2003,41,false
"i need help with competitive awareness",CONCERN_CON_2003,"Competitive Awareness",failure,CONCERN_CON_2003,38,false
"i keep struggling with interdisciplinary questions",CONCERN_CON_2039,"Interdisciplinary Questions",failure,CONCERN_CON_2039,37,false
"i cannot manage interdisciplinary questions",CONCERN_CON_2039,"Interdisciplinary Questions",failure,CONCERN_CON_2039,44,false
"i need help with interdisciplinary questions",CONCERN_CON_2039,"Interdisciplinary Questions",failure,CONCERN_CON_2039,35,false
"i keep struggling with awareness of workplace ethics and boundaries",CONCERN_CON_412,"Awareness of Workplace Ethics and Boundaries",failure,CONCERN_CON_412,37,false
"i cannot manage awareness of workplace ethics and boundaries",CONCERN_CON_412,"Awareness of Workplace Ethics and Boundaries",failure,CONCERN_CON_412,37,false
"i need help with awareness of workplace ethics and boundaries",CONCERN_CON_412,"Awareness of Workplace Ethics and Boundaries",failure,CONCERN_CON_412,37,false
"i have trouble with understanding professional boundaries",CONCERN_CON_439,"Understanding Professional Boundaries",failure,CONCERN_CON_439,27,false
"i cannot manage networking confidence for job opportunities",CONCERN_CON_472,"Networking Confidence for Job Opportunities",failure,CONCERN_CON_472,28,false
"i need help with networking confidence for job opportunities",CONCERN_CON_472,"Networking Confidence for Job Opportunities",failure,CONCERN_CON_472,28,false
"i keep struggling with awareness of emerging career opportunities",CONCERN_CON_516,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i cannot manage awareness of emerging career opportunities",CONCERN_CON_516,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i need help with awareness of emerging career opportunities",CONCERN_CON_516,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i keep struggling with awareness of corporate etiquette and boundaries",CONCERN_CON_674,"Awareness of Corporate Etiquette and Boundaries",failure,CONCERN_CON_674,39,false
"i cannot manage awareness of corporate etiquette and boundaries",CONCERN_CON_674,"Awareness of Corporate Etiquette and Boundaries",failure,CONCERN_CON_674,39,false
"i need help with awareness of corporate etiquette and boundaries",CONCERN_CON_674,"Awareness of Corporate Etiquette and Boundaries",failure,CONCERN_CON_674,39,false
"i keep struggling with transitioning into adulthood responsibilities",CONCERN_DIG_1434,"transitioning into adulthood responsibilities",failure,CONCERN_DIG_1434,44,false
"i cannot manage transitioning into adulthood responsibilities",CONCERN_DIG_1434,"transitioning into adulthood responsibilities",failure,CONCERN_DIG_1434,37,false
