concern_id,concern_name,concern_category,classification,confidence,label_polarity,verdict,reason
CONCERN_LIF_338,Applying Skills Without Validation,Validation Dependency in Skill Application,Capability,0.7,positive,Correct,capability + positive label
CONCERN_MOT_2124,Managing Students with Exam Anxiety,Exam Anxiety Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_LEA_843,Emotional Disconnection from Work Meaning,Leadership Meaning Crisis,Capability,0.7,neutral,Questionable,capability but label neutral
CONCERN_MOT_2464,Managing Students with Weak Understanding of Exam Expectations,Exam Expectation Misunderstanding,Capability,0.55,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_COG_1592,awareness about effective revision methods,Revision Inefficiency,Capability,0.55,positive,Correct,capability + positive label
CONCERN_REF_1543,adaptability during life transitions,Adaptability Limitation,Capability,0.7,positive,Correct,capability + positive label
CONCERN_MOT_1828,Hyper-Competitive Mindset,Excessive Competition,Capability,0.55,neutral,Questionable,capability but label neutral
CONCERN_DIS_1659,Time Management,Time Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_THI_331,Focus on Long-Term Competency Goals,Competency Goal Drift,Capability,0.7,positive,Correct,capability + positive label
CONCERN_ACA_1664,Revising Effectively,Revision Effectiveness,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_ACA_1698,Mathematical Reasoning,Mathematical Reasoning,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_REC_1550,curiosity about self-development,Growth Apathy,Capability,0.55,positive,Correct,capability + positive label
CONCERN_CON_1693,Feedback from Teachers,Feedback Adaptability,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_FOU_1797,Independent Thinking,Dependent Thinking,Capability,0.92,positive,Correct,capability + positive label
CONCERN_FUT_1612,adaptability to different teaching styles,Adaptability Limitation,Capability,0.7,positive,Correct,capability + positive label
CONCERN_PER_1495,ethical leadership orientation,Ethical Drift,Capability,0.55,positive,Correct,capability + positive label
CONCERN_DIS_1660,Study Discipline,Study Discipline,Capability,0.92,positive,Correct,capability + positive label
CONCERN_EXA_2139,Student Comparison Culture,Comparison Culture Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_THI_1652,Academic Confidence,Confidence & Self-Belief,Capability,0.7,positive,Correct,capability + positive label
CONCERN_THI_1691,Listening Skills in Classroom,Listening Skills,Capability,0.92,positive,Correct,capability + positive label
CONCERN_INT_1723,Curiosity in STEM Learning,STEM Curiosity,Capability,0.92,positive,Correct,capability + positive label
CONCERN_LEA_1419,adaptability to changing expectations,Adaptability Challenges,Capability,0.7,positive,Correct,capability + positive label
CONCERN_ACA_1726,Numerical Fluency,Numerical Fluency,Capability,0.92,positive,Correct,capability + positive label
CONCERN_SEL_2166,Encouraging Deep Learning Over Memorization,Memorization Dependency Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_EXA_1755,Resilience,Low Resilience,Capability,0.92,positive,Correct,capability + positive label
CONCERN_ACA_1708,Maintain Revision Schedules,Revision Discipline,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_ACA_1699,Understanding Science Concepts,Scientific Understanding,Capability,0.92,positive,Correct,capability + positive label
CONCERN_COM_1692,Self-Learning Confidence,Self-Learning Confidence,Capability,0.92,positive,Correct,capability + positive label
CONCERN_ANA_1720,Understanding Abstract Concepts,Abstract Thinking,Capability,0.92,positive,Correct,capability + positive label
CONCERN_ACA_1348,concentration during classes,Attention Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_LEA_1673,Digital Learning Discipline,Digital Discipline,Capability,0.92,positive,Correct,capability + positive label
CONCERN_EMO_732,Build Ownership Beyond Assigned Tasks,Limited Ownership Mindset,Capability,0.92,positive,Correct,capability + positive label
CONCERN_EXA_1666,Exam Preparation Strategy,Exam Planning,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_MOT_1681,Critical Thinking Skills,Critical Thinking,Capability,0.92,positive,Correct,capability + positive label
CONCERN_DIS_1680,Curiosity Towards Learning,Learning Curiosity,Capability,0.92,positive,Correct,capability + positive label
CONCERN_MOT_1963,Academic Persistence,Low Persistence,Capability,0.92,positive,Correct,capability + positive label
CONCERN_ACA_1651,Analytical Thinking,Critical Thinking,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_INT_2158,Emotionally Reactive Students,Emotional Reactivity Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_COG_1370,adaptation to online or blended learning,Adaptability Challenge,Capability,0.7,neutral,Questionable,capability but label neutral
CONCERN_COM_2170,Student Anxiety During Result Seasons,Result Anxiety Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_EXA_1696,Academic Direction and Goal Clarity,Academic Direction,Capability,0.55,positive,Correct,capability + positive label
CONCERN_IDE_1508,curiosity about self-growth,Growth Apathy,Capability,0.55,positive,Correct,capability + positive label
CONCERN_SEL_1620,confidence despite strong capability,Confidence Distortion,Capability,0.7,positive,Correct,capability + positive label
CONCERN_CON_307,Curiosity During Long Learning Cycles,Curiosity Decline During Learning,Capability,0.7,positive,Correct,capability + positive label
CONCERN_EXA_2028,Subject-Wise Confidence Balance,Uneven Subject Confidence,Capability,0.92,positive,Correct,capability + positive label
CONCERN_ADJ_1689,Concept Application Skills,Concept Application,Capability,0.55,positive,Correct,capability + positive label
CONCERN_EXA_1683,Presentation Skills,Presentation Ability,Capability,0.55,positive,Correct,capability + positive label
CONCERN_SOC_1555,clarity about future personal identity,Future Identity Blur,Capability,0.55,positive,Correct,capability + positive label
CONCERN_FOU_1711,Diagrammatic Representation Skills,Diagrammatic Expression,Capability,0.92,positive,Correct,capability + positive label
CONCERN_ANA_1719,Verbal Reasoning Skills,Verbal Reasoning,Capability,0.92,positive,Correct,capability + positive label
CONCERN_CAR_1399,awareness about vocational careers,Vocational Bias,Capability,0.55,positive,Correct,capability + positive label
CONCERN_DIS_2162,Students with Low Academic Confidence in STEM,STEM Anxiety Management,Capability,0.92,positive,Correct,capability + positive label
CONCERN_STU_1373,balancing academics and extracurriculars,Balance Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_SOC_2143,Digitally Distracted Students,Digital Distraction Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_SOC_1694,Consistency in Homework Completion,Homework Discipline,Capability,0.92,positive,Correct,capability + positive label
CONCERN_ACA_2132,Managing Students with Fear of Failure,Failure Anxiety Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,Foundational Deficit Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_ACA_1721,Interpretation Skills,Interpretation Ability,Capability,0.55,positive,Correct,capability + positive label
CONCERN_ACA_1657,Writing Skills,Written Communication,Capability,0.92,positive,Correct,capability + positive label
CONCERN_MOT_1679,Prioritizing Tasks,Prioritization Skills,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_STU_1367,confidence during viva and presentations,Confidence Barrier,Capability,0.7,positive,Correct,capability + positive label
CONCERN_SOC_1670,Leadership Initiative,Leadership Potential,Capability,0.7,positive,Correct,capability + positive label
CONCERN_DIS_1695,Academic Expectations,Expectation Management,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_THI_2275,Students with Weak Academic Curiosity in Higher Grades,Curiosity Decline in Senior Grades,Capability,0.7,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_CON_1654,Expressing Answers Verbally,Verbal Communication,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_COM_1718,Aptitude in Quantitative Reasoning,Quantitative Aptitude,Capability,0.55,neutral,Questionable,capability but label neutral
CONCERN_EMO_1472,initiative-taking behavior,Passive Leadership Style,Capability,0.7,neutral,Questionable,capability but label neutral
CONCERN_COL_2148,Managing Students with Low Learning Persistence,Persistence Weakness Management,Capability,0.92,positive,Correct,capability + positive label
CONCERN_CON_2145,Student Stress Before Exams,Pre-Exam Stress Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_COM_1655,Communication Skills,Communication Ability,Capability,0.7,positive,Correct,capability + positive label
CONCERN_CLA_1669,Working in Teams,Team Collaboration,Capability,0.92,neutral,Questionable,capability but label neutral
CONCERN_FOU_2136,Managing Students with Emotional Instability,Emotional Instability Management,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_SEL_1595,self-confidence despite competency,Confidence Distortion,Capability,0.7,positive,Correct,capability + positive label
CONCERN_HOL_1347,Declining academic performance despite effort,Learning Effectiveness,Capability,0.92,negative,Incorrect,capability but label reads negative (likely Problem)
CONCERN_THI_193,Emotional Isolation from Friends & Family,Competitive Isolation Stress,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_SOC_1880,Healthy Friendships,Unhealthy Social Connections,Problem,0.4,positive,Questionable,problem but label reads positive
CONCERN_THI_2138,Supporting Students During Academic Burnout,Burnout Management Difficulty,Problem,0.92,negative,Correct,problem + negative label
CONCERN_EXA_199,Sustaining Hope During Long Competitive Journeys,Hope Sustainability Weakness,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_STR_1560,Career interests changing frequently,Aspirational Instability,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_COM_2004,Focus During Long Exams,Long-Exam Attention Deficit,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_LEA_1043,Balancing Immediate Survival Needs with Long-Term Reinvention,Survival-vs-Growth Conflict,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_SEL_1551,Identity confusion during adolescence,Identity Instability,Problem,0.92,negative,Correct,problem + negative label
CONCERN_ACA_175,Building Confidence in Personal Preparation Style,Preparation Style Insecurity,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_MOT_1040,Adapt Personal Branding Across Professional Ecosystems,Cross-Ecosystem Branding Weakness,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_EMP_69,Building Consistent Coding Discipline,Coding Consistency Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_ADA_1420,balance academics and personal life,Balance Deficit,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_ACC_1639,reflection on communication and relationships,Social Awareness Gap,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_DIS_2473,Study Motivation,Study Motivation Instability,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_WOR_985,Balancing Existing Responsibilities with Career Reinvention,Reinvention Overload,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_EXA_1856,Gratitude,Gratitude Deficit,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_LIF_426,Build Professional Credibility Early,Early Credibility Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_COM_2203,Supporting Students with Poor Academic Self-Belief,Academic Self-Belief Weakness,Problem,0.92,negative,Correct,problem + negative label
CONCERN_COL_768,Build Leadership Presence,Leadership Presence Deficit,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_ACA_347,Building Confidence Across Multiple Competency Areas,Cross-Competency Confidence Imbalance,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_ACA_2156,Students with Poor Revision Habits,Revision Discipline Deficit,Problem,0.92,negative,Correct,problem + negative label
CONCERN_COM_225,Conflicting Career Advice,Conflicting Guidance Stress,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_ACA_2430,Balancing Passion and Practical Career Choices,Passion-Practicality Conflict,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_CAR_235,Social Comparison in Career Choices,Career Comparison Stress,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_COM_2453,Helping Students Sustain Focus During Long Lectures,Lecture Attention Instability,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_LEA_604,Handling Workplace Uncertainty,Workplace Uncertainty Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_CAR_71,Building Emotional Independence from Peer Success,Peer Success Comparison Anxiety,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EMO_532,Awareness of Role-Industry Fitment,Role-Industry Misalignment,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EMO_1106,Build Long-Term Professional Confidence,Professional Confidence Instability,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_FIN_449,Emotional Balance During Career Uncertainty,Career Uncertainty Emotional Instability,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_ACA_326,Balance Depth and Breadth in Learning,Depth-Breadth Imbalance,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_GRO_1529,Confusion about long-term personal trajectory,Direction Ambiguity,Problem,0.92,negative,Correct,problem + negative label
CONCERN_CON_300,Long-Term Ownership of Personal Development,Personal Growth Ownership Deficit,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_STR_803,Emotional Isolation in Leadership Roles,Leadership Isolation Anxiety,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EXA_2465,Helping Students Build Sustainable Academic Habits,Sustainable Discipline Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_COM_415,Understanding Corporate Hierarchies and Dynamics,Corporate Hierarchy Awareness Gap,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EMO_1248,Measure Institutional Applied Learning Effectiveness,Applied Competency Visibility Deficit,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_FOU_2167,Supporting Students with Weak Academic Recovery Skills,Academic Recovery Weakness,Problem,0.92,negative,Correct,problem + negative label
CONCERN_ASS_1272,Measure Student Participation Equity,Participation Equity Blindness,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_LEA_849,Emotional Stress from Organizational Accountability,Organizational Accountability Stress,Problem,0.92,negative,Correct,problem + negative label
CONCERN_COM_2047,Adapting to Different Teaching Styles,Teaching Adaptation Difficulty,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_LON_1467,self-confidence during public speaking,Confidence Deficit,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_ADA_1300,Visibility into Student Recovery After Academic Failure,Recovery Visibility Deficit,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_DIS_2010,Follow-Through on Academic Commitments,Commitment Instability,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_STR_1486,authority and responsibility together,Authority Imbalance,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_ACA_1377,career clarity after Class 10/12,Career Ambiguity,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EXA_1915,Child Showing Reduced Tolerance for Frustration,Frustration Intolerance,Problem,0.92,negative,Correct,problem + negative label
CONCERN_CON_549,Stress During Background Verification Processes,Background Verification Anxiety,Problem,0.92,negative,Correct,problem + negative label
CONCERN_EMO_676,Participating During Meetings,Meeting Participation Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_EXA_1760,Purpose & Direction,Identity Confusion,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_CAR_523,Emotional Uncertainty During Career Pivots,Career Pivot Emotional Instability,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_SOC_1418,initiative and proactive behaviour,Initiative Deficiency,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_SOC_874,Leading Through Organizational Uncertainty,Uncertainty Leadership Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_WOR_1007,Emotional Conflict Between Passion and Stability,Passion-Stability Conflict,Problem,0.92,negative,Correct,problem + negative label
CONCERN_ACA_471,Age-Based Hiring Competition,Age Competitiveness Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_EXA_108,Retention of Previously Learned Concepts,Retention Instability,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_EMO_890,Driving Enterprise-Wide Strategic Alignment,Enterprise Alignment Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_CAR_759,Sustaining Emotional Stability During Workplace Uncertainty,Workplace Instability Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_THI_2250,Supporting Students with Weak Question Interpretation Skills,Question Interpretation Weakness,Problem,0.92,negative,Correct,problem + negative label
CONCERN_FOU_2102,Accuracy in Objective-Type Exams,Objective Accuracy Deficit,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_CON_143,Consistent Mock Test Discipline,Mock Test Inconsistency,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_LIF_774,Influencing Senior Stakeholders,Senior Stakeholder Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_INT_2037,Retaining Formula-Based Concepts,Formula Retention Difficulty,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_COM_2188,Supporting Students with Weak Diagrammatic Understanding,Diagrammatic Interpretation Weakness,Problem,0.92,negative,Correct,problem + negative label
CONCERN_MOT_272,Transfer Skills Across Domains,Skill Transferability Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_CAR_217,Anxiety About Future Stability,Future Stability Anxiety,Problem,0.92,negative,Correct,problem + negative label
CONCERN_CAR_374,Networking Confidence During Career Events,Networking Interaction Anxiety,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_ACA_2432,Curiosity About Future Career Possibilities,Career Curiosity Deficit,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_MOT_2399,Students Losing Interest After Initial Enthusiasm,Motivation Drop-Off,Problem,0.4,negative,Correct,problem + negative label
CONCERN_MOT_190,Filter Useful Resources from Noise,Resource Filtering Weakness,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_CON_1791,Over-Scheduling & Lack of Rest,Schedule Overload,Problem,0.92,negative,Correct,problem + negative label
CONCERN_LEA_2059,Simultaneous Exam Preparation,Multi-Exam Overload,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_HAB_1629,Comparing personal progress unfairly with peers,Comparison Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_EXA_2476,Fast-Paced Teaching,Fast-Paced Learning Difficulty,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_SEL_1498,identify personal interests,Interest Ambiguity,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_EMO_564,Prioritize Competing Responsibilities,Task Prioritization Weakness,Problem,0.92,positive,Questionable,problem but label reads positive
CONCERN_DIS_2403,Daily Academic Planning Habits,Daily Planning Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_CLA_1956,Collaboration Skills,Teamwork Deficit,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_STR_922,Build Cross-Business Strategic Alignment,Cross-Business Alignment Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EMP_31,Building Long-Term Career Vision,Long-Term Career Ambiguity,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_COM_725,Understanding Unwritten Workplace Expectations,Unwritten Rule Confusion,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_DIS_163,Emotional Pressure from Social Media Toppers,Topper Comparison Anxiety,Problem,0.92,negative,Correct,problem + negative label
CONCERN_DIS_2093,Curiosity in Practical Learning,Practical Curiosity Deficit,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_MAT_1423,long-term personal vision,Directionless Growth,Problem,0.4,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_MOT_2474,Adaptability to Academic Changes,Academic Adaptability Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EMP_526,Showcase Adaptability During Interviews,Adaptability Communication Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_FUT_1402,Students lacking portfolio and profile development,Profile Weakness,Problem,0.92,negative,Correct,problem + negative label
CONCERN_EXA_2463,Supporting Students with Weak Academic Initiative,Academic Initiative Deficit,Problem,0.92,negative,Correct,problem + negative label
CONCERN_ACA_1108,Managing Difficult Professional Conversations,Difficult Conversation Anxiety,Problem,0.92,negative,Correct,problem + negative label
CONCERN_MOT_978,Handling New Workplace Expectations,New Industry Expectation Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_BEH_1534,clarity about intrinsic motivations,Motivation Disconnect,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_STR_854,Reinventing Leadership Identity Mid-Career,Leadership Reinvention Anxiety,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_LIF_1882,Child Obsessing Over Appearance,Appearance Obsession,Problem,0.4,neutral,Questionable,"problem but label neutral, weak category signal"
CONCERN_CAR_202,Stream Selection Decisions,Stream Decision Anxiety,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_EMO_1536,understanding of emotional triggers,Emotional Trigger Blindness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EXA_2195,Helping Students Handle Time-Bound Assessments,Time-Bound Assessment Difficulty,Problem,0.92,neutral,Correct,neutral label but strong problem category suffix
CONCERN_ACA_730,Build Strategic Workplace Relationships,Strategic Relationship Weakness,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_SEL_2150,Supporting Students with Weak Real-World Application Skills,Real-World Application Gap,Problem,0.92,negative,Correct,problem + negative label
CONCERN_SKI_262,Consistency in Daily Skill Practice,Skill Practice Inconsistency,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_EMO_397,Understanding Employer Expectations Beyond Academics,Employer Expectation Awareness Gap,Problem,0.92,positive,Incorrect,positive capability-framed label (capability gap)
CONCERN_CON_960,"Holistic Integration of Strategy, Leadership, Organizational Influence, and Wellbeing",Enterprise Leadership Fragmentation,Behavior,0.92,positive,Correct,action-pattern term present
CONCERN_ACA_1763,Exam Panic Attacks,Panic Reactivity,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_BEH_1449,emotional control during feedback,Feedback Resistance,Behavior,0.92,neutral,Correct,action-pattern term present
CONCERN_ACA_1761,Homework Avoidance,Task Avoidance,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_CAP_1422,Fear of taking responsibility,Responsibility Avoidance,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_ACA_1366,Digital addiction reducing study efficiency,Digital Distraction,Behavior,0.92,neutral,Correct,action-pattern term present
CONCERN_CON_2118,Managing Students Who Avoid Asking Doubts,Doubt Avoidance,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_ACA_1793,Refusal to Attend School,School Avoidance,Behavior,0.92,neutral,Correct,action-pattern term present
CONCERN_SEL_1452,Avoidance of challenging tasks,Challenge Avoidance,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_CON_1107,Focus During Digital Distractions,Digital Attention Fragmentation,Behavior,0.92,positive,Correct,action-pattern term present
CONCERN_MOT_1811,Child Avoiding Challenges,Challenge Avoidance,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_PRO_1635,Fear of self-reflection due to insecurity,Reflection Avoidance,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_SOC_2386,Students Avoiding Leadership Roles in Group Work,Leadership Avoidance,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_CAR_1346,"Holistic Integration of Employability, Emotional Stability, Career Direction, and Workplace Readiness",Career Readiness Ecosystem Fragmentation,Behavior,0.92,positive,Correct,action-pattern term present
CONCERN_ACA_1280,"Holistic Integration Between Curriculum Delivery, Learning Quality, Engagement, and Competency Outcomes",Academic Delivery Ecosystem Fragmentation,Behavior,0.92,positive,Correct,action-pattern term present
CONCERN_COM_1787,Child Becoming Too Introverted,Social Withdrawal,Behavior,0.92,neutral,Correct,action-pattern term present
CONCERN_EXA_1748,Social Isolation,Social Withdrawal,Behavior,0.92,neutral,Correct,action-pattern term present
CONCERN_EXA_1845,Conflict Resolution Skills,Conflict Avoidance,Behavior,0.92,neutral,Correct,action-pattern term present
CONCERN_DEC_1470,confidence in peer interactions,Social Hesitation,Behavior,0.92,positive,Correct,action-pattern term present
CONCERN_SOC_2321,Child Overthinking Academic Outcomes Constantly,Academic Overthinking,Behavior,0.92,negative,Correct,action-pattern term present
CONCERN_ACA_1439,Excessive procrastination before exams,Avoidance Behavior,Behavior,0.7,negative,Correct,action-pattern term present
CONCERN_ADJ_2327,Child Avoiding Difficult Subjects Repeatedly,Subject Avoidance Behavior,Behavior,0.7,negative,Correct,action-pattern term present
CONCERN_SEL_1540,Underestimating capabilities due to comparison,Inferiority Conditioning,Behavior,0.55,positive,Correct,action-pattern term present
CONCERN_COG_1532,self-confidence despite capability,Confidence Suppression,Behavior,0.92,positive,Correct,action-pattern term present
