tag,n,exact_pct,near_pct,drift_pct,fail_pct,avg_tie,avg_conf
PERSONALITY_ALIGNMENT,6,100,0,0,0,1,73
IDENTITY_REFLECTION,6,100,0,0,0,1,71
WORKPLACE_FIT,6,100,0,0,0,1,73
EMOTIONAL_RESILIENCE,6,16.7,0,83.3,0,1.8,53
LEARNING_SKILLS,6,100,0,0,0,1,67
ADAPTABILITY_GUIDANCE,6,100,0,0,0,2.8,72
STUDY_STRATEGY,6,100,0,0,0,1,71
LEARNING_PSYCHOLOGY,6,100,0,0,0,1.2,72
GROWTH_REFLECTION,6,100,0,0,0,1.3,71
EMPLOYABILITY_ACADEMIC,6,66.7,0,33.3,0,1.5,59
INTERVENTION_INTELLIGENCE,6,100,0,0,0,1,72
TRANSITION_ADAPTATION,6,100,0,0,0,1,74
CONFIDENCE_DEVELOPMENT,6,100,0,0,0,1,67
OWNERSHIP_ACCOUNTABILITY,6,50,0,16.7,33.3,2.2,63
PERSONAL_LEADERSHIP,6,100,0,0,0,1,71
LEADERSHIP_RECOVERY,6,100,0,0,0,1,71
SKILL_DEVELOPMENT,6,100,0,0,0,1,71
GROWTH_ACCOUNTABILITY,6,0,0,100,0,3,57
SOCIAL_LEADERSHIP,6,33.3,0,66.7,0,2.3,55
ASPIRATIONAL_CLARITY,6,100,0,0,0,1,72
LIFE_READINESS,6,50,0,0,50,1.2,62
COLLEGE_ADAPTATION,6,100,0,0,0,1,71
ACADEMIC_EQUITY,6,100,0,0,0,1,72
STAKEHOLDER_ALIGNMENT,6,100,0,0,0,1,72
INNOVATION_ENTREPRENEURSHIP,6,83.3,0,16.7,0,1.2,66
SOCIAL_DEVELOPMENT,6,100,0,0,0,1.5,69
INTELLECTUAL_GROWTH,6,100,0,0,0,1,67
DIGITAL_RESPONSIBILITY,6,100,0,0,0,1,71
SELF_AWARENESS,6,100,0,0,0,1,67
PERSONAL_BRANDING,6,100,0,0,0,1,67
PERSONALITY_EXPLORATION,6,100,0,0,0,1,67
TALENT_DISCOVERY,6,100,0,0,0,1,67
PURPOSE_DISCOVERY,6,100,0,0,0,1.8,67
COGNITIVE_MAPPING,6,100,0,0,0,1,71
EMOTIONAL_SELF,6,100,0,0,0,1.2,67
POTENTIAL_DISCOVERY,6,100,0,0,0,1,67
PERFORMANCE_REFLECTION,6,100,0,0,0,1,71
FUTURE_LEARNING,6,100,0,0,0,1,71
REFLECTIVE_LEARNING,6,100,0,0,0,1,71
BEHAVIORAL_GROWTH,6,100,0,0,0,1,72
ACCOUNTABILITY_REFLECTION,6,100,0,0,0,1,67
PLACEMENT_RISK,6,100,0,0,0,1,73
CAREER_COMPETITION,6,100,0,0,0,3,71
LIFESTYLE_ADJUSTMENT,6,100,0,0,0,1,68
COGNITIVE_DEVELOPMENT,6,100,0,0,0,2,67
CAREER_FLEXIBILITY,6,100,0,0,0,1.2,72
LEADERSHIP_INFLUENCE,6,100,0,0,0,1,72
STUDENT_RECOVERY,6,100,0,0,0,1.2,72
TEAM_MANAGEMENT,6,100,0,0,0,1,68
PERSONAL_DECISION,6,0,0,66.7,33.3,9.2,57
COGNITIVE_AWARENESS,6,100,0,0,0,1,71
ADAPTIVE_DIAGNOSTICS,6,50,0,50,0,3,67
SOCIAL_LEARNING,6,33.3,0,0,66.7,6.2,59
CAREER_PSYCHOLOGY,6,100,0,0,0,1,72
GROWTH_MINDSET,6,0,0,66.7,33.3,8.8,49
DECISION_INDEPENDENCE,6,100,0,0,0,1,71
GENERAL_CONCERN,6,100,0,0,0,1,64
COGNITIVE_EMOTIONAL,6,100,0,0,0,1,71
HABIT_DEVELOPMENT,6,100,0,0,0,1.2,67
PERSONAL_GROWTH,6,83.3,0,16.7,0,1.2,68
PERSEVERANCE_COACHING,6,100,0,0,0,1,67
LEARNING_BEHAVIOR,6,100,0,0,0,1.8,69
LIFESTYLE_ADAPTATION,6,100,0,0,0,1,71
VALUES_EXPLORATION,6,100,0,0,0,1,67
SELF_PROGRESS,6,100,0,0,0,1,71
SELF_EVALUATION,6,100,0,0,0,1,67
BALANCED_REFLECTION,6,100,0,0,0,1,71
ACADEMIC_COUNSELLING,6,100,0,0,0,1,72
COGNITIVE_SELF,6,100,0,0,0,1,67
METACOGNITION_SELF,6,100,0,0,0,1,72
ASPIRATIONAL_DEVELOPMENT,6,16.7,0,83.3,0,2.8,58
GROWTH_ORIENTATION,6,50,0,0,50,2.2,70
PERSONAL_POSITIONING,6,100,0,0,0,1,71
PROFESSIONAL_LEADERSHIP,6,100,0,0,0,1,73
COMMUNICATION_LEADERSHIP,6,100,0,0,0,1,72
COMPETITIVE_ADAPTATION,6,100,0,0,0,1,71
ACADEMIC_DECISION,6,100,0,0,0,1,71
CAREER_ACADEMIC,6,0,0,100,0,5.7,56
INSTRUCTIONAL_QUALITY,6,100,0,0,0,1,70
STUDENT_WELLBEING,6,100,0,0,0,1,71
PERFORMANCE_ANALYSIS,6,0,0,100,0,2,61
EXAM_READINESS,6,83.3,0,16.7,0,1.2,69
ADAPTABILITY_COACHING,6,0,0,100,0,3,52
PERFORMANCE_RESILIENCE,6,16.7,0,83.3,0,3.7,50
ACADEMIC_BEHAVIOR,6,0,0,83.3,16.7,22.7,42
COMMUNICATION_BEHAVIOR,6,100,0,0,0,1,71
STUDENT_LEADERSHIP,6,0,0,100,0,1,56
TEAM_LEADERSHIP,6,83.3,0,16.7,0,1.2,65
LEADERSHIP_ENDURANCE,6,83.3,0,16.7,0,1.2,70
ADAPTIVE_LEADERSHIP,6,50,0,50,0,1.7,66
INCLUSIVE_LEADERSHIP,6,100,0,0,0,1,71
ENTREPRENEURIAL_LEADERSHIP,6,100,0,0,0,1,67
LEARNING_AWARENESS,6,100,0,0,0,1,67
METACOGNITIVE_DEVELOPMENT,6,16.7,0,83.3,0,4.3,53
SELF_MOTIVATION,6,100,0,0,0,1,71
LEARNING_OPTIMIZATION,6,100,0,0,0,1,71
EXPLORATORY_LEARNING,6,50,0,0,50,1,70
TEAM_LEARNING,6,100,0,0,0,1,71
GROWTH_PERSISTENCE,6,0,0,100,0,3.2,57
DIGITAL_LEARNING,6,66.7,0,33.3,0,3,60
DECISION_COACHING,6,66.7,0,33.3,0,1.5,60
LEARNING_MINDSET,6,50,0,0,50,1.3,70
CAREER_REFLECTION,6,0,0,100,0,2,58
COGNITIVE_REFLECTION,6,100,0,0,0,1,73
CLASSROOM_ADAPTATION,6,0,100,0,0,4,63
EMOTIONAL_IDENTITY,6,100,0,0,0,1,71
SELF_OBSERVATION,6,100,0,0,0,2,67
CAREER_TIMELINE,6,100,0,0,0,1,72
SUBJECT_ANXIETY,6,100,0,0,0,1,67
FUTURE_WORKFORCE,6,83.3,0,16.7,0,1.2,65
GROWTH_MENTORING,6,100,0,0,0,1,71
CHARACTER_DEVELOPMENT,6,100,0,0,0,1,71
EMOTIONAL_WELLBEING,6,0,0,100,0,3.3,43
STUDENT_REGULATION,6,100,0,0,0,1,73
PSYCHOLOGICAL_ADAPTATION,6,0,0,50,50,13.7,46
LEADERSHIP_DYNAMICS,6,100,0,0,0,1,74
VALUES_BASED,6,100,0,0,0,1,67
IDENTITY_CONFIDENCE,6,100,0,0,0,1,71
ADAPTIVE_DEVELOPMENT,6,16.7,0,83.3,0,3,52
BEHAVIORAL_AWARENESS,6,0,100,0,0,2,57
SELF_MANAGEMENT,6,100,0,0,0,1,73
RECOVERY_CAPABILITY,6,16.7,0,83.3,0,4,58
GOAL_ALIGNMENT,6,100,0,0,0,1,67
CAREER_RISK,6,100,0,0,0,1,72
COGNITIVE_WELLNESS,6,83.3,0,16.7,0,1.2,65
EMOTIONAL_LEARNING,6,100,0,0,0,1,71
SELF_REGULATION,6,100,0,0,0,1,72
SELF_ACCEPTANCE,6,100,0,0,0,1,67
GROWTH_RECOGNITION,6,100,0,0,0,1,71
GROWTH_MEASUREMENT,6,100,0,0,0,1,66
SOCIAL_CAPABILITY,6,100,0,0,0,1,68
EMOTIONAL_RESPONSE,6,100,0,0,0,2,71
LIFESTYLE_CAREER,6,50,0,0,50,1,62
RESPONSIBILITY_DEVELOPMENT,6,100,0,0,0,1,67
IDENTITY_EXPRESSION,6,100,0,0,0,1,72
SELF_GROWTH,6,50,0,0,50,1.2,70
ADAPTIVE_GROWTH,6,100,0,0,0,1,74
PURPOSE_REFLECTION,6,100,0,0,0,1,72
BEHAVIORAL_REGULATION,6,100,0,0,0,1,72
CAREER_MAPPING,6,50,0,50,0,1.5,64
PRODUCTIVITY_COACHING,6,0,0,33.3,66.7,37.8,50
GROWTH_BEHAVIOR,6,100,0,0,0,1,67
BEHAVIOR_CORRECTION,6,100,0,0,0,1,71
EXECUTIVE_COMMUNICATION,6,0,0,100,0,2,55
BEHAVIORAL_REFLECTION,6,16.7,0,83.3,0,3.5,42
IDENTITY_INTEGRATION,6,100,0,0,0,1,71
GROWTH_MAPPING,6,16.7,0,83.3,0,1.8,44
SELF_WORTH,6,50,0,0,50,1.2,62
ACCOUNTABILITY_DEVELOPMENT,6,0,0,100,0,3,57
PERSONAL_SUSTAINABILITY,6,0,0,100,0,3.8,50
PERSONAL_IDENTITY,6,0,0,100,0,2,56
SELF_DIAGNOSTIC,6,100,0,0,0,1,67
ATTENTION_REFLECTION,6,100,0,0,0,1,67
GROWTH_TRACKING,6,100,0,0,0,1,67
MOTIVATION_PSYCHOLOGY,6,83.3,0,16.7,0,1.2,69
PERSONAL_VISION,6,100,0,0,0,1,71
EMOTIONAL_LEADERSHIP,6,100,0,0,0,1.2,72
RECOVERY_ORIENTATION,6,0,16.7,83.3,0,4.2,57
FUTURE_SELF,6,100,0,0,0,1,71
ADAPTIVE_REFLECTION,6,100,0,0,0,1,72
LEADERSHIP_MATURITY,6,100,0,0,0,1,66
CAREER_STABILITY,6,100,0,0,0,1,71
ENGAGEMENT_MANAGEMENT,6,0,0,16.7,83.3,68,43
ACADEMIC_READINESS,6,100,0,0,0,1,73
COMMUNICATION_DEVELOPMENT,6,100,0,0,0,1,71
COGNITIVE_SKILLS,6,0,0,66.7,33.3,13.2,54
STUDENT_BALANCE,6,83.3,0,16.7,0,1.2,63
INNOVATION_READINESS,6,0,0,50,50,6.5,53
PERFORMANCE_COACHING,6,100,0,0,0,1,71
SELF_DEVELOPMENT,6,16.7,0,83.3,0,4.2,52
CAPABILITY_DEVELOPMENT,6,0,0,100,0,2.3,50
MOTIVATION_DEVELOPMENT,6,100,0,0,0,1,71
RECOVERY_BEHAVIOR,6,16.7,0,83.3,0,1.8,49
DECISION_LEADERSHIP,6,16.7,0,83.3,0,3.8,47
LEARNING_EFFECTIVENESS,6,100,0,0,0,1,72
LANGUAGE_DEVELOPMENT,6,100,0,0,0,1,67
WORKPLACE_READINESS,6,100,0,0,0,1,73
IDENTITY_CONFLICT,6,100,0,0,0,1,72
CONFIDENCE_BUILDING,6,100,0,0,0,1,72
INCLUSION_LEADERSHIP,6,100,0,0,0,1,71
ORGANIZATIONAL_INTELLIGENCE,6,100,0,0,0,1,72
STUDENT_DEVELOPMENT,6,100,0,0,0,1,67
PERSISTENCE_DEVELOPMENT,6,100,0,0,0,1,67
LEADERSHIP_FOUNDATIONS,6,83.3,0,16.7,0,1.2,67
PERSONALITY_CAREER,6,50,0,50,0,1.5,60
CAREER_DEVELOPMENT,6,100,0,0,0,1,71
PURPOSE_ALIGNMENT,6,100,0,0,0,1,71
