intent,target_id,target_label,target_tag,resolved_id,resolved_label,resolved_tag,matched,nTok,score,tie
i struggle with emotional instability,CONCERN_SOC_1746,Emotional Instability,EXAMINATION_STRESS,CONCERN_ADJ_1815,Emotional Effects of Divorce,ADJUSTMENT_COPING,2,3,67,23
fear of failure,CONCERN_ACA_1734,Fear of Failure,CONFIDENCE_SELF,CONCERN_ACA_1376,Fear of failure leading to academic avoidance,ACADEMIC_RISK,2,2,100,22
i struggle with fear of failure,CONCERN_ACA_1734,Fear of Failure,CONFIDENCE_SELF,CONCERN_ACA_1376,Fear of failure leading to academic avoidance,ACADEMIC_RISK,2,3,67,22
i have trouble with fear of failure,CONCERN_ACA_1734,Fear of Failure,CONFIDENCE_SELF,CONCERN_ACA_1376,Fear of failure leading to academic avoidance,ACADEMIC_RISK,2,3,67,22
i keep struggling with supporting students with weak learning discipline,CONCERN_CLA_2130,Supporting Students with Weak Learning Discipline,DISCIPLINE_HABITS,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,22
i keep struggling with supporting students with weak learning adaptability during curriculum changes,CONCERN_COM_2295,Supporting Students with Weak Learning Adaptability During Curriculum Changes,LEARNING_ADAPTABILITY,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,22
i keep struggling with supporting students with weak learning recovery after academic breaks,CONCERN_DIS_2292,Supporting Students with Weak Learning Recovery After Academic Breaks,ACADEMIC_COGNITIVE,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,22
i keep struggling with supporting students with weak learning structure across subjects,CONCERN_DIS_2460,Supporting Students with Weak Learning Structure Across Subjects,ACADEMIC_COGNITIVE,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,22
i keep struggling with supporting students with weak learning adaptability across subjects,CONCERN_EXA_2256,Supporting Students with Weak Learning Adaptability Across Subjects,LEARNING_ADAPTABILITY,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,22
i keep struggling with supporting students with weak learning consistency during holidays,CONCERN_THI_2262,Supporting Students with Weak Learning Consistency During Holidays,DISCIPLINE_HABITS,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,22
i cannot manage supporting students with weak learning discipline,CONCERN_CLA_2130,Supporting Students with Weak Learning Discipline,DISCIPLINE_HABITS,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,21
i cannot manage supporting students with weak learning adaptability during curriculum changes,CONCERN_COM_2295,Supporting Students with Weak Learning Adaptability During Curriculum Changes,LEARNING_ADAPTABILITY,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,21
i cannot manage supporting students with weak learning recovery after academic breaks,CONCERN_DIS_2292,Supporting Students with Weak Learning Recovery After Academic Breaks,ACADEMIC_COGNITIVE,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,21
i cannot manage supporting students with weak learning structure across subjects,CONCERN_DIS_2460,Supporting Students with Weak Learning Structure Across Subjects,ACADEMIC_COGNITIVE,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,21
i cannot manage supporting students with weak learning adaptability across subjects,CONCERN_EXA_2256,Supporting Students with Weak Learning Adaptability Across Subjects,LEARNING_ADAPTABILITY,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,21
i cannot manage supporting students with weak learning consistency during holidays,CONCERN_THI_2262,Supporting Students with Weak Learning Consistency During Holidays,DISCIPLINE_HABITS,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,21
i need help with supporting students with weak learning discipline,CONCERN_CLA_2130,Supporting Students with Weak Learning Discipline,DISCIPLINE_HABITS,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,20
i need help with supporting students with weak learning adaptability during curriculum changes,CONCERN_COM_2295,Supporting Students with Weak Learning Adaptability During Curriculum Changes,LEARNING_ADAPTABILITY,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,20
i need help with supporting students with weak learning recovery after academic breaks,CONCERN_DIS_2292,Supporting Students with Weak Learning Recovery After Academic Breaks,ACADEMIC_COGNITIVE,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,20
i need help with supporting students with weak learning structure across subjects,CONCERN_DIS_2460,Supporting Students with Weak Learning Structure Across Subjects,ACADEMIC_COGNITIVE,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,20
i need help with supporting students with weak learning adaptability across subjects,CONCERN_EXA_2256,Supporting Students with Weak Learning Adaptability Across Subjects,LEARNING_ADAPTABILITY,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,20
i need help with supporting students with weak learning consistency during holidays,CONCERN_THI_2262,Supporting Students with Weak Learning Consistency During Holidays,DISCIPLINE_HABITS,CONCERN_ACA_2122,Supporting Students with Weak Problem-Solving Skills,THINKING_QUALITY,4,6,67,20
emotional instability,CONCERN_SOC_1746,Emotional Instability,EXAMINATION_STRESS,CONCERN_ADJ_1815,Emotional Effects of Divorce,ADJUSTMENT_COPING,2,2,100,19
i keep struggling with supporting students with weak academic communication in group activities,CONCERN_ACA_2298,Supporting Students with Weak Academic Communication in Group Activities,COMMUNICATION_EXPRESSION,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i keep struggling with supporting students with weak academic organization during exams,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i keep struggling with supporting students with weak academic planning,CONCERN_COM_2207,Supporting Students with Weak Academic Planning,DISCIPLINE_HABITS,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i keep struggling with supporting students with weak academic goal clarity,CONCERN_CON_2244,Supporting Students with Weak Academic Goal Clarity,ACADEMIC_IDENTITY,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i keep struggling with supporting students with weak academic initiative,CONCERN_EXA_2463,Supporting Students with Weak Academic Initiative,MOTIVATION_VALUES,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i keep struggling with supporting students with weak academic recovery skills,CONCERN_FOU_2167,Supporting Students with Weak Academic Recovery Skills,EXAMINATION_STRESS,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i keep struggling with supporting students with weak academic curiosity in stem subjects,CONCERN_LIF_2280,Supporting Students with Weak Academic Curiosity in STEM Subjects,STEM_LEARNING,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i struggle with competitive readiness,CONCERN_MOT_1975,Competitive Readiness,COMPETITIVE_EXAM,CONCERN_ACA_1651,Analytical Thinking,THINKING_QUALITY,2,3,67,19
i keep struggling with supporting students with weak academic transition readiness,CONCERN_SEL_2300,Supporting Students with Weak Academic Transition Readiness,ADJUSTMENT_COPING,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,19
i have trouble with emotional instability,CONCERN_SOC_1746,Emotional Instability,EXAMINATION_STRESS,CONCERN_ADJ_1815,Emotional Effects of Divorce,ADJUSTMENT_COPING,2,3,67,19
i need help with supporting students with weak academic communication in group activities,CONCERN_ACA_2298,Supporting Students with Weak Academic Communication in Group Activities,COMMUNICATION_EXPRESSION,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
i need help with supporting students with weak academic organization during exams,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
i cannot manage emotional recovery after failed career transitions,CONCERN_CAR_1041,Emotional Recovery After Failed Career Transitions,EMOTIONAL_RECOVERY,CONCERN_ACA_74,Emotional Recovery After Academic Setbacks in College,EXAMINATION_STRESS,4,6,67,18
i need help with emotional recovery after failed career transitions,CONCERN_CAR_1041,Emotional Recovery After Failed Career Transitions,EMOTIONAL_RECOVERY,CONCERN_ACA_74,Emotional Recovery After Academic Setbacks in College,EXAMINATION_STRESS,4,6,67,18
i need help with supporting students with weak academic planning,CONCERN_COM_2207,Supporting Students with Weak Academic Planning,DISCIPLINE_HABITS,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
lack of confidence in studies,CONCERN_CON_1941,Confidence in Studies,CONFIDENCE_SELF,CONCERN_ACA_2436,Students Losing Motivation Due to Lack of Purpose,ACADEMIC_IDENTITY,2,3,67,18
i need help with supporting students with weak academic goal clarity,CONCERN_CON_2244,Supporting Students with Weak Academic Goal Clarity,ACADEMIC_IDENTITY,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
i need help with student stress during exam cycles,CONCERN_DIS_1297,Student Stress During Exam Cycles,EMOTIONAL_REGULATION,CONCERN_ACA_1598,awareness of personal stress responses,EMOTIONAL_REFLECTION,4,6,67,18
i need help with supporting students with weak academic initiative,CONCERN_EXA_2463,Supporting Students with Weak Academic Initiative,MOTIVATION_VALUES,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
i need help with supporting students with weak academic recovery skills,CONCERN_FOU_2167,Supporting Students with Weak Academic Recovery Skills,EXAMINATION_STRESS,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
i need help with supporting students with weak academic curiosity in stem subjects,CONCERN_LIF_2280,Supporting Students with Weak Academic Curiosity in STEM Subjects,STEM_LEARNING,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
i have trouble with competitive readiness,CONCERN_MOT_1975,Competitive Readiness,COMPETITIVE_EXAM,CONCERN_ACA_1651,Analytical Thinking,THINKING_QUALITY,2,3,67,18
i need help with supporting students with weak academic transition readiness,CONCERN_SEL_2300,Supporting Students with Weak Academic Transition Readiness,ADJUSTMENT_COPING,CONCERN_ACA_2210,Supporting Students with Weak Information Processing Speed,ACADEMIC_COGNITIVE,4,6,67,18
i struggle with working in teams,CONCERN_CLA_1669,Working in Teams,SOCIAL_EMOTIONAL,CONCERN_ACA_1188,Measure Collaborative Competencies Institutionally,COLLABORATION_OWNERSHIP,2,3,67,17
i keep struggling with student stress during exam cycles,CONCERN_DIS_1297,Student Stress During Exam Cycles,EMOTIONAL_REGULATION,CONCERN_ACA_1598,awareness of personal stress responses,EMOTIONAL_REFLECTION,4,6,67,17
i have trouble with academic expectations,CONCERN_DIS_1695,Academic Expectations,EXAMINATION_STRESS,CONCERN_ACA_2438,Students Unable to Handle Identity Pressure from Society,ACADEMIC_IDENTITY,2,3,67,17
difficulty managing academic pressure,CONCERN_MOT_1964,Academic Pressure,EXAMINATION_STRESS,CONCERN_ACA_2461,Students with Weak Academic Confidence After Comparisons,CONFIDENCE_SELF,4,4,100,16
i struggle with academic uncertainty,CONCERN_COM_2053,Academic Uncertainty,EXAMINATION_STRESS,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,16
i cannot manage emotional stability during job search delays,CONCERN_COM_396,Emotional Stability During Job Search Delays,EMOTIONAL_RECOVERY,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,16
i cannot manage emotional stability during career uncertainty,CONCERN_DIS_36,Emotional Stability During Career Uncertainty,EXAMINATION_STRESS,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,16
i struggle with academic uncertainty,CONCERN_PER_1461,academic uncertainty,PSYCHOLOGICAL_ADAPTATION,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,16
i cannot manage emotional stability during career uncertainty,CONCERN_SEL_220,Emotional Stability During Career Uncertainty,EXAMINATION_STRESS,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,16
i struggle with learning fatigue,CONCERN_THI_2017,Learning Fatigue,EXAMINATION_STRESS,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,16
social isolation,CONCERN_EXA_1748,Social Isolation,ADJUSTMENT_COPING,CONCERN_CAR_657,Sustaining Emotional Stability During Workplace Isolation,SOCIAL_EMOTIONAL,2,2,100,15
i keep struggling with emotional stability during job search delays,CONCERN_COM_396,Emotional Stability During Job Search Delays,EMOTIONAL_RECOVERY,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,15
i need help with emotional stability during job search delays,CONCERN_COM_396,Emotional Stability During Job Search Delays,EMOTIONAL_RECOVERY,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,15
i keep struggling with emotional stability during career uncertainty,CONCERN_DIS_36,Emotional Stability During Career Uncertainty,EXAMINATION_STRESS,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,15
i need help with emotional stability during career uncertainty,CONCERN_DIS_36,Emotional Stability During Career Uncertainty,EXAMINATION_STRESS,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,15
i struggle with social isolation,CONCERN_EXA_1748,Social Isolation,ADJUSTMENT_COPING,CONCERN_CAR_657,Sustaining Emotional Stability During Workplace Isolation,SOCIAL_EMOTIONAL,2,3,67,15
i have trouble with social isolation,CONCERN_EXA_1748,Social Isolation,ADJUSTMENT_COPING,CONCERN_CAR_657,Sustaining Emotional Stability During Workplace Isolation,SOCIAL_EMOTIONAL,2,3,67,15
i keep struggling with emotional stability during career uncertainty,CONCERN_SEL_220,Emotional Stability During Career Uncertainty,EXAMINATION_STRESS,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,15
i need help with emotional stability during career uncertainty,CONCERN_SEL_220,Emotional Stability During Career Uncertainty,EXAMINATION_STRESS,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,15
i struggle with academic ownership,CONCERN_ACA_1974,Academic Ownership,MOTIVATION_VALUES,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,14
i cannot manage managing students with weak confidence in class discussions,CONCERN_ACA_2452,Managing Students with Weak Confidence in Class Discussions,COMMUNICATION_EXPRESSION,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,4,6,67,14
i struggle with placement interviews,CONCERN_CAR_362,Placement Interviews,COMMUNICATION_EXPRESSION,CONCERN_ACA_16,Interview Preparation Discipline,EMPLOYABILITY,2,3,67,14
i have trouble with working in teams,CONCERN_CLA_1669,Working in Teams,SOCIAL_EMOTIONAL,CONCERN_ACA_1188,Measure Collaborative Competencies Institutionally,COLLABORATION_OWNERSHIP,2,3,67,14
i struggle with job interviews,CONCERN_EMP_462,Job Interviews,COMMUNICATION_EXPRESSION,CONCERN_ACA_16,Interview Preparation Discipline,EMPLOYABILITY,2,3,67,14
i struggle with academic ownership,CONCERN_MOT_1992,Academic Ownership,MOTIVATION_VALUES,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,14
i struggle with academic ownership,CONCERN_MOT_2480,Academic Ownership,MOTIVATION_VALUES,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,14
i struggle with problem-solving ability,CONCERN_STU_1369,problem-solving ability,COGNITIVE_SKILLS,CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,THINKING_QUALITY,2,3,67,14
i have trouble with learning fatigue,CONCERN_THI_2017,Learning Fatigue,EXAMINATION_STRESS,CONCERN_COM_1127,Emotional Fatigue from Continuous Learning Pressure,COMPETENCY_DEVELOPMENT,2,3,67,14
i keep struggling with visibility into student attention stability during classes,CONCERN_ADA_1274,Visibility into Student Attention Stability During Classes,ACADEMIC_COGNITIVE,CONCERN_ACA_1174,Visibility into Classroom Engagement Patterns,STUDENT_ENGAGEMENT,4,6,67,13
i keep struggling with emotional uncertainty during career transitions,CONCERN_COL_1147,Emotional Uncertainty During Career Transitions,CAREER_GROWTH,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,13
i need help with emotional uncertainty during career transitions,CONCERN_COL_1147,Emotional Uncertainty During Career Transitions,CAREER_GROWTH,CONCERN_CAR_420,Emotional Stability During Job Market Uncertainty,EMOTIONAL_REGULATION,4,6,67,13
i cannot manage motivation,CONCERN_EXA_1743,Motivation,MOTIVATION_VALUES,CONCERN_ACA_1995,Organizing Study Materials,DISCIPLINE_HABITS,2,3,67,13
i keep struggling with visibility into student attention fatigue institutionally,CONCERN_FAC_1210,Visibility into Student Attention Fatigue Institutionally,ACADEMIC_COGNITIVE,CONCERN_ACA_1174,Visibility into Classroom Engagement Patterns,STUDENT_ENGAGEMENT,4,6,67,13
i keep struggling with employment instability emotionally,CONCERN_COM_541,Employment Instability Emotionally,EMOTIONAL_REGULATION,CONCERN_CAR_217,Anxiety About Future Stability,EXAMINATION_STRESS,3,5,60,13
difficulty adapting to change,CONCERN_THI_1814,Adapting to Change,ADJUSTMENT_COPING,CONCERN_ACA_2311,Adapting to Academic Changes,TRANSITION_CHANGE,3,3,100,12
i struggle with employment instability emotionally,CONCERN_COM_541,Employment Instability Emotionally,EMOTIONAL_REGULATION,CONCERN_CAR_217,Anxiety About Future Stability,EXAMINATION_STRESS,3,4,75,12
i keep struggling with supporting students with weak exam strategy,CONCERN_CON_2140,Supporting Students with Weak Exam Strategy,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,12
i cannot manage supporting students with weak exam strategy,CONCERN_CON_2140,Supporting Students with Weak Exam Strategy,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,12
i need help with students with weak academic motivation over time,CONCERN_CON_2467,Students with Weak Academic Motivation Over Time,MOTIVATION_VALUES,CONCERN_ACA_2199,Helping Students Organize Academic Priorities,DISCIPLINE_HABITS,4,6,67,12
i cannot manage emotional stress during leadership reviews,CONCERN_EMP_1095,Emotional Stress During Leadership Reviews,LEADERSHIP_OWNERSHIP,CONCERN_CAR_713,Workplace Uncertainty During Organizational Changes,EMOTIONAL_REGULATION,4,6,67,12
i struggle with criticism and feedback,CONCERN_FUT_1424,criticism and feedback,GROWTH_MINDSET,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,2,3,67,12
i have trouble with criticism and feedback,CONCERN_FUT_1424,criticism and feedback,GROWTH_MINDSET,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,2,3,67,12
